Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(680)
5.503635935985096e-10,0.06210963536780779,0.0,0.1532280545761934,0.031075110263184432,0.31903034249140694,0.3502658621525667,0.20689055329861444,0.09201595811722094,0.0,1.450884230128265e-23,2.053416426400034e-09,1.0853754423240948e-25,0.0,1.2785616288962334e-35,5.504955151878517e-07,9.508667235682019e-28,1.504944868079108e-26,5.539220255807272e-44,4.237861423206328e-15,1.0148398485553318e-21,1.7482766487344444e-70,2.2513859264609783e-16,3.3002085071808234e-48,1.832423231879158e-25,9.895693718979524e-48,2.0235740976276244e-09,2.1736097666572988e-45,6.892203114554855e-06,0.00026544182556970824,0.0002468673090970141,0.00021892793355665285,2.6274017667003764e-05,7.675078749122472e-05,1.6291362363751266e-07,1.5995681501744508e-05,3.720458896701048e-12,1.0967948377743686e-05,1.0164015411279244e-05,1.633254273312684e-05,8.814056455593497e-10,9.537462157434382e-05,2.674498337584664e-16,8.813772972933933e-13,2.9871293208321783e-15,1.8241470434972527e-08
5.51403827336149e-10,0.06210963536780779,0.0,0.1532262367317482,0.031075110263184432,0.31902966580974806,0.35026548854206746,0.20689037432340518,0.0920159840077784,0.0,1.4632891114981024e-23,2.0572963829463747e-09,1.0933385062924854e-25,0.0,1.2931251494788516e-35,5.539193801224191e-07,9.580485543288734e-28,1.510636456486656e-26,5.570684099386387e-44,4.253859979508474e-15,1.0167574798189671e-21,1.7648592102133246e-70,2.2596779303099234e-16,3.3189542806482655e-48,1.8463077266530402e-25,1.0008411766615508e-47,2.0273418167279403e-09,2.190073654840037e-45,6.892192183501994e-06,0.0002658831204607996,0.0002474039915681041,0.0002193015401758865,2.6273876764340113e-05,7.685740689600447e-05,1.6317415017901217e-07,1.60465850647479e-05,3.7345385317989544e-12,1.1020093632315913e-05,1.018966216142163e-05,1.638426341968401e-05,8.84466042730906e-10,9.555366896370175e-05,2.6795288391212967e-16,8.830444126584382e-13,2.9887131505426935e-15,1.831019131693833e-08
5.524440610737884e-10,0.06210963536780779,0.0,0.15322441902246337,0.031075110263184432,0.3190289892755715,0.35026511507349756,0.2068901953553612,0.09201600999289598,0.0,1.4757725842464542e-23,2.06117633535495e-09,1.10134586541208e-25,0.0,1.3078266148785047e-35,5.573581301747553e-07,9.652708882577498e-28,1.5163387774201056e-26,5.602266850299939e-44,4.26988854145664e-15,1.0186751093163696e-21,1.7815673566802157e-70,2.2679866400048045e-16,3.337770897279044e-48,1.8602709155939777e-25,1.0122197481963222e-47,2.031109323564631e-09,2.2066308355653372e-45,6.892181354973764e-06,0.00026632422927944517,0.00024794079883908704,0.0002196750048657865,2.627373311578044e-05,7.69638875461682e-05,1.6343459768077015e-07,1.6097534659066432e-05,3.7486447315412695e-12,1.1072370935921066e-05,1.021530804351642e-05,1.6436020831898587e-05,8.875306829953273e-10,9.573271180558297e-05,2.684559253735271e-16,8.847117115028551e-13,2.9901090597463845e-15,1.8379040272767414e-08
5.533802714376638e-10,0.06210963536780779,0.0,0.15322278320046392,0.031075110263184432,0.31902838052088933,0.3502647790730911,0.20689003429021516,0.09201603346048735,0.0,1.487075156623988e-23,2.0646682889861774e-09,1.1085905007046839e-25,0.0,1.3211767383093181e-35,5.604657615304147e-07,9.718057438246075e-28,1.5214800425262336e-26,5.630793177155064e-44,4.284339901407484e-15,1.0204009743539575e-21,1.7967126519950185e-70,2.2754787678489217e-16,3.354766533525925e-48,1.872905313839299e-25,1.0225524151559442e-47,2.0344998982452235e-09,2.2216123535996183e-45,6.892171696945768e-06,0.0002667210682855677,0.00024842403139836787,0.00022001100178033198,2.6273601516859953e-05,7.705960155054219e-05,1.6366893295341348e-07,1.614342852223682e-05,3.761363023793722e-12,1.1119533390195522e-05,1.0238388549666638e-05,1.6482633700143544e-05,8.902924825119391e-10,9.589384647547801e-05,2.6890865484663766e-16,8.86211993059059e-13,2.9913984304234175e-15,1.8441113831234604e-08
5.543164818015391e-10,0.06210963536780779,0.0,0.15322114748942464,0.031075110263184432,0.31902777188562925,0.35026444318756694,0.20688987323081232,0.09201605700492681,0.0,1.4984418560185712e-23,2.0681602392682333e-09,1.1158712755133452e-25,0.0,1.3346402059168874e-35,5.635855048230719e-07,9.783736395816816e-28,1.5266300008971235e-26,5.659416163921235e-44,4.298815564758822e-15,1.022126837960999e-21,1.8119607685887162e-70,2.2829844378883036e-16,3.371819758259824e-48,1.8856039103755898e-25,1.0329728084554776e-47,2.037890301016429e-09,2.236669979543962e-45,6.892162121941602e-06,0.00026711775687308817,0.0002489073637636248,0.0002203468838125761,2.627346775392632e-05,7.715520326518636e-05,1.6390320438810913e-07,1.6189359431651333e-05,3.774102832873446e-12,1.1166802764933478e-05,1.0261468268169414e-05,1.652927593783894e-05,8.930577104339255e-10,9.605497746246687e-05,2.693613772376235e-16,8.877123849156784e-13,2.9927132771216164e-15,1.8503291119742213e-08
5.552526921654145e-10,0.06210963536780779,0.0,0.15321951189004707,0.031075110263184432,0.31902716336977294,0.350264107416887,0.2068897121771244,0.09201608062633475,0.0,1.50987290426678e-23,2.071652186202264e-09,1.123188313571272e-25,0.0,1.3482177858639357e-35,5.667173861003628e-07,9.84974686000432e-28,1.53178865249432e-26,5.688135974004741e-44,4.313315530955188e-15,1.0238527001375424e-21,1.827312229059735e-70,2.290503655069719e-16,3.3889306688341684e-48,1.898366921773611e-25,1.0434815226462945e-47,2.0412805318896866e-09,2.251803970311237e-45,6.8921526299507604e-06,0.0002675142951838052,0.0002493907953278022,0.00022068265100061435,2.627333185491101e-05,7.725069273842491e-05,1.6413741206922093e-07,1.6235327274238603e-05,3.786864158525696e-12,1.1214179041044626e-05,1.0284547159407628e-05,1.6575947365794055e-05,8.95826362737802e-10,9.621610476681229e-05,2.6981409246450623e-16,8.89212795616501e-13,2.9940344604990806e-15,1.8565572133831118e-08
5.560952814929024e-10,0.06210963536780779,0.0,0.15321803994665795,0.031075110263184432,0.3190266158075773,0.3502638053214353,0.20688956723366866,0.09201610195150942,0.0,1.5202160493834995e-23,2.0747949355812745e-09,1.1298047553551906e-25,0.0,1.3605358118901575e-35,5.695464787545124e-07,9.909440630424667e-28,1.536438871608512e-26,5.714066722071181e-44,4.32638627900535e-15,1.0254059748733953e-21,1.8412173358504822e-70,2.2972825374238543e-16,3.40437989020707e-48,1.909908886024417e-25,1.0530153736049445e-47,2.044331592712324e-09,2.265490066610496e-45,6.892144158126449e-06,0.00026787105129380296,0.0002498259680490013,0.00022098474330953,2.6273207742246075e-05,7.733653733800176e-05,1.6434814454114137e-07,1.6276729817077606e-05,3.7983677480709256e-12,1.1256909074186085e-05,1.030531742168401e-05,1.6617976460535202e-05,8.983210743338252e-10,9.63611161922814e-05,2.7022153001618733e-16,8.905631601926093e-13,2.9952195684402313e-15,1.8621713728137445e-08
5.569378708203904e-10,0.06210963536780779,0.0,0.153216568094795,0.031075110263184432,0.3190260683420705,0.35026350331894884,0.20688942229479945,0.09201612333921373,0.0,1.5306116586843993e-23,2.0779376822501455e-09,1.1364507613145615e-25,0.0,1.3729474597603251e-35,5.723854432616699e-07,9.969404625346e-28,1.54109613217685e-26,5.740076148506037e-44,4.33947671150521e-15,1.0269592484506182e-21,1.8552069593839493e-70,2.3040724005648923e-16,3.4198759869371144e-48,1.9215033604142662e-25,1.062621686192564e-47,2.0473825143152208e-09,2.2792384147595807e-45,6.892135753526034e-06,0.00026822768589733026,0.0002502612201873281,0.00022128674265324403,2.6273081941555318e-05,7.742229109675262e-05,1.6455882549838827e-07,1.6318162102048424e-05,3.809888765645769e-12,1.1299725667359903e-05,1.0326086953501437e-05,1.6660028923641944e-05,9.008185534909711e-10,9.650612463521696e-05,2.706289617857694e-16,8.919135598262075e-13,2.9964070887830115e-15,1.8677939333116565e-08
5.577804601478783e-10,0.06210963536780779,0.0,0.15321509633497007,0.031075110263184432,0.31902552097323894,0.3502632014093998,0.20688927736049698,0.09201614478953535,0.0,1.541059894078149e-23,2.0810804262097113e-09,1.143126422136204e-25,0.0,1.3854532975788494e-35,5.752342986086747e-07,1.0029639653837184e-27,1.5457604341713193e-26,5.766164372431647e-44,4.352586828049913e-15,1.028512520869246e-21,1.869281484311931e-70,2.310873248088549e-16,3.4354190299944406e-48,1.9331505035710604e-25,1.0723009001172197e-47,2.050433296706714e-09,2.2930492029416198e-45,6.892127416141171e-06,0.0002685841990973015,0.00025069655130048667,0.00022158864905950595,2.6272954472470426e-05,7.750795405022546e-05,1.6476945499862364e-07,1.6359624046983072e-05,3.821427211062566e-12,1.1342628805995316e-05,1.0346855726535966e-05,1.670210462451301e-05,9.03318797279809e-10,9.665113009581351e-05,2.7103638771873394e-16,8.932639334780583e-13,2.9975965144596846e-15,1.8734248945500372e-08
5.586230494753662e-10,0.06210963536780779,0.0,0.15321362466769517,0.031075110263184432,0.3190249737010696,0.35026289959276047,0.20688913243074164,0.09201616630256187,0.0,1.5515609175301928e-23,2.084223167460805e-09,1.1498318286603017e-25,0.0,1.398053896028588e-35,5.780930637816316e-07,1.0090146526145285e-27,1.5504317775639128e-26,5.792331512970091e-44,4.365716628234634e-15,1.0300657921293128e-21,1.8834412964512335e-70,2.3176850835872685e-16,3.4510090903490236e-48,1.9448504743588122e-25,1.0820534570827127e-47,2.053483939895135e-09,2.3069226196219314e-45,6.8921191459632975e-06,0.0002689405909964866,0.0002511319609462633,0.000221890462556058,2.6272825354398018e-05,7.759352623406906e-05,1.6498003309830323e-07,1.6401115569795976e-05,3.83298308413305e-12,1.1385618475316481e-05,1.0367623712638385e-05,1.674420343255709e-05,9.05821802772081e-10,9.679613257426657e-05,2.714438078115808e-16,8.946142899623321e-13,2.9987831517909395e-15,1.8790642561955592e-08
5.594656388028541e-10,0.06210963536780779,0.0,0.15321215309348243,0.031075110263184432,0.3190244265255488,0.3502625978690032,0.20688898750551402,0.09201618787838088,0.0,1.5621148910612227e-23,2.08736590600426e-09,1.15656707188046e-25,0.0,1.410749828378612e-35,5.809617577658434e-07,1.0150926053695439e-27,1.5551101623266296e-26,5.818577689243178e-44,4.3788661116545734e-15,1.0316190622308536e-21,1.897686782785435e-70,2.324507910650236e-16,3.466646238970684e-48,1.956603431877628e-25,1.0918798007945873e-47,2.056534443888818e-09,2.3208588535480128e-45,6.892110942983632e-06,0.0002692968616975117,0.00025156744868252707,0.00022219218317063577,2.6272694606522164e-05,7.767900768403307e-05,1.651905598526794e-07,1.6442636588484037e-05,3.844556384668335e-12,1.142869466034318e-05,1.0388390883833621e-05,1.6786325217193234e-05,9.083275670407037e-10,9.69411320707726e-05,2.7185122214976143e-16,8.95964704453993e-13,2.9999734381249864e-15,1.884712017907191e-08
5.60308228130342e-10,0.06210963536780779,0.0,0.1532106816128441,0.031075110263184432,0.31902387944666305,0.3502622962381001,0.20688884258479495,0.09201620951707995,0.0,1.57272197674567e-23,2.0905086418409097e-09,1.163332242943755e-25,0.0,1.423541670491974e-35,5.838403995457446e-07,1.0211979049090731e-27,1.559795588431474e-26,5.84490302037246e-44,4.3920352779049585e-15,1.0331723311739021e-21,1.9120183314666445e-70,2.331341732863392e-16,3.482330546829076e-48,1.9684095354636872e-25,1.1017803769661458e-47,2.0595848086960934e-09,2.3348580937495338e-45,6.892102807193171e-06,0.00026965301130285786,0.00025200301406723267,0.0002224938109309676,2.6272562247807013e-05,7.776439843596756e-05,1.65401035315804e-07,1.648418702112662e-05,3.856147112478925e-12,1.1471857345891464e-05,1.0409157212320203e-05,1.6828469847851254e-05,9.108360871597722e-10,9.708612858552905e-05,2.7225863066463223e-16,8.973151056060545e-13,3.001166322498458e-15,1.890368179359354e-08
5.6115081745783e-10,0.06210963536780779,0.0,0.15320921022629252,0.031075110263184432,0.31902333246439907,0.3502619947000235,0.20688869766856563,0.0920162312187465,0.0,1.5833823367101773e-23,2.093651374971588e-09,1.170127433150787e-25,0.0,1.4364300008334923e-35,5.867290081048359e-07,1.027330632611203e-27,1.5644880558504592e-26,5.871307625479215e-44,4.405224126581044e-15,1.0347255989584924e-21,1.9264363318172624e-70,2.3381865538094563e-16,3.498062084893693e-48,1.9802689446892233e-25,1.1117556333244725e-47,2.0626350343252933e-09,2.3489205295383264e-45,6.892094738582684e-06,0.0002700090399148625,0.00025243865665842085,0.00022279534586477497,2.627242829699929e-05,7.784969852582341e-05,1.656114595405312e-07,1.652576678588554e-05,3.86775526737471e-12,1.1515106516574365e-05,1.042992267046972e-05,1.6870637193972166e-05,9.133473602045622e-10,9.723112211873424e-05,2.72666033311627e-16,8.986654684819847e-13,3.0023553225962834e-15,1.8960327402224266e-08
5.619934067853179e-10,0.06210963536780779,0.0,0.15320773893434025,0.031075110263184432,0.31902278557874353,0.3502616932547458,0.20688855275680718,0.09201625298346804,0.0,1.5940961331320847e-23,2.0967941053971267e-09,1.176952733955734e-25,0.0,1.4494154004775446e-35,5.896276024256172e-07,1.0334908699717875e-27,1.569187564555603e-26,5.897791623684461e-44,4.418432657278109e-15,1.0362788655846584e-21,1.94094117433174e-70,2.345042377067935e-16,3.51384092413387e-48,1.9921818193625032e-25,1.1218060196164688e-47,2.0656851207847474e-09,2.3630463505083803e-45,6.892086737142721e-06,0.0002703649476357181,0.0002528743760142204,0.00022309678799977233,2.6272292772630807e-05,7.793490798965196e-05,1.6582183257852053e-07,1.6567375801005138e-05,3.879380849164965e-12,1.1558442156802557e-05,1.045068723082625e-05,1.6912827125008564e-05,9.158613832515345e-10,9.737611267058752e-05,2.7307343022165413e-16,9.000158975648553e-13,3.0035477757671574e-15,1.901705700152511e-08
5.628359961128058e-10,0.06210963536780779,0.0,0.1532062677374999,0.031075110263184432,0.3190222387896827,0.3502613919022392,0.2068884078495011,0.09201627481133197,0.0,1.604863528237899e-23,2.099936833118358e-09,1.1838082369664038e-25,0.0,1.4624984531158782e-35,5.925362014895212e-07,1.0396786986044325e-27,1.5738941145189296e-26,5.924355134108954e-44,4.431660869591463e-15,1.0378321310524338e-21,1.955533250678339e-70,2.3519092062151443e-16,3.529667135518779e-48,2.00414831952781e-25,1.1319319876148934e-47,2.0687350680827833e-09,2.3772357465358298e-45,6.892078802863596e-06,0.00027072073456747326,0.00025331017169284996,0.0002233981373636672,2.6272155693020954e-05,7.80200268636049e-05,1.6603215448023972e-07,1.66090139848122e-05,3.8910238576583535e-12,1.1601864250785027e-05,1.0471450866105818e-05,1.6955039510425072e-05,9.183781533783379e-10,9.752110024128915e-05,2.734808213280681e-16,9.013663268094849e-13,3.004743363313262e-15,1.9073870588235822e-08
5.636785854402937e-10,0.06210963536780779,0.0,0.1532047966362841,0.031075110263184432,0.3190216920972034,0.350261090642476,0.20688826294662918,0.0920162967024257,0.0,1.6156846843017737e-23,2.103079558136115e-09,1.1906940339442869e-25,0.0,1.475679745065425e-35,5.954548242768474e-07,1.0458942002404819e-27,1.5786077057124706e-26,5.950998275873178e-44,4.444908763116443e-15,1.0393853953618528e-21,1.9702129537008902e-70,2.358787044824223e-16,3.5455407900174304e-48,2.016168605465421e-25,1.142133991124418e-47,2.0717848762277304e-09,2.3914889077789515e-45,6.892070935735408e-06,0.00027107640081203187,0.0002537460432526196,0.0002236993939841601,2.6272017076279137e-05,7.810505518393439e-05,1.6624242529496773e-07,1.6650681255716043e-05,3.902684292662931e-12,1.1645372782529757e-05,1.0492213549195856e-05,1.6997274219698764e-05,9.208976676638115e-10,9.766608483104035e-05,2.7388820652320864e-16,9.027166908049693e-13,3.005934616002583e-15,1.9130768159103165e-08
5.645211747677817e-10,0.06210963536780779,0.0,0.15320332563120573,0.031075110263184432,0.3190211455012919,0.35026078947542855,0.2068881180481732,0.09201631865683652,0.0,1.626559763643983e-23,2.10622228045123e-09,1.1976102168046106e-25,0.0,1.4889598652761336e-35,5.98383489766696e-07,1.0521374567290056e-27,1.5833283381082642e-26,5.977721168097356e-44,4.458176337448413e-15,1.0409386585129483e-21,1.984980677420557e-70,2.365675896465152e-16,3.5614619585986755e-48,2.0282428376915905e-25,1.1524124859876827e-47,2.0748345452279137e-09,2.4058060246781516e-45,6.892063135748013e-06,0.0002714319464711536,0.0002541819902519316,0.00022400055788894456,2.6271876940307178e-05,7.818999298699299e-05,1.6645264507079747e-07,1.6692377532208467e-05,3.914362153986132e-12,1.1688967735844404e-05,1.0512975253154644e-05,1.703953112231953e-05,9.234199231879888e-10,9.781106644004332e-05,2.7429558600025733e-16,9.040671279886963e-13,3.007129320961675e-15,1.9187749710655308e-08
5.653637640952696e-10,0.06210963536780779,0.0,0.15320185472277767,0.031075110263184432,0.3190205990019349,0.350260488401069,0.20688797315411533,0.09201634067465173,0.0,1.637488928629391e-23,2.1093650000645335e-09,1.2045568776163877e-25,0.0,1.502339405338808e-35,6.01322216936901e-07,1.0584085500367832e-27,1.5880560116783538e-26,6.004523929901448e-44,4.471463592182761e-15,1.0424919205057538e-21,1.9998368170375894e-70,2.372575764704767e-16,3.577430712231204e-48,2.0403711769585287e-25,1.162767930091368e-47,2.07788407509166e-09,2.420187287955959e-45,6.892055402891043e-06,0.00027178737164645347,0.0002546180122492836,0.0002243016291057071,2.6271735302801726e-05,7.827484030923339e-05,1.666628138546388e-07,1.673410273286382e-05,3.926057441434788e-12,1.1732649094336947e-05,1.053373595121077e-05,1.708181008779055e-05,9.259449170321003e-10,9.795604506850119e-05,2.747029597185052e-16,9.054175917970618e-13,3.0083274907062784e-15,1.924481523961372e-08
