Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34),CHX(35),CX(33)
1.5488031328157188e-14,0.09466578726852673,0.0,0.23505507964975741,0.031075110263184432,0.3194096679306881,0.3504847830761506,0.2070122098954876,0.09201816474816252,0.0,5.5661893874967384e-31,6.708108605570096e-10,3.2141374859531043e-28,0.0,9.247148660442558e-50,1.1321370075851879e-19,1.1853769083789898e-35,3.2095766214756345e-26,5.209954689144497e-41,5.318982551505846e-19,1.2196930046893166e-17,3.383645357293295e-66,7.903461583833626e-14,3.629580251508576e-43,2.1916007249221373e-34,8.546307162796107e-58,6.708105789580785e-10,3.644309558165903e-48,3.07907236897403e-08,1.0562732991718154e-08,6.722226504313964e-09,8.39257795400589e-09,6.947536486405978e-09,3.382185930785368e-09,2.1620854615509172e-12,3.25837004393126e-13,7.875221619840363e-14,4.395424913503294e-17,3.2583491098986713e-13,6.1441661453613635e-15,1.77119576250852e-14,3.3371686238952415e-09,1.7099023249901696e-16,1.5437889730457657e-14,6.641686651158282e-15
1.7704782195464533e-14,0.09466578726852673,0.0,0.23505506963157494,0.031075110263184432,0.3194096659348692,0.35048478177913356,0.20701220842427756,0.09201816036059667,0.0,8.314593835711715e-31,7.668218062643774e-10,4.801174952823318e-28,0.0,2.061300625554933e-49,1.6691359475988093e-19,1.9663455469602614e-35,4.194077820734857e-26,7.782461931989742e-41,6.950515488708961e-19,1.394263638220026e-17,6.603630305384327e-66,9.034658575018259e-14,5.421749671753361e-43,3.7410595212409066e-34,1.905108913228452e-57,7.668214362939379e-10,6.222763050120182e-48,3.5178029104699326e-08,1.2074062375318282e-08,7.68471783252824e-09,9.593584078467e-09,7.94110557232786e-09,3.86645884735808e-09,2.527402138767052e-12,4.257939698241998e-13,9.003085537742198e-14,6.565858628161091e-17,4.257908427339587e-13,8.156651676493947e-15,2.309235373795256e-14,3.814802751088536e-09,1.9555806836437796e-16,1.9288933529342977e-14,9.591163753273511e-15
1.9921533062771878e-14,0.09466578726852673,0.0,0.23505505961849343,0.031075110263184432,0.319409663939095,0.3504847804821656,0.20701220695327002,0.09201815597793976,0.0,1.1845066744103003e-30,8.628327516164544e-10,6.839809826699691e-28,0.0,4.1804297808678824e-49,2.3534962496324893e-19,3.080046339031285e-35,5.310076983937739e-26,1.108698543377706e-40,8.799967366741477e-19,1.56883427037867e-17,1.1909958316460919e-65,1.0165855713731955e-13,7.723887394341883e-43,5.995343526260206e-34,3.86371862725278e-57,8.628322812382507e-10,9.974876637184187e-48,3.956042556114989e-08,1.3585271647507009e-08,8.64729981011345e-09,1.0794541155225793e-08,8.934472220934855e-09,4.3507797652526626e-09,2.9066770991395333e-12,5.391060472964521e-13,1.0131127101499292e-13,9.353962032556638e-17,5.391015923617213e-13,1.0488836728405833e-14,2.918546967728399e-14,4.292435922555225e-09,2.2012585842091328e-16,2.337596996332377e-14,1.3216254484738547e-14
2.2138283930079223e-14,0.09466578726852673,0.0,0.2350550496105073,0.031075110263184432,0.31940966194336545,0.35048477918524656,0.20701220548246488,0.09201815160018635,0.0,1.625552801800113e-30,9.588436966132543e-10,9.386585003015323e-28,0.0,7.86896520274676e-49,3.2030788349280356e-19,4.609463283856921e-35,6.557574108392558e-26,1.5215178243516495e-40,1.086733774956127e-18,1.7434049011654212e-17,2.0183654442873643e-65,1.129705300001573e-13,1.0599844664268207e-42,9.141396426937326e-34,7.272890624445239e-57,9.588431137911555e-10,1.5212122408106915e-47,4.393791855161408e-08,1.5096360817919936e-08,9.609972481665071e-09,1.1995449186309278e-08,9.927636473485556e-09,4.835148675703342e-09,3.2999000495962807e-12,6.657741911649624e-13,1.1259346311453529e-13,1.283709552773423e-16,6.657680773910874e-13,1.3152703151579887e-14,3.599137556121201e-14,4.7700681383183636e-09,2.446935989504146e-16,2.766207671826543e-14,1.7553879261837456e-14
2.4355034797386568e-14,0.09466578726852673,0.0,0.23505503960761095,0.031075110263184432,0.3194096599476806,0.3504847778883767,0.20701220401186218,0.09201814722733093,0.0,2.1643897588321377e-30,1.0548546412547903e-09,1.2498043403332892e-27,0.0,1.3944963176968445e-48,4.2357496810960917e-19,6.646798952078237e-35,7.936569191407801e-26,2.0258693433035765e-40,1.3152626201136617e-18,1.9179755305804493e-17,3.252480514695983e-65,1.242825043391061e-13,1.4113472742325406e-42,1.3388179109264799e-33,1.2888749822928096e-56,1.0548539339527904e-09,2.228267433975474e-47,4.8310513562469875e-08,1.660732989619189e-08,1.0572735885982725e-08,1.3196308173744341e-08,1.0920598371230126e-08,5.319565569945282e-09,3.707060705670221e-12,8.057993555177228e-13,1.2387743167946838e-13,1.7092624941568492e-16,8.057912150713817e-13,1.6160223963270234e-14,4.3510141495073575e-14,5.247699398400995e-09,2.692612902244676e-16,3.211611846459391e-14,2.263517151240729e-14
2.6571785664693913e-14,0.09466578726852673,0.0,0.23505502960979882,0.031075110263184432,0.31940965795204046,0.3504847765915557,0.2070122025414618,0.09201814285936802,0.0,2.810809538623724e-30,1.1508655855410759e-09,1.623072796071966e-27,0.0,2.3511671116323107e-48,5.469379820917417e-19,9.293476187067295e-35,9.44706223029219e-26,2.6309184073263887e-40,1.5655832285446301e-18,2.0925461586239252e-17,5.027698362794115e-65,1.3559448015457635e-13,1.832862288858327e-42,1.8966673776957047e-33,2.173102683899585e-56,1.1508647417232936e-09,3.157141508359983e-47,5.267821607395553e-08,1.811817889195688e-08,1.153559005698232e-08,1.4397118119557772e-08,1.1913357955410308e-08,5.804030439214584e-09,4.128148791496195e-12,9.591824941753703e-13,1.3516317671321178e-13,2.219792150823075e-16,9.59171922383068e-13,1.9523363350125846e-14,5.174183757139086e-14,5.725329702826131e-09,2.938289328323257e-16,3.6711835020967014e-14,2.848638951584023e-14
2.878853653200126e-14,0.09466578726852673,0.0,0.23505501961706543,0.031075110263184432,0.3194096559564449,0.3504847752947839,0.20701220107126378,0.09201813849629212,0.0,3.574604132857522e-30,1.2468765294721245e-09,2.064118161130939e-27,0.0,3.801720240874945e-48,6.921845341231689e-19,1.2660136970242033e-34,1.1089053222354643e-25,3.3458303220549513e-40,1.837695556647966e-18,2.2671167852960192e-17,7.505163383405002e-65,1.4690645744697876e-13,2.3309146352856803e-42,2.6129881295505125e-33,3.513821715876771e-56,1.2468755371028042e-09,4.3499931459020356e-47,5.7041031560176214e-08,1.962890781484814e-08,1.2498535024466819e-08,1.559787902577623e-08,1.2905915267259421e-08,6.288543274748287e-09,4.5631540398040796e-12,1.1259245606911098e-12,1.4645069821918556e-13,2.8230361854451856e-16,1.1259111160376764e-12,2.3254076674861773e-14,6.068653386986375e-14,6.202959051616768e-09,3.1839652641052377e-16,4.142707065082312e-14,3.5129687107804435e-14
3.1005287399308606e-14,0.09466578726852673,0.0,0.2350550096294051,0.031075110263184432,0.31940965396089405,0.35048477399806105,0.207012199601268,0.09201813413809781,0.0,4.465565532460223e-30,1.3428874730479498e-09,2.578594729821619e-27,0.0,5.931996328848067e-48,8.611027385296949e-19,1.6866641012862336e-34,1.2862542164904309e-25,4.179770392300174e-40,2.1315995608236558e-18,2.441687410596902e-17,1.0875242995949854e-64,1.582184362167239e-13,2.9118894379123604e-42,3.515281788048481e-33,5.482805715588009e-56,1.3428863200914585e-09,5.852650885350129e-47,6.139896548911236e-08,2.113951667449811e-08,1.3461570814768673e-08,1.6798590894426292e-08,1.389827034800235e-08,6.773104067784378e-09,5.012066191909395e-12,1.3060265083508524e-12,1.5773999620081e-13,3.526732800251359e-16,1.3060097124779386e-12,2.736431048581747e-14,7.03443004573779e-14,6.680587444795874e-09,3.4296407100128617e-16,4.624313153706559e-14,4.2583756204199926e-14
3.3222038266615954e-14,0.09466578726852673,0.0,0.23505499964681237,0.031075110263184432,0.3194096519653878,0.35048477270138734,0.20701219813147448,0.09201812978477959,0.0,5.493485728636007e-30,1.4388984162685647e-09,3.172156797749763e-27,0.0,8.975981204480335e-48,1.05548121563283e-18,2.204206568005591e-34,1.476752905525054e-25,5.1419039230149735e-40,2.44729519747273e-18,2.616258034526745e-17,1.5359964555598507e-64,1.6953041646422274e-13,3.582171821225341e-42,4.633251496725442e-33,8.296329875784298e-56,1.4388970906893962e-09,7.714613092614985e-47,6.5752023322627e-08,2.265000548053844e-08,1.442469745128746e-08,1.7999253727534392e-08,1.4890423238855562e-08,7.257712809561777e-09,5.474874997704797e-12,1.4994892901733495e-12,1.6903107066150585e-13,4.33862073768238e-16,1.4994686278779226e-12,3.1866002525658456e-14,8.071520738801359e-14,7.158214882386398e-09,3.675315666807861e-16,5.114424807121964e-14,5.0864364512373116e-14
3.54387891339233e-14,0.09466578726852673,0.0,0.2350549896692818,0.031075110263184432,0.3194096499699262,0.3504847714047626,0.2070121966618831,0.092018125436332,0.0,6.668156712968304e-30,1.5349093591339831e-09,3.85045866187382e-27,0.0,1.322349002116631e-47,1.2771090919585295e-18,2.832470662610695e-34,1.680401389070291e-25,6.241396219388086e-40,2.7847824229972637e-18,2.7908286570857174e-17,2.1215453863763946e-64,1.808423981898862e-13,4.348146909866167e-42,5.998802078047651e-33,1.2222273621381521e-55,1.5349078488967546e-09,9.98904821447613e-47,7.010021051647224e-08,2.4160374242599996e-08,1.5387914954945558e-08,1.919986752712687e-08,1.588237398102711e-08,7.74236949132034e-09,5.951570215653229e-12,1.7063138589102135e-12,1.8032392160469422e-13,5.266439280355358e-16,1.7062887781430516e-12,3.677108173823914e-14,9.1799324703047e-14,7.635841364411264e-09,3.9209901340713796e-16,5.611711920118201e-14,5.998481118351959e-14
