Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205)
2.6506176267170395e-14,0.058717038926530046,0.0,0.14579435186148634,0.031075110263184432,0.3194096676356185,0.35048479213952083,0.20701222018021495,0.09201815398835499,0.0,6.835110417462545e-43,1.8728401906954715e-14,1.3670219424064557e-42,0.0,5.311354676837067e-89,1.969707835657733e-49,6.755854779019179e-72,8.676256083933004e-41,7.361058134434557e-60,1.1977395276064086e-49,1.5817310076133645e-27,9.584904721149153e-97,6.370875082347392e-39,2.186034455296477e-64,1.8265968784596397e-69,7.275149846777008e-101,1.872840190695629e-14,4.64578324779303e-77,4.155235102636334e-08,1.424073675445335e-08
3.174056325984838e-14,0.058717038926530046,0.0,0.14579434086976661,0.031075110263184432,0.31940966482339256,0.3504847921395171,0.20701222018021495,0.09201814580886122,0.0,1.1736754973155012e-42,2.2426849481862934e-14,2.3473507523682827e-42,0.0,1.8518373242905354e-88,3.3633973431891612e-49,1.6568782013253041e-71,1.2441347773847272e-40,1.2639874177640614e-59,2.0566712896494073e-49,1.894088102379268e-27,2.3507168007636724e-96,7.628982340459232e-39,3.753699530462403e-64,4.4797648834555023e-69,2.1707618413830577e-100,2.2426849481864824e-14,9.536256684854655e-77,4.973184477966286e-08,1.705296270721753e-08
3.697495025252637e-14,0.058717038926530046,0.0,0.14579432988666308,0.031075110263184432,0.3194096620111687,0.3504847921395134,0.20701222018021495,0.09201813763798149,0.0,1.8553543665267047e-42,2.612529705677112e-14,3.710708350082822e-42,0.0,5.324007427640786e-88,5.295529684362629e-49,3.545963108621978e-71,1.6883144654869345e-40,1.9981200767565632e-59,3.251200239324212e-49,2.2064451971451657e-27,5.030898403291727e-96,8.887089438246188e-39,5.93387425263779e-64,9.587391363095571e-69,5.494961201214262e-100,2.612529705677332e-14,1.7546948539144822e-76,5.790272453428711e-08,1.9865186539715063e-08
4.220933724520436e-14,0.058717038926530046,0.0,0.1457943189121665,0.031075110263184432,0.319409659198947,0.35048479213950967,0.20701222018021495,0.09201812947570667,0.0,2.7601305997592713e-42,2.982374463167926e-14,5.520260629789732e-42,0.0,1.3322637021051144e-87,7.854044501285002e-49,6.864220668539073e-71,2.200164660723786e-40,2.9725169840053346e-59,4.836670249307992e-49,2.5188022919110562e-27,9.738762674120205e-96,1.0145196375877094e-38,8.827568574131294e-64,1.8559176019586975e-68,1.2333973165029604e-99,2.982374463168178e-14,2.9787990152615685e-76,6.606499936160216e-08,2.2677408252113503e-08
5.267811123056033e-14,0.058717038926530046,0.0,0.14579429698895838,0.031075110263184432,0.31940965357450996,0.3504847921395023,0.20701222018021495,0.09201811317693553,0.0,5.365306955612146e-42,3.722063978149543e-14,1.0730612803751351e-41,0.0,6.387519664975452e-87,1.5201980119136915e-48,2.0801941840718113e-70,3.426876524791073e-40,5.778156313092492e-59,9.4018089335619e-49,3.1435164814428165e-27,2.9513325538656152e-95,1.2661409771345255e-38,1.7159555810893805e-63,5.624359281599356e-68,4.875018822867483e-99,3.722063978149857e-14,7.224327832819473e-76,8.236377047222284e-08,2.8301845317282433e-08
6.31468852159163e-14,0.058717038926530046,0.0,0.14579427510006973,0.031075110263184432,0.3194096479500813,0.3504847921394949,0.20701222018021495,0.09201809691247553,0.0,9.241868179837987e-42,4.461753493131143e-14,1.848373445202763e-41,0.0,2.2669668210625808e-86,2.6110721366856685e-48,5.1488278430914804e-70,4.9242702741548765e-40,9.953010966547e-59,1.6194838344731372e-48,3.7682306709745505e-27,7.305059990425678e-95,1.5177622528210937e-38,2.9557740897369347e-63,1.3921264767295274e-67,1.4988996063041446e-98,4.461753493131521e-14,1.491550800347315e-75,9.862823049202704e-08,3.392627390406124e-08
7.361565920127228e-14,0.058717038926530046,0.0,0.14579425324542847,0.031075110263184432,0.3194096423256612,0.3504847921394875,0.20701222018021495,0.0920180806822544,0.0,1.4642477871488806e-41,5.201443008112731e-14,2.928495272056936e-41,0.0,6.577426123628753e-86,4.1283785370285334e-48,1.1078472479221706e-69,6.692345813685126e-40,1.5769186488754082e-58,2.5658509457253762e-48,4.392944860506256e-27,1.5717957647277615e-94,1.7693834647818508e-38,4.683020343928703e-63,2.995373755490941e-67,3.879927755567772e-98,5.201443008113169e-14,2.754795621743578e-75,1.1485845164916403e-07,3.955069401378404e-08
8.408443318662826e-14,0.058717038926530046,0.0,0.14579423142496245,0.031075110263184432,0.3194096367012496,0.35048479213948014,0.20701222018021495,0.09201806448620001,0.0,2.1819799618072682e-41,5.941132523094301e-14,4.3639594732239467e-41,0.0,1.6553111329862742e-85,6.142468922315507e-48,2.1520081829242735e-69,8.731103048552686e-40,2.3498788411666713e-58,3.823557322533757e-48,5.0176590500379354e-27,3.0532387149013757e-94,2.0210046131509516e-38,6.978502300545535e-63,5.818562000074627e-67,8.87330189659432e-98,5.941132523094802e-14,4.688775986018447e-75,1.3105450601968085e-07,4.517510564778219e-08
9.455320717198423e-14,0.058717038926530046,0.0,0.14579420963859976,0.031075110263184432,0.3194096310768464,0.35048479213947276,0.20701222018021495,0.09201804832424049,0.0,3.1026497006585473e-41,6.680822038075856e-14,6.205298760887644e-41,0.0,3.7421107657362616e-85,8.723695001780596e-48,3.8668259163186755e-69,1.1040541884228484e-39,3.3413922266686236e-58,5.4368780602293707e-48,5.642373239569587e-27,5.486203827355263e-94,2.2726256980622667e-38,9.923027916304425e-63,1.0455067577460768e-66,1.847389325331741e-97,6.680822038076419e-14,7.497143847784553e-75,1.4721646552787544e-07,5.0799508807384235e-08
1.0502198115734021e-13,0.058717038926530046,0.0,0.1457941878862687,0.031075110263184432,0.3194096254524517,0.3504847921394654,0.20701222018021495,0.09201803219630408,0.0,4.251523362764523e-41,7.420511553057396e-14,8.503045847956314e-41,0.0,7.773808500653879e-85,1.1942408485669757e-47,6.533780140210027e-69,1.3620662226482635e-39,4.5786693589114856e-58,7.450088254778036e-48,6.267087429101212e-27,9.270052972743223e-94,2.5242467196493863e-38,1.3597405149080794e-62,1.7665955053315072e-66,3.5714257657093223e-97,7.420511553058019e-14,1.141058856681027e-74,1.6334440194664803e-07,5.642390349391597e-08
