Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(680),CH2OX(648),CHOX(678)
3.3872996969275662e-09,0.07782336798655136,0.0,0.18993050051531404,0.031075110263184432,0.31805145387535133,0.3503502591388658,0.20635933830319914,0.09304081526176254,0.0,9.36733631051936e-17,3.5273526826071185e-06,2.0328150916074357e-16,0.0,4.672171764837592e-23,0.0005152352977006441,1.3453125598380368e-18,2.209705262233115e-19,1.2209583789386075e-31,1.69322374792825e-10,8.394323324398503e-16,1.8752626159247048e-50,4.772306287003478e-11,9.856417472720485e-35,7.750880993325004e-17,1.0859888940844934e-32,3.227247674808858e-06,3.8219399356717976e-33,4.817649922829396e-06,0.00014589079504942276,0.0011038887141628375,0.00013100564799032363,9.090416092251989e-06,3.909742529686595e-05,1.0920131841683157e-06,3.974304230994439e-05,4.3112264457695035e-08,0.001004702894631555,7.837415691312012e-05,0.00010342814813983921,1.7966028375536941e-06,0.0005648927443978665,5.193400038053317e-13,3.945729915121925e-10,8.956444051475457e-12,4.8579971701460015e-05,2.8918072519983746e-09,3.0315279644758383e-05
3.3913172232457242e-09,0.07782336798655136,0.0,0.18992831364004048,0.031075110263184432,0.31805009579811305,0.3503502564751135,0.20635858859553297,0.0930422565446159,0.0,9.375353399586911e-17,3.5315361815987047e-06,2.042152225457667e-16,0.0,4.7047308849422493e-23,0.0005161929529080424,1.3514622776317403e-18,2.214940867736811e-19,1.225303947203495e-31,1.6970048845039285e-10,8.404261418370071e-16,1.886401569664242e-50,4.7841874534019715e-11,9.89149954163147e-35,7.786156597005481e-17,1.0935549165194607e-32,3.2307409447913347e-06,3.8396949574574344e-33,4.817611798041411e-06,0.00014589404077110338,0.0011041574466902002,0.00013100412824365788,9.09027830611074e-06,3.909062901487433e-05,1.091609029256199e-06,3.973610609847543e-05,4.321165442862282e-08,0.0010058716505373573,7.846006609368142e-05,0.00010335436730970896,1.798698400734919e-06,0.0005654263002944825,5.198320431101554e-13,3.9501397545168527e-10,8.972607273209525e-12,4.8691675671987244e-05,2.898142139596286e-09,3.041985805929826e-05
3.3953347495638822e-09,0.07782336798655136,0.0,0.18992612710844242,0.031075110263184432,0.3180487378341646,0.35035025381118995,0.20635783891513818,0.09304369757357746,0.0,9.38335942532931e-17,3.535719680558078e-06,2.0515236662587658e-16,0.0,4.7374768626419223e-23,0.0005171510644598846,1.3576324405078213e-18,2.220182647688333e-19,1.2296598049334872e-31,1.7007895895524697e-10,8.414199470017952e-16,1.8975933733903839e-50,4.7960913852650136e-11,9.926664689600466e-35,7.821548532216675e-17,1.1011643445819903e-32,3.2342334726051895e-06,3.8575106571239294e-33,4.817573777338069e-06,0.00014589727807041481,0.001104425953976715,0.0001310026086682152,9.09014053845326e-06,3.908383803358361e-05,1.0912055062846373e-06,3.9729175615463305e-05,4.331115184911755e-08,0.001007040156907172,7.854599209106085e-05,0.0001032807245218655,1.800793815364479e-06,0.0005659594931072079,5.203237511905182e-13,3.954548499613525e-10,8.988782733389349e-12,4.8803496506139114e-05,2.904481751556839e-09,3.05246553992729e-05
3.3993522758820402e-09,0.07782336798655136,0.0,0.18992394092026563,0.031075110263184432,0.3180473799833639,0.3503502511470942,0.2063570892620092,0.09304513834907265,0.0,9.391354417228589e-17,3.5399031794852368e-06,2.0609295135614537e-16,0.0,4.770410538206236e-23,0.0005181096320710264,1.3638230900734447e-18,2.225430602016027e-19,1.2340259642520151e-31,1.704577860644422e-10,8.424137479343501e-16,1.9088382148117005e-50,4.808018115229706e-11,9.961913014576059e-35,7.857057031181848e-17,1.108817373348979e-32,3.2377252584191156e-06,3.8753871657987346e-33,4.817535860493817e-06,0.0001459005069706406,0.001104694236371157,0.0001310010892649592,9.090002789266428e-06,3.907705234686007e-05,1.0908026142366497e-06,3.9722250852336425e-05,4.341075669611274e-08,0.0010082084139579315,7.863193487081057e-05,0.00010320721948535538,1.80288908164282e-06,0.0005664923227605815,5.208151279740251e-13,3.958956148975196e-10,9.004970423129304e-12,4.89154341548541e-05,2.910826080457753e-09,3.0629671794705796e-05
3.4073873285183562e-09,0.07782336798655136,0.0,0.1899195695731679,0.031075110263184432,0.3180446646206385,0.35035024581838276,0.20635559003752704,0.09304801914136407,0.0,9.40731141697816e-17,3.548270177242899e-06,2.0798448269844527e-16,0.0,4.836844357585722e-23,0.0005200281343322574,1.376266015827667e-18,2.235945033513359e-19,1.242789236147628e-31,1.7121650912382457e-10,8.444013371033047e-16,1.9314877637915877e-50,4.8319401000050785e-11,1.0032659587336299e-34,7.92842464988587e-17,1.1242550164530517e-32,3.2447066047217435e-06,3.911323135215177e-33,4.817460337480824e-06,0.00014590693966629422,0.0011052301278720994,0.0001309980509787787,9.089727346252643e-06,3.9063496832635805e-05,1.0899987188330043e-06,3.9708418451655176e-05,4.361028857736761e-08,0.0010105441809687258,7.880387063971306e-05,0.0001030606215028326,1.8070791699461449e-06,0.0005675568922891304,5.21796887364604e-13,3.967768155649881e-10,9.03738248379427e-12,4.9139659699567555e-05,2.923528859406921e-09,3.084036227051362e-05
3.415422381154672e-09,0.07782336798655136,0.0,0.18991519959674744,0.031075110263184432,0.3180419497088066,0.35035024048897134,0.20635409092204263,0.09305089892488703,0.0,9.423224632902003e-17,3.556637174871671e-06,2.0988989665740614e-16,0.0,4.904039119581218e-23,0.0005219484574170774,1.3887913882541758e-18,2.2464841616557444e-19,1.251593859874693e-31,1.7197665568397629e-10,8.463889093449575e-16,1.9543517271452687e-50,4.855953668795247e-11,1.010374004348068e-34,8.000261313376536e-17,1.1398694190502798e-32,3.2516849850479317e-06,3.947503916853931e-33,4.817385227199827e-06,0.0001459133390416391,0.0011057651239560187,0.0001309950133924949,9.089451976966113e-06,3.9049962423355656e-05,1.0891973348678602e-06,3.969460882866928e-05,4.381024988797158e-08,0.0010128789533000386,7.897587312514447e-05,0.00010291457103580067,1.8112686672425168e-06,0.0005686200082832449,5.227773207115431e-13,3.976575764323267e-10,9.06984341735135e-12,4.936435191299692e-05,2.936250417127637e-09,3.10519305208033e-05
3.423457433790988e-09,0.07782336798655136,0.0,0.18991083098902953,0.031075110263184432,0.31803923524674366,0.3503502351588531,0.20635259191551192,0.09305377770303287,0.0,9.43909429764162e-17,3.5650041723715337e-06,2.1180927367404935e-16,0.0,4.9720016443316756e-23,0.0005238705990559767,1.401399541112989e-18,2.2570479858702482e-19,1.2604399324151057e-31,1.7273822379953818e-10,8.483764646603956e-16,1.9774316225288765e-50,4.880059082642811e-11,1.0175155166561583e-34,8.072568883880734e-17,1.1556621644798666e-32,3.2586604007457284e-06,3.983930563560134e-33,4.817310527849855e-06,0.00014591970527814347,0.0011062992273646994,0.00013099197651323036,9.089176681304919e-06,3.903644907034934e-05,1.0883984541321504e-06,3.9680821916249836e-05,4.4010640443601664e-08,0.0010152127326780434,7.914794205215115e-05,0.00010276906575918945,1.8154575751248162e-06,0.0005696816701514784,5.237564274495124e-13,3.985378964795308e-10,9.102353186133192e-12,4.958951040150289e-05,2.948990694353802e-09,3.126437757477651e-05
3.431492486427304e-09,0.07782336798655136,0.0,0.1899064637480639,0.031075110263184432,0.3180365212333304,0.35035022982802116,0.20635109301789092,0.0930566554791871,0.0,9.454920642421036e-17,3.573371169742467e-06,2.1374269454667667e-16,0.0,5.040738795786483e-23,0.000525794556984545,1.4140908085625807e-18,2.267636505584069e-19,1.2693275507482968e-31,1.7350121152436329e-10,8.503640030507053e-16,2.0007289747306712e-50,4.904256602564906e-11,1.0246905740115342e-34,8.14534922558229e-17,1.171634846241405e-32,3.2656328531625187e-06,4.0206041298726526e-33,4.8172362376317556e-06,0.00014592603855522019,0.0011068324408193022,0.00013098894034786038,9.088901459168417e-06,3.902295672511871e-05,1.0876020683867407e-06,3.966705764788612e-05,4.4211460060027576e-08,0.0010175455208247936,7.932007714609102e-05,0.00010262410334944479,1.819645895181201e-06,0.0005707418773078131,5.247342070181793e-13,3.994177746907251e-10,9.134911752354998e-12,4.981513477093969e-05,2.9617496318694826e-09,3.1477704456760575e-05
3.43952753906362e-09,0.07782336798655136,0.0,0.18990209787192372,0.031075110263184432,0.3180338076674533,0.3503502244964687,0.20634959422913568,0.09305953225672918,0.0,9.470703897054126e-17,3.58173816698445e-06,2.1569024043184787e-16,0.0,5.110257481874008e-23,0.0005277203289434241,1.4268655251581232e-18,2.278249720224533e-19,1.278256811851232e-31,1.742656169115242e-10,8.52351524516972e-16,2.024245315688034e-50,4.9285464895523526e-11,1.03189925476622e-34,8.218604204611268e-17,1.1877890680338696e-32,3.272602343645024e-06,4.057525672019921e-33,4.8171623547483644e-06,0.0001459323390502744,0.0011073647670209155,0.00013098590490302037,9.088626310457224e-06,3.9009485339334455e-05,1.086808169363948e-06,3.9653315957671154e-05,4.441270855311172e-08,0.001019877319458232,7.949227813265329e-05,0.00010247968148476243,1.8238336289951219e-06,0.0005718006291716535,5.257106588621753e-13,4.002972100510265e-10,9.167519077867256e-12,5.004122462665733e-05,2.9745271705090276e-09,3.169191218621393e-05
3.447562591699936e-09,0.07782336798655136,0.0,0.18989773335870525,0.031075110263184432,0.3180310945480044,0.3503502191641894,0.206348095549202,0.09306240803903243,0.0,9.486444289951749e-17,3.590105164097463e-06,2.1765199284532836e-16,0.0,5.180564654665262e-23,0.000529647912678265,1.4397240258497841e-18,2.2888876292190967e-19,1.2872278126984154e-31,1.7503143801332038e-10,8.543390290602813e-16,2.0479821845039632e-50,4.9529290045688216e-11,1.0391416372706355e-34,8.292335689033576e-17,1.2041264437934774e-32,3.279568873539303e-06,4.094696247915918e-33,4.81708887740467e-06,0.00014593860693874899,0.001107896208651073,0.00013098287018511358,9.088351235073166e-06,3.899603486483307e-05,1.086016748768991e-06,3.9639596780287904e-05,4.4614385738809154e-08,0.0010222081302921932,7.966454473787723e-05,0.00010233579784530759,1.8280207781453414e-06,0.0005728579251678186,5.266857824311325e-13,4.011762015497406e-10,9.20017512460015e-12,5.0267779573503656e-05,2.98732325115718e-09,3.190700177773142e-05
3.4636326969725678e-09,0.07782336798655136,0.0,0.18988900841352668,0.031075110263184432,0.3180256696439855,0.35035020849742615,0.20634509851562277,0.09306815663138365,0.0,9.517797397210382e-17,3.606839157936495e-06,2.2161844512179485e-16,0.0,5.323572490305122e-23,0.0005335085064832425,1.465693721287254e-18,2.3102375279809923e-19,1.3052954215112157e-31,1.765673195661925e-10,8.583139873823664e-16,2.0961236980471003e-50,5.001972962402982e-11,1.0537278209223133e-34,8.44123565594105e-17,1.2373571643646947e-32,3.293493056944102e-06,4.169788741014334e-33,4.816943132168001e-06,0.0001459510455881716,0.0011089564488282536,0.00013097680295459218,9.087801303899532e-06,3.8969196457837004e-05,1.0844413095560966e-06,3.961222570562208e-05,4.5019025452326505e-08,0.0010268667953965286,8.000927371032201e-05,0.00010204963597380557,1.8363933287463746e-06,0.0005749681472834298,5.286320425673381e-13,4.029328489333989e-10,9.26563322887344e-12,5.072228315747525e-05,3.012970802271015e-09,3.233983058105119e-05
3.4797028022451993e-09,0.07782336798655136,0.0,0.18988028889772254,0.031075110263184432,0.31802024651251665,0.3503501978276843,0.20634210191679944,0.09307390128309599,0.0,9.548981763695231e-17,3.6235731512593963e-06,2.256427107222549e-16,0.0,5.469818808343083e-23,0.000537376320463311,1.492002582311711e-18,2.331686197291986e-19,1.3235311529334473e-31,1.7810884058618485e-10,8.622888780256346e-16,2.1451659721220325e-50,5.051390563202542e-11,1.0684497517378544e-34,8.592064109155768e-17,1.27134012562753e-32,3.307405414132138e-06,4.2458901060374745e-33,4.8167989876106015e-06,0.00014596335586943463,0.0011100131824307799,0.00013097073870314398,9.087251664884724e-06,3.894244112202865e-05,1.0828756839007363e-06,3.9584943912652765e-05,4.54253777300693e-08,0.001031521529766579,8.035426187942412e-05,0.00010176559922360507,1.844763559521235e-06,0.0005770725391612157,5.305729831233131e-13,4.0468770881393577e-10,9.331285758683394e-12,5.117864235167403e-05,3.038691813301383e-09,3.2776198886408915e-05
3.495772907517831e-09,0.07782336798655136,0.0,0.18987157479680367,0.031075110263184432,0.3180148251449246,0.3503501871549203,0.2063391057523774,0.09307964202091404,0.0,9.579999166917987e-17,3.6403071440659985e-06,2.2972545480103825e-16,0.0,5.619360831234751e-23,0.0005412513367599006,1.5186533025705747e-18,2.3532336325763677e-19,1.3419357826724504e-31,1.7965598546459303e-10,8.662637009987539e-16,2.195121579200464e-50,5.10118389361568e-11,1.0833080564629271e-34,8.744836061836841e-17,1.3060886114875662e-32,3.3213059558480464e-06,4.323008866564309e-33,4.8166564294654745e-06,0.00014597553911982057,0.0011110664302566974,0.0001309646774743401,9.086702317282775e-06,3.891576847777926e-05,1.0813198046097034e-06,3.9557750898756193e-05,4.58334411030045e-08,0.0010361723469657982,8.069950706791764e-05,0.00010148366912803292,1.853131482932863e-06,0.0005791710963939067,5.325085998749746e-13,4.0644077321206594e-10,9.39713240630259e-12,5.163685397702001e-05,3.0644858131524012e-09,3.321611463601861e-05
3.5118430127904625e-09,0.07782336798655136,0.0,0.18986286609657466,0.031075110263184432,0.31800940553261875,0.35035017647909367,0.2063361100220012,0.09308537887146603,0.0,9.61085136263618e-17,3.657041136356132e-06,2.338673483509907e-16,0.0,5.772256503528501e-23,0.0005451335375908979,1.5456485818675274e-18,2.374879829260473e-19,1.360510086396163e-31,1.8120873858103304e-10,8.702384563103847e-16,2.246003207993404e-50,5.1513550397777966e-11,1.0983033618176137e-34,8.899566557119868e-17,1.3416160733034535e-32,3.3351946928258873e-06,4.401153572753641e-33,4.816515443514201e-06,0.00014598759664921306,0.0011121162128363716,0.00013095861930867466,9.086153260363394e-06,3.8889178147852555e-05,1.0797736041847794e-06,3.953064616953646e-05,4.624321410357425e-08,0.001040819260492489,8.104500710579988e-05,0.00010120382727111634,1.8614971113706958e-06,0.0005812638146601609,5.344388886774496e-13,4.081920341970912e-10,9.463172862761655e-12,5.209691484660071e-05,3.0903523315455407e-09,3.365958569479077e-05
3.527913118063094e-09,0.07782336798655136,0.0,0.18985416278311387,0.031075110263184432,0.31800398766708965,0.3503501658001668,0.2063331147253146,0.09309111186125918,0.0,9.641540085086747e-17,3.6737751281296234e-06,2.380690682338531e-16,0.0,5.928564497153171e-23,0.0005490229052495893,1.5729911261080972e-18,2.3966247827726824e-19,1.3792548397331277e-31,1.8276708430366984e-10,8.742131439691808e-16,2.2978236639814044e-50,5.201906087286004e-11,1.113436294496447e-34,9.056270667785642e-17,1.3779361311099404e-32,3.3490716357891577e-06,4.480332801214366e-33,4.816376015591122e-06,0.00014599952974130045,0.0011131625504458968,0.00013095256424375254,9.085604493410885e-06,3.886266975732995e-05,1.0782370148617897e-06,3.950362923846025e-05,4.665469526569361e-08,0.0010454622837799837,8.139075983083457e-05,0.0001009260552932866,1.8698604571511432e-06,0.000583350689724323,5.363638454648893e-13,4.0994148388722895e-10,9.529406817897676e-12,5.2558821765738194e-05,3.1162908990230737e-09,3.410661985050466e-05
3.5439832233357256e-09,0.07782336798655136,0.0,0.18984546484275316,0.031075110263184432,0.31799857153990735,0.35035015511810486,0.20633011986196056,0.09309684101667486,0.0,9.672067047220801e-17,3.6905091193863e-06,2.4233129721069596e-16,0.0,6.088344216726752e-23,0.0005529194221036782,1.6006836472451819e-18,2.418468488543412e-19,1.398170818272499e-31,1.8433100698944718e-10,8.781877639837893e-16,2.3505958699462648e-50,5.252839121173825e-11,1.1287074811684417e-34,9.214963495928571e-17,1.41506257484573e-32,3.3629367954508017e-06,4.560555154875341e-33,4.816238131587272e-06,0.000146011339654724,0.0011142054631198067,0.0001309465123144661,9.085056015723105e-06,3.883624293354076e-05,1.0767099686479626e-06,3.947669962650787e-05,4.7067883124748426e-08,0.001050101430196814,8.173676308903218e-05,0.00010065033489678804,1.8782215325180515e-06,0.0005854317174361845,5.382834662502742e-13,4.1168911444970806e-10,9.595833960361407e-12,5.3022571532056174e-05,3.142301046951559e-09,3.4557224813981316e-05
3.560053328608357e-09,0.07782336798655136,0.0,0.18983677226205944,0.031075110263184432,0.3179931571427203,0.35035014443287543,0.20632712543158124,0.09310256636396393,0.0,9.702433940938877e-17,3.7072431101259853e-06,2.466547239723402e-16,0.0,6.251655804873524e-23,0.0005568230705943695,1.628728863224638e-18,2.4404109420051024e-19,1.4172587975640507e-31,1.8590049098431583e-10,8.821623163628497e-16,2.4043328665029624e-50,5.304156225886181e-11,1.1441175484771333e-34,9.375660172625653e-17,1.4530093655832314e-32,3.3767901825132246e-06,4.641829262855188e-33,4.816101777454061e-06,0.00014602302762417108,0.0011152449706630769,0.00013094046355316156,9.08450782661052e-06,3.880989730599726e-05,1.075192397357648e-06,3.944985686184091e-05,4.748277621759316e-08,0.0010547367130468834,8.208301473510741e-05,0.00010037664785078843,1.8865803496431566e-06,0.0005875068937307437,5.401977471252204e-13,4.1343491810097605e-10,9.662453977642101e-12,5.3488160935546824e-05,3.168382307525177e-09,3.5011408219257165e-05
