Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93)
1.244982031335851e-10,0.07540679193649383,0.0,0.18702529974891255,0.031075110263184432,0.31931751714364653,0.3504337639155113,0.20700180630178094,0.09201340927299054,0.0,4.328172262054078e-22,6.474154488840605e-08,3.728917087297105e-22,0.0,7.017354308578448e-49,1.1628596589729373e-08,3.0420906913582794e-41,5.965935096088768e-23,3.5268036517653685e-37,7.966637153041153e-30,7.056989146547895e-18,1.2350546189878755e-59,9.922512207470836e-14,2.0020334427005643e-40,1.999082721501826e-39,8.400279552649034e-59,6.45269419913751e-08,4.649694372844417e-47,4.970272900339274e-06,5.772540072140468e-05,4.577554743470694e-05,5.096348248332915e-05,1.0413878434313889e-05,2.434016158942177e-05,2.3505816299449103e-07,4.420301159804377e-06,2.932617525133538e-11,1.8723378801422474e-06,3.7973497499264728e-06,5.250838885114329e-06,9.152281444440626e-09
1.250064226330334e-10,0.07540679193649383,0.0,0.1870244593154619,0.031075110263184432,0.3193171680736308,0.3504335894360474,0.20700180459222847,0.09201341178632061,0.0,4.42041622316925e-22,6.500581094070336e-08,3.7757270941275687e-22,0.0,7.220476101729984e-49,1.1809417052855032e-08,3.104629843108229e-41,6.014737128346404e-23,3.570170414806583e-37,8.064514532216862e-30,7.085796250216601e-18,1.2604693127785371e-59,9.966773281260422e-14,2.0266510807760942e-40,2.040261288951684e-39,8.642255952195382e-59,6.478945487842434e-08,4.726114279127066e-47,4.970291321503831e-06,5.7901188422696364e-05,4.604546744573823e-05,5.113769768114661e-05,1.041558798680993e-05,2.4431972459891012e-05,2.360424509858781e-07,4.453594191156901e-06,2.9566241499967985e-11,1.8939858925443157e-06,3.823806069058464e-06,5.295428930588549e-06,9.226122427434486e-09
1.2551464213248168e-10,0.07540679193649383,0.0,0.18702361855472815,0.031075110263184432,0.31931681918961713,0.3504334152009406,0.20700180291636708,0.0920134143235946,0.0,4.514227558272175e-22,6.52700768615158e-08,3.8229368453553574e-22,0.0,7.428617759913494e-49,1.1992372274504254e-08,3.1681928311800275e-41,6.063737914474982e-23,3.6138912279549118e-37,8.163189634892291e-30,7.114603351661985e-18,1.286300676468081e-59,1.0011072994391579e-13,2.051469698826119e-40,2.0821159694355384e-39,8.890183555552397e-59,6.50519605210944e-08,4.803472622674627e-47,4.970309889125947e-06,5.807659148025866e-05,4.631599442528622e-05,5.13116685219423e-05,1.0417263848198266e-05,2.452367576817333e-05,2.3702622377418614e-07,4.4869845675525645e-06,2.980729046647278e-11,1.9157882343332493e-06,3.850316639024442e-06,5.340203988237625e-06,9.300241141896524e-09
1.2602286163192997e-10,0.07540679193649383,0.0,0.1870227774665485,0.031075110263184432,0.31931647049126133,0.3504332412098503,0.207001801273551,0.09201341688493922,0.0,4.609626042230235e-22,6.55343426510275e-08,3.8705482185546475e-22,0.0,7.641882273799773e-49,1.2177479614743074e-08,3.2327921632139355e-41,6.112937454053534e-23,3.657967530563514e-37,8.262665687612378e-30,7.143410450888693e-18,1.3125538125852275e-59,1.0055411436803774e-13,2.0764901139061706e-40,2.1246550618454657e-39,9.144183871611062e-59,6.531445891979521e-08,4.881777061114769e-47,4.970328602766482e-06,5.825161097301387e-05,4.658712735143614e-05,5.148539534648005e-05,1.041890666425493e-05,2.4615271141978923e-05,2.380094771952397e-07,4.520471946147846e-06,3.004932219686458e-11,1.9377452640525546e-06,3.876881081800198e-06,5.385163916425666e-06,9.37463726217214e-09
1.2653108113137825e-10,0.07540679193649383,0.0,0.18702193605077777,0.031075110263184432,0.31931612197822057,0.3504330674624361,0.20700179966314688,0.09201341947048133,0.0,4.706631609473126e-22,6.579860830942235e-08,3.9185630939195124e-22,0.0,7.86037431841919e-49,1.2364756509955903e-08,3.2984404480565216e-41,6.162335746661422e-23,3.702400761985267e-37,8.362945916788365e-30,7.172217547901282e-18,1.3392338651461532e-59,1.009978869827929e-13,2.1017131430715693e-40,2.167886932829969e-39,9.404380386893525e-59,6.557695007493647e-08,4.961035283300321e-47,4.970347461985388e-06,5.8426247977440176e-05,4.685886520003723e-05,5.165887849504764e-05,1.0420517068371093e-05,2.470675821159225e-05,2.3899220712086955e-07,4.554055984056773e-06,3.029233673707333e-11,1.9598573382139026e-06,3.903499020201204e-06,5.4303085722289484e-06,9.449310461496846e-09
1.2703930063082654e-10,0.07540679193649383,0.0,0.18702109430728786,0.031075110263184432,0.31931577365015323,0.35043289395835814,0.20700179808453345,0.0920134220803478,0.0,4.805264354454884e-22,6.606287383688397e-08,3.9669833542699873e-22,0.0,8.084200273756016e-49,1.2554220472825754e-08,3.365150396164499e-41,6.211932791878323e-23,3.747192361572778e-37,8.46403354869781e-30,7.201024642704223e-18,1.3663460198224676e-59,1.0144204868442912e-13,2.127139603377425e-40,2.2118200170709196e-39,9.67089858961695e-59,6.583943398692749e-08,5.041255009310733e-47,4.970366466341728e-06,5.860050356757428e-05,4.713120694471854e-05,5.183211830745756e-05,1.0422095681790576e-05,2.479813660986405e-05,2.399744094587633e-07,4.58773633835528e-06,3.053633413294383e-11,1.982124811300078e-06,3.930170077883907e-06,5.475637811441913e-06,9.524260412003952e-09
1.2754752013027482e-10,0.07540679193649383,0.0,0.18702025223596774,0.031075110263184432,0.3193154255067184,0.35043272069727716,0.20700179653710143,0.09201342471466559,0.0,4.905544532112473e-22,6.632713923359578e-08,4.0158108850581146e-22,0.0,8.313468245510215e-49,1.2745889092312967e-08,3.432934820008516e-41,6.261728589284251e-23,3.792343768678373e-37,8.565931809484577e-30,7.229831735301901e-18,1.3938955041091842e-59,1.0188660036761608e-13,2.1527703118786366e-40,2.2564628175605108e-39,9.943865993952116e-59,6.610191065617727e-08,5.122443990453544e-47,4.9703856153937025e-06,5.877437881501402e-05,4.740415155690434e-05,5.200511512304764e-05,1.042364311384287e-05,2.4889405972203325e-05,2.4095608015231603e-07,4.6215126660855475e-06,3.078131443023547e-11,2.004548035767925e-06,3.956893879347027e-06,5.5211514885831965e-06,9.599486784732302e-09
1.280557396297231e-10,0.07540679193649383,0.0,0.1870194098367229,0.031075110263184432,0.31931507754757665,0.3504325476788543,0.20700179502025312,0.09201342737356165,0.0,5.007492558320914e-22,6.659140449974082e-08,4.0650475743739797e-22,0.0,8.548288086027425e-49,1.2939780033632531e-08,3.501806634476896e-41,6.311723138459535e-23,3.837856422654106e-37,8.668643925158868e-30,7.258638825698618e-18,1.4218875874926946e-59,1.0233154292544222e-13,2.1786060856298882e-40,2.3018239058782124e-39,1.0223412164477604e-58,6.636438008309447e-08,5.204610009265849e-47,4.970404908698672e-06,5.894787478892105e-05,4.767769800582971e-05,5.21778692806818e-05,1.0425159962171614e-05,2.498056593656944e-05,2.4193721518048156e-07,4.6553846242603284e-06,3.1027277674621935e-11,2.0271273620513213e-06,3.983670049932815e-06,5.566849456901615e-06,9.67498924963391e-09
1.285639591291714e-10,0.07540679193649383,0.0,0.18701856710947531,0.031075110263184432,0.3193147297723895,0.35043237490275103,0.2070017935334023,0.09201343005716305,0.0,5.111129010344946e-22,6.685566963550205e-08,4.1146953129517246e-22,0.0,8.788771415397754e-49,1.3135911038229893e-08,3.571778857279332e-41,6.361916438984827e-23,3.88373176285175e-37,8.772173121597221e-30,7.28744591389859e-18,1.4503275816187438e-59,1.0277687724941181e-13,2.2046477416856545e-40,2.3479119224677337e-39,1.0509668740830301e-58,6.662684226808752e-08,5.2877608795157645e-47,4.970424345813173e-06,5.912099255602348e-05,4.795184525855612e-05,5.2350381118750666e-05,1.0426646812958733e-05,2.5071616143464087e-05,2.4291781055762297e-07,4.689351869867251e-06,3.12742239116908e-11,2.0498631385641578e-06,4.010498215828292e-06,5.612731568382151e-06,9.750767475581626e-09
1.2907217862861968e-10,0.07540679193649383,0.0,0.1870177240541632,0.031075110263184432,0.3193143821808194,0.35043220236862965,0.20700179207597413,0.09201343276559686,0.0,5.216474627287182e-22,6.711993464106202e-08,4.1647559941755445e-22,0.0,9.035031642724134e-49,1.3334299923755385e-08,3.642864609350536e-41,6.412308490441099e-23,3.929971228622807e-37,8.876522624542519e-30,7.316252999905959e-18,1.4792208404604017e-59,1.0322260422944172e-13,2.2308960971001966e-40,2.3947355769139913e-39,1.0802769462553065e-58,6.688929721156444e-08,5.371904446203906e-47,4.970443926292944e-06,5.929373318061838e-05,4.822659227998684e-05,5.2522650975172296e-05,1.0428104241144272e-05,2.5162556235923485e-05,2.4389786233336425e-07,4.723414059873097e-06,3.1522153186943394e-11,2.0727557117033286e-06,4.037378004066492e-06,5.6587976737519165e-06,9.82682113037675e-09
1.2958039812806797e-10,0.07540679193649383,0.0,0.18701688067074074,0.031075110263184432,0.3193140347725303,0.35043203007615253,0.20700179064740465,0.09201343549899023,0.0,5.3235503105327885e-22,6.738419951660306e-08,4.2152315140856745e-22,0.0,9.287183987560884e-49,1.3534964584037148e-08,3.7150771152538333e-41,6.462899292409643e-23,3.976576259318496e-37,8.981695659604002e-30,7.345060083724782e-18,1.508572760486035e-59,1.036687247538585e-13,2.2573519689275644e-40,2.4423036482200783e-39,1.1102850194140287e-58,6.715174491393295e-08,5.457048585564857e-47,4.970463649692948e-06,5.94660977245746e-05,4.850193803288242e-05,5.269467918739281e-05,1.0429532810642008e-05,2.5253385859510397e-05,2.448773665924415e-07,4.7575708512280605e-06,3.1771065545794426e-11,2.095805425851736e-06,4.064309042527664e-06,5.705047622486115e-06,9.903149880756643e-09
1.3008861762751626e-10,0.07540679193649383,0.0,0.18701603695917757,0.031075110263184432,0.3193136875471867,0.3504318580249827,0.20700178924714074,0.0920134382574704,0.0,5.43237712419066e-22,6.764846426230732e-08,4.266123771384353e-22,0.0,9.545345501523137e-49,1.3737922989052636e-08,3.788429703584717e-41,6.51368884447207e-23,4.023548294289766e-37,9.087695452257276e-30,7.373867165359037e-18,1.5383887808272867e-59,1.0411523970939534e-13,2.2840161742215953e-40,2.4906249850842447e-39,1.1410048950282182e-58,6.74141853756005e-08,5.543201205068648e-47,4.970483515567394e-06,5.963808724733522e-05,4.8777881477876155e-05,5.2866466092387164e-05,1.0430933074550936e-05,2.5344104662306335e-05,2.458563194545541e-07,4.791821900869992e-06,3.2020961033571676e-11,2.11901262338131e-06,4.091290959940465e-06,5.75148126281398e-06,9.979753392402278e-09
1.3059683712696454e-10,0.07540679193649383,0.0,0.18701519291945917,0.031075110263184432,0.31931334050445465,0.3504316862147838,0.20700178787463994,0.09201344104116459,0.0,5.542976295531049e-22,6.791272887835664e-08,4.317434667441768e-22,0.0,9.809635090067866e-49,1.39431931848987e-08,3.862935807374356e-41,6.564677146210302e-23,4.07088877288728e-37,9.194525227844322e-30,7.40267424481263e-18,1.56867438344704e-59,1.0456214998118918e-13,2.3108895300359143e-40,2.539708506176878e-39,1.1724505921308574e-58,6.767661859697419e-08,5.630370243422225e-47,4.9705035234697554e-06,5.980970280592026e-05,4.9054421573489444e-05,5.3038012026659714e-05,1.0432305575362676e-05,2.5434712294903687e-05,2.468347170742162e-07,4.82616686572861e-06,3.2271839695515745e-11,2.1423776446560357e-06,4.118323385883133e-06,5.798098441724691e-06,1.0056631329945824e-08
1.3110505662641283e-10,0.07540679193649383,0.0,0.18701434855158608,0.031075110263184432,0.319312993644001,0.3504315146452197,0.20700178652937015,0.09201344385020005,0.0,5.655369215419701e-22,6.817699336493257e-08,4.3691661063019965e-22,0.0,1.0080173534447158e-48,1.4150793293760185e-08,3.9386089644930437e-41,6.615864197206583e-23,4.118599134461433e-37,9.302188211573508e-30,7.431481322089391e-18,1.5994350933073992e-59,1.050094564527776e-13,2.337972853423934e-40,2.5895632004174874e-39,1.2046363498832955e-58,6.793904457846081e-08,5.718563670570939e-47,4.970523672952799e-06,5.9980945454929344e-05,4.933155727614721e-05,5.320931732624499e-05,1.0433650845164934e-05,2.5525208410397898e-05,2.47812555640609e-07,4.860605402729714e-06,3.252370157677979e-11,2.1659008280349904e-06,4.14540595078464e-06,5.844899004973306e-06,1.0133783356978145e-08
1.3161327612586112e-10,0.07540679193649383,0.0,0.1870135038555738,0.031075110263184432,0.31931264696549366,0.35043134331595494,0.20700178521080947,0.0920134466847042,0.0,5.7695774387484365e-22,6.844125772221649e-08,4.421319994688919e-22,0.0,1.0357083513834418e-48,1.4360741513877132e-08,4.015462818053617e-41,6.667249997043467e-23,4.166680818362337e-37,9.410687628519589e-30,7.460288397193077e-18,1.630676478537659e-59,1.054571600060961e-13,2.3652669614388546e-40,2.6401981272516962e-39,1.237576630159764e-58,6.820146332046683e-08,5.80778948770002e-47,4.970543963568599e-06,6.01518162465442e-05,4.9609287540193206e-05,5.338038232670831e-05,1.0434969405841033e-05,2.561559266437972e-05,2.4878983137743207e-07,4.895137168799354e-06,3.277654672242917e-11,2.189582509875403e-06,4.172538285925838e-06,5.891882797086647e-06,1.0211209136056325e-08
1.321214956253094e-10,0.07540679193649383,0.0,0.18701265883145266,0.031075110263184432,0.3193123004686018,0.3504311722266542,0.20700178391844604,0.09201344954480434,0.0,5.885622684862166e-22,6.870552195038949e-08,4.473898242012108e-22,0.0,1.064048962762417e-48,1.4573056119510536e-08,4.093511116814811e-41,6.718834545303826e-23,4.215135263939827e-37,9.520026703623733e-30,7.489095470127373e-18,1.662404150602278e-59,1.0590526152147505e-13,2.3927726711336647e-40,2.6916224169282347e-39,1.271286120152079e-58,6.846387482339845e-08,5.898055727236056e-47,4.970564394868559e-06,6.0322316230531334e-05,4.988761131790534e-05,5.3551207363146486e-05,1.0436261769265643e-05,2.57058647149274e-05,2.4976654054275525e-07,4.929761820867988e-06,3.303037517744126e-11,2.213423024535714e-06,4.199720023440571e-06,5.939049661369186e-06,1.0288908328711134e-08
1.326297151247577e-10,0.07540679193649383,0.0,0.18701181347926774,0.031075110263184432,0.3193119541529957,0.3504310013769831,0.20700178265177777,0.09201345243062796,0.0,6.003526837982372e-22,6.896978604963234e-08,4.526902760372734e-22,0.0,1.0930518417906215e-48,1.4787755460906653e-08,4.172767715584579e-41,6.77061784157084e-23,4.263963910543459e-37,9.630208661693511e-30,7.517902540895892e-18,1.6946237644688501e-59,1.0635376187763691e-13,2.4204907995611395e-40,2.7438452707759378e-39,1.3057797349946052e-58,6.87262790876615e-08,5.989370452848483e-47,4.9705849664034445e-06,6.049244645424467e-05,5.016652755951097e-05,5.372179277018846e-05,1.0437528437496727e-05,2.5796024222598965e-05,2.507426794288713e-07,4.964479015874632e-06,3.328518698670506e-11,2.23742270437865e-06,4.226950796316782e-06,5.98639943990892e-06,1.0366880595454503e-08
1.3313793462420598e-10,0.07540679193649383,0.0,0.18701096779907825,0.031075110263184432,0.3193116080183463,0.35043083076660736,0.20700178141031228,0.09201345534230244,0.0,6.123311947627006e-22,6.923405002012571e-08,4.580335464569407e-22,0.0,1.1227298392114682e-48,1.5004857964259927e-08,4.253246575623355e-41,6.822599885428e-23,4.313168197522514e-37,9.741236727402929e-30,7.546709609502182e-18,1.7273410187760816e-59,1.0680266195169326e-13,2.448422163773842e-40,2.796875961480748e-39,1.3410726204095678e-58,6.898867611366155e-08,6.081741759451071e-47,4.970605677723388e-06,6.066220796262813e-05,5.044603521320214e-05,5.389213888199604e-05,1.0438769902963825e-05,2.5886070850424485e-05,2.517182443621477e-07,4.999288410770967e-06,3.3540982195021044e-11,2.2615818797743174e-06,4.254230238397592e-06,6.033931973583234e-06,1.044512559578694e-08
1.3364615412365426e-10,0.07540679193649383,0.0,0.18701012179095772,0.031075110263184432,0.319311262064326,0.3504306603951932,0.2070017801935666,0.09201345827995534,0.0,6.245000229026812e-22,6.949831386204986e-08,4.634198272104043e-22,0.0,1.1530960045852804e-48,1.5224382131674442e-08,4.334961765047279e-41,6.874780676459109e-23,4.362749564225994e-37,9.853114125292406e-30,7.575516675949713e-18,1.7605616560017585e-59,1.072519626191421e-13,2.4765675808241224e-40,2.8507238333627186e-39,1.3771801553727857e-58,6.925106590180382e-08,6.1751777732034085e-47,4.970626528377924e-06,6.083160179821825e-05,5.072613322515084e-05,5.40622460322645e-05,1.0439986648652735e-05,2.59760042638984e-05,2.5269323170287926e-07,5.034189662525447e-06,3.379776084710077e-11,2.2859008791032964e-06,4.281557984382377e-06,6.08164710206473e-06,1.052364298820496e-08
1.3415437362310255e-10,0.07540679193649383,0.0,0.18700927545499363,0.031075110263184432,0.31931091629060804,0.35043049026240763,0.207001779001067,0.09201346124371415,0.0,6.368614063538054e-22,6.97625775755849e-08,4.688493103187689e-22,0.0,1.1841635885894026e-48,1.544634654112396e-08,4.417927459231366e-41,6.927160214248274e-23,4.412709450002618e-37,9.965844079768816e-30,7.604323740241902e-18,1.7942914626307228e-59,1.0770166475386497e-13,2.504927867764119e-40,2.90539830265302e-39,1.4141179547999071e-58,6.951344845249324e-08,6.269686651512389e-47,4.9706475179160015e-06,6.100062900114678e-05,5.1006820539524204e-05,5.423211455422334e-05,1.0441179148286635e-05,2.606582413097182e-05,2.5366763784514086e-07,5.069182428127382e-06,3.4055522987566704e-11,2.310380028759751e-06,4.3089336698278066e-06,6.12954466382707e-06,1.0602432430208457e-08
1.3466259312255083e-10,0.07540679193649383,0.0,0.18700842879128712,0.031075110263184432,0.31931057069686686,0.35043032036791755,0.20700177783234877,0.09201346423370649,0.0,6.494175999051647e-22,7.002684116091066e-08,4.743221880746345e-22,0.0,1.2159460453360088e-48,1.5670769846410614e-08,4.502157941212631e-41,6.979738498379915e-23,4.463049294200833e-37,1.0079429815105477e-29,7.633130802382088e-18,1.828536269322841e-59,1.0815176922812416e-13,2.5335038416457555e-40,2.960908857770955e-39,1.4519018722532251e-58,6.977582376613444e-08,6.365276583033707e-47,4.970668645886011e-06,6.116929060914334e-05,5.128809609849961e-05,5.440174478063683e-05,1.0442347866503724e-05,2.6155530122044894e-05,2.546414592166401e-07,5.104266364590983e-06,3.4314268660951855e-11,2.3350196531545544e-06,4.336356931148878e-06,6.177624496150792e-06,1.0681493578308078e-08
