Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27)
3.451044861055816e-10,0.12058130662282415,0.0,0.2984065783809782,0.031075110263184432,0.3191727315496564,0.3500262450213938,0.20700929757687925,0.09203043343615483,0.0,6.411318421714453e-13,0.0004514266136847259,1.4257717235350852e-10,0.0,2.0257502593425017e-28,3.1708193333841146e-05,4.635872502291335e-24,7.129108135077563e-16,7.107458183449374e-22,9.317020073663192e-18,5.883240151050508e-10,4.667292628542574e-34,2.88072069192362e-06,6.786436426785593e-23,4.7587715957980914e-23,2.0482357442469082e-34,0.0004485719770959586,2.413635435034768e-26,3.6149428444087826e-06,5.805390571367214e-06,0.0005511225292816603,7.1203618842335844e-06,2.9220150113813843e-06,7.802519616264439e-06,2.3252638883652943e-06,7.913599740207892e-06,3.6778497448354296e-06,0.0001977857067339844,1.3965260291537126e-05,0.00019642837362928998
3.4679327795826056e-10,0.12058130662282415,0.0,0.2984028503004505,0.031075110263184432,0.3191717095111609,0.35002403750086897,0.20700929761093,0.09203060330899836,0.0,6.505486346778766e-13,0.00045363426808363056,1.4467738104926268e-10,0.0,2.0960684664709005e-28,3.212769403599496e-05,4.7502009284392796e-24,7.199506506735013e-16,7.212311731144459e-22,9.454221393606753e-18,5.912030101340826e-10,4.7826082531387294e-34,2.894721329332137e-06,6.886544332656121e-23,4.876100587110223e-23,2.1115054105079108e-34,0.0004507512675567533,2.4612943678429926e-26,3.61495319515124e-06,5.810458193337802e-06,0.0005529836232065355,7.120225909971567e-06,2.9219780816233995e-06,7.79623682531994e-06,2.3312860069583334e-06,7.906583996932288e-06,3.6996730205896754e-06,0.00019879882102816668,1.3960592129317572e-05,0.0001972892854471076
3.4848206981093954e-10,0.12058130662282415,0.0,0.2983991347768045,0.031075110263184432,0.3191706882436908,0.350021829993949,0.20700929764485657,0.09203077418314516,0.0,6.600488024606914e-13,0.0004558419085500339,1.4679806717388122e-10,0.0,2.1684675662513863e-28,3.255001869919768e-05,4.866771870283014e-24,7.270256124606851e-16,7.318191478180668e-22,9.59276063180415e-18,5.940820050750094e-10,4.900191941644331e-34,2.9087204927184487e-06,6.987631814129143e-23,4.9957299567397146e-23,2.176416754858364e-34,0.0004529304049392333,2.5096562907664819e-26,3.6149639447380323e-06,5.815490331563038e-06,0.0005548346932564757,7.120090242817489e-06,2.9219412760745518e-06,7.78999715776636e-06,2.337318188993875e-06,7.899615754972235e-06,3.7215333612386423e-06,0.00019981098346845766,1.3956012589795652e-05,0.00019814846145471774
3.501708616636185e-10,0.12058130662282415,0.0,0.2983954317719108,0.031075110263184432,0.31916966774171435,0.35001962250063484,0.20700929767865928,0.09203094605934202,0.0,6.696325619885446e-13,0.0004580495350839138,1.4893932892254955e-10,0.0,2.242998583557774e-28,3.297516146790559e-05,4.9856180971623924e-24,7.341357080433468e-16,7.425102421725614e-22,9.732644232555577e-18,5.96960999927563e-10,5.020076985974675e-34,2.922718174495742e-06,7.08970363902749e-23,5.117693292736876e-23,2.2430044013313754e-34,0.0004551093892590015,2.5587280990392147e-26,3.6149750910280275e-06,5.820487209693365e-06,0.0005566757669275611,7.119954881884104e-06,2.9219045943667846e-06,7.78380034423621e-06,2.343360147424301e-06,7.89269473225351e-06,3.7434307639835915e-06,0.0002008222001616218,1.3951521428476076e-05,0.00019900590704145639
3.518596535162975e-10,0.12058130662282415,0.0,0.2983917412474959,0.031075110263184432,0.3191686479997345,0.3500174150209272,0.2070092977123385,0.0920311189383075,0.0,6.793001282387908e-13,0.0004602571476852478,1.5110126446821037e-10,0.0,2.3197135379685246e-28,3.340311637629552e-05,5.106772694681144e-24,7.412809466175248e-16,7.533049558944762e-22,9.873878639478148e-18,5.998399946914746e-10,5.142297002213259e-34,2.9367143671013063e-06,7.192764575155313e-23,5.2420245067359435e-23,2.3113035395804203e-34,0.00045728822053154087,2.6085167218598205e-26,3.614986631878154e-06,5.825449050061617e-06,0.0005585068719023599,7.119819826280148e-06,2.921868036130516e-06,7.777646116926023e-06,2.3494115981600564e-06,7.885820647563816e-06,3.765365226025887e-06,0.00020183247719522188,1.3947118384299497e-05,0.00019986162758617418
3.5354844536897646e-10,0.12058130662282415,0.0,0.29838806316514455,0.031075110263184432,0.3191676290122886,0.35001520755482696,0.2070092977458946,0.09203129282073198,0.0,6.890517147086276e-13,0.0004624647463540138,1.532839719614743e-10,0.0,2.3986654582004015e-28,3.3833877349933195e-05,5.230269066198865e-24,7.484613374011073e-16,7.642037887001411e-22,1.0016470295505908e-17,6.027189893664762e-10,5.266885932181807e-34,2.950709062996667e-06,7.29681939029816e-23,5.368757835471912e-23,2.381349931504144e-34,0.0004594668987722155,2.6590291223961887e-26,3.6149985651435372e-06,5.83037607368954e-06,0.0005603280360463343,7.1196850751104336e-06,2.921831600994669e-06,7.77153420958884e-06,2.3554722600556694e-06,7.878993220596007e-06,3.787336744566989e-06,0.0002028418206369687,1.3942803180452298e-05,0.00020071562845739948
3.5523723722165543e-10,0.12058130662282415,0.0,0.29838439748630435,0.031075110263184432,0.3191666107739487,0.35001300010233477,0.20700929777932803,0.09203146770727796,0.0,6.988875334261936e-13,0.0004646723310901895,1.5548754953053123e-10,0.0,2.4799083966801464e-28,3.4267438207433226e-05,5.3561409343226356e-24,7.556768896336802e-16,7.75207240305669e-22,1.0160425642889893e-17,6.055979839522992e-10,5.393878045010278e-34,2.96470225466773e-06,7.401872852223043e-23,5.497927842296878e-23,2.453179917919365e-34,0.0004616454239962719,2.710272297790078e-26,3.615010888677646e-06,5.835268500294335e-06,0.000562139287404283,7.119550627475923e-06,2.9217952885867084e-06,7.76546435752668e-06,2.3615418548954957e-06,7.872212171988112e-06,3.8093453168084533e-06,0.0002038502365341054,1.3938575525144626e-05,0.00020156791501349798
3.569260290743344e-10,0.12058130662282415,0.0,0.2983807441722881,0.031075110263184432,0.31916559327932026,0.35001079266345164,0.20700929781263905,0.09203164359857967,0.0,7.088077949616212e-13,0.0004668799018937529,1.5771209528106208e-10,0.0,2.563497444254781e-28,3.4703792662110486e-05,5.484422342398277e-24,7.629276125763772e-16,7.863158104269548e-22,1.0305751123198143e-17,6.084769784486755e-10,5.523307938706879e-34,2.9786939346249187e-06,7.507929728678527e-23,5.629569418695897e-23,2.526830425282418e-34,0.0004638237962188399,2.762253279161729e-26,3.615023600332444e-06,5.840126548295232e-06,0.0005639406541968216,7.119416482473821e-06,2.921759098532666e-06,7.759436297582951e-06,2.367620107379187e-06,7.865477223360467e-06,3.8313909399519334e-06,0.00020485773091282432,1.3934435112357867e-05,0.00020241849260282967
3.586148209270134e-10,0.12058130662282415,0.0,0.29837710318427674,0.031075110263184432,0.3191645765230428,0.35000858523817835,0.20700929784582814,0.09203182049524339,0.0,7.188127084380416e-13,0.0004690874587646817,1.5995770729615088e-10,0.0,2.649488745041198e-28,3.5142934323622705e-05,5.6151476560012275e-24,7.702135155117279e-16,7.975299987796734e-22,1.0452453177315765e-17,6.113559728553368e-10,5.655210541728059e-34,2.992684095403295e-06,7.61499478739478e-23,5.763717785802332e-23,2.602338972459004e-34,0.0004660020154549341,2.8149791316144766e-26,3.6150366979585276e-06,5.844950434820097e-06,0.0005657321648168983,7.119282639197652e-06,2.9217230304571816e-06,7.753449768134827e-06,2.373706745106926e-06,7.85878809735e-06,3.85347361119917e-06,0.00020586430977771473,1.3930381622562802e-05,0.00020326736656390128
3.6030361277969236e-10,0.12058130662282415,0.0,0.29837347448332324,0.031075110263184432,0.31916356049978983,0.35000637782651584,0.2070092978788956,0.09203199839784737,0.0,7.289024815425477e-13,0.00047129500170295374,1.6222448363619791e-10,0.0,2.737939511415674e-28,3.55848566996043e-05,5.74835156442706e-24,7.775346077435042e-16,8.088503050792804e-22,1.0600538245444942e-17,6.142349671720146e-10,5.789621114548514e-34,3.006672729562703e-06,7.723072796083668e-23,5.900408495912715e-23,2.6797436775426945e-34,0.00046818008171945483,2.8684569542393583e-26,3.6150501794052758e-06,5.8497403757120656e-06,0.0005675138478263453,7.119149096737337e-06,2.9216870839835244e-06,7.74750450908556e-06,2.379801498564418e-06,7.852144517641942e-06,3.875593327752e-06,0.00020686997911124007,1.3926414723409408e-05,0.00020411454222551577
