Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(680),CH2OX(648),CHOX(678),H2X(216),NO2X(213),N2OX(730),H2NX(201),H3NX(202)
2.513691356079278e-11,0.11302162890393913,0.0,0.28054558038033967,0.031072878269578823,0.3193863348840151,0.3504622349833684,0.20700310886476045,0.09201458004927769,0.0,9.913372204398737e-18,1.481007479976772e-05,4.354314655807822e-15,0.0,9.965801507727268e-27,6.230397492190152e-09,6.081477855113779e-20,5.386479906372804e-17,1.0255704359270024e-26,5.0420869532566805e-11,6.827202172837271e-12,3.146278106195758e-42,3.4836727780220694e-08,4.8942699271402055e-28,7.844520580242125e-19,1.1195445065182686e-33,1.4803650293454599e-05,1.0499009676679563e-30,3.6547649126377374e-06,5.573558690029009e-06,3.584906956869888e-05,7.743434005697995e-06,3.1953227111707276e-06,7.183391312913242e-06,9.959429959843699e-07,2.284173681850902e-06,3.648683903024785e-08,1.5254093328061244e-06,4.721412833033687e-06,6.003844488966535e-06,1.2411142299523498e-06,5.376036996669578e-06,5.5506989783032165e-12,5.432696291170537e-10,1.6585915594327298e-10,5.391585883380246e-07,3.4800117144313513e-13,2.4882807299124126e-11,3.139058953281981e-13,3.6473605604577627e-09,3.045278901465332e-16,1.8380751027214581e-06,6.362053347666213e-07
2.5243435086385606e-11,0.11302162890393913,0.0,0.28054520828108764,0.031072873570345397,0.31938624311977315,0.3504621580183899,0.20700308261152045,0.09201458055611579,0.0,1.008316384343913e-17,1.4872817526110792e-05,4.4099033674347706e-15,0.0,1.0220558827764912e-26,6.328517257626218e-09,6.183837943358266e-20,5.432227248247593e-17,1.0386636179962117e-26,5.083553381618423e-11,6.85613273644769e-12,3.2135086661385255e-42,3.4984391554694785e-08,4.956753355906408e-28,7.977106803244176e-19,1.148164705120278e-33,1.4866336699409742e-05,1.067583574487532e-30,3.654775248797925e-06,5.577330344075775e-06,3.6052369695695396e-05,7.757625425380273e-06,3.1965148011279266e-06,7.2001110281417794e-06,9.987404158435381e-07,2.2993093813765627e-06,3.66498933277132e-08,1.542716514583355e-06,4.749629190342367e-06,6.047045584616095e-06,1.2506623586649592e-06,5.396657740637809e-06,5.57199367121217e-12,5.453599249043717e-10,1.6626531129012122e-10,5.435956621114126e-07,3.5190192261794627e-13,2.5249828826479003e-11,3.2020025243859204e-13,3.6781929857533887e-09,3.120061782083773e-16,1.8375911857352666e-06,6.378538624282534e-07
2.534995661197843e-11,0.11302162890393913,0.0,0.28054483603818514,0.031072868909365232,0.31938615137512594,0.3504620811427114,0.20700305637732033,0.09201458106696773,0.0,1.0255199564462348e-17,1.4935560110139876e-05,4.465963203395515e-15,0.0,1.0480707841449562e-26,6.427750084190678e-09,6.287473585742886e-20,5.4781680239576397e-17,1.0518677652547377e-26,5.125178491606455e-11,6.8850632944543534e-12,3.281883619230858e-42,3.5132056038130046e-08,5.019766327232247e-28,8.111355193748885e-19,1.1773906554159746e-33,1.4929022710528306e-05,1.0854867053312357e-30,3.6547855800733797e-06,5.581064658662807e-06,3.625590725158974e-05,7.771727558911542e-06,3.197687930052081e-06,7.216706454414677e-06,1.001528913664473e-06,2.3144497547317853e-06,3.681302158177688e-08,1.5601313495547744e-06,4.777831564960574e-06,6.0903670973963315e-06,1.2602326503012971e-06,5.417261415320989e-06,5.5932707741859635e-12,5.474485536571119e-10,1.6667316135158445e-10,5.480497207904755e-07,3.558275025863113e-13,2.5620778712654572e-11,3.265933895181531e-13,3.709153952937472e-09,3.1963289393572843e-16,1.8370754777974576e-06,6.395003954022502e-07
2.5456478137571255e-11,0.11302162890393913,0.0,0.2805444636521468,0.031072864286567446,0.3193860596499077,0.3504620043557715,0.2070030301618598,0.09201458158184314,0.0,1.0429500062016352e-17,1.4998302551886269e-05,4.522496152310545e-15,0.0,1.0746339074713209e-26,6.528103556097628e-09,6.392395104523795e-20,5.524302233362127e-17,1.0651833459166912e-26,5.1669621518678325e-11,6.913993846859898e-12,3.351417513329087e-42,3.5279721233708006e-08,5.08331107542098e-28,8.247279332180113e-19,1.2072325287287018e-33,1.4991708326749437e-05,1.103612146871041e-30,3.65479590628592e-06,5.5847621774609255e-06,3.64596808389399e-05,7.785740967413295e-06,3.1988423983121283e-06,7.233178158213211e-06,1.0043084935509181e-06,2.3295944050349444e-06,3.697622381559977e-08,1.577653820109305e-06,4.806019325531283e-06,6.133808630303928e-06,1.2698249407467838e-06,5.437848034721252e-06,5.6145303016697385e-12,5.495355169902273e-10,1.6708270189416558e-10,5.525207502845197e-07,3.5977792871834434e-13,2.599568117128467e-11,3.330864221302683e-13,3.740243446652248e-09,3.274102671123343e-16,1.8365283827420885e-06,6.411448801830928e-07
2.556299966316408e-11,0.11302162890393913,0.0,0.28054409112348666,0.03107285970188015,0.3193859679439555,0.3504619276570129,0.20700300396484334,0.0920145821007515,0.0,1.060608612928973e-17,1.5061044851381171e-05,4.579504202813147e-15,0.0,1.1017544178711377e-26,6.629585271773923e-09,6.498612859818155e-20,5.570629876320271e-17,1.0786108281959229e-26,5.2089042311573696e-11,6.942924393666914e-12,3.422125019057516e-42,3.5427387144591374e-08,5.147389834773918e-28,8.384892849722176e-19,1.2377006228267767e-33,1.505439354801222e-05,1.1219616923522279e-30,3.654806227245444e-06,5.58842343625775e-06,3.666368907042221e-05,7.799666208480595e-06,3.1999785015186486e-06,7.2495267072161105e-06,1.007079160088844e-06,2.3447429383790408e-06,3.713950005216764e-08,1.5952839060560383e-06,4.8341918473648205e-06,6.1773697864646524e-06,1.2794390666375674e-06,5.458417612829189e-06,5.635772268096671e-12,5.516208165224254e-10,1.6749392846382496e-10,5.57008736514664e-07,3.6375321797061157e-13,2.6374560429638486e-11,3.396804733831353e-13,3.771461451541606e-09,3.353405496945862e-16,1.8359503013571268e-06,6.427872637927725e-07
2.5669521188756905e-11,0.11302162890393913,0.0,0.28054371845271864,0.03107285515523042,0.31938587625710846,0.3504618510458814,0.20700297778597992,0.09201458262370224,0.0,1.0784978657923685e-17,1.512378700865568e-05,4.636989343549444e-15,0.0,1.1294415938902733e-26,6.732202843768562e-09,6.606137249561069e-20,5.617150952691311e-17,1.0921506803060223e-26,5.251004598337533e-11,6.971854934877956e-12,3.494020930324187e-42,3.5575053773924216e-08,5.212004839590422e-28,8.524209428261668e-19,1.2688053629440723e-33,1.5117078374255691e-05,1.1405371415860589e-30,3.6548165427508932e-06,5.592048963068178e-06,3.686793056874337e-05,7.813503836204158e-06,3.2010965305988024e-06,7.265752670216601e-06,1.0098409183378485e-06,2.3598949638259805e-06,3.730285031429206e-08,1.613021584647748e-06,4.8623485124010996e-06,6.221050169154301e-06,1.289074865362006e-06,5.478970163623863e-06,5.656996687886041e-12,5.53704453821114e-10,1.6790683695609245e-10,5.615136654133154e-07,3.6775338688863407e-13,2.6757440728223408e-11,3.4637667394335647e-13,3.80280795225109e-09,3.434260159043001e-16,1.8353416313867251e-06,6.444274937891527e-07
2.577604271434973e-11,0.11302162890393913,0.0,0.2805433456403562,0.031072850646544324,0.31938578458920813,0.35046177452182625,0.20700295162498353,0.09201458315070478,0.0,1.0966198637823723e-17,1.5186529023740782e-05,4.694953563178465e-15,0.0,1.1577048284134528e-26,6.8359638986621644e-09,6.714978709462589e-20,5.663865462334521e-17,1.1058033704603189e-26,5.29326312237837e-11,7.000785470495534e-12,3.567120164836659e-42,3.5722721124832005e-08,5.277158324167913e-28,8.665242800329298e-19,1.3005573028012633e-33,1.5179762805418836e-05,1.1593403009424602e-30,3.6548268525912118e-06,5.595639278244533e-06,3.7072403966552626e-05,7.827254401192454e-06,3.202196771871069e-06,7.281856617038957e-06,1.0125937738225681e-06,2.375050093400829e-06,3.746627462461114e-08,1.6308668306043932e-06,4.890488709171823e-06,6.2648493818195645e-06,1.2987321750621333e-06,5.4995057010728184e-06,5.67820357544579e-12,5.557864304734709e-10,1.683214232735232e-10,5.660355229244304e-07,3.7177845160995103e-13,2.7144346320383024e-11,3.531761620495163e-13,3.834282933427904e-09,3.516689623214024e-16,1.8347027675335608e-06,6.46065518274252e-07
2.5882564239942554e-11,0.11302162890393913,0.0,0.2805429726869124,0.03107284617574695,0.3193856929400982,0.3504616980843004,0.20700292548157223,0.09201458368176842,0.0,1.1149767156966683e-17,1.5249270896667375e-05,4.75339885037219e-15,0.0,1.1865536295791364e-26,6.940876076977592e-09,6.825147712964769e-20,5.710773405109203e-17,1.1195693668718806e-26,5.335679672357401e-11,7.029716000522122e-12,3.641437764617789e-42,3.5870389200421843e-08,5.342852522801864e-28,8.808006749041721e-19,1.3329671256341848e-33,1.524244684144059e-05,1.1783729833427157e-30,3.654837156546183e-06,5.599194894583823e-06,3.727710790635533e-05,7.840918450593534e-06,3.2032795071176603e-06,7.29783911845843e-06,1.0153377325242822e-06,2.3902079420855866e-06,3.762977300559031e-08,1.6488196161364238e-06,4.9186118327623995e-06,6.308767028098185e-06,1.3084108346349147e-06,5.52002423913209e-06,5.699392945174963e-12,5.578667481295598e-10,1.6873768320061282e-10,5.70574295003588e-07,3.758284278699069e-13,2.7535301471902896e-11,3.600800835255793e-13,3.865886379720904e-09,3.600717079757114e-16,1.8340341014619593e-06,6.477012859016917e-07
2.598908576553538e-11,0.11302162890393913,0.0,0.28054259959289995,0.03107284174276243,0.3193856013096252,0.35046162173276,0.20700289935546892,0.09201458421690245,0.0,1.1335705401207909e-17,1.531201262746625e-05,4.812327193815614e-15,0.0,1.215997621694441e-26,7.046947033090524e-09,6.936654771198734e-20,5.757874780874687e-17,1.1334491377535168e-26,5.3782541174595494e-11,7.0586465249601516e-12,3.716988896521496e-42,3.601805800378255e-08,5.409089669785799e-28,8.952515108043394e-19,1.3660456452222539e-33,1.5305130482259834e-05,1.197637008252161e-30,3.6548474543872725e-06,5.602716317434967e-06,3.748204104042662e-05,7.854496528116818e-06,3.204345013656957e-06,7.313700746121445e-06,1.018072800872511e-06,2.4053681278129775e-06,3.779334547952318e-08,1.6668799109680804e-06,4.946717284773861e-06,6.352802711839109e-06,1.3181106837334984e-06,5.540525791746219e-06,5.72056481145674e-12,5.599454083734571e-10,1.6915561276157543e-10,5.751299676177504e-07,3.7990333100490143e-13,2.7930330460615492e-11,3.6708959179428833e-13,3.897618275780607e-09,3.6863659443869444e-16,1.8333360218010052e-06,6.493347458841523e-07
2.6095607291128203e-11,0.11302162890393913,0.0,0.2805422263588309,0.031072837347513895,0.3193855096976371,0.35046154546666497,0.2070028732464007,0.09201458475611608,0.0,1.1524034654083705e-17,1.5374754216168115e-05,4.871740582206797e-15,0.0,1.2460465461566382e-26,7.154184435141225e-09,7.049510432941854e-20,5.80516958949033e-17,1.1474431513177741e-26,5.420986326977041e-11,7.087577043812019e-12,3.793788852748547e-42,3.616572753798481e-08,5.4758719994112995e-28,9.098781761448423e-19,1.3998038069242791e-33,1.536781372781545e-05,1.2171342016728948e-30,3.6548577458783654e-06,5.6062040448030335e-06,3.768720203072664e-05,7.867989174054652e-06,3.2053935644135983e-06,7.329442072468588e-06,1.0207989857368133e-06,2.420530271459783e-06,3.795699206853235e-08,1.6850476823604957e-06,4.974804473284512e-06,6.396956037121902e-06,1.32783156276826e-06,5.561010372848263e-06,5.741719188657978e-12,5.620224127247272e-10,1.6957520799072076e-10,5.79702526745482e-07,3.8400317595260116e-13,2.8329457576017983e-11,3.74205847890378e-13,3.929478606259186e-09,3.773659859142827e-16,1.8326089141484355e-06,6.509658479999951e-07
2.6202128816721028e-11,0.11302162890393913,0.0,0.28054185298521694,0.031072832989923586,0.31938541810398496,0.35046146928547833,0.20700284715409906,0.09201458529941847,0.0,1.1714776296614302e-17,1.543749566280355e-05,4.931641004256921e-15,0.0,1.2767102623742514e-26,7.262595964946206e-09,7.163725284574882e-20,5.852657830815517e-17,1.1615518757769408e-26,5.463876170309322e-11,7.116507557080078e-12,3.8718530513623197e-42,3.631339780608126e-08,5.543201745968002e-28,9.246820643782431e-19,1.4342526887138279e-33,1.543049657804624e-05,1.2368663961364868e-30,3.65486803077651e-06,5.609658567453732e-06,3.789258954881517e-05,7.881396925303863e-06,3.206425427988767e-06,7.345063670657666e-06,1.0235162944185713e-06,2.435693996840207e-06,3.8120712794570183e-08,1.7033228951347958e-06,5.002872812811615e-06,6.441226608276216e-06,1.3375733129078597e-06,5.5814779963598e-06,5.7628560911442566e-12,5.640977628323732e-10,1.6999646488244944e-10,5.84291958376795e-07,3.881279772577789e-13,2.8732707118878264e-11,3.814300204738001e-13,3.961467355810471e-09,3.8626226932971936e-16,1.8318531610744612e-06,6.52594542599964e-07
2.6308650342313853e-11,0.11302162890393913,0.0,0.28054147947256924,0.031072828669912782,0.3193853265285213,0.3504613931886664,0.2070028210782997,0.09201458584681872,0.0,1.1907951807101808e-17,1.5500236967403068e-05,4.992030448690339e-15,0.0,1.3079987486952215e-26,7.3721893179111186e-09,7.279309950039207e-20,5.900339504709666e-17,1.1757757793430428e-26,5.506923516962964e-11,7.145438064766653e-12,3.9511970368045807e-42,3.6461068811106706e-08,5.611081143743593e-28,9.396645739924436e-19,1.469403502222541e-33,1.5493179032891016e-05,1.2568354306967032e-30,3.6548783088325665e-06,5.6130803690146985e-06,3.809820227576844e-05,7.89472031538701e-06,3.2074408687279956e-06,7.360566114490136e-06,1.0262247346429825e-06,2.4508589306987624e-06,3.828450767941967e-08,1.721705511694988e-06,5.030921724272797e-06,6.485614029900483e-06,1.3473357760800774e-06,5.601928676190949e-06,5.783975533270768e-12,5.661714603749868e-10,1.704193795818888e-10,5.8889824851305e-07,3.9227774907984445e-13,2.914010340086032e-11,3.887632858427535e-13,3.9935845090899506e-09,3.9532785442539544e-16,1.831069142126408e-06,6.542207806130115e-07
2.6415171867906677e-11,0.11302162890393913,0.0,0.28054110582139813,0.031072824387401877,0.319385234971101,0.3504613171756991,0.2070027950187425,0.09201458639832583,0.0,1.2103582760929054e-17,1.5562978129997063e-05,5.052910904244638e-15,0.0,1.3399221033342562e-26,7.482972202943487e-09,7.396275090794096e-20,5.948214611032217e-17,1.1901153302278468e-26,5.550128236551585e-11,7.174368566874023e-12,4.031836480411254e-42,3.660874055607815e-08,5.679512427023817e-28,9.548271085048741e-19,1.5052675937825315e-33,1.555586109228855e-05,1.277043150922231e-30,3.6548885797918573e-06,5.616469926077239e-06,3.830403890209571e-05,7.90795987447368e-06,3.208440146789332e-06,7.375949978336604e-06,1.0289243145510327e-06,2.4660247027032387e-06,3.844837674469517e-08,1.7401954920508593e-06,5.058950634947533e-06,6.530117906880708e-06,1.357118794972679e-06,5.622362426240373e-06,5.805077529356943e-12,5.68243506814471e-10,1.7084394827306106e-10,5.935213831673039e-07,3.9645250519035914e-13,2.955167074414125e-11,3.962068279467373e-13,4.025830050754773e-09,4.045651738447721e-16,1.8302572338332365e-06,6.558445135522612e-07
