Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(680),CH2OX(648),CHOX(678),H2X(216),NO2X(213),N2OX(730)
4.623533107036949e-09,0.0521079599565058,0.0,0.12277713313793859,0.031075110263184432,0.31660634696500856,0.3488216855870974,0.2062392363370585,0.09221956394671184,0.0,9.025794667562663e-26,6.184963267042781e-11,1.5314364903187349e-27,0.0,7.722668536409828e-38,4.438894341498737e-05,5.597129647836097e-30,4.19046580785522e-30,5.242879022494876e-51,3.391873134841205e-16,8.951039427046348e-26,1.6631171441025384e-81,1.5288586298097373e-17,3.2271847998925084e-56,3.60043899805992e-27,2.1307421678547846e-52,5.6196331771220085e-11,1.7807602828481714e-50,1.0101531967690193e-05,0.0021250401507752954,0.0013483095148851636,0.0016631064887221547,7.452813012537783e-05,0.0003262827979050632,7.396836539468e-08,0.00013161367959290952,8.782143448640382e-13,0.00013053225843992464,8.984368493167312e-05,8.854235392211096e-06,1.4813700965653407e-10,0.0006978630629914837,7.724291037368264e-18,1.4835089787922812e-13,6.557570924960772e-17,2.2190685902411586e-08,5.117818891200364e-11,5.704080272676648e-07,1.8927804619043507e-07,1.8712061776918706e-12,3.0208530855414955e-16
4.638621582260281e-09,0.0521079599565058,0.0,0.12275877094560836,0.031075110263184432,0.3165980934344741,0.3488168466280946,0.20623708496708396,0.09222077827118336,0.0,9.041986391568933e-26,6.204519556722563e-11,1.5582568175742753e-27,0.0,7.872158041801611e-38,4.476842951304168e-05,5.668199475841665e-30,4.2177677582611485e-30,5.294330141466781e-51,3.413643874346857e-16,8.980200029584353e-26,1.6904115388201155e-81,1.5471374619591748e-17,3.25885458335062e-56,3.646396899326472e-27,2.172166241033344e-52,5.635700601013727e-11,1.8039381279175493e-50,1.0100093488358099e-05,0.0021314326211328157,0.0013514643939899068,0.0016679454475175637,7.451606891676661e-05,0.00032647355814977296,7.389337963867946e-08,0.0001321080168768635,8.837947337305344e-13,0.00013116707861542546,9.038467711867361e-05,8.817386369498412e-06,1.4884336814892103e-10,0.000700019558535164,7.748511189951199e-18,1.4893209951706956e-13,6.577519233188502e-17,2.2340259729051975e-08,5.159476537323188e-11,5.771936757415418e-07,1.9124472896244903e-07,1.883109354029857e-12,3.0663756308959384e-16
4.653710057483612e-09,0.0521079599565058,0.0,0.12274042542122401,0.031075110263184432,0.3165898451826563,0.34881201119072097,0.20623493425645475,0.09222199389875714,0.0,9.058043340349797e-26,6.224071978486385e-11,1.5854831053019226e-27,0.0,8.024030366818587e-38,4.514967996723576e-05,5.7399293414952225e-30,4.245157795774015e-30,5.346116491286132e-51,3.4354817734406627e-16,9.009360319143424e-26,1.7180629904383338e-81,1.565594463265158e-17,3.290730708431246e-56,3.6927842639707346e-27,2.2142546239565625e-52,5.651754691178865e-11,1.8273403612128927e-50,1.0098656815043044e-05,0.0021378215021111164,0.0013546117484767172,0.0016727808846836736,7.450401843188842e-05,0.0003266618466877359,7.381866506436794e-08,0.00013260152878091005,8.893915829061883e-13,0.00013180200553100538,9.092716977380785e-05,8.78083991626445e-06,1.4955007765071683e-10,0.0007021753295116002,7.77272544825701e-18,1.4951401385130697e-13,6.597510723772052e-17,2.249037415322661e-08,5.2012999641604454e-11,5.840332801425317e-07,1.9322366933066377e-07,1.895048281323279e-12,3.1124095456911765e-16
4.668798532706944e-09,0.0521079599565058,0.0,0.1227220965496684,0.031075110263184432,0.3165816022033999,0.34880717927223603,0.20623278420447802,0.092223210822921,0.0,9.073967174718646e-26,6.243620534248037e-11,1.6131204955262854e-27,0.0,8.178315324348868e-38,4.5532694586928186e-05,5.8123230936620545e-30,4.2726359152930075e-30,5.398239156897315e-51,3.457386809561492e-16,9.038520295817258e-26,1.7460749882659309e-81,1.584230861313409e-17,3.3228138429065914e-56,3.739603610535879e-27,2.2570157050767742e-52,5.6677954604085516e-11,1.850968408383622e-50,1.0097221946389342e-05,0.002144206789747464,0.0013577515861998186,0.0016776128029612277,7.449197866039097e-05,0.0003268476863176985,7.374422282355383e-08,0.0001330942114770266,8.95004880088365e-13,0.00013243703511943514,9.147115811125192e-05,8.744593692212709e-06,1.502571327170685e-10,0.0007043303764221691,7.796934228335617e-18,1.5009662782792204e-13,6.61754531318954e-17,2.264102954346984e-08,5.243289037580809e-11,5.909270419303043e-07,1.9521488226704634e-07,1.9070229421562435e-12,3.1589585473384437e-16
4.683887007930275e-09,0.0521079599565058,0.0,0.12270378431577182,0.031075110263184432,0.3165733644905539,0.34880235086990113,0.20623063481046167,0.09222442903723317,0.0,9.089759533244845e-26,6.263165225919066e-11,1.6411741808281466e-27,0.0,8.335042996980091e-38,4.5917473156457795e-05,5.885384589733698e-30,4.300202111721661e-30,5.45069922321075e-51,3.479358960163827e-16,9.067679959699453e-26,1.774451044231169e-81,1.6030478870233833e-17,3.355104654527743e-56,3.786857463055435e-27,2.3004579499434593e-52,5.6838229214789776e-11,1.8748236993714864e-50,1.0095788880889042e-05,0.0021505884800905556,0.0013608839150914568,0.0016824412050886954,7.447994959195364e-05,0.0003270310997021943,7.367005394245356e-08,0.0001335860612053933,9.006346129748759e-13,0.00013307216337787747,9.201663733311606e-05,8.708645339235999e-06,1.5096452795364572e-10,0.0007064846997676828,7.821136676778277e-18,1.5067985353759294e-13,6.63762289171362e-17,2.2792226267939265e-08,5.285443623943669e-11,5.978751623059141e-07,1.9721838250007822e-07,1.9190333191325337e-12,3.206026364704896e-16
4.698975483153607e-09,0.0521079599565058,0.0,0.12268548870430887,0.031075110263184432,0.31656513203797165,0.34879752598098,0.20622848607371458,0.09222564853532017,0.0,9.105422032446384e-26,6.28270605540878e-11,1.6696494046623425e-27,0.0,8.494243738476897e-38,4.630401543530209e-05,5.95911769560723e-30,4.3278563799678585e-30,5.503497775102912e-51,3.5013982027177357e-16,9.096839310883508e-26,1.8031946929544232e-81,1.622046774626963e-17,3.387603811024681e-56,3.834548351037846e-27,2.344589901640712e-52,5.699837087151409e-11,1.8989076684085786e-50,1.0094357616888065e-05,0.0021569665692009483,0.0013640087431636473,0.0016872660938022713,7.446793121628361e-05,0.0003272121093677096,7.35961593263684e-08,0.00013407707427383884,9.062807692640837e-13,0.00013370738636708579,9.25636026300478e-05,8.672992483320476e-06,1.5167225801633405e-10,0.0007086383000483843,7.845333062844344e-18,1.512637912279552e-13,6.657743336012703e-17,2.2943964694154752e-08,5.3277635901026083e-11,6.048778422126368e-07,1.9923418451530946e-07,1.9310793948755765e-12,3.2536167380969204e-16
4.714063958376938e-09,0.0521079599565058,0.0,0.12266720969999492,0.031075110263184432,0.31655690483951093,0.3487927046027389,0.20622633799354614,0.09222686931087481,0.0,9.120956266987584e-26,6.302243024624248e-11,1.6985514616760507e-27,0.0,8.65594817526074e-38,4.6692321158237035e-05,6.033526285664589e-30,4.355598714943819e-30,5.556635897416345e-51,3.5235045147088624e-16,9.125998349462828e-26,1.8323094918207527e-81,1.6412287616471192e-17,3.4203119801062865e-56,3.882678809451088e-27,2.3894201812255554e-52,5.715837970172219e-11,1.9232217540153601e-50,1.0092928152592868e-05,0.002163341053151482,0.0013671260785098145,0.0016920874718358721,7.445592352311209e-05,0.0003273907377048557,7.352253976480045e-08,0.00013456724705728803,9.119433366550057e-13,0.00013434270021060924,9.311204918182742e-05,8.637632736384662e-06,1.5238031761092863e-10,0.0007107911777639468,7.869524427786034e-18,1.5184846043838548e-13,6.677906571305848e-17,2.309624518926922e-08,5.3702488034166134e-11,6.119352823368139e-07,2.012623025559215e-07,1.943161152028407e-12,3.301733419243597e-16
4.7291524336002695e-09,0.0521079599565058,0.0,0.1226489472874829,0.031075110263184432,0.31654868288903454,0.34878788673244626,0.20622419056926672,0.0922280913576541,0.0,9.136363809881517e-26,6.321776135470304e-11,1.727885698027487e-27,0.0,8.820187207891997e-38,4.7082390035497844e-05,6.108614242751954e-30,4.3834291115660896e-30,5.610114674959672e-51,3.545677873638405e-16,9.155157075530715e-26,1.861799021052477e-81,1.6605950888765516e-17,3.45322982946035e-56,3.93125137870729e-27,2.4349574881670666e-52,5.731825583272901e-11,1.9477673989986803e-50,1.0091500486076125e-05,0.0021697119280277006,0.0013702359293063019,0.001696905341921137,7.444392650219039e-05,0.0003275670069685468,7.344919593578549e-08,0.00013505657599721248,9.176223028474198e-13,0.00013497810109400392,9.366197215795668e-05,8.602563698049159e-06,1.5308870149282878e-10,0.0007129433334134702,7.893709280521089e-18,1.5243370646187585e-13,6.698112490483019e-17,2.3249068120164932e-08,5.412899131763424e-11,6.190476831087102e-07,2.033027506233005e-07,1.9552785732536304e-12,3.350380171280344e-16
4.744240908823601e-09,0.0521079599565058,0.0,0.12263070145136057,0.031075110263184432,0.3165404661804101,0.3487830723673725,0.20622204380018755,0.0922293146694775,0.0,9.151646212696635e-26,6.341305389849555e-11,1.7576575117049917e-27,0.0,8.98699201255438e-38,4.747422175294101e-05,6.184385458159143e-30,4.4113475647555425e-30,5.663935192507612e-51,3.5679182570230984e-16,9.184315489180375e-26,1.8916668837817428e-81,1.680147000356302e-17,3.486358026753578e-56,3.980268604647429e-27,2.481210600786345e-52,5.747799939170097e-11,1.972546050449803e-50,1.0090074615283094e-05,0.002176079189928257,0.0013733383038137738,0.0017017197067874252,7.443194014328662e-05,0.00032774093927818586,7.337612841086845e-08,0.0001355450576010825,9.233176555419643e-13,0.0001356135852640504,9.421336671823973e-05,8.56778295734489e-06,1.5379740446673291e-10,0.0007150947674954791,7.917887596704191e-18,1.530196499403709e-13,6.718360953312794e-17,2.340243385300586e-08,5.455714443538236e-11,6.262152447033804e-07,2.053555424776194e-07,1.967431641233389e-12,3.3995607687327217e-16
4.7593293840469324e-09,0.0521079599565058,0.0,0.12261247217614758,0.031075110263184432,0.3165322547075099,0.34877826150479074,0.20621989768562057,0.09223053924022487,0.0,9.166805005767319e-26,6.360830789662376e-11,1.7878723528465068e-27,0.0,9.156394042541646e-38,4.786781597220718e-05,6.2608438315990666e-30,4.439354069437364e-30,5.718098534800983e-51,3.590225642395197e-16,9.213473590504913e-26,1.9219167061230877e-81,1.6998857433543382e-17,3.519697239631603e-56,4.0297330385260165e-27,2.5281883766972867e-52,5.7637610505656185e-11,1.9975591597424318e-50,1.0088650538036831e-05,0.0021824428349653266,0.001376433210378501,0.0017065305691618148,7.441996443618211e-05,0.00032791255661785573,7.330333765904311e-08,0.0001360326884418223,9.290293824402428e-13,0.00013624914902797777,9.476622801335728e-05,8.533288094353618e-06,1.5450642138633337e-10,0.0007172454805079196,7.942061669601273e-18,1.5360638097490938e-13,6.738651890414212e-17,2.3556342753545427e-08,5.4986946076621685e-11,6.334381670415456e-07,2.0742069163843015e-07,1.9796203386693266e-12,3.449278997500394e-16
4.774417859270264e-09,0.0521079599565058,0.0,0.12259425944629294,0.031075110263184432,0.3165240484642119,0.3487734541419759,0.20621775222487865,0.09223176506383482,0.0,9.181841698407925e-26,6.380352336806926e-11,1.818535724059433e-27,0.0,9.328425029746572e-38,4.8263172330885356e-05,6.337993271187218e-30,4.46744862054105e-30,5.772605786546729e-51,3.6126000073024556e-16,9.242631379597344e-26,1.9525521372459983e-81,1.7198125683441234e-17,3.5532481357189915e-56,4.079647236995851e-27,2.5758997532481846e-52,5.779708930146471e-11,2.0228081825307376e-50,1.008722825204443e-05,0.0021888028592649943,0.0013795206574335431,0.0017113379317690988,7.440799937066797e-05,0.0003280818808365163,7.323082405166423e-08,0.00013651946515726653,9.347574712449243e-13,0.0001368847887526944,9.532055118543291e-05,8.49907668179102e-06,1.5521574715401251e-10,0.0007193954729481579,7.966229183156679e-18,1.541936492609666e-13,6.75898520825316e-17,2.3710795187439366e-08,5.5418394936012247e-11,6.40716649790479e-07,2.0949821138526554e-07,1.991844648282547e-12,3.499538654841268e-16
4.789506334493595e-09,0.0521079599565058,0.0,0.12257606324617246,0.031075110263184432,0.3165158474443989,0.3487686502762058,0.20621560741727532,0.09223299213430293,0.0,9.196757779130023e-26,6.399870033179146e-11,1.849653180740858e-27,0.0,9.5031169861522e-38,4.866029044267768e-05,6.415837693421202e-30,4.4956312130003996e-30,5.827458032417922e-51,3.635041329308112e-16,9.271788856550575e-26,1.9835768494474633e-81,1.7399287289831565e-17,3.5870113826192496e-56,4.130013762092788e-27,2.6243537479641405e-52,5.795643590584869e-11,2.0482945787473892e-50,1.008580775490161e-05,0.002195159258967658,0.0013826006534998151,0.001716141797331787,7.439604493654197e-05,0.000328248933648209,7.315858786590618e-08,0.00013700538444962027,9.405019096598434e-13,0.00013752050086402492,9.587633136859226e-05,8.465146286522978e-06,1.5592537672053934e-10,0.0007215447453129761,7.990389078349301e-18,1.5478157196773144e-13,6.779360739865455e-17,2.3865791519539986e-08,5.585148971359875e-11,6.480508923649007e-07,2.1158811475824994e-07,2.0041045528135815e-12,3.550343549355774e-16
4.804594809716927e-09,0.0521079599565058,0.0,0.12255788356008657,0.031075110263184432,0.3165076516419597,0.3487638499047601,0.2062134632621252,0.09223422044568007,0.0,9.211554715862486e-26,6.41938388067276e-11,1.8812303313981542e-27,0.0,9.680502205325324e-38,4.9059169897565294e-05,6.494381023160302e-30,4.5239018417535054e-30,5.882656357053786e-51,3.657549585990871e-16,9.30094602145743e-26,2.0149945382245268e-81,1.760235482091501e-17,3.620987647914835e-56,4.180835181220548e-27,2.6735594589902968e-52,5.8115650445382694e-11,2.074019812601584e-50,1.0084389044098937e-05,0.0022015120302284084,0.0013856732071870605,0.0017209421685701004,7.438410112360532e-05,0.000328413736632267,7.308662928974207e-08,0.00013749044308492003,9.462626853901034e-13,0.0001381562818459544,9.643356368951456e-05,8.431494471029324e-06,1.5663530508476553e-10,0.0007236932980985699,8.014545914936816e-18,1.553703720874396e-13,6.799778419123922e-17,2.4021332114159276e-08,5.628622911482885e-11,6.554410939278802e-07,2.136904145587201e-07,2.016400035022352e-12,3.6016975009713184e-16
4.819683284940258e-09,0.0521079599565058,0.0,0.12253972037225816,0.031075110263184432,0.3164994610507882,0.34875905302492083,0.2062113197587435,0.09223544999207078,0.0,9.226233956174048e-26,6.438893881179281e-11,1.9132728379699218e-27,0.0,9.860613263912245e-38,4.945981026197504e-05,6.573627193605092e-30,4.552260501742747e-30,5.938201845059697e-51,3.6801247549448803e-16,9.330102874410621e-26,2.0468089223468306e-81,1.7807340876302905e-17,3.6551775991671613e-56,4.232114067135567e-27,2.723526065535866e-52,5.827473304649387e-11,2.0999853525770784e-50,1.0082972117025669e-05,0.0022078611692174076,0.0013887383271947128,0.0017257390482019698,7.437216792165974e-05,0.0003285763112335315,7.301494842476294e-08,0.00013797463789249836,9.520397861421706e-13,0.00013879212823987837,9.699224326797697e-05,8.39811879480064e-06,1.573455272933235e-10,0.0007258411318005448,8.038696636864934e-18,1.5595967610117438e-13,6.820238179057006e-17,2.4177417335774586e-08,5.6722611850843594e-11,6.628874533917475e-07,2.1580512334985517e-07,2.0287310776881284e-12,3.653604340926883e-16
4.83477176016359e-09,0.0521079599565058,0.0,0.12252157366683064,0.031075110263184432,0.3164912756647844,0.34875425963397233,0.20620917690644644,0.09223668076763178,0.0,9.240796927498176e-26,6.458400036588019e-11,1.9457864161472885e-27,0.0,1.0043483023136695e-37,4.9862211078946766e-05,6.653580146277086e-30,4.580707187914789e-30,5.99409558100721e-51,3.702766813779718e-16,9.359259415502768e-26,2.0790237439291524e-81,1.8014258086802156e-17,3.6895819039166093e-56,4.2838529979318604e-27,2.7742628283189777e-52,5.843368383546215e-11,2.1261926714302268e-50,1.0081556970976246e-05,0.0022142066721202716,0.0013917960223126763,0.001730532438943035,7.436024532050451e-05,0.0003287366787625751,7.294354529145238e-08,0.00013845796576444978,9.57833199623978e-13,0.00013942803664386067,9.755236521739093e-05,8.365016815688983e-06,1.5805603844032393e-10,0.0007279882469139151,8.062837570182728e-18,1.5654953918956705e-13,6.840739818537241e-17,2.4334047548005968e-08,5.716063663837775e-11,6.703901694190122e-07,2.1793225345731593e-07,2.0410976636094945e-12,3.706067911757786e-16
