Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(680),CH2OX(648),CHOX(678),H2X(216),NO2X(213),N2OX(730),H2NX(201),H3NX(202),NOX(214),CNOX(740),NO2X(206),H2NO3(231),SX(544)
3.0114060675726474e-22,0.09278304896952998,0.0,0.2303803105913414,0.031075110263184394,0.3194096818763549,0.35048479213953937,0.20701222018021476,0.0920181955407054,0.0,2.837751004099103e-54,9.294081607049301e-18,1.457011032610038e-51,0.0,3.794625096545864e-86,1.0448235159233863e-36,1.4254162237345945e-59,7.133872302729095e-42,1.6310998732149888e-64,1.695353659016892e-34,1.1266115134492284e-25,4.06627753501017e-105,7.622980227348952e-22,9.121709053338485e-67,1.059262903774199e-55,2.525055476405419e-94,9.294081719711784e-18,3.845612425507423e-79,5.950153869874982e-16,2.0337978035693094e-16,1.4257694171706987e-16,1.6157279595841992e-16,1.3382918945066536e-16,6.50815297150941e-17,5.842306268814247e-17,1.4629113833010723e-28,3.728954493307216e-20,1.006507263607124e-39,3.230389200226475e-28,4.522478203959694e-27,5.764984779377399e-23,6.423801093742078e-17,8.437374206704215e-30,2.691042120611574e-35,7.223226896771477e-42,6.283064234209643e-60,1.2399778584314933e-43,1.9662432817609856e-52,4.490650421386466e-51,3.3436296917313715e-32,3.319504964291297e-83,4.5767515434760904e-17,2.7555730369331607e-17,5.94257904304638e-47,2.21294031513361e-88,2.5851647353429418e-17,3.658489675349687e-20,1.408787189233026e-51
6.024119736564127e-22,0.09278304896952998,0.0,0.23038031059133987,0.031075110263184352,0.3194096818763546,0.35048479213953915,0.20701222018021456,0.0920181955407048,0.0,2.2713509583209265e-53,1.8592198855265287e-17,1.1661993602392577e-50,0.0,1.2150292281062265e-84,4.1806882689220885e-36,1.1407663158651208e-58,2.854478150990583e-41,1.3055409917193165e-63,6.783622936471353e-34,2.253712219913413e-25,1.3021820780455344e-103,1.5249270476507782e-21,7.301064318151013e-66,8.477322549601556e-55,8.08516290374664e-93,1.8592199080639097e-17,6.156558323940808e-78,1.190289139201033e-15,4.068478715148246e-16,2.8521579266920085e-16,3.2321574944770544e-16,2.6771648970410545e-16,1.3019131888824973e-16,1.1687149361013606e-16,5.853551063549365e-28,7.459528159215547e-20,8.055117089917636e-39,1.2925764577701467e-27,1.8095803615349862e-26,1.153247400726584e-22,1.285039150623777e-16,3.3760379327852863e-29,2.153645120922107e-34,6.046260521764899e-41,2.102814170873331e-58,4.9615265801674725e-43,1.573592207029366e-51,3.5941935051469087e-50,1.3378874046286395e-31,2.126351238529181e-81,9.155490386793505e-17,5.512342588348233e-17,4.755869305543437e-46,1.4770906912875969e-86,5.171451991196189e-17,7.318567926329131e-20,2.2553704239343824e-50
1.2049547074547086e-21,0.09278304896952998,0.0,0.23038031059133682,0.03107511026318427,0.319409681876354,0.35048479213953876,0.20701222018021417,0.0920181955407036,0.0,1.8175409410433132e-52,3.718843335169704e-17,9.331957596720646e-50,0.0,3.88929268846207e-83,1.6725741494349394e-35,9.127865730784893e-58,1.1419771328508838e-40,1.0446972952230593e-62,2.713890897585909e-33,4.507913632841778e-25,4.168540542314302e-102,3.050185097482648e-21,5.842330645916477e-65,6.783146046491571e-54,2.588050084652685e-91,3.718843380249326e-17,9.853357010796416e-77,2.3808366432744548e-15,8.137840538231333e-16,5.704934946081576e-16,6.465016564231818e-16,5.35491090197096e-16,2.6041089723742835e-16,2.3376835542789645e-16,2.3418015857948964e-27,1.4920675491041408e-19,6.44531752587323e-38,5.171147506327378e-27,7.23949977319057e-26,2.3067456059318054e-22,2.5703572331223723e-16,1.350626391151771e-28,1.7232330077361557e-33,5.2627779922361555e-40,7.313611193383774e-57,1.984933707678773e-42,1.2591128495485262e-50,2.876035209111953e-49,5.352420798473632e-31,1.3614628689539862e-79,1.8312968073416727e-16,1.102588169093722e-16,3.805418027294979e-45,1.0220282146262292e-84,1.034402650290254e-16,1.4638724428288e-19,3.609641758862989e-49
2.4100401750513005e-21,0.09278304896952998,0.0,0.2303803105913307,0.031075110263184106,0.31940968187635277,0.350484792139538,0.20701222018021337,0.09201819554070122,0.0,1.4542168450637097e-51,7.438090234455967e-17,7.46651128069334e-49,0.0,1.24476556233003e-81,6.691054013853143e-35,7.302989117866269e-57,4.568280302787679e-40,8.35863649835496e-62,1.0856447099251542e-32,9.016316458698489e-25,1.3341822896119008e-100,6.100701197146802e-21,4.674456265533676e-64,5.427032101101719e-53,8.283037243548546e-90,7.438090324619974e-17,1.576766254652253e-75,4.761931650006707e-15,1.6276564184098354e-15,1.1410488986248512e-15,1.2930734703617571e-15,1.0710402911275178e-15,5.208500539472545e-16,4.675620789585103e-16,9.367968718343205e-27,2.984297015472993e-19,5.15674361459599e-37,2.0686273495712582e-26,2.8960355909199485e-25,4.613743454852387e-22,5.140993398117391e-16,5.402876326708242e-28,1.3787008189152923e-32,4.890436403826108e-39,2.71358702669366e-55,7.940381030611931e-42,1.0073859237807458e-49,2.3011179298363417e-48,2.1411425677898222e-30,8.715276680209694e-78,3.6627923446616747e-16,2.2052959895150565e-16,3.0446234858959315e-44,7.518944877186933e-83,2.0689175526314672e-16,2.927903743220565e-19,5.776266216151938e-48
4.820211110244484e-21,0.09278304896952998,0.0,0.23038031059131853,0.03107511026318378,0.3194096818763504,0.3504847921395364,0.2070122201802118,0.09201819554069646,0.0,1.1634471174374798e-50,1.4876584033028138e-16,5.973587132162736e-48,0.0,3.98355687978924e-80,2.6767008431117194e-34,5.8426737266024745e-56,1.8273864780393722e-39,6.687332479148402e-61,4.3427555477707617e-32,1.8033122110411837e-24,4.269782275084714e-99,1.2201733396476775e-20,3.7398017263957113e-63,4.3418318072817925e-52,2.650776258244866e-88,1.4876584213360538e-16,2.523009328793427e-74,9.524121657812843e-15,3.2554011474635793e-15,2.2821597072133588e-15,2.5862170981893964e-15,2.1421386927661265e-15,1.0417283674127843e-15,9.351495256001099e-16,3.747339967897087e-26,5.968755948225417e-19,4.125590739730482e-36,8.274846104374061e-26,1.1584613739350699e-24,9.227744906734092e-22,1.0282265728098738e-15,2.1611833237294607e-27,1.1029866387674552e-31,5.00025152280726e-38,1.107062141805259e-53,3.1762816592864456e-41,8.05946999480272e-49,1.8410383649045893e-47,8.564918780367508e-30,5.578389733342135e-76,7.325783419283113e-16,4.410711629971873e-16,2.4358144205757842e-43,6.062736340373063e-81,4.1379473573136655e-16,5.85596634400406e-19,9.242697522551338e-47
9.640552980630852e-21,0.09278304896952998,0.0,0.23038031059129416,0.031075110263183128,0.31940968187634555,0.35048479213953326,0.20701222018020862,0.09201819554068694,0.0,9.30787151403498e-50,2.975357163017106e-16,4.779020958513311e-47,0.0,1.2747873423255002e-78,1.0708383784595484e-33,4.674258043889528e-55,7.30969462865345e-39,5.350035300671698e-60,1.7371375613489886e-31,3.606673341383823e-24,1.366394163168514e-97,2.4403797795143365e-20,2.9919360695937627e-62,3.473547914313306e-51,8.482811023697453e-87,2.9753571990838715e-16,4.0369615891486095e-73,1.9048501650791655e-14,6.510890605092428e-15,4.564381326610856e-15,5.1725043536466306e-15,4.284335495154402e-15,2.0834849945273516e-15,1.870324417204797e-15,1.4989664838921098e-25,1.193767381378914e-18,3.300550933153438e-35,3.310005784182253e-25,4.633939769032873e-24,1.84557708266597e-21,2.0564810388026678e-15,8.644468011680106e-27,8.823680527776624e-31,5.740563314899085e-37,5.070032117043593e-52,1.2705385161025084e-40,6.447729061983399e-48,1.4729332741723603e-46,3.426037215228536e-29,3.5703654920392365e-74,1.4651765568451722e-15,8.821542909342097e-16,1.9486977905343183e-42,5.48053518380167e-79,8.276006966677149e-16,1.1712091545570908e-18,1.4788853319885898e-45
1.928123672140359e-20,0.09278304896952998,0.0,0.2303803105912454,0.031075110263181823,0.3194096818763359,0.350484792139527,0.2070122201802023,0.09201819554066788,0.0,7.4464150428387e-49,5.950754682445124e-16,3.823277277045647e-46,0.0,4.0793981588811226e-77,4.28448703016763e-33,3.739463799500904e-54,2.9239075950252223e-38,4.2800959685118745e-59,6.948620930486362e-31,7.21339560206898e-24,4.3725634610927015e-96,4.880792659250313e-20,2.3935867316437556e-61,2.778871344447814e-50,2.714551872544586e-85,5.950754754578329e-16,6.459255875484909e-72,3.8097261546215417e-14,1.3021869518435563e-14,9.128824574287778e-15,1.034507886376892e-14,8.568729096375183e-15,4.1669982494905146e-15,3.740674193700123e-15,5.995926930204922e-25,2.3875509545152092e-18,2.64047208357761e-34,1.3240157822921077e-24,1.8535947596235947e-23,3.691191473115972e-21,4.1129899707743536e-15,3.4574694944908617e-26,7.058353036094941e-30,7.376579040484997e-36,2.599795635016772e-50,5.082205799055791e-40,5.158244548986563e-47,1.1784595989915672e-45,1.370428826831022e-28,2.2850966568901853e-72,2.930372986649186e-15,1.7643205461908906e-15,1.558976734455752e-41,5.555853978385022e-77,1.6552126185400463e-15,2.3424341948704046e-18,2.3662595149061935e-44
3.8562604202949066e-20,0.09278304896952998,0.0,0.23038031059114786,0.03107511026317921,0.31940968187631663,0.3504847921395144,0.2070122201801896,0.09201819554062979,0.0,5.957179167272718e-48,1.1901549721298889e-15,3.058646039032898e-45,0.0,1.3054200204101487e-75,1.71467528145624e-32,2.9916095674809007e-53,1.169568986749253e-37,3.424103866205783e-58,2.779462509259438e-30,1.442684012343881e-23,1.3992366500002861e-94,9.761618418732905e-20,1.9148845358179643e-60,2.2231103211038926e-49,8.686649899853947e-84,1.1901549865562535e-15,1.0334903267956151e-70,7.619478097492748e-14,2.6043827337463595e-14,1.8257711105169344e-14,2.0690227880844783e-14,1.7137516284593662e-14,8.334024762352964e-15,7.481373719834584e-15,2.3983829715653694e-24,4.775118100882004e-18,2.1123902019100174e-33,5.296090066629018e-24,7.41441672015577e-23,7.382457079875526e-21,8.226007834662117e-15,1.3827126032852738e-25,5.645635969106634e-29,1.0354606181359185e-34,1.4572829711478264e-48,2.0328927063171188e-39,4.126620489320996e-46,9.42927954723509e-45,5.481743188921103e-28,1.4624819381253733e-70,5.860765846138383e-15,3.528653054234797e-15,1.2471887886683014e-40,6.177393813175451e-75,3.3104364622832483e-15,4.6848842754968064e-18,3.786049611630274e-43
7.712533916604e-20,0.09278304896952998,0.0,0.2303803105909528,0.03107511026317399,0.3194096818762781,0.3504847921394892,0.20701222018016424,0.09201819554055359,0.0,4.765762187087408e-47,2.380313979899734e-15,2.4469265392101936e-44,0.0,4.177364389686747e-74,6.865689303715641e-32,2.3933279963700267e-52,4.678287844501179e-37,2.7392939295641343e-57,1.1117878311101614e-29,2.8853729166176525e-23,4.477583428095649e-93,1.9523269937740632e-19,1.5319136888784668e-59,1.7784936195329152e-48,2.7797414923433597e-82,2.3803140087512102e-15,1.653592032267205e-69,1.5238981838380993e-13,5.208774294488669e-14,3.651548430904345e-14,4.138052590232165e-14,3.427509060413832e-14,1.666807779982234e-14,1.4962772664678746e-14,9.593556289297517e-24,9.550252393992405e-18,1.689917175791629e-32,2.1184414142374222e-23,2.9657742063832044e-22,1.4765135596833074e-20,1.645204356221521e-14,5.528607932461029e-25,4.514795178264666e-28,1.5405068354042053e-33,8.663321529056186e-47,8.131592220044963e-39,3.301308107512775e-45,7.545905093404535e-44,2.1927028518952238e-27,9.35994865279655e-69,1.1721551564641453e-14,7.057318060444789e-15,9.977539917750085e-40,7.308837025430814e-73,6.6208841497638084e-15,9.369784436748713e-18,6.057706890410359e-42
1.542508090922219e-19,0.09278304896952998,0.0,0.23038031059056266,0.031075110263163543,0.319409681876201,0.3504847921394388,0.2070122201801135,0.0920181955404012,0.0,3.81261729098684e-46,4.760631995435792e-15,1.9575451481505234e-43,0.0,1.336759951935966e-72,2.7518505313473066e-31,1.914718423990135e-51,1.871317517303444e-36,2.191439478298827e-56,4.4471569791566354e-29,5.770750725164417e-23,1.4328308806990834e-91,3.904657297592627e-19,1.2255333751967047e-58,1.4227971437520652e-47,8.895195048691653e-81,4.7606320531335865e-15,2.645753259098518e-68,3.047798874074081e-13,1.0417557403720103e-13,7.303103128523748e-14,8.276112189457591e-14,6.855023901565838e-14,3.333618392173902e-14,2.992557012466802e-14,3.837427399542309e-23,1.910052098172045e-17,1.351935746706276e-31,8.473776432786708e-23,1.1863111718038285e-21,2.953108184450327e-20,3.290411501643165e-14,2.2096428063828892e-24,3.609081353398882e-27,2.370562403787786e-32,5.3294540806193205e-45,3.252642291558259e-38,2.6410615866458346e-44,6.040658076307681e-43,8.77082256020663e-27,7.915250895015407e-67,2.3443122999746304e-14,1.4114648033353494e-14,7.982043783798378e-39,1.2886518141704104e-70,1.3241779524701553e-14,1.8739584759248925e-17,9.692353038742697e-41
3.085017489445857e-19,0.09278304896952998,0.0,0.2303803105897824,0.031075110263142653,0.3194096818760468,0.350484792139338,0.20701222018001206,0.0920181955400964,0.0,3.0500968493111154e-45,9.521268026493384e-15,1.56603773896514e-42,0.0,4.277637811876763e-71,1.1051895471408109e-30,1.5318609738470962e-50,7.485274828218306e-36,1.7531533164988414e-55,1.7788639225240223e-28,1.154150634225484e-22,4.585065512178247e-90,7.80931790529783e-19,9.80427669795333e-58,1.1382387791523148e-46,2.8464663851260915e-79,9.521268141868187e-15,4.233210020349626e-67,6.095600022779392e-13,2.0835123573170232e-13,1.4606212751141692e-13,1.655223136762866e-13,1.3710053492842154e-13,6.66723963534841e-14,5.985116332585049e-14,1.534971939151103e-22,3.820105816320552e-17,1.0815494003776042e-30,3.3895127288064087e-22,4.745247550373079e-21,5.906533119487775e-20,6.58082579213056e-14,8.824184295150611e-24,2.882860729222482e-26,3.7134663079369473e-31,3.3384300733138947e-43,1.3010603540527537e-37,2.1129190540268454e-43,4.8387962923303913e-42,3.508331254576849e-26,5.0850163052315185e-65,4.688626586235083e-14,2.8229307821125772e-14,6.385639776833898e-38,1.6212982502505994e-68,2.648357027448354e-14,3.747918540423495e-17,1.5507782487980408e-39
