Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(680),CH2OX(648),CHOX(678),H2X(216),NO2X(213),N2OX(730),H2NX(201),H3NX(202),NOX(214)
2.765175753945932e-10,0.10172235144988963,0.0,0.2517153798779962,0.031093321361134543,0.3192030546741056,0.3504290183688132,0.20694667476678794,0.09203020578561091,0.0,5.475596702117961e-15,3.729690902387322e-05,2.1683392942596143e-13,0.0,1.1749466100506502e-22,1.0762070331339387e-05,1.555863912023331e-17,1.6495605161071522e-16,3.196659423451088e-26,6.652325761374037e-10,2.7122969464140443e-12,1.6146040572711427e-41,1.5969574841905225e-08,4.87895871703885e-28,2.9537789855886414e-16,3.26003731255507e-30,3.709850349748488e-05,3.11418771242173e-29,3.8032884426220897e-06,1.4917794846536918e-05,0.0004659430544841425,1.838288512063709e-05,4.059514762150935e-06,1.2230113278495054e-05,2.015523583319268e-06,1.2915137339550327e-05,6.51186731156725e-08,0.00010630221154635472,1.594707893288906e-05,0.00014073803223999136,8.226007257689752e-06,4.600250480693178e-05,8.56115362313791e-12,1.377047577528502e-09,2.987611162354758e-10,1.5433847892703934e-05,5.6054120735957826e-11,4.713759623633278e-08,6.139176334984179e-09,9.396991836440168e-08,3.292192003298543e-12,3.7333673953586783e-07,2.0054369738541235e-06,2.0681409782359468e-11
2.7739746211675845e-10,0.10172235144988963,0.0,0.2517129936310937,0.03109340927329094,0.3192024631901917,0.3504288994795108,0.20694648013893344,0.09203031980186122,0.0,5.5339896603485825e-15,3.741529113289535e-05,2.1883019520141458e-13,0.0,1.1970461979992165e-22,1.086604871376311e-05,1.5749760086552253e-17,1.660072300456519e-16,3.2272689661329033e-26,6.690737747154562e-10,2.720925734708909e-12,1.6404540509013485e-41,1.602205851771851e-08,4.925676062548472e-28,2.990066878193086e-16,3.3213762638090674e-30,3.721560517781064e-05,3.1524966120133955e-29,3.803316423824783e-06,1.4925118078701683e-05,0.00046727615200164774,1.83828026683805e-05,4.059471890583239e-06,1.2217402995942577e-05,2.0180043056615275e-06,1.2904422063740686e-05,6.548580684110028e-08,0.00010671860088559142,1.593604688932481e-05,0.0001412049816583727,8.251627172511317e-06,4.6107604461869776e-05,8.580762424460564e-12,1.3805238829363847e-09,3.0034215819906974e-10,1.552295340014722e-05,5.6377971762714416e-11,4.7593909226321165e-08,6.220081525921555e-09,9.455947140312743e-08,3.331777139775089e-12,3.723326857531525e-07,2.0056651483514656e-06,2.0804207590466987e-11
2.7827734883892367e-10,0.10172235144988963,0.0,0.25171061096215247,0.031093497214977506,0.31920187192302857,0.3504287805928373,0.20694628551724126,0.09203043426500751,0.0,5.592769653814333e-15,3.753367141570543e-05,2.2083859925859684e-13,0.0,1.2194877244851837e-22,1.097062105189523e-05,1.5942589173942832e-17,1.670617454737723e-16,3.258073267882907e-26,6.729237302078946e-10,2.729554511534427e-12,1.6666340622563903e-41,1.607455076628075e-08,4.972690644280874e-28,3.026678662286796e-16,3.383664744013512e-30,3.733270088399231e-05,3.191148733204265e-29,3.8033446487660242e-06,1.4932408633329104e-05,0.00046860671444869177,1.838271762763688e-05,4.059429076729869e-06,1.2204731775918541e-05,2.0204891551373723e-06,1.2893676284911923e-05,6.585394124040003e-08,0.00010713457911440676,1.5925018159316513e-05,0.0001416713162486345,8.277222949927038e-06,4.621249219398587e-05,8.60033195788946e-12,1.3839962022932532e-09,3.019271329312313e-10,1.5612261988129635e-05,5.6702239904717255e-11,4.805283544555124e-08,6.301751733599357e-09,9.515080935353931e-08,3.3716728152373255e-12,3.713359263655557e-07,2.005891718388713e-06,2.0927562153473288e-11
2.790692468888724e-10,0.10172235144988963,0.0,0.25170846961961907,0.031093576387577402,0.31920133996712424,0.3504286735970163,0.2069461103629835,0.0920305376643082,0.0,5.6460032003579165e-15,3.7640212109260717e-05,2.226565827964388e-13,0.0,1.2399808826993575e-22,1.1065244444785482e-05,1.6117603603781683e-17,1.6801366247572512e-16,3.285964168719929e-26,6.763961627175149e-10,2.7373204008712834e-12,1.6904808403383167e-41,1.6121801097925823e-08,5.01525868347588e-28,3.0599076680689786e-16,3.44054574662648e-30,3.743808191200021e-05,3.2262306740488934e-29,3.803370259628949e-06,1.4938942303643333e-05,0.00046980205210475135,1.8382638940138348e-05,4.059390593621789e-06,1.2193360994019127e-05,2.0227290345258887e-06,1.2883979897352808e-05,6.618611766078455e-08,0.00010750860755735588,1.5915095943109413e-05,0.00014209049113371068,8.30023857846474e-06,4.630671029798784e-05,8.617911026147809e-12,1.3871178920268861e-09,3.033569699824545e-10,1.5692813013114725e-05,5.6994434969205374e-11,4.846810583441899e-08,6.375912439352495e-09,9.568453916669988e-08,3.407845263635706e-12,3.70445019073542e-07,2.006094271795858e-06,2.103906114373443e-11
2.7986114493882114e-10,0.10172235144988963,0.0,0.251706331175858,0.031093655583788335,0.31920080818533997,0.3504285666032102,0.20694593521371055,0.09203064142628822,0.0,5.6995514281410176e-15,3.7746751324398774e-05,2.2448447613845935e-13,0.0,1.2607574183743368e-22,1.1160349784368145e-05,1.6294016163164268e-17,1.6896828241883514e-16,3.314013774537342e-26,6.798756611747511e-10,2.745086280918309e-12,1.7145997935387274e-41,1.616905833297214e-08,5.05806893393698e-28,3.0934017709460076e-16,3.4982136730400945e-30,3.754345810157978e-05,3.261593564144667e-29,3.8033960679443326e-06,1.4945449710391642e-05,0.0004709953344120942,1.8382558270589758e-05,4.0593521572880035e-06,1.2182021699000022e-05,2.0249722307179463e-06,1.287426045283707e-05,6.651910441281386e-08,0.0001078823021605049,1.590517790109637e-05,0.00014250916696306937,8.323234779095552e-06,4.64007573754213e-05,8.635458403153911e-12,1.3902363718096339e-09,3.047899865967061e-10,1.5773527904422148e-05,5.728696251941829e-11,4.888549753526243e-08,6.4506991957416744e-09,9.621971393600635e-08,3.444270791346875e-12,3.695599081879817e-07,2.006295548163233e-06,2.1151018304789407e-11
2.8065304298876987e-10,0.10172235144988963,0.0,0.2517041956311068,0.03109373480346606,0.31920027657699335,0.3504284596113665,0.20694576006941925,0.09203074555127451,0.0,5.75341489168831e-15,3.785328906150517e-05,2.2632231646588701e-13,0.0,1.2818204039112072e-22,1.1255937459261296e-05,1.647183376351996e-17,1.699256052920634e-16,3.342222535396641e-26,6.833622127527033e-10,2.7528521516756643e-12,1.7389932448630062e-41,1.6216322452217538e-08,5.1011220824668205e-28,3.1271622745918953e-16,3.556677061404593e-30,3.764882945302824e-05,3.297238799866149e-29,3.803422073706954e-06,1.4951930950202192e-05,0.0004721865604993809,1.838247567127183e-05,4.059313767739618e-06,1.2170713817409563e-05,2.0272187307440547e-06,1.2864518714466734e-05,6.685290139534e-08,0.00010825566255809427,1.5895264719634586e-05,0.00014292734326005677,8.346211610055682e-06,4.649463372438568e-05,8.652974143591203e-12,1.393351650366506e-09,3.062261799014391e-10,1.5854406364966732e-05,5.757982003157775e-11,4.930501269296745e-08,6.526115029680577e-09,9.675633327216635e-08,3.4809501261034865e-12,3.686805416165001e-07,2.0064955580129536e-06,2.1263437068544373e-11
2.813657512337237e-10,0.10172235144988963,0.0,0.25170227611965107,0.031093806121121823,0.31919979827720907,0.350428363320343,0.20694560244381377,0.09203083957440211,0.0,5.802161990847081e-15,3.7949171761502406e-05,2.279849083345021e-13,0.0,1.3010245642454219e-22,1.1342379079166316e-05,1.6633076635723745e-17,1.707895068741003e-16,3.367746869705351e-26,6.865061290076569e-10,2.759841427414748e-12,1.7611839775328131e-41,1.6258866029655282e-08,5.140078161632653e-28,3.1577755797694606e-16,3.609981341606011e-30,3.774365953297522e-05,3.329562073609111e-29,3.8034456476979555e-06,1.4957741772861736e-05,0.00047325690521421465,1.8382399724138783e-05,4.059279257156225e-06,1.2160563521457576e-05,2.029243394541223e-06,1.2855732709935273e-05,6.715401134324919e-08,0.0001085914008841459,1.5886347569498627e-05,0.0001433032744424745,8.366874244873352e-06,4.6578976711603035e-05,8.668711305865707e-12,1.3961526716910644e-09,3.075214682305458e-10,1.5927336586034707e-05,5.784367183619745e-11,4.968439364675356e-08,6.594529643972442e-09,9.724052545773719e-08,3.514179132325126e-12,3.678939805337943e-07,2.0066744926153474e-06,2.1365011473780962e-11
2.8207845947867757e-10,0.10172235144988963,0.0,0.25170035895667847,0.031093877457566272,0.319199320116865,0.35042826703083124,0.20694544482223856,0.09203093389206594,0.0,5.851165276335633e-15,3.8045053264887014e-05,2.2965561495493473e-13,0.0,1.3204655308298241e-22,1.1429211973951082e-05,1.6795468254091706e-17,1.716555978125554e-16,3.3934008122390507e-26,6.896557385993748e-10,2.766830695629446e-12,1.7836006580488906e-41,1.6301415153734814e-08,5.179232045217426e-28,3.1886066807444333e-16,3.663943234890474e-30,3.7838485694492857e-05,3.3621162017766957e-29,3.8034693815900706e-06,1.4963531548184472e-05,0.00047432558311729956,1.8382322291608323e-05,4.0592447844846094e-06,1.2150438556540257e-05,2.031270713704242e-06,1.2846929795869558e-05,6.74557774226335e-08,0.00010892686798537728,1.587743538566834e-05,0.0001436788002954942,8.387521279579316e-06,4.666318186646563e-05,8.684422926493871e-12,1.3989511136185398e-09,3.088193253825532e-10,1.6000398842131945e-05,5.810778705912189e-11,5.006549785618739e-08,6.663458471387915e-09,9.772588714366098e-08,3.547614837960852e-12,3.671119935387116e-07,2.006852417295266e-06,2.1466965089350247e-11
2.827911677236314e-10,0.10172235144988963,0.0,0.2516984441422872,0.031093948812696625,0.3191988420954691,0.3504281707427958,0.20694528720469124,0.09203102850450234,0.0,5.900425144872687e-15,3.814093357193973e-05,2.3133446387511425e-13,0.0,1.340145593632199e-22,1.1516436413080423e-05,1.6959013681628052e-17,1.725238780993918e-16,3.4191846910892164e-26,6.928110322234306e-10,2.7738199563198747e-12,1.8062450073307325e-41,1.634396981045127e-08,5.218584233894652e-28,3.2196565324007743e-16,3.7185691052187635e-30,3.79333079377973e-05,3.394902207418628e-29,3.803493275358039e-06,1.4969300345840162e-05,0.0004753925936362428,1.8382243409261403e-05,4.05921034973149e-06,1.2140338868385159e-05,2.033300678058464e-06,1.2838110504499902e-05,6.775819956016692e-08,0.00010926206363648375,1.5868528643397044e-05,0.00014405392049521556,8.408152756342292e-06,4.6747249405286955e-05,8.700109045165652e-12,1.401746982545119e-09,3.101197494324594e-10,1.6073592917769752e-05,5.83721638914521e-11,5.044832684253119e-08,6.73290372025348e-09,9.821241804644538e-08,3.5812577695374216e-12,3.66334543920941e-07,2.0070293395033225e-06,2.1569300445506352e-11
2.834326051440899e-10,0.10172235144988963,0.0,0.25169672281743494,0.031094013048206064,0.3191984119946079,0.35042808408479725,0.20694514535234051,0.09203111390792043,0.0,5.94497873104267e-15,3.822722482565535e-05,2.328524124514239e-13,0.0,1.358063982963113e-22,1.159527339792241e-05,1.710719526404346e-17,1.7330720224377104e-16,3.4425015487716974e-26,6.956556486543891e-10,2.7801102845081064e-12,1.8268210078407733e-41,1.638227372032424e-08,5.254171168363424e-28,3.247789221075977e-16,3.768305384551748e-30,3.8018644606877486e-05,3.424608714577193e-29,3.8035149164168715e-06,1.4974474385212913e-05,0.0004763514770324639,1.838217120434792e-05,4.0591793908792024e-06,1.213127071565353e-05,2.035129899030854e-06,1.2830159573590348e-05,6.80309403531646e-08,0.00010956350745661305,1.58605176144633e-05,0.00014439118157954337,8.426707818166902e-06,4.6822792707039794e-05,8.714204780553931e-12,1.4042610699723553e-09,3.1129232409765554e-10,1.61395801137253e-05,5.86103252293587e-11,5.079434886115128e-08,6.795847810141724e-09,9.865129530513749e-08,3.6117140203032047e-12,3.656386886946457e-07,2.007187718480325e-06,2.166173075264503e-11
2.8407404256454837e-10,0.10172235144988963,0.0,0.25169500339503353,0.031094077298694584,0.31919798200554095,0.3504279974279416,0.2069450035032488,0.09203119955046644,0.0,5.989740754782554e-15,3.831351511077393e-05,2.3437699899962904e-13,0.0,1.3761796000114197e-22,1.1674427938756705e-05,1.725631924096316e-17,1.7409229974797804e-16,3.46592415980095e-26,6.985048548644148e-10,2.7864006066018612e-12,1.847584087894282e-41,1.6420582090075933e-08,5.28991950048967e-28,3.27610057050664e-16,3.818589378266314e-30,3.810397810253719e-05,3.454504620511762e-29,3.8035366869216896e-06,1.4979631539363596e-05,0.00047730900900971824,1.838209787815783e-05,4.059148462750288e-06,1.2122222953119302e-05,2.0369612464690966e-06,1.2822196179791538e-05,6.830421244070075e-08,0.00010986473108336731,1.5852511707551193e-05,0.00014472811360227012,8.44525034275342e-06,4.689822487200616e-05,8.728279920308227e-12,1.4067730830320719e-09,3.124669747177687e-10,1.6205673752630616e-05,5.884869570847305e-11,5.1141770260956136e-08,6.859213601066949e-09,9.909111919340316e-08,3.642338931636937e-12,3.649464531055551e-07,2.007345296771404e-06,2.1754474183348593e-11
2.8471547998500684e-10,0.10172235144988963,0.0,0.2516932858751071,0.03109414156408879,0.3191975521279124,0.35042791077220414,0.20694486165741424,0.09203128543231127,0.0,6.034711500391046e-15,3.839980442749992e-05,2.359082438957438e-13,0.0,1.394494147513442e-22,1.1753900223017862e-05,1.740638931931845e-17,1.7487917060616089e-16,3.4894527633534585e-26,7.0135864410088e-10,2.7926909226012227e-12,1.868535520188032e-41,1.6458894909493578e-08,5.325829595260697e-28,3.30459127973601e-16,3.869425818491001e-30,3.8189308424933586e-05,3.484590674343348e-29,3.8035585868405373e-06,1.498477185858364e-05,0.0004782651891908738,1.8382023455073486e-05,4.0591175653487615e-06,1.2113195540805042e-05,2.038794712511953e-06,1.2814220695882947e-05,6.857801576958855e-08,0.00011016573437845342,1.5844511253276577e-05,0.00014506471634219265,8.46378036065334e-06,4.697354605722403e-05,8.742334493243686e-12,1.409283026326507e-09,3.1364369986072755e-10,1.627187367810433e-05,5.90872740301273e-11,5.1490592123560286e-08,6.923002703844389e-09,9.953188950477417e-08,3.67313288479055e-12,3.6425781118943326e-07,2.007502079668336e-06,2.184753260048848e-11
2.853569174054653e-10,0.10172235144988963,0.0,0.2516915702576647,0.031094205844315784,0.3191971223613682,0.3504278241175613,0.20694471981483514,0.09203137155362524,0.0,6.079891250622745e-15,3.8486092776037636e-05,2.37446167609083e-13,0.0,1.413009338820631e-22,1.1833690435311296e-05,1.755740921106992e-17,1.7566781481247006e-16,3.513087598605017e-26,7.042170096206988e-10,2.7989812325062757e-12,1.8896765831764252e-41,1.6497212168363584e-08,5.36190181766264e-28,3.3332620487289136e-16,3.92081946689331e-30,3.827463557422373e-05,3.5148676262360535e-29,3.8035806161372823e-06,1.4989895393008937e-05,0.0004792200172112697,1.8381947959005505e-05,4.059086698678374e-06,1.2104188438614757e-05,2.040630289163425e-06,1.2806233489949942e-05,6.88523502867254e-08,0.00011046651721155021,1.5836516577372247e-05,0.00014540098958271415,8.482297902357895e-06,4.704875641952511e-05,8.75636852813642e-12,1.4117909044862517e-09,3.148224979904507e-10,1.6338179733988663e-05,5.932605890193197e-11,5.184081552200984e-08,6.987216729553572e-09,9.997360603284461e-08,3.7040962602056795e-12,3.635727372277409e-07,2.0076580724196542e-06,2.1940907872659585e-11
