Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210)
1.54852723939583e-11,0.08478463093452131,0.0,0.21048080089209675,0.031075110263184432,0.3193968917446428,0.35047721834279294,0.2070048445737763,0.0920138699461752,0.0,4.050775606844515e-24,9.278694617639167e-08,8.718442990567847e-22,0.0,1.3847321043759984e-34,7.393502665545382e-11,5.650871277565433e-26,2.8200880496694305e-22,1.5370173038987602e-35,3.7914739511864924e-14,1.638516337884351e-16,4.7504287300016815e-57,1.4112634732974833e-12,3.1981754672182907e-38,2.131614820001154e-24,1.844143730482128e-43,9.274779569522331e-08,1.513285705257769e-39,4.3253333915998785e-06,8.979957094672186e-06,7.2840861966491506e-06,7.481009800505028e-06,4.218650726228767e-06,3.453459921847972e-06,5.306605602146793e-08,1.713562909551065e-07,6.978231692868143e-12,1.4948980489597554e-08,1.6835548601309454e-07,1.3053870030640427e-07,2.046959328497602e-09,3.1569556743392294e-06
1.5566740778795506e-11,0.08478463093452131,0.0,0.2104806233552675,0.031075110263184432,0.31939682645402945,0.35047718083874846,0.20700481482537628,0.09201386977822006,0.0,4.133040876326978e-24,9.327509530225641e-08,8.8568885747321e-22,0.0,1.42903267752841e-34,7.518823625744408e-11,5.770715743178737e-26,2.8498386177421623e-22,1.561403772746957e-35,3.8314703108980057e-14,1.6471364559707492e-16,4.876710039228007e-57,1.4187143619784834e-12,3.2489180162475647e-38,2.1768478307509016e-24,1.903141811894054e-43,9.323553216540906e-08,1.545382618076983e-39,4.325506997149118e-06,9.022211734339432e-06,7.32741468769806e-06,7.518025695821267e-06,4.231793424306839e-06,3.4726496044876317e-06,5.342738384968325e-08,1.731732517746049e-07,7.044479647469581e-12,1.5186368377836793e-08,1.7012529431624272e-07,1.3217933090631418e-07,2.0690270913868468e-09,3.1735613759090715e-06
1.5648209163632713e-11,0.08478463093452131,0.0,0.21048044587091144,0.031075110263184432,0.31939676118285865,0.35047714335822855,0.20700478514362053,0.09201386961654044,0.0,4.2167118924861605e-24,9.376324437590145e-08,8.996793436534606e-22,0.0,1.4745081882774516e-34,7.645636367207418e-11,5.892456301166097e-26,2.879745284692428e-22,1.5860468301811787e-35,3.8716765008641555e-14,1.6557565726636372e-16,5.0056627360667095e-57,1.4261655531678237e-12,3.300194465811758e-38,2.2227971575552624e-24,1.9637046353454845e-43,9.37232664220978e-08,1.577987417551718e-39,4.325674453640606e-06,9.064418052328488e-06,7.370795110893994e-06,7.55501806675642e-06,4.244869508568664e-06,3.4918468521166562e-06,5.378903652657574e-08,1.7499980258733248e-07,7.111037275681186e-12,1.5426253535528196e-08,1.7190420699927784e-07,1.338311140112345e-07,2.0912170934520635e-09,3.1901670469661237e-06
1.572967754846992e-11,0.08478463093452131,0.0,0.2104802684384465,0.031075110263184432,0.31939669593110864,0.350477105901218,0.20700475552817166,0.09201386946092231,0.0,4.301809103679418e-24,9.425139339735956e-08,9.13816525607248e-22,0.0,1.5211834393986797e-34,7.773951518756525e-11,6.016112842413328e-26,2.9098080504330917e-22,1.610947818989355e-35,3.9120925206994614e-14,1.664376687965784e-16,5.137328981254123e-57,1.4336170473028874e-12,3.352007609930433e-38,2.2694703291422133e-24,2.0258652322711266e-43,9.421099846534549e-08,1.6111054330941304e-39,4.325835976037176e-06,9.10657610636664e-06,7.414227450985372e-06,7.591986928248668e-06,4.257879316493631e-06,3.5110516203078113e-06,5.415101238921041e-08,1.7683594224756246e-07,7.177904585988114e-12,1.5668648904446753e-08,1.736922205613333e-07,1.3549405979138602e-07,2.1135293821967973e-09,3.206772687523251e-06
1.5811145933307126e-11,0.08478463093452131,0.0,0.21048009105729978,0.031075110263184432,0.31939663069875784,0.35047706846770205,0.2070047259786938,0.09201386931115915,0.0,4.388353200443849e-24,9.473954236666348e-08,9.281011713948025e-22,0.0,1.5690836244468442e-34,7.903779740429729e-11,6.141705361523169e-26,2.9400269148770965e-22,1.6361080819588482e-35,3.952718370018604e-14,1.6729968018799436e-16,5.271751376800505e-57,1.4410688448209238e-12,3.4043602426219065e-38,2.3168749137241096e-24,2.0896571545298524e-43,9.469872829520808e-08,1.6447420219273902e-39,4.32599177179849e-06,9.148685954118503e-06,7.457711692674717e-06,7.6289322952265956e-06,4.270823183851342e-06,3.5302638647184094e-06,5.4513309798349155e-08,1.786816695857059e-07,7.245081586879475e-12,1.5913567422730666e-08,1.754893314800141e-07,1.3716817836611378e-07,2.135964004843886e-09,3.2233782975932037e-06
1.5892614318144332e-11,0.08478463093452131,0.0,0.21047991372690728,0.031075110263184432,0.3193965654857848,0.3504770310576657,0.20700469649485295,0.09201386916705163,0.0,4.4763651173476344e-24,9.522769128384589e-08,9.42534049126958e-22,0.0,1.6182343318430155e-34,8.035131723504812e-11,6.269253956814162e-26,2.9704018779374607e-22,1.6615289618764534e-35,3.993554048436425e-14,1.6816169144088565e-16,5.408972968287192e-57,1.4485209461590477e-12,3.4572551579032477e-38,2.3650185189997066e-24,2.1551144798477555e-43,9.518645591174145e-08,1.6789025690856102e-39,4.326142041142933e-06,9.190747653186096e-06,7.501247820619388e-06,7.665854182609207e-06,4.283701444710265e-06,3.5494835410901908e-06,5.487592713777109e-08,1.8053698340837207e-07,7.312568286848325e-12,1.6161022024850073e-08,1.7729553621146163e-07,1.3885347980460252e-07,2.158521008335988e-09,3.2399838771886107e-06
1.597408270298154e-11,0.08478463093452131,0.0,0.21047973644671394,0.031075110263184432,0.3193965002921678,0.3504769936710942,0.20700466707631662,0.09201386902840755,0.0,4.565866034844827e-24,9.571584014893953e-08,9.57115926965244e-22,0.0,1.6686615489830621e-34,8.168018190523166e-11,6.398778830319543e-26,3.000932939527276e-22,1.687211801528403e-35,4.034599555567926e-14,1.6902370255552484e-16,5.549037247163765e-57,1.455973351754241e-12,3.5106951497902884e-38,2.4139087921561815e-24,2.22227181728963e-43,9.567418131500132e-08,1.7135924874137682e-39,4.326286977300373e-06,9.232761261108888e-06,7.544835819432257e-06,7.702752605305921e-06,4.296514431446363e-06,3.568710605249189e-06,5.5238862813613426e-08,1.8240188249842753e-07,7.380364694391627e-12,1.641102564157583e-08,1.7911083119041858e-07,1.405499741265717e-07,2.1812004393361257e-09,3.2565894263219876e-06
1.6055551087818746e-11,0.08478463093452131,0.0,0.21047955921617334,0.031075110263184432,0.31939643511788535,0.35047695630797243,0.20700463772275426,0.09201386889504132,0.0,4.6568773811335304e-24,9.620398896197703e-08,9.718475731219712e-22,0.0,1.7203916663674742e-34,8.302449895313573e-11,6.530300287786136e-26,3.031620099559714e-22,1.713157943700364e-35,4.075854891028266e-14,1.698857135321833e-16,5.6919881530452e-57,1.46342606204335e-12,3.564683012297619e-38,2.463553419871155e-24,2.2911643127588876e-43,9.616190450504344e-08,1.748817217567637e-39,4.3264267667561096e-06,9.274726835363893e-06,7.5884756736823854e-06,7.739627578216593e-06,4.309262474751668e-06,3.5879450131056078e-06,5.5602115253732323e-08,1.8427636561505646e-07,7.448470818010231e-12,1.6663591199948342e-08,1.8093521283029333e-07,1.4225767130295044e-07,2.204002344228209e-09,3.273194945005732e-06
1.6137019472655952e-11,0.08478463093452131,0.0,0.21047938203474706,0.031075110263184432,0.319396369962916,0.35047691896828576,0.2070046084338367,0.09201386876677387,0.0,4.74942083401751e-24,9.669213772299104e-08,9.867297558603181e-22,0.0,1.773451481752531e-34,8.438437623015918e-11,6.663838738673232e-26,3.0624633579480195e-22,1.739368731177443e-35,4.117320054432756e-14,1.7074772437113076e-16,5.837870076009031e-57,1.4708790774630863e-12,3.619221539438593e-38,2.5139601283147146e-24,2.361827654525892e-43,9.664962548192339e-08,1.7845822280137097e-39,4.3265615894862855e-06,9.316644433365722e-06,7.632167367895678e-06,7.77647911623151e-06,4.321945903642804e-06,3.6071867206536867e-06,5.5965682907083e-08,1.861604314938196e-07,7.516886666208867e-12,1.6918731623246576e-08,1.8276867752322457e-07,1.439765812565327e-07,2.2269267691175726e-09,3.2898004332521304e-06
1.621848785749316e-11,0.08478463093452131,0.0,0.210479204901905,0.031075110263184432,0.31939630482723824,0.35047688165201896,0.20700457920923662,0.09201386864343249,0.0,4.84351832277116e-24,9.71802864320142e-08,1.0017632434944237e-21,0.0,1.8278682043228242e-34,8.57599219010484e-11,6.79941469615149e-26,3.0934627146055097e-22,1.765845506744185e-35,4.158995045396867e-14,1.7160973507263586e-16,5.986727858892507e-57,1.4783323984500267e-12,3.6743135252253323e-38,2.565136683151438e-24,2.434298078784734e-43,9.713734424569674e-08,1.820893015029125e-39,4.326691619185108e-06,9.358514112466641e-06,7.675910886555523e-06,7.813307234231406e-06,4.334565045469488e-06,3.6264356839715824e-06,5.632956424311871e-08,1.880540788467141e-07,7.585612247496102e-12,1.7176459830957048e-08,1.8461122164014554e-07,1.4570671386261458e-07,2.249973759831509e-09,3.3064058910733582e-06
