Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34),CHX(35)
1.7239319158687795e-12,0.10125681075141572,0.0,0.2514138858088629,0.031075110263184432,0.3194080980092803,0.35048363254291337,0.20701110865381722,0.09201588498018294,0.0,1.3476904468710216e-23,2.1752865928672668e-07,1.1534683588290853e-20,0.0,6.072390170053303e-36,2.0248515452438988e-13,2.3174144522719825e-26,5.409109126556071e-21,5.827932462728756e-33,2.8540518637377036e-14,1.4491914136492247e-14,9.394481444293091e-53,8.327528203314882e-11,8.462440546234971e-35,4.274433287034359e-25,1.5733301420692409e-43,2.175178466861228e-07,4.1506308801651334e-38,2.310245143144803e-06,1.1553022241281936e-06,8.212231079612404e-07,9.42067966976562e-07,7.27370819137147e-07,4.1546304994255977e-07,5.80222154827845e-09,6.068012387831207e-09,8.449984153623418e-11,1.158664079998882e-10,6.072968763399106e-09,1.3999862213289434e-09,7.604535595362182e-10,3.8346836995736703e-07,6.582681292389553e-14,6.870997495155538e-10
1.7408363955025928e-12,0.10125681075141572,0.0,0.25141382899524795,0.031075110263184432,0.31940808268588955,0.350483621407704,0.2070110984314274,0.09201587136159564,0.0,1.3877314673599134e-23,2.1966169172120868e-07,1.187733992304067e-20,0.0,6.438499302654518e-36,2.0867435419137104e-13,2.409481917331815e-26,5.5157098996444675e-21,6.001060904372527e-33,2.910264027454542e-14,1.4634018080956588e-14,9.864203500791286e-53,8.409185159442896e-11,8.713831394164069e-35,4.444548575500952e-25,1.6681875002022052e-43,2.1965066628429998e-07,4.315800513677758e-38,2.323860706025491e-06,1.1660478053436667e-06,8.297474490316442e-07,9.510701438441176e-07,7.338263745323503e-07,4.1977809191700345e-07,5.905123377995786e-09,6.189516327099565e-09,8.534473541464575e-11,1.1933760881074028e-10,6.194620834258756e-09,1.4389790396100807e-09,7.757489739571606e-10,3.8722166964528237e-07,6.647143306802762e-14,7.006331057613474e-10
1.757740875136406e-12,0.10125681075141572,0.0,0.25141377231633205,0.031075110263184432,0.31940806736639066,0.35048361027698993,0.20701108822133163,0.09201585786747073,0.0,1.4285580963821763e-23,2.2179472408793908e-07,1.2226716021289192e-20,0.0,6.822820164748927e-36,2.1499196928114815e-13,2.5042653103770204e-26,5.6233508670553246e-21,6.177584543190563e-33,2.9670236935950114e-14,1.47761220173677e-14,1.035252923078597e-52,8.490842104455609e-11,8.970152230399545e-35,4.619691385878973e-25,1.7677634445425298e-43,2.2178348374725628e-07,4.4858505177321477e-38,2.337351808062558e-06,1.1767824609475156e-06,8.382809479526782e-07,9.600678255769402e-07,7.402696377963831e-07,4.240974598720651e-07,6.008780388476842e-09,6.31225894954256e-09,8.618994636607488e-11,1.228779913162792e-10,6.317514526677488e-09,1.478659862069966e-09,7.912024116658004e-10,3.9097483562180046e-07,6.711603903389668e-14,7.142982791292076e-10
1.7746453547702194e-12,0.10125681075141572,0.0,0.2514137157709472,0.031075110263184432,0.31940805205077966,0.3504835991507688,0.2070110780235065,0.0920158444966705,0.0,1.470177982926326e-23,2.2392775638694525e-07,1.2582877134671398e-20,0.0,7.226070363362415e-36,2.214394583772245e-13,2.601817502326948e-26,5.732032028631476e-21,6.357536348121544e-33,3.02433084265463e-14,1.491822594573402e-14,1.0860005850573063e-52,8.572499038519132e-11,9.23145092736249e-35,4.7999597918367895e-25,1.8722439042820766e-43,2.23916299075195e-07,4.660876054205368e-38,2.3507195869107793e-06,1.1875062021136654e-06,8.468236041252871e-07,9.690610144235806e-07,7.467006323354395e-07,4.2842114387883235e-07,6.113189188858847e-09,6.436241164673571e-09,8.703547440109416e-11,1.2648825784400936e-10,6.4416507795948136e-09,1.5190337090133388e-09,8.068140299353755e-10,3.9472786789588603e-07,6.776063091754292e-14,7.28095264870851e-10
1.7915498344040327e-12,0.10125681075141572,0.0,0.25141365935793564,0.031075110263184432,0.31940803673905244,0.35048358802903834,0.20701106783792855,0.09201583124806771,0.0,1.512598776887028e-23,2.2606078861825454e-07,1.2945888514812993e-20,0.0,7.648988505103249e-36,2.280182843059264e-13,2.702191872896472e-26,5.841753384215858e-21,6.540949288098758e-33,3.082185455130222e-14,1.5060329866063956e-14,1.1387191203423692e-52,8.654155961799556e-11,9.497775357465172e-35,4.985452813743903e-25,1.9818202495243493e-43,2.260491122683187e-07,4.840973202297879e-38,2.3639651698260574e-06,1.1982190400047578e-06,8.553754169322579e-07,9.780497126314249e-07,7.531193815111161e-07,4.3274913402173734e-07,6.2183464080548435e-09,6.561463878808875e-09,8.788131953028699e-11,1.301691112430469e-10,6.567030528767336e-09,1.560105578244432e-09,8.225839856777759e-10,3.9848076647646776e-07,6.840520881517829e-14,7.420240582384573e-10
1.808454314037846e-12,0.10125681075141572,0.0,0.2514136030761501,0.031075110263184432,0.3194080214312052,0.35048357691179644,0.20701105766457456,0.09201581812054542,0.0,1.5558281290873604e-23,2.2819382078189425e-07,1.3315815413330661e-20,0.0,8.092334601815862e-36,2.347299141403046e-13,2.8054423105709313e-26,5.9525149336515144e-21,6.727856332050107e-33,3.1405875115199075e-14,1.520243377836591e-14,1.1934653861783553e-52,8.735812874462967e-11,9.769173393111062e-35,5.176270418652888e-25,2.0966893963878344e-43,2.2818192332682902e-07,5.026238958489906e-38,2.3770896737604757e-06,1.2089209857721645e-06,8.639363857383442e-07,9.87033922446692e-07,7.595259086404982e-07,4.370814203985411e-07,6.324248694625388e-09,6.687927995072519e-09,8.872748176424765e-11,1.339212548823152e-10,6.693654706773517e-09,1.6018804451983239e-09,8.385124354440294e-10,4.022335313724389e-07,6.90497728231864e-14,7.560846544846675e-10
1.8253587936716595e-12,0.10125681075141572,0.0,0.25141354692445356,0.031075110263184432,0.319408006127234,0.3504835657990407,0.20701104750342122,0.09201580511299692,0.0,1.5998736913013808e-23,2.303268528778917e-07,1.3692723081832336e-20,0.0,8.556890480112185e-36,2.415758192040221e-13,2.911623212581075e-26,6.064316676781591e-21,6.918290448898122e-33,3.199536992323106e-14,1.5344537682648267e-14,1.2502973229472226e-52,8.817469776675433e-11,1.004569290669485e-34,5.372513520281358e-25,2.2170539131139816e-43,2.30314732250927e-07,5.216771236497832e-38,2.390094205456482e-06,1.2196120505559967e-06,8.725065098903955e-07,9.960136461144382e-07,7.659202369962422e-07,4.414179931203173e-07,6.430892716651094e-09,6.8156344134011735e-09,8.957396111358124e-11,1.3774539264874327e-10,6.821524243018475e-09,1.6443632630714438e-09,8.545995354247864e-10,4.059861625926578e-07,6.96943230381226e-14,7.702770488625792e-10
1.842263273305473e-12,0.10125681075141572,0.0,0.2514134909017191,0.031075110263184432,0.3194079908271349,0.35048355469076886,0.20701103735444532,0.09201579222432556,0.0,1.6447431162769998e-23,2.3245988490627423e-07,1.4076676771917487e-20,0.0,9.043460194780424e-36,2.4855747507523013e-13,3.0207894848780014e-26,6.177158613449333e-21,7.112284607559953e-33,3.259033878040525e-14,1.5486641578919394e-14,1.3092739643882455e-52,8.899126668603008e-11,1.0327381770602435e-34,5.574283978993984e-25,2.343122127179825e-43,2.324475390408128e-07,5.412668867230588e-38,2.4029798615402107e-06,1.2302922454851189e-06,8.810857887174821e-07,1.004988885878557e-06,7.723023898066638e-07,4.4575884231143816e-07,6.5382751616060285e-09,6.944584030549003e-09,9.042075758890359e-11,1.4164222894546683e-10,6.950640063738754e-09,1.6875589629512233e-09,8.708454414508049e-10,4.0973866014594745e-07,7.033885955671384e-14,7.846012366257447e-10
1.8591677529392865e-12,0.10125681075141572,0.0,0.25141343500683017,0.031075110263184432,0.319407975530904,0.3504835435869788,0.2070110272176236,0.09201577945344476,0.0,1.6904440577591586e-23,2.3459291686706904e-07,1.4467741735177336e-20,0.0,9.552870446071171e-36,2.55676361590429e-13,3.1329965421081116e-26,6.291040743498097e-21,7.309871776947401e-33,3.319078149174156e-14,1.5628745467187634e-14,1.3704554478179374e-52,8.980783550411734e-11,1.0614287857210965e-34,5.781684601784545e-25,2.4751082334151954e-43,2.3458034369668576e-07,5.614031598746049e-38,2.4157477286139523e-06,1.2409615816771613e-06,8.896742215310204e-07,1.0139596439817772e-06,7.786723902558206e-07,4.5010395810955815e-07,6.646392736231938e-09,7.074777740092507e-09,9.126787120084138e-11,1.4561246869003187e-10,7.081003092007095e-09,1.7314724539449093e-09,8.872503089934344e-10,4.1349102404109676e-07,7.098338247585873e-14,7.990572130281677e-10
1.8760722325731e-12,0.10125681075141572,0.0,0.25141337923867985,0.031075110263184432,0.31940796023853724,0.3504835324876683,0.20701101709293296,0.09201576679927786,0.0,1.7369841705133165e-23,2.367259487603035e-07,1.4865983223195182e-20,0.0,1.0085971000860797e-35,2.6293396284831865e-13,3.2483003075880526e-26,6.405963066771333e-21,7.5110849259669e-33,3.3796697862272705e-14,1.5770849347461334e-14,1.4339030243499738e-52,9.062440422267642e-11,1.0906459038888808e-34,5.9948191422580225e-25,2.6132324031245307e-43,2.3671314621874455e-07,5.820960096207419e-38,2.42839888334778e-06,1.2516200702385297e-06,8.982718076248972e-07,1.0229259226656705e-06,7.85030261483597e-07,4.544533306655987e-07,6.755242166413328e-09,7.20621643243537e-09,9.2115301960032e-11,1.496568173126014e-10,7.2126142477372045e-09,1.7761086233075363e-09,9.038142931650992e-10,4.172432542868604e-07,7.162789189262771e-14,8.136449733243004e-10
1.8929767122069135e-12,0.10125681075141572,0.0,0.25141332359617136,0.031075110263184432,0.3194079449500309,0.3504835213928349,0.20701100698035033,0.09201575426075802,0.0,1.7843711103492395e-23,2.388589805860047e-07,1.5271466487546627e-20,0.0,1.0643635117692041e-35,2.703317672136348e-13,3.366757213279667e-26,6.521925583112601e-21,7.715957023519539e-33,3.4408087697044147e-14,1.5912953219748802e-14,1.4996790691151063e-52,9.144097284336744e-11,1.1203943187995608e-34,6.213792300612743e-25,2.7577208942132395e-43,2.38845946607187e-07,6.033555941839656e-38,2.440934392570332e-06,1.2622677222644193e-06,9.068785462755933e-07,1.031887724170644e-06,7.913760265857894e-07,4.5880695014373336e-07,6.8648201970533506e-09,7.338900994813306e-09,9.296304987712358e-11,1.5377598075416447e-10,7.3454744476885054e-09,1.8214723365690707e-09,9.205375487197817e-10,4.2099535089195877e-07,7.227238790426256e-14,8.283645127690398e-10
1.909881191840727e-12,0.10125681075141572,0.0,0.25141326807821784,0.031075110263184432,0.31940792966538073,0.3504835103024766,0.20701099687985264,0.09201574183682819,0.0,1.8326125341450965e-23,2.409920123442001e-07,1.5684256779799852e-20,0.0,1.1226759975691661e-35,2.7787126732097247e-13,3.4884241997649506e-26,6.638928292365557e-21,7.924521038501071e-33,3.502495080111404e-14,1.6055057084058352e-14,1.5678470914810779e-52,9.225754136785037e-11,1.1506788176882263e-34,6.438709723622557e-25,2.908806162318604e-43,2.409787448622102e-07,6.251921634885845e-38,2.4533553133587744e-06,1.2729045488388268e-06,9.15494436742306e-07,1.0408450507359488e-06,7.977097086141894e-07,4.6316480672137163e-07,6.9751235919505244e-09,7.472832311298883e-09,9.381111496277492e-11,1.5797066546474785e-10,7.479584605470903e-09,1.8675684376607275e-09,9.374202300535048e-10,4.247473138650789e-07,7.291687060817689e-14,8.432158266177258e-10
1.9267856714745405e-12,0.10125681075141572,0.0,0.25141321268374184,0.031075110263184432,0.31940791438458316,0.3504834992165911,0.2070109867914168,0.09201572952644095,0.0,1.8817160998718693e-23,2.4312504403491677e-07,1.610441935151589e-20,0.0,1.1836267107365155e-35,2.855539600785971e-13,3.613358716221006e-26,6.7569711943739645e-21,8.136809939801908e-33,3.5647286979553187e-14,1.6197160940398267e-14,1.638471745272534e-52,9.307410979778508e-11,1.1815041877890944e-34,6.669678004619053e-25,3.066726972945208e-43,2.4311154098401055e-07,6.476160591563632e-38,2.46566269312793e-06,1.2835305610345597e-06,9.241194782670713e-07,1.049797904599675e-06,8.040313305766685e-07,4.675268905891443e-07,7.086149133676288e-09,7.608011262806364e-09,9.465949722765551e-11,1.6224157840163105e-10,7.614945631549517e-09,1.914401749040467e-09,9.544624912048131e-10,4.2849914321487465e-07,7.35613401019559e-14,8.581989101261379e-10
1.943690151108354e-12,0.10125681075141572,0.0,0.25141315741167575,0.031075110263184432,0.3194078991076342,0.35048348813517605,0.20701097671501995,0.09201571732855847,0.0,1.9316894666180582e-23,2.452580756581819e-07,1.6532019454248873e-20,0.0,1.247310283526836e-35,2.933813466722433e-13,3.741618720394991e-26,6.876054288981685e-21,8.352856696307146e-33,3.627509603744499e-14,1.633926478877682e-14,1.7116188389909248e-52,9.389067813483124e-11,1.212875216335511e-34,6.906804683473822e-25,3.2317285146048565e-43,2.452443349727836e-07,6.706377145021621e-38,2.4778575697186026e-06,1.294145769913251e-06,9.327536700748843e-07,1.0587462879987582e-06,8.10340915437262e-07,4.718931919508879e-07,7.1978936234533374e-09,7.74443872709651e-09,9.550819668244548e-11,1.6658942702756316e-10,7.751558433249445e-09,1.9619770718176755e-09,9.716644858552557e-10,4.322508389499664e-07,7.420579648335625e-14,8.733137585504917e-10
1.9605946307421675e-12,0.10125681075141572,0.0,0.25141310226096164,0.031075110263184432,0.3194078838345298,0.35048347705822935,0.20701096665063912,0.0920157052421524,0.0,1.9825402946147074e-23,2.473911072140228e-07,1.6967122339546332e-20,0.0,1.313823871255595e-35,3.013549325689001e-13,3.873262678579088e-26,6.996177576032684e-21,8.572694276896547e-33,3.6908377779885416e-14,1.648136862920226e-14,1.7873553460344133e-52,9.470724638064837e-11,1.2447966905599522e-34,7.1501982465807545e-25,3.4040625129609656e-43,2.4737712682872405e-07,6.942676545295789e-38,2.4899409714850883e-06,1.3047501865253698e-06,9.413970113738197e-07,1.0676902031689745e-06,8.166384861162529e-07,4.7626370102362924e-07,7.310353881034787e-09,7.882115578781422e-09,9.635721333783558e-11,1.7101491930898312e-10,7.889423914760469e-09,2.0102991858770397e-09,9.89026367329864e-10,4.360024010789422e-07,7.485023985030626e-14,8.885603671474372e-10
1.977499110375981e-12,0.10125681075141572,0.0,0.2514130472305507,0.031075110263184432,0.31940786856526615,0.35048346598574864,0.20701095659825144,0.0920156932662038,0.0,2.034276245260728e-23,2.495241387024667e-07,1.7409793258949423e-20,0.0,1.383267196740663e-35,3.094762275205849e-13,4.008349565585459e-26,7.117341055371028e-21,8.796355650444579e-33,3.754713201198292e-14,1.6623472461682844e-14,1.8657494149177708e-52,9.552381453689587e-11,1.2772733976940242e-34,7.399968126838385e-25,3.5839873459774137e-43,2.495099165520263e-07,7.185164959265909e-38,2.5019139173818875e-06,1.315343821910233e-06,9.50049501355152e-07,1.076629652344947e-06,8.229240654902545e-07,4.8063840803757e-07,7.423526744584144e-09,8.02104268932934e-09,9.720654720452714e-11,1.7551876371424215e-10,8.028542977141822e-09,2.059372850001612e-09,1.0065482885976355e-09,4.3975382961035757e-07,7.549467030090585e-14,9.039387311740555e-10
1.9944035900097945e-12,0.10125681075141572,0.0,0.2514129923194039,0.031075110263184432,0.3194078532998393,0.3504834549177318,0.20701094655783403,0.09201568139970301,0.0,2.0869049811485372e-23,2.516571701235406e-07,1.7860097463993218e-20,0.0,1.4557425951325085e-35,3.177467455681039e-13,4.146938864721205e-26,7.239544726840884e-21,9.023873785820393e-33,3.8191358538858396e-14,1.6765576286226775e-14,1.946870379492274e-52,9.634038260523292e-11,1.3103101249684648e-34,7.65622470363227e-25,3.771768160071816e-43,2.516427041428834e-07,7.433949470611964e-38,2.513777417049627e-06,1.3259266870960178e-06,9.587111391934724e-07,1.0855646377601415e-06,8.291976763922954e-07,4.850173032360725e-07,7.537409070556047e-09,8.161220927069438e-09,9.80561982932321e-11,1.8010166921182925e-10,8.168916518326881e-09,2.109202801995084e-09,1.0242304022720102e-09,4.435051245527354e-07,7.613908793342628e-14,9.194488458878554e-10
2.011308069643608e-12,0.10125681075141572,0.0,0.25141293752649113,0.031075110263184432,0.3194078380382454,0.35048344385417657,0.20701093652936417,0.09201566964164969,0.0,2.1404341660900014e-23,2.537902014772717e-07,1.8318100206206963e-20,0.0,1.5313550591320503e-35,3.2616800504480055e-13,4.2890905677633375e-26,7.362788590286515e-21,9.255281651887847e-33,3.88410571656452e-14,1.6907680102842283e-14,2.0307887691655964e-52,9.715695058731858e-11,1.3439116596131448e-34,7.919079302817412e-25,3.9676769872732166e-43,2.537754896014881e-07,7.689138079770583e-38,2.5255324709001915e-06,1.3364987930997735e-06,9.673819240468078e-07,1.0944951616468731e-06,8.354593416119016e-07,4.894003768756428e-07,7.651997733577828e-09,8.302651157196639e-09,9.890616661467293e-11,1.8476434526859915e-10,8.310545433127905e-09,2.1597937588032593e-09,1.0420728606113516e-09,4.4725628591456754e-07,7.678349284631046e-14,9.350907065467718e-10
2.0451170289112346e-12,0.10125681075141572,0.0,0.2514128282912942,0.031075110263184432,0.31940780752654085,0.35048342174044195,0.20701091650817596,0.09201564644692933,0.0,2.2502245446372383e-23,2.5805626398281436e-07,1.925746230823374e-20,0.0,1.6924247175465984e-35,3.4346884310415863e-13,4.5843236948741423e-26,7.612396892482689e-21,9.72989845152666e-33,4.015686993954782e-14,1.719188771232075e-14,2.2073059805407056e-52,9.879008629937106e-11,1.4128282999283775e-34,8.465032604023605e-25,4.385001949779044e-43,2.5804105412270713e-07,8.219164176793767e-38,2.5487211971569946e-06,1.3576107715738207e-06,9.847509313485114e-07,1.1123428337584373e-06,8.479469259448999e-07,4.981790205696438e-07,7.883281659440645e-09,8.589271039749495e-09,1.0060705499870464e-10,1.9433184940832896e-10,8.597572947249552e-09,2.2632774510788e-09,1.0782394185458722e-09,4.5475820793040183e-07,7.807226490779884e-14,9.667696467338042e-10
