Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34)
1.904075922282902e-12,0.06662394546715897,0.0,0.16542073461903117,0.031075110263184432,0.31940824410229984,0.350483927056712,0.20701117280711798,0.09201571832438124,0.0,3.0376745223912008e-33,4.869704448789092e-11,2.277656100179737e-31,0.0,1.0349414637158128e-47,2.5900728862203995e-14,1.544240487045161e-35,1.3955308078688548e-29,5.716095125792085e-48,5.469980555634962e-19,1.9134274107310343e-22,2.440167679568386e-77,4.621943358387995e-18,7.873040436250538e-52,1.9398242110418173e-33,5.6631845413275115e-59,4.8694581224809257e-11,3.719961701545311e-52,2.477204648405168e-06,1.0883913963578339e-06,6.941166140243219e-07,8.650341308218522e-07,7.032062189011923e-07,3.484616622508899e-07,3.799091751883574e-10,4.600479492161106e-10,3.1871162833559303e-16,1.8452127496606002e-12,4.5901395107316476e-10,9.355929455854856e-11,8.924531137923287e-14,3.441659476021705e-07,9.305697465050597e-13
1.9399393986128245e-12,0.06662394546715897,0.0,0.16542062343859734,0.031075110263184432,0.3194082170334891,0.3504839107754028,0.20701115334205364,0.09201568307449354,0.0,3.213964177108902e-33,4.961425744486459e-11,2.408994187962677e-31,0.0,1.157548775893056e-47,2.7393414980008514e-14,1.6639105105770648e-35,1.448595706909651e-29,6.04520623795639e-48,5.677973269576915e-19,1.9494669282150884e-22,2.678792880893748e-77,4.709530827220744e-18,8.326340285299675e-52,2.0901532250823915e-33,6.334089820341523e-59,4.961170052326353e-11,4.008241336280823e-52,2.5124543196485664e-06,1.1088664715280635e-06,7.072153333068174e-07,8.813145228289135e-07,7.161891306868692e-07,3.5502038559820604e-07,3.9265836290725727e-10,4.775290001563987e-10,3.3074271319410913e-16,1.9513662552117074e-12,4.764355382839183e-10,9.858979366394569e-11,9.26380554547313e-14,3.506480647703358e-07,9.659535214620404e-13
1.975802874942747e-12,0.06662394546715897,0.0,0.16542051261596616,0.031075110263184432,0.3194081899651136,0.3504838944945592,0.20701113388655665,0.09201564817323846,0.0,3.3970708615173534e-33,5.053147035923083e-11,2.545294239207978e-31,0.0,1.2920285207985707e-47,2.894243374263076e-14,1.7904046147724142e-35,1.502650756982926e-29,6.386713564913229e-48,5.889846826672368e-19,1.9855064422121982e-22,2.9357315494316293e-77,4.7971380158227775e-18,8.796714009792802e-52,2.2490549406463334e-33,7.069960845333348e-59,5.0528818031861286e-11,4.312960169159664e-52,2.547355358506863e-06,1.1293406281537514e-06,7.203150228600467e-07,8.975944492236823e-07,7.291624844121256e-07,3.615789394746373e-07,4.0556812429522444e-10,4.953355514960689e-10,3.429966859519726e-16,2.0615115804800024e-12,4.941803914100033e-10,1.0378739040769943e-10,9.609406091576358e-14,3.571301719694827e-07,1.0019974712332573e-12
2.0116663512726694e-12,0.06662394546715897,0.0,0.16542040214768042,0.031075110263184432,0.31940816289717316,0.35048387821418114,0.20701111444061998,0.09201561361716817,0.0,3.587139182998841e-33,5.144868323099087e-11,2.686648817993666e-31,0.0,1.4392831312708118e-47,3.054883284572252e-14,1.9239774152169342e-35,1.5576959578250626e-29,6.740846272476845e-48,6.105601220961322e-19,2.0215459527240283e-22,3.212018133765317e-77,4.8847649256150055e-18,9.284477250294723e-52,2.4168492398718347e-33,7.875735711022676e-59,5.144593375061491e-11,4.6347315898773705e-52,2.5819112128183463e-06,1.1498138663319822e-06,7.334156848196465e-07,9.138739100542583e-07,7.421262871357173e-07,3.6813732388851553e-07,4.186363796690817e-10,5.13467578205937e-10,3.554735469056293e-16,2.1757221600647334e-12,5.122484444048989e-10,1.0915416353781915e-10,9.961332611144326e-14,3.6361226922782453e-07,1.0387015932499076e-12
2.047529827602592e-12,0.06662394546715897,0.0,0.16542029203031722,0.031075110263184432,0.3194081358296678,0.3504838619342686,0.20701109500423648,0.09201557940286899,0.0,3.784315298795537e-33,5.2365896060145936e-11,2.833150518683587e-31,0.0,1.6002655371663673e-47,3.2213660226489457e-14,2.0648881906740712e-35,1.613731309172497e-29,7.10783352639558e-48,6.325236446500589e-19,2.0575854597522426e-22,3.508725323350222e-77,4.97241155802157e-18,9.789945647278502e-52,2.593861864656585e-33,8.756628830621763e-59,5.236304767953673e-11,4.974180223231282e-52,2.6161252963236065e-06,1.1702861861594094e-06,7.465173212937225e-07,9.301529053684016e-07,7.550805459109267e-07,3.7469553884789904e-07,4.318610761132503e-10,5.319250552602396e-10,3.681732963515086e-16,2.294071415496867e-12,5.306396312360308e-10,1.1469216492793438e-10,1.0319584939096282e-13,3.700943565733041e-07,1.0760658849275942e-12
2.0833933039325143e-12,0.06662394546715897,0.0,0.16542018226048708,0.031075110263184432,0.31940810876259734,0.35048384565482155,0.20701107557739915,0.09201554552696088,0.0,3.988746984583779e-33,5.3283108846697235e-11,2.9848919659304144e-31,0.0,1.7759810150057189e-47,3.39379640642593e-14,2.213400883058411e-35,1.670756810761716e-29,7.487904492351902e-48,6.548752497363636e-19,2.0936249632985042e-22,3.826964742625303e-77,5.060077914469813e-18,1.0313434841125534e-51,2.780424416669024e-33,9.718141057039212e-59,5.328015981863895e-11,5.3319419290963495e-52,2.6500009890027534e-06,1.1907575877322565e-06,7.596199343632018e-07,9.464314352135344e-07,7.680252677855715e-07,3.812535843605753e-07,4.452401871349213e-10,5.507079576365975e-10,3.8109593458602435e-16,2.4166327552423043e-12,5.493538858847307e-10,1.2040341992353326e-10,1.0684162910359128e-13,3.765764340335977e-07,1.1140903436660732e-12
2.1192567802624368e-12,0.06662394546715897,0.0,0.16542007283483431,0.031075110263184432,0.3194080816959617,0.3504838293758399,0.20701105616010082,0.09201551198609732,0.0,4.200583704549638e-33,5.4200321590646e-11,3.1419658146786515e-31,0.0,1.9674890708925342e-47,3.572279278104077e-14,2.369784097409114e-35,1.7287724623292597e-29,7.881288335962471e-48,6.776149367640417e-19,2.1296644633644735e-22,4.16788764512406e-77,5.147763996390226e-18,1.0855260472125582e-51,2.9768743573596296e-33,1.0766069986154764e-58,5.4197270167933696e-11,5.708663802401041e-52,2.6835416374092922e-06,1.2112280711463245e-06,7.727235260821819e-07,9.627094996367464e-07,7.809604598020099e-07,3.878114604340633e-07,4.5877171232368887e-10,5.698162603159776e-10,3.942414619055735e-16,2.543479574705083e-12,5.683911423461985e-10,1.2628992768372669e-10,1.1055066359867143e-13,3.830585016361165e-07,1.1527749668490087e-12
2.1551202565923592e-12,0.06662394546715897,0.0,0.16541996375003618,0.031075110263184432,0.3194080546297609,0.35048381309732357,0.20701103675233454,0.0920154787769649,0.0,4.419976682957107e-33,5.511753429199342e-11,3.3044647501676516e-31,0.0,2.1759053567065665e-47,3.756919504207358e-14,2.5343111018633904e-35,1.7877782636117184e-29,8.28821422277816e-48,7.007427051437216e-19,2.165703959951811e-22,4.532685607585126e-77,5.2354698052164085e-18,1.1415738180476848e-51,3.183555007972238e-33,1.1906520442165399e-58,5.5114378727433027e-11,6.105004173103298e-52,2.7167505550006987e-06,1.2316976364969925e-06,7.858280984782734e-07,9.789870986847955e-07,7.938861289971489e-07,3.9436916707561675e-07,4.72453677015591e-10,5.892499382826573e-10,4.0760987860653677e-16,2.674685256230552e-12,5.877513346294614e-10,1.3235366151859734e-10,1.1432295122561742e-13,3.8954055940801e-07,1.1921197518437266e-12
2.1909837329222817e-12,0.06662394546715897,0.0,0.16541985500280287,0.031075110263184432,0.3194080275639947,0.35048379681927266,0.20701101735409314,0.09201544589628287,0.0,4.6470789771998155e-33,5.6034746950740754e-11,3.4724814879346376e-31,0.0,2.402403619570236e-47,3.947821975636964e-14,2.707259827629991e-35,1.8477742143457358e-29,8.708911318284119e-48,7.242585542876495e-19,2.2017434530621765e-22,4.922591224062454e-77,5.323195342385035e-18,1.1995183606286028e-51,3.400815549555403e-33,1.3145915145003234e-58,5.603148549714891e-11,6.521632606166582e-52,2.749631022465725e-06,1.2521662838792238e-06,7.98933653552941e-07,9.952642324041136e-07,8.068022824024497e-07,4.0092670429222577e-07,4.862841319614949e-10,6.090089665241894e-10,4.212011849852788e-16,2.81032316910853e-12,6.074343967573367e-10,1.3859656922218965e-10,1.1815849033391215e-13,3.96022607376168e-07,1.2321246960009853e-12
2.226847209252204e-12,0.06662394546715897,0.0,0.1654197465898769,0.031075110263184432,0.3194080004986631,0.3504837805416871,0.20701099796536968,0.09201541334080304,0.0,4.8820455523268065e-33,5.695195956688919e-11,3.646108773817733e-31,0.0,2.648217684588963e-47,4.1450916077245426e-14,2.88891286896275e-35,1.9087603142680054e-29,9.143608787899795e-48,7.481624836096746e-19,2.2377829426972265e-22,5.338878800035063e-77,5.4109406093358084e-18,1.2593912389568371e-51,3.629011022973786e-33,1.4491005559825496e-58,5.6948590477093196e-11,6.959229901535985e-52,2.7821862880484715e-06,1.2726340133875709e-06,8.120401932818378e-07,1.0115409008408074e-06,8.197089270439352e-07,4.0748407209062114e-07,5.002611529997757e-10,6.290933200313645e-10,4.3501538133814777e-16,2.9504666695764455e-12,6.274402627663935e-10,1.4502057340119965e-10,1.22057279273105e-13,4.025046455672239e-07,1.2727897966547374e-12
