Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(680),CH2OX(648),CHOX(678),H2X(216),NO2X(213),N2OX(730),H2NX(201),H3NX(202),NOX(214),CNOX(740),NO2X(206),H2NO3(231),SX(544),SX(876)
1.3312398964453093e-12,0.1547348997255798,0.0,0.3841991134682723,0.031074899144126544,0.3189296910940243,0.3499904305134765,0.20701120575067125,0.09201595962106955,0.0,2.8148886871815918e-18,1.9376130613993944e-05,2.83502326787327e-14,0.0,1.947384072068241e-25,7.534731152130717e-11,1.311323600624027e-20,7.917453819340581e-16,8.302433820265081e-25,2.0382292389265422e-11,7.523401135674322e-10,2.6266374584008417e-38,4.321669077107464e-06,1.1412762517790153e-24,2.516720418549829e-16,3.8728642932426595e-31,1.937734748021599e-05,2.039341878136328e-29,2.2338463286851053e-06,7.227313308563698e-07,1.4750829912722236e-06,7.726137888452844e-07,6.469621197132626e-07,4.2796431635666875e-07,3.056871988608923e-07,2.4735074969643603e-08,0.0004755949389052403,2.2420456274606874e-09,1.0830886149236618e-07,9.41614816210827e-08,2.9783062121766983e-06,3.299347114600747e-07,2.0950295927882054e-11,6.890323234702238e-10,8.890400861780043e-09,2.7158221574448522e-08,4.724987216453863e-15,1.3793345060164484e-12,3.7048518523171474e-16,2.9567850598735087e-10,2.943528505595537e-21,2.3471857157008473e-07,7.90304792336305e-08,2.5153328609198734e-15,5.025407258444651e-20,1.462372902428937e-07,0.00047406511058226944,7.087942603426675e-10,5.292866524828443e-10
1.337206011537819e-12,0.1547348997255798,0.0,0.38419908297848515,0.031074898256412017,0.31892754344661167,0.34998821873861363,0.20701120167431278,0.09201595347568861,0.0,2.853069117201528e-18,1.946290429979537e-05,2.873307294025e-14,0.0,1.991012932383484e-25,7.603049476569824e-11,1.3334080028698903e-20,7.988671438285045e-16,8.414559792838595e-25,2.0559013399724527e-11,7.557118066171633e-10,2.686025219905199e-38,4.341020660952492e-06,1.156689370495948e-24,2.550102781027239e-16,3.959641846038458e-31,1.946412829361939e-05,2.075830272388995e-29,2.239984892299424e-06,7.24571270842796e-07,1.4840537835481754e-06,7.754793668189177e-07,6.49391663483787e-07,4.2966871073768707e-07,3.0693705041319984e-07,2.4940039503134582e-08,0.00047772327193246547,2.26397119040425e-09,1.092355294925324e-07,9.498241006938791e-08,2.9924580852880327e-06,3.3125925674351347e-07,2.1034430366486434e-11,6.918313720917062e-10,8.900740615426483e-09,2.7463703780499606e-08,4.767140500479145e-15,1.3951098115129094e-12,3.755108311885496e-16,2.98321519595193e-10,3.0160385007794686e-21,2.355831768908378e-07,7.917615353811236e-08,2.5484438079887583e-15,5.125646118925332e-20,1.4687592869773693e-07,0.0004761865830899006,7.158410017968724e-10,5.440495397581134e-10
1.3431721266303286e-12,0.1547348997255798,0.0,0.3841990525140869,0.031074897368987272,0.318925395829273,0.3499860069966935,0.2070111976016793,0.09201594735521,0.0,2.8915954087661786e-18,1.9549677425746986e-05,2.9119343917965444e-14,0.0,2.0354166995402423e-25,7.671684155658656e-11,1.3557665240672438e-20,8.060208754339385e-16,8.527690768422605e-25,2.0736442090265427e-11,7.590834995685588e-10,2.7464823517990565e-38,4.360372097969091e-06,1.1722406387832392e-24,2.5837737174391553e-16,4.0479609674663145e-31,1.955090855960296e-05,2.1128033773282643e-29,2.24609857635117e-06,7.264026693858084e-07,1.4930412338005144e-06,7.783402490659431e-07,6.518174826235963e-07,4.313695318628113e-07,3.081858668501874e-07,2.5145567427665777e-08,0.00047985157730455024,2.2859150509168544e-09,1.1016556192568385e-07,9.580668727273097e-08,3.006616370491018e-06,3.3258252469852586e-07,2.1118483674630627e-11,6.946277311866534e-10,8.910981343376223e-09,2.7770564024374016e-08,4.809462884282621e-15,1.4109660129177548e-12,3.805819762540841e-16,3.0097617597078537e-10,3.089897705004923e-21,2.3644588876056355e-07,7.932082296999412e-08,2.581826337455078e-15,5.2273139948859556e-20,1.4751428573812686e-07,0.000478308027902957,7.228738313041362e-10,5.591034751065381e-10
1.3491382417228382e-12,0.1547348997255798,0.0,0.3841990220749867,0.03107489648185035,0.31892324824199736,0.34998379528770795,0.207011193532765,0.09201594125953287,0.0,2.9304691681443496e-18,1.9636449991858483e-05,2.950906090514579e-14,0.0,2.0806055561851522e-25,7.740635327615169e-11,1.3784013579651452e-20,8.132065778530471e-16,8.641831230928479e-25,2.0914577778292297e-11,7.62455192421678e-10,2.8080232312450966e-38,4.379723388162736e-06,1.1879306729985156e-24,2.617734377999191e-16,4.137841920771426e-31,1.963768827814347e-05,2.1502654069001846e-29,2.252187481681886e-06,7.282255660491412e-07,1.5020452951966405e-06,7.811964432385076e-07,6.54239582842532e-07,4.3306677326279324e-07,3.0943364804217513e-07,2.535165435062033e-08,0.000481979855022066,2.307875569203079e-09,1.1109895037494955e-07,9.663431046009651e-08,3.0207810540043915e-06,3.3390451655703424e-07,2.1202455930567494e-11,6.974214034664457e-10,8.921126810535697e-09,2.8078797307449184e-08,4.851954076250259e-15,1.4269030146185588e-12,3.8569883078209904e-16,3.0364247356455937e-10,3.1651217897913594e-21,2.373067075816313e-07,7.94644947737261e-08,2.6154811641776116e-15,5.33042351071149e-20,1.481523592944137e-07,0.00048042944502200887,7.298921611993293e-10,5.744511159933553e-10
1.355104356815348e-12,0.1547348997255798,0.0,0.3841989916610942,0.031074895594999336,0.318921100684774,0.3499815836116487,0.20701118946756422,0.0920159351885568,0.0,2.9696920023959552e-18,1.9723221998139554e-05,2.990223919486821e-14,0.0,2.1265897717297677e-25,7.809903131173236e-11,1.401314706104225e-20,8.204242521884972e-16,8.756985664267266e-25,2.1093419781867643e-11,7.658268851765804e-10,2.870662363694146e-38,4.399074531538896e-06,1.2037600894992797e-24,2.651985911788878e-16,4.229305141970474e-31,1.9724467449217673e-05,2.1882205922754224e-29,2.2582517087243917e-06,7.300400002133977e-07,1.5110659210745929e-06,7.840479569762869e-07,6.566579698416823e-07,4.3476042854606486e-07,3.1068039385497205e-07,2.555829587672751e-08,0.00048410810508558435,2.3298511296565617e-09,1.1203568642287754e-07,9.746527686010157e-08,3.0349521220221257e-06,3.3522523354977143e-07,2.1286347212475702e-11,7.002123916398132e-10,8.931180693268553e-09,2.838839872083114e-08,4.894613784140495e-15,1.442920725449382e-12,3.9086160521488217e-16,3.0632041082714577e-10,3.241726462890342e-21,2.38165633792446e-07,7.960717614232156e-08,2.649408997011684e-15,5.434987355727897e-20,1.4879014729543583e-07,0.00048255083444762617,7.36895433744509e-10,5.900950914679812e-10
1.3610704719078576e-12,0.1547348997255798,0.0,0.38419896127231945,0.03107489470843232,0.31891895315759217,0.3499793719685076,0.20701118540607127,0.0920159291421818,0.0,3.0092655193745052e-18,1.9809993444599895e-05,3.029889408001925e-14,0.0,2.173379702683727e-25,7.879487705581837e-11,1.4245087778063986e-20,8.276738995429346e-16,8.87315855234972e-25,2.1272967419711667e-11,7.691985778333252e-10,2.9344143834549877e-38,4.418425528103023e-06,1.2197295046429092e-24,2.6865294667587543e-16,4.322371240516509e-31,1.9811246072802323e-05,2.2266731818370212e-29,2.264291357504438e-06,7.318460110768975e-07,1.5201030649422991e-06,7.868947979065083e-07,6.590726493133952e-07,4.364504913987673e-07,3.119261041499292e-07,2.5765487608211815e-08,0.00048623632749567644,2.351840140945085e-09,1.1297576165158659e-07,9.829958370098342e-08,3.0491295607137212e-06,3.365446769062826e-07,2.137015759845568e-11,7.030006984127708e-10,8.94114658043602e-09,2.869936344431323e-08,4.93744171509043e-15,1.4590190586407313e-12,3.9607051008352893e-16,3.0900998620937356e-10,3.319727467275239e-21,2.390226678670783e-07,7.974887421771878e-08,2.68361053880684e-15,5.541018284594247e-20,1.494276476686241e-07,0.0004846721961803791,7.43883121111555e-10,6.060380020773684e-10
1.3670365870003672e-12,0.1547348997255798,0.0,0.38419893090857254,0.03107489382214739,0.31891680566044106,0.3499771603582765,0.20701118134828045,0.09201592312030825,0.0,3.0491913277295834e-18,1.9896764331249202e-05,3.0699040853293625e-14,0.0,2.220985792987504e-25,7.949389190604231e-11,1.4479857901645926e-20,8.34955521018985e-16,8.99035437908628e-25,2.1453220011201643e-11,7.725702703919717e-10,2.9992940542641714e-38,4.43777637786056e-06,1.235839534786656e-24,2.72136618972947e-16,4.417060999963028e-31,1.9898024148874176e-05,2.2656274411681755e-29,2.270306527642353e-06,7.336436376565186e-07,1.5291566804768297e-06,7.897369736439694e-07,6.61483626941291e-07,4.381369555848171e-07,3.1317077878399327e-07,2.5973225144941825e-08,0.0004883645222529134,2.373841036056626e-09,1.1391916764291679e-07,9.913722821058776e-08,3.0633133562245066e-06,3.3786284785492585e-07,2.1453887166533066e-11,7.057863264885524e-10,8.951027974471636e-09,2.9011686745300258e-08,4.980437575621937e-15,1.4751979317680496e-12,4.0132575600824133e-16,3.1171119816227064e-10,3.399140580148913e-21,2.398778103148986e-07,7.988959609114104e-08,2.718086486404725e-15,5.648529117681127e-20,1.500648583401055e-07,0.00048679353022083725,7.508547253257613e-10,6.222824198185241e-10
1.3730027020928769e-12,0.1547348997255798,0.0,0.38419890056976436,0.03107489293614268,0.31891465819331005,0.34997494878094704,0.20701117729418614,0.09201591712283695,0.0,3.0894710369093183e-18,1.9983534658097155e-05,3.110269480719318e-14,0.0,2.2694185743447302e-25,8.019607726517156e-11,1.4717479680324865e-20,8.422691177192533e-16,9.10857762838707e-25,2.1634176876371257e-11,7.759419628525792e-10,3.0653162698558207e-38,4.457127080816942e-06,1.2520907962876485e-24,2.756497226392884e-16,4.5133953786271985e-31,1.9984801677409956e-05,2.3050876530400195e-29,2.276297318354693e-06,7.35432918788536e-07,1.5382267215236565e-06,7.925744917910588e-07,6.638909084002777e-07,4.3981981494600715e-07,3.1441441760975954e-07,2.618150408457891e-08,0.0004904926893578663,2.395852272307327e-09,1.1486589597857914e-07,9.997820761635698e-08,3.077503494675941e-06,3.39179747622874e-07,2.153753599466053e-11,7.085692785675467e-10,8.960828292487815e-09,2.9325363977700954e-08,5.023601071647671e-15,1.4914572666988326e-12,4.0662755369862815e-16,3.144240451370638e-10,3.479981611968653e-21,2.4073106168021245e-07,8.002934880345376e-08,2.752837530637159e-15,5.757532741435419e-20,1.5070177723480712e-07,0.0004889148365695706,7.578097781713899e-10,6.388308881292153e-10
1.3789688171853865e-12,0.1547348997255798,0.0,0.38419887025580585,0.031074892050416303,0.31891251075618854,0.3499727372365113,0.2070111732437826,0.09201591114966907,0.0,3.1301062571628436e-18,2.0070304425153444e-05,3.150987123402574e-14,0.0,2.3186886665541026e-25,8.090143454109994e-11,1.4957975440142634e-20,8.496146907463239e-16,9.227832784161908e-25,2.1815837335910004e-11,7.793136552152067e-10,3.132496054531442e-38,4.4764776369775895e-06,1.268483905502889e-24,2.7919237213131513e-16,4.6113955102522814e-31,2.0071578658386407e-05,2.345058117399437e-29,2.282263828455871e-06,7.372138931294578e-07,1.5473131420959127e-06,7.95407359937776e-07,6.662944993565627e-07,4.4149906340213754e-07,3.1565702047552477e-07,2.639032002272579e-08,0.0004926208288111058,2.4178723313124253e-09,1.1581593824030421e-07,1.0082251914531855e-07,3.091699962165913e-06,3.404953774361152e-07,2.162110416071299e-11,7.113495573472434e-10,8.97055086741153e-09,2.9640390580791227e-08,5.06693190847702e-15,1.5077969895385e-12,4.119761139540038e-16,3.1714852558517846e-10,3.562266405487543e-21,2.4158242254190137e-07,8.016813934551925e-08,2.7878643563244193e-15,5.8680421087315e-20,1.5133840227655925e-07,0.0004910361152271487,7.647478410602414e-10,6.556859219158324e-10
1.3849349322778962e-12,0.1547348997255798,0.0,0.38419883996660836,0.03107489116496642,0.31891036334906575,0.3499705257249609,0.2070111691970642,0.09201590520070622,0.0,3.1710985995427476e-18,2.015707363242775e-05,3.192058542590397e-14,0.0,2.368806777840865e-25,8.160996514683966e-11,1.5201367584543738e-20,8.569922412027609e-16,9.348124330320309e-25,2.1998200711162528e-11,7.826853474799128e-10,3.200848563729732e-38,4.495828046347916e-06,1.2850194787892567e-24,2.827646817927826e-16,4.7110827046692105e-31,2.0158355091780252e-05,2.3855431513568846e-29,2.2882061563597923e-06,7.389865991568556e-07,1.5564158963736609e-06,7.982355856617523e-07,6.686944054676668e-07,4.4317469495117776e-07,3.168985872253413e-07,2.659966855307478e-08,0.000494748940613203,2.4398997189212326e-09,1.1676928600998933e-07,1.0167016002407362e-07,3.10590274476904e-06,3.418097385194541e-07,2.1704591742489565e-11,7.141271655221783e-10,8.980198949146697e-09,2.9956762078050736e-08,5.110429790821967e-15,1.524217030575118e-12,4.1737164766368796e-16,3.198846379582385e-10,3.6460108348114254e-21,2.4243189351306333e-07,8.0305974658549e-08,2.8231676422737106e-15,5.980070239208941e-20,1.5197473138819937e-07,0.0004931573661941409,7.716685048643563e-10,6.728500076173174e-10
1.3909010473704058e-12,0.1547348997255798,0.0,0.3841988097020838,0.031074890279791174,0.3189082159719313,0.34996831424628777,0.20701116515402526,0.0920158992758504,0.0,3.2124496759075144e-18,2.0243842279929765e-05,3.233485267474436e-14,0.0,2.419783705187878e-25,8.232167050051289e-11,1.5447678594273113e-20,8.644017701911075e-16,9.469456750771462e-25,2.2181266324128017e-11,7.860570396467567e-10,3.270389084596394e-38,4.5151783089333186e-06,1.3016981325035048e-24,2.8636676585489487e-16,4.812478448457351e-31,2.024513097756821e-05,2.4265470891742336e-29,2.2941244000814754e-06,7.407510751701908e-07,1.5655349387031595e-06,8.010591765282701e-07,6.710906323824373e-07,4.4484670366945214e-07,3.1813911769906946e-07,2.6809545267555947e-08,0.0004968770247647282,2.4619329651173007e-09,1.177259308698453e-07,1.0252112747878568e-07,3.1201118285369716e-06,3.4312283209651344e-07,2.1787998817717244e-11,7.169021057838747e-10,8.989775705760811e-09,3.0274474075975284e-08,5.154094422802855e-15,1.540717324223085e-12,4.228143658073039e-16,3.226323807080663e-10,3.731230804470591e-21,2.432794752406593e-07,8.044286163445339e-08,2.8587480612778392e-15,6.09363021959681e-20,1.5261076249167478e-07,0.0004952785894711165,7.785713897140162e-10,6.903256033040191e-10
