Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608)
2.1886449148836808e-11,0.09987580875752079,0.0,24.793579690550132,0.030965071459484364,0.31762009174559735,0.3495632502531816,0.20614453300633478,0.09163691086832365,0.0,1.564983111305167e-20,2.235103393062613e-06,1.2667397320650741e-17,0.0,1.2352289963510809e-27,7.267405009703901e-08,3.36029666176707e-20,2.1389908265870756e-21,5.007413834166539e-30,3.436772358735615e-10,1.1497212909218705e-13,7.157497402236482e-48,7.040139307866686e-10,6.260855414092037e-32,6.551215623804868e-19,2.6136469065959083e-35,2.173287982255141e-06,4.5808203563947014e-32,0.0003810227382269436,0.0008961751535701293,0.0015026136826955814,0.0009193067829642877,0.0003845970188774837,0.00048308981121057714,0.0007674217732875013,1.3365852848785471e-05,8.789984533536064e-10,0.00011295022173404713,0.00011003880370005977,1.3042103167637668e-05
2.200220087855362e-11,0.09987580875752079,0.0,24.793553874784127,0.03096481253099246,0.31761148178970877,0.349559680860849,0.20614149541757731,0.0916369121829823,0.0,1.5899288241679042e-20,2.246910173546986e-06,1.287273390460173e-17,0.0,1.274798535514192e-27,7.402530427371651e-08,3.431502712327701e-20,2.1616381890781095e-21,5.087204594372424e-30,3.473193464749756e-10,1.155791115262059e-13,7.348618036743144e-48,7.080219475447157e-10,6.360619052586699e-32,6.690049724793424e-19,2.697365470319784e-35,2.184453981537063e-06,4.6784293139398317e-32,0.00038102251988925134,0.0008986481000689138,0.0015127514518154482,0.0009228643685164122,0.00038508472824712184,0.00048563968695567675,0.0007721040974219938,1.3580018738404485e-05,8.847158996107968e-10,0.00011419027984325763,0.0001102977321919639,1.3256724596385246e-05
2.211795260827043e-11,0.09987580875752079,0.0,24.793528064221114,0.030964555569778607,0.3176028778109161,0.3495561225988511,0.20613846403262404,0.09163691357774346,0.0,1.6151380805067968e-20,2.2587168336598006e-06,1.3080324493770599e-17,0.0,1.3154172603497763e-27,7.539478998082928e-08,3.503830015904779e-20,2.1844044753352503e-21,5.167837833264589e-30,3.5098063033555934e-10,1.161860850251518e-13,7.543798305839646e-48,7.120339265745611e-10,6.461436052927375e-32,6.831070122299079e-19,2.7833035771606036e-35,2.195616758491303e-06,4.7775893233075784e-32,0.0003810222911816593,0.0009011059644073723,0.0015229070240259115,0.0009264108238542155,0.00038556627687255917,0.000488189519621675,0.0007767866793430323,1.3796467346530461e-05,8.904443412270833e-10,0.00011543683587001094,0.00011055469340581919,1.3473695374329244e-05
2.2233704337987242e-11,0.09987580875752079,0.0,24.793502258756426,0.03096430056090426,0.31759427977594,0.3495525754323857,0.2061354387744684,0.09163691505317889,0.0,1.6406122624344512e-20,2.2705233737764083e-06,1.3290182526940517e-17,0.0,1.3571072536866129e-27,7.678266143425818e-08,3.5772901690739845e-20,2.207289680511111e-21,5.2493179627371575e-30,3.546610871316695e-10,1.1679304960717793e-13,7.743102501451172e-48,7.160498788335346e-10,6.563311931323322e-32,6.97429942828139e-19,2.8715079358209326e-35,2.2067763172978237e-06,4.878316714894109e-32,0.00038102205275273573,0.0009035488458789232,0.0015330803322663486,0.0009299461837794345,0.00038604174168419155,0.000490739309284574,0.000781469452630603,1.4015209712647556e-05,8.961837744920156e-10,0.00011668987795680235,0.00011080970228016205,1.3693027765026563e-05
2.2349456067704053e-11,0.09987580875752079,0.0,24.79347645828665,0.030964047489544334,0.31758568765172634,0.34954903932675974,0.20613241956706577,0.09163691660991385,0.0,1.6663527520295536e-20,2.282329794270985e-06,1.3502321464154472e-17,0.0,1.3998909434389114e-27,7.818907336573138e-08,3.6518948258685396e-20,2.230293799766041e-21,5.331649394514429e-30,3.583607165402309e-10,1.1740000529021236e-13,7.94659558975217e-48,7.200698152056652e-10,6.666252203771086e-32,7.119760366709331e-19,2.9620259847351007e-35,2.2179326621477578e-06,4.980627904340716e-32,0.00038102180521211237,0.0009059768431582133,0.0015432713097280023,0.000933470482984965,0.00038651119865177453,0.0004932890560194049,0.00078615235138327,1.423625683903716e-05,9.019341956996169e-10,0.00011794939414363886,0.00011106277364009,1.3914734009491352e-05
2.2465207797420864e-11,0.09987580875752079,0.0,24.793450662709578,0.030963796340986307,0.3175771014054446,0.3495455142473882,0.2061294063353209,0.09163691824862491,0.0,1.6923609313370177e-20,2.2941360955165363e-06,1.3716754786760696e-17,0.0,1.4437911061409938e-27,7.96141810211379e-08,3.7276556977494503e-20,2.2534168282680887e-21,5.4148365401511e-30,3.620795182387287e-10,1.180069520919605e-13,8.154343214664809e-48,7.240937465019972e-10,6.770262386054769e-32,7.267475773502808e-19,3.0549058995401024e-35,2.2290857972433615e-06,5.084539392529998e-32,0.0003810215491328382,0.0009083900543048773,0.0015534798898525486,0.0009369837560552032,0.00038697472279642,0.00049583875990024,0.0007908353102148594,1.4459619690498265e-05,9.076956011483915e-10,0.00011921537236920905,0.00011131392219812325,1.4138826326002523e-05
2.2580959527137675e-11,0.09987580875752079,0.0,24.79342487192422,0.030963547100629363,0.31756852100448674,0.3495420001597947,0.2061263990050763,0.09163691997003794,0.0,1.7186381823681374e-20,2.3059422778849023e-06,1.3933495997457578e-17,0.0,1.4888308704991942e-27,8.105814015883933e-08,3.8045845535758326e-20,2.2766587611929546e-21,5.498883811032468e-30,3.6581749190520154e-10,1.1861389002990803e-13,8.366411701357229e-48,7.281216834609045e-10,6.875347993746289e-32,7.417468596474386e-19,3.1501966005828067e-35,2.2402357267979672e-06,5.190067765582048e-32,0.00038102128505359395,0.0009107885767672748,0.0015637060063306732,0.0009404860374663855,0.0003874323882024413,0.0004983884210002049,0.0007955182642511659,1.4685309194070201e-05,9.134679871413359e-10,0.00012048780047204424,0.00011156316255505958,1.4365316909913443e-05
2.2696711256854487e-11,0.09987580875752079,0.0,24.793399085830753,0.030963299753983604,0.31755994641646573,0.3495384970296103,0.20612339750310069,0.09163692177492586,0.0,1.745185887100731e-20,2.317748341746761e-06,1.415255862033816e-17,0.0,1.5350337209609716e-27,8.252110704798048e-08,3.882693219575345e-20,2.3000195937239575e-21,5.583795618374636e-30,3.6957463721823424e-10,1.1922081912132378e-13,8.582868059741464e-48,7.321536367484032e-10,6.981514542205627e-32,7.569761895271189e-19,3.247947760463491e-35,2.251382455035941e-06,5.297229694850633e-32,0.0003810210134807707,0.0009131725073862042,0.0015739495931006537,0.0009439773615869259,0.00038788426802905133,0.0005009380393914892,0.0008002011491266788,1.4913336238757919e-05,9.192513499859474e-10,0.00012176666619167156,0.00011181050920082274,1.4594217933463852e-05
2.2812462986571298e-11,0.09987580875752079,0.0,24.793373304330554,0.03096305428666912,0.31755137760921415,0.34953500482257377,0.206120401757077,0.09163692366410699,0.0,1.7720054274792953e-20,2.3295542874716317e-06,1.4373956200934124e-17,0.0,1.5824235013012141e-27,8.40032384667984e-08,3.9619935793147086e-20,2.323499321051984e-21,5.669576373224717e-30,3.7335095385695134e-10,1.1982773938326207e-13,8.80377998797115e-48,7.361896169584634e-10,7.088767546581095e-32,7.724378841316981e-19,3.348209811615643e-35,2.2625259861926318e-06,5.406041936919384e-32,0.0003810207348904244,0.0009155419423985942,0.0015842105843469542,0.0009474577626777548,0.0003883304345219145,0.0005034876151453605,0.0008048839009813267,1.514371167525962e-05,9.25045685994235e-10,0.00012305195716975854,0.00011205597651530437,1.482554154559393e-05
2.292821471628811e-11,0.09987580875752079,0.0,24.79334752732613,0.030962810684415223,0.31754281455078276,0.34953152350453087,0.20611741169559142,0.09163692563844325,0.0,1.7990981854151452e-20,2.3413601154278753e-06,1.4597702306259358e-17,0.0,1.6310244182257385e-27,8.550469170093066e-08,4.042497573670331e-20,2.3470979383754565e-21,5.7562304864610194e-30,3.771464415010096e-10,1.2043465083256575e-13,9.029215875938932e-48,7.402296346133176e-10,7.197112521809566e-32,7.881342717754463e-19,3.451033953922029e-35,2.273666324514325e-06,5.516521333597988e-32,0.00038102044973011126,0.0009178969774411729,0.0015944889144988235,0.0009509272748926542,0.00038877095902455425,0.0005060371483321728,0.0008095664564572457,1.5376446315696864e-05,9.308509914827279e-10,0.00012434366095124942,0.00011229957876919952,1.5059299871760508e-05
