Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208)
1.3019713120487878e-21,0.07865737607768974,0.0,19.530626480089982,0.031075110263184432,0.3194096818762742,0.35048479213947525,0.20701222018021495,0.09201819554046912,0.0,5.205195163987549e-56,1.7043675748513066e-18,1.0410312243926852e-55,0.0,9.287721495439623e-120,6.042191674945997e-55,1.5001760709036268e-88,4.532612484638602e-47,3.041833667275616e-68,2.7526635504923895e-61,5.261996744815629e-28,3.2142999462500725e-111,2.8309231051737942e-37,2.764422327901105e-71,2.7035379508631215e-89,1.851272956569383e-122,1.7043675753775061e-18,3.110223398981644e-88,2.368621667920697e-13,8.096089029322903e-14,2.3276613532390625e-48,6.43184754401439e-14
2.603943727793268e-21,0.07865737607768974,0.0,19.530626480089598,0.031075110263184432,0.3194096818761933,0.3504847921394109,0.20701222018021495,0.09201819554023226,0.0,4.164160249525347e-55,3.408736594513716e-18,8.328258031750315e-55,0.0,5.95438193514616e-118,2.4168808693109924e-54,2.400299013066617e-87,1.8130461465552285e-46,2.433469340511017e-67,2.2021330182935746e-60,1.052399795028495e-27,1.0285774844671568e-109,5.661848610092029e-37,2.2115400495243118e-70,4.33348653269157e-88,1.1848164785201737e-120,3.408736595566115e-18,4.976362711514109e-87,4.737245342151084e-13,1.6192184921747367e-13,9.310651332423496e-48,1.2863700540331e-13
5.207888559282227e-21,0.07865737607768974,0.0,19.530626480088834,0.031075110263184432,0.31940968187603136,0.3504847921392823,0.20701222018021495,0.09201819553975854,0.0,3.331329846954043e-54,6.817474633837284e-18,6.662609720043072e-54,0.0,3.823903279304655e-116,9.66754785225632e-54,3.8405276754936484e-86,7.252186891597128e-46,1.9467764350854825e-66,1.761707285794839e-59,2.104800036122359e-27,3.2914503529643204e-108,1.1323699619745965e-36,1.7692329145012372e-69,6.95861006765765e-87,7.582831181618274e-119,6.817474635942084e-18,7.9621845569399e-86,9.474492685819417e-13,3.238437670646441e-13,3.7242617168116266e-47,2.5727406532822866e-13
1.0415778222260146e-20,0.07865737607768974,0.0,19.530626480087307,0.031075110263184432,0.3194096818757075,0.350484792139025,0.20701222018021495,0.09201819553881109,0.0,2.6650645364950727e-53,1.3634950712479414e-17,5.330089093888248e-53,0.0,2.4640618671145704e-114,3.867036796982127e-53,6.144997012105625e-85,2.900875217694957e-45,1.5574215331391452e-65,1.4093661770994628e-58,4.209600518310086e-27,1.0532644973758494e-106,2.2647401638323702e-36,1.4153866815537882e-68,1.1213868492695917e-85,4.853013790023344e-117,1.3634950716689013e-17,1.2739498665919276e-84,1.8948987353986317e-12,6.476876027537094e-13,1.4897049234518885e-46,5.145481851724115e-13
2.0831557548215987e-20,0.07865737607768974,0.0,19.530626480084248,0.031075110263184432,0.3194096818750598,0.3504847921385104,0.20701222018021495,0.09201819553691619,0.0,2.1320518927659026e-52,2.726990286974365e-17,4.264071802246335e-52,0.0,1.5984563391309536e-112,1.5468284748704136e-52,9.832480052888007e-84,1.1603501792738497e-44,1.2459373805396383e-64,1.1274930810642508e-57,8.419201482685542e-27,3.3704470066864754e-105,4.529480567255863e-36,1.1323094852241669e-67,1.81984781907862e-84,3.1059294171335114e-115,2.7269902878162852e-17,2.038320056532561e-83,3.789797661364109e-12,1.295375274110738e-12,5.958820166932134e-46,1.0290964248381599e-12
4.166311620012767e-20,0.07865737607768974,0.0,19.530626480078134,0.031075110263184432,0.31940968187376445,0.3504847921374813,0.20701222018021495,0.09201819553312639,0.0,1.705641619635992e-51,5.4539807184192065e-17,3.4112576526420263e-51,0.0,1.0504764082085524e-110,6.1874232105298655e-52,1.573351642652791e-82,4.641400901364251e-44,9.967499660430433e-64,9.019945206040405e-57,1.6838403411436453e-26,1.0785431405530829e-103,9.058961372934632e-36,9.05847644171791e-67,2.9937683010968426e-83,1.9877950222773477e-113,5.453980720103047e-17,3.261312306441147e-82,7.579595482623445e-12,2.5907506167403863e-12,2.383528161133831e-45,2.058192904079186e-12
8.332623350395102e-20,0.07865737607768974,0.0,19.530626480065905,0.031075110263184432,0.3194096818711737,0.35048479213542305,0.20701222018021495,0.0920181955255468,0.0,1.364513337870624e-50,1.090796158127686e-16,2.7290062064366493e-50,0.0,7.074591807011852e-109,2.4750565855360482e-51,2.517857847626415e-81,1.856560397301162e-43,7.973999974789682e-63,7.215956387823113e-56,3.3676807268938276e-26,3.45133820723133e-102,1.8117922979619304e-35,7.246781377344163e-66,5.052466561803513e-82,1.2721888844701516e-111,1.0907961584644538e-16,5.218099863099167e-81,1.5159191002455654e-11,5.18150130166205e-12,9.534112831145746e-45,4.1163858621993595e-12
1.2498935080777437e-19,0.07865737607768974,0.0,19.530626480053677,0.031075110263184432,0.31940968186858293,0.3504847921333648,0.20701222018021495,0.09201819551796721,0.0,4.0508990073690464e-50,1.6361942444102486e-16,8.101737246489532e-50,0.0,4.090271252198217e-108,5.2596425131680666e-51,9.526558993582043e-81,3.9451908670978615e-43,2.367281263309513e-62,2.1422370714476102e-55,5.05152111264401e-26,1.651182230011484e-101,2.717688458163111e-35,2.1513882402965035e-65,1.9639894256355832e-81,7.223111818370544e-111,1.6361942449154004e-16,1.9741131868273184e-80,2.27387863996014e-11,7.772251986246079e-12,2.0259989880439624e-44,6.174578819957652e-12
2.083155854154211e-19,0.07865737607768974,0.0,19.53062648002922,0.031075110263184432,0.3194096818634014,0.3504847921292483,0.20701222018021495,0.09201819550280801,0.0,1.897526394310773e-49,2.7269904169625615e-16,3.79502432349433e-49,0.0,1.2288548020312333e-106,1.4542359094829103e-50,7.521861918071956e-80,1.0907292456530942e-42,1.1088843912868318e-61,1.0034689530835176e-54,8.419201884144375e-26,2.489884427445777e-100,4.529480776696325e-35,1.0077555532744998e-64,1.7304801823212086e-80,1.9417700049739426e-109,2.7269904178044817e-16,1.557990118871716e-79,3.7897976703147065e-11,1.2953753354063605e-11,5.601291348137449e-44,1.0290964734026718e-11
2.8330919656230312e-19,0.07865737607768974,0.0,19.530626480007207,0.031075110263184432,0.3194096818587381,0.35048479212554345,0.20701222018021495,0.09201819548916475,0.0,4.3787347317655576e-49,3.7087069722492955e-16,8.757403777361188e-49,0.0,5.60430630047291e-106,2.589691159946202e-50,2.111481294549296e-79,1.9422656278264675e-42,2.5588632718050904e-61,2.31560644969595e-54,1.1450114578494703e-25,9.083231541544571e-100,6.160093861866403e-35,2.325498214686934e-64,5.1750187393289766e-80,8.431426868509726e-109,3.7087069733943064e-16,4.372228781583534e-79,5.154124757993517e-11,1.7617104584008475e-11,9.974240351182888e-44,1.3995712055519634e-11
3.5830280770918516e-19,0.07865737607768974,0.0,19.530626479985195,0.031075110263184432,0.31940968185407476,0.3504847921218386,0.20701222018021495,0.09201819547552148,0.0,8.430988743345032e-49,4.690423527525076e-16,1.6861851011944913e-48,0.0,1.756747779451586e-105,4.0427485255449753e-50,4.835384320690852e-79,3.031904058359347e-42,4.926936378221349e-61,4.458560088112131e-54,1.448102727284503e-25,2.435590398604375e-99,7.790706945438372e-35,4.4776060830117617e-64,1.238980878905556e-79,2.5530413458640784e-108,4.690423528973177e-16,1.0010480044084538e-78,6.518451803713882e-11,2.2280455812798647e-11,1.5569929961667561e-43,1.7700459375774928e-11
4.332964188560672e-19,0.07865737607768974,0.0,19.530626479963182,0.031075110263184432,0.31940968184941143,0.3504847921181337,0.20701222018021495,0.09201819546187821,0.0,1.4334753851162684e-48,5.672140082790507e-16,2.866929266416137e-48,0.0,4.733899933656115e-105,5.795861749349627e-50,9.43172289663807e-79,4.346455109960282e-42,8.377003264114292e-61,7.580648407864686e-54,1.7511939967195358e-25,5.595754547316914e-99,9.42132002750076e-35,7.613031282199843e-64,2.5447779067330022e-79,6.6279634821645875e-108,5.6721400845417e-16,1.9521047860995647e-78,7.882778809800052e-11,2.6943807040498084e-11,2.2320627673239996e-43,2.140520669486116e-11
5.832836411498312e-19,0.07865737607768974,0.0,19.53062647991916,0.031075110263184432,0.3194096818400847,0.35048479211072403,0.20701222018021495,0.09201819543459168,0.0,3.16942905739104e-48,7.635573193297777e-16,6.338810569619288e-48,0.0,2.3220128121122783e-104,9.986530123320277e-50,2.5056118264736135e-78,7.4884663172801e-42,1.8521641763241825e-60,1.6760892853410272e-53,2.3573765355896016e-25,2.0177357594077097e-98,1.268254618818296e-34,1.6832491727119751e-63,7.565471551127321e-79,2.9316818924360736e-107,7.6355731956551515e-16,5.182761042242318e-78,1.0611432731587336e-10,3.6270509493409556e-11,3.845599786922942e-43,2.881470133036759e-11
7.332708634435953e-19,0.07865737607768974,0.0,19.53062647987514,0.031075110263184432,0.319409681830758,0.35048479210331435,0.20701222018021495,0.09201819540730515,0.0,5.937883218316838e-48,9.599006303766799e-16,1.1875677361403044e-47,0.0,7.474020721633838e-104,1.5286772279088166e-49,5.437903230512134e-78,1.1461846126249657e-41,3.4700049697191936e-60,3.1401310014146085e-53,2.963559074459667e-25,5.384154810592031e-98,1.5943772343285128e-34,3.1535449552739584e-63,1.7942592593208943e-78,8.82162512978007e-107,9.599006306730358e-16,1.1242113368299939e-77,1.3340086506870503e-10,4.5597211942289227e-11,5.8860748165402975e-43,3.622419596155269e-11
8.832580857373595e-19,0.07865737607768974,0.0,19.530626479831117,0.031075110263184432,0.3194096818214313,0.35048479209590466,0.20701222018021495,0.09201819538001861,0.0,1.0049305673949682e-47,1.156243941419498e-15,2.009846059649728e-47,0.0,2.06582470851107e-103,2.17721555694685e-49,1.0515240619823508e-77,1.6322984376888997e-41,5.872655178493998e-60,5.314374690352376e-53,3.5697416133297327e-25,1.244074131746075e-97,1.9204998492428782e-34,5.337076538452886e-63,3.7771339732506612e-78,2.283572104206719e-106,1.156243941776472e-15,2.17267342855152e-77,1.6068740125712525e-10,5.4923914386863636e-11,8.382446089174054e-43,4.363369058812335e-11
1.1832325303248876e-18,0.07865737607768974,0.0,19.53062647974307,0.031075110263184432,0.3194096818027779,0.3504847920810853,0.20701222018021495,0.09201819532544554,0.0,2.3898497930079513e-47,1.5489305634926517e-15,4.779663735458784e-47,0.0,1.596941636227486e-102,3.83670734133458e-49,3.313616869700234e-77,2.8758560639944975e-41,1.3965903932646938e-59,1.2638243542386164e-52,4.782106691069864e-25,5.582874471507945e-97,2.57274507725048e-34,1.2692231359024097e-62,1.4422398630946204e-77,1.4130578112459379e-105,1.548930563970862e-15,6.836751042567892e-77,2.152604688525785e-10,7.357731926285405e-11,1.4768566727719566e-42,5.845267982716131e-11
1.4832069749124157e-18,0.07865737607768974,0.0,19.530626479655023,0.031075110263184432,0.3194096817841245,0.3504847920662659,0.20701222018021495,0.09201819527087247,0.0,4.6672856930147e-47,1.941617185549214e-15,9.334501371255744e-47,0.0,6.504921301295129e-102,5.9780979198594686e-49,7.969509549750002e-77,4.4800591947846047e-41,2.7274878867976007e-59,2.4682008653320894e-52,5.994471768809995e-25,1.6740055278025228e-96,3.224990302837478e-34,2.4787444804949152e-62,3.970796498601053e-77,5.11336299942784e-105,1.941617186148661e-15,1.6423217985415887e-76,2.698335300927234e-10,9.223072412135463e-11,2.3006733172778688e-42,7.327166904745345e-11
2.083155864087472e-18,0.07865737607768974,0.0,19.530626479478933,0.031075110263184432,0.31940968174681766,0.35048479203662714,0.20701222018021495,0.09201819516172638,0.0,1.3051765970504448e-46,2.7269904296125317e-15,2.6103336149171763e-46,0.0,7.552965762287187e-101,1.1709008035125679e-48,3.216251067972814e-76,8.771121546959037e-41,7.627245454826041e-59,6.902165880241663e-52,8.419201924290258e-25,9.865955157405297e-96,4.529480746744837e-34,6.931650426036479e-62,2.0738783901739745e-76,4.4810901778894194e-104,2.726990430454452e-15,6.609408650030396e-76,3.7897963349441144e-10,1.2953753378585135e-10,4.504289874846454e-42,1.0290964743176277e-10
3.283053642437585e-18,0.07865737607768974,0.0,19.530626479126752,0.031075110263184432,0.31940968167220407,0.3504847919773496,0.20701222018021495,0.09201819494343424,0.0,5.2525399879489486e-46,4.297736917539931e-15,1.0505001181621617e-45,0.0,2.1843861925899213e-99,2.8973003364138904e-48,2.1886200195335053e-75,2.168403050601701e-40,3.069501234238578e-58,2.777700916037523e-51,1.3268662235250782e-24,1.100398659595351e-94,7.138461605491933e-34,2.7895666481490563e-61,2.0615005599438307e-75,8.688340236166022e-103,4.297736918866797e-15,4.472101119493092e-75,5.972717639805873e-10,2.041511529048193e-10,1.1135538159153592e-41,1.621856039752735e-10
5.682849199137811e-18,0.07865737607768974,0.0,19.530626478422388,0.031075110263184432,0.31940968152297683,0.35048479185879455,0.20701222018021495,0.0920181945068503,0.0,2.8199861121628134e-45,7.439229892597754e-15,5.639929921217925e-45,0.0,1.1992534062837075e-97,8.678695275477803e-48,2.206321711048145e-74,6.4833660489131745e-40,1.6479552510500518e-57,1.4912933601929983e-50,2.296758285717183e-24,1.9491884562069917e-93,1.235642320671112e-33,1.4976638402009371e-60,3.3511304486140833e-74,2.910839462166331e-101,7.439229894894509e-15,4.458309576869027e-74,1.0338557196724387e-09,3.5337839030262086e-10,3.329444193921367e-41,2.80737516161828e-10
1.048244031253826e-17,0.07865737607768974,0.0,19.530626477013662,0.031075110263184432,0.31940968122452235,0.35048479162168444,0.20701222018021495,0.0920181936336836,0.0,1.8192171242003912e-44,1.3722215839525482e-14,3.6384069580047027e-44,0.0,9.683687019019216e-96,2.9616803736374897e-47,2.8209788971284772e-73,2.2042845997539693e-39,1.063121694658677e-56,9.620566595010205e-50,4.236542410101392e-24,4.551425218592095e-92,2.2792345944047674e-33,9.661663560396276e-60,7.40571159190298e-73,1.3294464138969318e-99,1.3722215843762022e-14,5.5778504339019365e-73,1.9070224099305765e-09,6.518328617376718e-10,1.1319802691295212e-40,5.178413369330541e-10
