Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525),H2X(216),H2NX(201)
1.416878193368763e-11,0.10125681075141572,0.0,25.137464917902,0.030922794906036933,0.3180499674407392,0.3498348005023381,0.20636937550527865,0.09164043846515077,0.0,2.9623903378486673e-18,1.7860705068110064e-06,6.524619965850313e-18,0.0,1.8488075584189364e-28,3.1275928950294276e-08,1.038063661993203e-20,1.599206420761973e-21,3.2266296474127176e-30,1.9275773806921756e-10,1.1889843548657725e-13,3.50948484354198e-48,7.076160564827878e-10,4.685212378198779e-32,1.9242960132734211e-19,4.7869420375060113e-36,1.7589575734071443e-06,1.8896280412787641e-32,0.00037832766387744664,0.0006715798736346757,0.0012069803384163163,0.0006482055666944169,0.00032771851720688974,0.0003151259648530717,0.00042848986412016084,4.484297587368232e-05,7.890421772208859e-10,4.6295901965789997e-05,6.902335702926235e-05,1.1273917133745425e-05,0.00016796155570962895,9.760416500861365e-05,8.817677618723171e-11,0.000187761924829347
1.4197028187341859e-11,0.10125681075141572,0.0,25.137456593414367,0.030922570420088183,0.31804743868424085,0.349833758078743,0.206368485119128,0.09164043906838526,0.0,2.9860879904910282e-18,1.7896280578217552e-06,6.564255826394403e-18,0.0,1.870981561351789e-28,3.149598394672061e-08,1.0463334097539996e-20,1.6055806738932522e-21,3.245951152598315e-30,1.9352661316496797e-10,1.1913514524789548e-13,3.5445840290974255e-48,7.091166630413085e-10,4.7132680534198224e-32,1.9396286150409426e-19,4.844350743621623e-36,1.7624018399535766e-06,1.9047333979006315e-32,0.00037833034295485296,0.0006724273446909113,0.001210070943975983,0.0006492444327385696,0.000327981641475223,0.00031575322596620365,0.00042943054256227355,4.48907338096107e-05,7.908280558420344e-10,4.64846280287028e-05,6.91035590617602e-05,1.1341057117369814e-05,0.00016846250789778256,9.797358499566231e-05,8.896741147681087e-11,0.00018802152792617318
1.4225274440996089e-11,0.10125681075141572,0.0,25.13744826892345,0.030922346238244778,0.3180449104692949,0.34983271652655995,0.20636759557865736,0.09164043972121905,0.0,3.009926982218203e-18,1.793185598236283e-06,6.604054689503178e-18,0.0,1.8933765407633205e-28,3.171716406914698e-08,1.0546523448488125e-20,1.6119675776396397e-21,3.2653495902171865e-30,1.942970171881211e-10,1.1937185398839194e-13,3.57996340857401e-48,7.106177341986089e-10,4.7414354377162817e-32,1.955052427441536e-19,4.902331504782851e-36,1.7658458589678088e-06,1.919929109211949e-32,0.0003783329833948471,0.0006732733877312443,0.0012131636104873067,0.0006502824273812623,0.00032824392319557325,0.00031638048394586245,0.0004303711822617558,4.4938501382090626e-05,7.926147694471981e-10,4.6673724875214546e-05,6.918371300844006e-05,1.140845758096987e-05,0.00016896399414606658,9.834358046252955e-05,8.976360040544532e-11,0.0001882805934653217
1.4253520694650318e-11,0.10125681075141572,0.0,25.137439944426923,0.03092212236062011,0.3180423827950467,0.3498316758450583,0.20636670688118033,0.09164044042307676,0.0,3.033907884430874e-18,1.7967431280634473e-06,6.644016915154243e-18,0.0,1.9159942520402174e-28,3.193947292936339e-08,1.0630206607006516e-20,1.6183671318480662e-21,3.284825112793449e-30,1.9506895013104211e-10,1.1960856170903304e-13,3.615624655386931e-48,7.121192704363869e-10,4.769714752558296e-32,1.9705678091906433e-19,4.96088886467598e-36,1.7692896304809498e-06,1.935215534562405e-32,0.0003783355857919295,0.0006741180052593913,0.0012162583353902223,0.0006513195513529855,0.0003285053650517888,0.0003170077387945852,0.00043131178160864015,4.498627862816191e-05,7.944023179649535e-10,4.68631923027126e-05,6.92638194114977e-05,1.1476118967432836e-05,0.00016946601456176565,9.871415055083836e-05,9.05653713071068e-11,0.00018853912137021194
1.4281766948304548e-11,0.10125681075141572,0.0,25.13743161992246,0.030921898787328046,0.31803985566064324,0.3498306360335085,0.20636581902401888,0.09164044117338996,0.0,3.0580312698882935e-18,1.8003006473120987e-06,6.68414286350589e-18,0.0,1.9388364609680122e-28,3.216291414387317e-08,1.0714385511025055e-20,1.6247793363656249e-21,3.3043778728496475e-30,1.9584241198610183e-10,1.198452684107866e-13,3.651569449593669e-48,7.136212722354306e-10,4.7981062194137203e-32,1.9861751196898029e-19,5.0200273938989105e-36,1.7727331545240849e-06,1.950593034013144e-32,0.00037833815073378275,0.0006749611997748429,0.001219355116129,0.0006523558053835975,0.00032876596971919607,0.000317634990514907,0.00043225233899724666,4.5034065583695046e-05,7.961907013238872e-10,4.7053030107892164e-05,6.9343878810086e-05,1.154404171915614e-05,0.00016996856925244056,9.908529440172848e-05,9.137275260639237e-11,0.00018879711156693558
1.4310013201958778e-11,0.10125681075141572,0.0,25.13742329540776,0.030921675518482884,0.3180373290652329,0.349829597091181,0.20636493200450376,0.0916404419715979,0.0,3.082297712729945e-18,1.8038581559910795e-06,6.724432894897218e-18,0.0,1.9619049437786912e-28,3.238749133389188e-08,1.0799062102173013e-20,1.631204191039483e-21,3.324008022906741e-30,1.9661740274567797e-10,1.2008197409461748e-13,3.687799477907076e-48,7.151237400756074e-10,4.826610059748101e-32,2.0018747190265721e-19,5.079751690084298e-36,1.7761764311283121e-06,1.9660619683367465e-32,0.0003783406788004127,0.0006758029737728651,0.0012224539501524653,0.0006533911902023458,0.00032902573986459146,0.0003182622391093543,0.0004331928528261823,4.508186228309878e-05,7.979799194525937e-10,4.724323808675773e-05,6.94238917403212e-05,1.1612226278047447e-05,0.00017047165832620114,9.945701115585904e-05,9.218577281864564e-11,0.0001890545639842617
1.4338259455613008e-11,0.10125681075141572,0.0,25.137414970880524,0.030921452554199334,0.31803480300796527,0.3498285590173474,0.20636404581997428,0.09164044281714961,0.0,3.106707788488084e-18,1.8074156541092258e-06,6.7648873698482675e-18,0.0,1.9852014871949196e-28,3.261320812534316e-08,1.0884238325778598e-20,1.6376416957168227e-21,3.343715715483999e-30,1.9739392240215472e-10,1.2031867876148413e-13,3.724316433708387e-48,7.166266744358565e-10,4.8552264950245204e-32,2.0176669679744438e-19,5.140066378013885e-36,1.779619460324756e-06,1.9816226990171975e-32,0.0003783431705619848,0.0006766433297444975,0.001225554834913983,0.0006544257065378826,0.0003292846781462509,0.0003188894845804419,0.00043413332149833724,4.512966875929202e-05,7.997699722796746e-10,4.7433816034625084e-05,6.950385873529182e-05,1.168067308552435e-05,0.000170975281891724,9.98292999534131e-05,9.300446055007671e-11,0.00018931147855363731
1.4366505709267237e-11,0.10125681075141572,0.0,25.137406646338494,0.030921229894592554,0.3180322774879921,0.34982752181127946,0.20636316046777803,0.0916404437095048,0.0,3.131262074078235e-18,1.8109731416753662e-06,6.805506649060193e-18,0.0,2.0087278884667284e-28,3.284006814885099e-08,1.0969916130868403e-20,1.6440918502448743e-21,3.363501103098938e-30,1.981719709479224e-10,1.2055538241234005e-13,3.761122017060252e-48,7.181300757942008e-10,4.883955746703523e-32,2.033552227992744e-19,5.200976109713381e-36,1.7830622421445508e-06,1.997275588249853e-32,0.0003783456265780436,0.0006774822701765657,0.0012286577678711891,0.0006554593551182558,0.00032954278721397803,0.00031951672693067315,0.0004350737434208719,4.517748504400135e-05,8.015608597337402e-10,4.762476374612458e-05,6.95837803250705e-05,1.1749382582513417e-05,0.00017147944005796778,0.00010020215993410458,9.382884449787712e-11,0.00018956785520917713
1.4394751962921467e-11,0.10125681075141572,0.0,25.137398321779393,0.03092100753977809,0.31802975250446625,0.34982648547224976,0.20636227594527115,0.09164044464813159,0.0,3.1559611477836683e-18,1.8145306186983218e-06,6.84629109341545e-18,0.0,2.03248595540659e-28,3.3068075039733657e-08,1.1056097470166675e-20,1.6505546544710055e-21,3.383364338267415e-30,1.9895154837537623e-10,1.2079208504813837e-13,3.7982179347199106e-48,7.196339446277606e-10,4.912798036243226e-32,2.0495308612264936e-19,5.26248556454327e-36,1.7865047766188075e-06,2.0130209989414548e-32,0.0003783480473996888,0.0006783197975516949,0.001231762746485854,0.0006564921366708889,0.00032980006970915993,0.00032014396616254645,0.0004360141170052012,4.5225311167967554e-05,8.033525817434105e-10,4.781608101520428e-05,6.966365703672506e-05,1.1818355209449148e-05,0.00017198413293398858,0.00010057559023718548,9.465895345033215e-11,0.0001898236938876496
1.4422998216575697e-11,0.10125681075141572,0.0,25.137389997201,0.03092078548987191,0.31802722805654193,0.34982544999953163,0.2063613922498182,0.0916404456325044,0.0,3.1808055892658238e-18,1.818088085186904e-06,6.887241063977981e-18,0.0,2.056477506433746e-28,3.329723243800343e-08,1.114278430009479e-20,1.6570301082427033e-21,3.403305573503734e-30,1.9973265467691828e-10,1.2102878666983173e-13,3.835605900152424e-48,7.211382814127473e-10,4.941753585099496e-32,2.0656032305063124e-19,5.324599449313581e-36,1.789947063778631e-06,2.02885929471016e-32,0.00037835043357184017,0.0006791559143483162,0.0012348697682241603,0.0006575240519225868,0.0003300565282647792,0.0003207712022785558,0.00043695444066698953,4.527314716065027e-05,8.051451382373156e-10,4.800776763513173e-05,6.97434893943253e-05,1.1887591406273815e-05,0.00017248936062922907,0.00010094959000144908,9.549481628693794e-11,0.00019007899452847462
1.4451244470229927e-11,0.10125681075141572,0.0,25.137381672601077,0.030920563744990394,0.31802470414337547,0.3498244153923987,0.20636050937879213,0.09164044666210569,0.0,3.205795979581145e-18,1.8216455411499206e-06,6.928356921993333e-18,0.0,2.080704370620236e-28,3.352754398836352e-08,1.1229978580770825e-20,1.6635182114075e-21,3.423324961320574e-30,2.005152898449569e-10,1.2126548727836827e-13,3.873287633543697e-48,7.226430866244547e-10,4.970822614725836e-32,2.081769699348337e-19,5.387322498402875e-36,1.7933891036551415e-06,2.0447908398855055e-32,0.0003783527856313211,0.0006799906230406665,0.0012379788305567697,0.0006585551015995525,0.00033031216550541436,0.00032139843528118537,0.0004378947128261472,4.532099305010151e-05,8.069385291440927e-10,4.819982339849581e-05,6.982327791895056e-05,1.1957091612437306e-05,0.00017299512325363048,0.00010132415836523363,9.633646197852169e-11,0.00019033375707372573
1.4479490723884157e-11,0.10125681075141572,0.0,25.137373347977423,0.030920342305250297,0.3180221807641239,0.3498233816501255,0.20635962732957408,0.09164044773642777,0.0,3.2309329011833926e-18,1.8252029865961699e-06,6.969639028888793e-18,0.0,2.1051683877319237e-28,3.375901334020215e-08,1.1317682276009078e-20,1.6700189638129566e-21,3.4434226542288896e-30,2.0129945387190674e-10,1.2150218687469004e-13,3.9112648618134985e-48,7.241483607372622e-10,5.000005346573234e-32,2.0980306319541318e-19,5.450659473864335e-36,1.7968308962794783e-06,2.0608159995083763e-32,0.0003783551041051637,0.0006808239260987932,0.0012410899309586816,0.0006595852864273922,0.0003305669840472676,0.00032202566517290686,0.00043883493190682377,4.5368848863100874e-05,8.087327543923867e-10,4.839224809720921e-05,6.990302312870017e-05,1.2026856266896514e-05,0.00017350142091749772,0.00010169929446642793,9.718391958735898e-11,0.0001905879814681263
1.4507736977538386e-11,0.10125681075141572,0.0,25.13736502332784,0.030920121170768772,0.3180196579179466,0.34982234877198676,0.20635874609955396,0.09164044885497195,0.0,3.2562169379104963e-18,1.828760421534444e-06,7.011087746273582e-18,0.0,2.1298714082645863e-28,3.399164414758542e-08,1.1405897353319418e-20,1.6765323653067243e-21,3.463598804737934e-30,2.020851467501879e-10,1.2173888545973666e-13,3.94953931862855e-48,7.25654104224646e-10,5.029302002090205e-32,2.1143863932105674e-19,5.514615165519135e-36,1.8002724416827713e-06,2.0769351393309924e-32,0.00037835738951130625,0.0006816558259885669,0.001244203066909017,0.0006606146071311016,0.0003308209864982167,0.0003226528919561846,0.0004397750963373931,4.541671462541708e-05,8.105278139108515e-10,4.858504152251175e-05,6.99827255387047e-05,1.2096885808114362e-05,0.00017400825373125543,0.00010207499744247844,9.803721826728683e-11,0.00019084166765903697
1.4535983231192616e-11,0.10125681075141572,0.0,25.13735669865014,0.03091990034166336,0.3180171356040038,0.3498213167572584,0.20635786568612957,0.09164045001724642,0.0,3.2816486749784173e-18,1.832317845973525e-06,7.05270343593904e-18,0.0,2.1548152934827925e-28,3.422544006925336e-08,1.1494625783906637e-20,1.6830584157365941e-21,3.483853565355351e-30,2.0287236847222595e-10,1.2197558303444787e-13,3.9881127444157373e-48,7.271603175591863e-10,5.058712802722924e-32,2.130837348689699e-19,5.579194391057115e-36,1.8037137398961278e-06,2.0931486258169342e-32,0.0003783596423609817,0.0006824863251716941,0.0012473182358910522,0.0006616430644350531,0.00033107417545785543,0.0003232801156334787,0.0004407152045504413,4.5464590361815705e-05,8.123237076281522e-10,4.8778203464972904e-05,7.006238566113556e-05,1.2167180674059093e-05,0.00017451562180545183,0.00010245126643039496,9.889638726381688e-11,0.0001910948155964459
1.4564229484846847e-11,0.10125681075141572,0.0,25.137348373942174,0.030919679818051958,0.3180146138214575,0.3498202856052165,0.20635698608670716,0.09164045122276539,0.0,3.3072286989967122e-18,1.8358752599221906e-06,7.094486459858777e-18,0.0,2.1800019154661304e-28,3.446040476861927e-08,1.158386954266996e-20,1.6895971149504505e-21,3.5041870885872314e-30,2.0366111903045312e-10,1.2221227959976132e-13,4.0269868863752666e-48,7.28667001212558e-10,5.088237969915306e-32,2.1473838646486771e-19,5.644401996156388e-36,1.8071547909506561e-06,2.1094568261411466e-32,0.0003783618631593182,0.0006833154261057178,0.0012504354353924546,0.0006626706590630087,0.00033132655351749465,0.00032390733620724327,0.00044165525498276374,4.551247609577952e-05,8.141204354729616e-10,4.897173371449349e-05,7.014200400521128e-05,1.2237741302204219e-05,0.00017502352525102668,0.00010282810056675357,9.976145591425376e-11,0.0001913474252329693
1.459247573850108e-11,0.10125681075141572,0.0,25.13734004920179,0.030919459600052844,0.31801209256947116,0.3498192553151379,0.2063561072987013,0.09164045247105151,0.0,3.332957597986528e-18,1.8394326633892099e-06,7.13643718018878e-18,0.0,2.2054331571558704e-28,3.4696541913766814e-08,1.1673630608202666e-20,1.6961484627961892e-21,3.524599526938007e-30,2.0445139841730827e-10,1.224489751566086e-13,4.066163498493674e-48,7.301741556555225e-10,5.117877725108853e-32,2.1640263080296723e-19,5.710242854603965e-36,1.810595594877491e-06,2.1258601081899043e-32,0.0003783640524030384,0.0006841431312440184,0.0012535546629053416,0.0006636973917381406,0.00033157812326016327,0.0003245345536799195,0.0004425952460753631,4.556037184938952e-05,8.159179973739595e-10,4.916563206030738e-05,7.022158107720532e-05,1.2308568129528394e-05,0.00017553196417941414,0.00010320549898770005,1.006324536478154e-10,0.00019159949652385462
1.462072199215531e-11,0.10125681075141572,0.0,25.137331724426843,0.03091923968778465,0.3180095718472097,0.34981822588630007,0.20635522931953476,0.09164045376163732,0.0,3.358835961368941e-18,1.8429900563833446e-06,7.178555959267583e-18,0.0,2.231110912391583e-28,3.493385517744094e-08,1.1763910962791518e-20,1.7027124591217524e-21,3.5450910329103464e-30,2.052432066252356e-10,1.2268566970591605e-13,4.1056443415568093e-48,7.31681781357938e-10,5.147632289742506e-32,2.180765046459771e-19,5.776721868390434e-36,1.8140361517077698e-06,2.1423588405607652e-32,0.0003783662105789961,0.0006849694430358229,0.0012566759159259272,0.000664723263183021,0.0003318288872606575,0.000325161768053938,0.0004435351762734359,4.56082776437102e-05,8.177163932598342e-10,4.9359898290984816e-05,7.030111738045861e-05,1.2379661592514403e-05,0.00017604093870217193,0.00010358346082895751,1.0150940998574681e-10,0.00019185102942697
1.464896824580954e-11,0.10125681075141572,0.0,25.13732339961523,0.030919020081366363,0.31800705165383986,0.3498171973179809,0.20635435214663847,0.09164045509406259,0.0,3.384864379952414e-18,1.84654743891335e-06,7.22084315961646e-18,0.0,2.2570370859481524e-28,3.517234823704272e-08,1.1854712592416054e-20,1.7092891037752074e-21,3.565661759005275e-30,2.0603654364668476e-10,1.2292236324860925e-13,4.145431183163035e-48,7.331898787887735e-10,5.177501885252798e-32,2.197600448250845e-19,5.843843967805802e-36,1.8174764614726097e-06,2.1589533925625995e-32,0.00037836833816677547,0.0006857943639262186,0.0012597991919544706,0.0006657482741196063,0.000332078848085592,0.00032578897933172415,0.000444475044026359,4.565619349890084e-05,8.195156230592839e-10,4.955453219443534e-05,7.038061341538965e-05,1.2451022127148278e-05,0.00017655044893088873,0.0001039619852258328,1.0239235454143192e-10,0.00019210202390279154
1.4677214499463773e-11,0.10125681075141572,0.0,25.137315074764846,0.030918800780917324,0.3180045319885291,0.34981616960945916,0.20635347577745158,0.09164045646787265,0.0,3.4110434459369622e-18,1.850104810987972e-06,7.263299143939597e-18,0.0,2.2832135935785223e-28,3.541202477462715e-08,1.1946037486748015e-20,1.7158783966047512e-21,3.5863118577222605e-30,2.0683140947411126e-10,1.2315905578561396e-13,4.185525797736431e-48,7.346984484161051e-10,5.207486733074021e-32,2.2145328823994397e-19,5.911614111550146e-36,1.8209165242031105e-06,2.1756441342156018e-32,0.0003783704356405123,0.0006866178963561621,0.0012629244884954291,0.0006667724252692348,0.0003323280082934209,0.0003264161875156995,0.0004454148477876806,4.5704119434063396e-05,8.213156867010173e-10,4.9749533557909966e-05,7.046006967950213e-05,1.2522650168918944e-05,0.00017706049497733615,0.00010434107131322075,1.0328131702050818e-10,0.000192352479914398
