Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525),H2X(216),H2NX(201),CH2X(34),CHX(35),CX(33),SX(667),NO2X(206),SX(613),SX(725),CH2OX(511),CHOX(665),NO2X(213),SX(672),H2NO3(231),CH2NX(666),CNO2X(792)
5.776412465806068e-13,0.1547348997255798,0.0,38.42031706513168,0.03106553174430746,0.3191312040033829,0.3502283183481622,0.2069655062904372,0.09189630746126039,0.0,2.618949134170032e-19,8.40491765732324e-06,2.273995348632562e-15,0.0,3.0710742160740425e-25,4.769550390768993e-11,6.074496584893431e-20,3.3326082388726956e-18,6.781689035489741e-26,3.9922734100059966e-10,3.264132954802007e-10,4.0393334200556205e-40,1.8418045618356554e-06,9.322346275595168e-26,2.1190502794622098e-15,6.108633255874056e-31,8.424029395017112e-06,5.069445069176506e-29,0.0001217763201674666,4.056812300407213e-05,4.9470355106416276e-05,3.7009739870537873e-05,3.0802952647170006e-05,1.5190192157687996e-05,2.2018334159062456e-05,1.4000474814001159e-05,0.0002065005959170468,5.379417464712327e-07,4.935471023645606e-06,2.3812895321706256e-08,1.8382058292594488e-06,2.1718625856381784e-06,9.913609045306577e-15,1.1065956796670565e-05,9.641783151552247e-10,3.1288328694079166e-08,4.584621216398462e-07,2.292681880793156e-07,6.3964949043187874e-06,4.7547358940641325e-09,1.2482931368026988e-10,8.666757348937401e-14,1.0534993191006539e-11,5.595491656215043e-09,2.3767103207962423e-12,0.00020465216388563167,2.1138232595898847e-11,9.262790717868634e-17
5.811157246666927e-13,0.1547348997255798,0.0,38.42031500959552,0.031065476653137202,0.319129543450016,0.350226793992785,0.20696523883935392,0.09189571012526818,0.0,2.670526339700286e-19,8.455420498578607e-06,2.315224189505803e-15,0.0,3.164162779993665e-25,4.8304841486138886e-11,6.206826523472535e-20,3.374206537240043e-18,6.904793963914009e-26,4.039697498345216e-10,3.2837643301855455e-10,4.162279470992458e-40,1.852838782485026e-06,9.49157045644299e-26,2.1572126115370242e-15,6.293823368486045e-31,8.474757532148882e-06,5.191751850672746e-29,0.00012237298561108557,4.0761056981702754e-05,4.984516071722674e-05,3.7215054626030135e-05,3.097471195109059e-05,1.5277324139520048e-05,2.2176897199874757e-05,1.4081961117868228e-05,0.00020774169049227363,5.448669801114887e-07,4.956075623732197e-06,2.424979722952105e-08,1.860119155585506e-06,2.1982987746989057e-06,1.0098276466640109e-14,1.112940645137647e-05,9.697128615080885e-10,3.147235245649631e-08,4.617530377624833e-07,2.3434006880260295e-07,6.434862473277912e-06,4.870387182761379e-09,1.3102480942679054e-10,8.778614892925008e-14,1.0756133588338523e-11,5.6628449866229e-09,2.413404746812012e-12,0.00020588214489695726,2.1579392097949138e-11,9.460212007576635e-17
5.845902027527786e-13,0.1547348997255798,0.0,38.42031295512124,0.031065421585629072,0.31912788304648165,0.3502252698455105,0.20696497154205526,0.09189511420454202,0.0,2.7228443953655515e-19,8.505922718802269e-06,2.3569477513266745e-15,0.0,3.2594903526912305e-25,4.891859554691981e-11,6.341271953020549e-20,3.4160792472997233e-18,7.02937964611053e-26,4.087392757755156e-10,3.303395680204978e-10,4.2882010997483584e-40,1.8638724836566357e-06,9.662830127745375e-26,2.1958267348383922e-15,6.483468803200119e-31,8.525486334715643e-06,5.316249253250793e-29,0.00012296823581941396,4.0953469064782003e-05,5.0220803434505486e-05,3.742017342358978e-05,3.114631760424871e-05,1.5364407053786295e-05,2.2335668981659476e-05,1.416342196237217e-05,0.00020898277325912486,5.518395192417025e-07,4.9765954013979035e-06,2.4691933796720556e-08,1.8821596420602315e-06,2.2248949242290024e-06,1.0285297235516287e-14,1.119280568458814e-05,9.75244291254243e-10,3.16562733163792e-08,4.6502131251178997e-07,2.394835946588616e-07,6.473227577128113e-06,4.988065707008804e-09,1.3748655544648104e-10,8.89119331891953e-14,1.0980126575556828e-11,5.730599317605952e-09,2.4502803749233426e-12,0.00020711211415513716,2.2026124356053645e-11,9.660005991035432e-17
5.880646808388645e-13,0.1547348997255798,0.0,38.42031090170633,0.031065366541686772,0.3191262227924117,0.3502237459061513,0.2069647043984039,0.09189451969572525,0.0,2.775910574078902e-19,8.556424318058784e-06,2.3991689697939583e-15,0.0,3.3570969142384272e-25,4.953677897474982e-11,6.477854705418969e-20,3.4582266665159742e-18,7.155454932556062e-26,4.135359035500092e-10,3.323027004874882e-10,4.417151991815653e-40,1.8749056654870873e-06,9.836137455580532e-26,2.2348952219240303e-15,6.677649146181706e-31,8.57621580228529e-06,5.442963005908743e-29,0.00012356207414931995,4.11453606622885e-05,5.059728186363082e-05,3.7625096449382816e-05,3.131776974400947e-05,1.5451440928128744e-05,2.2494648051988146e-05,1.4244857443303348e-05,0.00021022384421896684,5.588593872444057e-07,4.997030709420071e-06,2.51393303385325e-08,1.90432724912545e-06,2.251650994090795e-06,1.0474688379646436e-14,1.1256154328489931e-05,9.807726061496928e-10,3.184009132038731e-08,4.682666438071977e-07,2.4469904012334576e-07,6.511590186747688e-06,5.1077909824062345e-09,1.442241828554343e-10,9.004492635146473e-14,1.1206978632869025e-11,5.7987546146337025e-09,2.4873327425405184e-12,0.00020834207166153243,2.2478437880115883e-11,9.862167686669414e-17
5.915391589249504e-13,0.1547348997255798,0.0,38.4203088493483,0.031065311521214424,0.31912456268743855,0.35022222217451965,0.2069644374082624,0.09189392659546917,0.0,2.829732198376072e-19,8.60692529641268e-06,2.4418907803471384e-15,0.0,3.4570229128297218e-25,5.015940472355637e-11,6.616596716854528e-20,3.500649092352342e-18,7.283028673694181e-26,4.183596178930342e-10,3.3426583042098216e-10,4.549186474494544e-40,1.885938328112787e-06,1.0011504605980301e-25,2.2744206438709853e-15,6.876444916206585e-31,8.62694593442742e-06,5.571918981475334e-29,0.00012415450394970954,4.1336733179403324e-05,5.097459461324622e-05,3.782982388939844e-05,3.148906850761518e-05,1.5538425790173833e-05,2.2653832970707954e-05,1.4326267655851922e-05,0.00021146490337316368,5.659266068317229e-07,5.017381899122685e-06,2.559201189364369e-08,1.9266219373718976e-06,2.2785669433853675e-06,1.0666466976485063e-14,1.131945221661058e-05,9.862978079494523e-10,3.202380651507306e-08,4.7148873810887695e-07,2.4998667114731065e-07,6.5499502728248585e-06,5.229582435468051e-09,1.512476019062666e-10,9.118512849259215e-14,1.1436695897359066e-11,5.867310843178747e-09,2.5245573639917346e-12,0.00020957201741750192,2.2936340437690305e-11,1.0066691639225422e-16
5.950136370110363e-13,0.1547348997255798,0.0,38.42030679804466,0.03106525652411654,0.3191229027311958,0.35022069865042865,0.2069641705714937,0.09189333490043303,0.0,2.8843166406847944e-19,8.657425653928457e-06,2.48511611816648e-15,0.0,3.559309267390744e-25,5.0786485816488935e-11,6.757520027735775e-20,3.543346822271672e-18,7.412109719935312e-26,4.232104035482219e-10,3.3622895782243484e-10,4.684359520705073e-40,1.8969704716699435e-06,1.0188943744930172e-25,2.3144055702764804e-15,7.0799375698706065e-31,8.677676730713293e-06,5.703143196501338e-29,0.0001247455285615456,4.152758801752028e-05,5.135274029525383e-05,3.803435592944911e-05,3.16602140321854e-05,1.5625361667532406e-05,2.281322230993921e-05,1.440765269461257e-05,0.00021270595072307746,5.730412000496627e-07,5.037649320382351e-06,2.6050003218097904e-08,1.949043667538291e-06,2.3056427304590323e-06,1.0860650153495091e-14,1.1382699183816535e-05,9.91819898407544e-10,3.2207418946887166e-08,4.746873104308814e-07,2.553467451448489e-07,6.588307805857824e-06,5.353459397773281e-09,1.585670077794753e-10,9.233253968339216e-14,1.1669284164082524e-11,5.936267968716777e-09,2.561949732422048e-12,0.00021080195142440252,2.3399839056880776e-11,1.0273571925102971e-16
5.984881150971222e-13,0.1547348997255798,0.0,38.420304747792905,0.03106520155029805,0.31912124292331806,0.35021917533369107,0.2069639038879606,0.09189274460728392,0.0,2.939671323593942e-19,8.707925390670583e-06,2.5288479181731106e-15,0.0,3.6639973701847e-25,5.14180353459304e-11,6.900646782609723e-20,3.586320153736095e-18,7.542706921656754e-26,4.280882452677984e-10,3.381920826933e-10,4.8227267527990365e-40,1.908002096294568e-06,1.0368467038369341e-25,2.3548525692587645e-15,7.288209506795583e-31,8.728408190715846e-06,5.836661811151041e-29,0.00012533515131786657,4.171792657425615e-05,5.173171752480787e-05,3.8238692755170776e-05,3.1831206454717147e-05,1.5712248587799733e-05,2.2972814654069443e-05,1.4489012653589205e-05,0.00021394698627006802,5.802031882824055e-07,5.057833321634228e-06,2.651332877914369e-08,1.971592400510402e-06,2.332878312909763e-06,1.105725508841318e-14,1.1445895066305347e-05,9.973388792770007e-10,3.239092866218391e-08,4.778620843506888e-07,2.6077951098332945e-07,6.626662756154829e-06,5.479441100061061e-09,1.661928864270321e-10,9.34871599889631e-14,1.1904748887287378e-11,6.005625956726572e-09,2.5995053216878556e-12,0.000212031873683589,2.3868940029508043e-11,1.048280215791515e-16
6.019625931832081e-13,0.1547348997255798,0.0,38.42030269859055,0.031065146599664254,0.31911958326344086,0.35021765222412005,0.20696363735752618,0.09189215571269695,0.0,2.9958037201224515e-19,8.7584245067035e-06,2.573089115029103e-15,0.0,3.7711290894168067e-25,5.205406647350796e-11,7.04599923007854e-20,3.629569384207014e-18,7.6748291292027e-26,4.329931278125793e-10,3.4015520503503025e-10,4.964344446371903e-40,1.9190332021224756e-06,1.0550086652190727e-25,2.395764207457959e-15,7.5013440748314235e-31,8.779140314009665e-06,5.972501129093786e-29,0.00012592337554380504,4.1907750243460866e-05,5.21115249203082e-05,3.844283455202302e-05,3.200204591208491e-05,1.5799086578555525e-05,2.3132608599743763e-05,1.4570347626199705e-05,0.00021518801001549332,5.874125922565931e-07,5.07793424987795e-06,2.698201274903372e-08,1.9942680973201364e-06,2.3602736475936345e-06,1.125629900951509e-14,1.1509039701599057e-05,1.0028547523098656e-09,3.257433570722645e-08,4.810127920151652e-07,2.662852089774127e-07,6.665015093834227e-06,5.607546666273118e-09,1.7413602046664534e-10,9.464898946869088e-14,1.2143095181758583e-11,6.07538477269001e-09,2.6372195882458836e-12,0.00021326178419641393,2.4343648914542045e-11,1.0694375494274962e-16
6.05437071269294e-13,0.1547348997255798,0.0,38.420300650435074,0.031065091672120876,0.3191179237512008,0.35021612932152907,0.20696337098005368,0.09189156821335506,0.0,3.0527213539880384e-19,8.808923002091612e-06,2.6178426431375506e-15,0.0,3.880746771836769e-25,5.2694592430103386e-11,7.193599722716314e-20,3.673094811145092e-18,7.808485192884266e-26,4.379250359519654e-10,3.4211832484907685e-10,5.10926953407467e-40,1.930063789289284e-06,1.0733814752241006e-25,2.4371430500369035e-15,7.71942557525449e-31,8.829873100170978e-06,6.110687597395605e-29,0.000126510204556607,4.209706041522758e-05,5.249216110339385e-05,3.86467815052892e-05,3.2172732541040816e-05,1.588587566736394e-05,2.329260275585183e-05,1.4651657705280592e-05,0.00021642902196070894,5.946694320456124e-07,5.097952450683522e-06,2.745607899877729e-08,2.017070719144628e-06,2.387828690631232e-06,1.1457799195881063e-14,1.157213292853761e-05,1.008367519257193e-09,3.275764012819215e-08,4.841391741429776e-07,2.718640708866162e-07,6.703364788824537e-06,5.73779510754493e-09,1.8240749512504893e-10,9.581802817625324e-14,1.2384327824284654e-11,6.145544382092055e-09,2.675087973035686e-12,0.00021449168296422806,2.4823970541795232e-11,1.0908284639801907e-16
6.089115493553799e-13,0.1547348997255798,0.0,38.420298603324,0.03106503676757401,0.3191162643862352,0.35021460662573145,0.2069631047554063,0.09189098210594907,0.0,3.110431799875715e-19,8.859420876899302e-06,2.6631114366426527e-15,0.0,3.9928932453392686e-25,5.333962651586318e-11,7.343470716985881e-20,3.716896732010243e-18,7.943683962979516e-26,4.4288395446393745e-10,3.440814421368897e-10,5.25755960942572e-40,1.9410938579304166e-06,1.0919663504320671e-25,2.4789916606820047e-15,7.942539267962155e-31,8.880606548777645e-06,6.251247806410924e-29,0.00012709564166565033,4.228585847590293e-05,5.28736246989366e-05,3.885053380007671e-05,3.234326647821478e-05,1.5972615881773568e-05,2.345279574351127e-05,1.4732942983091744e-05,0.00021767002210706872,6.019737270738768e-07,5.117888268197194e-06,2.7935551091847715e-08,2.040000227305329e-06,2.415543397414049e-06,1.166177297766129e-14,1.1635174587272334e-05,1.0138771818690478e-09,3.294084197117775e-08,4.872409800234867e-07,2.775163199164015e-07,6.741711810864525e-06,5.870205316147345e-09,1.9101870422860277e-10,9.699427615962459e-14,1.2628451255244455e-11,6.216104750420758e-09,2.713105903354653e-12,0.0002157215699883798,2.5309909015872333e-11,1.1124521855343303e-16
6.123860274414658e-13,0.1547348997255798,0.0,38.420296557254815,0.031064981885930164,0.31911460516818263,0.3502130841365409,0.20696283868344756,0.09189039738717764,0.0,3.1689426837060867e-19,8.909918131190914e-06,2.7088984294297946e-15,0.0,4.107611821562503e-25,5.398918210020796e-11,7.495634773155704e-20,3.760975444261614e-18,8.080434289733487e-26,4.4786986813505143e-10,3.460445568999176e-10,5.409272930622621e-40,1.952123408181101e-06,1.1107645074184034e-25,2.521312601604082e-15,8.170771376663623e-31,8.931340659409157e-06,6.394208489674341e-29,0.00012767969017246308,4.2474145808096994e-05,5.32559143350346e-05,3.905409162131702e-05,3.251364786011445e-05,1.6059307249317466e-05,2.3613186196047627e-05,1.4814203551321058e-05,0.00021891101045592412,6.093254961211031e-07,5.137742045147297e-06,2.842045227784627e-08,2.0630565832671236e-06,2.4434177226108644e-06,1.1868237736341373e-14,1.169816451925941e-05,1.0193837418945056e-09,3.312394128220474e-08,4.903179675121454e-07,2.8324217072275185e-07,6.780056129503261e-06,6.004796059380489e-09,1.999813562394149e-10,9.817773346108162e-14,1.2875469580312213e-11,6.287065843167268e-09,2.7512687947245627e-12,0.00021695144527021572,2.580146772037237e-11,1.1343078963404832e-16
