Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202)
3.6826186640810854e-10,0.07659248437779444,0.0,18.95097099035861,0.030437796937917264,0.2965736608491838,0.34014974572535656,0.1991039945791754,0.09153563745170444,0.0,1.4584711675101912e-22,2.66195173829047e-07,3.3997095958010326e-19,0.0,1.987390967981327e-27,0.00011700176442663469,6.405379849550846e-21,1.2061926315072383e-24,3.657484744965797e-35,1.3866844681535187e-10,4.270081833136529e-17,2.683960311503717e-56,9.045359740345572e-12,2.4719902372601024e-38,3.8568426023950182e-19,3.2520264040187496e-37,1.7985107024712687e-07,1.4843778603364768e-35,0.0004826056251389329,0.010212118987079325,0.024743896444128253,0.010334780219009647,0.0009488266409945615,0.00695939882137705,0.007229255397505071,3.880796635160085e-08,2.632293076269064e-10,0.005394646379357921,0.0006373133252671885
3.698400329841123e-10,0.07659248437779444,0.0,18.950718324048854,0.030437693173394644,0.2964965662510286,0.34012731216175507,0.19907494236535705,0.09153564470650805,0.0,1.477169480785182e-22,2.6732220242911037e-07,3.452961111966586e-19,0.0,2.0365394363802636e-27,0.00011870715132686631,6.5070664030154596e-21,1.2166602757020777e-24,3.7042896038965615e-35,1.3985098583363053e-10,4.288063441773246e-17,2.74153177945376e-56,9.105984233038476e-12,2.503624321054915e-38,3.9180603151925093e-19,3.3323988601303057e-37,1.8033168946883376e-07,1.5098208673847658e-35,0.0004825992169618596,0.010232416073107606,0.024867886352313743,0.010357212655582405,0.0009486752911556643,0.006988602383851753,0.007244652456001128,3.860774918809606e-08,2.6515372755529456e-10,0.005436046831064354,0.0006374170897898054
3.7141819956011604e-10,0.07659248437779444,0.0,18.950465938322786,0.030437591668091256,0.2964196073418722,0.3401049968596748,0.19904589520223176,0.09153565195358757,0.0,1.4960261191947365e-22,2.684491568930053e-07,3.5067949451440593e-19,0.0,2.086677130386733e-27,0.0001204293310497074,6.609891782070573e-21,1.2271770845339982e-24,3.751488628614205e-35,1.4103847629098912e-10,4.3060424266582946e-17,2.8000833900901357e-56,9.166682658653899e-12,2.535524810589833e-38,3.979963413417713e-19,3.414387141421406e-37,1.808105217432266e-07,1.5355881978739272e-35,0.00048259281587144734,0.01025264519703635,0.02499185692775182,0.010379526830708238,0.0009485239818185861,0.0070178008551266165,0.0072598947172437004,3.840988229890365e-08,2.6708276693061353e-10,0.005477534353120395,0.0006375185950931951
3.729963661361198e-10,0.07659248437779444,0.0,18.95021383353913,0.030437492376307024,0.2963427838155144,0.34008279919963846,0.19901685308810382,0.09153565919297017,0.0,1.5150417397601674e-22,2.6957603761155745e-07,3.561214520881442e-19,0.0,2.1378193782226627e-27,0.00012216837982731907,6.713863214998448e-21,1.2377431607703605e-24,3.7990834140223294e-35,1.4223091732428046e-10,4.32401878824776e-17,2.8596275146589907e-56,9.227453898393459e-12,2.5676927838202634e-38,4.042556243787844e-19,3.498016227856217e-37,1.8128757390066182e-07,1.5616825675642245e-35,0.00048258642187735354,0.010272806960247143,0.025115806838657037,0.01040172336386396,0.0009483727130583356,0.0070469942368224115,0.007274982771775293,3.8214322329950346e-08,2.6901640494988007e-10,0.00551910805980231,0.0006376178868774289
3.7457453271212355e-10,0.07659248437779444,0.0,18.949962010048313,0.03043739525326229,0.2962660953667819,0.34006071856540704,0.19898781602128107,0.09153566642468228,0.0,1.5342169994267544e-22,2.707028449735447e-07,3.616223263339116e-19,0.0,2.189981673369353e-27,0.0001239243736149715,6.818987936441727e-21,1.2483586082765353e-24,3.8470755543112725e-35,1.4342830807063228e-10,4.3419925269975756e-17,2.9201766261644574e-56,9.288296840231626e-12,2.6001293182195917e-38,4.1058431568009067e-19,3.58331136724985e-37,1.8176285274461494e-07,1.5881067030601223e-35,0.00048258003498901774,0.010292901953557103,0.025239734766772305,0.01042380287128802,0.0009482214849453926,0.007076182530560693,0.0072899172162396225,3.8021027077779587e-08,2.709546209026186e-10,0.005560767068822102,0.0006377150099221611
3.761526992881273e-10,0.07659248437779444,0.0,18.949710468192404,0.03043730025507928,0.29618954169150313,0.34003875434396325,0.1989587840000751,0.09153567364874936,0.0,1.5535525550643828e-22,2.7182957936570825e-07,3.6718245952206874e-19,0.0,2.243179675534376e-27,0.00012569738808939303,6.925273187299287e-21,1.2590235320193294e-24,3.8954666429583683e-35,1.4463064766744737e-10,4.3599636433635226e-17,2.9817432997539066e-56,9.34921037891846e-12,2.632835490779364e-38,4.1698285066729187e-19,3.670298076805926e-37,1.8223636505178992e-07,1.6148633418044488e-35,0.0004825736552156618,0.010312930757358035,0.02536363940729408,0.010445765965997411,0.0009480702975459668,0.007105365737963773,0.007304698653235057,3.782995545040958e-08,2.728973941704334e-10,0.005602510501361738,0.0006378100081051699
3.7773086586413105e-10,0.07659248437779444,0.0,18.949459208305168,0.030437207338763934,0.29611312248648025,0.3400169059254943,0.19892975702280064,0.09153568086519602,0.0,1.5730490634681814e-22,2.729562411727642e-07,3.7280219377047034e-19,0.0,2.2974292116186186e-27,0.00012748749864715888,7.032726214622953e-21,1.269738038070383e-24,3.9442582727282225e-35,1.458379352524037e-10,4.377932137801227e-17,3.044340213102824e-56,9.410193415981727e-12,2.665812378009467e-38,4.2345166512756475e-19,3.7590021446538977e-37,1.827081175722278e-07,1.6419552320725728e-35,0.00048256728256629126,0.010332893941754616,0.02548751946879687,0.010467613257804513,0.0009479191509222394,0.007134543860654695,0.007319327691169276,3.764106742960152e-08,2.7484470422658284e-10,0.005644337482106532,0.000637902924420523
3.793090324401348e-10,0.07659248437779444,0.0,18.949208230712085,0.030437116462188083,0.2960368374494644,0.3399951727033754,0.19890073508777553,0.09153568807404616,0.0,1.592707181359155e-22,2.740828307774125e-07,3.7848187103772215e-19,0.0,2.352746276683458e-27,0.00012929478040311915,7.14135427151504e-21,1.2805022336095347e-24,3.993452035672983e-35,1.4705016996345434e-10,4.395898010766167e-17,3.107980146799315e-56,9.471244859728345e-12,2.6990610559383127e-38,4.299911952074843e-19,3.8494496313861415e-37,1.8317811702941526e-07,1.6693851329665704e-35,0.0004825609170496944,0.010352792066701647,0.02561137367315739,0.010489345353333786,0.0009477680451325894,0.007163716900257217,0.007333804944115165,3.7454324034500595e-08,2.7679653063555555e-10,0.0056862471392776955,0.000637993800996375
3.8088719901613856e-10,0.07659248437779444,0.0,18.948957535730344,0.03043702758407205,0.29596068627913025,0.3399735540741529,0.19887171819332056,0.09153569527532288,0.0,1.6125275653848089e-22,2.752093485603489e-07,3.842218331165248e-19,0.0,2.4091470349180504e-27,0.0001311193081888662,7.251164617026723e-21,1.2913162269281593e-24,4.0430495231326053e-35,1.4826735093882795e-10,4.4138612627136636e-17,3.172675984728226e-56,9.532363625245257e-12,2.7325826001130214e-38,4.36601877406898e-19,3.941666871594764e-37,1.8364637012039218e-07,1.6971558144094066e-35,0.0004825545586744444,0.01037262568214029,0.025735200755478117,0.010510962856038433,0.0009476169802318055,0.007192884858395777,0.007348131031667969,3.72696872866126e-08,2.7875285305264886e-10,0.005728238604664064,0.0006380826791124044
3.824653655921423e-10,0.07659248437779444,0.0,18.948707123668864,0.030436940663967554,0.2958846686750517,0.33995204943752805,0.19884270633775925,0.09153570246904844,0.0,1.632510872119774e-22,2.7633579490027467e-07,3.9002242162710234e-19,0.0,2.466647820606729e-27,0.0001329611565512406,7.362164516057253e-21,1.302180127432474e-24,4.093052325735125e-35,1.4948947731702852e-10,4.431821894098892e-17,3.2384407144548975e-56,9.593548634399652e-12,2.7663780855996e-38,4.432841485728491e-19,4.0356804754081224e-37,1.841128835158594e-07,1.725270057139109e-35,0.0004825482074488986,0.010392395328133368,0.02585899946401046,0.01053246636621696,0.0009474659562712852,0.007222047736695481,0.007362306578803672,3.708712017607837e-08,2.807136512235485e-10,0.005770311013653,0.0006381695992169013
