Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27)
4.15046435751689e-10,0.07540679193649383,0.0,18.646293269059782,0.030366517211815103,0.294010461299554,0.33881229935812524,0.19824642106274334,0.09184289171755482,0.0,1.2927009934476483e-18,2.1154985034439952e-07,2.2404671711785458e-19,0.0,1.2786678132080819e-27,0.00015853401255596673,4.173506984854301e-21,6.270173471670022e-25,1.2583534857434112e-35,1.1277620686991272e-10,2.297365835869961e-17,4.822006740314729e-57,6.575072478691599e-12,7.143228665293401e-39,2.7136325842620807e-19,1.4752285899437279e-37,1.3707215091332414e-07,6.391870540969027e-36,0.0004949308755150628,0.011731148081075225,0.028441525685278007,0.01167228123156366,0.001005520583937128,0.0077602784207579534,0.007718259977399087,3.076123742683e-05,2.2589839546706076e-10,0.0038994411454728937,0.0007085930513692874,0.002050371146955513,0.0017000573348642557
4.175694455630195e-10,0.07540679193649383,0.0,18.64586058850806,0.03036636073462979,0.2938906700395854,0.33877587183299807,0.19820061095331082,0.09185024653989204,0.0,1.3407187389066967e-18,2.1281819986441293e-07,2.2903739875638043e-19,0.0,1.3234757367612062e-27,0.00016186216164186748,4.2668984683586014e-21,6.348319756881593e-25,1.281212674812922e-35,1.1414041430737707e-10,2.3110606322782442e-17,4.969121536874128e-57,6.6376294539337195e-12,7.272992251373721e-39,2.774344909565245e-19,1.5268900514011424e-37,1.3756145848332535e-07,6.547576019784881e-36,0.0004949721279318952,0.011765971424182274,0.02864703671704284,0.011708707488341286,0.0010052645261553255,0.007806344586608103,0.007739389087097488,3.101489081708901e-05,2.2820248933989204e-10,0.003930940486775524,0.000708749528554593,0.0020827106105119576,0.0017247478493183114
4.2009245537435e-10,0.07540679193649383,0.0,18.6454284565803,0.030366209197105247,0.2937712061391151,0.33873971123744545,0.19815481365155274,0.0918577158760703,0.0,1.3901342464849842e-18,2.140864135103017e-07,2.3410547934418596e-19,0.0,1.3695566262648573e-27,0.00016523748277847292,4.361752520193762e-21,6.427018045170422e-25,1.3043443602350658e-35,1.1551269478552987e-10,2.3247522642096548e-17,5.119790650190286e-57,6.700288383959541e-12,7.404302704945135e-39,2.8360076984143507e-19,1.5800173662015934e-37,1.3804789211452645e-07,6.70609568708124e-36,0.000495014105720751,0.011800641735760344,0.028852466603771918,0.011744866815680191,0.0010050085700104602,0.007852397843138754,0.0077601722767617195,3.126829270372424e-05,2.3051382236452912e-10,0.003962352351670275,0.0007089010660791332,0.0021153091425337948,0.001749582447266418
4.2261546518568054e-10,0.07540679193649383,0.0,18.644996878075577,0.030366062457326266,0.2936520685552812,0.33870381563128016,0.19810902915118467,0.09186530052116149,0.0,1.440975807029563e-18,2.153544922777388e-07,2.3925159780547213e-19,0.0,1.4169381706844964e-27,0.00016866027304922491,4.458081855032068e-21,6.506270756665625e-25,1.3277500930483254e-35,1.1689304604223197e-10,2.3384407325488008e-17,5.274077573637066e-57,6.763046649571863e-12,7.537168830755674e-39,2.8986292059499265e-19,1.6346423383090471e-37,1.385314691950741e-07,6.86746285050329e-36,0.0004950568124459498,0.011835160678521674,0.029057808952571255,0.011780761153766774,0.0010047527158232776,0.007898438196313605,0.007780611780728019,3.1521434110399895e-05,2.3283234246203867e-10,0.003993674628312594,0.0007090478058581204,0.002148166000679242,0.0017745595966904976
4.2513847499701106e-10,0.07540679193649383,0.0,18.644565857760124,0.03036592037743283,0.2935332562472201,0.3386681830883651,0.19806325744591072,0.09187300126437595,0.0,1.4932719700391456e-18,2.1662243715515993e-07,2.444763923533199e-19,0.0,1.4656484740255674e-27,0.00017213082725721837,4.555899197588105e-21,6.586080346497389e-25,1.3514314231900932e-35,1.1828146581639153e-10,2.3521260381798573e-17,5.432046536709232e-57,6.825901647342287e-12,7.671599427303562e-39,2.9622176936985493e-19,1.6907972454855002e-37,1.390122070049353e-07,7.031711004263852e-36,0.0004951002516326934,0.011869529866705437,0.029263057434830923,0.011816392428737025,0.0010044969639034693,0.007944465652119002,0.007800709861006872,3.1774306224779405e-05,2.351579979211209e-10,0.004024905240869769,0.000709189885751553,0.0021812804253949452,0.0017996777540976916
4.276614848083416e-10,0.07540679193649383,0.0,18.644135400366746,0.030365782823504175,0.2934147681759216,0.3386328116965118,0.1980174985294224,0.09188081888900569,0.0,1.5470515399029543e-18,2.1789024912381618e-07,2.4978050045521713e-19,0.0,1.515716058619649e-27,0.00017564943789903612,4.655217282264036e-21,6.666449304924874e-25,1.3753898994973325e-35,1.196779518479678e-10,2.3658081819865617e-17,5.593762508902448e-57,6.888850789706282e-12,7.807603286840995e-39,3.0267814293419953e-19,1.7485148429590102e-37,1.394901227165874e-07,7.198873828982766e-36,0.0004951444267669923,0.01190375086704119,0.029468205786096102,0.011851762552778294,0.0010042413145504982,0.00799048021656378,0.007820468806242509,3.2026900395684194e-05,2.374907373954162e-10,0.004056042149444247,0.0007093274396802056,0.0022146516402147703,0.0018249353648787982
4.301844946196721e-10,0.07540679193649383,0.0,18.643705510594252,0.030365649665446078,0.29329660330408985,0.3385976995573797,0.19797175239539877,0.09188875417236941,0.0,1.6023435720433576e-18,2.191579291578258e-07,2.5516455879902446e-19,0.0,1.5671698684095265e-27,0.0001792163951391826,4.756048852799631e-21,6.74738015746111e-25,1.3996270697072502e-35,1.2108250187797527e-10,2.379487164852217e-17,5.759291203587254e-57,6.951891505054822e-12,7.945189195377915e-39,3.092328686489453e-19,1.807828367088722e-37,1.399652333957028e-07,7.368985191526409e-36,0.0004951893412956023,0.011937825199704192,0.0296732478059271,0.011886873424230315,0.0010039857680543436,0.00803648189567908,0.007839890930683541,3.2279208130283726e-05,2.3983050990083034e-10,0.004087083349989075,0.0007094605977383013,0.0022482788520578815,0.0018503308636643545
4.327075044310026e-10,0.07540679193649383,0.0,18.64327619310688,0.030365520776881413,0.29317876059600884,0.33856284478637555,0.1979260190375052,0.09189680788575867,0.0,1.659177368963929e-18,2.2042547822422596e-07,2.606292032593787e-19,0.0,1.6200392722331055e-27,0.0001828319867851167,4.858406661926976e-21,6.828875464994879e-25,1.4241444804579568e-35,1.224951136484874e-10,2.393162987659687e-17,5.928699081876947e-57,7.015021237822545e-12,8.084365932685821e-39,3.1588677444528188e-19,1.8687715390267904e-37,1.4043755600182952e-07,7.542079144847331e-36,0.0004952349986259607,0.011971754339262348,0.029878177357748344,0.011921726927685509,0.0010037303246961768,0.008082470695518196,0.007858978573164888,3.2531221091317465e-05,2.4217726481287986e-10,0.004118026874215644,0.0007095894863029585,0.002282161251526048,0.0018758626746783157
4.3523051424233314e-10,0.07540679193649383,0.0,18.642847452533854,0.03036539603504387,0.2930612390174141,0.3385282455125534,0.19788029844939348,0.09190498079438622,0.0,1.7175824762046218e-18,2.2169289728302404e-07,2.6617506886453293e-19,0.0,1.674354067106097e-27,0.00018649649826287944,4.962303471029837e-21,6.910937823909586e-25,1.4489436772891344e-35,1.239157849026407e-10,2.406835651291398e-17,6.102053356489477e-57,7.078237448572474e-12,8.22514227230151e-39,3.2264068880249987e-19,1.9313785683771085e-37,1.4090710738906727e-07,7.718189927824039e-36,0.0004952814021261275,0.012005539715614754,0.03008298836868697,0.011956324934088535,0.0010034749847489682,0.008128446622156412,0.007877734096101157,3.278293109434899e-05,2.4453095186405593e-10,0.004148870789493879,0.0007097142281405074,0.002316298013200113,0.0019015292120892978
4.3775352405366366e-10,0.07540679193649383,0.0,18.642419293468798,0.030365275320674616,0.29294403753536974,0.33849389987851675,0.1978345906247013,0.0919132736573354,0.0,1.777588678205803e-18,2.2296018728724848e-07,2.7180278976363534e-19,0.0,1.7301444815033906e-27,0.00019021021259331538,5.067752049807617e-21,6.993569866199114e-25,1.474026204642702e-35,1.2534451338463823e-10,2.4205051566293358e-17,6.279421995603261e-57,7.141537614077297e-12,8.367526981530882e-39,3.2949544072612224e-19,1.995684156850751e-37,1.4137390430673917e-07,7.897351965100901e-36,0.0004953285551247318,0.012039182714921607,0.03028767482940105,0.011990669300835132,0.0010032197484780418,0.008174409681690807,0.00789615988449157,3.3034330105052914e-05,2.468915211412062e-10,0.0041796131987450165,0.0007098349425097598,0.00235068829593556,0.0019273288803593395
4.402765338649942e-10,0.07540679193649383,0.0,18.641991720469303,0.03036515851792205,0.2928271551181497,0.3384598060403199,0.19778889555705167,0.09192168722751128,0.0,1.8392259940829533e-18,2.242273491829995e-07,2.7751299919444164e-19,0.0,1.787441178639053e-27,0.00019397341036888406,5.1747651759438566e-21,7.076774259580627e-25,1.4993936058634765e-35,1.2678129683975368e-10,2.434171504555047e-17,6.460873726707019e-57,7.2049192273972004e-12,8.511528821452691e-39,3.3645185972632986e-19,2.0617235019180415e-37,1.4183796340005898e-07,8.079599866928205e-36,0.0004953764609109175,0.012072684680525438,0.030492230793898022,0.012024761871870213,0.0010029646161415716,0.008220359880240094,0.007914258344936628,3.328541023653485e-05,2.492589230829368e-10,0.0042102522403271656,0.0007099517452623268,0.0023853312431571247,0.0019532600745901527
4.427995436763247e-10,0.07540679193649383,0.0,18.64156473805645,0.030365045514244314,0.2927105907351256,0.33842596216737003,0.19774321324005303,0.09193022225159328,0.0,1.9025246733138264e-18,2.2549438390949883e-07,2.833063294514644e-19,0.0,1.846275259744873e-27,0.00019778636973105925,5.2833556347792196e-21,7.16055370760438e-25,1.5250474231998376e-35,1.282261330143352e-10,2.4478346959496362e-17,6.646478040443551e-57,7.268379797954299e-12,8.657156546922332e-39,3.4351077579668095e-19,2.1295323004571535e-37,1.422993012107938e-07,8.264968429002301e-36,0.0004954251227342961,0.012106046913863494,0.03069665037934346,0.012058604477785305,0.0010027095879910329,0.008266297223944438,0.007932031904666584,3.353616374668482e-05,2.516331084770311e-10,0.004240786087913792,0.000710064748940064,0.0024202259831523874,0.00197932118086682
4.453225534876552e-10,0.07540679193649383,0.0,18.6411383507144,0.030364936200314642,0.2925943433566584,0.33839236644233167,0.19769754366729875,0.0919388794699891,0.0,1.96751519133992e-18,2.2676129239914016e-07,2.891834118545554e-19,0.0,1.9066782673473845e-27,0.00020164936634831272,5.393536218988931e-21,7.244910949760456e-25,1.5509891978043922e-35,1.2967901965580882e-10,2.4614947316937654e-17,6.836305194447524e-57,7.331916851603648e-12,8.804418906575582e-39,3.5067301939311987e-19,2.1991467523991655e-37,1.4275793417792286e-07,8.453492632305938e-36,0.0004954745438049016,0.01213927067537117,0.030900927765860578,0.012092198935915188,0.0010024546642716109,0.00831222171896528,0.007949483010581855,3.378658303556432e-05,2.5401402845788827e-10,0.0042712129503652595,0.0007101740628697311,0.002455371629364282,0.00200551057659891
4.4784556329898574e-10,0.07540679193649383,0.0,18.64071256288993,0.030364830469929435,0.29247841195399543,0.3383590170610298,0.19765188683236698,0.09194765961679045,0.0,2.0342282450841097e-18,2.280280755775381e-07,2.9514487671792217e-19,0.0,1.9686821885433034e-27,0.00020556267339467952,5.505319728264614e-21,7.329848761582483e-25,1.577220469734635e-35,1.3113995451268242e-10,2.475151612667653e-17,7.030426217177249e-57,7.395527930700872e-12,8.953324642832392e-39,3.5793942141327204e-19,2.2706035643694824e-37,1.432138786382915e-07,8.64520764294868e-36,0.0004955247272931481,0.012172357185376386,0.03110505719632081,0.012125547050433918,0.0010021998452225656,0.008358133371485133,0.007966614128305481,3.4036660642827144e-05,2.5640163450397934e-10,0.004301531071593628,0.0007102797932549385,0.002490767280682485,0.0020318266308589727
4.5036857311031626e-10,0.07540679193649383,0.0,18.64028737899209,0.030364728219918907,0.2923627954991721,0.33832591223235486,0.19760624272882074,0.09195656341972978,0.0,2.102694748386357e-18,2.2929473436357733e-07,3.0119135331957556e-19,0.0,2.032319458273308e-27,0.00020952656152890175,5.618718969000467e-21,7.415369954748311e-25,1.60374277795361e-35,1.3260893533454938e-10,2.488805339751075e-17,7.228912911740454e-57,7.459210594166408e-12,9.103882491900622e-39,3.653108131760223e-19,2.343939953325539e-37,1.4366715082726124e-07,8.84014881200748e-36,0.0004955756763297917,0.012205307624984804,0.0313090329761256,0.012158650612450105,0.0010019451310775678,0.00840403218770742,0.00798342774124778,3.428638924517446e-05,2.5879587843532193e-10,0.004331738730420836,0.0007103820432654665,0.0025264120217336106,0.0020582677047183916
4.528915829216468e-10,0.07540679193649383,0.0,18.639862803391793,0.03036462935006035,0.2922474929649188,0.3382930501781681,0.19756061135020742,0.09196559160013866,0.0,2.1729458273594064e-18,2.305612696694617e-07,3.073234698712087e-19,0.0,2.0976229625940923e-27,0.00021354129887414696,5.733746753983742e-21,7.501477377177629e-25,1.6305576603305756e-35,1.3408595987209207e-10,2.502455913823358e-17,7.431837859714065e-57,7.522962417546415e-12,9.256101183779822e-39,3.727880264013736e-19,2.4191936501907058e-37,1.4411776687935553e-07,9.038351675367379e-36,0.000495627394005894,0.012238123136955764,0.03151284947297996,0.012191511400101494,0.001001690522064996,0.00844991817385627,0.007999926349683202,3.453576165384418e-05,2.611967124109722e-10,0.004361834240430434,0.0007104809131240247,0.002562304923170161,0.002084832151580539
