Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525),H2X(216)
6.145471180444738e-09,0.06662394546715897,0.0,16.098772950321287,0.029332028738415845,0.15940659675685762,0.30160885605300025,0.12296647946153105,0.20003128346660393,0.0,1.0393268600164e-17,1.3898017774394507e-07,4.666649690062079e-19,0.0,9.873368878314285e-26,0.021148473803946955,1.3035656618196836e-20,5.10993501212084e-25,1.3030461196476376e-37,4.65555255032728e-10,4.78046588194073e-19,4.9683550452158746e-60,8.920004986387055e-13,1.7948055260307235e-41,1.625534321612049e-18,4.894187322570077e-37,1.0647176641820512e-08,2.7801795120678875e-36,0.001280805432054269,0.036528433006285416,0.13124995050753158,0.04887579710636246,0.0010655563542484195,0.08298018389888034,0.005626872445168032,2.860091494377316e-05,2.74605054571609e-10,0.006105513989128915,0.0017430815247686264,0.09647203932991329,0.0024198994644157664,0.01527022607439734,0.014305749126195972
6.166799851661464e-09,0.06662394546715897,0.0,16.098115054313087,0.029332097807469912,0.15914429528347995,0.3016072366180425,0.12275258596954514,0.20037739952805642,0.0,1.0393909842405043e-17,1.394495921524398e-07,4.707875406116845e-19,0.0,1.0040826743817218e-25,0.021237704922540197,1.3166099492383751e-20,5.164421919592338e-25,1.3150679775158164e-37,4.685136750741616e-10,4.793186363619644e-19,5.046657870544299e-60,8.936298606336199e-13,1.8113647199734946e-41,1.6417582734251916e-18,4.974377733838712e-37,1.06474608522325e-08,2.8157814912734677e-36,0.0012829493821193468,0.03647604024287429,0.13135832310893944,0.04887741607190587,0.0010636587295376314,0.08319597501261863,0.005615630263885804,2.851908108308255e-05,2.753723392923498e-10,0.006093261653243914,0.0017430124557145594,0.09675830089040524,0.0024099105090778284,0.01532215326709409,0.014385454513995682
6.18812852287819e-09,0.06662394546715897,0.0,16.097458746370677,0.029332166705125357,0.15888259314285344,0.30160568091878115,0.12253908642417825,0.20072275032275716,0.0,1.0394474968512128e-17,1.3991900409025847e-07,4.749315556058516e-19,0.0,1.0210523222345262e-25,0.021326860200464953,1.329737780228624e-20,5.219268559547183e-25,1.3271537580788144e-37,4.714797714524255e-10,4.805884719392386e-19,5.125891542290156e-60,8.952553980349855e-13,1.8280119683341447e-41,1.658085563326611e-18,5.055582097560358e-37,1.0647748153875456e-08,2.851704408731213e-36,0.001285088519766533,0.036423672609595475,0.13146608955013048,0.04887897130175528,0.0010617647787514897,0.08341136850580556,0.005604422620060672,2.8437697137220532e-05,2.7613838243780323e-10,0.0060810405332890425,0.001742943558059112,0.0970439457599272,0.002400000966719692,0.015374006934491442,0.014465159789417292
6.209457194094915e-09,0.06662394546715897,0.0,16.09680401884243,0.02933223543225377,0.15862148736398457,0.30160418765905245,0.12232598003047135,0.20106733875447125,0.0,1.0394964956707393e-17,1.403884136555857e-07,4.790970468750418e-19,0.0,1.0382480240207572e-25,0.02141593898320233,1.3429493830946768e-20,5.274475625743712e-25,1.3393035192087602e-37,4.744535300242196e-10,4.818560990005248e-19,5.206063366977788e-60,8.96877126091712e-13,1.8447473508995056e-41,1.674516467932574e-18,5.137809384714378e-37,1.0648038473614045e-08,2.8879498847760484e-36,0.0012872228626904455,0.03637133117691053,0.13157325455790844,0.04888046409207442,0.0010598744935014857,0.08362636518178872,0.005593249364015055,2.8356759233069112e-05,2.7690318703968565e-10,0.0060688506996901806,0.001742874830930707,0.09732897601630844,0.0023901698995385354,0.015425786978543706,0.014544863740013987
6.230785865311641e-09,0.06662394546715897,0.0,16.09615086414759,0.029332303989718242,0.1583609750083644,0.3016027555678375,0.12211326599543965,0.20141116771086698,0.0,1.0395380769887173e-17,1.4085782094460832e-07,4.832840472008056e-19,0.0,1.0556719859656556e-25,0.021504940624910433,1.356244985769701e-20,5.3300438064323785e-25,1.3515173181009955e-37,4.774349366748124e-10,4.831215216122326e-19,5.287180675665358e-60,8.984950599795161e-13,1.86157094652439e-41,1.6910512633662072e-18,5.221068609905768e-37,1.064833173966625e-08,2.9245195404778975e-36,0.0012893524284982446,0.0363190169919807,0.13167982282392465,0.04888189571388206,0.0010579878654278538,0.08384096584191263,0.005582110345937408,2.827626353356042e-05,2.7766675610943367e-10,0.006056692216753364,0.0017428062734662294,0.09761339372895388,0.002380416382949358,0.01547749330669909,0.014624565164073277
6.252114536528367e-09,0.06662394546715897,0.0,16.095499274775317,0.029332372378373554,0.15810105316945938,0.30160138339877823,0.12190094352806498,0.20175424006354103,0.0,1.0395723355908753e-17,1.4132722605155424e-07,4.874925892604782e-19,0.0,1.0733264279219954e-25,0.021593864488359947,1.3696248158162788e-20,5.385973784372022e-25,1.3637952112773544e-37,4.804239773179682e-10,4.843847438325709e-19,5.369250823857985e-60,9.001092148010872e-13,1.8784828331361118e-41,1.707690225258168e-18,5.30536883136957e-37,1.0648627881580976e-08,2.961414997623421e-36,0.0012914772347095804,0.03626673107914214,0.1317857990048243,0.048883267413536165,0.0010561048861993739,0.08405517128552675,0.005571005415919753,2.8196206237481393e-05,2.784290926384936e-10,0.006044565142835036,0.0017427378848109106,0.09789720095877497,0.0023707395053863206,0.01552912583179526,0.01470426287056822
6.273443207745092e-09,0.06662394546715897,0.0,16.094849243283843,0.029332440599066253,0.15784171897221014,0.3016000699297027,0.12168901183928812,0.20209655866804727,0.0,1.039599364787114e-17,1.4179662906873052e-07,4.917227056277454e-19,0.0,1.0912135834032066e-25,0.021682709944869354,1.3830891004269086e-20,5.442266236846313e-25,1.3761372545894328e-37,4.834206378958788e-10,4.856457697115699e-19,5.452281191420596e-60,9.017196055862466e-13,1.8954830877389844e-41,1.724433628747321e-18,5.390719150974726e-37,1.0648926830215946e-08,2.9986378786978505e-36,0.0012935972987565259,0.036214474440371354,0.13189118772239403,0.048884580413208784,0.0010542255475131795,0.08426898230999315,0.005559934423993848,2.811658357926468e-05,2.79190199598605e-10,0.006032469530508474,0.0017426696641182173,0.09818039975812519,0.002361138368106796,0.015580684471956407,0.014783955679108481
6.294771878961818e-09,0.06662394546715897,0.0,16.094200762299614,0.029332508652634724,0.15758296957254062,0.3015988139621587,0.12147747014200116,0.2024381263639288,0.0,1.0396192564389852e-17,1.4226603008656043e-07,4.959744287732018e-19,0.0,1.1093356996164292e-25,0.021771476374239793,1.3966380664245157e-20,5.498921835680296e-25,1.3885435032218413e-37,4.864249043790905e-10,4.869046032911009e-19,5.536279182490613e-60,9.033262472921049e-13,1.9125717864188034e-41,1.741281748481428e-18,5.477128714227401e-37,1.0649228517715871e-08,3.036189806866935e-36,0.0012957126379835805,0.03616224805574058,0.1319959935637119,0.04888583591135179,0.0010523498410945605,0.08448239971069446,0.00554889722016612,2.803739182875476e-05,2.799500799420797e-10,0.006020405426726485,0.0017426016105497404,0.09846299217074005,0.0023516120849981915,0.015632169150491662,0.01486364241989124
6.3161005501785435e-09,0.06662394546715897,0.0,16.093553824516366,0.029332576539909384,0.15732480215687547,0.30159761432095766,0.12126631765103993,0.20277894597475227,0.0,1.039632100986603e-17,1.4273542919362028e-07,5.002477910649077e-19,0.0,1.1276950374954788e-25,0.021860163164689733,1.4102719402629665e-20,5.5559412472571015e-25,1.4010140116954463e-37,4.894367627664352e-10,4.881612486048963e-19,5.621252225390383e-60,9.049291548032161e-13,1.9297490043473042e-41,1.7582348586178428e-18,5.56460671027377e-37,1.0649532877490885e-08,3.0740724059589843e-36,0.0012978232696476868,0.036110052883863625,0.13210022108129874,0.04888703508315364,0.001050477758696775,0.08469542428104161,0.005537893654451317,2.79586272909948e-05,2.807087366020757e-10,0.0060083728729804125,0.0017425337232750892,0.09874498023168103,0.0023421597823874638,0.01568357979579501,0.014943321933651861
6.337429221395269e-09,0.06662394546715897,0.0,16.092908422694354,0.029332644261712688,0.1570672139416665,0.3015964698537265,0.12105555358317657,0.20311902030814533,0.0,1.0396379874749815e-17,1.432048264766752e-07,5.045428247689389e-19,0.0,1.1462938717337432e-25,0.02194876971278926,1.423990948027591e-20,5.613325132534771e-25,1.4135488338705963e-37,4.924561990849598e-10,4.894157096785693e-19,5.707207772539418e-60,9.065283429317296e-13,1.947014815786608e-41,1.7752932328242135e-18,5.65316237190227e-37,1.0649839844195292e-08,3.112287300447021e-36,0.0012999292109182265,0.036057889862332174,0.1322038747932721,0.04888817908098745,0.0010486092921008616,0.08490805681248147,0.005526923576904992,2.7880286306008453e-05,2.814661724928665e-10,0.005996371905455576,0.0017424660014717826,0.09902636596728366,0.002332780598853304,0.015734916341246553,0.015022993071614426
