Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88)
1.3877403414877972e-12,0.054791484931128634,0.0,13.604269541693192,0.031075110263184432,0.31931463079366224,0.35042758305719657,0.2069422921844977,0.09183000661504444,0.0,3.0820985283695517e-40,1.0739778516433587e-13,4.157950540890842e-38,0.0,1.4606462943457183e-54,2.059246747827285e-13,3.2523154514605203e-40,1.83890678506044e-39,1.4275096238439184e-58,2.4820297886003445e-20,8.95550096207405e-28,2.4791072395288044e-94,5.8362270288641e-22,1.7324184808261014e-63,1.4005188848586263e-37,2.22841321345287e-68,1.0725401429724055e-13,7.079941896207267e-60,0.0001881888229447754,7.200546676218264e-05,4.578961974523097e-05,5.7209082235683236e-05,4.718409420793817e-05,2.2743901509379428e-05,2.3045615930882785e-05,1.027169613636043e-10,4.682272401117239e-19
1.4365381471968032e-12,0.054791484931128634,0.0,13.604254267455012,0.031075110263184432,0.3193112891457285,0.35042557169317495,0.20693984101002874,0.091824146461396,0.0,3.4187827013256575e-40,1.1117394798280609e-13,4.743402304844021e-38,0.0,1.7971367345867925e-54,2.284181082508461e-13,3.734302178132832e-40,1.970440387710393e-39,1.5834415097250539e-58,2.659639831606966e-20,9.270352701677996e-28,2.946691603256447e-94,6.2238127101317535e-22,1.9216566311173696e-63,1.6080729914580383e-37,2.7417676254194433e-68,1.1101989362625964e-13,8.129461495383735e-60,0.00019404897298617974,7.4536808320688e-05,4.739951785338419e-05,5.922044625350058e-05,4.88356805059863e-05,2.3543489680294873e-05,2.385592230607514e-05,1.0632400388549645e-10,5.017120613715191e-19
1.4853359529058093e-12,0.054791484931128634,0.0,13.604239041133212,0.031075110263184432,0.319307947543876,0.3504235603499638,0.20693739035956046,0.09181833361807423,0.0,3.779133369483693e-40,1.1495008912712478e-13,5.388418600515381e-38,0.0,2.1958805445976175e-54,2.524924607464164e-13,4.267962316088892e-40,2.106512858108709e-39,1.750333272367236e-58,2.843386054671467e-20,9.585200712326294e-28,3.482306239041996e-94,6.62373817013091e-22,2.1241956325607492e-63,1.8378788025484759e-37,3.350094766427111e-68,1.147853964691658e-13,9.291550375371545e-60,0.00019986181270127722,7.706810768805208e-05,4.9009400805476785e-05,6.123178946085065e-05,5.048675406595669e-05,2.434306658862492e-05,2.4666224791300995e-05,1.0993069988872335e-10,5.363517913322087e-19
1.5341337586148153e-12,0.054791484931128634,0.0,13.604223862345673,0.031075110263184432,0.31930460598808924,0.35042154902755585,0.20693494023292258,0.09181256770317184,0.0,4.163954250059248e-40,1.1872620859751613e-13,6.096892694290091e-38,0.0,2.6657680376177587e-54,2.7820139935214326e-13,4.8568613704924455e-40,2.247123810490945e-39,1.9285570067475667e-58,3.0332683713916726e-20,9.90004499481606e-28,4.093117884187905e-94,7.035998531701694e-22,2.340487057742373e-63,2.0914717021036713e-37,4.066957155779049e-68,1.1855052286243472e-13,1.0573982962694164e-59,0.0002056277239973397,7.959936487409906e-05,5.061926861441521e-05,6.3243111865008e-05,5.213731505043008e-05,2.514263224204825e-05,2.5476523391897268e-05,1.1353704754280094e-10,5.721462903254074e-19
1.5829315643238213e-12,0.054791484931128634,0.0,13.604208730713365,0.031075110263184432,0.31930126447835355,0.35041953772594386,0.20693249062994493,0.09180684833786446,0.0,4.574049046427724e-40,1.225023063942043e-13,6.872840047420005e-38,0.0,3.2166092621244074e-54,3.05598588856171e-13,5.504683537827331e-40,2.3922728628017166e-39,2.1184847946491393e-58,3.2292866954241643e-20,1.0214885549944143e-27,4.786779709836981e-94,7.460588919679778e-22,2.570982463236116e-63,2.3704381850777733e-37,4.907320336243546e-68,1.2231527284253492e-13,1.1984793192388468e-59,0.00021134708569872936,8.213057988858161e-05,5.2229121293014834e-05,6.525441347319063e-05,5.378736362189066e-05,2.5942186648197925e-05,2.6286818113155443e-05,1.1714304500269797e-10,6.090954186980435e-19
1.6317293700328273e-12,0.054791484931128634,0.0,13.604193645860317,0.031075110263184432,0.31929792301465376,0.3504175264451207,0.20693004155045766,0.09180117514638578,0.0,5.010221448124602e-40,1.2627838251741336e-13,7.720398250154744e-38,0.0,3.859195313302911e-54,3.347376917537559e-13,6.215231679927553e-40,2.5419596366540375e-39,2.3204887046649538e-58,3.431440940483922e-20,1.0529722378507144e-27,5.571447283237939e-94,7.897504460894827e-22,2.816133389608352e-63,2.6764158462168485e-37,5.88764639341793e-68,1.2607964644592826e-13,1.353227449703793e-59,0.0002170202735717849,8.466175274118175e-05,5.383895885400065e-05,6.72656942925607e-05,5.54368999427265e-05,2.674172981466175e-05,2.7097108960321883e-05,1.2074869040896265e-10,6.471990368123552e-19
1.6805271757418333e-12,0.054791484931128634,0.0,13.604178607413594,0.031075110263184432,0.3192945815969751,0.35041551518507924,0.20692759299429084,0.09179554775600277,0.0,5.473275130845724e-40,1.3005443696736727e-13,8.643826955906619e-38,0.0,4.6053616173218516e-54,3.656723682489217e-13,6.9924272980135485e-40,2.696183757289072e-39,2.53494079220183e-58,3.639731020343987e-20,1.0844555481301397e-27,6.455794528843596e-94,8.346740284168934e-22,3.0763913614226973e-63,3.0110933688730596e-37,7.0259904833645746e-68,1.2984364370906916e-13,1.5224979795812057e-59,0.00022264766034950758,8.71928834415112e-05,5.5448781310008e-05,6.927695433022467e-05,5.708592417522994e-05,2.754126174898264e-05,2.7907395938598242e-05,1.2435398188784822e-10,6.864570050458886e-19
1.7293249814508393e-12,0.054791484931128634,0.0,13.604163615003268,0.031075110263184432,0.31929124022530303,0.35041350394581244,0.2069251449612748,0.09178996579699131,0.0,5.964013756447548e-40,1.338304697442899e-13,9.64750781544937e-38,0.0,5.468053187877794e-54,3.9845627625610205e-13,7.840310506734636e-40,2.8549448535363033e-39,2.762213099484321e-58,3.8541568488351164e-20,1.1159384859122987e-27,7.449029688230489e-94,8.808291520315074e-22,3.3522078872447665e-63,3.3762105138215113e-37,8.34210036764879e-68,1.3360726466840544e-13,1.7071721483512177e-59,0.00022822961575604762,8.972397199911215e-05,5.705858867358333e-05,7.12881935932339e-05,5.873443648159803e-05,2.8340782458658934e-05,2.871767905314179e-05,1.2795891755143735e-10,7.268691837914929e-19
1.7781227871598453e-12,0.054791484931128634,0.0,13.604148668262393,0.031075110263184432,0.3192878988996228,0.3504114927273133,0.20692269745123995,0.0917844289026118,0.0,6.483240972947423e-40,1.3760648084840517e-13,1.0735944411150706e-37,0.0,6.461391854514124e-54,4.331430714017684e-13,8.763040008217669e-40,3.018242557774105e-39,3.002677655558621e-58,4.0747183398454386e-20,1.1474210512767732e-27,8.560911278837577e-94,9.282153302135568e-22,3.644034459646907e-63,3.773558108079753e-37,9.857518954968577e-68,1.373705093603779e-13,1.908157141962334e-59,0.00023376650653099285,9.225501842345774e-05,5.8668380957184846e-05,7.329941208858522e-05,6.038243702393287e-05,2.9140291951144835e-05,2.952795830906577e-05,1.3156349549776608e-10,7.684354334573202e-19
1.8269205928688513e-12,0.054791484931128634,0.0,13.604133766826987,0.031075110263184432,0.3192845576199199,0.3504094815295749,0.20692025046401696,0.09177893670908512,0.0,7.0317604145238635e-40,1.4138247027993677e-13,1.1913762191238627e-37,0.0,7.600745462176856e-54,4.697864070260431e-13,9.764893066121814e-40,3.186076505890718e-39,3.2567064762964776e-58,4.3014154073201213e-20,1.1789032443031203e-27,9.80176405152918e-94,9.768320764420561e-22,3.9523225552129546e-63,4.204978033729942e-37,1.1595689848502818e-67,1.411333778214206e-13,2.1263860917372483e-59,0.00023925869645346156,9.478602272395252e-05,6.027815817318327e-05,7.53106098232211e-05,6.202992596424205e-05,2.9939790233850676e-05,3.033823371143979e-05,1.3516771381094637e-10,8.111556144668203e-19
1.8757183985778575e-12,0.054791484931128634,0.0,13.60411891033601,0.031075110263184432,0.31928121638618007,0.35040747035259034,0.20691780399943646,0.09177348885556873,0.0,7.610375701516814e-40,1.4515843803910834e-13,1.318570840410143e-37,0.0,8.902799041433086e-54,5.084399341843007e-13,1.0850265479699532e-39,3.358446337245626e-39,3.524671564399094e-58,4.5342479652610326e-20,1.21038506507087e-27,1.1182494946986092e-93,1.0266789043946467e-21,4.2775236345429656e-63,4.672363216743653e-37,1.3582065898047787e-67,1.4489587008796076e-13,2.3628180732792756e-59,0.00024470654636600064,9.731698490993311e-05,6.188792033386254e-05,7.732178680403034e-05,6.367690346443905e-05,3.073927731414332e-05,3.114850526529013e-05,1.3877157056128797e-10,8.550295872587393e-19
1.9245162042868637e-12,0.054791484931128634,0.0,13.604104098431328,0.031075110263184432,0.31927787519838896,0.3504054591963528,0.20691535805732933,0.09176808498413294,0.0,8.219890440427917e-40,1.4893438412614358e-13,1.4556652032621475e-37,0.0,1.0385627948783401e-53,5.491573016487525e-13,1.2023671557863628e-39,3.5353516946313334e-39,3.806944909401043e-58,4.773215927726409e-20,1.2418665136595273e-27,1.2714609050924335e-93,1.0777553279474484e-21,4.620089142257966e-63,5.1776576158093344e-37,1.584422075602067e-67,1.486579861964186e-13,2.6184381053794007e-59,0.0002501104141982908,9.984790499066881e-05,6.349766745142046e-05,7.933294303784831e-05,6.532336968634356e-05,3.15387531993465e-05,3.1958772975600155e-05,1.4237506380541938e-10,9.000572122871162e-19
1.97331400999587e-12,0.054791484931128634,0.0,13.604089330757693,0.031075110263184432,0.3192745340565326,0.3504034480608554,0.20691291263752662,0.09176272473973748,0.0,8.861108223920782e-40,1.527103085412659e-13,1.6031583728542532e-37,0.0,1.2068772976520563e-53,5.919921559100212e-13,1.3289744093260476e-39,3.716792224235524e-39,4.103898487674162e-58,5.0183192088305284e-20,1.2733475901485713e-27,1.4410225548139942e-93,1.130060861174905e-21,4.980470507004679e-63,5.72285621116239e-37,1.8411963436440597e-67,1.5241972618320797e-13,2.8942571489239317e-59,0.0002554706549906609,0.000102378782975362,6.510739953796943e-05,8.134407853145753e-05,6.696932479168197e-05,3.233821789674115e-05,3.2769036847310573e-05,1.4597819158640785e-10,9.462383500212795e-19
2.022111815704876e-12,0.054791484931128634,0.0,13.604074606962731,0.031075110263184432,0.3192711929605968,0.3504014369460915,0.20691046773985938,0.09175740777020798,0.0,9.534832630821265e-40,1.564862112846989e-13,1.7615615746870837e-37,0.0,1.3973317431593064e-53,6.369981411786983e-13,1.4653234336349318e-39,3.9027675756036125e-39,4.4159042624314564e-58,5.269557722743381e-20,1.3048282946174561e-27,1.6282093675379862e-93,1.183595018349637e-21,5.359119141460267e-63,6.310004993417906e-37,2.1317455876007773e-67,1.5618109008473567e-13,3.1913121058027733e-59,0.00026078762091741114,0.00010490961887314875,6.671711660553719e-05,8.335519329158801e-05,6.861476894208763e-05,3.313767141356574e-05,3.357929688531984e-05,1.495809519338781e-10,9.935728609458456e-19
2.0709096214138823e-12,0.054791484931128634,0.0,13.604059926696914,0.031075110263184432,0.31926785191056767,0.3503994258520544,0.20690802336415892,0.09175213372621306,0.0,1.0241867226117721e-39,1.6026209235666584e-13,1.9313981880309756e-37,0.0,1.6121966182924372e-53,6.842288993868906e-13,1.6119011969487674e-39,4.0932774016016926e-39,4.743334183731008e-58,5.526931383690344e-20,1.3363086271456084e-27,1.8343608673040358e-93,1.2383573139422904e-21,5.756486442337067e-63,6.941200952405988e-37,2.459533349638904e-67,1.5994207793740207e-13,3.5106658178182965e-59,0.0002660616613099505,0.00010744041269309934,6.832681866606733e-05,8.536628732491762e-05,7.025970229910141e-05,3.393711375701665e-05,3.438955309448451e-05,1.53183342864131e-10,1.042060605560715e-18
2.1197074271228886e-12,0.054791484931128634,0.0,13.604045289613524,0.031075110263184432,0.3192645109064314,0.35039741477873754,0.20690557951025665,0.09174690226124126,0.0,1.0983015560961286e-39,1.6403795175739015e-13,2.113203739372795e-37,0.0,1.8539126676632432e-53,7.337380701897537e-13,1.769206508102281e-39,4.288321358379836e-39,5.086560188479867e-58,5.790440105951862e-20,1.3677885878124312e-27,2.0608827735693874e-93,1.2943472626213867e-21,6.173023790387316e-63,7.618592066009736e-37,2.8282828766809072e-67,1.6370268977760076e-13,3.8534070655948176e-59,0.00027129312267974384,0.00010997116444421882,6.993650573142018e-05,8.737736063807275e-05,7.190412502417184e-05,3.473654493424848e-05,3.519980547961953e-05,1.5678536238026052e-10,1.09170144438107e-18
2.1685052328318948e-12,0.054791484931128634,0.0,13.60403069536865,0.031075110263184432,0.31926116994817433,0.35039540372613415,0.206903136177984,0.0917417130315783,0.0,1.175908117266614e-39,1.6781378948709496e-13,2.307525895866123e-37,0.0,2.12509919185954e-53,7.855792909670099e-13,1.93775001393893e-39,4.487899105335805e-39,5.445954200437952e-58,6.060083803863122e-20,1.3992681766973007e-27,2.3092485961444734e-93,1.3515643792531765e-21,6.609182550407888e-63,8.344377289005806e-37,3.2419897766048397e-67,1.6746292564171878e-13,4.220650567488674e-59,0.00027648234874107734,0.00011250187413544754,7.154617781337326e-05,8.938841323762843e-05,7.354803727865569e-05,3.553596495237436e-05,3.601005404549863e-05,1.6038700847227043e-10,1.1424952379373722e-18
2.217303038540901e-12,0.054791484931128634,0.0,13.60401614362115,0.031075110263184432,0.31925782903578276,0.3503933926942379,0.20690069336717273,0.09173656569628451,0.0,1.2570867584709782e-39,1.7158960554600352e-13,2.5149244587847775e-37,0.0,2.428562542381354e-53,8.398061968244565e-13,2.118054196721262e-39,4.692010305079107e-39,5.8218881302219445e-58,6.335862391813745e-20,1.4307473938795674e-27,2.5810012300113703e-93,1.4100081789014906e-21,7.065414071245021e-63,9.120806541907616e-37,3.704934974295583e-67,1.7122278556613667e-13,4.613536978498896e-59,0.0002816296804336377,0.00011503254177566158,7.315583492362212e-05,9.139944513010894e-05,7.51914392238182e-05,3.633537381846631e-05,3.6820298796854585e-05,1.6398827911718946e-10,1.194441846775359e-18
2.266100844249907e-12,0.054791484931128634,0.0,13.604001634032636,0.031075110263184432,0.31925448816924323,0.3503913816830423,0.20689825107765467,0.09173145991717235,0.0,1.3419178306733285e-39,1.753653999343389e-13,2.7359713569796944e-37,0.0,2.76730481320183e-53,8.964724205954588e-13,2.3106533715418797e-39,4.900654623395436e-39,6.2147338753091824e-58,6.617775784247471e-20,1.4622262394385573e-27,2.877754550025192e-93,1.4696781768275933e-21,7.54216968579903e-63,9.950180699811112e-37,4.22169796745841e-67,1.7498226958722828e-13,5.033232889178487e-59,0.00028673545594491023,0.00011756316737367346,7.476547707378092e-05,9.341045632198809e-05,7.68343310208336e-05,3.713477153955561e-05,3.763053973837961e-05,1.6758917227918638e-10,1.24754113145604e-18
2.3148986499589134e-12,0.054791484931128634,0.0,13.603987166267457,0.031075110263184432,0.3192511473485424,0.3503893706925407,0.20689580930926166,0.09172639535878435,0.0,1.430481683454158e-39,1.791411726523241e-13,2.971250640339154e-37,0.0,3.144532728897816e-53,9.556315928424307e-13,2.5160936837350065e-39,5.113831729211476e-39,6.624863320041556e-58,6.905823895661836e-20,1.4937047134535694e-27,3.2011950054984666e-93,1.5305738884900353e-21,8.039900711029058e-63,1.0834851581243166e-36,4.7971703821056116e-67,1.7874137774136113e-13,5.480930824546279e-59,0.0002918000107323957,0.00012009375093823239,7.637510427538306e-05,9.542144681968982e-05,7.84767128307853e-05,3.793415812263302e-05,3.844077687472568e-05,1.7118968590968348e-10,1.3017929525556977e-18
2.3636964556679196e-12,0.054791484931128634,0.0,13.603972739992656,0.031075110263184432,0.31924780657366675,0.3503873597227271,0.20689336806182573,0.09172137168837098,0.0,1.5228586650103714e-39,1.8291692370018218e-13,3.2213584732523467e-37,0.0,3.563666729295004e-53,1.0173373418583055e-12,2.734933106288655e-39,5.331541294560063e-39,7.052648335629396e-58,7.200006640607875e-20,1.5251828160038783e-27,3.553083214668579e-93,1.5926948295445106e-21,8.559058447957769e-63,1.1777221937012538e-36,5.4365698276267304e-67,1.8250011006489616e-13,5.957849242999386e-59,0.00029682367754564794,0.00012262429247802506,7.798471653988193e-05,9.743241662958833e-05,8.011858481466641e-05,3.873353357464919e-05,3.925101021050478e-05,1.7478981794746967e-10,1.3571971706658804e-18
2.412494261376926e-12,0.054791484931128634,0.0,13.603958354877982,0.031075110263184432,0.3192444658446033,0.3503853487735949,0.20689092733517916,0.09171638857586877,0.0,1.6191291221553135e-39,1.8669265307813593e-13,3.4869031280762845e-37,0.0,4.028350250572531e-53,1.0816432936679885e-12,2.9677414372573944e-39,5.5537829945457115e-39,7.498460780155363e-58,7.500323933689812e-20,1.5566605471687325e-27,3.935255559048294e-93,1.6560405158437077e-21,9.100094181676088e-63,1.2779745439063447e-36,6.145454051353065e-67,1.8625846659418792e-13,6.46523253522625e-59,0.0003018067864481336,0.00012515479200167587,7.95943138786514e-05,9.944336575800874e-05,8.175994713337999e-05,3.953289790251493e-05,4.0061239750289345e-05,1.783895663188126e-10,1.413753646393403e-18
2.461292067085932e-12,0.054791484931128634,0.0,13.603944010595821,0.031075110263184432,0.3192411251613389,0.35038333784513787,0.20688848712915425,0.09171144569387865,0.0,1.719373400318793e-39,1.9046836078640828e-13,3.768504978606045e-37,0.0,4.542459202772047e-53,1.1486030720298038e-12,3.215100297175719e-39,5.780556507310488e-39,7.962672498578341e-58,7.806775689564753e-20,1.5881379070273548e-27,4.3496257776594366e-93,1.720610463437168e-21,9.663459181347909e-63,1.3844926669331701e-36,6.929735392527217e-67,1.9001644736558455e-13,7.004351023120261e-59,0.0003067496648389159,0.00012768524951774774,8.120389630298661e-05,0.00010145429421122733,8.340079994773943e-05,4.0332251113101585e-05,4.087146549861251e-05,1.819889289375699e-10,1.4714622403603425e-18
2.5100898727949382e-12,0.054791484931128634,0.0,13.603929706821233,0.031075110263184432,0.31923778452386053,0.3503813269373499,0.20688604744358338,0.09170654271764445,0.0,1.8236718435471123e-39,1.942440468252219e-13,4.066796493548353e-37,0.0,5.11011164365626e-53,1.2182702984369249e-12,3.477603126472013e-39,6.011861514000247e-39,8.445655322737312e-58,8.119361822942381e-20,1.619614895658943e-27,4.798186561149725e-93,1.786404188571143e-21,1.0249604700214816e-62,1.4975321108603414e-36,7.795695535588509e-67,1.9377405241542785e-13,7.576500958693969e-59,0.00031165263747416166,0.00013021566503474235,8.281346382410448e-05,0.00010346520199547196,8.504114341846883e-05,4.113159321324127e-05,4.168168745996841e-05,1.8558790370529965e-10,1.5303228132040354e-18
2.5588876785039444e-12,0.054791484931128634,0.0,13.603915443231879,0.031075110263184432,0.31923444393215533,0.3503793160502247,0.20688360827829913,0.09170167932503155,0.0,1.932104794503094e-39,1.9801971119479955e-13,4.3824222299985e-37,0.0,5.735677648861999e-53,1.290698592118794e-12,3.7558551828831064e-39,6.24769769873121e-39,8.947781071355255e-58,8.43808224858467e-20,1.6510915131426684e-27,5.283011145792859e-93,1.853421207688447e-21,1.0858981975600803e-62,1.6173535125376294e-36,8.750000562685091e-67,1.975312817800533e-13,8.183004522993875e-59,0.00031651602648847724,0.0001327460385611006,8.442301645314444e-05,0.00010547608911692255,8.66809777062034e-05,4.193092420972724e-05,4.249190563881255e-05,1.8918648851136976e-10,1.5903352255770752e-18
