Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525),H2X(216),H2NX(201),CH2X(34),CHX(35),CX(33),SX(667),NO2X(206),SX(613),SX(725),CH2OX(511)
1.7854264795764303e-09,0.051829194243811355,0.0,12.60868962538076,0.031197079397715502,0.2132997973087066,0.2791257206399514,0.17488731089900683,0.10490806397935899,0.0,1.0524158409918025e-22,1.8212504184108047e-11,1.3867083203511498e-28,0.0,4.892329025241644e-39,0.0001051711360846858,2.6752922773256473e-30,2.8697955024985693e-35,1.2056865970634563e-52,3.840059307142567e-15,2.1346451753031795e-26,3.399971692198866e-84,6.397930055215852e-18,6.891600650906786e-58,1.7160304379767976e-27,1.0957075334262917e-53,5.045148957357529e-12,1.7738493394038857e-50,0.0012394025902667475,0.0705964637344162,0.03887898135098114,0.06135022724500853,0.006889276509440112,0.02523431168842335,0.017708449076644664,2.1581190364202418e-05,3.490406610686007e-14,0.002792973015093134,0.01143600287736741,0.0019967731287211608,0.010867215172104087,0.001424913988928582,2.7010366349682694e-05,2.5558103820894476e-05,2.3561898688145003e-16,3.6182738268422095e-11,3.109950133491444e-14,1.230236511605305e-06,0.010006068600546942,6.137158046882983e-14,2.775635758776082e-06,9.081061477090636e-08
1.7883231166536e-09,0.051829194243811355,0.0,12.608380967574895,0.03119913601050961,0.21316490587163636,0.2790267298148804,0.17485141413760122,0.1049425663936789,0.0,1.05587527502536e-22,1.8238851166574496e-11,1.393037661777403e-28,0.0,4.932631564315181e-39,0.00010553472508346064,2.6885648393956177e-30,2.880171359892603e-35,1.2113514332190237e-52,3.852138826950488e-15,2.137873053845626e-26,3.426787241414017e-84,6.4056581330845905e-18,6.923980380394589e-58,1.724541777938944e-27,1.1047914168209246e-53,5.044659028948242e-12,1.7850697622235878e-50,0.0012397856183609607,0.07068482083018539,0.038915308823819085,0.061435012898785606,0.006887726714505028,0.02527175027051886,0.017723058855377227,2.158596147275722e-05,3.496452920822993e-14,0.0028000699961086154,0.01144896994811443,0.0020037422672555707,0.010871341657750402,0.0014277420065619125,2.7143626097205447e-05,2.552522337118127e-05,2.359970697743839e-16,3.635201909653077e-11,3.121833977551408e-14,1.2377511098054352e-06,0.010020257717966715,6.1400479242708e-14,2.7916896065709185e-06,9.127009239901874e-08
1.7912197537307697e-09,0.051829194243811355,0.0,12.60807257490469,0.031201195927974632,0.21303011541874198,0.27892778712616906,0.17481552692283922,0.10497709679688379,0.0,1.0593369865796825e-22,1.8265188805803684e-11,1.3993837973672181e-28,0.0,4.973192348577503e-39,0.00010589873926558792,2.701877840770731e-30,2.890571653419737e-35,1.2170333996315376e-52,3.864236252821474e-15,2.1411002698650398e-26,3.453769380745364e-84,6.413374847223344e-18,6.956458025114108e-58,1.7330790351727914e-27,1.113934104673314e-53,5.04416308147956e-12,1.7963424569203655e-50,0.0012401688773954565,0.07077310726729852,0.038951566647390155,0.0615197561486121,0.006886176891629372,0.025309179297598294,0.017737634882050848,2.1590706934564617e-05,3.50249481706319e-14,0.002807170341268919,0.011461923392972573,0.00201072124983541,0.010875434215650782,0.0014305702855317642,2.727725576025159e-05,2.549245914361868e-05,2.3637521052155867e-16,3.652180137060201e-11,3.1337464717135625e-14,1.2453006099908267e-06,0.010034441039424326,6.142935065404753e-14,2.807807007426117e-06,9.173098047345954e-08
1.7941163908079394e-09,0.051829194243811355,0.0,12.607764447009018,0.031203259141778402,0.2128954258671744,0.27882889254713383,0.1747796492432041,0.10501165510527839,0.0,1.0628009539862916e-22,1.8291517106338788e-11,1.4057467346801223e-28,0.0,5.014012543677148e-39,0.00010626317728464166,2.7152313193366836e-30,2.900996418622991e-35,1.222732518638707e-52,3.876351580186013e-15,2.1443268235375353e-26,3.4809188636838165e-84,6.421080213398477e-18,6.989033712746676e-58,1.7416422338749843e-27,1.1231358674835942e-53,5.043661150689586e-12,1.8076675789460123e-50,0.0012405523663827412,0.07086132310084081,0.03898775497268782,0.0616044570176157,0.006884627047917108,0.025346598773971503,0.01775217720818688,2.1595426768096396e-05,3.508532295832207e-14,0.0028142740327840874,0.011474863229551957,0.002017710060951427,0.010879492927932562,0.00143339882636193,2.7411255288870442e-05,2.5459810525433047e-05,2.3675340938925736e-16,3.669208548387128e-11,3.14568763521085e-14,1.252885114187101e-06,0.0100486185683502,6.145819880947322e-14,2.8239880867889216e-06,9.21932800762171e-08
1.7970130278851091e-09,0.051829194243811355,0.0,12.607456583526915,0.03120532564360176,0.21276083713415983,0.278730046051111,0.1747437810872768,0.1050462412351728,0.0,1.0662671556086925e-22,1.831783607272049e-11,1.4121264812325216e-28,0.0,5.055093318166581e-39,0.00010662803779637972,2.7286253128909036e-30,2.911445691057481e-35,1.2284488125632573e-52,3.888484804476655e-15,2.147552715039013e-26,3.508236445826378e-84,6.4287742474254206e-18,7.021707570887985e-58,1.750231398185395e-27,1.1323969764593168e-53,5.043153272122666e-12,1.8190452839437032e-50,0.0012409360843372286,0.07094946838583588,0.039023873950743596,0.06168911552890754,0.0068830771903801834,0.02538400870394225,0.017766685885250027,2.1600120992161026e-05,3.5145653536087184e-14,0.002821381052898447,0.011487789475436709,0.0020247086851055097,0.01088351787672067,0.001436227629582411,2.7545624630758336e-05,2.542727690788796e-05,2.3713166663942446e-16,3.686287182615448e-11,3.1576574870556074e-14,1.2605047244939162e-06,0.010062790308171612,6.148702169200541e-14,2.8402329700207234e-06,9.265699228459108e-08
1.7999096649622788e-09,0.051829194243811355,0.0,12.607148984097597,0.031207395425138548,0.21262634913700032,0.27863124761145674,0.17470792244373545,0.10508085510288372,0.0,1.0697355698426569e-22,1.8344145709486948e-11,1.418523044497878e-28,0.0,5.0964358435024463e-39,0.0001069933194587617,2.7420598591427866e-30,2.92191950629024e-35,1.2341823037129387e-52,3.900635921128012e-15,2.1507779445451647e-26,3.535722884878129e-84,6.4364569651682024e-18,7.05447972704813e-58,1.758846552187278e-27,1.1417177035156765e-53,5.042639481130429e-12,1.8304757277478355e-50,0.0012413200302752452,0.07103754317724599,0.03905992373262412,0.06177373170558205,0.006881527325939647,0.025421409091808275,0.01778116096464829,2.1604789625900638e-05,3.520593986924119e-14,0.002828491383890563,0.011500702148184992,0.0020317171068107726,0.010887509144136305,0.001439056695729317,2.7680363731267862e-05,2.5394857686251995e-05,2.375099824640686e-16,3.703416079387115e-11,3.169656046218692e-14,1.268159543084612e-06,0.010076956262312711,6.151582293069853e-14,2.8565417823966383e-06,9.312211817120298e-08
1.8028063020394485e-09,0.051829194243811355,0.0,12.606841648360458,0.031209468478095633,0.2124919617930733,0.27853249720154677,0.17467207330135365,0.1051154966247358,0.0,1.0732061751165053e-22,1.8370446021173797e-11,1.424936431906891e-28,0.0,5.138041294045832e-39,0.00010735902093196651,2.755534995713941e-30,2.932417899900025e-35,1.239933014380535e-52,3.912804925576742e-15,2.154002512231475e-26,3.563378940654214e-84,6.444128382538973e-18,7.087350308651666e-58,1.7674877199074252e-27,1.1510983212757436e-53,5.04211981287285e-12,1.841959066383863e-50,0.001241704203215033,0.07112554752997213,0.039095904469428365,0.061858305570717184,0.006879977461426768,0.025458799941861242,0.017795602497732915,2.1609432688787997e-05,3.526618192362164e-14,0.002835605008073184,0.011513601265329064,0.0020387353105916347,0.010891466812295612,0.001441886025344772,2.781547253341717e-05,2.53625522597667e-05,2.3788835712756107e-16,3.7205952776090755e-11,3.181683331933132e-14,1.275849672205881e-06,0.010091116434194502,6.154459864833981e-14,2.8729146491051394e-06,9.358865880400728e-08
1.8057029391166182e-09,0.051829194243811355,0.0,12.606534575955063,0.031211544794192865,0.2123576750198317,0.27843379479477687,0.1746362336489998,0.1051501657170631,0.0,1.0766789498913842e-22,1.839673701231417e-11,1.4313666508476765e-28,0.0,5.1799108470625095e-39,0.00010772514087840966,2.769050760138425e-30,2.942940907477133e-35,1.2457009668438699e-52,3.9249918132615584e-15,2.1572264182732192e-26,3.591205375081829e-84,6.451788515497529e-18,7.120319443037632e-58,1.7761549253163207e-27,1.1605391030706836e-53,5.041594302319277e-12,1.8534954560681397e-50,0.0012420886021767546,0.07121348149885426,0.03913181631228493,0.06194283714737424,0.006878427603584134,0.025496181258386864,0.017810010535798376,2.1614050200623515e-05,3.5326379665586206e-14,0.002842721907793206,0.011526486844375319,0.0020457632809839144,0.010895390963308339,0.0014447156189768154,2.7950950977899257e-05,2.5330360031614937e-05,2.382667909068588e-16,3.7378248155844706e-11,3.193739363193722e-14,1.2835752141774269e-06,0.010105270827234874,6.157335200399397e-14,2.8893516952476403e-06,9.40566152463022e-08
1.8114962132709574e-09,0.051829194243811355,0.0,12.60592121969871,0.031215707182752288,0.21208940285559322,0.2782365338843388,0.1745645827703159,0.10521958627853333,0.0,1.0836309219545905e-22,1.8449291051075426e-11,1.4442776126651843e-28,0.0,5.264446984103655e-39,0.00010845863085195982,2.7962043222472963e-30,2.964060906951103e-35,1.257288686194299e-52,3.949419220104552e-15,2.1636722461230986e-26,3.6473724381725233e-84,6.467074992252607e-18,7.186553879085784e-58,1.793567544801665e-27,1.1796022556316753e-53,5.040525893254671e-12,1.876728014400383e-50,0.0012428580742562712,0.07138913850414168,0.03920343392080046,0.062111773527416675,0.006875327934442974,0.025570915307968907,0.017838726331765368,2.162320865196112e-05,3.544664208027805e-14,0.0028569654634034284,0.01155221745807086,0.002059848459803441,0.010903139042293383,0.0014503756005118493,2.8223016545063846e-05,2.526631280256221e-05,2.39023836609542e-16,3.772435066976541e-11,3.2179377383853986e-14,1.2991329463131075e-06,0.010133562290447281,6.163078506388063e-14,2.9224188258027524e-06,9.499677978933996e-08
1.8172894874252966e-09,0.051829194243811355,0.0,12.605308912448804,0.031219882524835818,0.2118215319854145,0.2780394646677031,0.17449296972048092,0.10528911611820174,0.0,1.0905913143883567e-22,1.8501807861985575e-11,1.4572559882104594e-28,0.0,5.350053730854644e-39,0.00010919377872412121,2.823520843999942e-30,2.985279789658316e-35,1.268945639687922e-52,3.9739181052076196e-15,2.1701154294929586e-26,3.7042302118838213e-84,6.482316524046905e-18,7.253184052196533e-58,1.811084601286831e-27,1.198909362018401e-53,5.0394345299183095e-12,1.9001746562872588e-50,0.0012436284387136365,0.07156451463061195,0.03927477776768576,0.062280541029869144,0.006872228370724064,0.025645611274720797,0.01786730876176744,2.1632265144757043e-05,3.5566726854448e-14,0.0028712219101773534,0.011577894128807054,0.002073972519786839,0.010910754037792365,0.00145603664483351,2.8496559912156437e-05,2.520271130219719e-05,2.3978112151441954e-16,3.807247140784041e-11,3.242251324262048e-14,1.3148335594964085e-06,0.010161830679230582,6.168812409815569e-14,2.9557441731175648e-06,9.594262021398663e-08
1.8230827615796358e-09,0.051829194243811355,0.0,12.604697651328662,0.03122407075467052,0.21155406175162875,0.2778425869327457,0.1744213944137364,0.10535875456720745,0.0,1.0975599560913382e-22,1.8554287481219388e-11,1.4703018350736686e-28,0.0,5.436740610033746e-39,0.00010993057387647472,2.8510006225413412e-30,3.0065978407178465e-35,1.2806720050095797e-52,3.9984884321540315e-15,2.176555969777762e-26,3.761784867868385e-84,6.49751324022619e-18,7.320210978008595e-58,1.8287062845241955e-27,1.2184626343943184e-53,5.038320485307768e-12,1.9238366383155587e-50,0.0012443996877796507,0.0717396103148013,0.039345849062753395,0.062449139838627245,0.006869128963284508,0.025720269192714407,0.01789575823411124,2.1641219848908082e-05,3.5686633737327555e-14,0.0028854911081142767,0.011603516995708229,0.0020881353376390526,0.010918236606321132,0.0014616987565296083,2.8771580521965927e-05,2.5139550894706146e-05,2.4053864750951806e-16,3.842261341954674e-11,3.266680273037196e-14,1.3306778748784185e-06,0.01019007602081566,6.174536314855917e-14,2.9893287348300764e-06,9.689414486010214e-08
1.828876035733975e-09,0.051829194243811355,0.0,12.604087433464763,0.031228271806691375,0.21128699149777053,0.27764590046765714,0.17434985676573447,0.10542850095696198,0.0,1.1045366765132047e-22,1.8606729944911587e-11,1.4834152101807838e-28,0.0,5.5245171908553346e-39,0.0001106690057279985,2.8786439536384662e-30,3.028015345415892e-35,1.292467959605508e-52,4.023130164559608e-15,2.1829938683693315e-26,3.8200426117607343e-84,6.512665270853611e-18,7.387635670796866e-58,1.8464327833798448e-27,1.2382642962735112e-53,5.037184029468871e-12,1.947715220111048e-50,0.001245171813716185,0.0719144259922832,0.039416649016027136,0.062617570137323,0.006866029761663485,0.025794889095927916,0.017924075156190624,2.1650072939271194e-05,3.580636248613967e-14,0.0028997729177551303,0.011629086197488982,0.0021023367902549537,0.010925587404169679,0.0014673619402738032,2.9048077780974448e-05,2.507682700439698e-05,2.4129641648470116e-16,3.877477972838624e-11,3.2912247368618565e-14,1.3466667147457665e-06,0.010218298342383709,6.180251187112372e-14,3.0231735071484203e-06,9.785136199407899e-08
1.8346693098883141e-09,0.051829194243811355,0.0,12.60347825598681,0.031232485615541292,0.21102032056857395,0.2774494050609421,0.17427835669350505,0.10549835461918984,0.0,1.1115213056629122e-22,1.8659135289156956e-11,1.4965961697992636e-28,0.0,5.6133930890360115e-39,0.00011140906373558146,2.9064511316877863e-30,3.049532589200062e-35,1.3043336806835845e-52,4.04784326607263e-15,2.1894291266564022e-26,3.87900968323982e-84,6.527772746694832e-18,7.455459143473856e-58,1.864264285838403e-27,1.2583165825274905e-53,5.036025429527684e-12,1.971811664333343e-50,0.0012459448088162888,0.0720889620976733,0.039487178837656824,0.06278583210932516,0.00686293081411429,0.025869471018246496,0.017952259934485324,2.1658824595571267e-05,3.5925912865991435e-14,0.00291406720018095,0.011654601872455518,0.002116576754721753,0.010932807087361938,0.0014730262008227914,2.9326051059657025e-05,2.5014535114755405e-05,2.4205443032110524e-16,3.912897333256715e-11,3.315884867766513e-14,1.362800902509877e-06,0.010246497671066406,6.185955797629515e-14,3.0572794848387507e-06,9.881427980918359e-08
1.8404625840426533e-09,0.051829194243811355,0.0,12.60287011602784,0.031236712116070965,0.2107540483099711,0.2772531005014188,0.1742068941154239,0.10556831488596798,0.0,1.1185136741168204e-22,1.8711503550010375e-11,1.5098447695437194e-28,0.0,5.7033779668002705e-39,0.00011215073739452568,2.9344224497227307e-30,3.071149857673732e-35,1.3162693452135772e-52,4.072627700373757e-15,2.195861746024669e-26,3.938692356091376e-84,6.542835799203246e-18,7.523682407591098e-58,1.882200979007827e-27,1.2786217393918909e-53,5.0348449497221776e-12,1.9961272366708005e-50,0.0012467186654042965,0.07226321906463407,0.039557439737834016,0.06295392593774002,0.00685983216763564,0.02594401499346307,0.017980312974559664,2.166747500230979e-05,3.6045284649767965e-14,0.0029283738170113372,0.011680064158507038,0.0021308551083213403,0.010939896311616008,0.0014786915430135658,2.9605499692781756e-05,2.4952670767518255e-05,2.428126908902625e-16,3.948519720540607e-11,3.340660817759254e-14,1.3790812626962751e-06,0.010274674033946019,6.191651544889311e-14,3.091647661213154e-06,9.978290642589652e-08
1.8462558581969925e-09,0.051829194243811355,0.0,12.602263010724297,0.031240951243338807,0.2104881740690896,0.2770569865782184,0.17413546895118107,0.10563838108976518,0.0,1.1255136130266494e-22,1.876383476348686e-11,1.5231610643815617e-28,0.0,5.79448153288575e-39,0.00011289401623903791,2.9625581994211056e-30,3.0928674365904477e-35,1.3282751299273939e-52,4.097483431175927e-15,2.202291727856841e-26,3.999096938270049e-84,6.557854560505279e-18,7.592306473340571e-58,1.900243049124181e-27,1.2991820244730685e-53,5.033642851433553e-12,2.0206632058354092e-50,0.0012474933758359228,0.07243719732587953,0.03962743292670886,0.06312185180541158,0.006856733868002251,0.02601852105527902,0.01800823468106138,2.1676024348674546e-05,3.61644776180276e-14,0.0029426926304029315,0.01170547319313706,0.002145171728532555,0.010946855732304943,0.0014843579717607332,2.988642297971032e-05,2.4891229561764633e-05,2.435712000549264e-16,3.984345429522211e-11,3.365552738709351e-14,1.3955086209339427e-06,0.010302827458055535,6.197336424507667e-14,3.1262790281177687e-06,1.0075724989225112e-07
