Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525),H2X(216),H2NX(201),CH2X(34)
2.223208616281052e-14,0.09466578726852673,0.0,23.505504029672323,0.03107480625606648,0.3194074374902712,0.35048358655223183,0.20701074418716295,0.09201378308018393,0.0,1.6732152655901364e-30,9.629047795933097e-10,9.468010243088868e-28,0.0,8.273767385453783e-47,3.6485639427679815e-17,4.684690028274248e-33,2.134147637028881e-28,1.5409320566784741e-40,1.0959598545716802e-16,1.7507857164572852e-17,2.0754942713478924e-65,1.1299217142088038e-13,1.0735096367762479e-42,9.297188887373333e-32,7.647033764870159e-55,9.628883326804721e-10,1.5469930314550107e-45,4.412199309711481e-06,1.5160247111331923e-06,1.0648995019983661e-06,1.2046244030314848e-06,9.969622549163571e-07,4.790262123303174e-07,4.855664381780862e-07,2.41950207854958e-07,1.1307051483283156e-13,6.714304176742562e-11,2.0529663430151182e-07,2.170581257795511e-14,1.0432842835849366e-09,1.529567928561714e-10,1.7535286623004287e-22,3.412851837862472e-07,4.584659270871046e-12
2.7300495090779232e-14,0.09466578726852673,0.0,23.505501540444186,0.031074736981300928,0.3194069258865502,0.3504833117754409,0.20701040798096512,0.09201278408456681,0.0,3.12351262106815e-30,1.1824246590887905e-09,1.753220185901298e-27,0.0,2.829015442111925e-46,6.759469194676731e-17,1.0314953028179764e-32,3.218126612639922e-28,2.8533423146585064e-40,1.652625160459849e-16,2.14992320888388e-17,5.793715323314285e-65,1.3875478730735227e-13,1.9878166965184772e-42,2.1133167651302997e-31,2.614765619012107e-54,1.1823998437182927e-09,3.517564737869044e-45,5.411135394446163e-06,1.8614731916578614e-06,1.308132842609796e-06,1.4791816740764248e-06,1.223960889464018e-06,5.882314468846167e-07,5.963326252013284e-07,2.9683803224830147e-07,1.3887291475475653e-13,1.0125245267411237e-10,2.5204625380510005e-07,4.019331644979466e-14,1.5722475267401194e-09,2.3064960627648777e-10,3.9883190506404857e-22,4.1908753676026023e-07,6.9133210713143454e-12
3.236890401874794e-14,0.09466578726852673,0.0,23.505499053770873,0.031074667718382458,0.31940641430701106,0.35048303702450145,0.2070100718810691,0.0920117876535133,0.0,5.2564614407434306e-30,1.4019443664902026e-09,2.9222388453419003e-27,0.0,7.810202292512683e-46,1.1272167246898498e-16,1.9926569166032374e-32,4.52393262252991e-28,4.755823869252679e-40,2.323209668343665e-16,2.549060053170924e-17,1.3554700935540294e-64,1.6451851187766497e-13,3.313204321926297e-42,4.175359406048019e-31,7.218798836658286e-54,1.4019094633661158e-09,6.951339059672925e-45,6.407506926210906e-06,2.2068583522473714e-06,1.551536734651051e-06,1.7537130938283315e-06,1.4508534226668673e-06,6.974360044229055e-07,7.071240781120224e-07,3.516255358164726e-07,1.6468455982284872e-13,1.4234572041945092e-10,2.9877609152955286e-07,6.699357141707264e-14,2.2088875129362456e-09,3.242432856438371e-10,7.884191528467397e-22,4.96888803528013e-07,9.718533067860601e-12
3.7437312946716656e-14,0.09466578726852673,0.0,23.50549656964595,0.031074598467307292,0.31940590275164954,0.35048276229941105,0.20700973588742524,0.09201079378043979,0.0,8.223244229727469e-30,1.6214639018137371e-09,4.521188061725412e-27,0.0,1.859335477535791e-45,1.744863203437894e-16,3.5059185759996094e-32,6.051562715902122e-28,7.357923317427613e-40,3.1077126720240867e-16,2.94819624952333e-17,2.8011104422058496e-64,1.902833468320509e-13,5.125989522580612e-42,7.4701157915422945e-31,1.7185579865776332e-53,1.6214171896461121e-09,1.2438645598360254e-44,7.4013204904144e-06,2.5521802045466976e-06,1.7951109702048979e-06,2.0282186647483755e-06,1.6776399040753425e-06,8.066398850282213e-07,8.179407864333179e-07,4.0631291396717316e-07,1.9050544992927938e-13,1.904239961140265e-10,3.454861575243603e-07,1.0365017140508695e-13,2.9530090591591935e-09,4.3373819265538795e-10,1.4112810432448521e-21,5.746889779718542e-07,1.300029203773046e-11
4.250572187468537e-14,0.09466578726852673,0.0,23.505494088062996,0.03107452922807164,0.31940539122046113,0.3504824876001671,0.20700939999998397,0.09200980245877965,0.0,1.2187515381969238e-29,1.8409832650755834e-09,6.617403166320675e-27,0.0,3.9676425970104664e-45,2.555138235428512e-16,5.750433826233112e-32,7.801013950637571e-28,1.0769186723321633e-39,4.0061334653886603e-16,3.3473317981459146e-17,5.279172934531784e-64,2.1604929386851157e-13,7.502488936727155e-42,1.2412013430378416e-30,3.667261213144131e-53,1.8409230205844078e-09,2.0670095247445078e-44,8.392582655551428e-06,2.8974387601986885e-06,2.038855341736295e-06,2.30269838929742e-06,1.9043203832166895e-06,9.158430887835431e-07,9.287827396908411e-07,4.609003617422741e-07,2.1633558496613827e-13,2.4548843013712786e-10,3.92176461836496e-07,1.5170680746828986e-13,3.804417356839301e-09,5.591346876263797e-10,2.3460750003760826e-21,6.524880539735552e-07,1.6758594730472208e-11
4.757413080265408e-14,0.09466578726852673,0.0,23.5054916090156,0.031074460000671725,0.3194048797134415,0.3504822129267673,0.20700906421869564,0.09200881368198299,0.0,1.732729234742852e-29,2.060502456291929e-09,9.278223771098916e-27,0.0,7.779398792212888e-45,3.584348136550887e-16,8.930544653427671e-32,9.772283393265951e-28,1.5099159617992396e-39,5.018471342411462e-16,3.7464666992434013e-17,9.265294380218031e-64,2.4181635468282196e-13,1.0519018831100668e-41,1.9475637465622692e-30,7.190474943471888e-53,2.0604269542110776e-09,3.243658010683219e-44,9.381299973245847e-06,3.2426340308440697e-06,2.282769642091693e-06,2.577152269936023e-06,2.130894909594976e-06,1.0250456157717916e-06,1.0396499274126953e-06,5.153880738184455e-07,2.4217496482543407e-13,3.075401721369289e-10,4.388470145104152e-07,2.1270726764450618e-13,4.762917971181805e-09,7.004331294902738e-10,3.682973229418088e-21,7.302860254143165e-07,2.099343786806348e-11
5.2642539730622795e-14,0.09466578726852673,0.0,23.505489132497384,0.031074390785103757,0.3194043682305864,0.35048193827920915,0.20700872854351077,0.09200782744351686,0.0,2.3836658807950927e-29,2.2800214754789614e-09,1.2570993776680347e-26,0.0,1.4250100416559215e-44,4.858853613456828e-16,1.3275781058558256e-31,1.1965368118939385e-27,2.0457386999589912e-39,6.144725597153041e-16,4.145600953020413e-17,1.536159014074737e-63,2.675845309685334e-13,1.4251895101045445e-41,2.919572965276429e-30,1.3171379196495471e-52,2.2799289885601365e-09,4.862927305592302e-44,1.0367478978289529e-05,3.5877660281214393e-06,2.5268536644983916e-06,2.8515803091244338e-06,2.357363532691098e-06,1.1342474660758292e-06,1.1505423391294616e-06,5.697762445077287e-07,2.6802358939909405e-13,3.7658037103066027e-10,4.854978255880534e-07,2.8819543682812236e-13,5.828316840558954e-09,8.576338757988995e-10,5.523684218367103e-21,8.080828861747721e-07,2.5704818145003293e-11
5.771094865859151e-14,0.09466578726852673,0.0,23.505486658501965,0.03107432158136398,0.31940385677189137,0.35048166365749006,0.20700839297437973,0.09200684373686502,0.0,3.1927948889493234e-29,2.4995403226528638e-09,1.6563061382636773e-26,0.0,2.469995969459459e-44,6.405069704783294e-16,1.9040860348921386e-31,1.4380265211398582e-27,2.6953413333749066e-39,7.384895523760356e-16,4.544734559681482e-17,2.4314336796493436e-63,2.9335382441697943e-13,1.8777433270788786e-41,4.216718666190427e-30,2.283026884333463e-52,2.4994291216695343e-09,7.023962657134635e-44,1.1351126188692566e-05,3.932834763667275e-06,2.771107202563712e-06,3.1259825093225986e-06,2.5837263019627935e-06,1.2434486397784605e-06,1.2614599643741956e-06,6.24065067758277e-07,2.9388145857896497e-13,4.5261017500483684e-10,5.321289051088228e-07,3.7971529660841493e-13,7.000420275724995e-09,1.030737282722648e-09,7.981480353601642e-21,8.858786301349949e-07,3.089273222843046e-11
6.277935758656023e-14,0.09466578726852673,0.0,23.505484187022997,0.03107425238944861,0.319403345337352,0.35048138906160775,0.2070080575112531,0.09200586255552802,0.0,4.1833567762264e-29,2.7190589978298197e-09,2.1321779096100485e-26,0.0,4.089258495011136e-44,8.249465731655827e-16,2.650568644877329e-31,1.7016971762944536e-27,3.4696782553907454e-39,8.738980416466708e-16,4.943867519431043e-17,3.7028817000331993e-63,3.191242367172785e-13,2.417194849366243e-41,5.904505842662422e-30,3.779727972440836e-52,2.7189273515811465e-09,9.835937136164154e-44,1.2332248105725338e-05,4.2778402491159255e-06,3.015530050274313e-06,3.400358872990155e-06,2.8099832668446535e-06,1.3526491369624303e-06,1.37240279268243e-06,6.782547371549757e-07,3.1974857225681263e-13,5.356307315154516e-10,5.787402631096114e-07,4.888109251332908e-13,8.279034959157035e-09,1.2197437050506448e-09,1.1181221035816946e-20,9.63673251174502e-07,3.655717675822273e-11
6.784776651452895e-14,0.09466578726852673,0.0,23.50548171805414,0.03107418320935389,0.31940283392696395,0.3504811144915596,0.20700772215408134,0.09200488389302298,0.0,5.380775351163539e-29,2.938577501026012e-09,2.6914503740094435e-26,0.0,6.512074605184041e-44,1.0418565249490762e-15,3.5975349231730254e-31,1.9875484874411028e-27,4.3797038061539705e-39,1.0206979569591686e-15,5.342999832473436e-17,5.458378937585166e-63,3.4489576955633864e-13,3.0511755552265817e-41,8.054454654495496e-30,6.019166376432609e-52,2.9384236763407665e-09,1.341805150572388e-43,1.3310851213959393e-05,4.622782496099621e-06,3.2601220019955115e-06,3.6747094025864388e-06,3.0361344767481344e-06,1.4618489577104277e-06,1.4833708135921738e-06,7.323454459200462e-07,3.456249303243221e-13,6.256431872881635e-10,6.253319096247809e-07,6.170264969754537e-13,9.663967944414025e-09,1.4246534961909147e-09,1.5259375188752474e-20,1.0414667431722599e-06,4.269814834709307e-11
7.798458437046638e-14,0.09466578726852673,0.0,23.50547678762147,0.03107404488461133,0.31940181117862454,0.35048056542895634,0.20700705175740455,0.09200293409866087,0.0,8.50987366293366e-29,3.37761399154082e-09,4.0871422742410466e-26,0.0,1.501013412955338e-43,1.5837239854490893e-15,6.227547040135471e-31,2.625791922293546e-27,6.650637888632726e-39,1.3484717834806946e-15,6.141262519253597e-17,1.09487082321026e-62,3.964422035873437e-13,4.633250245410705e-41,1.4056992772303754e-29,1.3874045303639853e-51,3.377410602606754e-09,2.3419640797688326e-43,1.5260526859074868e-05,5.312477321190453e-06,3.749812396820115e-06,4.223332969400988e-06,3.4881198291501594e-06,1.680246570228964e-06,1.7053823913805977e-06,8.402307526345889e-07,3.974053791946661e-13,8.266483798719835e-10,7.184561083230627e-07,9.369946501950002e-13,1.2752018886100988e-08,1.8821845916358818e-09,2.6654986395549006e-20,1.1970503155556693e-06,5.6409659017687984e-11
8.812140222640381e-14,0.09466578726852673,0.0,23.505471867153567,0.03107390660710626,0.31940078852683806,0.3504800164696604,0.207006381783954,0.09200099430224849,0.0,1.2834035469919812e-28,3.816649794326712e-09,5.897275961894663e-26,0.0,3.124257850442024e-43,2.2874364753822755e-15,1.008856377746108e-30,3.352754523321815e-27,9.595777238815395e-39,1.721810467568633e-15,6.939522621654774e-17,2.0169501608366687e-62,4.4799313996119466e-13,6.685018482769007e-41,2.291679186268604e-29,2.887796143348314e-51,3.8163898849119455e-09,3.818288624130861e-43,1.7200204668240585e-05,6.001919331955162e-06,4.240176749506764e-06,4.771853229434816e-06,3.939682753998193e-06,1.8986414779944128e-06,1.927494614093036e-06,9.477225264501621e-07,4.492228043218734e-13,1.0556349119622022e-09,8.115015814279523e-07,1.351975076047719e-12,1.6263036925686765e-08,2.403333368706211e-09,4.349314421649231e-20,1.3526292983061289e-06,7.202723660240248e-11
9.825822008234123e-14,0.09466578726852673,0.0,23.505466956600298,0.03107376837680867,0.31939976597157,0.3504794676136524,0.20700571223333453,0.09199906445251992,0.0,1.8653812579655422e-28,4.255684909513082e-09,8.175752521049546e-26,0.0,6.003497209978475e-43,3.1744075705623666e-15,1.5515319955339417e-30,4.16843400161964e-27,1.3302754664904145e-38,2.140713444988677e-15,7.737780141308252e-17,3.476268448687116e-62,4.995485920939759e-13,9.267530760200195e-41,3.542254363160548e-29,5.549128814317939e-51,4.255361507763026e-09,5.9022379443666175e-43,1.9129935921205996e-05,6.691108621375208e-06,4.731213428538224e-06,5.320270202351606e-06,4.390823645752072e-06,2.117033681666189e-06,2.14970739812265e-06,1.0548223001528175e-06,5.010772048365418e-13,1.3126119310918528e-09,9.044684091231774e-07,1.874324628099907e-12,2.0195491782508274e-08,2.9881026049640007e-09,6.728594317675503e-20,1.5082036424360567e-06,8.955085303520602e-11
1.0839503793827866e-13,0.09466578726852673,0.0,23.5054620559118,0.031073630193688626,0.31939874351278524,0.35047891886091254,0.2070050431051514,0.09199714449847211,0.0,2.6322150332981073e-28,4.694719337229309e-09,1.09764800249469e-25,0.0,1.0818872768318723e-42,4.266137136936531e-15,2.2882841738153203e-30,5.072828081658185e-27,1.785920212603096e-38,2.6051801516439954e-15,8.536035079843789e-17,5.679411980996428e-62,5.511085733667842e-13,1.2441836978873797e-40,5.245916765429069e-29,1.0000071949020214e-50,4.694325455728675e-09,8.741314423755683e-43,2.1049771634635584e-05,7.380045282398142e-06,5.222920808388172e-06,5.868583907810182e-06,4.841542898502501e-06,2.335423181902788e-06,2.3720206599021816e-06,1.161531600786713e-06,5.529685798679955e-13,1.5975885731274006e-09,9.973566715518464e-07,2.516401689165526e-12,2.454785904880058e-08,3.63649505589042e-09,9.973350293885765e-20,1.6637732989495457e-06,1.0898047982505934e-10
1.1853185579421607e-13,0.09466578726852673,0.0,23.50545716503844,0.03107349205771625,0.319397721150449,0.3504783702114212,0.20700437439901037,0.09199523438936373,0.0,3.625005023599405e-28,5.133753077604738e-09,1.4353373563671816e-25,0.0,1.8496126464772348e-42,5.584211169997604e-15,3.260644454185914e-30,6.065934501195759e-27,2.335275073298758e-38,3.1152100235750506e-15,9.334287438889633e-17,8.880227828219043e-62,6.026730971258568e-13,1.626898644873874e-40,7.50078063618901e-29,1.7096308937885164e-50,5.1332817134393416e-09,1.2499063295633911e-42,2.2959762563457053e-05,8.068729407937614e-06,5.715297269498864e-06,6.416794365464505e-06,5.291840905971407e-06,2.5538099793617774e-06,2.5944343159039453e-06,1.267851949674188e-06,6.048969285442906e-13,1.9105739622750017e-09,1.0901664488163833e-06,3.290566166808388e-12,2.9318620168414456e-08,4.3485134548913516e-09,1.4272472102422738e-19,1.8193382188425266e-06,1.3031608805907436e-10
1.286686736501535e-13,0.09466578726852673,0.0,23.505452283930868,0.031073353968861735,0.31939669888452654,0.35047782166515856,0.20700370611451738,0.09199333407471362,0.0,4.891214776573209e-28,5.572786130768692e-09,1.83603552716624e-25,0.0,3.025963262883405e-42,7.150301634961641e-15,4.5141730945598866e-30,7.147751011188378e-27,2.987103074893927e-38,3.670802496959395e-15,1.0132537220072495e-16,1.3384677433613064e-61,6.542421766826959e-13,2.081002788902057e-40,1.0414582003825587e-28,2.796955526378116e-50,5.572230265587008e-09,1.7355072273213846e-42,2.485995920219892e-05,8.7571610908734e-06,6.208341198258934e-06,6.9649015949636775e-06,5.741718061512278e-06,2.7721940746998095e-06,2.816948282639815e-06,1.3737848624357273e-06,6.5686224999222e-13,2.2515772110867366e-09,1.182897820978463e-06,4.209179488856202e-12,3.450626241566115e-08,5.124160513303051e-09,1.983380220896736e-19,1.9748983531029253e-06,1.5355764840564505e-10
1.3880549150609095e-13,0.09466578726852673,0.0,23.505447412539983,0.031073215927095315,0.31939567671498303,0.3504772732221052,0.2070030382512788,0.09199144350429958,0.0,6.485224198188036e-28,6.011818496850472e-09,2.3051354355219285e-25,0.0,4.769056246923873e-42,8.986166306768962e-15,6.0984588604511015e-30,8.31827537570055e-27,3.750167159013238e-38,4.2719570081114866e-15,1.0930784425017584e-16,1.9555705720341122e-61,7.058158253141953e-13,2.612600942871442e-40,1.410467818195302e-28,4.408132079193311e-50,6.0111710969249585e-09,2.3504971183198215e-42,2.6750411786325866e-05,9.445340424051416e-06,6.702050986981203e-06,7.51290561595196e-06,6.191174758110518e-06,2.990575468572617e-06,3.03956247666122e-06,1.4793318490099283e-06,7.088645433373184e-13,2.6206074204668663e-09,1.2755508680589514e-06,5.284604598900895e-12,4.0109278874156406e-08,5.963438920397856e-09,2.6884210833102786e-19,2.130453652710825e-06,1.7870513111756884e-10
1.590791272179658e-13,0.09466578726852673,0.0,23.505437698713052,0.03107293998470802,0.3193936326648938,0.3504761766455475,0.20700170378699242,0.09198769139657757,0.0,1.0912006507697698e-27,6.889881168284581e-09,3.4701156998311636e-25,0.0,1.0806302914546266e-41,1.3554677459397758e-14,1.0477798110128685e-29,1.0925438789552769e-26,5.645054918292424e-38,5.610949889660121e-15,1.2527271112687653e-16,3.866350328946294e-61,8.089768827364611e-13,3.932698237415589e-40,2.433128763470689e-28,9.988483737767194e-50,6.889029536490013e-09,4.054916647802511e-42,3.0502284445246596e-05,1.0820942412348607e-05,7.691461743051698e-06,8.608604110948682e-06,7.088828344582369e-06,3.427330154540912e-06,3.4850912129640334e-06,1.6892740550608946e-06,8.129800422149058e-13,3.4427850663478677e-09,1.46062230685418e-06,7.95534950910362e-12,5.2555435679188604e-08,7.832900427441245e-09,4.645533364431542e-19,2.441549551851198e-06,2.34717742589277e-10
