Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204)
2.3097326294263895e-09,0.05435919745378708,0.0,13.20242445330606,0.031075110263184432,0.20186201069937357,0.2738196090674995,0.16929208582699154,0.09110539966968631,0.0,5.90161112786258e-31,1.2105314020827212e-10,1.8578125590203897e-26,0.0,1.0262466639666874e-35,0.0005606003125564645,1.0997181126802561e-27,2.6010642821943255e-33,1.8973113095200127e-49,4.538085157590824e-14,7.764797814793265e-25,4.49748037590898e-79,1.2301600115511974e-16,2.072343628612378e-54,5.0009338327176005e-25,1.208291991526645e-49,1.2105296424250453e-10,1.7594313695708865e-47,0.000912795871019926,0.08723991608325997,0.06211849011714286,0.07666518295098745,0.0047881987047341265,0.03293193564844384,0.030307755093721404
2.3283300413774176e-09,0.05435919745378708,0.0,13.200646250382297,0.031075110263184432,0.20118304206140136,0.2733282134776375,0.16906189356488655,0.09110552155817855,0.0,6.036755548602252e-31,1.2191509099764726e-10,1.9084587346827654e-26,0.0,1.0747993320261418e-35,0.0005719365673117863,1.134165489255204e-27,2.6672361974096528e-33,1.9414612770842882e-49,4.6087506430290514e-14,7.821949857623557e-25,4.6745568780409334e-79,1.2468042198796676e-16,2.120566560476529e-54,5.157541356569853e-25,1.2657223741099505e-49,1.2191490856157634e-10,1.8148838761278724e-47,0.0009126739825276609,0.08775583229599593,0.062496258440320494,0.07715657853998752,0.0047810025593877465,0.03316932405589452,0.03047080751895762
2.3469274533284456e-09,0.05435919745378708,0.0,13.198875557926744,0.031075110263184432,0.20050753923868037,0.2728385264582513,0.16883207269103256,0.09110564293224765,0.0,6.173822774054836e-31,1.2277549623674912e-10,1.9601530682548767e-26,0.0,1.1252209593878312e-35,0.0005833869178121266,1.1693953662308245e-27,2.7347862564053756e-33,1.9862607115153084e-49,4.679923274213092e-14,7.879024198718273e-25,4.857064279470558e-79,1.2636275008264912e-16,2.1694988746397205e-54,5.317704725699627e-25,1.325377640081405e-49,1.227753071534023e-10,1.871608954290718e-47,0.0009125526084585915,0.0882696331396504,0.06287206155484143,0.07764626555851341,0.004773821596787325,0.03340632589234818,0.030632509498024155
2.3655248652794737e-09,0.05435919745378708,0.0,13.197112346911764,0.031075110263184432,0.19983548532315581,0.27235054173127754,0.1686026222801186,0.09110576379387579,0.0,6.3128229051572485e-31,1.236343612988858e-10,2.0129120583949536e-26,0.0,1.1775670719540348e-35,0.0005949509177316797,1.20541875272011e-27,2.803735770440332e-33,2.031713462465141e-49,4.751602225655583e-14,7.936020963384659e-25,5.0451218499344026e-79,1.2806313657732184e-16,2.219144775903185e-54,5.481473916770571e-25,1.3873245128998527e-49,1.2363416538821092e-10,1.9296248718888904e-47,0.0009124317468304441,0.08878133246751366,0.06324590437889956,0.07813425028462824,0.004766655771466093,0.03364294212858268,0.030792864085685465
2.3841222772305018e-09,0.05435919745378708,0.0,13.195356588286966,0.031075110263184432,0.19916686347203347,0.2718642530439814,0.168373541411395,0.09110588414504693,0.0,6.453765982162668e-31,1.2449169153762514e-10,2.066752398505772e-26,0.0,1.2318943547711185e-35,0.0006066281094514336,1.2422467139550876e-27,2.8741061837341667e-33,2.0778233617217726e-49,4.823786673940516e-14,7.992940276618129e-25,5.238850419342811e-79,1.2978173045804422e-16,2.2695084495561757e-54,5.648899160000487e-25,1.451631130239386e-49,1.2449148861647236e-10,1.9889499964817653e-47,0.0009123113956593061,0.08929094396831966,0.0636177919485842,0.0786205389710671,0.004759505037382585,0.033879173731389094,0.030951874436001774
2.40271968918153e-09,0.05435919745378708,0.0,13.19360825298114,0.031075110263184432,0.19850165690767446,0.27137965416884385,0.16814482916857476,0.09110600398774649,0.0,6.596661985062795e-31,1.2534749228687395e-10,2.1216909771128733e-26,0.0,1.2882606656904138e-35,0.0006184180243087475,1.279890370929712e-27,2.945919071071985e-33,2.1245942232731686e-49,4.8964757977147244e-14,8.0497822631038065e-25,5.438372383106539e-79,1.3151867854356978e-16,2.3205940614459325e-54,5.8200309375262575e-25,1.51836706117049e-49,1.2534728216897905e-10,2.0496027947793994e-47,0.0009121915529597571,0.08979848116810117,0.06398772941564897,0.07910513784534863,0.004752369348001681,0.03411502166358951,0.03110954380057929
2.421317101132558e-09,0.05435919745378708,0.0,13.191867311904169,0.031075110263184432,0.1978398489174925,0.2708967389034521,0.16791648463974318,0.09110612332396127,0.0,6.741520834007243e-31,1.2620176886095776e-10,2.1777448782004607e-26,0.0,1.3467250490516072e-35,0.0006303201828453946,1.3183609000452617e-27,3.019196135402141e-33,2.1720298433710777e-49,4.9696687776794245e-14,8.10654704721801e-25,5.643811707383216e-79,1.3327412547108455e-16,2.3724057580473796e-54,5.99491998178029e-25,1.587603323376194e-49,1.262015513569247e-10,2.1116018320659226e-47,0.0009120722167450019,0.0903039574320388,0.06435572204528674,0.07958805310988618,0.004745248656367187,0.03435048688405481,0.031265875526823604
2.439914513083586e-09,0.05435919745378708,0.0,13.190133735948944,0.031075110263184432,0.19718142285385393,0.27041550107038725,0.16768850691727558,0.09110624215567924,0.0,6.888352389720091e-31,1.2705452655469941e-10,2.2349313815053363e-26,0.0,1.4073477493879748e-35,0.0006423340950540167,1.3576695327582295e-27,3.0939592054280066e-33,2.220134000594594e-49,5.043364796581779e-14,8.163234753029719e-25,5.855293934244292e-79,1.3504821368287885e-16,2.4249476665325426e-54,6.173617273878314e-25,1.6594124004022734e-49,1.2705430147198397e-10,2.1749657716255347e-47,0.0009119533850270002,0.09080738596630433,0.0647217752139112,0.08006929094209835,0.00473814291516684,0.034585570347722035,0.03142087305619665
2.458511925034614e-09,0.05435919745378708,0.0,13.188407495993312,0.031075110263184432,0.19652636213397925,0.26993593451711506,0.16746089509776116,0.09110636048488967,0.0,7.037166453913604e-31,1.2790577064349771e-10,2.2932679627692426e-26,0.0,1.470190225152815e-35,0.0006544592606229534,1.3978275552306813e-27,3.170230233194529e-33,2.268910455913458e-49,5.117563039206508e-14,8.219845504302004e-25,6.07294618676293e-79,1.3684108341394047e-16,2.4782238948396983e-54,6.356174042018528e-25,1.733868258940584e-49,1.2790553778639138e-10,2.2397133741710943e-47,0.0009118350558165994,0.09130877981989773,0.06508589440694607,0.08054885749451929,0.004731052076790551,0.03482027300561198,0.03157453992247796
2.477109336985642e-09,0.05435919745378708,0.0,13.18668856290198,0.031075110263184432,0.1958746502398472,0.2694580331158762,0.167233648281934,0.09110647831358258,0.0,7.187972769699142e-31,1.2875550638340582e-10,2.3527722939499665e-26,0.0,1.5353151624664624e-35,0.0006666951691793988,1.4388463079830726e-27,3.2480312916703794e-33,2.3183629527511233e-49,5.192262692367535e-14,8.276379424493448e-25,6.296897174023436e-79,1.3865287268045457e-16,2.5322385317422527e-54,6.542641759891955e-25,1.8110463661446307e-49,1.287552655530197e-10,2.305863497275283e-47,0.0009117172271236683,0.09180815188647728,0.06544808521662165,0.08102675889490844,0.0047239760933825104,0.03505459580484646,0.03172687975003046
2.49570674893667e-09,0.05435919745378708,0.0,13.184976907528464,0.031075110263184432,0.19522627071810061,0.26898179076357664,0.1670067655746087,0.09110659564374904,0.0,7.3407810219952965e-31,1.296037390112088e-10,2.4134622433915894e-26,0.0,1.6027864888832563e-35,0.0006790413005308462,1.4807371855495016e-27,3.3273845723264795e-33,2.3684952170475625e-49,5.2674629448996685e-14,8.332836636759518e-25,6.527277196052752e-79,1.404837172691976e-16,2.5869956469173463e-54,6.73307214510397e-25,1.891023706976483e-49,1.2960349000545816e-10,2.3734350948043396e-47,0.0009115998969572277,0.09230551490618275,0.06580835333978059,0.08150300124635966,0.00471691491688785,0.03528853968866566,0.0318778962520716
