Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525),H2X(216),H2NX(201),CH2X(34),CHX(35),CX(33),SX(667)
7.619062824679991e-09,0.07782336798655136,0.0,18.91861438789204,0.07251977880414348,0.10173735950508134,0.3378977083346898,0.10349687900173492,0.29462239558819747,0.0,2.292619446827868e-14,7.659969885618015e-06,3.675229886445816e-15,0.0,4.507646644741058e-20,0.031884835710115286,2.2816699510347387e-16,9.229064939099299e-21,8.44820273423825e-31,6.525745974064946e-08,1.3568872424533925e-15,5.398257798749946e-49,1.0373140227663326e-10,6.820743334981438e-34,1.253555925514e-14,8.229346607095748e-30,4.4825125805236746e-07,6.005640433668066e-30,0.0014974759063595701,0.0044268407195701374,0.09515422638369295,0.01257942383496102,0.00045501881191815154,0.08543502588702226,0.0011287259747420231,6.287079914192841e-05,1.3228082803029717e-08,0.0012012272612873674,0.0014294620409128279,0.14278908182127986,0.006758259146562426,0.00761188277525871,0.026757862803402737,1.5267780487498803e-05,7.856458371489719e-11,7.137938534144094e-08,7.53542139382469e-09,0.017625152228695085
7.645756246804923e-09,0.07782336798655136,0.0,18.91804245928629,0.07260286274405402,0.10134163163780993,0.3378980614663942,0.1032535650557772,0.2950812581816542,0.0,2.2926278147950845e-14,7.686778121681848e-06,3.704527433130867e-15,0.0,4.583898496638143e-20,0.03197431877010775,2.3038683480250045e-16,9.311263840283735e-21,8.523738633498528e-31,6.563755677557152e-08,1.3601967223422575e-15,5.481318879481548e-49,1.0384404332589533e-10,6.88173132062003e-34,1.2656826277278809e-14,8.361185626502903e-30,4.4826003443659136e-07,6.079310563761253e-30,0.0014997392772244816,0.004408210935854268,0.0952117477230837,0.012579043895020433,0.0004539351855688152,0.08557719341409856,0.00112234069871337,6.26144210321032e-05,1.3256076309420953e-08,0.0011945447664900746,0.0014306781323690794,0.143017112627038,0.0067248421381508,0.007624753683808973,0.02685033184073393,1.5262148019149316e-05,7.869712376684359e-11,7.168659066370203e-08,7.612604257698334e-09,0.017727381509307957
7.672449668929854e-09,0.07782336798655136,0.0,18.91747245150749,0.07268564610987807,0.10094731794444611,0.3378984133290274,0.1030108619030851,0.2955384054115092,0.0,2.2926142619423826e-14,7.713586385710881e-06,3.7339593884051975e-15,0.0,4.661155556627229e-20,0.03206369427424727,2.326197909711433e-16,9.393873421487142e-21,8.599642565497951e-31,6.601828404639431e-08,1.36349842188396e-15,5.565325058402768e-49,1.0395653474404157e-10,6.943016496437434e-34,1.2778800384420133e-14,8.49462148589058e-30,4.4826878938274426e-07,6.153589194801209e-30,0.0015019941287559746,0.004389645025645249,0.09526917866971693,0.012578665224123162,0.0004528543560799885,0.08571858093439509,0.001115982004681903,6.235918910457091e-05,1.3283961458753574e-08,0.0011878899280285142,0.0014318897566039698,0.1432437967140751,0.006691615583386948,0.007637577645414082,0.026942676901496033,1.5256523346877737e-05,7.882896754233863e-11,7.199555295701654e-08,7.690515315464868e-09,0.017829777203459764
7.699143091054785e-09,0.07782336798655136,0.0,18.916904358582922,0.07276813002907896,0.10055441284762826,0.3378987639265455,0.10276876791515144,0.29599384442326154,0.0,2.2925790434376893e-14,7.740394677604584e-06,3.763525933142303e-15,0.0,4.739427283217899e-20,0.03215296234487654,2.3486588739120135e-16,9.4768939476342e-21,8.675914556340824e-31,6.639963809149084e-08,1.3667923606067544e-15,5.650283079499006e-49,1.0406887630789248e-10,7.004598883796077e-34,1.2901482760840293e-14,8.629667054256436e-30,4.4827752293214303e-07,6.22847869522824e-30,0.0015042404967146078,0.004371142753744091,0.09532651894022307,0.012578287818313187,0.00045177631557686003,0.08585919101510193,0.0011096497762667305,6.210509837223751e-05,1.3311738634551384e-08,0.0011812626267399418,0.001433096930504123,0.14346913987000734,0.006658578354134515,0.007650354706991292,0.027034898333833327,1.5250906528418748e-05,7.896011759554909e-11,7.230629725137891e-08,7.769162092639147e-09,0.017932338380313332
7.725836513179717e-09,0.07782336798655136,0.0,18.916338174560043,0.07285031562426715,0.10016291079529366,0.3378991132628906,0.10252728146818631,0.29644758233058593,0.0,2.2925224116025758e-14,7.767202997262737e-06,3.793227247711586e-15,0.0,4.818723187051448e-20,0.03224212310250011,2.3712514773342483e-16,9.56032567963612e-21,8.75255462802317e-31,6.678161546062848e-08,1.3700785579868392e-15,5.7361997016799065e-49,1.0418106780025308e-10,7.0664785007394515e-34,1.3024874584382882e-14,8.766335246967926e-30,4.482862351252829e-07,6.3039814284324476e-30,0.0015064784167005789,0.0043527038860571585,0.0953837682592052,0.012577911673648353,0.00045070105620970027,0.08599902621549957,0.001103343897610751,6.18521438544981e-05,1.3339408218844852e-08,0.0011746627439720551,0.0014342996708824204,0.14369314785623738,0.006625729326797457,0.00766308491599413,0.027126996481674333,1.5245297619924913e-05,7.90905764761553e-11,7.261884887597949e-08,7.84855221221563e-09,0.018035064112198296
7.752529935304648e-09,0.07782336798655136,0.0,18.91577389350639,0.07293220401322428,0.09977280626055872,0.33789946134199134,0.10228640094310132,0.29689962621542826,0.0,2.292444615943282e-14,7.794011344585443e-06,3.823063511979193e-15,0.0,4.8990528309614596e-20,0.03233117666583219,2.393975955578556e-16,9.644168874408787e-21,8.829562798462704e-31,6.716421271493369e-08,1.3733570334485059e-15,5.823081698657427e-49,1.0429310900989196e-10,7.1286553620162775e-34,1.314897702647909e-14,8.904639025628858e-30,4.48294926001863e-07,6.380099752726578e-30,0.0015087079241542423,0.00433432818958874,0.09544092635917248,0.012577536786200268,0.0004496285701537656,0.08613808908698527,0.0010970642533790944,6.160032057753898e-05,1.3366970592177787e-08,0.0011680901615817984,0.0014354979944783911,0.14391582640807,0.006593067382353382,0.007675768320412997,0.0272189716847792,1.5239696675986329e-05,7.922034672941238e-11,7.293323346341415e-08,7.92869339599846e-09,0.018137953474600576
7.77922335742958e-09,0.07782336798655136,0.0,18.91521150950936,0.07301379630892733,0.09938409374159944,0.33789980816776244,0.10204612472549426,0.2973499831281024,0.0,2.2923459031814392e-14,7.820819719473102e-06,3.8530349053088825e-15,0.0,4.9804258300338424e-20,0.03242012315184368,2.4168325431416844e-16,9.728423784890814e-21,8.906939081528631e-31,6.75474264268571e-08,1.3766278063642902e-15,5.910935858824074e-49,1.0440499973151933e-10,7.191129479104548e-34,1.327379125216795e-14,9.044591397945496e-30,4.4830359560081124e-07,6.456836021319243e-30,0.0015109290543566288,0.0043160154324337245,0.09549799298047314,0.0125771631520542,0.0004485588496092022,0.08627638217309898,0.001090810728757558,6.134962357463548e-05,1.3394426133613901e-08,0.0011615447619341543,0.0014366919179585956,0.14413718123482702,0.006560591406385751,0.00768840496877558,0.02731082427878716,1.5234103749650174e-05,7.934943089621369e-11,7.324947695418102e-08,8.009593466033143e-09,0.01824100554615197
7.805916779554511e-09,0.07782336798655136,0.0,18.91465101667612,0.0730950936195724,0.09899676776153218,0.3379001537441053,0.1018064512056335,0.2977986600873874,0.0,2.2922265172844824e-14,7.847628121826439e-06,3.883141606562894e-15,0.0,5.062851851666258e-20,0.032508962675808196,2.4398214734201002e-16,9.81309066006162e-21,8.984683487071215e-31,6.793125318013864e-08,1.3798908960551205e-15,5.9997689851313295e-49,1.045167397657635e-10,7.2539008602353984e-34,1.3399318420116538e-14,9.186205417592141e-30,4.483122439603078e-07,6.534192582288531e-30,0.0015131418424299597,0.004297765383770309,0.09555496787122683,0.012576790767308978,0.0004474918868009511,0.08641390800954943,0.001084583209451036,6.110004788644533e-05,1.3421775220743447e-08,0.0011550264279009226,0.0014378814579170123,0.14435721801996276,0.0065283002891148405,0.007700994910147093,0.027402554595263917,1.522851889244008e-05,7.947783151317488e-11,7.356760560350888e-08,8.091260346802155e-09,0.018344219408619716
7.832610201679443e-09,0.07782336798655136,0.0,18.914092409133495,0.07317609704859859,0.09861082286829517,0.33790049807490763,0.10156737877844275,0.2982456640806261,0.0,2.292086699495773e-14,7.874436551546473e-06,3.913383794102876e-15,0.0,5.146340615626992e-20,0.032597695351347364,2.462942978713381e-16,9.898169744959384e-21,9.062796020951227e-31,6.831568956977276e-08,1.3831463217904682e-15,6.0895878949682765e-49,1.0462832891914657e-10,7.316969510416855e-34,1.3525559682640092e-14,9.329494184076256e-30,4.4832087111780806e-07,6.612171778555982e-30,0.001515346323338177,0.004279577813852763,0.09561185078725667,0.012576419628076901,0.0004464276739786525,0.08655066912423968,0.0010783815816819424,6.085158856129551e-05,1.3449018229689727e-08,0.0011485350428594879,0.0014390666308754163,0.1445759424211786,0.0064961929254276135,0.007713538194130355,0.02749416296174905,1.5222942154375584e-05,7.96055511126996e-11,7.388764598614895e-08,8.173702066741424e-09,0.018447594146896173
7.859303623804374e-09,0.07782336798655136,0.0,18.91353568102781,0.07325680769471177,0.09822625363453007,0.33790084116404384,0.10132890584348554,0.29869100206382315,0.0,2.2919266883644314e-14,7.901245008534544e-06,3.9437616457908e-15,0.0,5.2309018941133003e-20,0.032686321290475176,2.486197290227584e-16,9.983661280698985e-21,9.141276685069162e-31,6.870073220197382e-08,1.3863941027884974e-15,6.180399420040411e-49,1.0473976700405874e-10,7.380335431457432e-34,1.3652516185722116e-14,9.474470842603169e-30,4.483294771100654e-07,6.690775947860898e-30,0.0015175425318874737,0.004261452494004259,0.09566864149202071,0.01257604973048364,0.00044536620341655226,0.0866866680372932,0.0010722057321886197,6.060424065546438e-05,1.3476155535115628e-08,0.0011420704906915792,0.0014402474532837595,0.14479336007053745,0.006464268214906526,0.007726034870865699,0.027585649701803345,1.521737358399156e-05,7.973259222302748e-11,7.42096249990787e-08,8.256926759075911e-09,0.01855112884898847
7.88069893815285e-09,0.07782336798655136,0.0,18.91309080523792,0.07332128825491661,0.0979190032156087,0.3379011152630314,0.10113819673671792,0.29904675125666697,0.0,2.2917840162162813e-14,7.922732545258509e-06,3.968208170518017e-15,0.0,5.2994604117107737e-20,0.03275727977524659,2.5049321265561703e-16,1.0052482405100483e-20,9.204446295186176e-31,6.900978702311762e-08,1.3889917581337146e-15,6.253907943384694e-49,1.0482897767817859e-10,7.431339112764421e-34,1.3754791530687565e-14,9.59190005987823e-30,4.4833635972935136e-07,6.754231558566884e-30,0.0015192968880924159,0.004246969475481792,0.09571409365426574,0.01257575414395942,0.0004445173880828512,0.08679512530142819,0.0010672741999871928,6.040678542911208e-05,1.349783056698112e-08,0.001136908316956236,0.0014411907762242205,0.14496668502209648,0.006438811050312852,0.007736017593216964,0.027658890566871184,1.5212916191568151e-05,7.983393007454904e-11,7.446911564265484e-08,8.324203863436578e-09,0.018634228871030816
7.902094252501326e-09,0.07782336798655136,0.0,18.912647130119307,0.07338558198534678,0.09761263032569062,0.3379013885687926,0.10094787091954922,0.29940143814781994,0.0,2.291628642998401e-14,7.944220099386695e-06,3.992742055621624e-15,0.0,5.368719343653667e-20,0.032828169816020256,2.523752548022018e-16,1.0121568774946608e-20,9.267852400770428e-31,6.931922740546188e-08,1.391584524396574e-15,6.328062086397503e-49,1.0491809109292122e-10,7.482533768132297e-34,1.3857527687051849e-14,9.710428923836717e-30,4.483432287928107e-07,6.818091370744571e-30,0.0015210459698804066,0.004232526185586486,0.09575948631514476,0.01257545935064402,0.00044367032556938814,0.08690309580523337,0.0010623590983776814,6.021003850847663e-05,1.3519438122554256e-08,0.0011317632479987438,0.0014421313231455448,0.14513917694869152,0.006413469962408852,0.007745970432356569,0.02773205366312365,1.5208464100176266e-05,7.99348349608285e-11,7.472988339184351e-08,8.391993562687695e-09,0.018717430608808906
7.923489566849802e-09,0.07782336798655136,0.0,18.912204652684604,0.07344968944522609,0.0973071322041718,0.3379016610833043,0.10075792757429371,0.2997550662757452,0.0,2.2914606878715902e-14,7.965707670868727e-06,4.017363391994226e-15,0.0,5.438683794982332e-20,0.032898991468348356,2.5426586721656893e-16,1.0190920508979725e-20,9.331494997363941e-31,6.962905161698861e-08,1.3941724114019556e-15,6.402865386501189e-49,1.0500710715977815e-10,7.533919394099996e-34,1.3960725236150143e-14,9.830064266502257e-30,4.483500843184462e-07,6.882356580877264e-30,0.001522789794955836,0.004218122508036353,0.09580481936330415,0.01257516534856082,0.0004428250119319845,0.08701058083562113,0.0010574603697527428,6.0013997359684704e-05,1.3540978392742423e-08,0.0011266352247255656,0.0014430691024192284,0.1453108387150246,0.006388244391166008,0.007755893414850093,0.027805139151754133,1.520401733279077e-05,8.003530817812752e-11,7.499194256131843e-08,8.460300195884345e-09,0.018800733597023497
7.94274534976343e-09,0.07782336798655136,0.0,18.911807444550384,0.07350722735844875,0.09703292954822312,0.33790190567147577,0.10058730490275715,0.3000724292625549,0.0,2.2912988683505065e-14,7.985046499998556e-06,4.039597440522267e-15,0.0,5.502259257074174e-20,0.032962672528752894,2.559747556472121e-16,1.0253564052846405e-20,9.388975529143823e-31,6.99082201534914e-08,1.3964973460450305e-15,6.4707463142041824e-49,1.0508713831627336e-10,7.580329733436883e-34,1.4053997999517639e-14,9.938687775899266e-30,4.483562427313494e-07,6.940542872388399e-30,0.0015243547576153193,0.004205192971036379,0.09584556804819505,0.012574901421560127,0.0004420657216955608,0.08710690334427426,0.0010530654654493184,5.983816166942224e-05,1.3560307264214587e-08,0.0011220345291652134,0.0014439107443224122,0.14546462687698575,0.006365639682522428,0.007764798593796566,0.027870849868964032,1.5200019812687034e-05,8.012536606679498e-11,7.522891192477731e-08,8.522221768054227e-09,0.018875792471993696
7.960075554385697e-09,0.07782336798655136,0.0,18.9114507828312,0.07355888319938009,0.0967867494220017,0.33790212525540037,0.10043400832382365,0.3003573272632176,0.0,2.2911446695374446e-14,8.002451458168794e-06,4.059668765908774e-15,0.0,5.55997243182897e-20,0.0330199381915441,2.5751870571385195e-16,1.031012717114134e-20,9.44087178089244e-31,7.015973542259638e-08,1.3985864207793273e-15,6.532293314622638e-49,1.051590988285984e-10,7.622231288680767e-34,1.4138263772197133e-14,1.0037224108485942e-29,4.4836177595018367e-07,6.993192838615964e-30,0.0015257596062825069,0.0041935836714654465,0.09588220044120264,0.012574664432677412,0.0004413835665773572,0.08719325904824318,0.0010491213164690073,5.968039505577623e-05,1.3577656896192277e-08,0.0011179056319993168,0.0014446663160890215,0.14560246498607768,0.006345374724179631,0.007772792612439901,0.02792993597316154,1.5196425760414634e-05,8.020612089006934e-11,7.544309752882031e-08,8.578314891197091e-09,0.018943414980201658
7.977405759007962e-09,0.07782336798655136,0.0,18.911094901626512,0.07361041781624199,0.0965411383556811,0.33790234432368305,0.10028096123703864,0.3006415368589574,0.0,2.2909824241185053e-14,8.019856427635726e-06,4.0797976290118036e-15,0.0,5.618157646047613e-20,0.03307715908150672,2.5906829948609015e-16,1.0366864600794489e-20,9.492923181263568e-31,7.041149945744412e-08,1.4006723116330966e-15,6.594272535370762e-49,1.0523099532139352e-10,7.664258129378248e-34,1.4222833289820605e-14,1.013649861040652e-29,4.483673003180245e-07,7.046110906676104e-30,0.0015271610372889126,0.004182000156209383,0.09591879353426788,0.01257442795942525,0.0004407025519166569,0.08727929851088272,0.0010451878080657403,5.952308700598016e-05,1.3594962719726845e-08,0.001113787814112428,0.001445420086791628,0.14573976348647472,0.006325184567068857,0.007780767090097052,0.027988971440478013,1.519283524016811e-05,8.028659479492763e-11,7.565815635778354e-08,8.634755043059073e-09,0.019011103095664263
7.994735963630228e-09,0.07782336798655136,0.0,18.91073979936373,0.07366183150256167,0.09629609490131971,0.3379025628773641,0.10012816321147372,0.3009250599057801,0.0,2.290812193391157e-14,8.037261408372817e-06,4.099984077742858e-15,0.0,5.676817654537999e-20,0.033134335227044245,2.6062354312504106e-16,1.0423776401865158e-20,9.545129724853781e-31,7.066351134633931e-08,1.4027550237875421e-15,6.656685867287532e-49,1.053028277521701e-10,7.706410251238474e-34,1.4307706856386216e-14,1.0236514948210083e-29,4.4837281584395825e-07,7.099297708229246e-30,0.0015285590599202427,0.004170442364292881,0.09595534727401071,0.01257419200076345,0.00044002267563652967,0.0873650224100358,0.0010412649100277746,5.9366236180725903e-05,1.3612224835140037e-08,0.0011096810444950298,0.0014461720608236097,0.14587652388068775,0.006305068917386003,0.0077887220413103,0.028047956353596647,1.5189248263050305e-05,8.036678846724479e-11,7.587409629777528e-08,8.691544620111287e-09,0.019078856573534538
