Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526)
3.4802435144008603e-09,0.04692242069448014,0.0,11.248729214728979,0.031075110263184432,0.16408843019510402,0.2429948067398726,0.15195091791773357,0.09063666949314293,0.0,1.5183979648726542e-36,7.799042915845497e-13,2.221839399716752e-31,0.0,1.0027865463208383e-42,0.00037422022151969834,2.5490894388919637e-33,1.8718162173575887e-38,2.4769417408905898e-58,1.6274473118028673e-16,1.9745005416751067e-29,3.588581641881594e-93,1.2003693720783757e-19,3.3727957770336e-64,3.548497284098182e-30,5.158168351811272e-59,1.1379373112740457e-13,3.851740957464234e-55,0.0013815260355756278,0.11820383899472114,0.08285377831959023,0.10748998539888684,0.012684918862293915,0.0423763834001871,0.033008990022602484,1.2653394804799722e-11,1.630508877281601e-15,0.0041084226639253865
3.49644507989759e-09,0.04692242069448014,0.0,11.247383185075186,0.031075110263184432,0.16359909715245752,0.24259394623333327,0.15179692999151126,0.09063683256262407,0.0,1.537866450090529e-36,7.829140388710442e-13,2.252402637087877e-31,0.0,1.0249485025095862e-42,0.0003785097327833644,2.5818625733965864e-33,1.8991372870556565e-38,2.50943791656083e-58,1.641792626933794e-16,1.982594088477204e-29,3.668188144405972e-93,1.2062660308227227e-19,3.417045131965544e-64,3.594103474069122e-30,5.27310545324221e-59,1.1362973439541931e-13,3.9203852522491994e-55,0.001381362966146653,0.11858266038109103,0.08315578956745551,0.10789084590542314,0.01267084775426921,0.042544442434434136,0.03308748209895785,1.2604406948402006e-11,1.6362620565449286e-15,0.0041404422438465595
3.5126466453943196e-09,0.04692242069448014,0.0,11.246040423938624,0.031075110263184432,0.16311140355420467,0.2421938637215829,0.15164314522976827,0.0906369952365732,0.0,1.5574850727980924e-36,7.859188218006554e-13,2.2832338351643476e-31,0.0,1.0474808942432735e-42,0.0003828242657456157,2.614876429634119e-33,1.926787918391075e-38,2.5422003612108493e-58,1.6561946854845564e-16,1.9906794344907755e-29,3.749166228636465e-93,1.2121620680726867e-19,3.461657060617079e-64,3.640044342856324e-30,5.389991666392429e-59,1.1346574563648789e-13,3.989916281530711e-55,0.0013812002922492103,0.11896030211868931,0.08345715250622167,0.10829092841717046,0.012656783903763727,0.04271229104668264,0.03316544242777312,1.2555879295937234e-11,1.6419898098390534e-15,0.0041725337756858575
3.5288482108910493e-09,0.04692242069448014,0.0,11.244700921550395,0.031075110263184432,0.16262534360099432,0.2417945575083401,0.15148956277038947,0.09063715751617132,0.0,1.5772541606615678e-36,7.889186500071093e-13,2.3143339343081746e-31,0.0,1.0703878577943863e-42,0.00038716378538697046,2.6481313168099254e-33,1.9547710935437974e-38,2.5752298898749137e-58,1.670653416432716e-16,1.9987565905196495e-29,3.831532660059267e-93,1.2180574396948616e-19,3.506632672818301e-64,3.686320316072656e-30,5.508849415357565e-59,1.1330177204543883e-13,4.0603410926369274e-55,0.0013810380127023555,0.11933676854938102,0.08375786854821447,0.10869023463041026,0.012642727765168244,0.04287992964465688,0.03324287298945798,1.2507805508466305e-11,1.6476922445234562e-15,0.0042046967365196785
3.545049776387779e-09,0.04692242069448014,0.0,11.243364668187231,0.031075110263184432,0.16214091151538793,0.24139602590182685,0.15133618176910366,0.09063731940259376,0.0,1.5971740389836866e-36,7.919135331031323e-13,2.3457038710889694e-31,0.0,1.0936735508786602e-42,0.0003915282560863651,2.6816275399894394e-33,1.983089806296219e-38,2.608527314647106e-58,1.6851687488932892e-16,2.0068255673221915e-29,3.915304322191068e-93,1.223952101495565e-19,3.551973074395782e-64,3.732931813556421e-30,5.629701252282019e-59,1.1313782060561155e-13,4.131666751913496e-55,0.0013808761263306875,0.1197120639960834,0.08405793910439571,0.10908876623692056,0.012628679776769153,0.04304735863434176,0.03331977575932001,1.2460179362611391e-11,1.6533694678568588e-15,0.004236930605561614
3.5612513418845086e-09,0.04692242069448014,0.0,11.242031654170827,0.031075110263184432,0.16165810154176755,0.24099826721475284,0.15118300139894203,0.09063748089701051,0.0,1.6172450307146782e-36,7.949034806805066e-13,2.37734457827241e-31,0.0,1.1173421525935111e-42,0.0003959176416281221,2.715365400120197e-33,2.0117470619426762e-38,2.642093444688946e-58,1.6997406121181648e-16,2.0148863756122355e-29,4.0004982167170565e-93,1.22984600922466e-19,3.597679367182947e-64,3.7798792494021535e-30,5.752569857154616e-59,1.1297389809479568e-13,4.203900344633339e-55,0.001380714631964267,0.12008619276285926,0.08435736558436539,0.10948652492399158,0.012614640361265757,0.04321457842000681,0.0333961527075706,1.2412994747862012e-11,1.6590215869845342e-15,0.004269234864155575
3.5774529073812382e-09,0.04692242069448014,0.0,11.240701869867193,0.031075110263184432,0.1611769079462436,0.24060127976429962,0.15103002084971387,0.09063764200058613,0.0,1.6374674564632123e-36,7.978885023101265e-13,2.4092569848088437e-31,0.0,1.1413978633560252e-42,0.0004003319052088689,2.749345194053619e-33,2.0407458771988202e-38,2.6759290862369957e-58,1.7143689354955288e-16,2.0229390260599962e-29,4.087131463626572e-93,1.2357391185793376e-19,3.643752649030414e-64,3.8271630319910445e-30,5.8774780376013785e-59,1.1281001109100268e-13,4.277048974906747e-55,0.001380553528438538,0.12045915913500986,0.08465614939636355,0.10988351237444181,0.01260060992627109,0.04338158940422962,0.03347200579933059,1.2366245664078626e-11,1.664648708926093e-15,0.004301608995768942
3.593654472877968e-09,0.04692242069448014,0.0,11.239375305686092,0.031075110263184432,0.16069732501656395,0.240205061872105,0.15087723932749925,0.0906378027144799,0.0,1.6578416345072913e-36,8.008686075420532e-13,2.4414420158219968e-31,0.0,1.1658449048405211e-42,0.0004047710094444079,2.783567214566561e-33,2.070089280110884e-38,2.7100350426104406e-58,1.729053648549295e-16,2.0309835292929482e-29,4.175221301346408e-93,1.2416313852078573e-19,3.6901940138163424e-64,3.874783564021064e-30,6.004448728675494e-59,1.1264616597807516e-13,4.351119765591771e-55,0.0013803928145942547,0.12083096737916706,0.08495429194727111,0.11027973026663347,0.01258658886479685,0.04354839198791852,0.03354733699463619,1.2319926219029048e-11,1.670250940563728e-15,0.004334052485985731
3.6098560383746975e-09,0.04692242069448014,0.0,11.23805195208038,0.031075110263184432,0.1602193470620231,0.23980961186424735,0.150724656054157,0.09063796303984577,0.0,1.6783678808051048e-36,8.038438059055696e-13,2.4739005925978214e-31,0.0,1.1906875199156835e-42,0.00040923491637653836,2.8180317503826252e-33,2.099780309964832e-38,2.7444121142186748e-58,1.7437946809385462e-16,2.039019895896678e-29,4.264785086871812e-93,1.247522764713255e-19,3.737004551456739e-64,3.922741242536742e-30,6.133504992644453e-59,1.1248236895113787e-13,4.4261198582049396e-55,0.0013802324892774047,0.12120162174338535,0.08525179464261069,0.11067518027448814,0.012572577555722853,0.04371498657033478,0.03362214824844471,1.2274030625967922e-11,1.675828388630901e-15,0.004366564822499779
3.6260576038714272e-09,0.04692242069448014,0.0,11.236731799545451,0.031075110263184432,0.15974296841337146,0.23941492807123022,0.15057227026684897,0.09063812297783266,0.0,1.6990465090058228e-36,8.068141069092358e-13,2.506633632573454e-31,0.0,1.2159299725812784e-42,0.00041372358747983123,2.8527390861932502e-33,2.129822017195425e-38,2.7790610985688554e-58,1.7585919624569813e-16,2.0470481364157157e-29,4.355840295895149e-93,1.2534132126570117e-19,3.7841853479157544e-64,3.9710364589586315e-30,6.264670018774409e-59,1.1231862602189506e-13,4.502056412832271e-55,0.00138007255133914,0.12157112645723318,0.08554865888654677,0.11106986406750227,0.012558576364251577,0.04388137354911408,0.033696441510640336,1.222855320125528e-11,1.6813811597014608e-15,0.0043991454951079504
