Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525),H2X(216),H2NX(201),CH2X(34),CHX(35),CX(33),SX(667),NO2X(206),SX(613),SX(725),CH2OX(511),CHOX(665),NO2X(213),SX(672),H2NO3(231),CH2NX(666),CNO2X(792),SX(731),S(698)
2.786553386917497e-12,0.12567964629887188,0.0,31.204931145264993,0.03103630553944011,0.3190991145076202,0.35029509034582773,0.20683087619740806,0.09171891719115426,0.0,1.4913100922130597e-18,5.821008278347072e-06,3.4380571478051744e-16,0.0,2.810888297472233e-26,4.604877484788147e-10,3.3564422949513223e-20,1.836500604768712e-19,2.6024544776427612e-27,4.209167095547879e-10,1.4245840799620787e-11,4.875256047966102e-43,6.904633440890943e-08,3.866306478677734e-28,4.7232195300936524e-17,1.0350518073335896e-32,5.841011506942528e-06,3.757418807153956e-30,0.0002991103133274076,0.0001568025399583886,0.0002537534892911505,0.00015049685501688988,0.00011219778658920283,6.687071642894078e-05,9.941102738182944e-05,4.303295941831621e-05,5.605118565837902e-06,5.411331886315946e-06,1.7154460756558536e-05,5.631202158844611e-07,2.823560713167762e-05,1.6145803848375835e-05,2.8914118250691573e-13,4.590936636338332e-05,3.2435776955032745e-10,2.096082545808722e-08,5.286938771318103e-08,2.1159596256395706e-06,2.7607262691778125e-05,7.564143831442356e-09,2.8620910073911648e-08,4.1644073615695253e-13,5.351346340668919e-11,1.6876005535236632e-08,1.402653459729339e-12,5.535161069046269e-06,1.1231700622819e-10,1.5027150806662673e-17,8.476137716905914e-08,1.0368421890717476e-07
2.796899193898126e-12,0.12567964629887188,0.0,31.204926855605468,0.031036174502020647,0.3190980180637772,0.3502944653927744,0.20683030294432636,0.09171851746363342,0.0,1.5163443994611477e-18,5.842552076890385e-06,3.476351580274456e-16,0.0,2.8633305722760894e-26,4.665158257467904e-10,3.40578485765016e-20,1.8502048855536412e-19,2.6315427748941843e-27,4.240126131078276e-10,1.4298710199091677e-11,4.966417065490745e-43,6.929985322593202e-08,3.909521114032946e-28,4.7758248138584585e-17,1.0543714520960425e-32,5.862681699206552e-06,3.813271947163599e-30,0.00029950956161748293,0.00015720175531125488,0.0002550034278205259,0.00015097630147582202,0.00011251443356436932,6.711058631651567e-05,9.984773996100623e-05,4.314541647993141e-05,5.625914016251925e-06,5.453363183677921e-06,1.7187538196000017e-05,5.690389511933614e-07,2.8422573671644077e-05,1.6265543434158626e-05,2.9391681250937687e-13,4.605979462047882e-05,3.2552136233143543e-10,2.103639513411461e-08,5.2838154377207114e-08,2.1316713691844377e-06,2.7707498056994777e-05,7.649645260710337e-09,2.9404297068671888e-08,4.1975476752536206e-13,5.3864517548286716e-11,1.7001220820261586e-08,1.4069390497337235e-12,5.555696590652702e-06,1.1305769491296912e-10,1.513253074679203e-17,8.573610025548029e-08,1.0490730117760564e-07
2.807245000878755e-12,0.12567964629887188,0.0,31.204922568058194,0.031036043529385188,0.31909692194628453,0.35029384096971816,0.20682973030728277,0.09171812036931697,0.0,1.5417031179995288e-18,5.8640953764187075e-06,3.514928341161385e-16,0.0,2.9165517207198043e-26,4.726023599210193e-10,3.4556676120603106e-20,1.8639604384537337e-19,2.660846976797153e-27,4.271196005937541e-10,1.435157945210294e-11,5.058936570171409e-43,6.955335349201544e-08,3.953056504352839e-28,4.828817786916478e-17,1.0739782305844631e-32,5.884351661744955e-06,3.869743542278974e-30,0.0002999061780705537,0.00015759992046941043,0.0002562552585182473,0.00015145521829600437,0.00011283046528401562,6.73503955049386e-05,0.00010028470442760474,4.325766678026476e-05,5.646709360950448e-06,5.495557304867801e-06,1.722047630692657e-05,5.749910558890102e-07,2.8610028084700332e-05,1.6385708985220704e-05,2.98754840768827e-13,4.6210043557122244e-05,3.266846607741139e-10,2.1111945854046403e-08,5.280739082507586e-08,2.1474389164838503e-06,2.780770237063988e-05,7.735398480895356e-09,3.0204808723688224e-08,4.2308378310130893e-13,5.421650119616167e-11,1.7126896479150946e-08,1.4112289690237956e-12,5.576232005087461e-06,1.138001530851221e-10,1.5238333344822744e-17,8.671447182773546e-08,1.0614019747178243e-07
2.8175908078593843e-12,0.12567964629887188,0.0,31.204918282606652,0.031035912621296104,0.31909582615429705,0.35029321707607414,0.20682915828508236,0.09171772589085428,0.0,1.5673891845888007e-18,5.885638176991609e-06,3.5537884537399746e-16,0.0,2.9705603657240244e-26,4.787477228275652e-10,3.5060944532246675e-20,1.877767267245156e-19,2.6903678810556998e-27,4.3023766920777363e-10,1.4404448558811893e-11,5.152829686460835e-43,6.980683523053097e-08,3.996913834722895e-28,4.882199851219756e-17,1.0938753253359385e-32,5.90602139374464e-06,3.926838105832681e-30,0.00030030018003975435,0.00015799703821030536,0.00025750897800005246,0.0001519336060621728,0.00011314588294221172,6.759014401017769e-05,0.00010072191849698989,4.336971138910467e-05,5.667504599985972e-06,5.537914133522425e-06,1.7253275775873907e-05,5.809764573244153e-07,2.879796947699975e-05,1.650630020623787e-05,3.036558712109131e-13,4.636011302700318e-05,3.278476649559542e-10,2.118747762391468e-08,5.2777095077147507e-08,2.1632623456421994e-06,2.7907875435014477e-05,7.821394026181142e-09,3.1022703106007994e-08,4.2642780684419036e-13,5.4569416059272975e-11,1.725303248509934e-08,1.4155233332139549e-12,5.596767312402824e-06,1.1454438082642886e-10,1.5344560501027937e-17,8.76964005801775e-08,1.0738294836330919e-07
2.8279366148400134e-12,0.12567964629887188,0.0,31.204913999234435,0.03103578177751704,0.3190947306869717,0.350292593711258,0.2068285868765327,0.09171733401100932,0.0,1.5934055507036427e-18,5.907180478668627e-06,3.5929329411479893e-16,0.0,3.025365193236004e-26,4.849522874203163e-10,3.557069289699624e-20,1.8916253757049982e-19,2.7201062853678775e-27,4.3336681614583034e-10,1.4457317519375553e-11,5.248111650610657e-43,7.006029846480919e-08,4.041094290219642e-28,4.935972408489219e-17,1.114065942203736e-32,5.927690894396905e-06,3.984560167053569e-30,0.00030069158476380195,0.00015839311130410878,0.00025876458289184046,0.00015241146535841757,0.00011346068773071012,6.782983184819528e-05,0.00010115937989089938,4.34815513705042e-05,5.688299733410913e-06,5.580433551767014e-06,1.7285937286246844e-05,5.869950814672815e-07,2.8986396959316448e-05,1.662731680065464e-05,3.0862051159436597e-13,4.651000288593495e-05,3.290103749545186e-10,2.1262990449720864e-08,5.274726506149352e-08,2.1791417355747588e-06,2.8008017051937702e-05,7.90762239438278e-09,3.185823953718911e-08,4.297868626936559e-13,5.492326386877822e-11,1.737962881130367e-08,1.4198222549481663e-12,5.617302512650976e-06,1.1529037825985329e-10,1.5451214102532824e-17,8.868179449254143e-08,1.0863559440391428e-07
2.8382824218206425e-12,0.12567964629887188,0.0,31.204909717925243,0.03103565099781286,0.3190936355434679,0.35029197087468594,0.20682801608044343,0.09171694471265955,0.0,1.619755182543108e-18,5.928722281509256e-06,3.6323628263871167e-16,0.0,3.080974952453542e-26,4.912164277803065e-10,3.6085960435499745e-20,1.905534767611262e-19,2.7500629874257615e-27,4.3650703860460563e-10,1.451018633395062e-11,5.344797811082508e-43,7.031374321814006e-08,4.085599055910657e-28,4.990136860214738e-17,1.1345533104407505e-32,5.949360162897432e-06,4.042914271061279e-30,0.00030108040936774886,0.0001587881425137281,0.0002600220698296313,0.00015288879676818353,0.00011377488083895009,6.806945903494802e-05,0.00010159708633746221,4.359318778280806e-05,5.709094761277588e-06,5.623115440220751e-06,1.731846151833311e-05,5.930468529418896e-07,2.917530964702063e-05,1.6748758470691153e-05,3.1364937352258936e-13,4.6659712991843085e-05,3.30172790847342e-10,2.1338484337435252e-08,5.271789861472228e-08,2.195077165970503e-06,2.810812702274915e-05,7.99407405159065e-09,3.2711678550398414e-08,4.331609745690659e-13,5.5278046377213325e-11,1.7506685430963056e-08,1.4241258438574345e-12,5.637837605884019e-06,1.1603814554760079e-10,1.555829602224027e-17,8.967056086629914e-08,1.0989817612292795e-07
2.8486282288012717e-12,0.12567964629887188,0.0,31.204905438662895,0.031035520281949676,0.3190925407229472,0.350291348565775,0.2068274458956267,0.09171655797879551,0.0,1.6464410610408674e-18,5.950263585572952e-06,3.6720791323231475e-16,0.0,3.137398456048878e-26,4.975405191150391e-10,3.660678650343811e-20,1.9194954467428528e-19,2.7802387849154628e-27,4.396583337815187e-10,1.4563055002693502e-11,5.44290362895909e-43,7.056716951377297e-08,4.130429316854586e-28,5.0446946076551834e-17,1.1553406827829388e-32,5.97102919844625e-06,4.1019049788607825e-30,0.00030146667086373334,0.000159182134594828,0.00026128143545952736,0.00015336560087427127,0.00011408846345406234,6.830902558638674e-05,0.00010203503557121811,4.3704621678679564e-05,5.729889683638232e-06,5.6659596780023735e-06,1.735084914931709e-05,5.991316950713219e-07,2.936470666005389e-05,1.687062491734996e-05,3.1874307245524177e-13,4.680924320475393e-05,3.313349127119301e-10,2.1413959292996547e-08,5.26889934828777e-08,2.211068717254539e-06,2.8208205148311396e-05,8.08073943681582e-09,3.358328184717572e-08,4.3655016636896797e-13,5.5633765357671955e-11,1.7634202317278858e-08,1.4284342065193761e-12,5.658372592153965e-06,1.1678768288916786e-10,1.5665808117769046e-17,9.066260636133275e-08,1.1117073402676147e-07
2.858974035781901e-12,0.12567964629887188,0.0,31.204901161431312,0.031035389629694835,0.3190914462245734,0.35029072678394274,0.20682687632089694,0.09171617379251973,0.0,1.6734661818754195e-18,5.9718043909191334e-06,3.712082881686151e-16,0.0,3.1946445803925253e-26,5.03924937757803e-10,3.7133210591474136e-20,1.933507416879568e-19,2.8106344755171317e-27,4.4282069887472525e-10,1.4615923525760294e-11,5.5424446783552725e-43,7.082057737491691e-08,4.17558625810115e-28,5.0996470518384824e-17,1.1764313355327333e-32,5.992698000247729e-06,4.161536867336908e-30,0.00030185038615172414,0.0001595750902958491,0.0002625426764376733,0.0001538418782588377,0.00011440143676087336,6.854853151845656e-05,0.00010247322533313642,4.381585410512728e-05,5.750684500544989e-06,5.708966142735803e-06,1.7383100853293472e-05,6.052495299199852e-07,2.9554587122904692e-05,1.6992915840422914e-05,3.239022277198113e-13,4.695859338678319e-05,3.324967406257602e-10,2.1489415322311443e-08,5.266054732240973e-08,2.227116470550173e-06,2.8308251229012366e-05,8.167608966632165e-09,3.447331225389723e-08,4.3995446197059033e-13,5.5990422602985143e-11,1.776217944345469e-08,1.432747446419948e-12,5.678907471512736e-06,1.1753899051938574e-10,1.57737522304056e-17,9.16578370328978e-08,1.124533085983877e-07
2.86931984276253e-12,0.12567964629887188,0.0,31.204896886214527,0.03103525904081691,0.31909035204751235,0.3502901055286073,0.2068263073550708,0.09171579213704627,0.0,1.7008335554802568e-18,5.993344697607183e-06,3.7523750970706603e-16,0.0,3.2527222657770296e-26,5.103700611669909e-10,3.766527232520158e-20,1.9475706818020918e-19,2.841250856904971e-27,4.4599413108311807e-10,1.4668791903306793e-11,5.643436646829161e-43,7.107396682474059e-08,4.221071064691165e-28,5.154995593561683e-17,1.197828568642439e-32,6.014366567510536e-06,4.221814529248888e-30,0.000302231572020259,0.0001599670123580272,0.0002638057894302173,0.00015431762950339657,0.00011471380194191004,6.878797684709684e-05,0.0001029116533706362,4.392688610353182e-05,5.771479212049913e-06,5.752134710555777e-06,1.7415217301280944e-05,6.114002783364103e-07,2.9744950164584025e-05,1.7115630938497945e-05,3.291274625231827e-13,4.7107763402124604e-05,3.3365827466628213e-10,2.156485243125418e-08,5.263255770121541e-08,2.2432205076406503e-06,2.840826506476786e-05,8.254673039810517e-09,3.538203367797279e-08,4.4337388522935194e-13,5.63480199249016e-11,1.78906167826964e-08,1.437065663917358e-12,5.699442244012165e-06,1.18292068706459e-10,1.5882130184070696e-17,9.265615836884657e-08,1.1374594029682274e-07
2.879665649743159e-12,0.12567964629887188,0.0,31.204892612996694,0.031035128515085702,0.31908925819093237,0.3502894847991877,0.20682573899696727,0.0917154129956999,0.0,1.7285462070539967e-18,6.014884505696443e-06,3.792956800935841e-16,0.0,3.3116405166406904e-26,5.16876267925414e-10,3.8203011465094093e-20,1.9616852452919816e-19,2.87208872674724e-27,4.4917862760632634e-10,1.47216601354885e-11,5.745895335793168e-43,7.132733788637251e-08,4.26688492165654e-28,5.2107416333910014e-17,1.2195357057976142e-32,6.036034899447628e-06,4.2827425732249035e-30,0.00030261024514718096,0.0001603579035154119,0.00026507077111327226,0.00015479285518881942,0.00011502556017740397,6.902736158824123e-05,0.00010335031743760617,4.403771870967231e-05,5.792273818204968e-06,5.795465256113513e-06,1.7447199161235705e-05,6.175838599962847e-07,2.993579491860107e-05,1.723876990896591e-05,3.344194039631981e-13,4.725675311703863e-05,3.348195149109166e-10,2.1640270625666208e-08,5.26050220997489e-08,2.259380910930591e-06,2.850824645502398e-05,8.341922041940225e-09,3.6309711063810945e-08,4.4680845997838975e-13,5.670655915326959e-11,1.801951430821205e-08,1.4413889562082041e-12,5.719976909703998e-06,1.190469177500012e-10,1.5990943784301766e-17,9.365747532708221e-08,1.1504866955660964e-07
2.8900114567237882e-12,0.12567964629887188,0.0,31.204888341762068,0.03103499805227223,0.31908816465400386,0.3502888645951034,0.20682517124540756,0.09171503635191525,0.0,1.7566071765704726e-18,6.036423815246218e-06,3.8338290156056754e-16,0.0,3.371408401791208e-26,5.234439377396168e-10,3.8746467906454283e-20,1.9758511111316613e-19,2.9031488827062638e-27,4.5237418564471547e-10,1.4774528222460598e-11,5.849836660925083e-43,7.158069058290114e-08,4.313029014020308e-28,5.26688657166189e-17,1.241556094500431e-32,6.057702995276219e-06,4.344325623756625e-30,0.0003029864221003672,0.00016074776649488523,0.0002663376181728765,0.00015526755589533628,0.00011533671264529601,6.926668575781769e-05,0.00010378921529442502,4.414835295375293e-05,5.8130683190620336e-06,5.838957652582386e-06,1.747904709806498e-05,6.238001934456886e-07,3.0127120522939042e-05,1.7362332448027356e-05,3.3977868304020993e-13,4.740556239984123e-05,3.359804614370565e-10,2.171566991135582e-08,5.2577937912199075e-08,2.275597763407158e-06,2.860819519875968e-05,8.429346350033485e-09,3.725661034858645e-08,4.5025821002810344e-13,5.706604213522034e-11,1.814887199321197e-08,1.4457174172958772e-12,5.7405114686398944e-06,1.1980353797906817e-10,1.6100194817252154e-17,9.466169237321398e-08,1.1636153678730294e-07
