Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525)
1.3782681934306241e-21,0.08478463093452131,0.0,21.05202386104104,0.03107511026317238,0.31940968187623775,0.35048479213946887,0.2070122201801283,0.09201819554044566,0.0,3.467746152274146e-54,8.25860228296787e-18,1.0484196091032768e-51,0.0,1.6870752645586162e-88,2.8497691273067633e-37,5.376198979209761e-58,5.5420823534749474e-45,1.857894695127072e-65,4.0053970703670343e-32,1.4583939257299693e-26,1.1739230894801146e-106,1.2485535023641445e-22,3.865851198232962e-68,1.013082935463826e-58,2.150712583358287e-97,8.258602297533585e-18,2.7017232514066116e-77,2.6032558706309176e-13,8.89808261966688e-14,5.6585794566214124e-14,7.068982398396585e-14,5.855169980642495e-14,2.810481590869333e-14,2.847386438364485e-14,7.114273516317661e-18,1.2485535029091853e-22,1.773482397332547e-25,1.2055926358105605e-14,2.388428124503618e-36,2.4689674462550916e-27,1.7734823973275976e-25
2.756537555234663e-21,0.08478463093452131,0.0,21.052023861040436,0.031075110263160323,0.3194096818761203,0.35048479213939815,0.20701222018004165,0.09201819554018532,0.0,2.77419966548987e-53,1.6517211566843352e-17,8.387365168156751e-51,0.0,5.400554423961455e-87,1.1689809333155744e-36,4.3009704465595575e-57,2.2168343508119425e-44,1.4863172260621135e-64,1.6021598467722568e-31,2.916789087756022e-26,3.756559370705845e-105,2.4971080632259302e-22,3.0926840172357136e-67,8.107708624645464e-58,6.884828361739921e-96,1.6517211595938345e-17,4.3227621099943763e-76,5.206513945974912e-13,1.7796172782102568e-13,1.1317163710255997e-13,1.413797078914551e-13,1.1710344924104018e-13,5.620965564213667e-14,5.694775290557156e-14,1.4228553413252875e-17,2.4971080654065546e-22,7.093934099565499e-25,2.4111862935583865e-14,1.9107439168960362e-35,9.875876272022127e-27,7.0939340995261e-25
5.5130762788427405e-21,0.08478463093452131,0.0,21.052023861039228,0.03107511026313621,0.31940968187588537,0.35048479213925676,0.20701222017986834,0.09201819553966466,0.0,2.219360829859715e-52,3.3034430134587647e-17,6.70989545297492e-50,0.0,1.7293989851247436e-85,4.90850575492257e-36,3.440790550092989e-56,8.867340222071651e-44,1.1890543688332241e-63,6.408641424337866e-31,5.833579411805684e-26,1.202099876124421e-103,4.99421718520398e-22,2.4741484372469574e-66,6.491031913984765e-57,2.204771879106354e-94,3.3034430192631853e-17,6.916423302183414e-75,1.0413030090374471e-12,3.5592353106266897e-13,2.2634332218040753e-13,2.8275947570333243e-13,2.342069480900422e-13,1.1241933510896985e-13,1.1389552995142738e-13,2.845711425642789e-17,4.9942171939273995e-22,2.8375745418937547e-24,4.8223736088826146e-14,1.5285957004407488e-34,3.950351931062643e-26,2.8375745418618282e-24
1.1026153726058896e-20,0.08478463093452131,0.0,21.052023861036812,0.031075110263087985,0.3194096818754155,0.350484792138974,0.2070122201795217,0.09201819553862332,0.0,1.7754891028735246e-51,6.60688672700496e-17,5.36791769026522e-49,0.0,5.541889804820674e-84,2.1494670718278547e-35,2.7526536173216126e-55,3.5469366525768525e-43,9.512437302585623e-63,2.5634569771828787e-30,1.1667160059895243e-25,3.846721007588109e-102,9.988435430177993e-22,1.979319239177944e-65,5.200606669524798e-56,7.065675190658268e-93,6.606886738555483e-17,1.1066280424431955e-73,2.082606235401989e-12,7.118471375176734e-13,4.526866923567263e-13,5.655190113146826e-13,4.684139457071329e-13,2.2483869404242214e-13,2.2779108405114874e-13,5.691424013999634e-17,9.988435465073513e-22,1.1350299971870941e-23,9.644748238845376e-14,1.2228767871327809e-33,1.5801411567583232e-25,1.1350299971618539e-23
2.2052308620491205e-20,0.08478463093452131,0.0,21.05202386103198,0.031075110262991538,0.3194096818744759,0.3504847921384084,0.20701222017882845,0.09201819553654066,0.0,1.4203914578907725e-50,1.3213774154086687e-16,4.294334684174608e-48,0.0,1.7784042923537072e-82,1.0086384751681706e-34,2.2021561649305634e-54,1.4187747737670567e-42,7.609950782812828e-62,1.0253828723610305e-29,2.3334321356035285e-25,1.23095094706002e-100,1.9976871924197674e-21,1.583455587089595e-64,4.1729340031613456e-55,2.2676743563919487e-91,1.3213774176954463e-16,1.7706051191779277e-72,4.165212678069592e-12,1.4236943503145549e-12,9.053734327918588e-13,1.1310380824877654e-12,9.368279406176615e-13,4.496774119084706e-13,4.555821922826304e-13,1.1382850869600668e-16,1.9976872063783438e-21,4.540120349734038e-23,1.9289497496028124e-13,9.783015204341436e-33,6.320566194759654e-25,4.540120349531475e-23
4.410461840935582e-20,0.08478463093452131,0.0,21.05202386102232,0.031075110262798643,0.3194096818725966,0.35048479213727723,0.20701222017744195,0.09201819553237534,0.0,1.136313236545614e-49,2.6427549008207496e-16,3.4354679614178773e-47,0.0,5.722889608346335e-81,5.2253667339707885e-34,1.761777920652742e-53,5.675099320434222e-42,6.087961002509936e-61,4.101531652406498e-29,4.666864394815907e-25,3.939043389966757e-99,3.9953744928523644e-21,1.2667645479626517e-63,3.358264609075379e-54,7.299169401734922e-90,2.6427549053009954e-16,2.832968391681976e-71,8.330425523158883e-12,2.8473887754558057e-12,1.8107469139921031e-12,2.2620762246354596e-12,1.873655929144106e-12,8.99354847637143e-13,9.111644088737489e-13,2.2765711296352083e-16,3.99537454868741e-21,1.8160482121928866e-22,3.8578995999422506e-13,7.826412526645686e-32,2.5282274306969616e-24,1.816048212030773e-22
8.820923798708506e-20,0.08478463093452131,0.0,21.052023861003,0.031075110262412855,0.31940968186883806,0.3504847921350149,0.20701222017466894,0.09201819552404468,0.0,9.090506173236269e-49,5.285509871627853e-16,2.7483744568347124e-46,0.0,1.8518018287928268e-79,3.0427968937103248e-33,1.4095070204518677e-52,2.270039773161575e-41,4.870368952450929e-60,1.6406126935443663e-28,9.333728913178152e-25,1.2604939422655063e-97,7.990749100232205e-21,1.0134116696738408e-62,2.7184793531229346e-53,2.3630052831049286e-88,5.285509880215107e-16,4.532749587431025e-70,1.6660851052353787e-11,5.6947776239282635e-12,3.6214938777125094e-12,4.5241525081369625e-12,3.7473119010185445e-12,1.7987097190807902e-12,1.8223288425686083e-12,4.553145901205187e-16,7.99074932357386e-21,7.264192994186645e-22,7.715799296232686e-13,6.261130167002315e-31,1.0112916742356579e-23,7.264192992889669e-22
1.3231385756481431e-19,0.08478463093452131,0.0,21.05202386098368,0.031075110262027066,0.3194096818650795,0.3504847921327525,0.20701222017189594,0.09201819551571402,0.0,2.698744043871263e-48,7.928264842417897e-16,8.159236745053045e-46,0.0,8.705255339411493e-79,8.073540589043359e-33,4.030470527065471e-52,4.823834545968714e-41,1.4458907954456419e-59,3.486301994133335e-28,1.4000593431477884e-24,6.030429571144533e-97,1.1986123714126691e-20,3.008565920742464e-62,7.83389956612985e-53,1.1110751552652415e-87,7.928264854832231e-16,1.7281107936484797e-69,2.4991276420565024e-11,8.542166470590676e-12,5.4322408427528335e-12,6.786228790844583e-12,5.620967867714533e-12,2.698064590510739e-12,2.7334932767760902e-12,6.82972335899481e-16,1.1986124188728633e-20,1.5436410204423953e-21,1.1573698988134677e-12,1.790291917850268e-30,2.148995821796686e-23,1.5436410200721434e-21
1.7641847714254357e-19,0.08478463093452131,0.0,21.05202386096436,0.031075110261641278,0.31940968186132096,0.35048479213049016,0.20701222016912293,0.09201819550738337,0.0,5.880421260647368e-48,1.0571019813190882e-15,1.7778547530108976e-45,0.0,2.824415444897048e-78,1.6448336668279887e-32,8.501804863424354e-52,8.228894250369108e-41,3.1505199588604717e-59,5.947221066998186e-28,1.8667457949715098e-24,1.995864171396147e-96,1.5981498334535827e-20,6.555506827142605e-62,1.6665209588836119e-52,3.605766718821462e-87,1.057101982915237e-15,4.649609589915522e-69,3.332170162779259e-11,1.1389555315443044e-11,7.2429878091130754e-12,9.04830507275832e-12,7.494623829232072e-12,3.59741946192699e-12,3.644657711496194e-12,9.106303503004043e-16,1.5981499144151724e-20,2.633269984364237e-21,1.5431598675648226e-12,3.776244167207329e-30,3.665935633226074e-23,2.633269983583205e-21
2.64627716298002e-19,0.08478463093452131,0.0,21.05202386092572,0.031075110260869697,0.31940968185380386,0.3504847921259655,0.20701222016357693,0.09201819549072206,0.0,1.706904896124642e-47,1.5856529754696816e-15,5.1605639321357695e-45,0.0,1.58093570937812e-77,4.4312444237395127e-32,2.3223346794700576e-51,1.7036880334992342e-40,9.144987586265404e-59,1.2312965821101398e-27,2.800118698604282e-24,1.1645229942805092e-95,2.3972247590643568e-20,1.9028614114090797e-61,4.637651019043836e-52,2.0197356943756235e-86,1.5856529777095632e-15,1.8806141223426994e-68,4.998255166442892e-11,1.708433300089972e-11,1.0864481744931322e-11,1.3572457634722591e-11,1.1241935740113643e-11,5.396129204727343e-12,5.466986582139494e-12,1.3659470095415357e-15,2.3972249266852127e-20,5.451851033519727e-21,2.3147398040375915e-12,1.03140940230431e-29,7.589859528753735e-23,5.451851031384737e-21
