Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525),H2X(216),H2NX(201),CH2X(34),CHX(35),CX(33)
3.5313667586370196e-12,0.045450764422602166,0.0,11.284279473812184,0.03104169267554659,0.3191627484190117,0.35035221454257476,0.20685000109372093,0.09159846835103902,0.0,1.3534823201909286e-34,2.5887715637306846e-16,1.6994256232198684e-43,0.0,1.1557381573747655e-61,6.804609153915304e-13,8.24352150173274e-46,5.72721132089904e-46,2.0285477368492771e-69,4.336036347680285e-23,1.7848238785961343e-33,1.6462483326675549e-111,3.632093815009215e-25,1.6993354952035054e-75,1.498301036469357e-42,1.6543605442647928e-78,2.5812097849446085e-16,5.789371025449985e-69,0.00042636495553210373,0.00016684862748478534,0.00012375856663156333,0.00013257759696501005,0.00010952199195000325,5.2697094512078814e-05,5.338184052250363e-05,6.568692612155332e-06,2.7667979414274674e-21,4.154222959123443e-09,2.2605293219959785e-05,5.373844537378264e-12,1.3492376667758525e-05,4.408463650523952e-09,3.565011460935708e-16,3.750671569360649e-05,3.607759906442514e-21,1.473868506285018e-14,1.7144790974801936e-14
3.5437797705346775e-12,0.045450764422602166,0.0,11.284275664929336,0.0310415755171378,0.31916188082747915,0.3503517486379292,0.20684943209216586,0.0915972129711585,0.0,1.3717345249946004e-34,2.597869557416828e-16,1.7234899959379354e-43,0.0,1.1803176421270183e-61,6.877350746247641e-13,8.359956736322917e-46,5.7674999600247e-46,2.0500102620257261e-69,4.3665678428056284e-23,1.7910951988088313e-33,1.6753810620150188e-111,3.6577446656942103e-25,1.7173148753147306e-75,1.5194637165036432e-42,1.6895433730625849e-78,2.5902533248943606e-16,5.871189559537504e-69,0.0004276523361906323,0.00016743484957513005,0.00012419859623991487,0.00013304350161054556,0.00010990585069274255,5.288223732418264e-05,5.356936349732831e-05,6.568954841411527e-06,2.7862571187850487e-21,4.183471267555141e-09,2.268473085825198e-05,5.430687791222116e-12,1.355393087981294e-05,4.439484225772689e-09,3.615842804642358e-16,3.763822260576802e-05,3.6204574752387685e-21,1.487039414717352e-14,1.723757679148179e-14
3.5561927824323353e-12,0.045450764422602166,0.0,11.284271857454629,0.031041458361682626,0.3191610132387164,0.3503512827340852,0.2068488630990652,0.09159595898097389,0.0,1.3901532685013902e-34,2.6069675390043e-16,1.7478089806825091e-43,0.0,1.2053311305890153e-61,6.95060934293965e-13,8.477620474652283e-46,5.807929521586097e-46,2.0716236117534474e-69,4.397206417168523e-23,1.797366501770528e-33,1.704924741611928e-111,3.6834853002457073e-25,1.7354206027179453e-75,1.5408496831185326e-42,1.7253474049444192e-78,2.599296655398278e-16,5.953872188734935e-69,0.0004289383300098551,0.00016802106983102624,0.0001246386225948994,0.00013350940545452548,0.00011028970161533918,5.306737950203684e-05,5.3756885649903314e-05,6.56921032956508e-06,2.8057843003112245e-21,4.2128221238164354e-09,2.276416846631888e-05,5.487930313329843e-12,1.361548876067175e-05,4.47061337268179e-09,3.667216443871338e-16,3.776972626990524e-05,3.633155315293277e-21,1.5002769699838576e-14,1.7330483406308425e-14
3.5686057943299932e-12,0.045450764422602166,0.0,11.284268051386618,0.031041341209189457,0.3191601456527232,0.3503508168310427,0.20684829411441868,0.09159470637898814,0.0,1.4087393168704143e-34,2.61606550849312e-16,1.7723843638077308e-43,0.0,1.2307847299286677e-61,7.02438676902308e-13,8.596521317221493e-46,5.8485000028512466e-46,2.093388313710049e-69,4.4279520704021613e-23,1.803637787481482e-33,1.7348837031788538e-111,3.7093157099560224e-25,1.753653119454156e-75,1.5624604994964646e-42,1.7617813807529123e-78,2.6083397764590566e-16,6.037424974134702e-69,0.0004302229384221864,0.00016860728825255367,0.00012507864565696969,0.00013397530849700934,0.00011067354471799279,5.325252104569591e-05,5.394440698027822e-05,6.569459236018774e-06,2.8253794840599737e-21,4.242275527342302e-09,2.2843606045425024e-05,5.545573498576077e-12,1.3677050215642757e-05,4.50185108928099e-09,3.719136224266623e-16,3.7901226676397936e-05,3.645853402027724e-21,1.5135812261278708e-14,1.742351027564814e-14
3.581018806227651e-12,0.045450764422602166,0.0,11.284264246723852,0.031041224059666663,0.3191592780694997,0.3503503509288016,0.206847725138226,0.0915934551637057,0.0,1.4274934361377732e-34,2.625163465883309e-16,1.797217937841718e-43,0.0,1.2566846115017247e-61,7.098684849422446e-13,8.716667894384821e-46,5.889211401091826e-46,2.1153048955686998e-69,4.458804802139764e-23,1.809909055941948e-33,1.765262308757135e-111,3.7352358861100545e-25,1.7720128675606524e-75,1.584297734245908e-42,1.798854133189666e-78,2.6173826880794356e-16,6.121853997991985e-69,0.00043150616286001515,0.0001691935048397921,0.00012551866538728872,0.00013444121073805682,0.00011105738000090294,5.343766195521428e-05,5.413192748850251e-05,6.569701716417378e-06,2.8450426680853113e-21,4.271831477567775e-09,2.2923043596834893e-05,5.603618741809477e-12,1.3738615152267649e-05,4.5331973735996416e-09,3.7716060050038634e-16,3.8032723815626614e-05,3.658551645073759e-21,1.5269522481496057e-14,1.751665674629906e-14
3.593431818125309e-12,0.045450764422602166,0.0,11.284260443464886,0.031041106913122632,0.3191584104890454,0.3503498850273619,0.20684715617048696,0.09159220533363253,0.0,1.4464163922180282e-34,2.6342614111748885e-16,1.822311501485696e-43,0.0,1.283037011299255e-61,7.17350540895521e-13,8.838068866348606e-46,5.93006371358318e-46,2.1373738849983462e-69,4.4897646120145834e-23,1.8161803071521833e-33,1.7960649508144485e-111,3.7612458199854373e-25,1.7905002890711868e-75,1.6063629614010814e-42,1.836574587455528e-78,2.6264253902622063e-16,6.207165363724526e-69,0.00043278800475566936,0.00016977971959282112,0.00012595868174771312,0.00013490711217772745,0.00011144120746426921,5.362280223064633e-05,5.4319447174625684e-05,6.569937922735747e-06,2.864773850441285e-21,4.301489973927947e-09,2.3002481121812862e-05,5.662067437852736e-12,1.3800183480269542e-05,4.564652223666721e-09,3.8246296587894583e-16,3.81642176779724e-05,3.6712501677093894e-21,1.5403900836214585e-14,1.760992233933777e-14
3.605844830022967e-12,0.045450764422602166,0.0,11.284256641608268,0.03104098976956574,0.31915754291136034,0.3503494191267236,0.2068465872112013,0.09159095688727623,0.0,1.465508950905668e-34,2.6433593443678784e-16,1.847666859613122e-43,0.0,1.3098482303966752e-61,7.248850272331964e-13,8.960732923169753e-46,5.971056937604309e-46,2.1595958096634246e-69,4.5208314996599065e-23,1.8224515411124435e-33,1.8272960523503905e-111,3.787345502852679e-25,1.8091158260157325e-75,1.6286577604216793e-42,1.8749517618930606e-78,2.635467883010203e-16,6.293365195912405e-69,0.0004340684655413815,0.00017036593251172028,0.00012639869470077673,0.00013537301281608063,0.00011182502710829103,5.380794187204639e-05,5.450696603869713e-05,6.5701680033649e-06,2.884573029181981e-21,4.3312510158579794e-09,2.308191862162325e-05,5.7209209815025686e-12,1.3861755111501803e-05,4.596215637510824e-09,3.8782110718596276e-16,3.829570825381714e-05,3.683948963351171e-21,1.553894805450324e-14,1.7703306322496496e-14
3.6182578419206248e-12,0.045450764422602166,0.0,11.284252841152556,0.031040872629004363,0.3191566753364444,0.35034895322688653,0.20684601826036877,0.09158970982314585,0.0,1.4847718778765677e-34,2.6524572654623e-16,1.8732858232688157e-43,0.0,1.3371246354043238e-61,7.324721264156611e-13,9.084668784754188e-46,6.012191070437864e-46,2.181971197224129e-69,4.5520054647090466e-23,1.8287227578229858e-33,1.8589600670020355e-111,3.8135349259753055e-25,1.8278599204207097e-75,1.651183716192593e-42,1.9139947686312185e-78,2.6445101663263033e-16,6.38045964029783e-69,0.0004353475466492545,0.00017095214359656906,0.00012683870420967486,0.0001358389126531758,0.00011220883893316788,5.399308087946874e-05,5.469448408076625e-05,6.570392103196085e-06,2.904440202361521e-21,4.3611146027930865e-09,2.3161356097530268e-05,5.780180767529712e-12,1.3923329959898011e-05,4.6278876131601705e-09,3.9323541439794825e-16,3.842719553354334e-05,3.696647891806134e-21,1.567466447209205e-14,1.7796808356846993e-14
3.64308386571594e-12,0.045450764422602166,0.0,11.284245244438067,0.031040638356901667,0.3191549401949189,0.3503480214296159,0.20684488038406204,0.09158721983560703,0.0,1.5238118987872676e-34,2.670653071355521e-16,1.9253218421958626e-43,0.0,1.393098799984392e-61,7.478048931032698e-13,9.33639095107269e-46,6.0948820516910785e-46,2.2271844716508274e-69,4.6146746255522075e-23,1.8412651394959402e-33,1.9236048040215906e-111,3.866182958006716e-25,1.8657355496989033e-75,1.6969354646492595e-42,1.9941152003462788e-78,2.6625941046745503e-16,6.557357054439517e-69,0.00043790157555905184,0.000172124560264433,0.0001277187127509694,0.0001367707099238292,0.000112976439126284,5.436335699259729e-05,5.5069517699094664e-05,6.570822923016707e-06,2.944378524253799e-21,4.421149409419715e-09,2.3320230982690755e-05,5.899924645668946e-12,1.4046488974028525e-05,4.691557241985585e-09,4.042340932067616e-16,3.86901601661735e-05,3.722046579115062e-21,1.5948108197262868e-14,1.7984163274239313e-14
3.665427287131724e-12,0.045450764422602166,0.0,11.284238412171627,0.031040427522337943,0.3191533785770146,0.350347182814812,0.20684385632429317,0.09158498355910974,0.0,1.5595382560186008e-34,2.687029255282524e-16,1.97307408486261e-43,0.0,1.4451317115642805e-61,7.617861492760617e-13,9.567378562233311e-46,6.1697858157715914e-46,2.2684065551355088e-69,4.671443071354184e-23,1.8525532240101328e-33,1.9833109400990417e-111,3.9138730107259117e-25,1.900267716898061e-75,1.738918604979449e-42,2.0685940913795666e-78,2.6788689329606465e-16,6.719686388242856e-69,0.00044019549744271386,0.00017317972899385403,0.00012851070830285883,0.00013760932472770942,0.00011366725256061216,5.4696603326752896e-05,5.540704514483651e-05,6.571191591280731e-06,2.98055553541739e-21,4.475531433636413e-09,2.346321831026681e-05,6.009097476732614e-12,1.4157342266917392e-05,4.749231169513741e-09,4.1432893147037477e-16,3.8926816966346305e-05,3.744906205951482e-21,1.6196501925377972e-14,1.8153180689037536e-14
3.6877707085475074e-12,0.045450764422602166,0.0,11.28423158442167,0.03104021669760996,0.3191518169680796,0.3503463442026033,0.20684283229190845,0.09158275173790875,0.0,1.5958285090100068e-34,2.703405400010489e-16,2.021708856783586e-43,0.0,1.498773882302249e-61,7.7594070820403e-13,9.802623796911014e-46,6.245146082310467e-46,2.310134064374233e-69,4.7285584422432964e-23,1.8638412526392227e-33,2.044490389102058e-111,3.961853685697936e-25,1.935223284497093e-75,1.7816755892431373e-42,2.1453763460977575e-78,2.695143082734104e-16,6.885010811354403e-69,0.0004424849714329134,0.0001742348917821844,0.00012930269215187838,0.00013844793693643464,0.0001143580406640095,5.502984760766282e-05,5.5744569928056314e-05,6.571542983629415e-06,3.0169528183022145e-21,4.530245694888883e-09,2.360620558005358e-05,6.1196082233854054e-12,1.4268204734945009e-05,4.807256806608466e-09,4.246118740056357e-16,3.916346293755458e-05,3.767766353344732e-21,1.644707253651598e-14,1.8322571862688793e-14
3.710114129963291e-12,0.045450764422602166,0.0,11.284224761179797,0.03104000588276654,0.31915025536811314,0.3503455055929893,0.20684180828690643,0.09158052436336504,0.0,1.6326871190832286e-34,2.7197815055395373e-16,2.0712369430038523e-43,0.0,1.5540648718594901e-61,7.902696336124878e-13,1.0042178588689788e-45,6.320962835591441e-46,2.352370076523842e-69,4.786020736082182e-23,1.8751292253847057e-33,2.1071702463583735e-111,4.010124931736554e-25,1.970604830262216e-75,1.8252158566189952e-42,2.224518583381178e-78,2.711416554013186e-16,7.053366930903444e-69,0.0004447700058728188,0.0001752900486298848,0.0001300946641053224,0.00013928654655034903,0.00011504880343763718,5.5363089835641955e-05,5.608209204904024e-05,6.571877828911236e-06,3.053570361561255e-21,4.585292189885533e-09,2.3749192799421172e-05,6.2314650189903316e-12,1.4379075945209212e-05,4.865634141756652e-09,4.35085244061703e-16,3.940009802373358e-05,3.79062774610075e-21,1.6699824199090135e-14,1.8492332608144306e-14
3.732457551379075e-12,0.045450764422602166,0.0,11.284217942437612,0.031039795077856536,0.3191486937771142,0.3503446669859699,0.2068407843092856,0.09157830142685588,0.0,1.6701185464278914e-34,2.73615757186979e-16,2.1216691932834252e-43,0.0,1.61104496434152e-61,8.047739891159606e-13,1.0286095184375353e-45,6.39723605993615e-46,2.395117668695174e-69,4.8438299507337976e-23,1.8864171422480747e-33,2.1713779372377732e-111,4.058686697592353e-25,2.0064149319211082e-75,1.8695489032151644e-42,2.3060784588442293e-78,2.7276893468165517e-16,7.22479157615389e-69,0.0004470506091018085,0.0001763451995374153,0.00013088662397627704,0.00014012515356979615,0.00011573954088265572,5.569633001100467e-05,5.641961150807396e-05,6.572196825297037e-06,3.0904081538478973e-21,4.640670915335409e-09,2.3892179975738808e-05,6.344675996637361e-12,1.4489955483039422e-05,4.924363163441216e-09,4.457513790824757e-16,3.9636722168825646e-05,3.813489894782393e-21,1.695475990769276e-14,1.866245991218266e-14
3.754800972794858e-12,0.045450764422602166,0.0,11.28421112818674,0.03103958428292876,0.31914713219508206,0.3503438283815446,0.20683976035904456,0.0915760829197748,0.0,1.7081272501273313e-34,2.752533599001369e-16,2.17301652208082e-43,0.0,1.6697551770736066e-61,8.194548382184343e-13,1.0534426143966407e-45,6.473965739704024e-46,2.4383799179534727e-69,4.9019860840614305e-23,1.8977050032308246e-33,2.2371412191465892e-111,4.1075389319548947e-25,2.042656167163258e-75,1.9146842820640313e-42,2.3901146773910037e-78,2.7439614611632297e-16,7.399321798500262e-69,0.0004493267894549574,0.00017740034450523505,0.0001316785715833769,0.0001409637579951191,0.00011643025300022512,5.602956813406481e-05,5.675712830544259e-05,6.572500641567038e-06,3.1274661838159387e-21,4.6963818679482034e-09,2.4035167116374856e-05,6.459249289143333e-12,1.4600842951231192e-05,4.9834438601411085e-09,4.566126307048611e-16,3.987333531678037e-05,3.836352290145043e-21,1.721188214512952e-14,1.8832951273374268e-14
3.777144394210642e-12,0.045450764422602166,0.0,11.284204318418816,0.03103937349803203,0.3191455706220156,0.350342989779713,0.20683873643618172,0.09157386883353144,0.0,1.746717688184027e-34,2.7689095869343944e-16,2.2252899085365984e-43,0.0,1.7302372694294885e-61,8.343132443135879e-13,1.078722434062587e-45,6.551151859292197e-46,2.482159901318429e-69,4.9604891339286954e-23,1.9089928083344495e-33,2.3044881835221577e-111,4.156681583454767e-25,2.0793311136399835e-75,1.960631603116998e-42,2.4766870058470896e-78,2.760232897072609e-16,7.576994871463687e-69,0.00045159855526254807,0.00017845548353380238,0.0001324705067505715,0.0001418023598266601,0.00011712093979150475,5.6362804205135746e-05,5.709464244143078e-05,6.572789918343624e-06,3.1647444401195875e-21,4.7524250444342375e-09,2.4178154228696855e-05,6.575193029051882e-12,1.4711737969313071e-05,5.0428762203312966e-09,4.676713647570474e-16,4.010993741155445e-05,3.8592160169004025e-21,1.7471194148916927e-14,1.9003803435582247e-14
3.799487815626426e-12,0.045450764422602166,0.0,11.284197513125475,0.031039162723215163,0.3191440090579141,0.3503421511804749,0.20683771254069577,0.09157165915955177,0.0,1.7858943175446097e-34,2.785285535668988e-16,2.278500396456915e-43,0.0,1.7925337517121688e-61,8.493502706850093e-13,1.1044542960652113e-45,6.628794403135401e-46,2.526460695764287e-69,5.019339098199529e-23,1.9202805575604426e-33,2.3734472578272242e-111,4.206114600665561e-25,2.1164423489645433e-75,2.0074005332392525e-42,2.565856285665848e-78,2.776503654564418e-16,7.757848290687887e-69,0.00045386591484960066,0.00017951061662357495,0.0001332624293069013,0.00014264095906476104,0.00011781160125765353,5.669603822453032e-05,5.743215391632266e-05,6.573065269273215e-06,3.20224291141347e-21,4.808800441504471e-09,2.432114132007149e-05,6.692515348633371e-12,1.4822640172843772e-05,5.1026602324827775e-09,4.789299612567778e-16,4.0346528397111855e-05,3.882080681298184e-21,1.773269932633266e-14,1.9175012972915185e-14
3.821831237042209e-12,0.045450764422602166,0.0,11.284190712298374,0.03103895195852696,0.3191424475027767,0.3503413125838299,0.20683668867258512,0.09156945388927787,0.0,1.8256615941244523e-34,2.801661445205271e-16,2.3326590942970674e-43,0.0,1.856687894087959e-61,8.645669805063965e-13,1.130643550345021e-45,6.706893355705863e-46,2.571285378219363e-69,5.078535974738198e-23,1.9315682509102995e-33,2.4440472075442824e-111,4.255837932105744e-25,2.1539924507117136e-75,2.055000796204546e-42,2.65768444571081e-78,2.7927737336587124e-16,7.94191977393516e-69,0.00045612887653542723,0.00018056574377500948,0.00013405433908628364,0.0001434795557097629,0.00011850223739982972,5.702927019256089e-05,5.776966273040185e-05,6.573327282157928e-06,3.2399615863526383e-21,4.865508055870498e-09,2.4464128397864557e-05,6.811224379884801e-12,1.4933549212739227e-05,5.162795885062569e-09,4.903908144096289e-16,4.058310821742377e-05,3.9049453975971055e-21,1.7996400571270465e-14,1.934657697287125e-14
