Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210)
9.88326145590191e-12,0.0945796191447709,0.0,23.481891494244294,0.031075110263184432,0.31877860885604414,0.3499949565619586,0.20650842376304596,0.09162709087978402,0.0,1.3873810464543602e-22,4.2131526935904425e-07,2.754881332187586e-21,0.0,5.897397758954673e-31,6.444201896767382e-10,1.4573657576536904e-22,1.8682952185955683e-23,1.2693800985946019e-32,2.119672996471445e-11,7.517831700124326e-15,3.215503543542467e-52,2.0177989442308364e-12,8.755680604439359e-35,3.491974956904162e-21,5.368824628143053e-39,4.213152768758169e-07,5.676136091355981e-35,0.0003911046609219597,0.0006310730203108881,0.00021255106279755918,0.0004894142623115129,0.0002912440847024785,0.00021255231126227842
9.9407921122503e-12,0.0945796191447709,0.0,23.481881881068325,0.031075110263184432,0.31877517522112936,0.3499923583738957,0.20650615123163596,0.09162701537065183,0.0,1.4117417082288272e-22,4.237660816128444e-07,2.8175264849775943e-21,0.0,6.1063309628622325e-31,6.55728269965403e-10,1.4915818663209688e-22,1.890093885504778e-23,1.2916632600524268e-32,2.1444113335396986e-11,7.561544201746291e-15,3.3101386135112447e-52,2.0409484686717097e-12,8.909380978681644e-35,3.573968473846716e-21,5.559018529692169e-39,4.23766089173311e-07,5.809401978065031e-35,0.00039118017005412153,0.000634506655225718,0.00021378682631013811,0.0004920099995621821,0.0002922808302079269,0.00021378809691940072
9.998322768598688e-12,0.0945796191447709,0.0,23.48187228098156,0.031075110263184432,0.31877174423936455,0.3499897629386265,0.20650388419501628,0.09162694203515467,0.0,1.4363857801743573e-22,4.2621687568260867e-07,2.881228089925056e-21,0.0,6.3213958176926925e-31,6.671677502411043e-10,1.5263968468345044e-22,1.9120189152652122e-23,1.314205548470155e-32,2.1692930823075696e-11,7.6052562229101e-15,3.406988333319684e-52,2.064225351831715e-12,9.064868706623621e-35,3.657397237976505e-21,5.754793638320261e-39,4.262168832867686e-07,5.945000262749159e-35,0.000391253505551314,0.0006379376369905035,0.00021502257496292248,0.0004946029840373216,0.00029331209552135325,0.00021502386797678754
1e-11,0.0945796191447709,0.0,23.481872001298914,0.031075110263184432,0.3187716442533383,0.34998968731335683,0.20650381818465255,0.09162693992912409,0.0,1.4371085142921757e-22,4.262883251210493e-07,2.883101194142763e-21,0.0,6.3277591853883085e-31,6.675032323127031e-10,1.5274208868059849e-22,1.912660006630907e-23,1.3148666420934238e-32,2.170020628724748e-11,7.60653058279361e-15,3.409845475477857e-52,2.064905868885134e-12,9.069428667140272e-35,3.659851194967494e-21,5.760586250961071e-39,4.26288332726483e-07,5.948988718450905e-35,0.0003912556115818946,0.0006380376230166745,0.00021505860138379542,0.0004946785378575429,0.0002933420787998301,0.00021505989505475425
1.0055853424947077e-11,0.0945796191447709,0.0,23.481862693887653,0.031075110263184432,0.31876831590869875,0.3499871702532313,0.20650162262426985,0.09162687081084772,0.0,1.4613148992416958e-22,4.286676515876031e-07,2.9459978045406616e-21,0.0,6.542735418080768e-31,6.787393869330837e-10,1.5618176434355115e-22,1.9340703068041512e-23,1.3370084589562276e-32,2.194318241082747e-11,7.648967764775791e-15,3.506091331446432e-52,2.0876295159450047e-12,9.222154100907722e-35,3.742277893223367e-21,5.956280187358514e-39,4.2866765923545554e-07,6.082957986433185e-35,0.00039132472985826266,0.0006413659676562884,0.0002162583087885652,0.0004971932186566193,0.0002943379095256618,0.00021625962446860468
1.0113384081295465e-11,0.0945796191447709,0.0,23.48185311969217,0.031075110263184432,0.31876489022708254,0.34998458031479346,0.20649936649063202,0.09162680163708008,0.0,1.4865307023473819e-22,4.3111840934707324e-07,3.011847347063049e-21,0.0,6.770495347844445e-31,6.904439364293904e-10,1.5978512403259887e-22,1.9562480590462267e-23,1.3600734865767095e-32,2.2194868081768725e-11,7.692678828497313e-15,3.607486682520248e-52,2.111160883295983e-12,9.381247473883913e-35,3.828627179298647e-21,6.163610675204102e-39,4.3111841703861754e-07,6.223302345666938e-35,0.00039139390362589923,0.0006447916492725177,0.00021749402781953673,0.0004997807063366563,0.0002953583009515293,0.00021749536642883525
1.0170914737643854e-11,0.0945796191447709,0.0,23.481843558302607,0.031075110263184432,0.318761467192468,0.3499819931203996,0.20649711576548974,0.0916267344549431,0.0,1.512034826373798e-22,4.3356914898024435e-07,3.0787884964081185e-21,0.0,7.004823708661548e-31,7.022821550769431e-10,1.634504661667667e-22,1.9785521709134984e-23,1.383402126355412e-32,2.2447987819055203e-11,7.736389415222534e-15,3.711213909872733e-52,2.1348193762192574e-12,9.542159137610535e-35,3.916461931692595e-21,6.376919891407599e-39,4.3356915671547983e-07,6.36606069252049e-35,0.00039146108576289,0.0006482146838870376,0.00021872973208812585,0.0005023654499909087,0.0002963732983782075,0.0002187310938912807
1.0228445393992243e-11,0.0945796191447709,0.0,23.481834009628287,0.031075110263184432,0.31875804680280895,0.3499794086671393,0.20649487042038073,0.0916266692072203,0.0,1.5378289081692224e-22,4.360198705063212e-07,3.146833092118386e-21,0.0,7.24587114891002e-31,7.142547991815923e-10,1.6717849715809625e-22,2.000982641325524e-23,1.4069958732740114e-32,2.2702541605881797e-11,7.780099526093284e-15,3.8173129880909375e-52,2.1586049170995836e-12,9.704899403855153e-35,4.005799081671773e-21,6.59634494290923e-39,4.360198782852472e-07,6.511260534579406e-35,0.000391526333485684,0.0006516350735460974,0.00021996542162644093,0.0005049474525297531,0.00029738293023432187,0.00021996680688956196
1.0285976050340632e-11,0.0945796191447709,0.0,23.48182447358036,0.031075110263184432,0.3187546290560607,0.3499768269521052,0.20649263042699284,0.09162660583833887,0.0,1.5639145845478726e-22,4.384705739444884e-07,3.2159930343123815e-21,0.0,7.493790892671942e-31,7.263626250081789e-10,1.70969927414393e-22,2.023539469199434e-23,1.4308562222721746e-32,2.295852942548227e-11,7.823809162245383e-15,3.925824345569843e-52,2.1825174283718164e-12,9.869478584095362e-35,4.09665565627647e-21,6.822025280423989e-39,4.384705817671042e-07,6.658929534940003e-35,0.00039158970236712325,0.0006550528202943517,0.00022120109646641087,0.0005075267168604685,0.00029838722479866444,0.00022120250545712045
1.034350670668902e-11,0.0945796191447709,0.0,23.481814950071687,0.031075110263184432,0.31875121395018013,0.349974247972393,0.2064903957571629,0.09162654429432235,0.0,1.5902934922899607e-22,4.4092125931391e-07,3.286280283634082e-21,0.0,7.748738768901238e-31,7.386063887805972e-10,1.7482547133912166e-22,2.046222653450006e-23,1.4549846682476742e-32,2.3215951261129123e-11,7.867518324808674e-15,4.0367888670647094e-52,2.206556832520861e-12,1.0035906989519648e-34,4.189048778318112e-21,7.054102724975581e-39,4.409212671802148e-07,6.809095512204622e-35,0.00039165124638365726,0.000658467926174861,0.00022243675663978648,0.0005101032458872403,0.0002993862102009855,0.00022243818962721938
