Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),CH2X(34),CHX(35),CX(33)
4.577317080213538e-13,0.07782336798655136,0.0,0.019323360974430465,0.031075110263184432,0.3194096445218631,0.35048476918961846,0.2070121927937831,0.09201811950275973,0.0,7.2153433021317435e-31,4.768248501654144e-10,1.3252434449997788e-28,0.0,3.209013583808952e-47,9.771249149924845e-17,5.167569529823557e-35,4.71539222148865e-30,3.021388878350796e-43,3.4081816705235583e-19,1.1364680334053664e-19,8.48351989479847e-70,1.3103403561455022e-15,2.4390798563274526e-46,2.9670862120842845e-33,7.468337515792978e-57,4.768237976730574e-10,1.375794644806138e-49,7.603677453336362e-08,2.8270734182350394e-08,1.8036304656158567e-08,2.2473048858837616e-08,1.8444110019258295e-08,9.06699545826968e-09,9.07437956728292e-12,8.351234472887182e-12,4.9508077689319856e-14,1.545334799607127e-14,8.346047413301444e-12,5.535316097013961e-13,4.739539101697583e-14,8.94222825874431e-09,1.7394165010682912e-22,2.299212415271807e-21,8.165293605642693e-18,5.220774828086965e-15,8.839914249939126e-14
4.873510214828976e-13,0.07782336798655136,0.0,0.019323349695394097,0.031075110263184432,0.3194096421058897,0.35048476770586817,0.20701219103436014,0.09201811502254663,0.0,8.70862731126064e-31,5.07679658699849e-10,1.599516716616546e-28,0.0,4.664797319267228e-47,1.179559152956766e-16,6.640432478523409e-35,5.345392238049384e-30,3.646693571066673e-43,3.863528577629002e-19,1.2100076199457834e-19,1.1607280786030098e-69,1.395133075766092e-15,2.9438702489367377e-46,3.8061227810780316e-33,1.0856380129382342e-56,5.076784655870041e-10,1.767977952365129e-49,8.051691187487971e-08,3.009726426952807e-08,1.920571190959492e-08,2.392594131881506e-08,1.962489095740424e-08,9.654201929846963e-09,1.017480366677397e-11,9.466943375593547e-12,5.276697096236105e-14,1.865109410346006e-14,9.46068321248383e-12,6.593444139289764e-13,5.046229415977159e-14,9.520857786029147e-09,2.0456180234566936e-22,3.1014927327767507e-21,8.69367320758192e-18,5.5746783027825305e-15,1.0055375999350683e-13
5.169703349444415e-13,0.07782336798655136,0.0,0.019323338467909835,0.031075110263184432,0.3194096396900613,0.35048476622227737,0.20701218927647194,0.09201811059240043,0.0,1.039491636992803e-30,5.38534467103669e-10,1.9092398056448866e-28,0.0,6.633706364483913e-47,1.408212204918638e-16,8.407741441759885e-35,6.014881195417362e-30,4.352817862412327e-43,4.347416415356253e-19,1.2835472058610561e-19,1.559011060239997e-69,1.4799260439708105e-15,3.513903965791673e-46,4.811649830930987e-33,1.5438617270205314e-56,5.385331245566811e-10,2.2385742985475728e-49,8.494698231743032e-08,3.1923449827985494e-08,2.037540232720235e-08,2.5378674218249014e-08,2.080413778845279e-08,1.0241467803435368e-08,1.1333781230182906e-11,1.0652574862241276e-11,5.603258366087722e-14,2.226202255510377e-14,1.0645103003759546e-11,7.775840819735816e-13,5.352919726825384e-14,1.0099485850366612e-08,2.3819244448342172e-22,4.1120432303161994e-21,9.222051539460776e-18,5.9297913976792014e-15,1.1349122131942162e-13
5.465896484059854e-13,0.07782336798655136,0.0,0.019323327291415494,0.031075110263184432,0.3194096372743779,0.35048476473884616,0.20701218752011652,0.0920181062117617,0.0,1.2285940782797271e-30,5.693892753768889e-10,2.256567296673068e-28,0.0,9.251239627628357e-47,1.6646876069608667e-16,1.0506347065149402e-34,6.723859091289383e-30,5.144673654392518e-43,4.859845111621298e-19,1.3570867911517286e-19,2.0598143971376927e-69,1.5647192608273929e-15,4.153146243272475e-46,6.0043574887575734e-33,2.153039476687959e-56,5.693877745822153e-10,2.797398461065865e-49,8.93275453533272e-08,3.374929093055547e-08,2.1545376537174464e-08,2.6831247578431206e-08,2.1981852507843908e-08,1.082879302650202e-08,1.2550686633521995e-11,1.190812759650357e-11,5.930491578282178e-14,2.6311222896547554e-14,1.1899297046851583e-11,9.088912411575805e-13,5.65961003424254e-14,1.0678112454833903e-08,2.749407708835713e-22,5.368569293470255e-21,9.75042855414532e-18,6.286185845258742e-15,1.2721145185100075e-13
5.762089618675293e-13,0.07782336798655136,0.0,0.019323316165355143,0.031075110263184432,0.31940963485883944,0.3504847632555745,0.20701218576529193,0.09201810188007707,0.0,1.4393430913556016e-30,6.002440835195224e-10,2.643653783702329e-28,0.0,1.2678119517384136e-46,1.950590072563399e-16,1.2975273262861987e-34,7.472325923392005e-30,6.027172848974111e-43,5.400814594491075e-19,1.4306263758183453e-19,2.6817674483483736e-69,1.6495127264037223e-15,4.865562317725318e-46,7.40614792083639e-33,2.950576091055756e-56,6.002424156637335e-10,3.4548441122324134e-49,9.365915422265992e-08,3.5574787650004105e-08,2.2715635160774512e-08,2.8283661420608965e-08,2.3158037108391372e-08,1.1416177546499285e-08,1.382490107062607e-11,1.3233600236465415e-11,6.258396732614816e-14,3.082378213525854e-14,1.3223255598087716e-11,1.0538996766525124e-12,5.966300338228904e-14,1.1256737602474705e-08,3.1491665864616216e-22,6.912962142056965e-21,1.0278804367689973e-17,6.643935387150092e-15,1.4171437495859418e-13
6.058282753290732e-13,0.07782336798655136,0.0,0.019323305089179052,0.031075110263184432,0.31940963244344595,0.35048476177246224,0.20701218401199611,0.09201809759679962,0.0,1.672911719416345e-30,6.310988915315839e-10,3.072653870106821e-28,0.0,1.7103252388588365e-46,2.2675254960776793e-16,1.5855717209602234e-34,8.260281689481121e-30,7.005227347987038e-43,5.970324792181839e-19,1.5041659598614497e-19,3.4456309655948626e-69,1.7343064407678297e-15,5.6551174253823874e-46,9.040135327870799e-33,3.9804356272539184e-56,6.310970478013604e-10,4.221883817025084e-49,9.794235598311939e-08,3.7399940059031405e-08,2.3886178812406234e-08,2.9735915765985624e-08,2.4332693580286567e-08,1.200362131086514e-08,1.5155812478597848e-11,1.462899143461487e-11,6.58697382888098e-14,3.5824784738969513e-14,1.461696891039206e-11,1.213236406136158e-12,6.27299063878476e-14,1.1835361296299574e-08,3.5823310535043216e-22,8.791494821588352e-21,1.0807178921047215e-17,7.003120065187587e-15,1.5699990771798932e-13
6.35447588790617e-13,0.07782336798655136,0.0,0.019323294062343604,0.031075110263184432,0.3194096300281972,0.3504847602895094,0.2070121822602271,0.09201809336138832,0.0,1.9304730135253237e-30,6.619536994130871e-10,3.545722168644952e-28,0.0,2.2746847858279236e-46,2.6171009561971527e-16,1.9191049332598533e-34,9.087726387341492e-30,8.083749053142431e-43,6.568375633057527e-19,1.5777055432815843e-19,4.374412592288197e-69,1.819100403987891e-15,6.5257768023765045e-46,1.0930645940257391e-32,5.293867325921236e-56,6.619516709952198e-10,5.110069031154806e-49,1.0217769157908229e-07,3.9224748230271936e-08,2.5057008099695774e-08,3.1188010635721055e-08,2.5505823911102258e-08,1.2591124267023527e-08,1.6542815464031652e-11,1.6094299837834492e-11,6.916222866876027e-14,4.133931263461254e-14,1.6080427233276493e-11,1.387521753673165e-12,6.579680935910382e-14,1.2413983539286312e-08,4.050062623096731e-22,1.1055015311211033e-20,1.1335552151643646e-17,7.363819032497799e-15,1.7306796809883157e-13
6.650669022521609e-13,0.07782336798655136,0.0,0.01932328308431123,0.031075110263184432,0.3194096276130933,0.35048475880671615,0.2070121805099829,0.0920180891733083,0.0,2.2132000337355873e-30,6.928085071640465e-10,4.065013301453582e-28,0.0,2.9863700103065154e-46,3.0009247193735365e-16,2.302681330361315e-34,9.954660014786329e-30,9.267649866011617e-43,7.194967045628158e-19,1.6512451260792919e-19,5.493482361726996e-69,1.9038946161322282e-15,7.48150568472419e-46,1.3103218013365002e-32,6.950169264431074e-56,6.928062852454346e-10,6.131530099138785e-49,1.063656959099264e-07,4.104921223629538e-08,2.622812362356846e-08,3.2639946050932094e-08,2.6677430085796383e-08,1.3178686362384715e-08,1.7985311230047593e-11,1.762952408739295e-11,7.246143846395307e-14,4.739244520704318e-14,1.761362081283234e-11,1.5773694227867832e-12,6.88637122960605e-14,1.2992604334380313e-08,4.553554537670555e-22,1.3759136031884513e-20,1.1863924198248513e-17,7.726107575191403e-15,1.8991847794241148e-13
6.946862157137048e-13,0.07782336798655136,0.0,0.01932327215455037,0.031075110263184432,0.3194096251981342,0.3504847573240823,0.20701217876126157,0.09201808503203063,0.0,2.522265850314897e-30,7.236633147844758e-10,4.632681900057348e-28,0.0,3.874663187924723e-46,3.420606243202074e-16,2.7410726030967203e-34,1.0861082569656868e-29,1.0561841688039623e-42,7.850098958548238e-19,1.7247847082551128e-19,6.830688196031094e-69,1.988689077269303e-15,8.526269308336552e-46,1.558460182282297e-32,9.017489880401032e-56,7.236608905521263e-10,7.298976252377651e-49,1.1050689789759239e-07,4.287333214960718e-08,2.7399525978317662e-08,3.4091722032693006e-08,2.7847514086715808e-08,1.3766307544345653e-08,1.9482707504119672e-11,1.923466281893672e-11,7.57673676723418e-14,5.4009259297931947e-14,1.9216539891722147e-11,1.7833865687382114e-12,7.193061519872049e-14,1.3571223684494944e-08,5.094035271739286e-22,1.6964419657105716e-20,1.2392295004040023e-17,8.090061420926413e-15,2.0755135865318703e-13
7.243055291752487e-13,0.07782336798655136,0.0,0.01932326127253538,0.031075110263184432,0.3194096227833199,0.3504847558416079,0.20701217701406105,0.0920180809370323,0.0,2.8588435450664506e-30,7.54518122274389e-10,5.250882605374063e-28,0.0,4.973010325094467e-46,3.8777561797625127e-16,3.2392677651583995e-34,1.1806994049821938e-29,1.1971236420549664e-42,8.533771300615202e-19,1.7983242898095878e-19,8.416471404871829e-69,2.073483787467721e-15,9.664032909022925e-46,1.8402759659819373e-32,1.1573667827510957e-55,7.545154869154153e-10,8.625695607237505e-49,1.1460182055338402e-07,4.469710804264916e-08,2.857121575167507e-08,3.5543338602035944e-08,2.9016077893600113e-08,1.4353987760290308e-08,2.103441846670638e-11,2.0909714662481975e-11,7.908001629188002e-14,6.121482920460038e-14,2.0889174709171553e-11,2.0061738700049797e-12,7.499751806708651e-14,1.4149841592511895e-08,5.672771017201313e-22,2.073656152407555e-20,1.2920664482393528e-17,8.45575869683856e-15,2.2596652924038163e-13
7.539248426367926e-13,0.07782336798655136,0.0,0.01932325043774645,0.031075110263184432,0.3194096203686504,0.3504847543592929,0.20701217526837945,0.09201807688779615,0.0,3.224106212749234e-30,7.853729296338002e-10,5.921770067719087e-28,0.0,6.319398477462878e-46,4.3739863789188827e-16,3.8024731523049865e-34,1.279239445317755e-29,1.3500745964745314e-42,9.245984000767838e-19,1.871863870743258e-19,1.028398218412408e-68,2.1582787467962263e-15,1.0898761722492603e-45,2.1586865826409022e-32,1.4707110105075597e-55,7.85370074335421e-10,1.0125555163136674e-48,1.1865098104401765e-07,4.652053998780009e-08,2.9743193524884813e-08,3.699479577995142e-08,3.0183123483585307e-08,1.4941726957590008e-08,2.2639864680672238e-11,2.2654678242406613e-11,8.239938432052145e-14,6.903422667883634e-14,2.2631515500961455e-11,2.2463255989697155e-12,7.806442090116139e-14,1.4728458061281525e-08,6.291064605953394e-22,2.5146568961218927e-20,1.3449032792465756e-17,8.823277353091775e-15,2.45163908893857e-13
7.835441560983364e-13,0.07782336798655136,0.0,0.019323239649669574,0.031075110263184432,0.3194096179541255,0.35048475287713715,0.20701217352421472,0.0920180728838108,0.0,3.619226962599258e-30,8.162277368627235e-10,6.647498946807322e-28,0.0,7.956749449531994e-46,4.910909891577372e-16,4.436112421569259e-34,1.3817283777646497e-29,1.515528222170721e-42,9.986736988084774e-19,1.9454034510566609e-19,1.2469195114399466e-68,2.243073955323701e-15,1.2234420984352192e-45,2.516730663083096e-32,1.8517708311320526e-55,8.16224652812262e-10,1.1813000800637092e-48,1.2265489075693237e-07,4.834362805737623e-08,3.091545987277533e-08,3.8446093587388674e-08,3.1348652831207625e-08,1.5529525083603785e-08,2.4298473021488443e-11,2.446955217744242e-11,8.57254717562197e-14,7.749252092567253e-14,2.4443552499420157e-11,2.5044296918310905e-12,8.113132370094794e-14,1.5307073093623213e-08,6.950254626927339e-22,3.027093725188694e-20,1.397739988218795e-17,9.192693903457979e-15,2.6514341824369476e-13
8.131634695598803e-13,0.07782336798655136,0.0,0.019323228907796464,0.031075110263184432,0.31940961553974523,0.35048475139514085,0.20701217178156492,0.09201806892457057,0.0,4.045378919955328e-30,8.470825439611729e-10,7.43022391175586e-28,0.0,9.933329829095903e-46,5.490140972904863e-16,5.145826550467644e-34,1.4881662021177927e-29,1.6939757092391236e-42,1.0756030191782938e-18,2.018943030750336e-19,1.5011024659610109e-68,2.3278694131191625e-15,1.3674975930104152e-45,2.9175680382835404e-32,2.3117792912493634e-55,8.470792223460551e-10,1.370305727954017e-48,1.2661405536487253e-07,5.0166372323632026e-08,3.2088015363827806e-08,3.989723204525619e-08,3.2512667908407225e-08,1.6117382085678733e-08,2.600967660820033e-11,2.635433508066736e-11,8.905827859692857e-14,8.661477860216395e-14,2.63252759334158e-11,2.781067817749152e-12,8.419822646644891e-14,1.5885686692325724e-08,7.651717171228678e-22,3.61918220867984e-20,1.4505765636965623e-17,9.564084977638148e-15,2.8590497780743547e-13
8.427827830214242e-13,0.07782336798655136,0.0,0.019323218211624506,0.031075110263184432,0.3194096131255096,0.3504847499133038,0.20701217004042807,0.09201806500957545,0.0,4.503735227991653e-30,8.779373509291623e-10,8.272099641087565e-28,0.0,1.2303177369040907e-45,6.113295085509064e-16,5.9374738362113575e-34,1.598552918174697e-29,1.885908247762883e-42,1.1553863541216072e-18,2.0924826098248204e-19,1.7951440665576844e-68,2.412665120251765e-15,1.5224391795147032e-45,3.364479738901982e-32,2.863312555700899e-55,8.779337829369169e-10,1.5811328236987016e-48,1.3052897488974975e-07,5.1988772858760565e-08,3.326086056024448e-08,4.134821117442211e-08,3.3675170684531916e-08,1.6705297911150302e-08,2.777291473515372e-11,2.8309025559498022e-11,9.239780484060176e-14,9.64260638161676e-14,2.827667602834885e-11,3.0768154472329435e-12,8.72651291976671e-14,1.64642988601475e-08,8.396867561320251e-22,4.299720880950272e-20,1.5034130238605713e-17,9.937528136334916e-15,3.074485071743604e-13
8.724020964829681e-13,0.07782336798655136,0.0,0.019323207560656665,0.031075110263184432,0.3194096107114186,0.35048474843162614,0.20701216830080216,0.09201806113833097,0.0,4.9954690495590546e-30,9.08792157766706e-10,9.175280822735146e-28,0.0,1.5126543742793936e-45,6.781988902580656e-16,6.817129894919186e-34,1.7128885257354328e-29,2.0918170278128358e-42,1.2380236965873236e-18,2.1660221882806523e-19,2.1335583858652793e-68,2.4974610767907955e-15,1.6886633814776586e-45,3.860867994817411e-32,3.520392949579595e-55,9.087883345849623e-10,1.8153996185562996e-48,1.3440014376579105e-07,5.381082973489421e-08,3.443399601801797e-08,4.279903099571462e-08,3.4836163126340904e-08,1.7293272507342635e-08,2.958763280447313e-11,3.033362221568221e-11,9.574405048519302e-14,1.0695143812511966e-13,3.0297743006144734e-11,3.392241919777223e-12,9.03320318946053e-14,1.7042909599817067e-08,9.18716004709984e-22,5.07810786957522e-20,1.5562493643820753e-17,1.0313100940264268e-14,3.297739259367198e-13
9.02021409944512e-13,0.07782336798655136,0.0,0.01932319695440144,0.031075110263184432,0.3194096082974722,0.3504847469501078,0.20701216656268528,0.09201805731034825,0.0,5.521753569136298e-30,9.396469644738178e-10,1.0141922154044945e-27,0.0,1.8470353683582006e-45,7.497840310997163e-16,7.791087660831884e-34,1.8311730246025894e-29,2.3121932394475858e-42,1.3235150395377347e-18,2.239561766118368e-19,2.5211881344323762e-68,2.5822572828056725e-15,1.8665667224186385e-45,4.41025623466349e-32,4.298595813250474e-55,9.396428772903053e-10,2.074782251140667e-48,1.3822805090198086e-07,5.563254302410514e-08,3.560742228699944e-08,4.424969152992243e-08,3.599564719800845e-08,1.788130582156893e-08,3.14532822592845e-11,3.242812364529166e-11,9.909701552865626e-14,1.1821596053480066e-13,3.2388467085246666e-11,3.727910510755804e-12,9.339893455726631e-14,1.7621518914033305e-08,1.002408718692859e-21,5.964357214403294e-20,1.6090855704285766e-17,1.0690880424402646e-14,3.52881154215089e-13
9.316407234060557e-13,0.07782336798655136,0.0,0.01932318639237282,0.031075110263184432,0.3194096058836703,0.3504847454687486,0.20701216482607546,0.09201805352514383,0.0,6.083761994893148e-30,9.705017710505117e-10,1.1174178341780374e-27,0.0,2.2408680499389e-45,8.2624684143888115e-16,8.865857385528171e-34,1.953406414581238e-29,2.5475280727134928e-42,1.411860375948371e-18,2.3131013433385013e-19,2.963216210578345e-68,2.6670537383659468e-15,2.0565457258467705e-45,5.016289085364865e-32,5.215160168468517e-55,9.70497411053059e-10,2.361014747232297e-48,1.4201317974380478e-07,5.745391279840591e-08,3.6781139910965014e-08,4.5700192797795174e-08,3.715362486112762e-08,1.8469397801131705e-08,3.336932051767338e-11,3.459252843871487e-11,1.0245669996894525e-13,1.3024468749808877e-13,3.454883848060854e-11,4.084378497580207e-12,9.646583718565295e-14,1.8200126805465806e-08,1.0909180484538776e-21,6.969114867508494e-20,1.6619216625571967e-17,1.1070943655129902e-14,3.767701121004937e-13
