Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),CH2X(34),CHX(35),CX(33),SX(708)
3.5708238371444856e-11,0.10054149576763871,0.0,0.02495517214127029,0.031075110263184432,0.3194068105449369,0.3504794149368507,0.2070110169577956,0.09201781751973466,0.0,1.0845983145954242e-19,4.0445951468094875e-06,7.322564652965514e-17,0.0,3.9409591321976055e-29,5.338005628746434e-10,3.135802871644751e-22,7.585237440071196e-21,3.322548493380042e-29,1.0318901311395963e-12,2.360077217915771e-13,1.6909565948981003e-46,1.3643174788050783e-09,4.4660448927558e-31,6.940068803601895e-21,9.207205062953662e-37,4.043788154942768e-06,4.866916262886303e-34,3.8140671982646385e-07,1.080417639969878e-06,3.2716467690980634e-06,1.257767699595642e-06,4.106134887547247e-07,1.0474933455469957e-06,5.483578637472892e-08,2.650613842213432e-07,7.683367550178339e-08,1.070604199993757e-07,2.6821435049379283e-07,3.4413256772671e-07,7.483984253176788e-08,7.663348439322273e-07,9.568990319667788e-15,7.052454790887832e-13,1.1632463088318662e-13,1.899327353083269e-11,2.39217712327092e-12,2.6250602264797236e-08
3.579245907225355e-11,0.10054149576763871,0.0,0.024955149853454355,0.031075110263184432,0.3194068044266336,0.3504794035022387,0.20701101501431535,0.09201781754879196,0.0,1.0934556383000947e-19,4.0541345734466166e-06,7.374500962837542e-17,0.0,3.995375790678817e-29,5.385509877431313e-10,3.165354094842339e-22,7.621070192153215e-21,3.346113433723701e-29,1.0367082155177505e-12,2.36564363300027e-13,1.7109921131867163e-46,1.3675358564114568e-09,4.49771993624977e-31,7.003166558406216e-21,9.33433630261769e-37,4.053323776213227e-06,4.912786491404215e-34,3.814073456392245e-07,1.0812516487886028e-06,3.2824953332242696e-06,1.2594863712705285e-06,4.1068825316217906e-07,1.0494935334522781e-06,5.497622319934546e-08,2.6617346342571603e-07,7.701637996276698e-08,1.0779446930020337e-07,2.693470137047693e-07,3.4595562186094033e-07,7.501635618265046e-08,7.680808910645639e-07,9.652968230115178e-15,7.12893819601524e-13,1.1658974960733644e-13,1.9036623456391887e-11,2.3937507425542856e-12,2.6373212725375195e-08
3.587667977306225e-11,0.10054149576763871,0.0,0.02495512755647365,0.031075110263184432,0.31940679830986435,0.35047939207170037,0.2070110130715344,0.09201781757801353,0.0,1.1023694831895082e-19,4.063673999772622e-06,7.426682283215759e-17,0.0,4.0504159913711847e-29,5.433329306580784e-10,3.1951130534421557e-22,7.656987428332405e-21,3.369789533138834e-29,1.0415372642266473e-12,2.371210048031556e-13,1.7312170975865376e-46,1.370754237984262e-09,4.529544394692577e-31,7.06669165233732e-21,9.462924277435067e-37,4.062859388220458e-06,4.958979219488185e-34,3.814079732346249e-07,1.0820822308340847e-06,3.2933551139428843e-06,1.2612009695725182e-06,4.107623218245382e-07,1.0514896537506479e-06,5.5116541338138344e-08,2.6728679942769705e-07,7.7199091417326e-08,1.0853160224231215e-07,2.7048101066577063e-07,3.4778333401846006e-07,7.519286982456265e-08,7.698266554704146e-07,9.737475314603281e-15,7.206080433625247e-13,1.168548072149027e-13,1.9079966764340503e-11,2.395329930891031e-12,2.6496102216961706e-08
3.5960900473870945e-11,0.10054149576763871,0.0,0.024955105250331944,0.031075110263184432,0.3194067921946237,0.35047938064522616,0.2070110111294464,0.0920178176073998,0.0,1.111340128086289e-19,4.073213425787617e-06,7.47910919080936e-17,0.0,4.106085421555376e-29,5.481465285350045e-10,3.2250807112614157e-22,7.692989148934815e-21,3.393577053184281e-29,1.0463772754908908e-12,2.3767764630096504e-13,1.7516328886957906e-46,1.3739726235320003e-09,4.56151861965556e-31,7.130645992363923e-21,9.592982273997747e-37,4.072394990964464e-06,5.005495943750149e-34,3.814086026035078e-07,1.082909403877794e-06,3.3042260902136954e-06,1.2629115041438154e-06,4.1083570118231486e-07,1.0534817059138534e-06,5.525674038568214e-08,2.6840138466640485e-07,7.738180986545632e-08,1.0927182235876346e-07,2.7161633383681755e-07,3.4961570012358284e-07,7.536938345750735e-08,7.715721371927378e-07,9.82251348209034e-15,7.283885614987256e-13,1.1711976374291463e-13,1.9123303493953327e-11,2.3969146777133297e-12,2.6619270693983184e-08
3.604512117467964e-11,0.10054149576763871,0.0,0.024955082935033106,0.031075110263184432,0.31940678608090606,0.35047936922280637,0.2070110091880449,0.09201781763695117,0.0,1.1203678528272735e-19,4.082752851491711e-06,7.531782262328901e-17,0.0,4.1623898071461663e-29,5.529919185509923e-10,3.2552580342789468e-22,7.729075354286493e-21,3.417476255418874e-29,1.0512282475353541e-12,2.382342877934569e-13,1.7722408334215583e-46,1.3771910130631621e-09,4.593642962710038e-31,7.195031489556018e-21,9.724523669153236e-37,4.0819305844452495e-06,5.052338164160412e-34,3.8140923373670695e-07,1.0837331856031013e-06,3.3151082410293653e-06,1.2646179846037979e-06,4.109083976163892e-07,1.0554696894731773e-06,5.539681994019462e-08,2.695172115910023e-07,7.756453530715381e-08,1.1001513316183674e-07,2.727529756872771e-07,3.51452716086157e-07,7.554589708148745e-08,7.733173362744826e-07,9.908084638636629e-15,7.362357866144127e-13,1.1738475753817643e-13,1.9166633503108695e-11,2.3985049679218264e-12,2.6742718110880963e-08
3.612934187548834e-11,0.10054149576763871,0.0,0.02495506061058109,0.031075110263184432,0.3194067799687057,0.35047935780443146,0.2070110072473237,0.09201781766666814,0.0,1.1294529382647665e-19,4.092292276885013e-06,7.58470207448631e-17,0.0,4.219334912865156e-29,5.578692381443078e-10,3.2856459906347307e-22,7.765246044713498e-21,3.44148740140144e-29,1.0560901785851802e-12,2.387909292806332e-13,1.7930422849945892e-46,1.3804094065862215e-09,4.6259177754272934e-31,7.259850059083982e-21,9.857561930408127e-37,4.091466168662815e-06,5.099507384046907e-34,3.8140986662504723e-07,1.084553593605694e-06,3.3260015454157835e-06,1.2663204205490675e-06,4.109804174485611e-07,1.0574536040190264e-06,5.553677960351712e-08,2.706342726607668e-07,7.774726774241428e-08,1.1076153814305618e-07,2.738909286959349e-07,3.532943778016874e-07,7.572241069650573e-08,7.750622527585893e-07,9.994190689682445e-15,7.441501327912445e-13,1.1764970178061208e-13,1.9209956885625444e-11,2.4001007928597554e-12,2.686644442208647e-08
3.6213562576297035e-11,0.10054149576763871,0.0,0.024955038276979934,0.031075110263184432,0.31940677385801713,0.3504793463900917,0.20701100530727645,0.09201781769655107,0.0,1.138595666267786e-19,4.101831701967635e-06,7.637869203994873e-17,0.0,4.276926542413881e-29,5.627786250140199e-10,3.316245550629419e-22,7.801501220541884e-21,3.465610752690797e-29,1.0609630668657816e-12,2.393475707624955e-13,1.8140386029841063e-46,1.383627804109637e-09,4.658343409378589e-31,7.325103620217657e-21,9.992110616332488e-37,4.101001743617163e-06,5.147005110094482e-34,3.814105012593457e-07,1.0853706453939878e-06,3.336905982431811e-06,1.2680188215535085e-06,4.110517669420975e-07,1.059433449200474e-06,5.5676618981094434e-08,2.7175256034515894e-07,7.793000717123358e-08,1.1151104077321789e-07,2.7503018535106644e-07,3.5514068115145454e-07,7.589892430256514e-08,7.7680688668799e-07,1.008083354576664e-14,7.521320155887209e-13,1.179145125942899e-13,1.9253273729323932e-11,2.401702134087749e-12,2.6990449582051302e-08
3.629778327710573e-11,0.10054149576763871,0.0,0.02495501593423377,0.031075110263184432,0.319406767748835,0.3504793349797778,0.20701100336789693,0.09201781772660048,0.0,1.147796319723298e-19,4.1113711267396866e-06,7.691284227569247e-17,0.0,4.335170538647285e-29,5.677202171196194e-10,3.3470576867238702e-22,7.837840882097713e-21,3.4898465708457553e-29,1.065846910602841e-12,2.399042122390458e-13,1.8352311533126187e-46,1.386846205641851e-09,4.690920216135156e-31,7.390794096325463e-21,1.0128183376965121e-36,4.110537309308294e-06,5.194832852344175e-34,3.8141113763041154e-07,1.0861843583895389e-06,3.3478215311689698e-06,1.2697131971683385e-06,4.111224523022739e-07,1.061409224724856e-06,5.581633768195608e-08,2.728720671238918e-07,7.811275359360753e-08,1.1226364450241689e-07,2.761707381505069e-07,3.569916220026346e-07,7.607543789966848e-08,7.785512381056067e-07,1.0168015114009326e-14,7.601818520441139e-13,1.1817937833396264e-13,1.9296583841484484e-11,2.4033089899633245e-12,2.7114733545225843e-08
3.638200397791443e-11,0.10054149576763871,0.0,0.024954993582346815,0.031075110263184432,0.31940676164115356,0.35047932357348,0.2070110014291791,0.09201781775681674,0.0,1.1570551825374395e-19,4.120910551201274e-06,7.744947721925469e-17,0.0,4.394072783747559e-29,5.72694152680638e-10,3.378083373538674e-22,7.874265029707046e-21,3.514195117425119e-29,1.0707417080223101e-12,2.4046085371028567e-13,1.856621308270729e-46,1.39006461119129e-09,4.723648547268199e-31,7.456923414873492e-21,1.0265793954219667e-36,4.120072865736209e-06,5.242992124192477e-34,3.8141177572904703e-07,1.0869947499274535e-06,3.3587481707519333e-06,1.2714035569221633e-06,4.1119247967691163e-07,1.0633809303573157e-06,5.595593531869686e-08,2.739927854869983e-07,7.829550700953194e-08,1.1301935276007458e-07,2.7731257960172143e-07,3.5884719620841696e-07,7.625195148781863e-08,7.802953070543535e-07,1.0255737299209117e-14,7.683000606730214e-13,1.1844421679673012e-13,1.9339887307814082e-11,2.404921330836947e-12,2.723929626608792e-08
3.6466224678723124e-11,0.10054149576763871,0.0,0.02495497122132338,0.031075110263184432,0.3194067555349676,0.35047931217118883,0.20701099949111673,0.09201781778720029,0.0,1.1663725396367284e-19,4.130449975352511e-06,7.798860263780941e-17,0.0,4.4536391993983507e-29,5.77700570176266e-10,3.4093235878536814e-22,7.910773663695947e-21,3.5386566539876875e-29,1.0756474573504098e-12,2.4101749517621703e-13,1.8782104465319444e-46,1.3932830207663644e-09,4.7565287543488914e-31,7.52349350742461e-21,1.0404956182291598e-36,4.129608412900906e-06,5.291484442390616e-34,3.8141241554604805e-07,1.0878018372567956e-06,3.369685880338278e-06,1.2730899103210284e-06,4.1126185515690957e-07,1.065348565920452e-06,5.60954115074569e-08,2.751147079348981e-07,7.847826741900262e-08,1.1377816895496636e-07,2.7845570222187387e-07,3.607073996081245e-07,7.642846506701839e-08,7.820390935771357e-07,1.0344002013403716e-14,7.764870614688329e-13,1.1870887847118952e-13,1.9383184283965913e-11,2.406539173627095e-12,2.7364137699073503e-08
3.655044537953182e-11,0.10054149576763871,0.0,0.024954948851167846,0.031075110263184432,0.31940674943027153,0.35047930077289496,0.2070109975537039,0.09201781781775162,0.0,1.175748676969261e-19,4.139989399193504e-06,7.853022429854443e-17,0.0,4.513875746959351e-29,5.827396083449692e-10,3.4407793086075314e-22,7.947366784390488e-21,3.5632314420922464e-29,1.0805641568136309e-12,2.4157413663684154e-13,1.8999999531674872e-46,1.396501434375469e-09,4.789561188948385e-31,7.590506309637547e-21,1.0545683988066058e-36,4.139143950802387e-06,5.3403113270438355e-34,3.814130570722045e-07,1.0886056375409937e-06,3.380634639117995e-06,1.2747722668484763e-06,4.113305847767714e-07,1.0673121312937641e-06,5.623476586790324e-08,2.762378269784646e-07,7.866103482201536e-08,1.1454009647524917e-07,2.7960009853789554e-07,3.6257222802732923e-07,7.66049786372706e-08,7.837825977168493e-07,1.0432811165017827e-14,7.847432759042111e-13,1.189736104375499e-13,1.942647452058642e-11,2.4081624577915324e-12,2.7489257798711704e-08
3.663466608034052e-11,0.10054149576763871,0.0,0.02495492647188469,0.031075110263184432,0.3194067433270601,0.35047928937858874,0.20701099561693453,0.0920178178484711,0.0,1.1851838815059023e-19,4.149528822724363e-06,7.90743479686614e-17,0.0,4.5747884276412364e-29,5.87811406184106e-10,3.4724515168971827e-22,7.984044392116738e-21,3.5879197432975824e-29,1.0854918046387332e-12,2.421307780921608e-13,1.9219912196611008e-46,1.3997198520269835e-09,4.822746202637794e-31,7.657963761266017e-21,1.0687991391526575e-36,4.148679479440648e-06,5.389474301610659e-34,3.8141370029830033e-07,1.0894061678582425e-06,3.391594426314138e-06,1.2764506359655957e-06,4.11398674515128e-07,1.069271626413457e-06,5.637399802321096e-08,2.7736213513909065e-07,7.8843809218566e-08,1.1530513868848954e-07,2.807457610865524e-07,3.644416772779699e-07,7.67814921985781e-08,7.855258195163818e-07,1.0522166657539297e-14,7.930691269289446e-13,1.1923835310693184e-13,1.946975807715615e-11,2.409791254818482e-12,2.761465651940474e-08
3.6718886781149214e-11,0.10054149576763871,0.0,0.024954904083478467,0.031075110263184432,0.3194067372253278,0.35047927798826084,0.2070109936808028,0.09201781787935918,0.0,1.1946784412414571e-19,4.159068245945193e-06,7.962097941537571e-17,0.0,4.636383282680997e-29,5.929161029495441e-10,3.504341195977442e-22,8.02080648720077e-21,3.6127218191624674e-29,1.0904303990527468e-12,2.426874195421767e-13,1.9441856439238634e-46,1.40293827372927e-09,4.8560841469882164e-31,7.72586780615779e-21,1.0831892506164621e-36,4.1582149988156875e-06,5.43897489290217e-34,3.8141434521511493e-07,1.0902034452019077e-06,3.4025652211826523e-06,1.2781250271110775e-06,4.1146613029525415e-07,1.0712270512716676e-06,5.6513107600042907e-08,2.784876249487528e-07,7.902659060865029e-08,1.1607329894169182e-07,2.8189268241451244e-07,3.6631574315846883e-07,7.695800575094368e-08,7.872687590186119e-07,1.0612070404369205e-14,8.014650389739047e-13,1.1950286302914279e-13,1.9513035204672953e-11,2.4114254083123526e-12,2.77403338157824e-08
3.680310748195791e-11,0.10054149576763871,0.0,0.02495488168595382,0.031075110263184432,0.31940673112506934,0.3504792666019018,0.20701099174530282,0.0920178179104163,0.0,1.2042326451958372e-19,4.168607668856105e-06,8.017012440591669e-17,0.0,4.698666393517618e-29,5.980538381552755e-10,3.536449331260488e-22,8.05765306996866e-21,3.637637931245673e-29,1.0953799382829694e-12,2.4324406098689077e-13,1.9665846303089953e-46,1.406156699490677e-09,4.889575373570713e-31,7.794220392253825e-21,1.0977401539390051e-36,4.167750508927502e-06,5.488814631081293e-34,3.814149918134231e-07,1.090997486480923e-06,3.41354700301161e-06,1.2797954497012665e-06,4.115329579855815e-07,1.0731784059166638e-06,5.665209422853212e-08,2.7961428895007677e-07,7.9209378992264e-08,1.1684458056132622e-07,2.8304085507841185e-07,3.6819442145384683e-07,7.713451929437013e-08,7.8901141626641e-07,1.0702524315719194e-14,8.099314379446742e-13,1.1976745177379464e-13,1.9556305589462877e-11,2.4130651599092125e-12,2.786628964209339e-08
3.6887328182766607e-11,0.10054149576763871,0.0,0.024954859279315473,0.031075110263184432,0.31940672502627954,0.35047925521950224,0.20701098981042873,0.09201781794164288,0.0,1.2138467834152126e-19,4.178147091457208e-06,8.072178870752739e-17,0.0,4.7616438819681427e-29,6.03224751573031e-10,3.568776910315406e-22,8.094584140746493e-21,3.6626683411059584e-29,1.100340420556969e-12,2.4380070242630464e-13,1.9891895896266707e-46,1.4093751293195355e-09,4.923220233956322e-31,7.863023471587336e-21,1.1124532792942405e-36,4.17728600977609e-06,5.538995049662057e-34,3.814156400839953e-07,1.0917883085201928e-06,3.4245397511220323e-06,1.2814619131302147e-06,4.115991634002068e-07,1.0751256904513492e-06,5.679095754226285e-08,2.807421196963999e-07,7.939217436940291e-08,1.1761898685335744e-07,2.841902716449205e-07,3.7007770793583825e-07,7.731103282886029e-08,7.907537913026368e-07,1.0793530292919152e-14,8.184687512329962e-13,1.2003211130255686e-13,1.9599569241646614e-11,2.414710049958096e-12,2.799252395329075e-08
3.6963126813494433e-11,0.10054149576763871,0.0,0.024954839105552712,0.031075110263184432,0.3194067195386198,0.3504792449787202,0.20701098806957244,0.09201781796989207,0.0,1.222550992160278e-19,4.186732571533399e-06,8.12204453565793e-17,0.0,4.8189224067927274e-29,6.079070567490199e-10,3.598060173853375e-22,8.127894341964545e-21,3.68529365075793e-29,1.1048142094412996e-12,2.44301679717247e-13,2.0097113311194607e-46,1.4122717196500525e-09,4.9536322557784704e-31,7.925333031357998e-21,1.1258349816246549e-36,4.185867952619756e-06,5.584449978277376e-34,3.814162249496649e-07,1.0924973097439327e-06,3.434442583527448e-06,1.2829583528796695e-06,4.1165822098960714e-07,1.076874766718443e-06,5.6915828790425136e-08,2.817581587890812e-07,7.955669618828849e-08,1.1831862682696312e-07,2.8522580395599885e-07,3.7177660226390796e-07,7.746989500226319e-08,7.923216875797655e-07,1.0875909269059474e-14,8.262133193593917e-13,1.2027006014630034e-13,1.9638501079466492e-11,2.416195342084682e-12,2.8106372899842983e-08
