Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),CH2X(34)
4.869215533616529e-12,0.06210963536780779,0.0,0.015420356112387052,0.031075110263184432,0.3194093269103004,0.35048457856582577,0.20701196396530047,0.09201772558608422,0.0,3.4316157516991804e-34,1.8172995948691135e-11,1.6556633024927546e-32,0.0,6.134785949431978e-49,2.570381837483788e-14,5.916440500164228e-37,3.2744359394880477e-34,3.8381851047259855e-50,3.33299605603584e-20,8.981757000103795e-24,9.48446739406687e-81,3.290227337340971e-19,2.2867683640764224e-54,1.1232557054771138e-34,4.748325635161009e-61,1.817261460346295e-11,1.337299823105265e-54,4.6995329423333966e-07,2.686913560763129e-07,1.7148835396099519e-07,2.1355554064824232e-07,1.7124154178829002e-07,8.593552615582374e-08,1.0291493434476155e-10,1.6936300450025255e-10,2.992462708862295e-16,1.276559596879703e-12,1.6853293920002223e-10,6.836656679355409e-11,8.202775659618651e-18,8.497322866678744e-08,1.9044085340781605e-21,1.724953242771062e-20,1.4408402277810372e-13
4.9212014723451514e-12,0.06210963536780779,0.0,0.015420342857502545,0.031075110263184432,0.31940932312252074,0.35048457628768415,0.20701196129114027,0.09201772291051648,0.0,3.548684891879615e-34,1.836701898105663e-11,1.7093110261829995e-32,0.0,6.538407498416272e-49,2.653700434840687e-14,6.1731776492702705e-37,3.3447278129066683e-34,3.962436821547405e-50,3.4045427651565045e-20,9.077650224799707e-24,1.0001696552340724e-80,3.3254895375187553e-19,2.3607968141754092e-54,1.1719980081489715e-34,5.060728785858518e-61,1.836662944985886e-11,1.395330619470314e-54,4.726288519657635e-07,2.7155611472572196e-07,1.7332413499272982e-07,2.158334882619741e-07,1.7300857029980957e-07,8.685127094315022e-08,1.0462532118467518e-10,1.7299384885440182e-10,3.0557806111449315e-16,1.3178136294653373e-12,1.7213697366931507e-10,7.031458138760108e-11,8.290352117718217e-18,8.588035722073958e-08,1.986161139248324e-21,1.8180920015907137e-20,1.4717678634841648e-13
4.973187411073774e-12,0.06210963536780779,0.0,0.015420329636146892,0.031075110263184432,0.3194093193347829,0.350484574009586,0.20701195861824567,0.09201772026727577,0.0,3.6686558410316412e-34,1.8561042012160995e-11,1.7641063658640503e-32,0.0,6.963919752846693e-49,2.7388028677271824e-14,6.43818104260536e-37,3.415766167174069e-34,4.0893415715802703e-50,3.476849212564316e-20,9.173543448257098e-24,1.0541248944410784e-80,3.3607545792610936e-19,2.436405926020916e-54,1.2223096777757747e-34,5.390075345377884e-61,1.8560644208069207e-11,1.455229861840134e-54,4.7527208283245946e-07,2.7442079113776176e-07,1.7516002621392042e-07,2.1811139243382723e-07,1.7477433480540868e-07,8.77669791018154e-08,1.0634210892345154e-10,1.766630978762854e-10,3.119761247195622e-16,1.3599454819352407e-12,1.757788429740202e-10,7.229477990449704e-11,8.377928574331984e-18,8.67874841726063e-08,2.0705142651807096e-21,1.915207408080075e-20,1.5030238477405236e-13
5.025173349802396e-12,0.06210963536780779,0.0,0.015420316447928534,0.031075110263184432,0.3194093155470868,0.3504845717315312,0.20701195594661578,0.09201771765597155,0.0,3.7915813158549607e-34,1.8755065042004247e-11,1.8200615119792055e-32,0.0,7.412262383634027e-49,2.825708139208591e-14,6.711626233573441e-37,3.4875510022627077e-34,4.2189273805345444e-50,3.5499153969191435e-20,9.269436670476554e-24,1.1103839488302418e-80,3.3960224627382983e-19,2.513612397167574e-54,1.274224043476321e-34,5.7370926190552894e-61,1.8754658878094135e-11,1.5170372315713805e-54,4.778833773485605e-07,2.7728538532265e-07,1.7699602775162e-07,2.203892531695253e-07,1.7653883621218477e-07,8.86826506355901e-08,1.0806517539652911e-10,1.8037074834845377e-10,3.184404616697424e-16,1.4029643314243107e-12,1.7945853795963484e-10,7.430728192218123e-11,8.46550502945998e-18,8.76946095263162e-08,2.1575223279843948e-21,2.016425280775404e-20,1.5346081781031154e-13
5.077159288531018e-12,0.06210963536780779,0.0,0.01542030329246062,0.031075110263184432,0.31940931175943243,0.35048456945351986,0.2070119532762496,0.09201771507621807,0.0,3.917514969160877e-34,1.894908807058642e-11,1.8771886563846672e-32,0.0,7.884404993956519e-49,2.914435255879802e-14,6.993690620038687e-37,3.5600823181453065e-34,4.351222274119118e-50,3.623741316884128e-20,9.365329891458661e-24,1.1690198205501107e-80,3.4312931881208755e-19,2.592432925169373e-54,1.3277747845399532e-34,6.102531079799916e-61,1.8948673459933794e-11,1.580792826948871e-54,4.8046312131172e-07,2.801498972905313e-07,1.7883213973051292e-07,2.2266707047473415e-07,1.7830207542653963e-07,8.959828554819838e-08,1.097944006996884e-10,1.8411679705391365e-10,3.249710719333396e-16,1.4468793530813724e-12,1.8317604947382094e-10,7.63522047510508e-11,8.553081483102242e-18,8.860173328575211e-08,2.2472403017763856e-21,2.1218740569603906e-20,1.5665208521089285e-13
5.1291452272596404e-12,0.06210963536780779,0.0,0.015420290169360962,0.031075110263184432,0.3194093079718198,0.35048456717555193,0.20701195060714628,0.09201771252763419,0.0,4.0465114080449026e-34,1.9143111097907528e-11,1.9354999923496588e-32,0.0,8.381347748284419e-49,3.0050032278682964e-14,7.284553444320089e-37,3.633360114794848e-34,4.486254278041815e-50,3.6983269711256393e-20,9.461223111204006e-24,1.2301070378831096e-80,3.4665667555795236e-19,2.672884207579662e-54,1.3829959304254658e-34,6.487164854958786e-61,1.9142687953588313e-11,1.646537163184661e-54,4.830116958590932e-07,2.8301432705147844e-07,1.8066836227295846e-07,2.2494484435506258e-07,1.8006405335418023e-07,9.05138838433181e-08,1.1152966714734095e-10,1.8790124077612274e-10,3.315679554786597e-16,1.4916997200696534e-12,1.8693136836639974e-10,7.842966347588212e-11,8.640657935258807e-18,8.950885545475157e-08,2.339723718528005e-21,2.231684819374578e-20,1.598761867278888e-13
5.181131165988263e-12,0.06210963536780779,0.0,0.015420277078251993,0.031075110263184432,0.3194093041842488,0.3504845648976274,0.20701194793930489,0.09201771000984332,0.0,4.178626212139633e-34,1.9337134123967605e-11,1.9950077145565415e-32,0.0,8.904122007864503e-49,3.0974310688370975e-14,7.584395793186058e-37,3.7073843921845643e-34,4.6240514180093945e-50,3.7736723583132465e-20,9.557116329713168e-24,1.2937216710335747e-80,3.5018431652851295e-19,2.7549829419511475e-54,1.439921860760016e-34,6.891792218181576e-61,1.9336702359057856e-11,1.7143111724171075e-54,4.855294775236431e-07,2.858786746154931e-07,1.825046954990331e-07,2.2722257481606319e-07,1.8182477090012012e-07,9.142944552458138e-08,1.1327085923156798e-10,1.9172407629898537e-10,3.3823111227400873e-16,1.5374346035672589e-12,1.90724485489347e-10,8.053977099699758e-11,8.728234385929709e-18,9.04159760371075e-08,2.435028667911373e-21,2.3459913229147303e-20,1.6313312211178178e-13
5.233117104716885e-12,0.06210963536780779,0.0,0.015420264018760689,0.031075110263184432,0.3194093003967196,0.3504845626197464,0.2070119452727245,0.09201770752247354,0.0,4.313915951953371e-34,1.9531157148766658e-11,2.0557240191009295e-32,0.0,9.453790972819386e-49,3.1917377959876316e-14,7.893400597849032e-37,3.782155150287942e-34,4.764641719727543e-50,3.849777477119677e-20,9.653009546986738e-24,1.3599413479156244e-80,3.5371224174087687e-19,2.8387458258358947e-54,1.4985873053380364e-34,7.31723608640526e-61,1.9530716676342563e-11,1.7841562037099485e-54,4.880168382897529e-07,2.8874293999250614e-07,1.843411395265722e-07,2.295002618632329e-07,1.8358422896868016e-07,9.234497059557528e-08,1.1501786358193306e-10,1.95585300406848e-10,3.4496054228769277e-16,1.584093172767646e-12,1.9455539169678782e-10,8.268263807065371e-11,8.815810835114982e-18,9.132309503656851e-08,2.5332117971459876e-21,2.4649300213284118e-20,1.6642289111143957e-13
5.285103043445507e-12,0.06210963536780779,0.0,0.015420250990518518,0.031075110263184432,0.31940929660923206,0.3504845603419088,0.2070119426074043,0.09201770506515737,0.0,4.452438207284866e-34,1.972518017230473e-11,2.1176611034918044e-32,0.0,1.0031450330714845e-48,3.287942430062542e-14,8.211752633960076e-37,3.85767238907871e-34,4.908053208900884e-50,3.926642326220777e-20,9.748902763025297e-24,1.4288452699411835e-80,3.572404512121693e-19,2.9241895567853316e-54,1.5590273441201444e-34,7.764344521845051e-61,1.9724730905442566e-11,1.8561140230513733e-54,4.904741456481803e-07,2.9160712319237976e-07,1.8617769447121093e-07,2.317779055020136e-07,1.8534242846348993e-07,9.326045905984228e-08,1.1677056892601892e-10,1.9948490988449428e-10,3.517562454880181e-16,1.6316845948800933e-12,1.9842407784499156e-10,8.48583733487007e-11,8.903387282814657e-18,9.223021245683974e-08,2.634330310845393e-21,2.588640093900482e-20,1.6974549347411172e-13
5.3370889821741294e-12,0.06210963536780779,0.0,0.015420237993161397,0.031075110263184432,0.3194092928217862,0.35048455806411455,0.20701193994334327,0.09201770263753173,0.0,4.5942515857190005e-34,1.9919203194581837e-11,2.1808311666516363e-32,0.0,1.0638228911734188e-48,3.386063995348401e-14,8.53963852160355e-37,3.933936108530837e-34,5.054313911232977e-50,4.004266904295477e-20,9.844795977829426e-24,1.5005142278078613e-80,3.607689449595335e-19,3.0113308323502416e-54,1.6212774072320626e-34,8.23399123909909e-61,1.9918745046358022e-11,1.930226813353104e-54,4.929017626503351e-07,2.9447122422490695e-07,1.880143604464245e-07,2.34055505737793e-07,1.8709937028748832e-07,9.417591092088085e-08,1.185288660507082e-10,2.0342290151714085e-10,3.5861822184329087e-16,1.6802180351301693e-12,2.0233053479236724e-10,8.706708341749364e-11,8.990963729028775e-18,9.313732830158306e-08,2.738441970863947e-21,2.7172634721318466e-20,1.731009289454254e-13
5.389074920902752e-12,0.06210963536780779,0.0,0.015420225026329636,0.031075110263184432,0.31940928903438204,0.3504845557863636,0.20701193728054054,0.09201770023923794,0.0,4.739415741194527e-34,2.0113226215598e-11,2.2452464089164954e-32,0.0,1.1275289350327936e-48,3.4861215196783737e-14,8.877246725291685e-37,4.01094630861853e-34,5.203451852426312e-50,4.0826512100257617e-20,9.940689191399712e-24,1.5750306172869616e-80,3.642977230001304e-19,3.100186350080769e-54,1.6853732749635308e-34,8.727076117265122e-61,2.0112759099089063e-11,2.00653717444947e-54,4.953000479619119e-07,2.973352430998133e-07,1.8985113756356749e-07,2.3633306257590502e-07,1.888550553429251e-07,9.509132618214593e-08,1.2029264776416316e-10,2.07399272090433e-10,3.6554647132181744e-16,1.7297026567601997e-12,2.0627475339945857e-10,8.930887283610029e-11,9.078540173757365e-18,9.404444257441791e-08,2.8456050961436716e-21,2.850944866411102e-20,1.7648919726938194e-13
5.441060859631374e-12,0.06210963536780779,0.0,0.015420212089667864,0.031075110263184432,0.31940928524701945,0.35048455350865615,0.2070119346189952,0.09201769786992169,0.0,4.8879913926481805e-34,2.030724923535325e-11,2.3109190320361704e-32,0.0,1.1943828753463492e-48,3.588134034434816e-14,9.224767553959295e-37,4.088702989316226e-34,5.35549505818232e-50,4.1617952420966235e-20,1.003658240373674e-23,1.6524784550113698e-80,3.6782678535113796e-19,3.1907728075264235e-54,1.75135107776723e-34,9.244525717165487e-61,2.0306773063635822e-11,2.0850881230964974e-54,4.976693559158665e-07,3.001991798267572e-07,1.9168802593191264e-07,2.386105760216307e-07,1.9060948453136144e-07,9.600670484704955e-08,1.22061808858521e-10,2.1141401839044008e-10,3.725409938919042e-16,1.7801476210297296e-12,2.1025672452893894e-10,9.158384417378914e-11,9.166116617000466e-18,9.49515552789215e-08,2.9558785625612e-21,2.989831792678477e-20,1.7991029818835305e-13
5.493046798359996e-12,0.06210963536780779,0.0,0.015420199182825011,0.031075110263184432,0.31940928145969855,0.3504845512309921,0.2070119319587064,0.09201769552923293,0.0,5.040040342726928e-34,2.0501272253847604e-11,2.3778612391742869e-32,0.0,1.264507937535673e-48,3.6921205745517813e-14,9.582393160958377e-37,4.167206150598587e-34,5.510471554201362e-50,4.2416989991960384e-20,1.0132475614841086e-23,1.732943394263553e-80,3.7135613202975094e-19,3.283106902236071e-54,1.8192472962576984e-34,9.787293803589136e-61,2.050078693999845e-11,2.1659230929709852e-54,5.000100365647595e-07,3.030630344153308e-07,1.9352502565868876e-07,2.408880460801986e-07,1.9236265875367127e-07,9.692204691896125e-08,1.2383624607326362e-10,2.1546713720365146e-10,3.796017895218576e-16,1.8315620872159878e-12,2.1427643904560717e-10,9.389209804683855e-11,9.253693058758108e-18,9.585866641862961e-08,3.0693218027748047e-21,3.134074599082638e-20,1.8336423144307736e-13
5.5450327370886184e-12,0.06210963536780779,0.0,0.015420186305454239,0.031075110263184432,0.3194092776724193,0.35048454895337144,0.20701192929967316,0.09201769321682583,0.0,5.195625496572189e-34,2.069529527108109e-11,2.44608523490842e-32,0.0,1.3380309298797256e-48,3.7981001785174996e-14,9.950317544052807e-37,4.2464557924405025e-34,5.668409366182745e-50,4.3223624800149205e-20,1.0228368824713333e-23,1.8165127407634475e-80,3.748857630531807e-19,3.37720533175794e-54,1.8890987612102557e-34,1.0356361872637134e-60,2.069480072817708e-11,2.249085934669596e-54,5.023224357324606e-07,3.0592680687506137e-07,1.9536213684911812e-07,2.431654727567857e-07,1.9411457891004205e-07,9.783735240120855e-08,1.256158580592756e-10,2.1955862531697206e-10,3.8672885817998423e-16,1.8839552126143432e-12,2.1833388781638266e-10,9.623373315465393e-11,9.341269499030328e-18,9.676577599703684e-08,3.185994806071519e-21,3.2838264926298454e-20,1.8685099677265718e-13
5.597018675817241e-12,0.06210963536780779,0.0,0.01542017345721287,0.031075110263184432,0.31940927388518164,0.3504845466757941,0.20701192664189466,0.09201769093235881,0.0,5.354810880668435e-34,2.0889318287053727e-11,2.515603225230214e-32,0.0,1.4150823122961433e-48,3.906091888376758e-14,1.0328736545413003e-36,4.326451914817078e-34,5.8293365198247e-50,4.4037856832471016e-20,1.0324262033354066e-23,1.9032754684564527e-80,3.784156784386549e-19,3.4730847936396185e-54,1.9609426535599282e-34,1.0952739684089702e-60,2.0888814428171845e-11,2.334620915707942e-54,5.046068950652351e-07,3.0879049721541107e-07,1.9719935960645314e-07,2.4544285605651773e-07,1.9586524589997608e-07,9.875262129707767e-08,1.274005453435533e-10,2.2368847951771845e-10,3.9392219983459066e-16,1.937336152538766e-12,2.224290617103007e-10,9.860884631522942e-11,9.42884593781716e-18,9.767288401759735e-08,3.3059581182143384e-21,3.439243565825937e-20,1.9037059391455526e-13
5.649004614545863e-12,0.06210963536780779,0.0,0.015420160637762383,0.031075110263184432,0.31940927009798564,0.35048454439826005,0.2070119239853699,0.09201768867549427,0.0,5.517661661759536e-34,2.108334130176555e-11,2.5864274175454973e-32,0.0,1.495796265781346e-48,4.016114749733245e-14,1.0717847851610607e-36,4.407194517703635e-34,5.993281040824411e-50,4.485968607589281e-20,1.0420155240763865e-23,1.993322235301324e-80,3.8194587820341705e-19,3.570761985428063e-54,2.034816504400374e-34,1.1577465798872369e-60,2.1082828039982887e-11,2.4225727205196764e-54,5.068637520822065e-07,3.1165410544577854e-07,1.9903669403201214e-07,2.4772019598446994e-07,1.976146606222912e-07,9.966785360981379e-08,1.2919021029457533e-10,2.278566965936145e-10,4.011818144539836e-16,1.9917140603222824e-12,2.2656195159850828e-10,1.010175324999442e-10,9.516422375118641e-18,9.857999048372503e-08,3.4292728412895105e-21,3.600484823310707e-20,1.9392302260459142e-13
5.700990553274485e-12,0.06210963536780779,0.0,0.015420147846768314,0.031075110263184432,0.31940926631083116,0.3504845421207695,0.20701192133009805,0.09201768644589879,0.0,5.684244165825871e-34,2.1277364315216576e-11,2.6585700206744044e-32,0.0,1.580310762499946e-48,4.1281878117518273e-14,1.1117850993613178e-36,4.488683601075703e-34,6.160270954877994e-50,4.5689112517410073e-20,1.0516048446943304e-23,2.0867453990581556e-80,3.8547636236472626e-19,3.670253604669588e-54,2.110758194982808e-34,1.2231608121547765e-60,2.127684156361034e-11,2.5129864504555844e-54,5.090933402252165e-07,3.1451763157549946e-07,2.008741402252146e-07,2.4999749254566773e-07,1.9936282397512188e-07,1.0058304934262172e-07,1.3098475708830215e-10,2.3206327333278776e-10,4.0850770200646976e-16,2.047098087317428e-12,2.3073254835425931e-10,1.0345988486772624e-10,9.603998810934805e-18,9.948709539879434e-08,3.55600063355391e-21,3.767712208485096e-20,1.9750828257693977e-13
5.7529764920031074e-12,0.06210963536780779,0.0,0.01542013508390024,0.031075110263184432,0.3194092625237184,0.3504845398433223,0.20701191867607818,0.092017684243243,0.0,5.85462589712515e-34,2.1471387327406824e-11,2.7320432448514835e-32,0.0,1.6687676365324555e-48,4.2423301271607526e-14,1.1528947346778891e-36,4.570919164909021e-34,6.330334287680503e-50,4.6526136144046356e-20,1.0611941651892975e-23,2.1836390330762797e-80,3.890071309398571e-19,3.771576348909872e-54,2.1888059567149352e-34,1.2916264447902566e-60,2.147085499905434e-11,2.6059076237826782e-54,5.112959889080759e-07,3.17381075613847e-07,2.0271169828361626e-07,2.5227474574508737e-07,2.0110973685592034e-07,1.0149820849866627e-07,1.3278409167481123e-10,2.363082065237649e-10,4.1589986246035603e-16,2.103497382896698e-12,2.349408428529104e-10,1.0593599479857593e-10,9.691575245265682e-18,1.0039419876614054e-07,3.68620370928248e-21,3.941090630130798e-20,2.0112637356412568e-13
