Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88)
2.0484711913550006e-09,0.054791484931128634,0.0,0.013343905311226107,0.031075110263184432,0.3192770313551142,0.3504070225931021,0.20700671646780197,0.0920172898090441,0.0,9.91264828042725e-31,1.585269039950792e-10,1.2715834606007355e-28,0.0,1.2539429046707903e-59,2.588436693313407e-07,1.4940396826744192e-51,4.011056711966807e-33,4.592335440357294e-49,6.568449557143214e-38,1.3221302799373418e-24,1.7379031764813384e-78,8.720841301313166e-19,5.573226533931686e-54,6.429044300335078e-49,1.9134468436697197e-73,1.5720498814817795e-10,1.4849173082869806e-62,9.057327351976512e-07,9.662916028396762e-05,4.3991043639315834e-05,7.776938791064303e-05,5.503712413246913e-06,2.753398884803079e-05,2.4877110426054524e-13,8.487371093958819e-06,1.0151756955659283e-12
2.0537251869818917e-09,0.054791484931128634,0.0,0.01334327630869482,0.031075110263184432,0.31927671134115193,0.35040683938768463,0.20700671672828513,0.0920172898517569,0.0,9.989112832158349e-31,1.589334557694234e-10,1.2848627289127873e-28,0.0,1.276594293305085e-59,2.610083112652623e-07,1.5132529616031646e-51,4.031663707721875e-33,4.6277618605168925e-49,6.619012574642401e-38,1.3255213226837783e-24,1.7603049427543446e-78,8.771465676654298e-19,5.616219772576759e-54,6.5117094741719e-49,1.9480118092520713e-73,1.5760477998630863e-10,1.5002370574782447e-62,9.056900298868641e-07,9.685858034294744e-05,4.411713039183246e-05,7.79525929215355e-05,5.503451930105737e-06,2.758476060552356e-05,2.480365506538097e-13,8.52719323455254e-06,1.0203744322496172e-12
2.058979182608783e-09,0.054791484931128634,0.0,0.013342647482425425,0.031075110263184432,0.319276391433009,0.3504066562611196,0.2070067169887217,0.09201728989445779,0.0,1.0065969578807392e-30,1.593400073312533e-10,1.2982527431767958e-28,0.0,1.2995953199696895e-59,2.631853611334838e-07,1.5326631678582464e-51,4.052323566918375e-33,4.663370005948595e-49,6.669833862495582e-38,1.328912365434426e-24,1.7829371247656084e-78,8.822314835283455e-19,5.659433551461488e-54,6.5952217428952105e-49,1.9831103118306034e-73,1.5800455452175376e-10,1.515675179429449e-62,9.056473365107758e-07,9.708793281453575e-05,4.424322549576952e-05,7.813571907999479e-05,5.503191493513948e-06,2.7635422731767108e-05,2.473062239639362e-13,8.567086774415237e-06,1.0255863676675639e-12
2.064233178235674e-09,0.054791484931128634,0.0,0.013342018832778491,0.031075110263184432,0.31927607163069205,0.35040647321337454,0.20700671724911093,0.09201728993714672,0.0,1.014321952340295e-30,1.5974655868066046e-10,1.311754235287727e-28,0.0,1.322950466763344e-59,2.653748551964595e-07,1.5522718078421797e-51,4.07303629045171e-33,4.699160341555122e-49,6.720914073034089e-38,1.3323034081892844e-24,1.8058014954359297e-78,8.873389781540597e-19,5.702868434786529e-54,6.679587584013608e-49,2.018749191071198e-73,1.5840431175572555e-10,1.5312322841072515e-62,9.056046550939438e-07,9.73172178420601e-05,4.436932856387699e-05,7.831876641846984e-05,5.50293110429459e-06,2.768597524162287e-05,2.4658011067659915e-13,8.607051548751613e-06,1.0308115012235883e-12
2.069487173862565e-09,0.054791484931128634,0.0,0.013341390360113479,0.031075110263184432,0.3192757519342075,0.3504062902444171,0.20700671750945193,0.09201728997982368,0.0,1.0220863668972113e-30,1.6015310981773624e-10,1.3253679412610976e-28,0.0,1.3466642615657429e-59,2.675768296831363e-07,1.5720803955751703e-51,4.093801879222543e-33,4.735133332239193e-49,6.772253858546932e-38,1.3356944509483527e-24,1.8288998367572944e-78,8.92469152499486e-19,5.746524986752532e-54,6.764813507767395e-49,2.0549353565033477e-73,1.5880405168943591e-10,1.5469089830639356e-62,9.055619856608512e-07,9.75464355681702e-05,4.4495439209859535e-05,7.85017349694031e-05,5.502670763249447e-06,2.7736418150747297e-05,2.458581669362108e-13,8.647087392814757e-06,1.0360498323215647e-12
2.074741169489456e-09,0.054791484931128634,0.0,0.013340762064788758,0.031075110263184432,0.3192754323435616,0.35040610735421474,0.20700671776974405,0.09201729002248867,0.0,1.0298903018540488e-30,1.605596607425721e-10,1.3390946012563939e-28,0.0,1.3707412783863736e-59,2.697913207906141e-07,1.592090452713875e-51,4.114620334136814e-33,4.771289442903527e-49,6.823853871280817e-38,1.3390854937116302e-24,1.8522339398160248e-78,8.976221080459213e-19,5.790403771560143e-54,6.850906057209006e-49,2.0916757880525366e-73,1.592037743240963e-10,1.5627058894375496e-62,9.05519328235908e-07,9.777558613483849e-05,4.46215570483784e-05,7.868462476523055e-05,5.502410471159681e-06,2.7786751475590703e-05,2.451402871014231e-13,8.687194141907283e-06,1.0413013603654214e-12
2.0799951651163472e-09,0.054791484931128634,0.0,0.013340133947161608,0.031075110263184432,0.3192751128587606,0.35040592454273506,0.20700671802998644,0.09201729006514162,0.0,1.0377338575132189e-30,1.609662114552594e-10,1.3529349596006185e-28,0.0,1.3951861377151043e-59,2.720183646838075e-07,1.612303508570158e-51,4.1354916561057494e-33,4.807629138450852e-49,6.875714763440134e-38,1.3424765364791157e-24,1.8758056048159232e-78,9.027979468005066e-19,5.834505353410005e-54,6.937871808283408e-49,2.128977536575274e-73,1.5960347966091787e-10,1.5786236179520485e-62,9.054766828434486e-07,9.800466968336004e-05,4.474768169505325e-05,7.886743583838162e-05,5.502150228786485e-06,2.783697523339615e-05,2.4442638270567383e-13,8.727371631382456e-06,1.0465660847591425e-12
2.0852491607432383e-09,0.054791484931128634,0.0,0.013339506007588204,0.031075110263184432,0.31927479347981025,0.35040574180994566,0.2070067182901784,0.09201729010778252,0.0,1.0456171341769865e-30,1.613727619558894e-10,1.3668897648119392e-28,0.0,1.4200035068742257e-59,2.7425799749510834e-07,1.632721100129838e-51,4.15641584604588e-33,4.844152883783892e-49,6.927837187186967e-38,1.3458675792508088e-24,1.8996166411014221e-78,9.079967712976836e-19,5.878830296502762e-54,7.025717369908491e-49,2.1668477243963535e-73,1.600031677011115e-10,1.5946627849174292e-62,9.054340495077334e-07,9.823368635435297e-05,4.487381276646402e-05,7.905016822127927e-05,5.501890036871688e-06,2.7887089442198303e-05,2.437164085351496e-13,8.767619696645332e-06,1.0518440049067667e-12
2.0905031563701294e-09,0.054791484931128634,0.0,0.013338878246423607,0.031075110263184432,0.3192744742067164,0.350405559155814,0.2070067185503191,0.09201729015041135,0.0,1.0535402321474667e-30,1.6177931224455336e-10,1.380959769623482e-28,0.0,1.4451981003725672e-59,2.7651025532405093e-07,1.653344772071444e-51,4.1773929048790504e-33,4.880861143805374e-49,6.980221794641104e-38,1.3492586220267083e-24,1.9236688671807299e-78,9.132186846006522e-19,5.923379165039048e-54,7.114449384055429e-49,2.205293545849282e-73,1.6040283844588773e-10,1.6108240082298735e-62,9.053914282529485e-07,9.846263628775849e-05,4.4999949880152786e-05,7.92328219463399e-05,5.501629896138358e-06,2.7937094120822244e-05,2.4301044809909023e-13,8.807938173153885e-06,1.0571351202123884e-12
2.0957571519970205e-09,0.054791484931128634,0.0,0.013338250664021795,0.031075110263184432,0.31927415503948464,0.35040537658030785,0.20700671881040797,0.09201729019302811,0.0,1.0615032517266285e-30,1.6218586232134262e-10,1.3951457310072387e-28,0.0,1.4707746802612988e-59,2.787751742369775e-07,1.6741760767849556e-51,4.198422833532434e-33,4.917754383418025e-49,7.032869237880031e-38,1.352649664806814e-24,1.9479641107489795e-78,9.184637903028187e-19,5.968152523219499e-54,7.204074525829043e-49,2.244322267819272e-73,1.6080249189645673e-10,1.6271079073718857e-62,9.053488191032046e-07,9.869151962284134e-05,4.512609265462523e-05,7.941539704597335e-05,5.501369807291382e-06,2.7986989288882296e-05,2.423085358803642e-13,8.848326896420122e-06,1.0624394300801555e-12
