Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210)
1.0515896891902489e-09,0.08478463093452131,0.0,0.020868016752822106,0.031075110263184432,0.31935834219796416,0.35047195887070415,0.20699036369756946,0.09203696007636514,0.0,4.7797852473240704e-17,6.300982932255082e-06,2.82909781702303e-16,0.0,1.3435635882660462e-24,1.004909361367188e-05,1.191378169895015e-19,2.4226037989813383e-21,4.813255144863479e-30,1.734128975243817e-11,1.1126628335240148e-14,6.860318778788618e-48,1.003849765230736e-10,1.0015466758963427e-32,4.476601345795975e-18,1.789290211648784e-33,6.267609371714341e-06,3.1971253958793245e-33,4.3809534961935425e-07,6.85211673529034e-06,8.440211686061611e-05,6.528328007395838e-06,6.754700298611795e-07,2.876447808725481e-06,1.7513770337487462e-07,2.940170675467757e-06,2.963070827452401e-08,3.58013137779857e-05,2.8399986850175964e-06,1.9296917322911993e-05,3.957895739725881e-09,2.1180995263287607e-05
1.0547360996994963e-09,0.08478463093452131,0.0,0.020867747402972665,0.031075110263184432,0.3193582194993192,0.3504719400627819,0.20699030098571658,0.09203707157729907,0.0,4.8112393117947184e-17,6.3198355856887266e-06,2.8548606938938867e-16,0.0,1.3678253493132982e-24,1.0113737637793165e-05,1.205669082302636e-19,2.437143408411801e-21,4.856587937606651e-30,1.7444810250155012e-11,1.1159918059840084e-14,6.963565504460382e-48,1.0069669291526188e-10,1.010563584614244e-32,4.5302700709855835e-18,1.8216006198511508e-33,6.286262379260276e-06,3.235497233702229e-33,4.3809891839011175e-07,6.85378369184578e-06,8.447459410785465e-05,6.528271434759551e-06,6.754609558402155e-07,2.8755911557770585e-06,1.7522383114064697e-07,2.938908680375322e-06,2.97958422764794e-08,3.592051078751303e-05,2.8437868779743987e-06,1.9308511540873336e-05,3.96973710472252e-09,2.1243716086651916e-05
1.0578825102087437e-09,0.08478463093452131,0.0,0.020867478924149148,0.031075110263184432,0.3193580968459634,0.3504719212555357,0.2069902382766777,0.09203718322400682,0.0,4.842734736330797e-17,6.338688238108685e-06,2.880780639215538e-16,0.0,1.3924508901455827e-24,1.017849214442788e-05,1.220088007073606e-19,2.451726698651986e-21,4.900180023998738e-30,1.754863683063889e-11,1.1193207774219122e-14,7.068051578177953e-48,1.0100845067828897e-10,1.0196344513711318e-32,4.5844191049358415e-18,1.8543954850152526e-33,6.304914792574951e-06,3.27421310835023e-33,4.3810239264672224e-07,6.8554346133096716e-06,8.454644092465773e-05,6.528214187206753e-06,6.75451911399239e-07,2.8747421342968147e-06,1.7530877831178884e-07,2.9376555267904114e-06,2.9961430896615626e-08,3.603965735420861e-05,2.8475793320120233e-06,1.931991567157308e-05,3.981578465262455e-09,2.1306434066098246e-05
1.061028920717991e-09,0.08478463093452131,0.0,0.020867211308374115,0.031075110263184432,0.3193579742374867,0.3504719024489426,0.20699017557044702,0.09203729501500814,0.0,4.8742709557235494e-17,6.357540889514988e-06,2.9068581407587426e-16,0.0,1.4174445568944979e-24,1.0243356265169482e-05,1.2346357040529026e-19,2.4663536715505758e-21,4.944032177424967e-30,1.7652769480022804e-11,1.1226497478377436e-14,7.173788124174322e-48,1.0132024976514906e-10,1.0287594371424061e-32,4.63905129344066e-18,1.8876805949500425e-33,6.32356661167753e-06,3.3132750656472796e-33,4.3810577302523403e-07,6.857069660429151e-06,8.461766301601593e-05,6.528156287644871e-06,6.754428962698329e-07,2.873900667019339e-06,1.7539255476384037e-07,2.9364111882910946e-06,3.0127474120122376e-08,3.615875391452148e-05,2.851375963911187e-06,1.933113153795752e-05,3.993419821347466e-09,2.13691492076917e-05
1.0641753312272385e-09,0.08478463093452131,0.0,0.02086694454773097,0.031075110263184432,0.31935785167348274,0.35047188364298,0.2069901128670189,0.0920374069488335,0.0,4.905847409486455e-17,6.376393539907665e-06,2.9330936863767483e-16,0.0,1.4428107344435345e-24,1.030832913789565e-05,1.2493129353095621e-19,2.4810243289566367e-21,4.988145171269846e-30,1.7757208184469228e-11,1.1259787172315207e-14,7.280786333050575e-48,1.0163209013072424e-10,1.0379387029036668e-32,4.694169490576648e-18,1.921461789069885e-33,6.3422178365871835e-06,3.352685157437678e-33,4.38109060163258e-07,6.858688992398776e-06,8.46882660437736e-05,6.528097758366492e-06,6.754339101855736e-07,2.873066677427134e-06,1.754751703315408e-07,2.935175637402744e-06,3.0293971932189756e-08,3.627780090152437e-05,2.8551766915698525e-06,1.9342160950095864e-05,4.005261172979308e-09,2.1431861517448596e-05
1.0673217417364859e-09,0.08478463093452131,0.0,0.02086667863436376,0.031075110263184432,0.3193577291535495,0.3504718648376266,0.20699005016638755,0.09203751902402388,0.0,4.937463541844999e-17,6.395246189286743e-06,2.9594877640056395e-16,0.0,1.4685538466567089e-24,1.0373409906752483e-05,1.264120465136497e-19,2.4957386727196124e-21,5.032519778917175e-30,1.786195293016987e-11,1.1293076856032613e-14,7.389057461973304e-48,1.0194397173176916e-10,1.047172409630715e-32,4.749776558702166e-18,1.955744958699007e-33,6.360868467323097e-06,3.3924454415857756e-33,4.3811225469981266e-07,6.860292766874121e-06,8.475825562674803e-05,6.528038621064703e-06,6.754249528820246e-07,2.8722400897447603e-06,1.7555663480808085e-07,2.93394884563566e-06,3.04609243180084e-08,3.6396798744914985e-05,2.8589814339963966e-06,1.9353005705188765e-05,4.0171025201597275e-09,2.1494571001336696e-05
1.0704681522457333e-09,0.08478463093452131,0.0,0.020866413560477026,0.031075110263184432,0.3193576066772889,0.35047184603286113,0.20698998746854735,0.09203763123913102,0.0,4.969118801725783e-17,6.414098837652245e-06,2.9860408616646793e-16,0.0,1.4946783566078567e-24,1.0438597722137992e-05,1.2790590600503215e-19,2.5104967046893037e-21,5.077156773750031e-30,1.796700370334545e-11,1.1326366529529826e-14,7.498612834872e-48,1.0225589452689563e-10,1.0564607182995536e-32,4.8058753684563574e-18,1.99053604737683e-33,6.379518503904466e-06,3.4325579819756716e-33,4.3811535727517326e-07,6.861881139985261e-06,8.48276373408532e-05,6.527978896848075e-06,6.754160240967333e-07,2.8714208289329868e-06,1.756369579443811e-07,2.932730783521784e-06,3.0628331262769345e-08,3.651574787101827e-05,2.8627901113025506e-06,1.9363667587579012e-05,4.0289438628904455e-09,2.155727766527549e-05
1.0736145627549807e-09,0.08478463093452131,0.0,0.020866149318335553,0.031075110263184432,0.31935748424430704,0.3504718272286631,0.20698992477349262,0.09203774359271716,0.0,5.000812642745026e-17,6.4329514850042e-06,3.0127534674566673e-16,0.0,1.5211887668105822e-24,1.0503891740684827e-05,1.294129488791169e-19,2.5252984267158567e-21,5.122056929150782e-30,1.807236049024544e-11,1.1359656192807025e-14,7.60946384263646e-48,1.0256785847655737e-10,1.0658037898863892e-32,4.862468798758202e-18,2.025841051164184e-33,6.398167946350503e-06,3.4730248485109024e-33,4.3811836853072455e-07,6.863454266350168e-06,8.489641671922821e-05,6.52791860625526e-06,6.754071235692252e-07,2.8706088206829456e-06,1.7571614944839682e-07,2.9315214206505188e-06,3.079619275166411e-08,3.6634648702789384e-05,2.8666026446961388e-06,1.9374148368764345e-05,4.0407852011731785e-09,2.1619981515136495e-05
1.076760973264228e-09,0.08478463093452131,0.0,0.02086588590026423,0.031075110263184432,0.31935736185421365,0.35047180842501235,0.20698986208121783,0.09203785608335525,0.0,5.0325445231964626e-17,6.4518041313426295e-06,3.0396260695682878e-16,0.0,1.5480896194488773e-24,1.0569291125242413e-05,1.309332522322518e-19,2.5401438406497474e-21,5.167221018501078e-30,1.8178023277147838e-11,1.1392945845864382e-14,7.721621943314198e-48,1.0287986354303458e-10,1.0752017853676325e-32,4.9195597368055645e-18,2.0616660189504004e-33,6.416816794680424e-06,3.5138481171141496e-33,4.3812128910881496e-07,6.865012299088001e-06,8.496459925237051e-05,6.527857769269257e-06,6.753982510409975e-07,2.8698039914102907e-06,1.7579421898444807e-07,2.9303207257036813e-06,3.096450876988469e-08,3.6753501659817696e-05,2.870418956473632e-06,1.9384449807412318e-05,4.052626535009619e-09,2.168268255674354e-05
1.0799073837734755e-09,0.08478463093452131,0.0,0.020865623298647804,0.031075110263184432,0.31935723950662276,0.35047178962188963,0.20698979939171744,0.09203796870962874,0.0,5.064313906038635e-17,6.470656776667557e-06,3.0666591562704695e-16,0.0,1.5753854966083945e-24,1.0634795044858336e-05,1.3246689338310117e-19,2.55503294834177e-21,5.212649815181856e-30,1.828399205035894e-11,1.1426235488702075e-14,7.835098662307832e-48,1.0319190969041909e-10,1.0846548657198998e-32,4.977151078074229e-18,2.0980170527612858e-33,6.435465048913464e-06,3.555029869726936e-33,4.3812411965261593e-07,6.866555389832302e-06,8.503219038827345e-05,6.527796405331318e-06,6.753894062555159e-07,2.869006268249371e-06,1.758711761725746e-07,2.929128666489588e-06,3.113327930262354e-08,3.6872307158331276e-05,2.874238970012516e-06,1.9394573649377208e-05,4.064467864401447e-09,2.1745380795873027e-05
1.0830537942827229e-09,0.08478463093452131,0.0,0.020865361505930675,0.031075110263184432,0.3193571172011519,0.350471770819276,0.20698973670498608,0.09203808147013165,0.0,5.09612025888164e-17,6.489509420979003e-06,3.0938532159187436e-16,0.0,1.6030810205083837e-24,1.0700402674759154e-05,1.3401394987262803e-19,2.569965751643025e-21,5.258344092573338e-30,1.8390266796213115e-11,1.145952512132027e-14,7.949905592572501e-48,1.0350399688459893e-10,1.0941631919200141e-32,5.035245726316961e-18,2.1349003080679736e-33,6.454112709068867e-06,3.596572194309318e-33,4.38126860805983e-07,6.8680836887440935e-06,8.509919553256801e-05,6.527734533354514e-06,6.753805889582067e-07,2.868215579047406e-06,1.7594703058791541e-07,2.9279452099763164e-06,3.1302504335073575e-08,3.6991065611202424e-05,2.8780626097634946e-06,1.940452162771882e-05,4.076309189350332e-09,2.1808076238254244e-05
1.0862002047919703e-09,0.08478463093452131,0.0,0.020865100514616684,0.031075110263184432,0.31935699493742264,0.3504717520171529,0.20698967402101823,0.09203819436346855,0.0,5.127963053973309e-17,6.5083620642769915e-06,3.121208736953605e-16,0.0,1.631180853734292e-24,1.0766113196330544e-05,1.3557449946407646e-19,2.584942252404901e-21,5.304304624055031e-30,1.849684750107257e-11,1.1492814743719148e-14,8.066054394813259e-48,1.0381612509324347e-10,1.1037269249450072e-32,5.093846593562541e-18,2.1723219940966606e-33,6.472759775165895e-06,3.638477184839595e-33,4.381295132133201e-07,6.869597344524891e-06,8.5165620048669e-05,6.527672171736983e-06,6.753717988964517e-07,2.867431852358682e-06,1.7602179176011254e-07,2.9267703223241377e-06,3.147218385242814e-08,3.7109777427953787e-05,2.8818898012425263e-06,1.941429546272326e-05,4.088150509857922e-09,2.187076888956963e-05
1.0893466153012177e-09,0.08478463093452131,0.0,0.020864840317268887,0.031075110263184432,0.3193568727150605,0.3504717332155027,0.20698961133980845,0.09203830738825447,0.0,5.1598417681848534e-17,6.527214706561538e-06,3.1487262079008837e-16,0.0,1.6596896994710164e-24,1.0831925797096891e-05,1.3714862014295387e-19,2.5999624524790668e-21,5.350532183005727e-30,1.8603734151327103e-11,1.1526104355898872e-14,8.183556797682478e-48,1.0412829428578846e-10,1.1133462257721182e-32,5.152956600114824e-18,2.210288374139217e-33,6.491406247223812e-06,3.680746941313997e-33,4.3813207751944797e-07,6.871096504429599e-06,8.523146925792502e-05,6.527609338374839e-06,6.753630358195819e-07,2.8666550174387493e-06,1.7609546917273834e-07,2.9256039689171524e-06,3.1642317839881096e-08,3.722844301476509e-05,2.8857204710227217e-06,1.9423896861925502e-05,4.099991825925852e-09,2.1933458755455053e-05
1.092493025810465e-09,0.08478463093452131,0.0,0.020864580906509347,0.031075110263184432,0.3193567505336945,0.35047171441430786,0.20698954866135155,0.092038420543115,0.0,5.191755882995997e-17,6.546067347832663e-06,3.176406117372103e-16,0.0,1.688612301736829e-24,1.0897839670700235e-05,1.38736390117013e-19,2.6150263537174564e-21,5.397027542803502e-30,1.8710926733393922e-11,1.1559393957859614e-14,8.302424597977268e-48,1.0444050443342105e-10,1.1230212553787974e-32,5.2125786745517794e-18,2.248805765864679e-33,6.510052125261904e-06,3.7233835697464e-33,4.3813455436947436e-07,6.872581314279332e-06,8.529674843977244e-05,6.52754605067478e-06,6.753542994788708e-07,2.865885004238643e-06,1.7616807226274598e-07,2.92444611439414e-06,3.1812906282626755e-08,3.734706277448076e-05,2.889554546726093e-06,1.943332752013376e-05,4.111833137555746e-09,2.1996145841500125e-05
