Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),CH2X(34),CHX(35),CX(33),SX(708),HNOH(93)
2.3149908359484455e-08,0.0521079599565058,0.0,0.010779488147021241,0.031075110263184432,0.3183783097390814,0.34991972774521984,0.2067045591275002,0.09222403847259866,0.0,1.3308283042338677e-26,3.1953360955771396e-10,2.025868627888166e-24,0.0,8.594694547396745e-35,0.00013301655000086952,2.5284837712464163e-28,1.0552411916106726e-28,6.592566424048305e-49,7.504406098631563e-16,4.486588629047428e-25,5.246152426679534e-78,8.089481565755402e-16,4.0575545291598875e-54,1.4675211095186598e-25,2.3106242190964875e-49,2.100476343797205e-10,1.0116214744944742e-48,8.865568077103642e-07,0.0007522281146079234,0.00025372187227847373,0.0005650640747865632,6.5495809655685355e-06,3.699785206792824e-05,5.543927859346359e-09,3.513199165785147e-05,1.759302534028886e-11,9.037567601049334e-05,0.00011656652992273844,2.7904539838502527e-07,3.7245826460145654e-18,0.00029089025935425896,1.711607381818184e-10,1.0149278625670149e-05,3.369468249266138e-18,1.2707694819350944e-13,4.155245269643519e-17,7.176248029031934e-08,1.9293248087537237e-10
2.323820616749592e-08,0.0521079599565058,0.0,0.010774608050680352,0.031075110263184432,0.31837568507841746,0.34991854472325506,0.20670358482477286,0.0922249991135119,0.0,1.3317907138054496e-26,3.2075155680590847e-10,2.068803252276225e-24,0.0,8.779030707069732e-35,0.00013380675949213852,2.563159069114829e-28,1.0632967527977625e-28,6.6682540325601885e-49,7.557507940826794e-16,4.503685520244987e-25,5.346924640699804e-78,8.19366801073312e-16,4.104136357459696e-54,1.4872491575408453e-25,2.360180140381417e-49,2.1054002769255524e-10,1.026672266368471e-48,8.861683782808766e-07,0.0007538332168285113,0.000253821215945236,0.0005662470955333262,6.546566363239957e-06,3.7018912503654876e-05,5.543902724893962e-09,3.517045483730352e-05,1.771062203924795e-11,9.075030575951143e-05,0.0001171513100445995,2.7882734635111244e-07,3.773894447873964e-18,0.00029175244378657525,1.7247096126614922e-10,1.0263786402591927e-05,3.38012056169206e-18,1.2778210105694564e-13,4.174278662914258e-17,7.23862897660778e-08,1.9396263127338112e-10
2.3326503975507386e-08,0.0521079599565058,0.0,0.010769741398621354,0.031075110263184432,0.3183730670460023,0.34991736673909124,0.20670261140436294,0.09222596012412594,0.0,1.3327517900548724e-26,3.219694999451897e-10,2.1124549461802837e-24,0.0,8.966550270986463e-35,0.0001345975747753999,2.5981622549741122e-28,1.0713828872076145e-28,6.74451847681748e-49,7.610766785680154e-16,4.520782300281165e-25,5.449239199499308e-78,8.298690561809508e-16,4.1510731691476237e-54,1.5071566719071898e-25,2.410591821849286e-49,2.1103073978936942e-10,1.0418869888806658e-48,8.857810353309446e-07,0.0007554315832733774,0.00025391966419520314,0.0005674250784791971,6.543560083023461e-06,3.7039875975685884e-05,5.543879203276098e-09,3.520875011746591e-05,1.7828500838972225e-11,9.112493862171332e-05,0.0001177364562561489,2.786108952907372e-07,3.823783714535356e-18,0.0002926129209510883,1.7378554995844374e-10,1.0379107618030083e-05,3.390757445887051e-18,1.2848868230575106e-13,4.193335194000291e-17,7.301328461665428e-08,1.94994294264245e-10
2.341480178351885e-08,0.0521079599565058,0.0,0.010764888126425209,0.031075110263184432,0.31837045561679017,0.3499161937732742,0.20670163886346263,0.09222692150140302,0.0,1.3337115453775154e-26,3.2318743899305874e-10,2.156832354639033e-24,0.0,9.157294663263479e-35,0.00013538899055532005,2.63349494505532e-28,1.0794995943154147e-28,6.821361942826344e-49,7.664182322057852e-16,4.5378789692293845e-25,5.553113733318923e-78,8.404551336926689e-16,4.1983663091567375e-54,1.5272444384322804e-25,2.4618703978256085e-49,2.1151977651477968e-10,1.0572667659688479e-48,8.853947733705463e-07,0.0007570232416092954,0.0002540172341945731,0.0005685980430782761,6.540562084777887e-06,3.706074177876054e-05,5.5438569831896135e-09,3.524687867024642e-05,1.794666084200409e-11,9.149957251623482e-05,0.00011832196754562532,2.7839600107312743e-07,3.874255065979391e-18,0.00029347169156662423,1.7510449131103396e-10,1.0495244396355072e-05,3.4013789089326407e-18,1.2919668794367883e-13,4.21241488466317e-17,7.36434696763467e-08,1.9602746385442736e-10
2.3503099591530316e-08,0.0521079599565058,0.0,0.01076004817015016,0.031075110263184432,0.31836785076585034,0.3499150258064284,0.20670066719927865,0.09222788324231314,0.0,1.3346699918475423e-26,3.24405373966949e-10,2.2019441843168613e-24,0.0,9.351305663124675e-35,0.00013618100163669447,2.6691587544962587e-28,1.0876468735977593e-28,6.898786616552742e-49,7.717754238956728e-16,4.554975527162836e-25,5.658566006115922e-78,8.51125243973977e-16,4.246017122392909e-54,1.5475132413213117e-25,2.514027098057274e-49,2.12007143692634e-10,1.0728127245110319e-48,8.850095869530994e-07,0.000758608219386938,0.0002541139428395344,0.0005697660087060914,6.537572328662305e-06,3.70815092273177e-05,5.543835758765301e-09,3.5284841640234546e-05,1.8065101154017933e-11,9.187420536214902e-05,0.00011890784291016877,2.781826204024153e-07,3.925313133816831e-18,0.00029432875634771266,1.7642777230135912e-10,1.061219885125304e-05,3.4119849578391402e-18,1.2990611394403624e-13,4.231517755438078e-17,7.427684975353671e-08,1.9706213405845863e-10
2.3591397399541782e-08,0.0521079599565058,0.0,0.010755221466326449,0.031075110263184432,0.31836525246836633,0.3499138628192567,0.20669969640903252,0.09222884534383419,0.0,1.3356271412245862e-26,3.256233048842267e-10,2.2477992035967675e-24,0.0,9.548625406185949e-35,0.00013697360292298918,2.7051552973180184e-28,1.0958247245326463e-28,6.976794683922464e-49,7.771482225503489e-16,4.572071974154471e-25,5.765613916067337e-78,8.618795959705847e-16,4.29402695373483e-54,1.5679638631576233e-25,2.567073248057261e-49,2.1249284712608895e-10,1.0885259943162261e-48,8.84625470674957e-07,0.0007601865440413569,0.0002542098067604158,0.0005709289946599755,6.534590775132661e-06,3.7102177655144615e-05,5.543815229485018e-09,3.532264014536276e-05,1.8183820883808664e-11,9.224883507869905e-05,0.00011949408135546969,2.7797071080156605e-07,3.976962561210016e-18,0.0002951841160047323,1.7775537983270426e-10,1.0729973085697845e-05,3.4225755995466044e-18,1.3061695624991424e-13,4.250643825642739e-17,7.491342963057982e-08,1.9809829889912414e-10
2.3679695207553247e-08,0.0521079599565058,0.0,0.01075040795195108,0.031075110263184432,0.31836266069963526,0.34991270479253933,0.2066987264899601,0.09222980780295185,0.0,1.336583004960297e-26,3.2684123176219076e-10,2.2944062426723188e-24,0.0,9.749296385734427e-35,0.00013776678941490144,2.741486186401691e-28,1.104033146599469e-28,7.055388330821154e-49,7.82536597095396e-16,4.5891683102770155e-25,5.874275496073274e-78,8.727183972172905e-16,4.3423971480340385e-54,1.5885970848903652e-25,2.6210202694479077e-49,2.1297689259768583e-10,1.1044077081152004e-48,8.842424191749121e-07,0.0007617582428924622,0.0002543048423257695,0.0005720870201594399,6.531617384938482e-06,3.712274641503237e-05,5.543795100100347e-09,3.536027527755307e-05,1.8302819143280316e-11,9.262345958552561e-05,0.00012008068189542778,2.777602305966861e-07,4.029208002794823e-18,0.0002960377712440533,1.7908730073493926e-10,1.0848569191923647e-05,3.433150840925814e-18,1.3132921077441848e-13,4.269793113386346e-17,7.555321406369668e-08,1.991359524076483e-10
2.3767993015564713e-08,0.0521079599565058,0.0,0.010745607564482677,0.031075110263184432,0.3183600754350671,0.3499115517071342,0.20669775743931168,0.09223077061665932,0.0,1.3375375942047455e-26,3.280591546180736e-10,2.3417741936386815e-24,0.0,9.953361454002247e-35,0.000138560556208939,2.7781530334652953e-28,1.1122721392790075e-28,7.134569743094347e-49,7.879405164692368e-16,4.606264535602967e-25,5.984568914260222e-78,8.836418538468553e-16,4.3911290501149316e-54,1.609413685822312e-25,2.6758796803027066e-49,2.1345928586942726e-10,1.1204590015512607e-48,8.838604271337051e-07,0.0007633233431454977,0.00025439906564639114,0.0005732401043465452,6.5286521191196005e-06,3.714321487843801e-05,5.543775080552771e-09,3.539774810334929e-05,1.842209504743466e-11,9.299807680288993e-05,0.00012066764355181942,2.775511389016989e-07,4.082054124603111e-18,0.00029688972276817864,1.804235217652589e-10,1.096798925139786e-05,3.44371068877924e-18,1.3204287340090249e-13,4.288965635578512e-17,7.619620778286671e-08,2.0017508862387428e-10
2.3856290823576178e-08,0.0521079599565058,0.0,0.010740820241836428,0.031075110263184432,0.31835749665018415,0.3499104035439765,0.20669678925435173,0.09223173378195741,0.0,1.3384909198126845e-26,3.292770734690411e-10,2.3899120105827005e-24,0.0,1.0160863823434931e-34,0.00013935489849601805,2.815157449040908e-28,1.1205417020534232e-28,7.214341106547502e-49,7.933599496230648e-16,4.623360650204589e-25,6.096512474484339e-78,8.946501705988604e-16,4.440224004774786e-54,1.6304144435978133e-25,2.731663095486633e-49,2.1394003268285272e-10,1.1366810131710249e-48,8.834794892735465e-07,0.0007648818718915158,0.00025449249257927613,0.0005743882662862729,6.5256949390029456e-06,3.716358243515292e-05,5.5437548858953334e-09,3.543505966453526e-05,1.8541647714359874e-11,9.337268465189171e-05,0.00012125496535397379,2.773433956033789e-07,4.135505603985656e-18,0.00029773997127588285,1.8176402960892184e-10,1.1088235334794666e-05,3.4542551498420075e-18,1.3275793998320284e-13,4.308161407938253e-17,7.684241549172268e-08,2.0121570159643964e-10
2.3944588631587644e-08,0.0521079599565058,0.0,0.010736045922379048,0.031075110263184432,0.3183549243206202,0.34990926028407804,0.206695821932359,0.09223269729585441,0.0,1.339442992349688e-26,3.304949883321926e-10,2.4388287096720803e-24,0.0,1.0371847067954234e-34,0.00014014981156007988,2.852501042451983e-28,1.1288418344062518e-28,7.294704606946009e-49,7.987948655207781e-16,4.640456654153925e-25,6.210124616834728e-78,9.057435508285498e-16,4.489683356783774e-54,1.6516001341908748e-25,2.7883822269950042e-49,2.1441913875911453e-10,1.1530748844152049e-48,8.830996003576377e-07,0.0007664338561078499,0.00025458513873151325,0.000575531524966888,6.522745806199382e-06,3.7183848492977674e-05,5.543734236215712e-09,3.5472210978739337e-05,1.8661476265219274e-11,9.374728105468248e-05,0.00012184264633845813,2.7713696134673335e-07,4.189567129535588e-18,0.00029858851746235017,1.8310881087999183e-10,1.1209309501968946e-05,3.4647842307828694e-18,1.3347440634587579e-13,4.327380445002914e-17,7.749184186744759e-08,2.0225778538294811e-10
2.403288643959911e-08,0.0521079599565058,0.0,0.01073128454492387,0.031075110263184432,0.31835235842212006,0.3499081219085267,0.2066948554706262,0.09223366115536596,0.0,1.3403938220981478e-26,3.3171289922456205e-10,2.488533369243638e-24,0.0,1.0586355124215562e-34,0.00014094529077672544,2.8901854217908795e-28,1.1371725358223962e-28,7.375662430015247e-49,8.042452331389148e-16,4.657552547522785e-25,6.32542391813667e-78,9.169221965156514e-16,4.539508450884986e-54,1.672971531893384e-25,2.846048884290848e-49,2.1489660979905299e-10,1.1696417596093895e-48,8.827207551897057e-07,0.0007679793226585852,0.00025467701946411785,0.0005766698993003058,6.51980468260057e-06,3.720401247740284e-05,5.543712856560736e-09,3.550920304002553e-05,1.8781579824240078e-11,9.412186393467452e-05,0.00012243068554877064,2.7693179752072244e-07,4.244243401012298e-18,0.0002994353620193105,1.8445785212207855e-10,1.1331213801930708e-05,3.475297938205162e-18,1.3419226828443644e-13,4.346622760137206e-17,7.814449156067269e-08,2.0330133405013753e-10
2.4121184247610574e-08,0.0521079599565058,0.0,0.010726536048725978,0.031075110263184432,0.31834979893053894,0.3499069883984866,0.20669388986646003,0.09223462535751493,0.0,1.3413434190631545e-26,3.329308061631172e-10,2.5390351298906667e-24,0.0,1.0804432292859861e-34,0.0001417413316118684,2.928212193896573e-28,1.1455338057881185e-28,7.457216761440594e-49,8.097110214665909e-16,4.674648330382762e-25,6.442429092454863e-78,9.281863082731826e-16,4.589700631794443e-54,1.694529409303464e-25,2.9046749746408053e-49,2.1537245148327123e-10,1.1863827859548335e-48,8.823429486135408e-07,0.000769518298295028,0.0002547681498958042,0.0005778034081224521,6.516871530375894e-06,3.7224073831296e-05,5.543690476862234e-09,3.554603681947139e-05,1.890195751870221e-11,9.449643121674516e-05,0.0001230190820350423,2.767278662443068e-07,4.299539129265857e-18,0.00030028050563517283,1.8581113980907714e-10,1.1453950272819989e-05,3.485796278647767e-18,1.3491152156559883e-13,4.365888365542132e-17,7.880036919537767e-08,2.0434634167404363e-10
2.420948205562204e-08,0.0521079599565058,0.0,0.010721800373477393,0.031075110263184432,0.3183472458218416,0.34990585973519756,0.20669292511718096,0.09223558989933156,0.0,1.3422917929782463e-26,3.341487091647606e-10,2.5903431945493994e-24,0.0,1.1026123239760023e-34,0.00014253792962040532,2.966582964332579e-28,1.1539256437910356e-28,7.539369786867466e-49,8.15192199505442e-16,4.691744002805218e-25,6.561158991596635e-78,9.395360853562338e-16,4.640261244201121e-54,1.716274537313965e-25,2.964272503449534e-49,2.1584666947221031e-10,1.2032991135192487e-48,8.81966175512546e-07,0.000771050809656173,0.00025485854490669773,0.0005789320701936225,6.513946311969427e-06,3.7244032014594546e-05,5.543666831864264e-09,3.558271326573318e-05,1.9022608478927176e-11,9.4870980827437e-05,0.0001236078348537457,2.7652513035281513e-07,4.355459036161886e-18,0.0003011239489951591,1.8716866034591102e-10,1.1577520941882201e-05,3.4962792585860724e-18,1.3563216192751822e-13,4.3851772722640393e-17,7.945947936879193e-08,2.0539280234016068e-10
2.4297779863633505e-08,0.0521079599565058,0.0,0.010717077459302367,0.031075110263184432,0.31834469907210183,0.34990473589997456,0.2066919612201232,0.09223655477785307,0.0,1.3432389533110427e-26,3.3536660824632974e-10,2.642466828584594e-24,0.0,1.1251472997261732e-34,0.00014333508044490456,3.0052993373650535e-28,1.1623480493201103e-28,7.622123691901336e-49,8.206887362695656e-16,4.708839564861299e-25,6.681632605615127e-78,9.50971725670732e-16,4.691191632766964e-54,1.7382076851010874e-25,3.0248535745926215e-49,2.163192694062232e-10,1.2203918952276002e-48,8.815904308092863e-07,0.0007725768832691689,0.00025494821914198983,0.0005800559041988384,6.511028990096921e-06,3.7263886504004244e-05,5.543641661051622e-09,3.561923330559844e-05,1.9143531838266924e-11,9.524551069515342e-05,0.00012419694306741255,2.7632355338462305e-07,4.412007854506951e-18,0.00030196569278143407,1.8853040006927197e-10,1.170192782544397e-05,3.506746884432926e-18,1.3635418508003482e-13,4.404489490203538e-17,8.012182665129798e-08,2.0644071014359775e-10
2.438607767164497e-08,0.0521079599565058,0.0,0.01071236724675269,0.031075110263184432,0.31834215865750204,0.3499036168742073,0.20669099817263473,0.0922375199901239,0.0,1.3441849092687623e-26,3.365845034245969e-10,2.695415359874249e-24,0.0,1.1480526965418781e-34,0.0001441327798143116,3.0443629159410936e-28,1.1708010218656448e-28,7.70548066210778e-49,8.262006007854668e-16,4.725935016621925e-25,6.803869063312465e-78,9.624934257821802e-16,4.7424931421269043e-54,1.7603296201131372e-25,3.0864303907480135e-49,2.167902569056493e-10,1.2376622868529047e-48,8.812157094650499e-07,0.0007740965455497815,0.0002550371870155349,0.0005811749287482018,6.508119527742866e-06,3.72836367927035e-05,5.543614708579644e-09,3.565559784452633e-05,1.9264726733092835e-11,9.562001875035047e-05,0.00012478640574435852,2.761230995681325e-07,4.46919032797442e-18,0.0003028057376732352,1.898963452483621e-10,1.1827172928889435e-05,3.517199162539585e-18,1.3707758670491868e-13,4.423825028124539e-17,8.078741558633633e-08,2.074900591892319e-10
2.4474375479656436e-08,0.0521079599565058,0.0,0.010707669676803123,0.031075110263184432,0.3183396245543321,0.3499025026393603,0.20669003597207683,0.0922384855331954,0.0,1.34512966980362e-26,3.3780239471627005e-10,2.7491981788934455e-24,0.0,1.1713330913222845e-34,0.0001449310235426723,3.083775301667234e-28,1.1792845609192756e-28,7.789442883012482e-49,8.317277620920059e-16,4.743030358157798e-25,6.92788763274292e-78,9.741013809243773e-16,4.7941671168888775e-54,1.7826411080594125e-25,3.1490152537259316e-49,2.1725963757088775e-10,1.2551114470070335e-48,8.808420064794149e-07,0.0007756098228028553,0.0002551254627133894,0.0005822891623772461,6.505217888157574e-06,3.730328239005312e-05,5.543585723205259e-09,3.569180776717584e-05,1.938619230278469e-11,9.599450292572424e-05,0.00012537622195841477,2.759237338090447e-07,4.527011211030798e-18,0.0003036440843470002,1.9126648208563447e-10,1.1953258246637002e-05,3.5276360991966686e-18,1.378023624561161e-13,4.443183893663161e-17,8.145625069031167e-08,2.0854084359185782e-10
