Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),CH2X(34),CHX(35),CX(33),SX(708),HNOH(93),H2NX(201),H3NX(202),HNO2(94),HONO(92),H2X(216),NO3(95)
8.128171761194046e-09,0.11934636377542086,0.0,0.02896653118030241,0.031149401445012992,0.3131767138751238,0.33761214609426904,0.20682134791701448,0.09364517425867658,0.0,5.774622127537575e-10,0.008449788516643849,1.2663441841581127e-06,0.0,2.526651843463865e-13,0.0004400236417573922,1.0589944671649599e-11,3.353441962660096e-11,5.5830824904059045e-18,2.5073544291070333e-08,1.0408610306802097e-08,1.3791955003854475e-27,4.4864672154365494e-05,4.712884044992542e-19,8.965961083166204e-11,5.837502412317211e-20,0.00799730135396955,1.4780754203196678e-20,3.834319283293212e-07,5.415376100868312e-07,7.498123602419787e-05,7.09060544162209e-07,2.9099793416347685e-07,3.989529298649355e-07,1.1209054459281852e-06,4.005641628632027e-07,0.00481396462864077,0.00024952646879663847,2.50332449462034e-06,0.00014513796400966486,0.003615697194166473,1.6060919815985048e-06,4.8610920032345045e-11,3.5651940411313753e-07,3.900659979268003e-12,4.831618953229487e-09,4.107327021128414e-08,0.00018853708028839357,0.0009026727795952647,2.7969842088880187e-08,1.0351304398622972e-07,0.0003709611649479676,0.0004325952693118414,4.993692931959155e-07,1.6284954729697374e-06
8.14321146263108e-09,0.11934636377542086,0.0,0.02896560008542619,0.03114953689478883,0.3131622424400957,0.33758897944549165,0.20682100171776338,0.0936503785723915,0.0,5.803786577843147e-10,0.008463713764736988,1.2731829299258072e-06,0.0,2.5487185431238057e-13,0.0004407036153418616,1.065185146221854e-11,3.366156138970672e-11,5.6140387449792966e-18,2.5118663582640172e-08,1.0427785022691776e-08,1.391938326353087e-27,4.493264557052415e-05,4.738848459293852e-19,9.011645767686437e-11,5.889417907196159e-20,0.008009734099558487,1.4908297124427835e-20,3.8347020205307484e-07,5.414887550448606e-07,7.495889025319469e-05,7.089890960225259e-07,2.909880931091493e-07,3.9898856075634247e-07,1.1216259227565141e-06,4.00603360418026e-07,0.0048245818249937535,0.0002499904230998467,2.506190982129458e-06,0.00014527678311328183,0.003622036399481739,1.6059196179774276e-06,4.8690141280332646e-11,3.5731868066014656e-07,3.90042482132074e-12,4.838107877056629e-09,4.1143236663044026e-08,0.00018888252099111806,0.0009055792814531691,2.797546670295628e-08,1.0350699399079893e-07,0.0003718821332131888,0.00043456421185415425,5.003228866876467e-07,1.6340127367932194e-06
8.158251164068115e-09,0.11934636377542086,0.0,0.028964669063407302,0.031149672326924616,0.31314776159730323,0.3375658154332525,0.20682065554096019,0.09365558968981703,0.0,5.83304299928771e-10,0.008477633045347502,1.2800451696803657e-06,0.0,2.570934101503921e-13,0.0004413831928376167,1.0714013455546409e-11,3.378895346624079e-11,5.645108813777945e-18,2.516377631213016e-08,1.0446959400954587e-08,1.4047748715200713e-27,4.500056043906183e-05,4.764906889200326e-19,9.057469975599497e-11,5.941693696506531e-20,0.008022159057807475,1.50367127502942e-20,3.835084854642159e-07,5.414399399102659e-07,7.493657483537337e-05,7.089176583360288e-07,2.9097825285104443e-07,3.990242021620889e-07,1.1223455500430393e-06,4.0064256960295995e-07,0.004835204741658209,0.00025045440295581585,2.509056598421544e-06,0.00014541549820921336,0.003628374056678748,1.6057472683074203e-06,4.8769333540727895e-11,3.58118194402653e-07,3.900189486378098e-12,4.84459188693784e-09,4.121317990119952e-08,0.0001892279390271773,0.0009084894863335789,2.7981083807387065e-08,1.0350094490688595e-07,0.0003728031172313552,0.00043653798633968676,5.012758126373684e-07,1.6395378626972177e-06
8.173290865505149e-09,0.11934636377542086,0.0,0.028963738113890167,0.03114980774142388,0.31313327135440183,0.33754265405869527,0.20682030938660287,0.0936608076057268,0.0,5.862391499935408e-10,0.008491546360458622,1.286930934772184e-06,0.0,2.593299216814331e-13,0.00044206237489545345,1.0776431294148098e-11,3.3916595904159685e-11,5.676292902393331e-18,2.520888247818209e-08,1.0466133441468467e-08,1.4177056482934425e-27,4.506841675418127e-05,4.791059494442696e-19,9.103433811304538e-11,5.99433156037339e-20,0.008034576233615627,1.5166005487342407e-20,3.8354677859954207e-07,5.413911644928761e-07,7.491428963781091e-05,7.088462310954838e-07,2.9096841338557414e-07,3.99059854175322e-07,1.1230643309522824e-06,4.006817905134304e-07,0.004845833375371955,0.00025091840836741853,2.5119213443774103e-06,0.00014555410977611156,0.00363471016450749,1.6055749325777547e-06,4.884849682196761e-11,3.589179448243503e-07,3.899953974555729e-12,4.851070984995053e-09,4.128309991793528e-08,0.0001895733343991348,0.0009114033898335425,2.798669343264969e-08,1.0349489672120339e-07,0.0003737241149324558,0.0004385165929373034,5.022280719042637e-07,1.645070843538826e-06
8.188330566942183e-09,0.11934636377542086,0.0,0.02896280723652083,0.0311499431382901,0.3131187717190432,0.3375194953229625,0.20681996325468927,0.09366603231489963,0.0,5.89183218769713e-10,0.008505453712053865,1.2938402564999984e-06,0.0,2.615814588983146e-13,0.0004427411621632949,1.0839105621249862e-11,3.4044488751366135e-11,5.707591216396792e-18,2.525398207944146e-08,1.0485307144111477e-08,1.4307311709070886e-27,4.513621451015993e-05,4.81730643468194e-19,9.149537378714296e-11,6.047333283951222e-20,0.008046985631879573,1.5296179756344438e-20,3.8358508149555044e-07,5.413424286035928e-07,7.489203452839184e-05,7.087748142936967e-07,2.909585747091665e-07,3.990955168884463e-07,1.1237822686305461e-06,4.0072102324400876e-07,0.004856467722873229,0.0002513824393376793,2.5147852208732078e-06,0.00014569261829006834,0.003641044721719035,1.6054026107776957e-06,4.892763113244203e-11,3.5971793141045555e-07,3.899718285994181e-12,4.857545173503047e-09,4.135299670540353e-08,0.00018991870710954582,0.0009143209875530371,2.7992295609472983e-08,1.0348884942021551e-07,0.00037464512425689915,0.00044050003180525784,5.03179665348155e-07,1.6506116721790053e-06
8.203370268379217e-09,0.11934636377542086,0.0,0.028961876430946967,0.031150078517526696,0.3131042626988758,0.3374963392271957,0.20681961714521754,0.09367126381211942,0.0,5.921365170330613e-10,0.008519355102117036,1.3007731661108942e-06,0.0,2.6384809196556194e-13,0.00044341955528621015,1.0902037080788768e-11,3.417263205570906e-11,5.7390039613395e-18,2.5299075114557422e-08,1.050448050876183e-08,1.4438519554246712e-27,4.520395370135e-05,4.843647869509185e-19,9.195780781255657e-11,6.100700657425386e-20,0.00805938725749349,1.542723999231614e-20,3.8362339418844135e-07,5.412937320543785e-07,7.486980937580203e-05,7.08703407923514e-07,2.9094873681826635e-07,3.991311903930788e-07,1.1244993662060416e-06,4.007602678884182e-07,0.004867107780900681,0.00025184649586977267,2.5176482287805085e-06,0.00014583102422463146,0.003647377727065532,1.6052303028965025e-06,4.900673648060404e-11,3.605181536476982e-07,3.899482420838798e-12,4.864014454822426e-09,4.1422870255732546e-08,0.00019026405716095757,0.0009172422750949676,2.799789036850824e-08,1.0348280299040656e-07,0.0003755661431554649,0.0004424883030912434,5.041305938294552e-07,1.6561603414825813e-06
8.218409969816252e-09,0.11934636377542086,0.0,0.02896094569681787,0.03115021387913704,0.31308974430154485,0.33747318577253527,0.20681927105818557,0.09367650209217514,0.0,5.950990555440572e-10,0.00853325053263224,1.3077296948003152e-06,0.0,2.661298912193286e-13,0.00044409755490643137,1.0965226317412162e-11,3.4301025864983585e-11,5.770531342752459e-18,2.5344161582182775e-08,1.0523653535297852e-08,1.4570685197425531e-27,4.52716343221783e-05,4.87008395844559e-19,9.242164121870182e-11,6.154435476013501e-20,0.008071781115349076,1.5559190644535726e-20,3.836617167141181e-07,5.412450746582538e-07,7.484761404952279e-05,7.086320119778202e-07,2.909388997093347e-07,3.9916687477983654e-07,1.1252156267890133e-06,4.007995245395411e-07,0.004877753546193378,0.0002523105779670227,2.5205103689663716e-06,0.00014596932805082045,0.0036537091793002077,1.6050580089234292e-06,4.908581287482145e-11,3.61318611024311e-07,3.899246379198569e-12,4.87047883101769e-09,4.149272056119881e-08,0.00019060938455590947,0.0009201672480651666,2.8003477739667047e-08,1.034767574187774e-07,0.0003764871695892531,0.00044448140693244313,5.050808582091209e-07,1.6617168443182447e-06
8.233449671253286e-09,0.11934636377542086,0.0,0.028960015033784432,0.031150349223124454,0.3130752165346915,0.33745003496012027,0.20681892499359145,0.0936817471498609,0.0,5.980708450478815e-10,0.008547140005583865,1.314709873712075e-06,0.0,2.684269271673088e-13,0.0004447751616633722,1.1028673976477095e-11,3.4429670226930934e-11,5.80217356614648e-18,2.5389241480974024e-08,1.0542826223598023e-08,1.4703813835927185e-27,4.5339256367146256e-05,4.896614860942264e-19,9.288687503014661e-11,6.208539539966844e-20,0.00808416721033557,1.5692036176562273e-20,3.837000491081894e-07,5.411964562292918e-07,7.482544841982532e-05,7.085606264495397e-07,2.909290633788486e-07,3.99202570138618e-07,1.125931053471863e-06,4.0083879328942486e-07,0.004888405015490808,0.0002527746856329015,2.523371642293305e-06,0.00014610753023714247,0.0036600390771773707,1.604885728847723e-06,4.9164860323394864e-11,3.6211930303001983e-07,3.899010161211293e-12,4.8769383043137814e-09,4.1562547614046196e-08,0.0001909546892969329,0.0009230959020723918,2.8009057753044234e-08,1.034707126921292e-07,0.0003774082015296363,0.0004464793434555804,5.060304593486038e-07,1.6672811735585516e-06
8.24848937269032e-09,0.11934636377542086,0.0,0.02895908444149912,0.031150484549492218,0.3130606794059541,0.33742688679108895,0.20681857895143305,0.09368699897997583,0.0,6.01051896274436e-10,0.00856102352295659,1.3217137339383663e-06,0.0,2.707392704886505e-13,0.00044545237619364556,1.1092380704049768e-11,3.455856518923856e-11,5.833930837012185e-18,2.543431480959128e-08,1.0561998573540937e-08,1.483791068545696e-27,4.5406819830829884e-05,4.923240736380157e-19,9.335351026661644e-11,6.263014654571712e-20,0.008096545547339748,1.582578106625418e-20,3.837383914059716e-07,5.411478765826015e-07,7.480331235776497e-05,7.084892513316365e-07,2.9091922782330127e-07,3.9923827655860347e-07,1.1266456493292799e-06,4.0087807422928745e-07,0.004899062185532874,0.0002532388188710277,2.5262320496193333e-06,0.00014624563124960798,0.0036663674194524084,1.6047134626586282e-06,4.924387883474141e-11,3.629202291560319e-07,3.8987737670292065e-12,4.883392877120396e-09,4.163235140644571e-08,0.00019129997138655114,0.000926028232728326,2.8014630438934337e-08,1.0346466879707331e-07,0.00037832923695821027,0.0004484821127769681,5.069793981098055e-07,1.6728533220799233e-06
8.263529074127355e-09,0.11934636377542086,0.0,0.028958153919616026,0.031150619858243554,0.31304613292296746,0.33740374126657807,0.20681823293170848,0.09369225757732413,0.0,6.040422199383559e-10,0.008574901086735384,1.328741306519772e-06,0.0,2.7306699203386584e-13,0.00044612919913108,1.1156347146904982e-11,3.468771079953996e-11,5.865803360819973e-18,2.547938156669832e-08,1.058117058500533e-08,1.4972980980134785e-27,4.547432470787969e-05,4.949961744069954e-19,9.382154794300001e-11,6.317862630150755e-20,0.008108916131245912,1.5960429805787575e-20,3.837767436424898e-07,5.410993355343294e-07,7.478120573517529e-05,7.084178866171118e-07,2.909093930392018e-07,3.992739941279351e-07,1.127359417418359e-06,4.009173674495242e-07,0.004909725053059905,0.00025370297768516554,2.5290915917980983e-06,0.00014638363155174646,0.003672694204881786,1.604541210345382e-06,4.9322868417165367e-11,3.6372138889502756e-07,3.8985371967539386e-12,4.889842551445834e-09,4.1702131930766956e-08,0.00019164523082727992,0.0009289642356475757,2.8020195826752647e-08,1.0345862572085048e-07,0.00037925027386674534,0.0004504897150025589,5.079276753550301e-07,1.6784332827626436e-06
8.278568775564389e-09,0.11934636377542086,0.0,0.028957223467790793,0.031150755149381627,0.3130315770933626,0.33738059838772355,0.20681788693441572,0.09369752293671499,0.0,6.070418267390209e-10,0.0085887726989055,1.3357926224452758e-06,0.0,2.754101628247417e-13,0.0004468056311067385,1.1220573952525548e-11,3.481710710541481e-11,5.897791343020027e-18,2.5524441750962575e-08,1.0600342257870074e-08,1.510902997252438e-27,4.554177099302067e-05,4.9767780432519815e-19,9.429098906935444e-11,6.373085282064308e-20,0.00812127896693591,1.609598690167476e-20,3.8381510585247903e-07,5.410508329016539e-07,7.475912842466249e-05,7.083465322990067e-07,2.908995590230755e-07,3.9930972293404816e-07,1.1280723607787205e-06,4.0095667303971426e-07,0.004920393614812653,0.0002541671620792236,2.5319502696788007e-06,0.00014652153160462167,0.0036790194322230533,1.6043689718972178e-06,4.9401829078861934e-11,3.645227817411514e-07,3.898300450518436e-12,4.896287329440481e-09,4.17718891793605e-08,0.0001919904676216269,0.0009319039064476701,2.8025753945898235e-08,1.0345258345064934e-07,0.00038017131025713856,0.00045250215022799446,5.08875291946941e-07,1.6840210484908613e-06
8.293608477001423e-09,0.11934636377542086,0.0,0.02895629308568063,0.03115089042290957,0.3130170119247676,0.33735745815566004,0.20681754095955288,0.09370279505296267,0.0,6.100507273605681e-10,0.00860263836145247,1.3428677126522722e-06,0.0,2.777688540542486e-13,0.0004474816727489348,1.128506176910172e-11,3.4946754154388854e-11,5.9298949890422864e-18,2.556949536105511e-08,1.0619513592014164e-08,1.524606293366242e-27,4.560915868105224e-05,5.003689793096108e-19,9.4761834650911e-11,6.428684430711663e-20,0.00813363405928912,1.6232456874782556e-20,3.838534780703865e-07,5.410023685027666e-07,7.473708029960011e-05,7.082751883703996e-07,2.908897257714634e-07,3.9934546306375193e-07,1.128784482432638e-06,4.009959910886252e-07,0.004931067867532295,0.0002546313720572537,2.534808084106242e-06,0.00014665933186684723,0.0036853431002348367,1.6041967473033655e-06,4.948076082822702e-11,3.6532440718999896e-07,3.898063528484905e-12,4.902727213588935e-09,4.184162314442779e-08,0.00019233568177209198,0.0009348472407490595,2.803130482630965e-08,1.0344654197320874e-07,0.0003810923441413652,0.0004545194185386542,5.098222487485152e-07,1.6896166121525885e-06
8.308648178438458e-09,0.11934636377542086,0.0,0.02895536277294433,0.031151025678830456,0.3130024374248066,0.3373343205715209,0.20681719500711782,0.09370807392088636,0.0,6.130689324719028e-10,0.008616498076362118,1.3499666080265805e-06,0.0,2.8014313708644963e-13,0.0004481573246832509,1.1349811245530615e-11,3.507665199393392e-11,5.962114504296441e-18,2.5614542395650623e-08,1.0638684587316734e-08,1.538408515308764e-27,4.567648776684823e-05,5.030697152701636e-19,9.523408568808035e-11,6.484661901532366e-20,0.00814598141318245,1.6369844260350696e-20,3.8389186033037414e-07,5.409539421568732e-07,7.471506123412329e-05,7.082038548244074e-07,2.90879893280922e-07,3.993812146027732e-07,1.1294957853851597e-06,4.0103532168422047e-07,0.004941747807960428,0.00025509560762344965,2.5376650359209647e-06,0.00014679703279460175,0.003691665207676846,1.6040245365530493e-06,4.9559663673513015e-11,3.6612626473860935e-07,3.897826430747255e-12,4.909162205851721e-09,4.191133381842877e-08,0.00019268087328116736,0.0009377942341751153,2.8036848497009955e-08,1.0344050127593425e-07,0.0003820133735414307,0.000456541520009705,5.107685466230005e-07,1.6952199666396993e-06
