Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),CH2X(34),CHX(35),CX(33),SX(708),HNOH(93),H2NX(201),H3NX(202),HNO2(94),HONO(92),H2X(216),NO3(95),HNO(87)
6.273556844918265e-10,0.13399411829887187,0.0,0.03310479005110921,0.03107719202700576,0.3124668812547309,0.3411915235960066,0.2069959884815354,0.09205494322832468,1.4089763755117188e-25,1.0489435854637452e-11,0.002509768113518448,4.6717000250391824e-07,4.509830395461171e-18,7.913696812269895e-17,2.7271399387253613e-05,5.3616860717282033e-14,5.698692904177989e-12,4.705389208619663e-19,4.132832966299296e-09,1.570824364016422e-08,3.911844534615942e-29,7.750397142106076e-05,1.3799992664887347e-19,1.2564735554680666e-12,5.437291587961861e-23,0.002502838933664378,3.1165401922138116e-22,3.623664426108431e-07,2.786036194137522e-07,9.282877329711365e-05,4.2626214326582027e-07,2.5304997615325417e-07,1.9153096263803171e-07,4.1649140064099466e-07,1.9194153200772678e-07,0.006833140938904049,1.9969612072438002e-05,7.095023945577539e-07,3.426359036620797e-05,0.006756165695981673,5.609853123048363e-07,1.870841387062892e-12,9.190131067839625e-09,6.499836890636281e-12,2.0993813248559062e-09,2.5235587747949242e-08,1.5361281835030442e-05,6.62113606747566e-05,2.6248919475824186e-08,6.779746792401478e-08,2.0063906336439314e-05,6.464703746918912e-06,4.951287992283721e-09,3.433093335234448e-07,4.139421891925952e-06
6.301591760210051e-10,0.13399411829887187,0.0,0.03310441766101169,0.03107721120622862,0.31243639980753685,0.34115090183319485,0.20699591742519868,0.09205528862716499,1.4630679559866315e-25,1.0627267977711943e-11,0.002520714484162824,4.7480458370641504e-07,4.640881073813599e-18,8.066679387444008e-17,2.751058257262554e-05,5.435011403511359e-14,5.751709396808474e-12,4.768739052050929e-19,4.151901777184168e-09,1.577840896105336e-08,3.999978544393238e-29,7.784192086831715e-05,1.398560719488022e-19,1.2695895616271257e-12,5.542860610746268e-23,0.002513717785797184,3.1767664927335763e-22,3.623736457354631e-07,2.786268681208528e-07,9.292156418700335e-05,4.262065351677851e-07,2.530470205678706e-07,1.914713825661316e-07,4.1781662362044147e-07,1.9187829416583658e-07,0.00686302291247426,2.0046970135636197e-05,7.096694894751372e-07,3.439346202147382e-05,0.006785598533004445,5.609742555437113e-07,1.8793743551095706e-12,9.268967495476872e-09,6.500373097002099e-12,2.109675699756975e-09,2.5356973438749846e-08,1.5432052357483177e-05,6.658707172807196e-05,2.622779367563769e-08,6.780755445188368e-08,2.02256996741955e-05,6.543350953202431e-06,5.020437043211484e-09,3.449903527633844e-07,4.188674775613196e-06
6.329626675501838e-10,0.13399411829887187,0.0,0.03310404694323237,0.031077230396610516,0.31240592311843435,0.3411102880425444,0.20699584637062257,0.0920556356662475,1.5189697190030641e-25,1.0766268533366648e-11,0.0025316584542270436,4.825274794401665e-07,4.775092672831475e-18,8.221928480981057e-17,2.7750253320946e-05,5.509000684388816e-14,5.804988558890734e-12,4.832654815506057e-19,4.170970126080091e-09,1.584857398828217e-08,4.089693384412801e-29,7.817979011056871e-05,1.4172876334081517e-19,1.282785971864173e-12,5.650004684134494e-23,0.0025245938682136575,3.237900032530781e-22,3.623808796187925e-07,2.7864926604284685e-07,9.30129003559782e-05,4.261509603114322e-07,2.5304407801607406e-07,1.914123660517674e-07,4.1913861215513686e-07,1.9181566764393786e-07,0.006892899018129514,2.0124288353968083e-05,7.098406354360369e-07,3.4523155799162466e-05,0.006815024684864023,5.609632527009081e-07,1.8879113667802794e-12,9.3480716245694e-09,6.500908656269064e-12,2.119958995058945e-09,2.547835512409609e-08,1.550282080022302e-05,6.69634933704056e-05,2.620700858086027e-08,6.781742626606521e-08,2.0387997445234545e-05,6.622601728598907e-06,5.090140709772029e-09,3.4667260432545906e-07,4.238269157814941e-06
6.357661590793625e-10,0.13399411829887187,0.0,0.033103677879135616,0.031077249597921127,0.3123754511865129,0.3410696822228417,0.20699577531779756,0.09205598434556415,1.576733304959023e-25,1.090644195353575e-11,0.002542600023653575,4.903392755162801e-07,4.9125256477107106e-18,8.379467656041835e-17,2.7990404790308103e-05,5.5836568862989815e-14,5.8585306226393805e-12,4.897139012837786e-19,4.1900380146088305e-09,1.5918738721589688e-08,4.181010209168115e-29,7.851757908875935e-05,1.4361807377643224e-19,1.2960629594982168e-12,5.758740395686814e-23,0.002535467180296529,3.29995071159394e-22,3.623881438660182e-07,2.7867082406315204e-07,9.310279890825967e-05,4.2609541844200317e-07,2.5304114835326364e-07,1.9135390606496868e-07,4.204573709263563e-07,1.917536448981531e-07,0.006922769255758782,2.0201567228432788e-05,7.100157584916841e-07,3.4652672795457576e-05,0.006844444152524712,5.609523031753259e-07,1.896452377248264e-12,9.427442118043983e-09,6.501443550426076e-12,2.1302311312617187e-09,2.5599732689433975e-08,1.5573587174976784e-05,6.734062533951569e-05,2.6186559060821187e-08,6.782708655988822e-08,2.0550798093633544e-05,6.7024579187019275e-06,5.160399319254453e-09,3.4835608721571136e-07,4.288205551872008e-06
6.385696506085412e-10,0.13399411829887187,0.0,0.03310331045024944,0.03107726880993353,0.312344984010864,0.3410290843728721,0.2069957042667143,0.09205633466510704,1.6364115706646378e-25,1.1047792665915623e-11,0.002553539192385237,4.982405584218697e-07,5.053241300994503e-18,8.539320619824976e-17,2.8231030203694595e-05,5.658982981032348e-14,5.912335820258931e-12,4.962194157859253e-19,4.20910544437192e-09,1.5988903160715003e-08,4.273950360631758e-29,7.885528774404238e-05,1.4552407619985587e-19,1.3094206977212752e-12,5.869084437527519e-23,0.0025463377214294124,3.3629284981779736e-22,3.623954380882615e-07,2.7869155294518954e-07,9.319127679394224e-05,4.2603990930696867e-07,2.5303823143609177e-07,1.9129599565357227e-07,4.2177290502077205e-07,1.9169221846614795e-07,0.006952633625258136,2.0278807252856976e-05,7.10194786012404e-07,3.478201410252211e-05,0.006873856936951867,5.609414063709395e-07,1.904997342172035e-12,9.50707764870185e-09,6.501977761982977e-12,2.140492032643836e-09,2.5721106027178822e-08,1.5644351493336862e-05,6.771846737068322e-05,2.616644006777986e-08,6.783653847565218e-08,2.0714100067660147e-05,6.782921364536365e-06,5.23121317882305e-09,3.5004080044004586e-07,4.338484466432687e-06
6.413731421377198e-10,0.13399411829887187,0.0,0.03310294463826523,0.03107728803242418,0.31231452159058126,0.34098849449142005,0.20699563321736353,0.09205668662486854,1.6980586118559593e-25,1.1190325093991348e-11,0.0025644759603651967,5.062319153116991e-07,5.197301789904476e-18,8.701511223861107e-17,2.847212284886304e-05,5.734981940233077e-14,5.966404383943838e-12,5.027822764343907e-19,4.228172416950825e-09,1.605906730539721e-08,4.368535369074368e-29,7.91929160177794e-05,1.4744684354795164e-19,1.3228593595982505e-12,5.98105360659142e-23,0.0025572054909968086,3.426843429012176e-22,3.624027619025303e-07,2.787114633333227e-07,9.327835080926339e-05,4.259844326560249e-07,2.5303532712246295e-07,1.9123862794260355e-07,4.2308521991880044e-07,1.9163138096653146e-07,0.006982492126530697,2.0356008914000854e-05,7.103776466627643e-07,3.49111808084015e-05,0.006903263039111901,5.609305616967997e-07,1.9135462177036235e-12,9.586976899376955e-09,6.502511273962864e-12,2.1507416271897163e-09,2.5842475036568867e-08,1.5715113766762305e-05,6.809701919673925e-05,2.614664663539169e-08,6.784578510556803e-08,2.0877901819761385e-05,6.86399390256971e-06,5.302582575741347e-09,3.517267430042302e-07,4.389106405487131e-06
6.441766336668985e-10,0.13399411829887187,0.0,0.03310258042503754,0.031077307265172847,0.31228406392475966,0.340947912577269,0.20699556216973614,0.0920570402248414,1.7617297860083624e-25,1.1334043657062868e-11,0.0025754103275369682,5.143139339998944e-07,5.344770133690741e-18,8.866063464306459e-17,2.871367607821556e-05,5.811656735400573e-14,6.020736545878527e-12,5.094027346025441e-19,4.247238933907128e-09,1.6129231155375425e-08,4.4647869538834914e-29,7.953046385153848e-05,1.4938644875022995e-19,1.3363791180668053e-12,6.09466480487014e-23,0.0025680704883841027,3.49170560950805e-22,3.6241011493166956e-07,2.78730565753795e-07,9.336403759690674e-05,4.259289882410895e-07,2.530324352715315e-07,1.9118179613365693e-07,4.2439432148315385e-07,1.9157112509825423e-07,0.007012344759486582,2.0433172691662493e-05,7.105642703772523e-07,3.504017399693001e-05,0.006932662459972263,5.609197685670281e-07,1.922098960496238e-12,9.667138563086457e-09,6.503044069894348e-12,2.160979846517714e-09,2.596383962352007e-08,1.5785874006579823e-05,6.847628054809266e-05,2.6127173877207624e-08,6.785482949267831e-08,2.104220180655257e-05,6.945677364723386e-06,5.374507777595335e-09,3.534139139138936e-07,4.4400718684015225e-06
6.469801251960772e-10,0.13399411829887187,0.0,0.03310221779258368,0.031077326507962525,0.3122536110124964,0.3409073386292013,0.2069954911238231,0.09205739546501901,1.8274817354518802e-25,1.147895277027071e-11,0.002586342293844413,5.224872029517132e-07,5.495710221000722e-18,9.033001482235913e-17,2.8955683308653864e-05,5.889010337891052e-14,6.075332538237424e-12,5.160810416597729e-19,4.266304996782692e-09,1.6199394710388776e-08,4.562727024382282e-29,7.986793118709293e-05,1.5134296472882692e-19,1.3499801459372363e-12,6.209935039658137e-23,0.0025789327129775693,3.5575252139669863e-22,3.624174968043123e-07,2.7874887061567194e-07,9.344835364633691e-05,4.2587357581629776e-07,2.5302955574370034e-07,1.9112549350427532e-07,4.2570021594759735e-07,1.915114436400028e-07,0.00704219152404285,2.0510299058780475e-05,7.1075458833646e-07,3.516899474764016e-05,0.006962055200501437,5.609090264008158e-07,1.9306555277114908e-12,9.747561343173448e-09,6.503576133803895e-12,2.171206625808794e-09,2.608519970048347e-08,1.585663222398484e-05,6.885625115275733e-05,2.610801698520691e-08,6.786367463175673e-08,2.120699848880617e-05,7.027973578384019e-06,5.4469890325158955e-09,3.551023121745273e-07,4.491381349951951e-06
6.497836167252559e-10,0.13399411829887187,0.0,0.0331018567230835,0.031077345760579446,0.31222316285289003,0.34086677264599846,0.20699542007961555,0.09205775234539532,1.8953724107908052e-25,1.162505684462137e-11,0.002597271859231741,5.307523112753825e-07,5.6501868172665616e-18,9.202349563935489e-17,2.9198138021419896e-05,5.967045718919105e-14,6.130192593184986e-12,5.228174489714748e-19,4.285370607099837e-09,1.6269557970176427e-08,4.662377680648106e-29,8.02053179664196e-05,1.5331646439848598e-19,1.3636626158923517e-12,6.326881423798473e-23,0.002589792164164366,3.624312485787796e-22,3.6242490715482926e-07,2.7876638821178394e-07,9.353131529416553e-05,4.258181951379979e-07,2.5302668840061867e-07,1.910697134073283e-07,4.270029099059056e-07,1.914523294495929e-07,0.007072032420123456,2.0587388481534808e-05,7.109485329437707e-07,3.529764413567496e-05,0.0069914412616689315,5.608983346224172e-07,1.9392158770260363e-12,9.828243953442193e-09,6.504107450208128e-12,2.181421903736121e-09,2.6206555186303856e-08,1.592738843004253e-05,6.923693073637897e-05,2.6089171228361923e-08,6.7872323470188e-08,2.1372290331440768e-05,7.11088436641469e-06,5.5200265694003435e-09,3.5679193679148346e-07,4.54303534035808e-06
6.525871082544345e-10,0.13399411829887187,0.0,0.03310149719887886,0.031077365022812966,0.31219271944504134,0.34082621462644086,0.20699534903710454,0.09205811086596512,1.9654610946298778e-25,1.1772360287012252e-11,0.0026081990236435106,5.391098487139936e-07,5.808265572110955e-18,9.374132141194299e-17,2.944103376192269e-05,6.045765849559248e-14,6.185316942875728e-12,5.296122078990501e-19,4.304435766361507e-09,1.633972093447754e-08,4.7637612143309884e-29,8.054262413169746e-05,1.5530702066653869e-19,1.3774267004873471e-12,6.445521175928338e-23,0.0026006488413325432,3.6920777376741077e-22,3.6243234562327774e-07,2.7878312871967056e-07,9.361293872454715e-05,4.2576284596474593e-07,2.530238331051791e-07,1.9101444927039013e-07,4.2830241030102254e-07,1.9139377546335977e-07,0.007101867447659198,2.0664441419446267e-05,7.111460378025294e-07,3.542612323170331e-05,0.007020820644445264,5.608876926611443e-07,1.9477799666378377e-12,9.90918511828594e-09,6.504638004106179e-12,2.191625622395214e-09,2.6327906006080723e-08,1.5998142635688903e-05,6.961831902226208e-05,2.607063195123428e-08,6.788077890882828e-08,2.153807580350998e-05,7.194411547166144e-06,5.593620598133065e-09,3.5848278676997583e-07,4.595034325316516e-06
6.553905997836132e-10,0.13399411829887187,0.0,0.03310113920247336,0.03107738429445557,0.3121622807880525,0.34078566456930814,0.20699527799628145,0.09205847102672411,2.0378084256093996e-25,1.192086750025628e-11,0.0026191237870246253,5.475604056374612e-07,5.970013026771273e-18,9.548373791595942e-17,2.968436413955181e-05,6.125173700747467e-14,6.240705819454262e-12,5.364655697998961e-19,4.323500476051455e-09,1.640988360303131e-08,4.8669001094719543e-29,8.087984962530617e-05,1.5731470643288646e-19,1.391272572149681e-12,6.565871620724318e-23,0.0026115027438710398,3.7608313518416037e-22,3.6243981185535013e-07,2.7879910220252654e-07,9.369323996960437e-05,4.2570752805730035e-07,2.530209897215153e-07,1.9095969459511676e-07,4.2959872441441776e-07,1.913357746955472e-07,0.007131696606587674,2.0741458325474117e-05,7.113470376936908e-07,3.5554433101838077e-05,0.007050193349801974,5.608770999513602e-07,1.9563477552718048e-12,9.990383572807485e-09,6.505167780972056e-12,2.201817727235072e-09,2.6449252091030854e-08,1.6068894851731783e-05,7.000041573139649e-05,2.60523945726015e-08,6.788904380284712e-08,2.1704353378191517e-05,7.278556934487992e-06,5.667771309805222e-09,3.6017486111507893e-07,4.647378786033967e-06
6.581940913127919e-10,0.13399411829887187,0.0,0.033100782716531794,0.03107740357530279,0.31213184688102746,0.3407451224733786,0.2069952069571376,0.09205883282766895,2.112476422751612e-25,1.2070582883106089e-11,0.0026300461493203382,5.561045730345429e-07,6.135496621541749e-18,9.725099238809338e-17,2.9928122827477954e-05,6.205272243282766e-14,6.2963594550553076e-12,5.433777860273985e-19,4.3425647376343974e-09,1.6480045975576954e-08,4.9718170433212294e-29,8.121699438982458e-05,1.5933959458998139e-19,1.4052004031789528e-12,6.687950189147412e-23,0.0026223538711696824,3.8305837802251187e-22,3.624473055023221e-07,2.788143186101483e-07,9.377223490988076e-05,4.256522411786159e-07,2.5301815811499845e-07,1.9090544295662325e-07,4.308918598556396e-07,1.912783202376948e-07,0.0071615198968532105,2.0818439646112257e-05,7.115514685539274e-07,3.568257480755722e-05,0.007079559378711589,5.608665559324696e-07,1.9649192021851717e-12,1.007183806293263e-08,6.505696766747026e-12,2.211998166989882e-09,2.657059337835306e-08,1.6139645088851954e-05,7.038322058248353e-05,2.603445458411335e-08,6.78971209625507e-08,2.187112153277613e-05,7.3633223377398565e-06,5.7424788769334795e-09,3.618681588317279e-07,4.700069199260134e-06
