Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659)
1.0772922227701234e-12,0.06662394546715897,0.0,0.016542340547135343,0.031075110263184432,0.3194096005144076,0.35048474315369593,0.20701216058380426,0.09201803960049737,0.0,5.468108719860205e-34,2.7551962548603498e-11,4.103522316517461e-32,0.0,3.3953826489276696e-50,4.685471733216798e-16,1.5824713006484744e-37,2.0026455583910754e-33,1.0352586501525238e-48,1.751019397206973e-20,1.0825858249669406e-22,1.4147130962483009e-78,2.5972677737509355e-18,1.4259093572024334e-52,1.9880124255379247e-35,1.857950233580421e-61,2.7551830506471048e-11,3.811900128315252e-54,1.559395452054034e-07,6.16112166722913e-08,3.9240751779874766e-08,4.8958291661162463e-08,4.012368430263566e-08,1.9721245316815022e-08,1.3550162218280195e-11,1.4735310729354155e-11,1.7609387766696244e-16,3.345348092205961e-14,1.4716556048437594e-11,1.863387323219273e-12,7.294654489336199e-17,1.9472726419806774e-08,6.040685216891572e-23
1.1106120738383727e-12,0.06662394546715897,0.0,0.016542329352813627,0.031075110263184432,0.3194095979985709,0.35048474163927157,0.20701215875464157,0.09201803548062586,0.0,5.991391237222311e-34,2.8404124295643856e-11,4.496211572181894e-32,0.0,4.076231101145609e-50,5.13404851222067e-16,1.7875201195816566e-37,2.128441969267188e-33,1.1343196692480665e-48,1.8610090261355566e-20,1.1160693982765876e-22,1.647451670228721e-78,2.6776275771197292e-18,1.5623506551557513e-52,2.245598572346979e-35,2.2305098696317335e-61,2.8403983959460643e-11,4.305829278860864e-54,1.6005939625938375e-07,6.351548171394424e-08,4.045570370785987e-08,5.047186387199204e-08,4.135058418964116e-08,2.0330965171844817e-08,1.4328621196237628e-11,1.5660537517655108e-11,1.8474647467459484e-16,3.6653031298540475e-14,1.5639989477315923e-11,2.0320214619723098e-12,7.520272710654848e-17,2.0074989204070783e-08,6.936564028891925e-23
1.1539908986907746e-12,0.06662394546715897,0.0,0.016542314836926232,0.031075110263184432,0.3194095947232812,0.3504847396677159,0.20701215637452913,0.09201803017368909,0.0,6.72130012369569e-34,2.951354627088707e-11,5.043953438934331e-32,0.0,5.129737976520134e-50,5.759782780811631e-16,2.0835812801012476e-37,2.297956416382344e-33,1.2724931068058472e-48,2.0092232436517114e-20,1.1596613712505188e-22,1.9953203261553865e-78,2.7822498478203058e-18,1.7526632860277827e-52,2.617514631800859e-35,2.80698784450709e-61,2.9513394758246015e-11,5.0189926189042935e-54,1.6536630642602695e-07,6.59945089328599e-08,4.2037557216446296e-08,5.244231010336264e-08,4.2946617188978306e-08,2.112473227611902e-08,1.5370067257121142e-11,1.6907257076439686e-11,1.9629947376155681e-16,4.111558055247077e-14,1.6884207830926525e-11,2.2658818034926787e-12,7.814003110531435e-17,2.0859068667781506e-08,8.257147219218466e-23
1.1973697235431764e-12,0.06662394546715897,0.0,0.016542300385826804,0.031075110263184432,0.31940959144805503,0.3504847376962285,0.20701215399583903,0.09201802493016795,0.0,7.508223305331576e-34,3.0622968239889636e-11,5.634470197225701e-32,0.0,6.400995485105956e-50,6.434428713554235e-16,2.4149800772652873e-37,2.473965007914157e-33,1.421454952960024e-48,2.163115452897907e-20,1.2032533437233377e-22,2.399617681273698e-78,2.8868749922145082e-18,1.957835288249337e-52,3.0338205639917775e-35,3.502618759559046e-61,3.06228051226467e-11,5.817278965737856e-54,1.7060980096414317e-07,6.847340166711533e-08,4.36195448283731e-08,5.4412688146557795e-08,4.454122915316187e-08,2.1918474631163726e-08,1.644270332540542e-11,1.8201678571365714e-11,2.0817853572237428e-16,4.5926214051303695e-14,1.817593310829875e-11,2.516393392726471e-12,8.107733506063209e-17,2.164314674948706e-08,9.769459978657296e-23
1.2407485483955783e-12,0.06662394546715897,0.0,0.016542285998755776,0.031075110263184432,0.3194095881728927,0.35048473572480915,0.20701215161857014,0.09201801974930471,0.0,8.35430931157606e-34,3.173239020265177e-11,6.269370656127457e-32,0.0,7.924607218847633e-50,7.15983129817463e-16,2.78442246273209e-37,2.6564677433986005e-33,1.5816107466662543e-48,2.322685643888376e-20,1.2468453156953442e-22,2.8669462788210607e-78,2.9915030105493004e-18,2.178425229273006e-52,3.4979153579358325e-35,4.336337666997226e-61,3.173221505266488e-11,6.707206582582885e-54,1.757906376203259e-07,7.095215993574785e-08,4.5201667044058134e-08,5.638299801155602e-08,4.613442135249595e-08,2.271219223963396e-08,1.754604218651044e-11,1.954379756319734e-11,2.203836604226952e-16,5.109797743789522e-14,1.9515153570981407e-11,2.784043763371291e-12,8.401463897250296e-17,2.2427223455299255e-08,1.1493399235479695e-22
1.2841273732479802e-12,0.06662394546715897,0.0,0.01654227167496268,0.031075110263184432,0.3194095848977939,0.350484733753458,0.2070121492427211,0.09201801463035067,0.0,9.261707614399327e-34,3.284181215917369e-11,6.950263689246611e-32,0.0,9.73914934316361e-50,7.937836008170767e-16,3.1947142246247085e-37,2.8454646223779108e-33,1.7533660268660503e-48,2.4879338066813473e-20,1.290437287166838e-22,3.404404704306399e-78,3.0961339030725627e-18,2.4149916765316903e-52,4.0133234039446444e-35,5.3292534073167684e-61,3.284162454830262e-11,7.695534227468753e-54,1.8090956508671275e-07,7.343078375767972e-08,4.678392435613585e-08,5.835323970824545e-08,4.77261950560802e-08,2.3505885104111968e-08,1.867960420431002e-11,2.093360961362871e-11,2.3291484772816844e-16,5.6643913543105396e-14,2.090185748371798e-11,3.069312840925221e-12,8.695194284092825e-17,2.321129879125832e-08,1.3450172246758502e-22
1.327506198100382e-12,0.06662394546715897,0.0,0.01654225741370598,0.031075110263184432,0.3194095816227588,0.35048473178217504,0.20701214686829064,0.09201800957256608,0.0,1.0232568717830022e-33,3.395123410945563e-11,7.678758234735806e-32,0.0,1.1887460745855677e-49,8.770288804908382e-16,3.64876098724609e-37,3.040955644400486e-33,1.9371263324874085e-48,2.6588599313785372e-20,1.3340292581381173e-22,4.0196055633365753e-78,3.200767670033079e-18,2.6680931974394602e-52,4.583694493242655e-35,6.504807378481936e-61,3.395103360956205e-11,8.789261152682218e-54,1.8596732310954888e-07,7.590927315171977e-08,4.8366317249578545e-08,6.032341324642497e-08,4.931655153181187e-08,2.4299553227108147e-08,1.984291720247989e-11,2.2371110285271423e-11,2.4577209750444367e-16,6.25770623867867e-14,2.2336033114433356e-11,3.372673061740557e-12,8.988924666590922e-17,2.3995372763333724e-08,1.566233752231452e-22
1.370885022952784e-12,0.06662394546715897,0.0,0.01654224321425299,0.031075110263184432,0.31940957834778727,0.35048472981096024,0.2070121444952775,0.09201800457522007,0.0,1.1269044255230725e-33,3.50606560534978e-11,8.456463295298761e-32,0.0,1.441695074741751e-49,9.659036139638964e-16,4.149568210796546e-37,3.242940809020784e-33,2.1332972024442656e-48,2.8354640081246385e-20,1.37762122860948e-22,4.72069344838669e-78,3.3054043116805196e-18,2.93828835939081e-52,5.212803817587347e-35,7.888941914687124e-61,3.5060442236445206e-11,9.995627104222289e-54,1.90964642595475e-07,7.838762813656461e-08,4.99488462018142e-08,6.229351863580526e-08,5.0905492046387656e-08,2.5093196611061838e-08,2.1035516349102445e-11,2.3856295141642407e-11,2.5895540961717124e-16,6.891046117871854e-14,2.3817668734220934e-11,3.694589488820796e-12,9.282655044744712e-17,2.4779445377425043e-08,1.8153845703379355e-22
1.4142638478051858e-12,0.06662394546715897,0.0,0.016542229075879752,0.031075110263184432,0.31940957507287937,0.3504847278398136,0.20701214212368044,0.09201799963759043,0.0,1.237328708734492e-33,3.6170077991300395e-11,9.284987938199453e-32,0.0,1.7379907372753097e-49,1.0605924955526784e-15,4.700241191091013e-37,3.451420115799228e-33,2.342284175636899e-48,3.017746027106812e-20,1.421213198581226e-22,5.516362911455699e-78,3.410043828265431e-18,3.2261357297612074e-52,5.904551968889195e-35,9.51026897231996e-61,3.6169850428954146e-11,1.132211232125463e-53,1.9590224571784567e-07,8.086584873080002e-08,5.153151168284444e-08,6.42635558860098e-08,5.2493017865305765e-08,2.5886815258342252e-08,2.2256944041204244e-11,2.5389159747151733e-11,2.7246478393200246e-16,7.565714431957328e-14,2.5346752617329687e-11,4.035519927682574e-12,9.576385418554324e-17,2.5563516639362813e-08,2.0950080454259389e-22
1.4586672165823256e-12,0.06662394546715897,0.0,0.016542214666093086,0.031075110263184432,0.3194095717206887,0.3504847258221819,0.207012139697535,0.09201799464444514,0.0,1.3576046236376316e-33,3.7305702834089347e-11,1.0187395004441675e-31,0.0,2.0921835998663163e-49,1.1637323881912613e-15,5.318912880155996e-37,3.671549422749301e-33,2.569904163367493e-48,3.2102139514441834e-20,1.4658347461342151e-22,6.438456016418094e-78,3.5171577539012294e-18,3.539647208025471e-52,6.681716992711708e-35,1.1448408953896787e-60,3.730546075838577e-11,1.2812396343984471e-53,2.0089536390032563e-07,8.340246207386783e-08,5.315169927722222e-08,6.628005195098742e-08,5.4116574814828924e-08,2.6699152391143975e-08,2.3536607771744044e-11,2.700760596274791e-11,2.8663093443164886e-16,8.300481869665806e-14,2.6961081456482093e-11,4.404665964360634e-12,9.877053266485314e-17,2.6366105114766287e-08,2.415601032664989e-22
1.5030705853594655e-12,0.06662394546715897,0.0,0.016542200318798078,0.031075110263184432,0.31940956836856466,0.3504847238046216,0.20701213727287063,0.09201798971236669,0.0,1.485438080156749e-33,3.844132767034098e-11,1.1146462541599444e-31,0.0,2.5045891142592284e-49,1.2733560884516037e-15,5.996738371304412e-37,3.8984832577400784e-33,2.811812677700195e-48,3.4086311739574796e-20,1.5104562931643394e-22,7.479929290474934e-78,3.624274692415805e-18,3.872838931122701e-52,7.533187726700516e-35,1.370508800631071e-60,3.8441070632686574e-11,1.4445173261060894e-53,2.0582741524971122e-07,8.59389346422002e-08,5.477203089899141e-08,6.829647664021484e-08,5.573865213291818e-08,2.7511463609787813e-08,2.4845530352555342e-11,2.8676001373612997e-11,3.0113873095490664e-16,9.081315861325436e-14,2.862510149090693e-11,4.794682677250483e-12,1.0177721109864764e-16,2.7168692185534723e-08,2.7739828850748865e-22
1.5474739541366054e-12,0.06662394546715897,0.0,0.01654218603324608,0.031075110263184432,0.31940956501650725,0.3504847217871326,0.20701213484968592,0.0920179848406083,0.0,1.6210604527927565e-33,3.957695250005551e-11,1.2163916552542326e-31,0.0,2.9826220052516885e-49,1.3896618502122904e-15,6.73737325096498e-37,4.1322216203188706e-33,3.068444676197963e-48,3.61299768425705e-20,1.5550778396719175e-22,8.652016624933669e-78,3.731394644080637e-18,4.226309986104561e-52,8.463555973859677e-35,1.6320879431009117e-60,3.957668005185863e-11,1.6229248897018517e-53,2.106991465749841e-07,8.847526645537893e-08,5.6392507028818806e-08,7.031282996373677e-08,5.735925117298437e-08,2.8323748916591884e-08,2.6183243788101788e-11,3.039434122521954e-11,3.1598817335768386e-16,9.90961348756188e-14,3.033880015443183e-11,5.206038188818566e-12,1.0478388948692811e-16,2.797127785770214e-08,3.173369511612128e-22
1.5918773229137452e-12,0.06662394546715897,0.0,0.016542171808697544,0.031075110263184432,0.3194095616645163,0.350484719769715,0.20701213242797953,0.09201798002843227,0.0,1.7647033008643257e-33,4.071257732323318e-11,1.3241483111052837e-31,0.0,3.534383856841087e-49,1.5128479822036901e-15,7.544582711264595e-37,4.372764510039106e-33,3.3402351164086824e-48,3.8233134719976997e-20,1.5996993856572685e-22,9.966635547525327e-78,3.838517609168105e-18,4.600659460001722e-52,9.477551209108445e-35,1.9340115016048742e-60,4.071228901590403e-11,1.8173693105232136e-53,2.1551129555213042e-07,9.101145753287e-08,5.801312813971697e-08,7.232911193150669e-08,5.89783732871309e-08,2.9136008313800964e-08,2.754928753099106e-11,3.216262076396886e-11,3.3117926149588895e-16,1.0786771521007925e-13,3.2102164884293815e-11,5.639193143814412e-12,1.077905678296959e-16,2.8773862137230328e-08,3.617152300636808e-22
1.636280691690885e-12,0.06662394546715897,0.0,0.016542157644421955,0.031075110263184432,0.31940955831259193,0.35048471775236867,0.2070121300077501,0.09201797527510996,0.0,1.916598382464742e-33,4.184820213987423e-11,1.4380888361834866e-31,0.0,4.1687041329177785e-49,1.6431128482121973e-15,8.422241549717628e-37,4.620111926460239e-33,3.627618955865084e-48,4.0395785268781676e-20,1.6443209311207112e-22,1.1436407417449474e-77,3.945643587951479e-18,4.996486439823751e-52,1.0580040578863054e-34,2.2811109500891525e-60,4.184789752482483e-11,2.0287839767320569e-53,2.2026459083599292e-07,9.354750789402484e-08,5.963389469716591e-08,7.434532255338809e-08,6.05960198261559e-08,2.994824180358738e-08,2.8943208363020764e-11,3.398083523717835e-11,3.4671199522543165e-16,1.1714186426405354e-13,3.3915183121125914e-11,6.094600828666136e-12,1.1079724612695241e-16,2.957644503000975e-08,4.108902707537415e-22
1.680684060468025e-12,0.06662394546715897,0.0,0.01654214353969775,0.031075110263184432,0.31940955496073414,0.3504847157350938,0.20701212758899626,0.09201797057992163,0.0,2.076977669150698e-33,4.2983826949978865e-11,1.5583858520522538e-31,0.0,4.895182753540301e-49,1.7806548672792556e-15,9.374334168916866e-37,4.874263869147638e-33,3.931031152084773e-48,4.2617928386405885e-20,1.6889424760625634e-22,1.307467762105553e-77,4.052772580704902e-18,5.414390012559146e-52,1.1776028900620466e-34,2.6786393553326086e-60,4.298350557862307e-11,2.2581286792554386e-53,2.249597521703473e-07,9.608341755808172e-08,6.125480715923207e-08,7.63614618391555e-08,6.221219213955431e-08,3.0760449388051885e-08,3.036456027870421e-11,3.584897989306911e-11,3.6258637440222226e-16,1.2693254360705982e-13,3.5777842308943855e-11,6.572707288393164e-12,1.1380392437869895e-16,3.037902654186037e-08,4.652376840759581e-22
1.7250874292451648e-12,0.06662394546715897,0.0,0.016542129493812136,0.031075110263184432,0.31940955160894274,0.35048471371789025,0.20701212517171666,0.09201796594215636,0.0,2.2460733610431315e-33,4.411945175354735e-11,1.6852119873688747e-31,0.0,5.72423355617937e-49,1.9256725138974745e-15,1.040495457622529e-36,5.135220337672492e-33,4.250906662570155e-48,4.4899563970699846e-20,1.733564020483143e-22,1.4895535766898274e-77,4.159904587703373e-18,5.8549692651752466e-52,1.3070658662543312e-34,3.132295158892724e-60,4.411911317730077e-11,2.5063896117265746e-53,2.295974904969902e-07,9.86191865441673e-08,6.287586597668612e-08,7.837752979849555e-08,6.382689157551999e-08,3.157263106922454e-08,3.18129043701624e-11,3.7767049980753594e-11,3.7880239888217204e-16,1.3725371173171763e-13,3.769012989513306e-11,7.073951442150619e-12,1.1681060258493693e-16,3.118160667853258e-08,5.251520046703436e-22
