Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),CH2X(34),CHX(35),CX(33),SX(708),HNOH(93),H2NX(201),H3NX(202),HNO2(94)
2.9554546952482285e-11,0.10172235144988963,0.0,0.025248413620339284,0.031074883261788734,0.3194068983434355,0.3504796086678372,0.20701116693773455,0.0920178228697962,0.0,1.510227274627856e-19,3.9960078559090296e-06,7.190459330652718e-17,0.0,2.4933318111999647e-29,4.6488222861846637e-10,2.3487799679319623e-22,1.8855016749065154e-18,3.9043392138987354e-29,9.046796259203635e-13,2.8995727882723116e-13,2.2532211913919658e-46,1.654858151603436e-09,5.9594668278277065e-31,5.369596385497268e-21,6.905757734961808e-37,3.9947385399709795e-06,4.7062004384172395e-34,3.793314479812828e-07,9.623061535846559e-07,3.238481314110417e-06,1.0944699818129171e-06,3.9338185011291863e-07,8.754733692663948e-07,7.48556082614368e-08,1.9645225062725577e-07,9.497701153833011e-08,9.921161875964949e-08,3.6553283339459964e-07,5.430696346343523e-07,9.224638280045225e-08,6.388513939666075e-07,2.1526366646424412e-14,1.5537267112964884e-12,1.1868483289974205e-13,1.8359860596959076e-11,2.8483053318396913e-12,2.0985139768993774e-08,3.177676912444327e-08,2.525369069183618e-07,1.1128226300963363e-07,7.474818041401028e-10
2.964070638883113e-11,0.10172235144988963,0.0,0.025248387439403965,0.031074883124247693,0.31940689089100993,0.3504795947834754,0.2070111648787353,0.09201782291957059,0.0,1.5258313974593386e-19,4.0076550254490736e-06,7.253526908247142e-17,0.0,2.5354450167275665e-29,4.698126206584566e-10,2.376163816575047e-22,1.896511138360552e-18,3.938585295798598e-29,9.099045226994586e-13,2.908025748302617e-13,2.286256795681853e-46,1.6596828958048498e-09,6.011738865531841e-31,5.4290439165991146e-21,7.022399360881483e-37,4.0063782760032e-06,4.761080744341621e-34,3.7933237583831564e-07,9.63331266885838e-07,3.2509265283154856e-06,1.0964338928025897e-06,3.935178937047227e-07,8.776434295434684e-07,7.500826005318158e-08,1.9749772121932868e-07,9.525759867906413e-08,1.000255192518502e-07,3.6722742901860966e-07,5.456250379862641e-07,9.251529972021666e-08,6.406530158930281e-07,2.171013992293961e-14,1.5711913776885758e-12,1.1901959379894883e-13,1.841172775686714e-11,2.850223872710815e-12,2.110639565239475e-08,3.196105882933249e-08,2.5254744594111186e-07,1.1152641765152784e-07,7.518460819651944e-10
2.9726865825179976e-11,0.10172235144988963,0.0,0.025248361254595706,0.0310748829897446,0.3194068834406086,0.3504795809042662,0.20701116282107668,0.09201782296959017,0.0,1.5415567653003969e-19,4.019302181843332e-06,7.316962181538528e-17,0.0,2.578147741894386e-29,4.74780917089847e-10,2.4037857020630506e-22,1.9075526502410337e-18,3.973031048455298e-29,9.151441320251525e-13,2.9164787079282174e-13,2.3196787489842367e-46,1.6645076440716095e-09,6.064315671943613e-31,5.488980835962023e-21,7.140673819966101e-37,4.018017977181212e-06,4.816438243139571e-34,3.7933330552296e-07,9.643515191362904e-07,3.2633829195989547e-06,1.0983926518399095e-06,3.936526009747449e-07,8.798088408202253e-07,7.516079008798806e-08,1.9854491591768422e-07,9.553820736940565e-08,1.0084339162619539e-07,3.689230239270009e-07,5.481856327951984e-07,9.278421660573294e-08,6.424542918583452e-07,2.189490653897931e-14,1.588802915191291e-12,1.1935429079858067e-13,1.846358548820562e-11,2.8521518518477563e-12,2.1227993040032972e-08,3.2145806319201573e-08,2.525550336109832e-07,1.1177045534816262e-07,7.562230617427542e-10
2.981302526152882e-11,0.10172235144988963,0.0,0.025248335065911152,0.03107488285827555,0.31940687599222256,0.3504795670301958,0.2070111607647456,0.09201782301985548,0.0,1.5574040343168698e-19,4.030949325091986e-06,7.380766219228099e-17,0.0,2.6214465466825686e-29,4.79787297237231e-10,2.431646989551011e-22,1.9186262105457934e-18,4.007677052256106e-29,9.203984510722162e-13,2.9249316671491694e-13,2.3534904301605538e-46,1.6693323964151686e-09,6.117198132924867e-31,5.549409793446163e-21,7.260599282527574e-37,4.029657643505143e-06,4.87227567288638e-34,3.7933423702576734e-07,9.653669380415305e-07,3.275850456030585e-06,1.1003462724257404e-06,3.9378598500771385e-07,8.819695996361491e-07,7.531319764803586e-08,1.995938249193132e-07,9.581883760948578e-08,1.0166523989164831e-07,3.70619599595846e-07,5.507514146657268e-07,9.305313345700666e-08,6.442552219261388e-07,2.2080668477449078e-14,1.6065621126892816e-12,1.1968892391131233e-13,1.8515433698349825e-11,2.8540892282664336e-12,2.1349931866044903e-08,3.233101066107817e-08,2.525596879763977e-07,1.1201437194079679e-07,7.606127434579175e-10
2.989918469787767e-11,0.10172235144988963,0.0,0.025248308873346965,0.03107488272983661,0.31940686854584316,0.35047955316125085,0.20701115870972905,0.09201782307036707,0.0,1.5733738628069286e-19,4.042596455195223e-06,7.444940090017048e-17,0.0,2.665348045365588e-29,4.84831940718015e-10,2.4597490479794055e-22,1.9297318192726626e-18,4.0425238875882135e-29,9.256674770159393e-13,2.933384625965526e-13,2.387695237714979e-46,1.674157152846947e-09,6.170387134337226e-31,5.610333445820203e-21,7.382194069269237e-37,4.041297274975114e-06,4.928595779259826e-34,3.7933517033712516e-07,9.663775511539173e-07,3.2883291058421074e-06,1.1022947680255636e-06,3.939180587602779e-07,8.841257026434683e-07,7.5465482022051e-08,2.0064443843107834e-07,9.60994893994353e-08,1.0249106801626209e-07,3.723171375831175e-07,5.533223791766491e-07,9.332205027404339e-08,6.460558061599727e-07,2.226742770996726e-14,1.6244697606341638e-12,1.200234931489545e-13,1.856727247695012e-11,2.8560359765085586e-12,2.1472212064382015e-08,3.25166709213083e-08,2.525614270802152e-07,1.1225816326889987e-07,7.650151270958201e-10
2.998534413422651e-11,0.10172235144988963,0.0,0.025248282676899842,0.031074882604423773,0.3194068611014614,0.350479539297418,0.2070111566560143,0.09201782312112548,0.0,1.5894669112021923e-19,4.054243572153231e-06,7.509484862606556e-17,0.0,2.709858906806065e-29,4.899150274417903e-10,2.488093250073162e-22,1.9408694764194727e-18,4.077572134838729e-29,9.309512070321313e-13,2.94183758437734e-13,2.4222965898513446e-46,1.678981913378332e-09,6.2238835620421e-31,5.671754456759537e-21,7.505476652110944e-37,4.052936871591254e-06,4.9854013155382185e-34,3.793361054472621e-07,9.67383385873449e-07,3.300818837426472e-06,1.1042381520695722e-06,3.940488350622096e-07,8.862771466060335e-07,7.561764250527174e-08,2.016967466698651e-07,9.638016273938464e-08,1.0332087992731105e-07,3.740156195287075e-07,5.558985218812162e-07,9.359096705684874e-08,6.478560446233957e-07,2.2455186202378957e-14,1.642526651038556e-12,1.203579985235385e-13,1.8619101848595996e-11,2.857992080071586e-12,2.1594833569064635e-08,3.2702786165578354e-08,2.5256026895880477e-07,1.1250182517075506e-07,7.694302126415974e-10
3.007150357057536e-11,0.10172235144988963,0.0,0.025248256476566495,0.03107488248203297,0.3194068536590685,0.35047952543868377,0.2070111546035886,0.09201782317213121,0.0,1.605683842068874e-19,4.06589067596619e-06,7.574401605697787e-17,0.0,2.7549858547530264e-29,4.950367376097028e-10,2.5166809723406614e-22,1.952039181984058e-18,4.1128223743946794e-29,9.362496382971198e-13,2.950290542384663e-13,2.457297924530077e-46,1.683806678020679e-09,6.2776883019006855e-31,5.7336754968445e-21,7.630465655012666e-37,4.064576433353682e-06,5.042695042598477e-34,3.79337042346254e-07,9.683844694485637e-07,3.31331961933686e-06,1.106176437952761e-06,3.9417832661762627e-07,8.884239283984115e-07,7.576967839941494e-08,2.02750739862735e-07,9.666085762946387e-08,1.0415467951142135e-07,3.7571502715445327e-07,5.584798383073491e-07,9.385988380542822e-08,6.496559373799407e-07,2.2643945917536714e-14,1.660733577470207e-12,1.2069244004700258e-13,1.867092176705396e-11,2.8599575020744095e-12,2.17177963142171e-08,3.2889355458937024e-08,2.525562316411134e-07,1.1274535348406671e-07,7.738580000803859e-10
3.0157663006924204e-11,0.10172235144988963,0.0,0.025248230272343634,0.03107488236266011,0.3194068462186557,0.3504795115850349,0.20701115255243932,0.09201782322338482,0.0,1.6220253201089605e-19,4.077537766634287e-06,7.63969138799189e-17,0.0,2.8007356681380763e-29,5.001972517138138e-10,2.5455135950727435e-22,1.963240935964251e-18,4.148275186643009e-29,9.415627679877513e-13,2.958743499987548e-13,2.4927026995251173e-46,1.68863144678531e-09,6.331802239773965e-31,5.7960992435585715e-21,7.757179854795049e-37,4.0762159602625196e-06,5.100479728914165e-34,3.7933798102403275e-07,9.693808289769457e-07,3.325831420285579e-06,1.1081096390350212e-06,3.9430654600623634e-07,8.905660450051555e-07,7.592158901264377e-08,2.0380640824708149e-07,9.694157406980266e-08,1.0499247061470072e-07,3.774153422641708e-07,5.610663239578608e-07,9.412880051978735e-08,6.514554844931257e-07,2.2833708813393076e-14,1.6790913350482749e-12,1.2102681773136244e-13,1.8722732238470954e-11,2.861932215650146e-12,2.1841100233914143e-08,3.307637786581763e-08,2.5254933314773375e-07,1.1298874404657717e-07,7.78298489397322e-10
3.024382244327305e-11,0.10172235144988963,0.0,0.025248204064228,0.031074882246301023,0.31940683878021453,0.3504794977364578,0.2070111505025541,0.09201782327488683,0.0,1.6384920121613726e-19,4.089184844157704e-06,7.70535527819001e-17,0.0,2.8471151813722086e-29,5.053967505364632e-10,2.5745925023417166e-22,1.9744747383578858e-18,4.183931151970583e-29,9.468905932813914e-13,2.967196457186046e-13,2.5285143924808544e-46,1.6934562196835167e-09,6.386226261522703e-31,5.8590283812866036e-21,7.885638181961765e-37,4.087855452317888e-06,5.1587581505535644e-34,3.7933892147039436e-07,9.703724914063316e-07,3.3383542091431082e-06,1.110037768641231e-06,3.944335056845747e-07,8.927034935198858e-07,7.607337365953514e-08,2.0486374207078383e-07,9.722231206053034e-08,1.0583425704286815e-07,3.791165467436859e-07,5.63657974310678e-07,9.439771719993169e-08,6.532546860264524e-07,2.3024476841206857e-14,1.6976007204402662e-12,1.2136113158860878e-13,1.877453328901233e-11,2.8639161930696934e-12,2.1964745262224063e-08,3.3263852450060354e-08,2.5253959148997823e-07,1.1323199269667687e-07,7.827516805775424e-10
3.0329981879621895e-11,0.10172235144988963,0.0,0.02524817785221634,0.03107488213295149,0.31940683134373626,0.3504794838929395,0.20701114845392052,0.09201782332663781,0.0,1.6550845872030753e-19,4.100831908536625e-06,7.771394344993289e-17,0.0,2.894131284644293e-29,5.106354151496417e-10,2.6039190820003556e-22,1.9857405891627984e-18,4.2197908507641804e-29,9.522331113559238e-13,2.975649413980208e-13,2.5647365009690474e-46,1.698280996726557e-09,6.4409612530074535e-31,5.922465601313026e-21,8.015859721526473e-37,4.099494909519903e-06,5.217533091177722e-34,3.7933986367500674e-07,9.713594835353047e-07,3.3508879549371646e-06,1.111960840061347e-06,3.9455921798720867e-07,8.94836271144379e-07,7.622503166104655e-08,2.0592273159235866e-07,9.750307160177592e-08,1.066800425613848e-07,3.8081862256085304e-07,5.662547848190597e-07,9.466663384586672e-08,6.550535420434078e-07,2.3216251945752914e-14,1.7162625318574348e-12,1.216953816306923e-13,1.8826324913205518e-11,2.8659094118122384e-12,2.2088731333254426e-08,3.3451778274933993e-08,2.5252702466896524e-07,1.1347509527399856e-07,7.872175736061841e-10
3.0502300752319586e-11,0.10172235144988963,0.0,0.02524812541649204,0.031074881915264002,0.31940681647663427,0.3504794562210258,0.20701114436035978,0.09201782343088864,0.0,1.6886500728587116e-19,4.124125997861708e-06,7.904602283219887e-17,0.0,2.9901011027481325e-29,5.212309674800751e-10,2.6633208287941357e-22,2.0083684359977935e-18,4.2921237702961664e-29,9.629622145617944e-13,2.9925553263557243e-13,2.6384260548082697e-46,1.7079305632920158e-09,6.5513676886261255e-31,6.0508750878859605e-21,8.281669555444263e-37,4.122773719364344e-06,5.336583701976711e-34,3.79341753317045e-07,9.73319563345287e-07,3.375988194225843e-06,1.1157918613290738e-06,3.9480694920085954e-07,8.990878030655569e-07,7.65279650434624e-08,2.0804563881725952e-07,9.806465533633488e-08,1.0838362573080956e-07,3.842253164897602e-07,5.714638679935091e-07,9.520446703513067e-08,6.586502177820732e-07,2.3602831139015593e-14,1.7540466332999184e-12,1.2236369031729425e-13,1.892987989081218e-11,2.8699234543197245e-12,2.2337726339969055e-08,3.382897989692049e-08,2.524934874852765e-07,1.1396084557851868e-07,7.961874651492814e-10
3.0648905889352e-11,0.10172235144988963,0.0,0.025248080793023164,0.031074881739498513,0.31940680383413195,0.3504794326941754,0.20701114088147893,0.09201782352037177,0.0,1.7176094369571617e-19,4.143944059408228e-06,8.019123959871286e-17,0.0,3.073818857452164e-29,5.303704325519749e-10,2.7146512564216957e-22,2.0277206413092314e-18,4.3543099395485424e-29,9.721365462557746e-13,3.006938506458564e-13,2.702444318817535e-46,1.7161402171353323e-09,6.646286473750173e-31,6.161747842088784e-21,8.513544682908404e-37,4.142578713095909e-06,5.439458570231942e-34,3.7934336642378513e-07,9.749726908138447e-07,3.3973771557262923e-06,1.119035402130354e-06,3.950138957269283e-07,9.02690180485151e-07,7.678528923749553e-08,2.0985688731250964e-07,9.854250639252906e-08,1.098456247256387e-07,3.871262381751777e-07,5.759118506999666e-07,9.566204366978794e-08,6.617091035022624e-07,2.3934913438480497e-14,1.7866798623950195e-12,1.2293207190830214e-13,1.9017952513225516e-11,2.8733673593233474e-12,2.2550639270063897e-08,3.415130728892184e-08,2.524562219789727e-07,1.1437361336511736e-07,8.0385885372667e-10
3.079551102638441e-11,0.10172235144988963,0.0,0.02524803615823053,0.031074881572387213,0.3194067911971976,0.3504794091817919,0.20701113740605884,0.09201782361058282,0.0,1.7469424597399077e-19,4.163762082900042e-06,8.134746430690893e-17,0.0,3.159475736255011e-29,5.396257702435562e-10,2.7667178087811893e-22,2.0471656361657497e-18,4.4170938775401864e-29,9.813533794754855e-13,3.021321685391405e-13,2.76769925427652e-46,1.72434988313118e-09,6.742117666370444e-31,6.274128549496435e-21,8.750790762178073e-37,4.162383605918333e-06,5.543809197168046e-34,3.793449844760141e-07,9.766126553960107e-07,3.4187974252578123e-06,1.1222644775406328e-06,3.9521739395285773e-07,9.062790003850088e-07,7.704223776007767e-08,2.1167279736589398e-07,9.902041984555112e-08,1.1131925195096438e-07,3.9002944040029177e-07,5.803747107329102e-07,9.611962020547328e-08,6.647669897145559e-07,2.42699377852285e-14,1.819765335404925e-12,1.2350026889850175e-13,1.9105997869124387e-11,2.876837659560172e-12,2.2764538722620123e-08,3.4474928383564033e-08,2.5241102135212464e-07,1.1478590169587557e-07,8.115670176879311e-10
3.0942116163416825e-11,0.10172235144988963,0.0,0.025247991512098573,0.031074881413907823,0.3194067785657901,0.3504793856838106,0.2070111339340423,0.0920178237015244,0.0,1.7766525007857654e-19,4.183580068338041e-06,8.251474960641581e-17,0.0,3.247107378797708e-29,5.489978811776374e-10,2.819527435753863e-22,2.0667034205566973e-18,4.480478443547631e-29,9.906127003332046e-13,3.035704863154484e-13,2.834208692217023e-46,1.7325595613340895e-09,6.838865630677874e-31,6.388030674271959e-21,8.993506511247645e-37,4.18218839783216e-06,5.6496495226941615e-34,3.793466074196246e-07,9.782395847511357e-07,3.440248854818317e-06,1.125479152001421e-06,3.9541750113287185e-07,9.09854252115051e-07,7.729880745262018e-08,2.134933213186521e-07,9.949839569602575e-08,1.128045247709663e-07,3.929348367761902e-07,5.848524249802021e-07,9.657719664221329e-08,6.678238767312615e-07,2.4607913598771354e-14,1.8533070302664443e-12,1.240682813469018e-13,1.9194016012774456e-11,2.8803342103556644e-12,2.2979424373350788e-08,3.479983855126091e-08,2.5235797388853065e-07,1.1519769017265275e-07,8.193119569598507e-10
