Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2X(216),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(655)
3.6514296461109144e-09,0.06210963536780779,0.0,1.4958034413977779,0.031075110263184432,0.30097409187158086,0.34177940711777016,0.2007093655074343,0.09705969545056234,0.0,2.849431393644645e-20,1.3420969189055984e-08,1.557275496276638e-21,0.0,8.094487429514143e-30,0.001252014676914289,1.349719947291669e-23,2.8051779201581135e-28,1.5786792272869058e-41,1.8061218672984726e-12,6.6272941100976064e-21,2.1719171976201614e-66,8.375063621744157e-14,9.40568711104829e-46,2.555490889254252e-21,6.263176204438932e-42,9.411999818089658e-09,4.047833239140916e-41,7.162785390876216e-05,0.010295463789039942,0.012471989917925865,0.008705371600798347,0.0002489704582907163,0.0014185684377186517,3.274054486101864e-06,0.0012637740064921073,1.222598094818748e-10,0.004383398454357049,0.0010667507444006624,0.00034138589779383465,5.434535698995785e-05,0.006046249704365804,1.707549076620868e-14,5.7691793018405813e-11,1.0385797537653236e-13,7.634450505484456e-06
3.6618186056031553e-09,0.06210963536780779,0.0,1.4957213684498032,0.031075110263184432,0.30093732358069786,0.3417679646396996,0.20069287467802496,0.09708272155269569,0.0,2.8546922872219756e-20,1.3458779392716151e-08,1.5765258337415413e-21,0.0,8.227320528213401e-30,0.00125989851665759,1.3639939152485473e-23,2.827873068624889e-28,1.5920922588199856e-41,1.8162553628191693e-12,6.6458733684862795e-21,2.2027979399688423e-66,8.435134042035158e-14,9.485601397849254e-46,2.5824954917307857e-21,6.365898731791815e-42,9.42975570356587e-09,4.0936588673252606e-41,7.16390293397599e-05,0.010308776666156826,0.01248997330468216,0.008716814041058722,0.0002489361521794943,0.001418689472479747,3.270695455830169e-06,0.001265098612498116,1.2286576165958445e-10,0.0044007143902378395,0.0010714020893215408,0.0003403617718687947,5.4792159387574204e-05,0.006062732348123176,1.7122273580478862e-14,5.7853227662611363e-11,1.0413934476106578e-13,7.676942096787488e-06
3.672207565095396e-09,0.06210963536780779,0.0,1.495639445876463,0.031075110263184432,0.30090061073244767,0.3417565675122267,0.20067638703623275,0.09710575208396406,0.0,2.8599207986335313e-20,1.349658833301248e-08,1.5959686349885645e-21,0.0,8.361932802825412e-30,0.0012678031249742897,1.378375030938606e-23,2.850710360629506e-28,1.6055804924678553e-41,1.8264164428052494e-12,6.664451100421992e-21,2.2340278608692678e-66,8.495509697475224e-14,9.565963738096188e-46,2.6097025149142417e-21,6.469995698061369e-42,9.44747369020103e-09,4.139870239481042e-41,7.165022021481084e-05,0.010322035450401335,0.012507902160914899,0.008728211130722717,0.00024890187792082674,0.0014188079948891097,3.2673465010434156e-06,0.0012664136177452507,1.2347278056740463e-10,0.004418033243548445,0.0010760611668304948,0.00033934395467513114,5.524087760164764e-05,0.0060792116590794466,1.7169047622217133e-14,5.8014646090690675e-11,1.0442084144122773e-13,7.719547019496123e-06
3.682596524587637e-09,0.06210963536780779,0.0,1.495557673208604,0.031075110263184432,0.30086395313364794,0.34174521556048576,0.20065990257820623,0.09712878697335918,0.0,2.865117223281166e-20,1.3534396014952409e-08,1.6156053778539226e-21,0.0,8.498342674361209e-30,0.001275728456843669,1.3928637580083206e-23,2.8736904357878123e-28,1.6191441322534513e-41,1.8366051016818797e-12,6.683027306199584e-21,2.2656098950009255e-66,8.55619122021676e-14,9.646775347382837e-46,2.63711283154078e-21,6.575481304147088e-42,9.465153865798211e-09,4.186469484156446e-41,7.166142647973635e-05,0.010335240352443265,0.012525776612188604,0.008739563044655924,0.0002488676354208879,0.001418924026600249,3.264007680412393e-06,0.0012677190811369286,1.2408086360443353e-10,0.004435354957883119,0.001080727935320256,0.00033833241917174885,5.5691510327086016e-05,0.00609568764121166,1.721581289832815e-14,5.817604828105864e-11,1.0470246538343247e-13,7.762265241843239e-06
3.692985484079878e-09,0.06210963536780779,0.0,1.495476049979822,0.031075110263184432,0.30082735059182786,0.34173390861028313,0.2006434213001051,0.09715182615103926,0.0,2.870281853925908e-20,1.3572202443524052e-08,1.6354375475009179e-21,0.0,8.63656869753014e-30,0.0012836744671302865,1.4074605604694007e-23,2.8968139349288728e-28,1.6327833821490998e-41,1.8468213338808768e-12,6.701601986113537e-21,2.2975469931875968e-66,8.617179236876552e-14,9.728037441001637e-46,2.6647273150075535e-21,6.682369853518645e-42,9.482796317935758e-09,4.2334587354422144e-41,7.167264807956794e-05,0.010348391582007522,0.012543596783231433,0.008750869957052113,0.00024883342458645113,0.001419037589148455,3.260679049404537e-06,0.0012690150612592983,1.2469000817653569e-10,0.004452679477479281,0.0010854023532099984,0.0003373271378246938,5.614405623659011e-05,0.006112160298484986,1.7262569415689293e-14,5.833743421183017e-11,1.0498421654666194e-13,7.805096732114835e-06
3.703374443572119e-09,0.06210963536780779,0.0,1.4953945757263936,0.031075110263184432,0.30079080291522375,0.3417226464880942,0.2006269431981004,0.09717486954830276,0.0,2.875414980694198e-20,1.3610007623696299e-08,1.6554666364231186e-21,0.0,8.776629561278258e-30,0.0012916411105847426,1.422165902695948e-23,2.92008150008861e-28,1.646498446076538e-41,1.8570651338406817e-12,6.7201751404579805e-21,2.3298421224388692e-66,8.678474368529744e-14,9.80975123394381e-46,2.6925468393672985e-21,6.790675752622327e-42,9.500401133967936e-09,4.280840132969324e-41,7.16838849585773e-05,0.010361489347879534,0.012561362797975194,0.00876213204143586,0.000248799245324876,0.0014191487039502738,3.2573606603657475e-06,0.0012703016163829897,1.2530021169632032e-10,0.004470006747211141,0.0010900843789479933,0.0003363280826296552,5.659851398076159e-05,0.006128629634852803,1.7309317181151258e-14,5.849880386083007e-11,1.0526609488260371e-13,7.848041458649864e-06
3.7137634030643597e-09,0.06210963536780779,0.0,1.4953132499872097,0.031075110263184432,0.3007543099127772,0.34171142902106094,0.2006104682683741,0.09719791709756256,0.0,2.8805168910848735e-20,1.3647811560418877e-08,1.6756941444473416e-21,0.0,8.918544089326879e-30,0.0012996283418444867,1.4369802494216327e-23,2.943493774503442e-28,1.6602895279069262e-41,1.8673364960063405e-12,6.738746769526691e-21,2.3624982659916222e-66,8.740077230704175e-14,9.891917940899458e-46,2.720572279322944e-21,6.900413511287534e-42,9.517968401025583e-09,4.3286158219066557e-41,7.16951370603055e-05,0.010374533857910616,0.012579074779594123,0.00877334947066513,0.0002487650975440935,0.001419257392302975,3.2540525626006027e-06,0.0012715788044648417,1.2591147158312062e-10,0.00448733671258335,0.0010947739710142404,0.00033533522513391544,5.7054882188210916e-05,0.0061450956542567475,1.7356056201538555e-14,5.866015720560264e-11,1.0554810033579025e-13,7.891099389840084e-06
3.7241523625566006e-09,0.06210963536780779,0.0,1.495232072303711,0.031075110263184432,0.3007178713941319,0.34170025603698956,0.20059399650711926,0.0972209687323206,0.0,2.8855878699768825e-20,1.3685614258622421e-08,1.6961215787364468e-21,0.0,9.062331240711349e-30,0.0013076361154346608,1.4519040657368828e-23,2.9670514026039e-28,1.6741568314608647e-41,1.8776354148294915e-12,6.757316873613088e-21,2.3955184233514956e-66,8.801988433375075e-14,9.974538776257675e-46,2.7488045102222454e-21,7.011597743133349e-42,9.535498206016747e-09,4.3767879529586703e-41,7.170640432759152e-05,0.010387525319023363,0.012596732850542535,0.008784522416933878,0.0002487309811525931,0.0014193636753840225,3.2507548024511204e-06,0.0012728466831496113,1.2652378526297214e-10,0.00450466931972469,0.001099471087923065,0.00033434853645775424,5.751315946566463e-05,0.006161558360626788,1.740278648365008e-14,5.882149422342206e-11,1.0583023284373898e-13,7.934270494129867e-06
3.734541322048842e-09,0.06210963536780779,0.0,1.4951510422198249,0.031075110263184432,0.3006814871696307,0.3416891273643473,0.2005775279105401,0.09724402438714343,0.0,2.8906281996376924e-20,1.3723415723218568e-08,1.7167504537919447e-21,0.0,9.208010110319953e-30,0.0013156643857689819,1.4669378170860824e-23,2.990755030008258e-28,1.688100560508411e-41,1.8879618847683356e-12,6.775885453010242e-21,2.4289056103343317e-66,8.864208580960075e-14,1.0057614954106618e-45,2.7772444080524495e-21,7.124243165975185e-42,9.552990635627339e-09,4.4253586823630933e-41,7.171768670260028e-05,0.010400463937216987,0.012614337132591276,0.008795651051774614,0.00024869689605940974,0.0014194675742505343,3.247467423373945e-06,0.0012741053097716606,1.2713715016859198e-10,0.004522004515381825,0.0011041756882256822,0.0003333679873153189,5.7973344398072515e-05,0.0061780177578812856,1.7449508034259624e-14,5.898281489130153e-11,1.0611249233709287e-13,7.977554740016025e-06
3.744930281541083e-09,0.06210963536780779,0.0,1.4950701592819038,0.031075110263184432,0.300645157050313,0.3416780428322608,0.20056106247485164,0.09726708399763795,0.0,2.895638159732341e-20,1.3761215959099998e-08,1.737582291456406e-21,0.0,9.355599929433017e-30,0.00132371310715066,1.4820819692647885e-23,3.014605303516141e-28,1.7021209187690942e-41,1.8983159002876274e-12,6.794452508010873e-21,2.4626628591075986e-66,8.9267382723146e-14,1.0141147688233624e-45,2.805892849434982e-21,7.23836460223148e-42,9.570445776321785e-09,4.4743301718885947e-41,7.172898412685008e-05,0.010413349917572685,0.012631887746863114,0.008806735546060991,0.0002486628421741112,0.0014195691098387471,3.2441904660161315e-06,0.0012753547413566295,1.277515637393577e-10,0.004539342246913076,0.0011088877305127371,0.0003323935480349666,5.843543554871439e-05,0.006194473849927058,1.7496220860116417e-14,5.914411918600334e-11,1.0639487873976222e-13,8.020952096047662e-06
3.7553192410333245e-09,0.06210963536780779,0.0,1.4949894230386673,0.031075110263184432,0.30060888084791215,0.34166700227051244,0.20054460019627982,0.09729014750042786,0.0,2.9006180273331325e-20,1.3799014971140537e-08,1.7586186209156894e-21,0.0,9.505120066262182e-30,0.0013317822337733528,1.497336988416956e-23,3.038602871102137e-28,1.716218109911934e-41,1.9086974558586463e-12,6.81301803890735e-21,2.496793218231795e-66,8.989578100727549e-14,1.0225138192125288e-45,2.834750711620159e-21,7.353976979330466e-42,9.587863714343653e-09,4.5237045888324695e-41,7.17402965412392e-05,0.010426183464258942,0.012649384813866963,0.008817776070010322,0.000248628819406785,0.0014196683029634805,3.2409239682893573e-06,0.001276595034623086,1.2836702342128654e-10,0.004556682462282244,0.0011136071734168054,0.00033142518857909027,5.889943145930674e-05,0.006210926640659434,1.754292496794561e-14,5.930540708404843e-11,1.0667739196906648e-13,8.064462530825981e-06
3.765708200525566e-09,0.06210963536780779,0.0,1.4949088330411406,0.031075110263184432,0.30057265837485203,0.3416560055095388,0.2005281410710615,0.09731321483313059,0.0,2.905568076929937e-20,1.3836812764195206e-08,1.77986097870098e-21,0.0,9.656590026489841e-30,0.0013398717197221526,1.5127033410321853e-23,3.0627483819094006e-28,1.7303923375554522e-41,1.9191065459591863e-12,6.831582045991686e-21,2.531299752701818e-66,9.052728653917371e-14,1.0309587678967581e-45,2.8638188724819282e-21,7.471095330116988e-42,9.6052445357163e-09,4.573484106018329e-41,7.175162388607221e-05,0.010438964780536865,0.01266682845353107,0.008828772793186154,0.00024859482766802774,0.0014197651743176028,3.2376679654428115e-06,0.001277826245984156,1.2898352666701429e-10,0.004574025110052474,0.0011183339756148662,0.0003304628785634359,5.936533065010906e-05,0.006227376133962317,1.7589620364448778e-14,5.946667856172558e-11,1.0696003193587648e-13,8.108086013004119e-06
3.776097160017807e-09,0.06210963536780779,0.0,1.4948283888426022,0.031075110263184432,0.3005364894442452,0.34164505238042764,0.20051168509544437,0.09733628593433463,0.0,2.9104885804410414e-20,1.387460934310031e-08,1.801310908690635e-21,0.0,9.810029453808729e-30,0.0013479815189746096,1.5281814939429694e-23,3.087042486243252e-28,1.7446438052676937e-41,1.9295431650735274e-12,6.85014452955556e-21,2.566185543988328e-66,9.116190514028422e-14,1.039449736164593e-45,2.89309821051263e-21,7.589734793259403e-42,9.622588326243523e-09,4.62367090179379e-41,7.17629661010854e-05,0.010451694068765466,0.012684218785235117,0.008839725884500804,0.00024856086686893177,0.0014198597444715062,3.234422490134496e-06,0.00127904843154914,1.2960107093577498e-10,0.004591370139380156,0.0011230680958307447,0.00032950658727591873,5.983313162003001e-05,0.006243822333708246,1.7636307056304417e-14,5.962793359510126e-11,1.0724279854475733e-13,8.151822511286982e-06
3.7864861195100484e-09,0.06210963536780779,0.0,1.4947480899985257,0.031075110263184432,0.3005003738698894,0.3416341427149152,0.20049523226568686,0.09735936074357757,0.0,2.9153798072245676e-20,1.39124047126735e-08,1.8229699621118456e-21,0.0,9.965458130461689e-30,0.0013561115854017836,1.5437719143219657e-23,3.1114858355647754e-28,1.758972716566238e-41,1.940007307692425e-12,6.868705489890297e-21,2.601453690079084e-66,9.179964257627682e-14,1.0479868452745312e-45,2.92258960481779e-21,7.709910613656486e-42,9.639895171510173e-09,4.674267160028161e-41,7.177432312547184e-05,0.010464371530406934,0.012701555927841305,0.008850635512217838,0.0002485269369210748,0.0014199520338725833,3.2311875725012986e-06,0.0012802616471251046,1.3021965369337982e-10,0.004608717500008883,0.001127809492837522,0.00032855628369494934,6.030283284673349e-05,0.006260265243758441,1.768298505016838e-14,5.978917216002857e-11,1.0752569169411086e-13,8.195671994431062e-06
3.79687507900229e-09,0.06210963536780779,0.0,1.494667936066528,0.031075110263184432,0.3004643114662657,0.34162327634538425,0.20047878257805812,0.09738243920132458,0.0,2.920242024090393e-20,1.3950198877713845e-08,1.8448396975421166e-21,0.0,1.0122895977781591e-29,0.0013642618727693285,1.5594750696792767e-23,3.1360790824844164e-28,1.7733792749182185e-41,1.950498968313087e-12,6.887264927286873e-21,2.637107305520248e-66,9.244050455701776e-14,1.0565702164550358e-45,2.9522939351109278e-21,7.831638142844447e-42,9.65716515688282e-09,4.725275070110138e-41,7.178569489790584e-05,0.010476997366031896,0.01271883999972439,0.008861501843954624,0.0002484930377365083,0.0014200420628447108,3.2279632402274363e-06,0.0012814659482184604,1.3083927241219687e-10,0.004626067142263425,0.0011325581254599136,0.0003276119365072765,6.0774432786744455e-05,0.006276704867962869,1.7729654352674432e-14,5.995039423215677e-11,1.0780871127631895e-13,8.239634431244266e-06
3.807264038494531e-09,0.06210963536780779,0.0,1.4945879266063171,0.031075110263184432,0.30042830204853477,0.3416124531048611,0.20046233602883812,0.09740552124894714,0.0,2.925075495312577e-20,1.398799184300192e-08,1.8669216809105495e-21,0.0,1.0282363056731403e-29,0.0013724323347386086,1.575291427859741e-23,3.1608228807555624e-28,1.787863683740337e-41,1.9610181414391554e-12,6.90582284203592e-21,2.6731495214576864e-66,9.308449673654333e-14,1.0651999709045448e-45,2.982212081708401e-21,7.95493283940395e-42,9.67439836751036e-09,4.776696826945506e-41,7.179708135656671e-05,0.010489571775324651,0.01273607111880077,0.008872325046684807,0.0002484591692277467,0.001420129851587748,3.224749518611805e-06,0.0012826613900365211,1.3145992457113046e-10,0.00464341901704377,0.0011373139525766155,0.0003266735141253578,6.124792987555464e-05,0.0062931412101602914,1.777631497043459e-14,6.01115997869403e-11,1.0809185717788593e-13,8.283709790585767e-06
3.817652997986772e-09,0.06210963536780779,0.0,1.4945080611796422,0.031075110263184432,0.30039234543253523,0.3416016728270133,0.2004458926143172,0.09742860682870257,0.0,2.929880482642246e-20,1.4025783613299843e-08,1.889217485498952e-21,0.0,1.0443879568444417e-29,0.0013806229248678407,1.591221457040243e-23,3.1857178852681443e-28,1.8024261463988796e-41,1.9715648215806883e-12,6.92437923442773e-21,2.7095834856782284e-66,9.373162471303665e-14,1.0738762297914793e-45,3.0123449255242688e-21,8.079810269367198e-42,9.691594888324667e-09,4.828534630954828e-41,7.180848243916204e-05,0.010502094957088367,0.01275324940255654,0.008883105286740809,0.0002484253313077568,0.0014202154201770388,3.2215464306336205e-06,0.001283848027489043,1.3208160765560081e-10,0.004660773075819186,0.0011420769331226192,0.0003257409847042621,6.17233225277282e-05,0.006309574274178316,1.7822966910039658e-14,6.027278879964771e-11,1.0837512927958153e-13,8.327898041365787e-06
3.828041957479014e-09,0.06210963536780779,0.0,1.4944283393502447,0.031075110263184432,0.30035644143478085,0.34159093534614715,0.20042945233079665,0.09745169588371391,0.0,2.934657245320917e-20,1.4063574193351383e-08,1.911728691942753e-21,0.0,1.0607465854764613e-29,0.001388833596613266,1.6072656257270315e-23,3.210764752042213e-28,1.817066866209732e-41,1.9821390032541403e-12,6.942934104752251e-21,2.74641236265092e-66,9.438189402880746e-14,1.0825991142542553e-45,3.042693348065176e-21,8.206286106625067e-42,9.708754804041215e-09,4.880790688071156e-41,7.181989808295051e-05,0.010514567109250294,0.012770374968074644,0.008893842729816295,0.00024839152388994763,0.0014202987885629289,3.2183539970171353e-06,0.0012850259151897495,1.3270431915752356e-10,0.00467812927062234,0.0011468470260914967,0.0003248143161581183,6.220060913700735e-05,0.006326004063833455,1.786961017805966e-14,6.043396124537091e-11,1.0865852745658311e-13,8.372199152545465e-06
