Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2X(216),CH3OX(210),CH2X(34)
2.680512668910887e-12,0.06662394546715897,0.0,1.6541840349284207,0.031075110263184432,0.3193894453437436,0.3504726182894332,0.20699755405964787,0.09198652902142444,0.0,1.0216549052368844e-32,6.855343134381653e-11,6.71202867651017e-31,0.0,8.053659811975642e-46,7.23365661800123e-13,6.063831638199673e-34,1.239643844063312e-32,1.5946988685463637e-47,1.0840230019482739e-17,2.6935885047045026e-22,1.3491421836046391e-76,7.009812686980698e-18,2.1964520946207003e-51,7.616564916826816e-32,4.406886904061702e-57,6.853332088963763e-11,1.4609982800058302e-50,3.166635633771363e-05,1.5314236054513365e-05,9.778913890025034e-06,1.2173781552858032e-05,9.821255152239118e-06,4.904049633549828e-06,6.8893376125362925e-09,9.112149983309367e-09,6.288289474630354e-16,5.1430679392120344e-11,9.083342027435934e-09,2.426840519136571e-09,3.511374339344062e-17,4.844846973446888e-06,1.8441477116165597e-11
2.7186858923777302e-12,0.06662394546715897,0.0,1.6541829265318795,0.031075110263184432,0.31938915733905665,0.35047244511213566,0.20699734907732398,0.09198622669427282,0.0,1.0756051007554834e-32,6.952968465736237e-11,7.008722731684453e-31,0.0,8.766749923369934e-46,7.547539844896056e-13,6.416673636195523e-34,1.2752002412816134e-32,1.6638028587997324e-47,1.1151170469563632e-17,2.731946571865152e-22,1.447981830631773e-76,7.11758450801442e-18,2.2916321984180363e-51,8.059757570564111e-32,4.7970820564544264e-57,6.950899749676172e-11,1.5460156931136934e-50,3.196868126386956e-05,1.5531949266592267e-05,9.918557315585104e-06,1.2346957874198154e-05,9.957247707014954e-06,4.97381788424837e-06,7.057524018884404e-09,9.373272147883426e-09,6.467712191796576e-16,5.3656841557007085e-11,9.343217871084325e-09,2.5235110986232568e-09,3.715847031045548e-17,4.913836213590765e-06,1.8970437679296552e-11
2.7568591158445735e-12,0.06662394546715897,0.0,1.6541818214212183,0.031075110263184432,0.319388869339514,0.35047227194017916,0.20699714420184756,0.091985927550719,0.0,1.1320017549353736e-32,7.050593748852432e-11,7.3141990097148254e-31,0.0,9.531695829745519e-46,7.870386944990814e-13,6.784693726071838e-34,1.3112593221127552e-32,1.73487486867794e-47,1.1466507315913593e-17,2.7703046010510016e-22,1.5525312566222087e-76,7.22557968843239e-18,2.3895229461409814e-51,8.522014904861981e-32,5.215652029598016e-57,7.048466547282783e-11,1.634690621704092e-50,3.226782259736989e-05,1.574965191816946e-05,1.005821207591567e-05,1.2520128854388997e-05,1.0093133574943839e-05,5.043584160416172e-06,7.227080656903077e-09,9.638075727401954e-09,6.649658031962527e-16,5.594626001765992e-11,9.606739750989212e-09,2.622523118914715e-09,3.929126662665057e-17,4.982825285637254e-06,1.950687657122489e-11
2.7950323393114167e-12,0.06662394546715897,0.0,1.6541807195628095,0.031075110263184432,0.3193885813451148,0.3504720987735634,0.20699693943313446,0.09198563155724183,0.0,1.1909497905687e-32,7.148218983731727e-11,7.628594830824893e-31,0.0,1.0351471295963485e-45,8.20232485111727e-13,7.168321009460896e-34,1.3478210845616795e-32,1.8079425282814878e-47,1.1786240547830315e-17,2.808662592281844e-22,1.6630343429986666e-76,7.333798239241352e-18,2.4901623939970268e-51,9.003875899072854e-32,5.664224020127898e-57,7.146032481799411e-11,1.72712648742071e-50,3.256381385943471e-05,1.5967344010324934e-05,1.0197878190458815e-05,1.2693294493934783e-05,1.0228912839893404e-05,5.113348462091533e-06,7.397988603023546e-09,9.906560417887342e-09,6.834126968259207e-16,5.829981686862644e-11,9.873906871317661e-09,2.7238954650449718e-09,4.1514628683590546e-17,5.051814189894892e-06,2.0050793749629545e-11
2.83320556277826e-12,0.06662394546715897,0.0,1.6541796209233808,0.031075110263184432,0.3193882933558581,0.3504719256122877,0.2069967347711005,0.09198533868067318,0.0,1.2525584528928874e-32,7.245844170375609e-11,7.952047903797133e-31,0.0,1.1229176187301663e-45,8.543480527642729e-13,7.567990566489813e-34,1.3848855266538807e-32,1.8830334676298817e-47,1.2110370154631053e-17,2.847020545577455e-22,1.7797418187048396e-76,7.442240171479076e-18,2.5935885980820912e-51,9.505887041885796e-32,6.144494224180716e-57,7.243597553241777e-11,1.8234281536548306e-50,3.285668821832794e-05,1.618502554413417e-05,1.033755567838973e-05,1.2866454793336199e-05,1.0364585585662677e-05,5.183110789309918e-06,7.570229192792111e-09,1.0178725915396956e-08,7.021118973818212e-16,6.071839403685096e-11,1.014471843640652e-08,2.8276467619232192e-09,4.383108788760955e-17,5.120802926669388e-06,2.0602189171936194e-11
2.871378786245103e-12,0.06662394546715897,0.0,1.6541785254700085,0.031075110263184432,0.3193880053717431,0.35047175245635165,0.20699653021566175,0.09198504888819417,0.0,1.3169414446578382e-32,7.343469308785563e-11,8.284696325999425e-31,0.0,1.2168039984383624e-45,8.893980970524397e-13,7.984143455657103e-34,1.4224526464350963e-32,1.9601753166616884e-47,1.2438896125652461e-17,2.885378460957596e-22,1.9029113549991962e-76,7.55090549621392e-18,2.699839614380599e-51,1.0028602331170132e-31,6.658229760655027e-57,7.341161761625516e-11,1.923701925538038e-50,3.3146478493073605e-05,1.6402696520668205e-05,1.0477244558620355e-05,1.3039609753090448e-05,1.0500151895982145e-05,5.252871142104002e-06,7.743784017322555e-09,1.0454571916022747e-08,7.210634021771716e-16,6.320287328171362e-11,1.0419173650761988e-08,2.9337953778972374e-09,4.624321071743096e-17,5.189791496263669e-06,2.1161062795315108e-11
2.9095520097119464e-12,0.06662394546715897,0.0,1.654177433170116,0.031075110263184432,0.3193877173927688,0.3504715793057549,0.20699632576673413,0.09198476214733145,0.0,1.3842170630053515e-32,7.441094398963078e-11,8.62667858341159e-31,0.0,1.3171425346395576e-45,9.253953207362792e-13,8.417226713709254e-34,1.4605224419710033e-32,2.0393957052345905e-47,1.2771818450250408e-17,2.9237363384420103e-22,2.0328076602482172e-76,7.659794224544414e-18,2.8089534987655573e-51,1.05725832738191e-31,7.20727062089227e-57,7.438725106966184e-11,2.0280555499349296e-50,3.3433217157133235e-05,1.662035694099371e-05,1.0616944849802979e-05,1.3212759373691285e-05,1.0635611854513863e-05,5.322629520503687e-06,7.918634919797234e-09,1.0734098115890866e-08,7.402672085252487e-16,6.575413619506885e-11,1.06972717190592e-08,3.042359428267929e-09,4.8753598731802306e-17,5.258779898977896e-06,2.1727414576679086e-11
2.9477252331787896e-12,0.06662394546715897,0.0,1.6541763439914672,0.031075110263184432,0.3193874294189344,0.35047140616049666,0.20699612142423385,0.09198447842595364,0.0,1.4545083381396824e-32,7.538719440909642e-11,8.97813355065204e-31,0.0,1.4242831722589813e-45,9.62352429745425e-13,8.867693355517351e-34,1.4990949113469179e-32,2.1207222631254435e-47,1.3109137117799803e-17,2.962094178050429e-22,2.1697025747190656e-76,7.768906367598822e-18,2.920968306998635e-51,1.1138398885593582e-31,7.793531644777222e-57,7.536287589279243e-11,2.1365982154358444e-50,3.3716936342044265e-05,1.683800680617299e-05,1.0756656570333761e-05,1.338590365562904e-05,1.0770965544851512e-05,5.39238592453614e-06,8.09476399201622e-09,1.101730421116127e-08,7.597233137393867e-16,6.837306420128387e-11,1.0979011846141816e-08,3.153356778755643e-09,5.13648885771448e-17,5.327768135109498e-06,2.2301244472681453e-11
2.985898456645633e-12,0.06662394546715897,0.0,1.654175257902167,0.031075110263184432,0.319387141450239,0.35047123302057664,0.20699591718807703,0.09198419769226762,0.0,1.527943173768053e-32,7.636344434626743e-11,9.339200491004477e-31,0.0,1.538589901207354e-45,1.0002821331842497e-12,9.336002373953738e-34,1.5381700526674983e-32,2.204182620030332e-47,1.3450852117694419e-17,3.0004519798025654e-22,2.3138751653716782e-76,7.878241936534753e-18,3.035922094730235e-51,1.1726625690965869e-31,8.419004523257269e-57,7.633849208580081e-11,2.2494405523495957e-50,3.3997667841020393e-05,1.7055646117264067e-05,1.0896379738356237e-05,1.3559042599390675e-05,1.0906213050520506e-05,5.462140354225817e-06,8.272153570993832e-09,1.1304189898027357e-08,7.794317151329788e-16,7.106053855727702e-11,1.1264393237021589e-08,3.266805048918943e-09,5.40797519952172e-17,5.396756204953206e-06,2.2882552439714033e-11
3.024071680112476e-12,0.06662394546715897,0.0,1.6541741748706524,0.031075110263184432,0.3193868534866819,0.3504710598859943,0.20699571305817993,0.0919839199148151,0.0,1.604654489289832e-32,7.733969380115863e-11,9.710019056444658e-31,0.0,1.660441127188174e-45,1.0391971433369366e-12,9.822618739768741e-34,1.5777478640564532e-32,2.289804405564623e-47,1.3796963439346738e-17,3.038809743718118e-22,2.4656118206503053e-76,7.98780094253873e-18,3.1538529174995796e-51,1.2337847722963464e-31,9.085759827279697e-57,7.731409964883998e-11,2.3666946326962196e-50,3.427544311251382e-05,1.7273274875320715e-05,1.1036114371764755e-05,1.3732176205459803e-05,1.1041354454978062e-05,5.531892809594492e-06,8.450786235601849e-09,1.1594754872715577e-08,7.993924100194752e-16,7.381744035255563e-11,1.1553415096877991e-08,3.3827216155264892e-09,5.690089583079391e-17,5.465744108801066e-06,2.3471338433905256e-11
3.0622449035793192e-12,0.06662394546715897,0.0,1.6541730948656943,0.031075110263184432,0.31938656552826206,0.35047088675674914,0.20699550903445887,0.09198364506246894,0.0,1.6847803637130282e-32,7.83159427737849e-11,1.0090729287667231e-30,0.0,1.7902300473332812e-45,1.0791101756724606e-12,1.0328013401467391e-33,1.6178283436562543e-32,2.3776152492630305e-47,1.414747107218775e-17,3.0771674698167703e-22,2.6252063452744698e-76,8.097583396825793e-18,3.2747988307347794e-51,1.297265652301296e-31,9.79594906314634e-57,7.82896985820621e-11,2.488473970199737e-50,3.4550293283740094e-05,1.749089308139248e-05,1.1175860488207873e-05,1.3905304474316729e-05,1.1176389841613285e-05,5.601643290661289e-06,8.630644803258811e-09,1.1888998831485074e-08,8.196053957123844e-16,7.664465050925395e-11,1.1846076631057775e-08,3.50112361588267e-09,5.98310620393569e-17,5.534731846942482e-06,2.406760241111826e-11
3.1004181270461625e-12,0.06662394546715897,0.0,1.6541720178563912,0.031075110263184432,0.3193862775749786,0.3504707136328408,0.20699530511683029,0.09198337310442987,0.0,1.768464181276673e-32,7.929219126416117e-11,1.0481471614112645e-30,0.0,1.9283650306665757e-45,1.1200339488494854e-12,1.085266328518622e-33,1.658411489627851e-32,2.4676427805796574e-47,1.450237500566682e-17,3.115525158118189e-22,2.7929600550293656e-76,8.207589310639106e-18,3.3987978897529135e-51,1.363165114078397e-31,1.055180675428479e-56,7.92652888856186e-11,2.6148935202809204e-50,3.482224915416585e-05,1.7708500736524772e-05,1.1315618105091711e-05,1.4078427406438481e-05,1.1311319293747245e-05,5.671391797442704e-06,8.811712326664743e-09,1.218692147062732e-08,8.400706695252714e-16,7.954304978217073e-11,1.2142377045074618e-08,3.6220279511076266e-09,6.287302769480136e-17,5.603719419664241e-06,2.4671344326949077e-11
3.1385913505130057e-12,0.06662394546715897,0.0,1.6541709438121655,0.031075110263184432,0.3193859896268309,0.3504705405142687,0.20699510130521062,0.09198310401022285,0.0,1.855854778757629e-32,8.026843927230224e-11,1.0882386853994082e-30,0.0,2.075270003395756e-45,1.1619811847211755e-12,1.1397051294570074e-33,1.6994973001503914e-32,2.559914628888064e-47,1.4861675229251505e-17,3.1538828086420267e-22,2.969181871555691e-76,8.317818695249568e-18,3.5258881497601104e-51,1.431543813403306e-31,1.1355652549435478e-56,8.024087055966009e-11,2.7460696800500754e-50,3.509134119895973e-05,1.7926097841758852e-05,1.145538723958324e-05,1.4251545002298855e-05,1.1446142894633067e-05,5.741138329952642e-06,8.993972090580703e-09,1.2488522486465744e-08,8.607882287717595e-16,8.251351875880667e-11,1.2442315544608687e-08,3.7454512893723e-09,6.602960499715461e-17,5.67270682725053e-06,2.5282564136724796e-11
3.176764573979849e-12,0.06662394546715897,0.0,1.6541698727027612,0.031075110263184432,0.31938570168381786,0.35047036740103243,0.20699489759951634,0.09198283774969367,0.0,1.94710659444033e-32,8.1244686798223e-11,1.1293616214324521e-30,0.0,2.2313848390319612e-45,1.2049646083399229e-12,1.1961666310648988e-33,1.741085773420946e-32,2.654458423481319e-47,1.5225371732427373e-17,3.1922404214079183e-22,3.1541884171389085e-76,8.42827156195541e-18,3.6561076658516165e-51,1.5024631568447785e-31,1.2209893357253901e-56,8.121644360433635e-11,2.8821202882998336e-50,3.535759957240704e-05,1.8143684398131923e-05,1.1595167908613574e-05,1.4424657262368433e-05,1.1580860727456012e-05,5.810882888202437e-06,9.17740760865248e-09,1.2793801575355388e-08,8.817580707655286e-16,8.555693785940158e-11,1.274589133550629e-08,3.871410069089111e-09,6.93036412803084e-17,5.74169406998297e-06,2.590126179550185e-11
3.214937797446692e-12,0.06662394546715897,0.0,1.654168804498241,0.031075110263184432,0.31938541374593893,0.3504701942931315,0.20699469399966414,0.09198257429300573,0.0,2.0423798187279382e-32,8.22209338419383e-11,1.1715301290943804e-30,0.0,2.3971657533371728e-45,1.2489969479619955e-12,1.2547003191715062e-33,1.7831769076542353e-32,2.751301793572053e-47,1.5593464504697875e-17,3.2305979964354863e-22,3.348304109497951e-76,8.538947922081835e-18,3.7894944930118814e-51,1.575985301749074e-31,1.3117025507327218e-56,8.219200801979646e-11,3.0231646254979527e-50,3.5621054111288465e-05,1.836126040667715e-05,1.1734960128881146e-05,1.4597764187114632e-05,1.171547287533355e-05,5.880625472200879e-06,9.362002620277897e-09,1.3102758433682562e-08,9.029801928203149e-16,8.867418733697146e-11,1.305310362377947e-08,3.9999205020589085e-09,7.269801901976396e-17,5.810681148140652e-06,2.6527437258064297e-11
