Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511)
8.390064694340605e-12,0.07659248437779444,0.0,1.901590790384539,0.031075110263184432,0.31934222263447065,0.35044443196087777,0.20698354657839943,0.091971740389537,0.0,1.774765093826101e-27,6.173559646891613e-09,3.025586642261944e-25,0.0,2.551614097632763e-56,1.5038883380850868e-11,1.9054561476283547e-46,6.437179481969838e-28,4.475183720351263e-40,7.169463041956935e-33,9.939326073575511e-19,1.728741578273009e-64,1.251128436215594e-14,3.024651587088819e-43,1.1479681020083765e-44,6.790213126678638e-66,6.167512732410461e-09,6.327264200307566e-51,4.64535430387734e-05,5.032012229375847e-05,1.739911499236497e-05,4.0354005102417167e-05,2.8673601815549477e-05,1.663303071763166e-05,2.5720946366903127e-07,2.5049338615472334e-07,2.0073610120415546e-13,7.923975212240831e-09,2.4767131127877785e-07
8.433677148265874e-12,0.07659248437779444,0.0,1.9015899774715588,0.031075110263184432,0.3193418745333626,0.3504442249890538,0.20698342176600396,0.09197170525726656,0.0,1.8025846551605393e-27,6.205648621431889e-09,3.0733067163310173e-25,0.0,2.6459000976822216e-56,1.52810211830031e-11,1.9554816387449164e-46,6.50426956184534e-28,4.5453321421807556e-40,7.281816819068106e-33,9.990988364237036e-19,1.7741407161621616e-64,1.2577952520956506e-14,3.072062943814826e-43,1.178106700221113e-44,7.027173946737686e-66,6.199538865058912e-09,6.459852758117538e-51,4.6488671197437134e-05,5.0575714603003e-05,1.749435688753413e-05,4.056094483741952e-05,2.8798414211015098e-05,1.672024837772422e-05,2.5989915388699897e-07,2.5309900724650407e-07,2.0276379675637797e-13,8.047823043786578e-09,2.502329790518315e-07
8.477289602191144e-12,0.07659248437779444,0.0,1.9015891653335983,0.031075110263184432,0.3193415264583052,0.35044401804616837,0.20698329717615244,0.09197167068611235,0.0,1.8306934152649727e-27,6.237737577021797e-09,3.1215290686621165e-25,0.0,2.7431565599015872e-56,1.5525810429060043e-11,2.0065521795240694e-46,6.571707406571023e-28,4.616209787413736e-40,7.395337992147552e-33,1.004265062377329e-18,1.8204886659332917e-64,1.2644638211305307e-14,3.11996716223092e-43,1.2088749046330914e-44,7.271163010144702e-66,6.231564655859373e-09,6.594514288636012e-51,4.6523238329561396e-05,5.08312460887504e-05,1.7589648161608153e-05,4.076785563396096e-05,2.8923004062533934e-05,1.6807473139491406e-05,2.626030047506347e-07,2.557180494888462e-07,2.0480166334169403e-13,8.172950774407418e-09,2.5280761693589574e-07
8.520902056116413e-12,0.07659248437779444,0.0,1.9015883539612979,0.031075110263184432,0.3193411784092923,0.3504438111322172,0.20698317280844813,0.09197163666712024,0.0,1.8590928693934262e-27,6.269826513663987e-09,3.1702563948771405e-25,0.0,2.8434610563220356e-56,1.577326694120094e-11,2.0586840536048517e-46,6.639493015632236e-28,4.687820426339908e-40,7.510032588103927e-33,1.0094312852239773e-18,1.8678002222585184e-64,1.2711341443027235e-14,3.168366790570139e-43,1.2402825255609464e-44,7.522352497500374e-66,6.263590104844835e-09,6.731270286949659e-51,4.655725339023598e-05,5.108671676604731e-05,1.7684988810177322e-05,4.0974737496161726e-05,2.904737176684533e-05,1.689470499180758e-05,2.653210185362719e-07,2.5835051186803066e-07,2.068497008295094e-13,8.299364902749253e-09,2.553952216763304e-07
8.564514510041683e-12,0.07659248437779444,0.0,1.901587543345441,0.031075110263184432,0.3193408303863178,0.3504436042471963,0.20698304866249503,0.09197160319147907,0.0,1.887784512797303e-27,6.301915431361105e-09,3.219491391658589e-25,0.0,2.9468927708756457e-56,1.602340656392123e-11,2.111893712774818e-46,6.707626388514611e-28,4.760167829242962e-40,7.625906633745084e-33,1.0145975049691884e-18,1.9160903328015106e-64,1.2778062225945833e-14,3.2172643770614526e-43,1.2723394746242162e-44,7.780917932374719e-66,6.295615212048286e-09,6.870142359018028e-51,4.659072519161103e-05,5.1342126649935924e-05,1.778037882882414e-05,4.1181590428140506e-05,2.9171517719980597e-05,1.698194392355134e-05,2.6805319751272463e-07,2.609963933687395e-07,2.0890790908924292e-13,8.42707192619168e-09,2.5799579001783654e-07
8.608126963966952e-12,0.07659248437779444,0.0,1.9015867334769534,0.031075110263184432,0.3193404823893754,0.35044339739110153,0.20698292473789773,0.09197157025051832,0.0,1.9167698407253796e-27,6.3340043301158035e-09,3.2692367567503256e-25,0.0,3.0535325243772486e-56,1.627624516404126e-11,2.1661977778311e-46,6.776107524704052e-28,4.833255766400582e-40,7.742966155778089e-33,1.0197637216184917e-18,1.9653740990043044e-64,1.2844800569883303e-14,3.2666624699297728e-43,1.30505576526408e-44,8.047038229495394e-66,6.327639977502723e-09,7.011152221673608e-51,4.6623662405178646e-05,5.1597475755453954e-05,1.7875818213123368e-05,4.138841443401432e-05,2.929544231726431e-05,1.706918992360559e-05,2.707995439412809e-07,2.636556929740566e-07,2.109762879903269e-13,8.556078340847491e-09,2.6060931870445683e-07
8.651739417892222e-12,0.07659248437779444,0.0,1.9015859243468987,0.031075110263184432,0.3193401344184591,0.3504431905639288,0.20698280103426167,0.09197153783570587,0.0,1.9460503484238082e-27,6.366093209930728e-09,3.3194951889583384e-25,0.0,3.163462799762817e-56,1.6531798630715007e-11,2.2216130394414183e-46,6.844936423686722e-28,4.907088008084471e-40,7.861217180809261e-33,1.0249299351774076e-18,2.0156667768741047e-64,1.2911556484660501e-14,3.316563617395959e-43,1.3384415132620726e-44,8.320895743393864e-66,6.3596644012411424e-09,7.154321702621895e-51,4.665607356401803e-05,5.18527640976347e-05,1.7971306958642008e-05,4.159520951789863e-05,2.9419145953315586e-05,1.7156442980857497e-05,2.735600600756983e-07,2.663284096654687e-07,2.1305483740220687e-13,8.686390641562212e-09,2.632358044795766e-07
8.695351871817491e-12,0.07659248437779444,0.0,1.9015851159464783,0.031075110263184432,0.3193397864735627,0.3504429837656739,0.2069826775511929,0.09197150593864585,0.0,1.975627531136118e-27,6.39818207080853e-09,3.3702693881514967e-25,0.0,3.27676776758572e-56,1.6790082875438714e-11,2.278156459005068e-46,6.914113084949018e-28,4.981668324560354e-40,7.980665735344191e-33,1.0300961456514457e-18,2.0669837777701012e-64,1.2978329980096933e-14,3.366970367676836e-43,1.3725069372587781e-44,8.602676317511542e-66,6.391688483296548e-09,7.299672740441456e-51,4.66879670650048e-05,5.210799169150699e-05,1.8066845060939326e-05,4.1801975683907394e-05,2.954262902204932e-05,1.7243703084198538e-05,2.763347481621968e-07,2.690145424228662e-07,2.151435571943416e-13,8.818015321913617e-09,2.658752440859243e-07
8.73896432574276e-12,0.07659248437779444,0.0,1.9015843082670283,0.031075110263184432,0.31933943855468017,0.3504427769963328,0.2069825542882983,0.09197147455107645,0.0,2.005502884103214e-27,6.4302709127518526e-09,3.421562055262313e-25,0.0,3.3935333117721435e-56,1.705111383205962e-11,2.3358451695138457e-46,6.983637507977575e-28,5.057000486088003e-40,8.101317845787753e-33,1.0352623530461072e-18,2.1193406691902646e-64,1.304512106601075e-14,3.4178852689851954e-43,1.4072623592724937e-44,8.892569333768029e-66,6.423712223701943e-09,7.447227384584013e-51,4.6719351170984996e-05,5.23631585520953e-05,1.816243251556683e-05,4.200871293615291e-05,2.9665891916677496e-05,1.7330970222524488e-05,2.791236104394546e-07,2.717140902245439e-07,2.172424472362032e-13,8.95095887421125e-09,2.685276342655729e-07
8.78257677966803e-12,0.07659248437779444,0.0,1.9015835013000164,0.031075110263184432,0.3193390906618054,0.35044257025590136,0.20698243124518523,0.09197144366486765,0.0,2.035677902563378e-27,6.462359735763347e-09,3.4733758922877013e-25,0.0,3.513847055636976e-56,1.7314907456784568e-11,2.3946964764129555e-46,7.053509692259239e-28,5.1330882629212455e-40,8.223179538444152e-33,1.0404285573668822e-18,2.172753175558154e-64,1.3111929752218763e-14,3.4693108695298132e-43,1.4427182052178739e-44,9.190767762593651e-66,6.455735622490337e-09,7.597007795374496e-51,4.675023401291456e-05,5.2618264694419686e-05,1.8258069318068308e-05,4.221542127874602e-05,2.9788935029710417e-05,1.7418244384735442e-05,2.8192664913860085e-07,2.744270520472018e-07,2.1935150739727702e-13,9.085227789495944e-09,2.7119297175994024e-07
