Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2X(216),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(655),CH2OX(623),CHOX(653),H2NX(201)
8.393145553760673e-09,0.10504946994334764,0.0,2.5481754897251743,0.038709919332316135,0.26994772835377323,0.34852026464588204,0.18940232812950786,0.13631595488401188,0.0,1.7364677240858298e-10,0.0018172037409158778,4.613752245230906e-09,0.0,2.682087209706245e-13,0.028605015777875435,2.3645697904410047e-11,8.882420780643244e-15,5.8648112559143156e-21,8.952852913658964e-07,2.2739326551983537e-10,1.0386745017152492e-32,7.46820975090108e-07,1.2741990834473545e-22,3.6106942709616904e-10,1.1291442726741986e-20,0.000722435713256812,1.7308502609506153e-22,5.535562975941538e-05,0.00010819106410954093,0.008522365566032303,0.0001473191389877318,3.386717275201369e-05,6.023407607103435e-05,5.217492974880478e-05,6.0629046706338766e-05,3.440018764550381e-05,0.02434495325000702,0.0003948691718904989,0.005888711398137552,0.002955938676224114,0.0005520867577451851,1.8107695525884778e-10,1.7560011066080305e-07,5.492367099632283e-07,0.016820756789578523,1.582567145415108e-08,0.00020154458938496234,3.1108674425024714e-06
8.441694632882612e-09,0.10504946994334764,0.0,2.5479443770024304,0.03875114142325196,0.26968833229491823,0.34850979849421415,0.18930684129917275,0.136589312893005,0.0,1.749168059346118e-10,0.0018276876159033866,4.684932853706605e-09,0.0,2.7525400460674463e-13,0.028741894271384454,2.3985954416341153e-11,9.016902295937668e-15,5.964906086109903e-21,9.001235447966127e-07,2.2865094894596143e-10,1.0685268199141308e-32,7.499281093714127e-07,1.2959863148428024e-22,3.660901071852253e-10,1.158583432176968e-20,0.0007235538261537786,1.7605170772233465e-22,5.545744671175231e-05,0.00010807675968082522,0.008522749817825477,0.0001473013444874936,3.384702741170864e-05,6.015495892542266e-05,5.21386337055229e-05,6.055113821213568e-05,3.4673822102791135e-05,0.02446652825081126,0.00039638447771635476,0.005884052298835815,0.002972978220681602,0.0005514550076649083,1.8090116650151837e-10,1.7662784701079378e-07,5.529821211352924e-07,0.01691583880910972,1.5891405512933837e-08,0.00020259161202441773,3.110204811646113e-06
8.490243712004551e-09,0.10504946994334764,0.0,2.5477135817886976,0.038792328276797364,0.26942921569536293,0.3484993326384871,0.18921141961825977,0.13686246701073737,0.0,1.761861126945907e-10,0.0018381711749192746,4.756820444830963e-09,0.0,2.8243799310496357e-13,0.028878570626005035,2.4328805420525114e-11,9.152642510273828e-15,6.066107709020206e-21,9.049562213685938e-07,2.2990799554663078e-10,1.0990554796056264e-32,7.530315701017746e-07,1.3180154095414708e-22,3.711452761146747e-10,1.1885950984790154e-20,0.0007246580498734882,1.7905086306406972e-22,5.555915494638487e-05,0.00010796265122159914,0.008523159689841473,0.00014728356931107244,3.382690103624446e-05,6.007588838989295e-05,5.210200291797718e-05,6.0473268646111204e-05,3.494760442488322e-05,0.02458792233190028,0.00039789865419493525,0.005879331229799933,0.002989983947689458,0.000550824641998999,1.8072590825801996e-10,1.776582584069099e-07,5.567344518831363e-07,0.017010858232897236,1.595691852163987e-08,0.00020363467377240704,3.10953570509864e-06
8.53879279112649e-09,0.10504946994334764,0.0,2.547483102790221,0.038833479982101675,0.2691703782870933,0.34848886707876875,0.18911606301435346,0.13713541600707177,0.0,1.7745467746740194e-10,0.0018486544179694704,4.829418055919754e-09,0.0,2.897624836221497e-13,0.029015046311213297,2.467425152016363e-11,9.289645974618872e-15,6.16842164361748e-21,9.097833332647259e-07,2.3116440575090348e-10,1.1302717019857129e-32,7.561313129432711e-07,1.3402875895798882e-22,3.7623488361006965e-10,1.2191865071784045e-20,0.0007257485656905073,1.8208264243736056e-22,5.566075437640087e-05,0.00010784873722294799,0.00852359471456976,0.00014726581338157294,3.38067935859243e-05,5.9996865728719953e-05,5.20650442871585e-05,6.039543932203519e-05,3.5221529015588436e-05,0.024709135607102965,0.00039941170122109916,0.005874549505646474,0.0030069561098102636,0.0005501956566859337,1.8055117933396993e-10,1.786913491132687e-07,5.604937126631969e-07,0.017105815130455577,1.602221108212673e-08,0.00020467378160362256,3.1088602764363756e-06
8.58734187024843e-09,0.10504946994334764,0.0,2.5472529387272163,0.03887459662772423,0.2689118198001892,0.3484784018151264,0.18902077141518617,0.1374081586785148,0.0,1.7872248561427527e-10,0.0018591373450599182,4.902728713903047e-09,0.0,2.972292837909739e-13,0.029151322773054114,2.5022293293711877e-11,9.427917228800659e-15,6.271853399994357e-21,9.146048926326409e-07,2.3242017998738494e-10,1.1621868259677262e-32,7.592272951438445e-07,1.36280407519627e-22,3.813588790369103e-10,1.2503649324774795e-20,0.0007268255524826376,1.851471957763268e-22,5.576224491929213e-05,0.00010773501620038725,0.008524054432653633,0.00014724807662292057,3.378670502131154e-05,5.9917892178306035e-05,5.202776459518606e-05,6.0317651525204805e-05,3.549559036073434e-05,0.024830168193146363,0.0004009236186071779,0.005869708418715012,0.0030238949572369725,0.0005495680476696977,1.8037697853546183e-10,1.7972712333751203e-07,5.642599138823254e-07,0.017200709570932272,1.6087283794862307e-08,0.00020570894270635997,3.108178676486772e-06
8.63589094937037e-09,0.10504946994334764,0.0,2.5470230883337286,0.038915678301641006,0.2686535399628719,0.348467936847626,0.18892554474863732,0.13768069384774637,0.0,1.799895230688957e-10,0.0018696199561965797,4.9767554353829405e-09,0.0,3.0484021168968593e-13,0.029287401434611105,2.5372931295680722e-11,9.567460801553799e-15,6.376408479376483e-21,9.1942091158475e-07,2.336753186842256e-10,1.1948123086746143e-32,7.623194755070538e-07,1.385566084832681e-22,3.8651721141457475e-10,1.2821376870197849e-20,0.0007278891867629527,1.8824467263329298e-22,5.586362649687232e-05,0.00010762148669338208,0.00852453839272463,0.00014723035895985363,3.3766635303227e-05,5.983896894776763e-05,5.1990170507581506e-05,6.023990651304431e-05,3.576978302699971e-05,0.024951020209591977,0.0004024344060854537,0.0058648092394577985,0.0030408007377749346,0.0005489418109000429,1.8020330466918222e-10,1.8076558523226935e-07,5.680330658995253e-07,0.017295541623115408,1.615213725892743e-08,0.0002067401644752732,3.107491053380321e-06
8.684440028492309e-09,0.10504946994334764,0.0,2.546793550357476,0.03895672509125109,0.2683955385015505,0.3484574721763333,0.18883038294273305,0.13795302036315973,0.0,1.8125577632768183e-10,0.0018801022513854333,5.051501226692581e-09,0.0,3.125970958120455e-13,0.029423283696462542,2.572616605741896e-11,9.708281210564812e-15,6.4820923741351316e-21,9.242314021982821e-07,2.349298222691222e-10,1.2281597259281722e-32,7.654078143620494e-07,1.4085748351372074e-22,3.917098294298862e-10,1.3145121217279037e-20,0.0007289396427113015,1.9137522217995958e-22,5.5964899035196246e-05,0.00010750814726487918,0.008525046151241823,0.00014721266031791398,3.3746584392746493e-05,5.976009721950602e-05,5.1952268575479124e-05,6.016220551568738e-05,3.604410166076678e-05,0.025071691778773605,0.0004039440633105752,0.005859853216820012,0.0030576736968268474,0.0005483169423327366,1.800301565425215e-10,1.8180673889651728e-07,5.718131790275555e-07,0.01739031135544107,1.62167720720175e-08,0.0002077674545043551,3.106797552601125e-06
8.732989107614248e-09,0.10504946994334764,0.0,2.5465643235597053,0.03899773708338315,0.268137815140867,0.3484470078013128,0.1887352859256453,0.1382251370984112,0.0,1.82521232440202e-10,0.0018905842306324724,5.126969083956443e-09,0.0,3.205017750373393e-13,0.02955897093712566,2.608199808787906e-11,9.850382962516639e-15,6.588910567799753e-21,9.290363765153224e-07,2.361836911693175e-10,1.262240772736434e-32,7.684922735337184e-07,1.4318315409661196e-22,3.9693668145037753e-10,1.3474956256418508e-20,0.0007299770922053916,1.9453899320856968e-22,5.606606246448057e-05,0.00010739499650084946,0.00852557727233509,0.0001471949806234388,3.372655225119804e-05,5.9681278149764316e-05,5.191406523778856e-05,6.0084549736545723e-05,3.631854098698999e-05,0.0251921830257365,0.0004054525898619402,0.005854841578612376,0.0030745140773801465,0.0005476934379298003,1.7985753296367718e-10,1.8285058837685072e-07,5.756002635344243e-07,0.017485018836000503,1.6281188830444478e-08,0.00020879082058010694,3.106098317036347e-06
8.781538186736188e-09,0.10504946994334764,0.0,2.546335406715044,0.03903871436430174,0.26788036960374084,0.3484365437226286,0.1886402536256915,0.1384970429519773,0.0,1.8378587899971217e-10,0.0019010658939437068,5.203161993151797e-09,0.0,3.2855609860044785e-13,0.02969446451349036,2.6440427874367756e-11,9.99377055313254e-15,6.696868535070557e-21,9.338358465428557e-07,2.374369258116013e-10,1.2970672637798579e-32,7.71572816312993e-07,1.4553374153860506e-22,4.021977155372779e-10,1.3810956257578226e-20,0.0007310017048514959,1.9773613413307177e-22,5.616711671902663e-05,0.00010728203300984168,0.008526131327652068,0.00014717731980355147,3.370653884015941e-05,5.960251286917139e-05,5.187556682331003e-05,6.000694035286543e-05,3.6593095808078905e-05,0.025312494078177598,0.00040695998524604206,0.00584977553187685,0.0030913221199966724,0.0005470712936597405,1.7968543274176088e-10,1.8389713766889227e-07,5.793943296450642e-07,0.017579664132547128,1.6345388129141356e-08,0.00020981027067487897,3.1053934870246386e-06
8.830087265858127e-09,0.10504946994334764,0.0,2.546106798611352,0.0390796570197135,0.26762320161141234,0.34842607994034364,0.18854528597133363,0.1387687368467211,0.0,1.8504970413382077e-10,0.0019115472413251623,5.2800829301713234e-09,0.0,3.367619260619792e-13,0.029829765761242463,2.6801455883281366e-11,1.0138448467219363e-14,6.805971741831049e-21,9.386298242528104e-07,2.386895266223108e-10,1.3326511338961035e-32,7.74649407427349e-07,1.4790936696761724e-22,4.0749287945821925e-10,1.4153195868673735e-20,0.000732013648014776,2.0096679299027972e-22,5.626806173714459e-05,0.00010716925542254553,0.00852670789620869,0.00014715967778615324,3.3686544121455374e-05,5.952380248327343e-05,5.183677955279784e-05,5.992937851627005e-05,3.6867761002796394e-05,0.025432625066387,0.000408466248898754,0.005844656263245368,0.003108098062804518,0.0005464505054977718,1.7951385468690037e-10,1.8494639071858594e-07,5.831953875428723e-07,0.017674247312503475,1.6409370561663958e-08,0.0002108258129403843,3.104683200403592e-06
8.878636344980066e-09,0.10504946994334764,0.0,2.5458784980495737,0.039120565134773334,0.2673663108834855,0.34841561645452024,0.188450382891178,0.13904021772946631,0.0,1.8631269649528882e-10,0.00192202827278288,5.357734860886754e-09,0.0,3.4512112727849645e-13,0.02996487599527608,2.7165082560825075e-11,1.0284421178710208e-14,6.916225645160566e-21,9.434183215821053e-07,2.399414940273307e-10,1.3690044385629787e-32,7.777220130115487e-07,1.5031015133303788e-22,4.128221206996499e-10,1.4501750113971852e-20,0.0007330130868491892,2.042311174410268e-22,5.636889746107851e-05,0.00010705666239136521,0.008527306564243628,0.00014714205449991436,3.366656805715531e-05,5.94451480730526e-05,5.179770954097996e-05,5.985186535329028e-05,3.714253152517259e-05,0.025552576123190673,0.0004099713801875482,0.005839484939291286,0.003124842141492025,0.0005458310694260296,1.7934279761033119e-10,1.8599835142333253e-07,5.870034473710176e-07,0.01776876844296784,1.6473136720192455e-08,0.00021183745570139113,3.1039675925560873e-06
8.927185424102006e-09,0.10504946994334764,0.0,2.545650503843586,0.039161438794090425,0.26710969713796984,0.34840515326522,0.1883555443139743,0.13931148457058062,0.0,1.8757484525296905e-10,0.001932508988322916,5.436120741213476e-09,0.0,3.536355823728524e-13,0.030099796510095228,2.753130833371628e-11,1.0431693150706361e-14,7.027635693346772e-21,9.482013504326987e-07,2.411928284520945e-10,1.4061393543793796e-32,7.80790600578655e-07,1.5273621540594665e-22,4.181853864789568e-10,1.4856694392494802e-20,0.0007340001843269733,2.0752925477131582e-22,5.6469623836933626e-05,0.00010694425259000376,0.008527926925076377,0.00014712444987426544,3.36466106095704e-05,5.936655069543305e-05,5.175836279853165e-05,5.977440196588024e-05,3.7417402403435136e-05,0.02567234738389433,0.0004114753784136651,0.0058342627068735465,0.0031415545893038275,0.0005452129814337793,1.7917226032449448e-10,1.8705302363334054e-07,5.908185192340427e-07,0.017863227590720822,1.6536687195537252e-08,0.00021284520744959223,3.1032467964555565e-06
8.975734503223945e-09,0.10504946994334764,0.0,2.5454228148200606,0.03920227808173418,0.26685336009132116,0.34839469037250365,0.18826077016861517,0.13958253636356707,0.0,1.888361400828775e-10,0.0019429893879513425,5.515243517176016e-09,0.0,3.6230718170462777e-13,0.0302345285802054,2.790013360987243e-11,1.0580268835518665e-14,7.140207325898141e-21,9.529789226716389e-07,2.4244353032158394e-10,1.4440681795443594e-32,7.838551389913229e-07,1.5518767977933228e-22,4.2358262375630485e-10,1.521810447643064e-20,0.0007349751012677274,2.1086135189346334e-22,5.657024081460542e-05,0.00010683202471305712,0.008528568578968918,0.00014710686383938897,3.362667174125121e-05,5.9288011383774544e-05,5.171874523399704e-05,5.9696989431921776e-05,3.769236873895502e-05,0.025791938986228526,0.00041297824281424385,0.005828990693473946,0.003158235637038777,0.0005445962375176113,1.7900224164313246e-10,1.8811041115289926e-07,5.946406131994146e-07,0.017957624822231715,1.6600022577141718e-08,0.00021384907683764248,3.1025209427103014e-06
9.024283582345884e-09,0.10504946994334764,0.0,2.5451954298183073,0.039243083081240124,0.2665972994584817,0.34838422777643124,0.18816606038413555,0.13985337212466323,0.0,1.9009657115939332e-10,0.0019534694716742454,5.59510612497436e-09,0.0,3.71137825840663e-13,0.03036907346049551,2.827155877908424e-11,1.0730152674708234e-14,7.253945973556405e-21,9.577510501311176e-07,2.436936000603305e-10,1.4828033343344923e-32,7.869155984333705e-07,1.5766466486831152e-22,4.2901377924620834e-10,1.558605650954935e-20,0.0007359379963671045,2.142275553472403e-22,5.667074834770913e-05,0.00010671997747561681,0.008529231132990714,0.00014708929632621063,3.360675141498513e-05,5.920953114835429e-05,5.167886265567103e-05,5.961962880571668e-05,3.7967425705207147e-05,0.025911351070294842,0.00041447997256441,0.0058236700075278034,0.003174885513049628,0.0005439808336816339,1.7883274038136833e-10,1.8917051774137394e-07,5.984697392986235e-07,0.018051960203664726,1.6663143453083572e-08,0.00021484907267335695,3.1017901596068573e-06
9.072832661467824e-09,0.10504946994334764,0.0,2.5449683476901357,0.0392838538756156,0.2663415149529192,0.3483737654770623,0.18807141488971205,0.140123990892448,0.0,1.9135612914658378e-10,0.001963949239497725,5.67571149105103e-09,0.0,3.8012942552568543e-13,0.030503432386610577,2.864558421367432e-11,1.0881349099126619e-14,7.36885705830899e-21,9.625177446085238e-07,2.449430380924151e-10,1.52235736157957e-32,7.899719503816459e-07,1.6016729091034806e-22,4.3447879942883806e-10,1.59606270056247e-20,0.0007368890262251244,2.176280113010078e-22,5.677114639351096e-05,0.00010660810961288201,0.008529914200886925,0.00014707174726639061,3.358684959379379e-05,5.9131110976838145e-05,5.163872077344334e-05,5.9542321118467524e-05,3.824256854674579e-05,0.026030583778513135,0.000415980566779314,0.005818301738748259,0.003191504443244369,0.0005433667659376574,1.7866375535579544e-10,1.9023334711448955e-07,6.023059075286816e-07,0.018146233800885023,1.6726050410081988e-08,0.00021584520391406482,3.1010545731523805e-06
9.121381740589763e-09,0.10504946994334764,0.0,2.544741567299704,0.039324590547345564,0.2660860062866655,0.34836330347445515,0.18797683361466236,0.140394391727456,0.0,1.926148051896549e-10,0.0019744286914278983,5.7570625321588656e-09,0.0,3.8928390165303716e-13,0.030637606575315408,2.90222102691417e-11,1.1033862528955351e-14,7.484945993401447e-21,9.672790178665033e-07,2.461918448414692e-10,1.5627429271365827e-32,7.930241675782018e-07,1.6269567796547246e-22,4.39977630561068e-10,1.6341892846862083e-20,0.0007378283453741099,2.210628655528487e-22,5.687143491286154e-05,0.00010649641987978078,0.008530617402949808,0.00014705421659231527,3.356696624093051e-05,5.905275183474083e-05,5.159832520059383e-05,5.946506737874702e-05,3.851779257819423e-05,0.026149637255569846,0.0004174800245161205,0.005812886958444267,0.0032080926510891137,0.0005427540303053692,1.784952853845685e-10,1.9129890294562736e-07,6.06149127853785e-07,0.01824044567946469,1.6788744033501255e-08,0.00021683747966111567,3.1003143071161965e-06
