Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2X(216),CH3OX(210),CH2X(34),CHX(35)
8.08327001854112e-22,0.10125681075141572,0.0,2.5142066109576144,0.031075110263184432,0.31940968187634766,0.35048479213953493,0.2070122201802094,0.0920181955406893,0.0,2.3813915159531975e-51,1.0199624488134488e-16,2.0281453390073425e-48,0.0,7.509466239057395e-85,8.351317619149511e-35,3.517656620977274e-55,6.972046652036359e-42,1.0299226652450998e-60,8.376549480445521e-32,6.795072290893775e-24,9.41957677426802e-99,3.8849373234192726e-20,1.4954984372140745e-62,7.385949329540203e-56,1.8508116669135e-92,1.0199625167640243e-16,5.709100569422631e-74,1.6684905998568187e-14,5.702999606469963e-15,3.62777467096247e-15,4.530684368733729e-15,3.752722190076045e-15,1.824959874214383e-15,1.5081453692127089e-18,1.7178746777152576e-26,3.884937323456896e-20,2.6576546637874055e-37,1.7178746777164015e-26,3.202522371509488e-28,6.671600830763357e-48,1.801306651343891e-15,2.0168350553183776e-27,1.1277431538745327e-32
1.6166649674935653e-21,0.10125681075141572,0.0,2.5142066109575767,0.031075110263184432,0.3194096818763401,0.3504847921395303,0.20701222018020385,0.09201819554067261,0.0,1.905143359633576e-50,2.039938731940616e-16,1.6225419462094797e-47,0.0,2.4030934142673452e-83,3.3405740683683754e-34,2.814158948534281e-54,2.788847030469394e-41,8.239511703485671e-60,3.3506538768320428e-31,1.3590236747103825e-23,3.014334979784513e-97,7.769927340387564e-20,1.1964176818108452e-61,5.9088766250902516e-55,5.922757870003359e-91,2.0399388678423912e-16,9.134726844141567e-73,3.337003829395462e-14,1.1406076565501529e-14,7.255598547708511e-15,9.061430189496222e-15,7.505495279938591e-15,3.649944501536475e-15,3.0163112320133082e-18,6.871568612378576e-26,7.76992734055953e-20,2.126148964079368e-36,6.871568612387758e-26,1.2810219936026385e-27,5.337364258951758e-47,3.602637734800087e-15,8.067377177565907e-27,9.022005219462757e-32
3.2333408987724716e-21,0.10125681075141572,0.0,2.5142066109575008,0.031075110263184432,0.31940968187632507,0.35048479213952105,0.20701222018019275,0.09201819554063924,0.0,1.5241267465472294e-49,4.0798912981948965e-16,1.298043827047255e-46,0.0,7.69008763300857e-82,1.3362468548316727e-33,2.2513409238399606e-53,1.1155444861438196e-40,6.591661515796054e-59,1.3402683676919276e-30,2.7180565659523196e-23,9.64598459604395e-96,1.5539907374322735e-19,9.571417183222386e-61,4.7272046085750917e-54,1.895330475839841e-89,4.0798915699981806e-16,1.4615695698416213e-71,6.674030285541048e-14,2.281223048245391e-14,1.451124630201987e-14,1.8122921830588095e-14,1.5011041458295217e-14,7.299913756689202e-15,6.032643070954424e-18,2.748641425447979e-25,1.553990737505353e-19,1.7009292646269435e-35,2.7486414254553294e-25,5.1241141470420104e-27,4.269936907715625e-46,7.205299901699964e-15,3.226931196722408e-26,7.217571670177188e-31
6.466692761330285e-21,0.10125681075141572,0.0,2.514206610957349,0.031075110263184432,0.319409681876295,0.3504847921395025,0.20701222018017054,0.09201819554057249,0.0,1.2193062207922653e-48,8.15979643070324e-16,1.0384391696851418e-45,0.0,2.4609132489730953e-80,5.345084460824505e-33,1.8010787318506087e-52,4.4621892925113725e-40,5.273350073918899e-58,5.3610871047003106e-30,5.4361223484359e-23,3.086733096571327e-94,3.1079867442187423e-19,7.657164038186933e-60,3.781895320270514e-53,6.065276792281538e-88,8.159796974305978e-16,2.3385219316172814e-70,1.3348083186105418e-13,4.5624538311915655e-14,2.902254181391972e-14,3.6245905111039375e-14,3.0022133809534604e-14,1.4599852269028842e-14,1.2065307202196323e-17,1.0994593663893665e-24,3.107986744519647e-19,1.360747449182416e-34,1.0994593663951994e-24,2.049650959368917e-26,3.415987026606022e-45,1.4410624235449667e-14,1.290746892118075e-25,5.773953935532778e-30
1.2933396486445912e-20,0.10125681075141572,0.0,2.5142066109570456,0.031075110263184432,0.31940968187623475,0.35048479213946543,0.2070122201801261,0.092018195540439,0.0,9.754469060591801e-48,1.6319606695719066e-15,8.307529789698598e-45,0.0,7.875410811285861e-79,2.1381032618315743e-32,1.440866161404771e-51,1.7848779865932697e-39,4.2186884036630134e-57,2.1444375686569105e-29,1.08722539134019e-22,9.877574750461386e-93,6.215978757789414e-19,6.125743347215029e-59,3.025713405543011e-52,1.941014880694049e-86,1.6319607782906454e-15,3.7416435864840504e-69,2.6696188940326947e-13,9.124915395306712e-14,5.804513285082791e-14,7.249187166501209e-14,6.00443184901179e-14,2.919972930184485e-14,2.4130637278118803e-17,4.397843058820661e-24,6.215978759010209e-19,1.0885995745363026e-33,4.397843058867663e-24,8.198614966705285e-26,2.7328355017375546e-44,2.882127290274888e-14,5.162763194253394e-25,4.6189771608060184e-29
2.5866803936677165e-20,0.10125681075141572,0.0,2.514206610956439,0.031075110263184432,0.3194096818761143,0.3504847921393913,0.20701222018003723,0.09201819554017202,0.0,7.803582966180598e-47,3.263922722574727e-15,6.646030404646968e-44,0.0,2.520434939874325e-77,8.552952555927133e-32,1.1526954455890614e-50,7.139516485544852e-39,3.374954060743401e-56,8.577755728082105e-29,2.174451704332923e-22,3.16082853478289e-91,1.2431962784921704e-18,4.9005995244408595e-58,2.4208807776944322e-51,6.212033543393102e-85,3.263922940004692e-15,5.98663653503025e-68,5.339240026114118e-13,1.8249838516428192e-13,1.1609031497707834e-13,1.4498380474523816e-13,1.200886877637026e-13,5.839948340002379e-14,4.826130468371846e-17,1.7591383428513608e-23,1.2431962789839235e-18,8.708803060183594e-33,1.7591383428889963e-23,3.279448635020222e-25,2.1863361620064496e-43,5.76425702365465e-14,2.0649218622353477e-24,3.6948759624970324e-28
5.173361883713967e-20,0.10125681075141572,0.0,2.5142066109552252,0.031075110263184432,0.3194096818758734,0.35048479213924305,0.2070122201798595,0.09201819553963804,0.0,6.242869460026127e-46,6.5278468285789865e-15,5.316826952865801e-43,0.0,8.067319513152487e-76,3.4216093669679966e-31,9.221593568091978e-50,2.8558075020459934e-38,2.6999645837183888e-55,3.431103381842323e-28,4.348904330316521e-22,1.011465869471375e-89,2.4863930839150064e-18,3.92048155821797e-57,1.937198553104448e-50,1.9883501354810353e-83,6.527847263408589e-15,9.578623893150876e-67,1.067848221522544e-12,3.6499684730235895e-13,2.3218067943931715e-13,2.8996767079481283e-13,2.4017742596054447e-13,1.1679899172656932e-13,9.652266850993623e-17,7.036555615410935e-23,2.4863930858888878e-18,6.967045038701053e-32,7.036555615711198e-23,1.3117803216686421e-24,1.7491750873470095e-42,1.1528516490093852e-13,8.258212616840732e-24,2.9554083744443044e-27
1.0346724863806467e-19,0.10125681075141572,0.0,2.514206610952798,0.031075110263184432,0.3194096818753916,0.35048479213894657,0.20701222017950405,0.09201819553857009,0.0,4.9942968028495576e-45,1.3055695040581983e-14,4.25346261393896e-42,0.0,2.5827736448622167e-74,1.368985770010012e-30,7.377318755852987e-49,1.14232318237879e-37,2.1599722010208444e-54,1.3724415707934844e-27,8.697809582276251e-22,3.236691963646567e-88,4.97278669474619e-18,3.1363860220355977e-56,1.5505482702944559e-49,6.365910858922413e-82,1.305569591011961e-14,1.5325802578006146e-65,2.1356966293241977e-12,7.299937704411028e-13,4.64361409202753e-13,5.799354024504522e-13,4.803549009529181e-13,2.335980089004112e-13,1.9304551222244407e-16,2.8146226992518093e-22,4.972786702655455e-18,5.573637075181425e-31,2.8146226994919397e-22,5.247125725938294e-24,1.3995090185663481e-41,2.3057035421690976e-13,3.3021041971709455e-23,2.3635379335246198e-26
2.069345082399147e-19,0.10125681075141572,0.0,2.514206610947943,0.031075110263184432,0.319409681874428,0.3504847921383536,0.20701222017879312,0.0920181955364342,0.0,3.995437936204292e-44,2.611139146456589e-14,3.4027705117885893e-41,0.0,8.272752898294547e-73,5.478677960944792e-30,5.901923605277921e-48,4.569293092594023e-37,1.727977974429615e-53,5.489766718764108e-27,1.739562008616584e-21,1.0357416173759992e-86,9.945573916350605e-18,2.5091091278048802e-55,1.2417013560497431e-48,2.0391324279271056e-80,2.6111393203154548e-14,2.4521287601681056e-64,4.27139332484507e-12,1.4599876121689494e-12,9.2872287208552e-13,1.1598708639876915e-12,9.607098453324252e-13,4.671960453310977e-13,3.8609166388773415e-16,1.1258491737472856e-21,9.945573948015144e-18,4.4589100906302614e-30,1.1258491739393817e-21,2.098853341382011e-23,1.1198771712788265e-40,4.61140732797601e-13,1.3198976299001101e-22,1.8895690178083106e-25
4.138690274436147e-19,0.10125681075141572,0.0,2.5142066109382335,0.031075110263184432,0.3194096818725008,0.3504847921371676,0.20701222017737125,0.09201819553216242,0.0,3.1963505465223052e-43,5.222278431244534e-14,2.7222165776520008e-40,0.0,2.6523217609715006e-71,2.193658828177743e-29,4.72164798853045e-47,1.8277173096198264e-36,1.3823824649800101e-52,2.1959067742053014e-26,3.479124109382552e-21,3.31437347798546e-85,1.989114835932762e-17,2.007287426301473e-54,9.953813306684056e-48,6.538284398344657e-79,5.222278778767599e-14,3.9234062936823076e-63,8.542786235557129e-12,2.91997527742608e-12,1.8574458112751284e-12,2.3197417799660113e-12,1.921419711670478e-12,9.343921265244824e-13,7.721858241792972e-16,4.503396910514874e-21,1.9891148486040745e-17,3.567128265173145e-29,4.503396912051636e-21,8.395436772771945e-23,8.963335227232967e-40,9.222814897539777e-13,5.272052596583435e-22,1.5096407820041294e-24
6.208035466473147e-19,0.10125681075141572,0.0,2.514206610928524,0.031075110263184432,0.3194096818705736,0.3504847921359816,0.2070122201759494,0.09201819552789064,0.0,9.489165851666091e-43,7.833417716023645e-14,8.081580606802878e-40,0.0,1.2418518709618183e-70,4.6652165664385707e-29,1.3501169941083845e-46,3.8838993282600466e-36,4.103948014986332e-52,4.6663019489028774e-26,5.218686210136571e-21,1.585655856662612e-84,2.983672280207282e-17,5.959134651491462e-54,2.8500195321764023e-47,3.061441066547158e-78,7.833418237064902e-14,1.495797726316124e-62,1.2814178665939556e-11,4.379962924484647e-12,2.7861687638888125e-12,3.4796126888481726e-12,2.882129555587572e-12,1.4015882160498786e-12,1.1582818414317228e-15,9.56971859982343e-21,2.983672307137256e-17,1.0199757549585546e-28,9.569718604527104e-21,1.7840337240047616e-22,2.6110603052553523e-39,1.3834222465053494e-12,1.1192058512509775e-21,4.3133251142603574e-24
8.277380658510147e-19,0.10125681075141572,0.0,2.5142066109188144,0.031075110263184432,0.31940968186864643,0.3504847921347956,0.20701222017452753,0.09201819552361887,0.0,2.0676393159555745e-42,1.0444557000793917e-13,1.7609338964851558e-39,0.0,4.010251797891179e-70,7.964455123268839e-29,2.8478360381690928e-46,6.625475365142482e-36,8.942286813243038e-52,7.960162195603057e-26,6.958248310878642e-21,5.2479739586378145e-84,3.978229724458622e-17,1.298464089159447e-53,6.02047076356554e-47,9.886659029640203e-78,1.0444557695207364e-13,4.024543453955981e-62,1.7085570615992408e-11,5.8399505533446506e-12,3.714891729927557e-12,4.639483590634175e-12,3.842839377083705e-12,1.868784313907285e-12,1.5443797156449004e-15,1.6324814266255903e-20,3.978229770401059e-17,2.15142429274436e-28,1.632481427614353e-20,3.043356988527599e-22,5.5985426549193796e-39,1.8445630030517153e-12,1.9074998098733213e-21,9.091737704523531e-24
1.2416071042584147e-18,0.10125681075141572,0.0,2.5142066108993957,0.031075110263184432,0.31940968186479207,0.3504847921324236,0.20701222017168383,0.09201819551507531,0.0,6.00171915061222e-42,1.5666835570313727e-13,5.111447924104182e-39,0.0,2.2138907251485352e-69,1.6512948639765172e-28,7.77861688923854e-46,1.371720523667934e-35,2.5956700282723347e-51,1.648050479562904e-25,1.0437372512334741e-20,3.062025208931527e-83,5.967344612906894e-17,3.769040726839051e-53,1.6498206073522373e-46,5.458818691481049e-77,1.566683661112888e-13,1.627783512452709e-61,2.5628353388794167e-11,8.759925768353747e-12,5.5723376935150845e-12,6.959225377551933e-12,5.764258967455354e-12,2.8031765291768184e-12,2.3165798222440993e-15,3.379845480440091e-20,5.967344708031145e-17,5.87620706612647e-28,3.379845483049991e-20,6.300902501364791e-22,1.5778859443525264e-38,2.7668445156633133e-12,3.9432556936926596e-21,2.4803676809812017e-23
1.6554761426658147e-18,0.10125681075141572,0.0,2.514206610879977,0.031075110263184432,0.3194096818609377,0.3504847921300516,0.20701222016884013,0.09201819550653176,0.0,1.3125082940184856e-41,2.0889114139801044e-13,1.1178160167758423e-38,0.0,7.118552730922101e-69,2.8124138078575978e-28,1.6276025427209216e-45,2.332937336346615e-35,5.676437625843363e-51,2.8029022156907304e-25,1.3916496713746903e-20,1.0187728141644079e-82,7.956459501269923e-17,8.242467017043808e-53,3.4623093873469702e-46,1.7554008497771603e-76,2.0889115526480986e-13,4.4092045280430966e-61,3.417113439525321e-11,1.1679900916440239e-11,7.429783706475435e-12,9.278967138374583e-12,7.685678475377145e-12,3.7375687750861264e-12,3.0887867575493247e-15,5.748231976877557e-20,7.956459663057416e-17,1.229499086388549e-27,5.748231982268165e-20,1.0716214622144503e-21,3.3798205274870116e-38,3.689126027521033e-12,6.696785254499898e-21,5.184443824659845e-23
2.069345181073215e-18,0.10125681075141572,0.0,2.5142066108605583,0.031075110263184432,0.31940968185708335,0.35048479212767963,0.20701222016599644,0.0920181954979882,0.0,2.462444190461401e-41,2.611139270925355e-13,2.0971749809297723e-38,0.0,1.863960262906564e-68,4.302991277857851e-28,2.963092498529271e-45,3.5642011049192444e-35,1.0649769542725766e-50,4.282201247422322e-25,1.739562091511198e-20,2.7469835694038746e-82,9.945574389541617e-17,1.5463989914270816e-52,6.322345853002565e-46,4.5969245561804416e-76,2.611139444122301e-13,9.905123412362942e-61,4.271391350920255e-11,1.4599875992823943e-11,9.287229772338492e-12,1.1598708871238194e-11,9.607097894959801e-12,4.671961053823764e-12,3.8610010093245205e-15,8.781999677880869e-20,9.945574636722454e-17,2.2382561204244447e-27,8.781999687632018e-20,1.6372001086917613e-21,6.254680162840743e-38,4.611407538571027e-12,1.0216098705988346e-20,9.428255767329184e-23
2.483214219480615e-18,0.10125681075141572,0.0,2.5142066108411396,0.031075110263184432,0.319409681853229,0.35048479212530764,0.20701222016315274,0.09201819548944465,0.0,4.1684743348219613e-41,3.133367127867061e-13,3.550139376714063e-38,0.0,4.269330969502754e-68,6.1305434870904385e-28,4.914881053141162e-45,5.070432648747751e-35,1.8028140975694673e-50,6.0918596816387535e-25,2.0874745116429126e-20,6.434322508388675e-82,1.193468927772031e-16,2.617774864542478e-52,1.0519555644631827e-45,1.0530353632779858e-75,3.133367335534384e-13,1.9639406753677654e-60,5.125669069615714e-11,1.751985099619829e-11,1.1144675892072152e-11,1.3918450575633288e-11,1.1528517224593605e-11,5.606353365987928e-12,4.6332227108901454e-15,1.2493273237156908e-19,1.1934689629365899e-16,3.712460484591853e-27,1.249327325326768e-19,2.32908778151012e-21,1.049330264472599e-37,5.533689048798578e-12,1.4511337541536697e-20,1.56211294456398e-22
3.310952296295415e-18,0.10125681075141572,0.0,2.514206610802302,0.031075110263184432,0.3194096818455202,0.3504847921205637,0.20701222015746534,0.09201819547235755,0.0,9.893680094423787e-41,4.177822841739846e-13,8.426090809597148e-38,0.0,1.8954456439222898e-67,1.0804775826709302e-27,1.138167642978483e-44,8.907278886984006e-35,4.2788954706704565e-50,1.0701629792759243e-24,2.78329935189197e-20,2.944143357843963e-81,1.5912919053798882e-16,6.213166973913198e-52,2.45386894617182e-45,4.676913296669717e-75,4.1778231181723075e-13,6.295649779950036e-60,6.834223929272999e-11,2.3359800784057017e-11,1.4859568293071555e-11,1.85579338990718e-11,1.5371355614184847e-11,7.475138090532596e-12,6.17768844929408e-15,2.1947056357906267e-19,1.59129196715521e-16,8.596428298679734e-27,2.194705639506121e-19,4.0915582460331675e-21,2.465468979399408e-37,7.378252066787899e-12,2.5405911046790998e-20,3.6071619208557188e-22
4.9664284499250156e-18,0.10125681075141572,0.0,2.5142066107246266,0.031075110263184432,0.31940968183010265,0.35048479211107586,0.20701222014609055,0.09201819543818339,0.0,3.4161896184233765e-40,6.266734269442991e-13,2.909445592634503e-37,0.0,1.634140832041466e-66,2.4270554925239985e-27,3.852358656568953e-44,1.9871827277842542e-34,1.4774601710769322e-49,2.3874961286145698e-24,4.1749490323327127e-20,2.574562223017366e-80,2.3869378604842996e-16,2.1453449384602886e-51,8.431956971060871e-45,4.035138223951353e-74,6.266734682704694e-13,3.3717443911020056e-59,1.0251331342333489e-10,3.5039699485987496e-11,2.2289353740010497e-11,2.7836900205233386e-11,2.3057031316846093e-11,1.1212707939675581e-11,9.266709086269558e-15,4.896311622363844e-19,2.3869379983060927e-16,2.909114816216059e-26,4.896311634909865e-19,9.128251408536728e-21,8.458569252676992e-37,1.1067378092923404e-11,5.627142747838553e-20,1.213015517841171e-21
8.277380757184216e-18,0.10125681075141572,0.0,2.514206610569276,0.031075110263184432,0.31940968179926754,0.35048479209210015,0.20701222012334095,0.09201819536983516,0.0,1.639743323265156e-39,1.0444557124679614e-12,1.3965102986454539e-36,0.0,2.4735931213467513e-65,6.807974086920147e-27,1.829499669563559e-43,5.496240162303261e-34,7.091689049503932e-49,6.603445115836692e-24,6.95824839298475e-20,3.842509000983436e-79,3.9782297702479786e-16,1.0297481790242877e-50,4.1260395961699605e-44,6.116525849077201e-73,1.0444557808796068e-12,2.796250150937653e-58,1.7085536944813577e-10,5.839949339521774e-11,3.7148927214258865e-11,4.639483145489635e-11,3.8428378416721396e-11,1.8687849237939128e-11,1.544510694791754e-14,1.3542442055134706e-18,3.9782301514489947e-16,1.3810485850904927e-25,1.354244211464748e-18,2.5248077692036057e-20,4.063325657624334e-36,1.8445630105827684e-11,1.5331227151958026e-19,5.680809043924157e-21
