Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2X(216)
2.4799929427853554e-10,0.07540679193649383,0.0,1.8681329223049048,0.031075110263184432,0.31769221941382225,0.349617289688385,0.20690733908794878,0.0919864303876672,0.0,1.4382150536344932e-19,1.287967236619021e-07,6.223269856637347e-21,0.0,8.353785440277993e-47,1.6824991701616954e-06,9.17555323286585e-40,2.2906441321329332e-25,2.7855299104541458e-36,6.170089376282088e-29,1.4051765816792943e-17,3.869271305746359e-58,5.190728504264308e-13,1.581246611442083e-39,5.96807179449835e-38,9.845445172805763e-57,1.2516657933778163e-07,7.322727620045442e-46,4.9764019025510097e-05,0.0009108027588184025,0.0012634916637086478,0.0008673736544304936,0.0001048810922659472,0.0004283201307131971,4.52614364147597e-06,0.00014560185450694183,1.1295972994869228e-10,0.00012239040336352877,0.00011034720217144661,0.00021021622605097576,6.329540692853265e-09
2.4953424393277075e-10,0.07540679193649383,0.0,1.8681057254432658,0.031075110263184432,0.31768285705560156,0.34961356600603294,0.20690734012868017,0.09198679350611137,0.0,1.4828786029943308e-19,1.2959300940567613e-07,6.369985970374015e-21,0.0,8.720399630783827e-47,1.7239610451084981e-06,9.46052238635581e-40,2.319075903476607e-25,2.8375697786760002e-36,6.284498503497229e-29,1.4138732220652897e-17,3.990497776775273e-58,5.252604466705408e-13,1.610787798622651e-39,6.153413899866474e-38,1.027650202509045e-56,1.2591827391071118e-07,7.505809148783765e-46,4.976543683630937e-05,0.000914050733672797,0.0012750692384354825,0.0008710965404968992,0.000104880051534564,0.0004301120605556814,4.550253678612513e-06,0.00014702634155798445,1.1434486958778113e-10,0.0001243675913105992,0.00011126797931202612,0.00021272558943766608,6.523047297945426e-09
2.5106919358700597e-10,0.07540679193649383,0.0,1.868078515886692,0.031075110263184432,0.3176735065676484,0.34960985817935003,0.2069073411970035,0.09198716151419893,0.0,1.5286107336833945e-19,1.303892866864419e-07,6.519357939321805e-21,0.0,9.100692712097296e-47,1.7661819840923484e-06,9.75249711778495e-40,2.3476831936276493e-25,2.89025378840117e-36,6.400302653746792e-29,1.4225698624934658e-17,4.114743854312763e-58,5.314922127523585e-13,1.6406946421125084e-39,6.343311981672068e-38,1.0723604960237028e-56,1.2666969361319998e-07,7.692303753771969e-46,4.9766861559143084e-05,0.0009172815776713856,0.001286676017712985,0.0008748035709024904,0.00010487898321130172,0.0004318913263846005,4.5742916122392165e-06,0.000148452624617474,1.1573825351583994e-10,0.00012636204690533404,0.00011218761739007793,0.00021524625722402254,6.721258836274407e-09
2.526041432412412e-10,0.07540679193649383,0.0,1.8680512939331857,0.031075110263184432,0.31766416790567276,0.34960616614131224,0.20690734229139046,0.09198753444183273,0.0,1.5754289466135265e-19,1.3118555554023594e-07,6.67141972828762e-21,0.0,9.4950860904499e-47,1.8091707711273407e-06,1.0051604670476607e-39,2.3764660135252e-25,2.943585901704506e-36,6.517510025124555e-29,1.4312665029649478e-17,4.242065601331917e-58,5.377682216617596e-13,1.6709693910438008e-39,6.537848778228865e-38,1.1187247196282393e-56,1.2742083858437185e-07,7.882253632539507e-46,4.976829314123718e-05,0.0009204954455588031,0.0012983116758347752,0.0008784948126714391,0.00010487788882428332,0.00043365794566276836,4.598257667332626e-06,0.0001498806310884264,1.1713987826794504e-10,0.00012837376047530828,0.00011310607075763654,0.0002177781440144619,6.924259648724764e-09
2.541390928954764e-10,0.07540679193649383,0.0,1.8680240598811624,0.031075110263184432,0.3176548410257671,0.3496024898251776,0.20690734341039904,0.09198791231879956,0.0,1.6233508756940272e-19,1.319818160029426e-07,6.82620555094181e-21,0.0,9.904011439590278e-47,1.8529362192970283e-06,1.0357973785146894e-39,2.4054243743871243e-25,2.9975700806610027e-36,6.6361288112181e-29,1.4399631434807975e-17,4.372519770472753e-58,5.440885448570511e-13,1.7016142945488397e-39,6.737108001202856e-38,1.1667933942485263e-56,1.281717089631518e-07,8.07570124283885e-46,4.9769731530943525e-05,0.0009236924906288035,0.0013099758875878447,0.0008821703325455616,0.00010487676981573518,0.0004354119367352791,4.622152075084581e-06,0.0001513102888317225,1.1854974038170366e-10,0.00013040272142360857,0.00011402329441931086,0.00022032116425022084,7.132135009533482e-09
2.556740425497116e-10,0.07540679193649383,0.0,1.867996814029415,0.031075110263184432,0.31764552588440187,0.3495988291644856,0.2069073445526679,0.09198829517476982,0.0,1.6723942867795142e-19,1.3277806811029434e-07,6.983749869874895e-21,0.0,1.0327910885294883e-46,1.8974871701281193e-06,1.0671734707860638e-39,2.4345582877127745e-25,3.052210287345788e-36,6.756167201111739e-29,1.4486597840420186e-17,4.5061638082584055e-58,5.504532522699966e-13,1.732631601760097e-39,6.941174340778238e-38,1.2166182614379556e-56,1.2892230488826724e-07,8.272689302662545e-46,4.977117667773461e-05,0.0009268728647326324,0.0013216683282698959,0.0008858301969855123,0.00010487562754687009,0.0004371533188171734,4.645975072717799e-06,0.00015274152616818164,1.1996783639724787e-10,0.00013244891823864733,0.00011493924402921888,0.0002228752322166797,7.344971128499805e-09
2.5720899220394683e-10,0.07540679193649383,0.0,1.8679695566770789,0.031075110263184432,0.31763622243842043,0.34959518409305534,0.20690734571691227,0.09198868303929698,0.0,1.7225770765979624e-19,1.3357431189787262e-07,7.144087396642616e-21,0.0,1.0767237192017083e-46,1.9428324929621773e-06,1.0993019197973889e-39,2.463867765285738e-25,3.1075104838341293e-36,6.877633379389455e-29,1.45735642464956e-17,4.6430558593113124e-58,5.568624123109112e-13,1.764023561810205e-39,7.150133470814555e-38,1.2682523051315918e-56,1.296726264982484e-07,8.473260790260252e-46,4.977262853219794e-05,0.0009300367182874201,0.0013333886737064275,0.0008894744721719773,0.0001048744633024925,0.0004388821119811646,4.6697269033039495e-06,0.00015417427188056285,1.2139416285722908e-10,0.00013451233850395681,0.00011585387588788948,0.00022544026205060957,7.562855153118147e-09
2.5874394185818205e-10,0.07540679193649383,0.0,1.867942288123595,0.031075110263184432,0.3176269306450342,0.349591554544985,0.2069073469019194,0.09198907594181746,0.0,1.7739172716592048e-19,1.3437054740110854e-07,7.307253091799303e-21,0.0,1.1222453951685699e-46,1.988981084325432e-06,1.1321960536062937e-39,2.493352819176609e-25,3.163474632201426e-36,7.000535526137825e-29,1.4660530653043164e-17,4.783254770569401e-58,5.633160918738281e-13,1.795792423831961e-39,7.364072053995043e-38,1.3217497736504315e-56,1.3042267393142936e-07,8.677458944155765e-46,4.977408704602987e-05,0.0009331842002845927,0.0013451366002675703,0.0008931032240068575,0.00010487327829534217,0.0004405983371454236,4.693407815584192e-06,0.00015560845521549394,1.2282871630681182e-10,0.00013659296890796457,0.00011676714693913164,0.00022801616774734246,7.78587517063398e-09
2.6027889151241726e-10,0.07540679193649383,0.0,1.8679150086686827,0.031075110263184432,0.3176176504618184,0.34958794045465014,0.20690734810654457,0.09198947391165012,0.0,1.8264330271441877e-19,1.351667746552834e-07,7.47328216491973e-21,0.0,1.1694035774663982e-46,2.035941867296816e-06,1.1658693531839949e-39,2.5230134617457397e-25,3.2201066945232047e-36,7.124881816948956e-29,1.4747497060071338e-17,4.926820095502275e-58,5.698143563417322e-13,1.8279404369583198e-39,7.58307774696617e-38,1.3771662019570254e-56,1.311724473259489e-07,8.885327263164025e-46,4.9775552172029424e-05,0.0009363154582983036,0.0013569117848846754,0.0008967165181144507,0.00010487207367019068,0.0004423020160614252,4.717018063792179e-06,0.00015704400588532994,1.2427149329366794e-10,0.00013869079525374688,0.00011767901476687183,0.00023060286316786436,8.01412021002257e-09
2.618138411666525e-10,0.07540679193649383,0.0,1.8678877186123009,0.031075110263184432,0.3176083818467067,0.34958434175670294,0.20690734932970703,0.09198987697799606,0.0,1.8801426257752546e-19,1.359629936955293e-07,7.642210074609461e-21,0.0,1.2182468482880015e-46,2.0837237908743304e-06,1.2003354532055156e-39,2.552849705646008e-25,3.2774106328751284e-36,7.25068042292339e-29,1.4834463467588113e-17,5.0738120983274046e-58,5.763572695918619e-13,1.8604698503223973e-39,7.807239205468417e-38,1.4345584341637638e-56,1.31921946819751e-07,9.096909506408105e-46,4.97770238640915e-05,0.0009394306384938823,0.0013687139050666498,0.0009003144198426266,0.00010487085050770524,0.00044399317130185205,4.740557907479509e-06,0.0001584808540699403,1.257224903679711e-10,0.0001408058024687623,0.00011858943759196048,0.0002332002620458339,8.247680243890458e-09
