Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539)
1.097981138593447e-12,0.04692242069448014,0.0,1.1650527664052723,0.031075110263184432,0.3194027212197003,0.35048060285792926,0.20700875372487876,0.09200355998613777,0.0,6.244305133541428e-47,2.9443945539392337e-16,2.0923546745462524e-45,0.0,8.20995810768431e-95,5.490589910393112e-16,2.602463921335484e-78,1.2448424795743318e-45,1.0481630734102194e-68,3.703219231527033e-55,7.476286972296555e-33,1.7140845412225644e-110,1.1203716634223316e-26,1.4272581566031688e-74,3.6259118813637516e-75,4.334441754567e-111,2.944096824648275e-16,1.8954230338023167e-88,1.4635553451359916e-05,5.273224652442711e-06,1.687490499658436e-06,4.189281610141627e-06,3.4664553361013203e-06,1.6873746209066274e-06,1.1181718194035263e-12,5.7380188638945846e-11,9.839916108746759e-22,1.3008578654559409e-15
1.1598420380236314e-12,0.04692242069448014,0.0,1.165051068918069,0.031075110263184432,0.31940232906445204,0.3504803668371092,0.20700855863485668,0.0920027808397025,0.0,7.36030472639631e-47,3.1102824176684857e-16,2.5569010079896024e-45,0.0,1.2048945570105904e-94,6.4718863793161e-16,3.4229502650028334e-78,1.3890583476781287e-45,1.2354934450672163e-68,4.365049786438517e-55,7.897501628335954e-33,2.254507205857891e-110,1.2335594225128235e-26,1.6823413661404603e-74,4.769063583450067e-75,6.3561797844193356e-111,3.1099501964836114e-16,2.360053288040131e-88,1.5414699823722276e-05,5.570311934059411e-06,1.782565176791677e-06,4.4253024302249604e-06,3.6615453581643778e-06,1.7824359398424402e-06,1.1813150042669298e-12,6.402769764839219e-11,1.0979869016775705e-21,1.5333445277435239e-15
1.2217029374538158e-12,0.04692242069448014,0.0,1.1650493761122662,0.031075110263184432,0.31940193691049384,0.3504801308168966,0.20700836356743713,0.09200200635022295,0.0,8.60192978884516e-47,3.2761701696855573e-16,3.094104984600571e-45,0.0,1.7334080384619124e-94,7.563645791782849e-16,4.4384414753257e-78,1.5411758608378124e-45,1.4439111032950703e-68,5.101376770141324e-55,8.318715887435342e-33,2.9233785408930405e-110,1.3520861443826678e-26,1.9661386207608844e-74,6.183907963113113e-75,9.13771280829335e-111,3.2758015668286806e-16,2.9052846628358e-88,1.6189189240367026e-05,5.867398233998367e-06,1.877639909773122e-06,4.661322642774588e-06,3.8566127777515585e-06,1.877496586169095e-06,1.2444824040299744e-12,7.103942119365338e-11,1.2182279039301432e-21,1.7920002682554624e-15
1.2835638368840003e-12,0.04692242069448014,0.0,1.1650476879600253,0.031075110263184432,0.3194015447578237,0.35047989479729064,0.20700816852261664,0.09200123648986856,0.0,9.975880500156699e-47,3.4420578099907345e-16,3.711096749741966e-45,0.0,2.4493511274320997e-94,8.771759757307296e-16,5.681798392395335e-78,1.701194926087799e-45,1.6745407203025615e-68,5.916172730860525e-55,8.739929749640713e-33,3.742345628874329e-110,1.475951590497237e-26,2.2801813592470965e-74,7.916228742958337e-75,1.2903484735676885e-110,3.441650935711897e-16,3.5399400112680714e-88,1.6959049531862913e-05,6.1644835534560315e-06,1.972714699356275e-06,4.8973422487372105e-06,4.0516575982322414e-06,1.972556560648548e-06,1.3076753513906222e-12,7.841535427301084e-11,1.3447145269221809e-21,2.0782205811739524e-15
1.3454247363141847e-12,0.04692242069448014,0.0,1.1650460044336755,0.031075110263184432,0.31940115260643964,0.3504796587782903,0.2070079735003919,0.09200047123097507,0.0,1.1488857026063637e-46,3.6079453385843057e-16,4.41533608240628e-45,0.0,3.4051322459500584e-94,1.0102119886643531e-15,7.189381774847939e-78,1.8691154511783976e-45,1.9285069651213744e-68,6.813410139297874e-55,9.16114321499804e-33,4.735361511781267e-110,1.6051555223759306e-26,2.6260010160554286e-74,1.0016685944147077e-74,1.7928124026364707e-110,3.6074983031616547e-16,4.273300524560979e-88,1.7724308362459538e-05,6.461567893621772e-06,2.0677895462901146e-06,5.133361249053907e-06,4.246679822970763e-06,2.067615864038218e-06,1.3708951789458785e-12,8.615549189188638e-11,1.4774466799448914e-21,2.393400935778663e-15
1.4072856357443692e-12,0.04692242069448014,0.0,1.1650443255057106,0.031075110263184432,0.3194007604563398,0.35047942275989463,0.20700777850075955,0.09199971054604354,0.0,1.3147559518762709e-46,3.7738327554665574e-16,5.21461237518261e-45,0.0,4.6642828355426745e-94,1.1560617791965919e-15,9.001229419395632e-78,2.044937344570061e-45,2.206934503607346e-68,7.797061388634171e-55,9.5823562835533e-33,5.928801947003286e-110,1.7396977015919166e-26,3.0051290213175867e-74,1.2541062659906358e-74,2.4544428279991702e-110,3.7733436692063285e-16,5.115105731029672e-88,1.8484993231081316e-05,6.758651255677912e-06,2.1628644513191137e-06,5.369379644660159e-06,4.441679455326439e-06,2.1626744970910033e-06,1.4341432191891847e-12,9.425982906279128e-11,1.6164242722909046e-21,2.7389367765048067e-15
1.4691465351745536e-12,0.04692242069448014,0.0,1.16504265114879,0.031075110263184432,0.31940036830752233,0.3504791867421028,0.2070075835237162,0.09199895440773938,0.0,1.4958688116914745e-46,3.939720060637775e-16,6.117044614184195e-45,0.0,6.303141426216698e-94,1.3153145087047825e-15,1.1161233270303827e-77,2.2286605154276758e-45,2.510947998439518e-68,8.871098794531612e-55,1.0003568955352458e-32,7.351582162365804e-110,1.8795778897718708e-26,3.419096800839367e-74,1.5550511815016766e-74,3.315215435073865e-110,3.939187033874268e-16,6.075553494964313e-88,1.9241131472315515e-05,7.055733640799775e-06,2.2579394151832767e-06,5.605397436485896e-06,4.636656498653604e-06,2.2577324605553174e-06,1.4974208045078164e-12,1.0272836080527542e-10,1.7616472132542707e-21,3.1162235230007142e-15
1.531007434604738e-12,0.04692242069448014,0.0,1.165040981335734,0.031075110263184432,0.3193999761599853,0.3504789507249138,0.2070073885692586,0.09199820278889141,0.0,1.6928942945644728e-46,4.105607254098244e-16,7.131081358977571e-45,0.0,8.412699766550372e-94,1.4885593387439037e-15,1.3717316518047502e-77,2.4202848736148957e-45,2.8416721091228926e-68,1.0039494595136163e-54,1.0424781230441479e-32,9.035273609702393e-110,2.0247958485957207e-26,3.8694357761044e-74,1.911180291020913e-74,4.42276527950841e-110,4.105028397193802e-16,7.165300015508985e-88,1.9992750257394318e-05,7.352815050155728e-06,2.3530144386181564e-06,5.841414625455518e-06,4.831610956301626e-06,2.3527897551751143e-06,1.5607292671802739e-12,1.1156108214587714e-10,1.913115412130458e-21,3.526656570184902e-15
1.5928683340349225e-12,0.04692242069448014,0.0,1.1650393160395283,0.031075110263184432,0.31939958401372665,0.3504787147083268,0.20700719363738324,0.09199745566249072,0.0,1.906502411654184e-46,4.2714943358482495e-16,8.265500722538002e-45,0.0,1.1100618453773595e-93,1.6763854310641785e-15,1.672161068802259e-77,2.6198103296885207e-45,3.2002314919875824e-68,1.1306220951079902e-54,1.084599310886631e-32,1.1014220717557641e-109,2.175351339796388e-26,4.357677364272999e-74,2.3297568752690757e-74,5.833438533971204e-110,4.270867759193241e-16,8.39545982556985e-88,2.07398765951711e-05,7.64989548490722e-06,2.448089522354888e-06,6.0774312124879305e-06,5.026542831614948e-06,2.4478463816899122e-06,1.6240699393736771e-12,1.20757988118073e-10,2.070828778216355e-21,3.9716312883026435e-15
1.654729233465107e-12,0.04692242069448014,0.0,1.165037655233318,0.031075110263184432,0.3193991918687446,0.3504784786923408,0.20700699872808695,0.09199671300168992,0.0,2.1373631727659525e-46,4.4373813058880773e-16,9.529410351220989e-45,0.0,1.4493419497582212e-93,1.879381947628549e-15,2.0230632720066588e-77,2.827236794892916e-45,3.587750800188691e-68,1.2675249945483367e-54,1.1267204590672902e-32,1.3325657643502243e-109,2.331244125159535e-26,4.885352978181996e-74,2.818655217385189e-74,7.613436403000565e-110,4.436705119900871e-16,9.777605790738121e-88,2.148253733309079e-05,7.946974946208815e-06,2.5431646671202134e-06,6.3134471984965865e-06,5.221452127933101e-06,2.542902340834821e-06,1.6874441531411559e-12,1.303190737622286e-10,2.2347872208102655e-21,4.45254302298204e-15
