Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2X(216),CH3OX(210),CH2X(34),CHX(35),CX(33)
3.2591195610171944e-12,0.09466578726852673,0.0,2.350438603657762,0.031075110263184432,0.31938080018488774,0.35046750822553124,0.2069925571313718,0.0919863010672906,0.0,5.2621508731439726e-24,1.4115405226967483e-07,2.9851550508143017e-21,0.0,7.980123702357203e-35,1.0474275011480993e-11,1.7951301680578207e-25,4.5855347072732384e-24,4.85415564171857e-34,2.352894973749668e-13,2.5664530915322964e-15,1.395442607883246e-54,1.6582718924633492e-11,3.38170744455424e-36,4.281324219355596e-24,7.376217916300893e-43,1.4109449893640597e-07,7.138382039955238e-38,3.1890674384204805e-05,2.0982889529918383e-05,1.514944597619788e-05,1.7142759955761402e-05,1.2641362033916365e-05,7.596946110678787e-06,1.141333199791168e-07,1.48920463273195e-07,1.8481131121408857e-11,4.194079186504956e-09,1.48722802588803e-07,5.248453599239574e-08,7.225268169375069e-16,7.011844184164388e-06,3.606608326100012e-13,8.763262625229333e-11,9.75439396760144e-09
3.2796437582280242e-12,0.09466578726852673,0.0,2.3504380249019583,0.031075110263184432,0.31938062114350446,0.3504674026105987,0.20699244470593703,0.09198622251853869,0.0,5.363923285863928e-24,1.420429433917126e-07,3.0419259100961442e-21,0.0,8.28638464496988e-35,1.0680311959286637e-11,1.840748770810776e-25,4.643467281083486e-24,4.946438823309555e-34,2.3826078639901184e-13,2.5826144972356262e-15,1.439937379517753e-54,1.6687290001353703e-11,3.445997656030116e-36,4.3901609487061796e-24,7.659301305591276e-43,1.4198264029195542e-07,7.319864040113376e-38,3.1969199746682693e-05,2.1107412831833578e-05,1.5251350534390628e-05,1.724748599719829e-05,1.2709572642548736e-05,7.6475711586642e-06,1.1535409676805478e-07,1.5082864280432092e-07,1.8609669290954338e-11,4.274396946629105e-09,1.5062721018679574e-07,5.339691391046304e-08,7.412825451317434e-16,7.055934717197953e-06,3.6292873369777246e-13,8.830860375498425e-11,9.87800583420271e-09
3.300167955438854e-12,0.09466578726852673,0.0,2.3504374470624216,0.031075110263184432,0.31938044213628497,0.3504672970352741,0.20699233240915593,0.09198614477991604,0.0,5.467048447183189e-24,1.4293183424592967e-07,3.099412263950283e-21,0.0,8.602377613078774e-35,1.0889121374924518e-11,1.887231189492785e-25,4.701763481541254e-24,5.039884236109949e-34,2.41250700181239e-13,2.5987758941657444e-15,1.4855599709033468e-54,1.6791863035984606e-11,3.511097549994953e-36,4.5010592789053096e-24,7.951380171176264e-43,1.4287077671610986e-07,7.504784171677289e-38,3.2046914992734294e-05,2.1231844571350217e-05,1.535333717664018e-05,1.7352172430969577e-05,1.2777654643313472e-05,7.698227742233034e-06,1.1657933865534517e-07,1.5274926484977018e-07,1.873835952562332e-11,4.355740270003627e-09,1.5254401247107148e-07,5.431901780850005e-08,7.604060019066424e-16,7.100024425364679e-06,3.651965927112355e-13,8.898696882812272e-11,1.0002394362977794e-08
3.3206921526496838e-12,0.09466578726852673,0.0,2.3504368701304976,0.031075110263184432,0.3193802631632045,0.3504671914995423,0.206992220240786,0.09198606784306602,0.0,5.571537243019799e-24,1.4382072483242645e-07,3.1576185995986866e-21,0.0,8.928348423047066e-35,1.1100724040118121e-11,1.9345882552059647e-25,4.760423308194277e-24,5.134499152456088e-34,2.4425923837322023e-13,2.6149372823326857e-15,1.5323316873913993e-54,1.6896438031921775e-11,3.57701219280734e-36,4.614045068469982e-24,8.252681723884459e-43,1.4375890820936145e-07,7.69318557065118e-38,3.212382847922367e-05,2.1356184816509495e-05,1.5455405906671014e-05,1.7456819272087675e-05,1.28456082786506e-05,7.748915802243435e-06,1.1780902125705108e-07,1.546823342716798e-07,1.88672018244145e-11,4.438115816603372e-09,1.5447321399944198e-07,5.525088312530666e-08,7.79902118882687e-16,7.144113308740988e-06,3.674644096565819e-13,8.966773845362622e-11,1.0127559522035256e-08
3.3412163498605135e-12,0.09466578726852673,0.0,2.3504362940976193,0.031075110263184432,0.3193800842242379,0.3504670860033886,0.20699210820058522,0.09198599169971808,0.0,5.677400625136496e-24,1.4470961515130336e-07,3.2165494043986027e-21,0.0,9.264547517718633e-35,1.1315140781443927e-11,1.9828308664038725e-25,4.81944676059253e-24,5.2302908446732e-34,2.472864006265597e-13,2.6310986617464666e-15,1.5802741009632716e-54,1.7001014992560858e-11,3.64374665081809e-36,4.729144336766408e-24,8.563437450810453e-43,1.446470347722006e-07,7.885111641579204e-38,3.219994847680949e-05,2.1480433635303163e-05,1.5557556728029488e-05,1.7561426535558935e-05,1.2913433790542852e-05,7.799635279613495e-06,1.1904312036757868e-07,1.566278559158562e-07,1.8996196186326692e-11,4.521530248916479e-09,1.5641481931335025e-07,5.619254510678214e-08,7.997758645117685e-16,7.188201367402925e-06,3.6973218454000004e-13,9.035092963685403e-11,1.025350127946202e-08
3.3822647442821735e-12,0.09466578726852673,0.0,2.350435144695157,0.031075110263184432,0.31937972644854695,0.3504668751297548,0.20699188450372505,0.09198584176087211,0.0,5.8932952900487545e-24,1.464873949865989e-07,3.3366023715601275e-21,0.0,9.96865581216603e-35,1.1752500023264659e-11,2.082016655810916e-25,4.9385845408356366e-24,5.4254336459658525e-34,2.5339659592389004e-13,2.6634213943545173e-15,1.6797586503804244e-54,1.721017482152759e-11,3.779695277799151e-36,4.965788191230858e-24,9.214259077950387e-43,1.4642327310859237e-07,8.279712760132491e-38,3.2349840662180105e-05,2.1728657265513885e-05,1.5762104658032433e-05,1.7770522389555977e-05,1.3048701409642362e-05,7.901168250404444e-06,1.215244721760906e-07,1.6055627517269609e-07,1.925464109551001e-11,4.691502433149227e-09,1.6033525938182808e-07,5.8105399091262143e-08,8.406763001678858e-16,7.276375010886001e-06,3.7426760814579286e-13,9.17246448150881e-11,1.0507714461662889e-08
3.4192082992616675e-12,0.09466578726852673,0.0,2.350434113223477,0.031075110263184432,0.3193794045668449,0.3504666854786903,0.20699168361247047,0.09198570944845191,0.0,6.0924128225615846e-24,1.4808739592411136e-07,3.4471727464517194e-21,0.0,1.0639943224630027e-34,1.2155957333016456e-11,2.174423144016589e-25,5.047052138633192e-24,5.605159696347914e-34,2.589594624868791e-13,2.692511823866053e-15,1.7735204567071395e-54,1.7398425420944396e-11,3.904903635533169e-36,5.1862600768804285e-24,9.834743542495592e-43,1.4802187075421154e-07,8.647349077249964e-38,3.248211113444312e-05,2.1951746535616173e-05,1.594647857935474e-05,1.795857345302054e-05,1.3170006502888918e-05,7.99265478000241e-06,1.2377255403568664e-07,1.641344873834541e-07,1.9487761559607555e-11,4.848097277327821e-09,1.6390612161531629e-07,5.986082195745671e-08,8.788287826570441e-16,7.355728470252895e-06,3.783493456012444e-13,9.29694412803981e-11,1.0739161971471363e-08
3.4561518542411616e-12,0.09466578726852673,0.0,2.3504330845353443,0.031075110263184432,0.3193790827952847,0.35046649595562523,0.20699148313274035,0.09198557958220255,0.0,6.296157444225188e-24,1.4968739599609511e-07,3.5601601949881034e-21,0.0,1.1348482757402082e-34,1.2568858197933078e-11,2.269871370426708e-25,5.156697876945416e-24,5.788811599248118e-34,2.6458266559187213e-13,2.7216022251722654e-15,1.8714231708086605e-54,1.758668243880676e-11,4.032846986043764e-36,5.413991637903768e-24,1.0489660738303118e-42,1.496204524328277e-07,9.027092632016397e-38,3.261193548091233e-05,2.217454063944748e-05,1.6131118523736976e-05,1.814649651801082e-05,1.3290900218679856e-05,8.08424218573881e-06,1.2603457694311338e-07,1.6775311941197379e-07,1.9721374692652445e-11,5.008161840179044e-09,1.6751724199642397e-07,6.164852549281542e-08,9.1828374310734e-16,7.435079258710973e-06,3.8243094687218283e-13,9.422234913078796e-11,1.0973125162694371e-08
3.4930954092206557e-12,0.09466578726852673,0.0,2.3504320585838197,0.031075110263184432,0.31937876113372166,0.3504663065604722,0.2069912830631396,0.09198545211689241,0.0,6.504595529700463e-24,1.5128739520313425e-07,3.675590892366725e-21,0.0,1.209590996163741e-34,1.2991325704829174e-11,2.368427329826331e-25,5.267521753224368e-24,5.976431766467857e-34,2.702662032081682e-13,2.7506925983308915e-15,1.9736024598917938e-54,1.77749458949196e-11,4.163554876009394e-36,5.6491404345339094e-24,1.118052242172493e-42,1.5121901814722866e-07,9.419206268794702e-38,3.27393589341039e-05,2.2397039971754347e-05,1.6316024505603104e-05,1.8334291671824782e-05,1.3411383951837037e-05,8.175930125209208e-06,1.2831040599824845e-07,1.7141219893105295e-07,1.9955480488810256e-11,5.171735067057503e-09,1.7116864642159085e-07,6.346870845991128e-08,9.590714997215344e-16,7.514427376690507e-06,3.865124119946264e-13,9.548346838823278e-11,1.1209603848431495e-08
3.5300389642001498e-12,0.09466578726852673,0.0,2.3504310353228077,0.031075110263184432,0.31937843958201106,0.350466117293144,0.20699108340227776,0.09198532700812626,0.0,6.717794220145353e-24,1.5288739354581266e-07,3.793491015228397e-21,0.0,1.2883913650773946e-34,1.3423483414021587e-11,2.470157723837462e-25,5.379523764942963e-24,6.168062609693254e-34,2.7601007330539227e-13,2.7797829433994697e-15,2.0801969223965334e-54,1.796321580908801e-11,4.2970568520278463e-36,5.891865715073954e-24,1.1908889579471377e-42,1.5281756790018212e-07,9.823955650419768e-38,3.286442589011609e-05,2.261924492676783e-05,1.650119653761641e-05,1.8521959001697055e-05,1.3531459092450409e-05,8.267718256634537e-06,1.3059990806453203e-07,1.751117534435974e-07,2.0190078942247817e-11,5.3388559290048676e-09,1.7486036061700125e-07,6.532156770600451e-08,1.0012227636623785e-15,7.593772824618057e-06,3.905937410045761e-13,9.675289932023875e-11,1.1448597841554647e-08
3.566982519179644e-12,0.09466578726852673,0.0,2.350430014707043,0.031075110263184432,0.3193781181400085,0.3504659281535535,0.20699088414876915,0.09198520421232989,0.0,6.935821441554339e-24,1.544873910247136e-07,3.913886741662796e-21,0.0,1.3714237043534706e-34,1.3865455359947845e-11,2.575129960873713e-25,5.492703909594371e-24,6.36374654049549e-34,2.8181427385349256e-13,2.808873260435349e-15,2.1913481193199643e-54,1.8151492201117096e-11,4.4333824606164586e-36,6.1423284157879974e-24,1.2676373485068997e-42,1.5441610169443596e-07,1.024160925806755e-37,3.298717992410197e-05,2.284115589820428e-05,1.6686634630704507e-05,1.8709498594799057e-05,1.3651127025894091e-05,8.359606238860169e-06,1.3290295174416772e-07,1.7885181028298496e-07,2.0425170047133234e-11,5.509563422585831e-09,1.7859241013895646e-07,6.720729818809311e-08,1.044768640554101e-15,7.673115602916536e-06,3.946749339380219e-13,9.80307424397067e-11,1.1690106954708007e-08
3.603926074159138e-12,0.09466578726852673,0.0,2.3504289966920706,0.031075110263184432,0.3193777968075696,0.3504657391416134,0.20699068530123277,0.09198508368673478,0.0,7.158745923297667e-24,1.5608738764042008e-07,4.036804251213954e-21,0.0,1.4588678919220816e-34,1.4317366051780893e-11,2.683412156094959e-25,5.6070621846914314e-24,6.563525970331094e-34,2.876788028227371e-13,2.83796354949568e-15,2.307200605539992e-54,1.8339775090811863e-11,4.5725612482123325e-36,6.400691160792093e-24,1.3484636766677802e-42,1.560146195327184e-07,1.0672438391124202e-37,3.3107663805451904e-05,2.3062773279266124e-05,1.6872338794083954e-05,1.8896910538239073e-05,1.3770389132842436e-05,8.451593731354984e-06,1.3521940735368087e-07,1.826323966134287e-07,2.066075379763588e-11,5.683896569724418e-09,1.8236482037424585e-07,6.912609299760586e-08,1.0897406319858478e-15,7.752455712005266e-06,3.9875599083095623e-13,9.931709850479322e-11,1.193413100030788e-08
3.640869629138632e-12,0.09466578726852673,0.0,2.3504279812342346,0.031075110263184432,0.31937747558455043,0.3504655502572368,0.20699048685829222,0.09198496538936334,0.0,7.386637216854544e-24,1.576873833935147e-07,4.1622697248857585e-21,0.0,1.550909478502343e-34,1.477934047404011e-11,2.7950731313620123e-25,5.7225985877660844e-24,6.767443310542267e-34,2.9360365818371136e-13,2.8670538106374213e-15,2.42790196113892e-54,1.852806449797708e-11,4.714622761172543e-36,6.667118261945217e-24,1.4335394486016876e-42,1.5761312141773827e-07,1.1116717167055216e-37,3.322591951269731e-05,2.328409746264262e-05,1.705830903528452e-05,1.908419491906238e-05,1.3889246789286014e-05,8.543680394210399e-06,1.3754914689982103e-07,1.8645353943033989e-07,2.0896830187926377e-11,5.861894417540657e-09,1.8617761654051758e-07,7.107814338475042e-08,1.1361706370170246e-15,7.831793152300032e-06,4.028369117193647e-13,1.0061206851876965e-10,1.2180669790542678e-08
3.677813184118126e-12,0.09466578726852673,0.0,2.3504269682906584,0.031075110263184432,0.31937715447080717,0.3504653615003367,0.20699028881857595,0.09198484927901422,0.0,7.619565714743882e-24,1.592873782845796e-07,4.290309345147446e-21,0.0,1.6477398055631283e-34,1.5251504087198606e-11,2.9101824151913034e-25,5.839313116368813e-24,6.9755409723571665e-34,2.9958883790731605e-13,2.8961440439173383e-15,2.5536028227268548e-54,1.8716360442417176e-11,4.859596545774353e-36,6.941775718740276e-24,1.523041522865403e-42,1.5921160735218535e-07,1.1574722521274652e-37,3.334198824813378e-05,2.350512884051062e-05,1.7244545360173087e-05,1.9271351824251402e-05,1.4007701366547535e-05,8.635865888139462e-06,1.398920440558121e-07,1.903152655606898e-07,2.1133399212176603e-11,6.043596038187607e-09,1.900308236866488e-07,7.306363878251282e-08,1.1840909536845665e-15,7.911127924213144e-06,4.06917696639231e-13,1.01915753729879e-10,1.242972313737279e-08
3.714756739097619e-12,0.09466578726852673,0.0,2.35042595781924,0.031075110263184432,0.31937683346619616,0.35046517287082624,0.20699009118071687,0.0919847353152479,0.0,7.857602669648186e-24,1.608873723141965e-07,4.420949295939105e-21,0.0,1.7495561244945598e-34,1.5733982828286874e-11,3.028810242709572e-25,5.957205768068112e-24,7.187861366890233e-34,3.0563433996476377e-13,2.9252342493920013e-15,2.684456914764957e-54,1.8904662943936096e-11,5.0075121482154255e-36,7.224831218195115e-24,1.617152220548551e-42,1.6081007733873052e-07,1.2046734207014346e-37,3.345591045217385e-05,2.3725867804535308e-05,1.7431047772977292e-05,1.9458381340725743e-05,1.4125754231297756e-05,8.72814987447588e-06,1.4224797413793964e-07,1.9421760166337178e-07,2.1370460864559667e-11,6.229040528688728e-09,1.93924466693115e-07,7.508276683031971e-08,1.2335342805120961e-15,7.990460028153488e-06,4.109983456265549e-13,1.032282556311906e-10,1.2681290852530563e-08
3.751700294077113e-12,0.09466578726852673,0.0,2.350424949778628,0.031075110263184432,0.319376512570574,0.35046498436861845,0.20698989394335274,0.09198462345837277,0.0,8.10082021372922e-24,1.6248736548294686e-07,4.554215762677151e-21,0.0,1.8565617169892115e-34,1.6226903111492945e-11,3.1510275556085577e-25,6.076276540449949e-24,7.404446905142472e-34,3.1174016232757685e-13,2.954324427117794e-15,2.820621080888518e-54,1.9092972022337178e-11,5.1583991146140365e-36,7.51645413474356e-24,1.716059436539634e-42,1.6240853138002602e-07,1.2533034795193198e-37,3.3567725817434454e-05,2.3946314745871026e-05,1.761781627630874e-05,1.964528355534235e-05,1.4243406745571276e-05,8.820532015173115e-06,1.4461681408246985e-07,1.9816057422956185e-07,2.1608015139249938e-11,6.418267010775604e-09,1.9785857027235955e-07,7.713571339736765e-08,1.2845337180209615e-15,8.069789464526562e-06,4.1507885871734207e-13,1.0454967596045304e-10,1.2935372747520199e-08
3.788643849056607e-12,0.09466578726852673,0.0,2.3504239441282113,0.031075110263184432,0.3193761917837973,0.35046479599362657,0.20698969710512566,0.09198451366943104,0.0,8.349291378133777e-24,1.6408735779141166e-07,4.690134932259829e-21,0.0,1.968966016629623e-34,1.6730391828758928e-11,3.276906002099717e-25,6.196525431117269e-24,7.6253399980017686e-34,3.179063029675846e-13,2.9834145771509043e-15,2.962255315229899e-54,1.9281287697423042e-11,5.312286991009279e-36,7.816815530126477e-24,1.8199567519069712e-42,1.640069694787057e-07,1.3033909674286473e-37,3.367747330256525e-05,2.4166470055161958e-05,1.7804850871185922e-05,1.9832058554895598e-05,1.436066026678233e-05,8.913011972803416e-06,1.469984424228942e-07,2.0214420958307949e-07,2.1846062030422988e-11,6.611314630726027e-09,2.0183315896916128e-07,7.922266260562645e-08,1.3371227702431267e-15,8.14911623373457e-06,4.1915923594760284e-13,1.0588011669994461e-10,1.3191968633617735e-08
3.8255874040361e-12,0.09466578726852673,0.0,2.3504229408281074,0.031075110263184432,0.31937587110572324,0.3504646077457638,0.20698950066468272,0.09198440591018546,0.0,8.603090112688985e-24,1.656873492401714e-07,4.8287329930727165e-21,0.0,2.0869847316862114e-34,1.7244576350374154e-11,3.406517936868927e-25,6.3179524376894786e-24,7.850583056243177e-34,3.24132759856921e-13,3.0125046995473306e-15,3.109522793741281e-54,1.9469609988995483e-11,5.469205323361279e-36,8.126088153282851e-24,1.929043547398333e-42,1.6560539163738517e-07,1.3549647050195143e-37,3.378519114582104e-05,2.4386334122542906e-05,1.7992151557056838e-05,2.001870642611739e-05,1.4477516147740481e-05,9.005589410556906e-06,1.4939273926749753e-07,2.061685338807476e-07,2.2084601532255643e-11,6.808222559202418e-09,2.0584825716100297e-07,8.134379685251834e-08,1.391335346235922e-15,8.228440336176433e-06,4.232394773533779e-13,1.0721968007632225e-10,1.3451078321870964e-08
