Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2X(216),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(655),CH2OX(623),CHOX(653),H2NX(201),H3NX(202),NO2X(213),NO2X(206),SX(544),SX(776),SX(660),CH2NX(654),H2NO3(231),CNO2X(729)
4.837723937653778e-13,0.1547348997255798,0.0,3.8420372934067446,0.03107430208397329,0.31923063320411166,0.35030263176411763,0.20700827663263618,0.0920076693513523,0.0,1.35578286646081e-19,7.044136837861869e-06,1.339964496685635e-15,0.0,1.270272307195981e-26,6.830633373584084e-12,3.224791178783658e-21,2.3124917071221427e-18,3.984330864288992e-26,2.814385855248765e-11,2.7339863269781266e-10,1.6646391051324516e-40,1.5478081025983587e-06,5.477002464078542e-26,1.249701856995393e-16,2.525393887228472e-32,7.0457240764287035e-06,2.6071387980317414e-30,1.0516831871747756e-05,3.5156126088265833e-06,3.966967483995088e-06,3.1389510434183118e-06,2.6106244998144735e-06,1.782055706712141e-06,1.1789854478203157e-06,3.686637349695884e-08,0.00017298901648355768,1.3891712616008208e-09,1.5184032754246487e-07,1.2945184390418832e-07,1.2155484084821023e-16,1.2818631978608186e-06,8.135388393530802e-11,2.627975040404474e-09,3.6233393062564435e-08,1.1813628003898164e-08,5.918407266438196e-15,5.607427345339093e-13,9.334242817562066e-07,4.3459333763501e-07,3.929161105793799e-10,5.359356625776882e-07,2.3246980005914405e-10,2.9694465553479433e-12,1.4694808637680023e-13,1.1278143603662514e-12,0.0001714407235210904,4.833490273921708e-18
4.882990828399264e-13,0.1547348997255798,0.0,3.842037021635273,0.031074294816987792,0.3192289602530836,0.35030093009515967,0.2070082412343633,0.09200758630647138,0.0,1.3944579340269563e-19,7.110028298056119e-06,1.3779232829925826e-15,0.0,1.3306172798302144e-26,6.961859525616956e-12,3.3333918986809944e-21,2.3572547843467688e-18,4.097225035511007e-26,2.866610283836611e-11,2.759568168280055e-10,1.7439905897415278e-40,1.5622825660564443e-06,5.632190680588794e-26,1.2848750764440616e-16,2.6453703872797335e-32,7.111642394979157e-06,2.7056025625672486e-30,1.0599789488770318e-05,3.5426516694060743e-06,4.0128058336405325e-06,3.166398087301319e-06,2.633550742855597e-06,1.8019096278166138e-06,1.1896974911575137e-06,3.760457515460635e-08,0.000174606807546623,1.4291173098423244e-09,1.5472335348982874e-07,1.3185990122363046e-07,1.2503529854495115e-16,1.293390262338672e-06,8.208607234579041e-11,2.6523171446521236e-09,3.6722805456798196e-08,1.2240960216867934e-08,6.0389417864201854e-15,5.800497008105184e-13,9.418600952390368e-07,4.37593534924622e-07,4.002900196350149e-10,5.40942114582572e-07,2.4141708684752095e-10,3.2024708015790816e-12,1.5089500109709525e-13,1.1665579742686545e-12,0.0001730440309687156,5.007661528289913e-18
4.92825771914475e-13,0.1547348997255798,0.0,3.8420367500544024,0.03107428755446641,0.31922728734338895,0.35029922847683215,0.2070082058627704,0.09200750351692737,0.0,1.4338688715453576e-19,7.17591936993992e-06,1.4165920904923106e-15,0.0,1.3932301766323686e-26,7.094404030264562e-12,3.444662735034128e-21,2.4024706376605396e-18,4.212231841356093e-26,2.9193020601103113e-11,2.785150005204622e-10,1.826339701022433e-40,1.5767568734386604e-06,5.790282993158429e-26,1.3206977264755173e-16,2.769856278429438e-32,7.1775605428472505e-06,2.806820002560749e-30,1.0682491775945828e-05,3.5695955516495135e-06,4.058792881339966e-06,3.1938110367114014e-06,2.6564503097295486e-06,1.8218063529936266e-06,1.2004047520460435e-06,3.835065685659462e-08,0.00017622458234729227,1.4698231986067485e-09,1.5763366631398524e-07,1.3428973520016814e-07,1.2858242221145945e-16,1.304908889463379e-06,8.281772484278855e-11,2.676641598290781e-09,3.721025663846598e-08,1.2678699214330326e-08,6.160699738928422e-15,5.99789925154314e-13,9.502882148003408e-07,4.4057764597889176e-07,4.0773222693849764e-10,5.459482723799509e-07,2.506176608559022e-10,3.451343033888877e-12,1.548903366168935e-13,1.2061619794544788e-12,0.000174647322225446,5.1857705574087695e-18
4.973524609890236e-13,0.1547348997255798,0.0,3.842036478663589,0.031074280296385367,0.31922561447493997,0.3502975269090924,0.2070081705178266,0.09200742098193443,0.0,1.4740229476450366e-19,7.241810053529744e-06,1.4559774923344381e-15,0.0,1.4581741109121375e-26,7.228269361339215e-12,3.5586458600870616e-21,2.448139928837829e-18,4.329370866073802e-26,2.972460841927418e-11,2.810731837755114e-10,1.9117705777319137e-40,1.5912310247726046e-06,5.95130632281292e-26,1.357175586439645e-16,2.8989770676213345e-32,7.243478519931571e-06,2.910841556663625e-30,1.0764939519152659e-05,3.5964445901262606e-06,4.104928299147756e-06,3.221189933814716e-06,2.679323231473104e-06,1.8417454916272364e-06,1.2111072555613138e-06,3.9104628063693634e-08,0.00017784234088608365,1.5112957028011152e-09,1.6057126218385198e-07,1.3674133615814525e-07,1.3219688147448253e-16,1.3164190854124882e-06,8.354884181874733e-11,2.700948412623426e-09,3.7695633527867354e-08,1.3126951884618415e-08,6.283681180144742e-15,6.199668413624605e-13,9.58708594850674e-07,4.4354575781239013e-07,4.1524272552844304e-10,5.50954130643392e-07,2.6007593730112737e-10,3.71697569563853e-12,1.589333928304301e-13,1.2466326300876955e-12,0.000176250597291798,5.367836514148418e-18
5.018791500635721e-13,0.1547348997255798,0.0,3.8420362074622876,0.031074273042721014,0.31922394164764933,0.35029582539189774,0.20700813519950087,0.0920073387007092,0.0,1.5149274430977048e-19,7.307700348842055e-06,1.4960860615048178e-15,0.0,1.525513346098177e-26,7.363458012481778e-12,3.6753837545788275e-21,2.4942633196441356e-18,4.448661693903933e-26,3.026086287395982e-11,2.8363136659348193e-10,2.0003689185128145e-40,1.605705020085817e-06,6.115287590562133e-26,1.3943144313763685e-16,3.0328605495350976e-32,7.309396326131282e-06,3.0177181057606465e-30,1.0847133501850386e-05,3.623199118231436e-06,4.151211760112934e-06,3.24853482072527e-06,2.7021695390869296e-06,1.861726656272375e-06,1.221805026570289e-06,3.986649801207046e-08,0.0001794600831635147,1.553541557815661e-09,1.6353613699953584e-07,1.3921469447264292e-07,1.3587934725395635e-16,1.3279208563590402e-06,8.427942366582493e-11,2.7252375988847195e-09,3.8178825021935256e-08,1.3585823144338628e-08,6.407886164741203e-15,6.40583790366529e-13,9.671211902416882e-07,4.464979569731343e-07,4.2282150844416084e-10,5.559596839915368e-07,2.697963434540713e-10,4.000324098111927e-12,1.6302344910512002e-13,1.287975975386235e-12,0.00017785385616828726,5.5538770602919455e-18
5.064058391381207e-13,0.1547348997255798,0.0,3.842035936449956,0.031074265793449827,0.31922226886142985,0.35029412392520565,0.2070080999077621,0.0920072566724706,0.0,1.5565896509211558e-19,7.373590255893311e-06,1.5369243708255612e-15,0.0,1.5953133057602654e-26,7.499972497171322e-12,3.794919207437195e-21,2.5408414718360746e-18,4.5701239090765495e-26,3.080178054874385e-11,2.861895489747016e-10,2.0922219962209826e-40,1.6201788594057786e-06,6.282253717400345e-26,1.432120032018827e-16,3.171636826538534e-32,7.375313961346116e-06,3.127500972560206e-30,1.0929074505087218e-05,3.649859468190035e-06,4.197642938276263e-06,3.275845739504985e-06,2.72498926353562e-06,1.8817494626900432e-06,1.232498089733179e-06,4.063627571473368e-08,0.00018107780918010227,1.5965674578529645e-09,1.665282863947389e-07,1.4170980056905675e-07,1.3963049177273698e-16,1.3394142084715715e-06,8.500947077589316e-11,2.7495091682425917e-09,3.865972203519268e-08,1.4055415897411493e-08,6.533314745863057e-15,6.61644019256665e-13,9.755259562633302e-07,4.4943432954508127e-07,4.3046856872565605e-10,5.609649269880958e-07,2.7978331711543425e-10,4.302387953571512e-12,1.6715976489558872e-13,1.3301978576988625e-12,0.00017945709885542875,5.743908358980225e-18
5.109325282126693e-13,0.1547348997255798,0.0,3.842035665626048,0.0310742585485484,0.31922059611619497,0.3502924225089736,0.2070080646425795,0.09200717489644011,0.0,1.5990168764825434e-19,7.439479774699957e-06,1.5784989929550681e-15,0.0,1.667640583621916e-26,7.637815348734459e-12,3.917295315472659e-21,2.5878750471613753e-18,4.6937770958119885e-26,3.134735802971145e-11,2.887477309194981e-10,2.1874186722521557e-40,1.6346525427599107e-06,6.452231624306266e-26,1.470598154796552e-16,3.315438328621059e-32,7.44123142547637e-06,3.240241921184943e-30,1.1010763307507443e-05,3.6764259710610443e-06,4.244221508667299e-06,3.303122732163766e-06,2.7477824357477417e-06,1.9018135298808105e-06,1.243186469505133e-06,4.141396996299402e-08,0.00018269551893636263,1.6403800542236075e-09,1.695477057391721e-07,1.4422664492267928e-07,1.4345098856633858e-16,1.3508991479141157e-06,8.57389835405374e-11,2.7737631317998737e-09,3.913821753902381e-08,1.4535830995797568e-08,6.659966975112967e-15,6.831506803774642e-13,9.839228486410516e-07,4.5235496115061023e-07,4.381838994136286e-10,5.659698541418382e-07,2.9004130505519134e-10,4.624212942785539e-12,1.7134158036913922e-13,1.3733039107392357e-12,0.00018106032535373693,5.9379450686399824e-18
5.154592172872179e-13,0.1547348997255798,0.0,3.8420353949900234,0.031074251307993482,0.31921892341185804,0.3502907211431589,0.20700802940392213,0.09200709337184147,0.0,1.6422164376015365e-19,7.505368905278433e-06,1.6208165003880553e-15,0.0,1.7425629535634264e-26,7.776989120354467e-12,4.0425554830727215e-21,2.6353647073588723e-18,4.819640838320864e-26,3.1897591905447414e-11,2.9130591242819885e-10,2.2860494108688346e-40,1.649126070175578e-06,6.625248232243034e-26,1.5097545618386402e-16,3.464399833308481e-32,7.507148718422901e-06,3.35599315676274e-30,1.1092200685358805e-05,3.702898956741528e-06,4.290947147301512e-06,3.3303658406595567e-06,2.770549086615875e-06,1.9219184801165758e-06,1.2538701901379538e-06,4.2199589327939955e-08,0.00018431321243281127,1.6849859536083752e-09,1.7259439014097683e-07,1.4676521805828429e-07,1.473415124926767e-16,1.3623756808462077e-06,8.646796235105705e-11,2.79799950059597e-09,3.9614206599236436e-08,1.5027167201931903e-08,6.787842902536489e-15,7.051068304956783e-13,9.923118235330404e-07,4.5525993695298967e-07,4.459674935494731e-10,5.70974459906589e-07,3.005747614157388e-10,4.966892317023558e-12,1.755681170420015e-13,1.417299557977287e-12,0.0001826635356637255,6.136000338394106e-18
5.199859063617665e-13,0.1547348997255798,0.0,3.8420351245413364,0.031074244071761927,0.31921725074833324,0.3502890198277194,0.20700799419175916,0.09200701209790088,0.0,1.6861956646533606e-19,7.571257647645168e-06,1.6638834654555828e-15,0.0,1.820149379615413e-26,7.917496385080096e-12,4.170743421896452e-21,2.6833111141585077e-18,4.947734720804086e-26,3.245247876703426e-11,2.938640935011308e-10,2.3882062935271393e-40,1.6635994416800853e-06,6.801330462158248e-26,1.5495950109769282e-16,3.618658485559113e-32,7.57306584008712e-06,3.4748073250180995e-30,1.1173387412499902e-05,3.729278753970705e-06,4.3378195311774195e-06,3.3575751068984097e-06,2.7932892469966543e-06,1.942063938970597e-06,1.2645492756818141e-06,4.299314216192773e-08,0.00018593088966996325,1.730391716287107e-09,1.7566833444915206e-07,1.4932551054971543e-07,1.5130273974181742e-16,1.3738438134228849e-06,8.71964075984655e-11,2.8222182856085554e-09,4.008758641189543e-08,1.5529521152887085e-08,6.91694257660875e-15,7.275154300397101e-13,1.000692837527464e-06,4.5814934165883276e-07,4.53819344175279e-10,5.759787386812251e-07,3.1138814607888046e-10,5.331568534420944e-12,1.7983857842565297e-13,1.46219001118767e-12,0.00018426672978590758,6.33808580494957e-18
5.245125954363151e-13,0.1547348997255798,0.0,3.842034854279443,0.031074236839830714,0.31921557812553447,0.3502873185626126,0.2070079590060597,0.0920069310738469,0.0,1.7309619006717263e-19,7.637146001816582e-06,1.7077064603250826e-15,0.0,1.900470025942832e-26,8.059339735834134e-12,4.301903150569322e-21,2.731714929281316e-18,5.0780783274528625e-26,3.301201520805048e-11,2.964222741386204e-10,2.4939830332036495e-40,1.678072657300681e-06,6.980505234983964e-26,1.590125255749157e-16,3.778353817641285e-32,7.638982790370992e-06,3.596737511863906e-30,1.1254324260407526e-05,3.7555656903340172e-06,4.384838338273756e-06,3.3847505727345534e-06,2.8160029477108123e-06,1.96224953534575e-06,1.27522374998699e-06,4.379463660008477e-08,0.00018754855064833292,1.7766038543343135e-09,1.7876953325598766e-07,1.5190751301947842e-07,1.5533534784573185e-16,1.3853035517946918e-06,8.792431967349036e-11,2.8464194977553214e-09,4.055825633740927e-08,1.6042987326283056e-08,7.047266044222323e-15,7.503793424108142e-13,1.009065847639729e-06,4.610232595205388e-07,4.617394443338301e-10,5.809826848096724e-07,3.2248592299680713e-10,5.719434930598255e-12,1.8415215068252413e-13,1.5079802691549485e-12,0.0001858699077207957,6.544211590957028e-18
5.290392845108636e-13,0.1547348997255798,0.0,3.842034584203801,0.03107422961217695,0.3192139055433764,0.3502856173477962,0.20700792384679303,0.09200685029891051,0.0,1.7765225014516385e-19,7.703033967809089e-06,1.752292057000386e-15,0.0,1.9835962668194977e-26,8.202521785421712e-12,4.436078994378329e-21,2.780576814439431e-18,5.210691242448714e-26,3.3576197824568645e-11,2.9898045434099394e-10,2.6034749887222315e-40,1.6925457170645547e-06,7.162799471636713e-26,1.6313510454021426e-16,3.9436277689922284e-32,7.704899569177022e-06,3.721837242993562e-30,1.1335011998183987e-05,3.7817600922671762e-06,4.432003247546679e-06,3.411892279970449e-06,2.8386902195432215e-06,1.982474901501017e-06,1.2858936367055959e-06,4.460408056182602e-08,0.0001891661953684339,1.8236288297816804e-09,1.818979808995027e-07,1.5451121613833622e-07,1.5944001568805662e-16,1.3967549021076797e-06,8.865169896657357e-11,2.870603147895736e-09,4.102611793285274e-08,1.6567658007960386e-08,7.178813350676229e-15,7.73701333365923e-13,1.0174308113097568e-06,4.638817743387209e-07,4.697277870686052e-10,5.859862925809086e-07,3.3387255848721884e-10,6.131737423420844e-12,1.8850800329043143e-13,1.5546751165351997e-12,0.00018747306946890165,6.754386304835476e-18
