Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2X(216),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(655),CH2OX(623),CHOX(653),H2NX(201),H3NX(202),NO2X(213),NO2X(206),SX(544)
3.646054798291059e-12,0.11302162890393913,0.0,2.8061687113833744,0.03107026464148018,0.3193712922252975,0.35045977047737836,0.20698986156382634,0.09198580620906688,0.0,5.3542623648228144e-20,2.1479208974671273e-06,1.3188257545455188e-17,0.0,9.502537197799786e-31,6.338794395350056e-11,2.8407572782610533e-22,7.932432396722046e-21,3.129569137617826e-29,1.120313003466887e-11,9.902479521681034e-13,2.019944157882584e-46,5.01442546132151e-09,1.4935313711250598e-30,3.569573351107512e-21,1.0675580714667202e-37,2.1483986534494934e-06,4.824809592226735e-33,3.238236905160314e-05,2.162798273000507e-05,2.9110937335159273e-05,1.941877566961752e-05,1.377556874939264e-05,1.1182812337555295e-05,4.524207072992352e-06,5.304460524954616e-07,5.056275319040981e-09,5.318475986970726e-08,1.4218562795873576e-06,3.977397877395608e-06,4.9300732239366e-15,8.463061252401392e-06,8.736752992419827e-12,8.514770683597782e-10,1.363627510654258e-09,1.1774788228289426e-07,2.5540009005382725e-14,2.4444044278555483e-12,5.84913925094476e-06,2.4416232247124365e-06,7.733414721635728e-10,3.4487682829489956e-06,5.423969581023664e-09
3.678389070444063e-12,0.11302162890393913,0.0,2.8061675037914156,0.031070225824134767,0.31937096580141,0.3504595666535955,0.20698969388397426,0.09198572703083083,0.0,5.558274652331071e-20,2.166961708780347e-06,1.3542145560877823e-17,0.0,1.001886516111477e-30,6.536891939238811e-11,2.942379981746174e-22,8.073743596396846e-21,3.213569217854253e-29,1.1401762187400335e-11,9.990293070129922e-13,2.1111120502098536e-46,5.0588649859312435e-09,1.5336188897890947e-30,3.69763052956631e-21,1.1255677563498502e-37,2.1674456330646367e-06,4.997914579632125e-33,3.2461571557825225e-05,2.177749053579572e-05,2.9441648803610956e-05,1.9572914795357583e-05,1.3867139626569036e-05,1.1297924545955103e-05,4.546888993113905e-06,5.402880875191617e-07,5.1014478775378395e-09,5.462770087416225e-08,1.4472104203535232e-06,4.037054189851891e-06,5.126658580094415e-15,8.537042904506158e-06,8.813131006216935e-12,8.589489278365714e-10,1.3620155674863205e-09,1.1986902194519279e-07,2.6049605976981744e-14,2.4832661447259295e-12,5.8971137831636395e-06,2.4552666966494294e-06,7.871075507295899e-10,3.479200577243085e-06,5.621755033461681e-09
3.710723342597067e-12,0.11302162890393913,0.0,2.806166297560069,0.031070187063278586,0.3193706395862502,0.350459363124759,0.20698952664725734,0.09198564936806784,0.0,5.768151479805354e-20,2.1860023877728737e-06,1.390230679986269e-17,0.0,1.0558352191965408e-30,6.739487225473487e-11,3.0467014462444647e-22,8.216302325788191e-21,3.2990590563792224e-29,1.1602122950808256e-11,1.0078106547523535e-12,2.2055423964844042e-46,5.103304175712394e-09,1.5744173675831737e-30,3.829098082587642e-21,1.1861795635844957e-37,2.1864924870211298e-06,5.1756302713827606e-33,3.253926028039364e-05,2.1926370304401363e-05,2.977340635522361e-05,1.972675903000381e-05,1.3958267496446496e-05,1.141322155022649e-05,4.5694073154536516e-06,5.502235134145418e-07,5.146626273074139e-09,5.609661653737711e-08,1.4727844555142997e-06,4.097008234814306e-06,5.3293599284528405e-15,8.611005916534479e-06,8.889489796820454e-12,8.664189233402695e-10,1.3604190552975397e-09,1.2200865833667762e-07,2.656551835974918e-14,2.522397451989007e-12,5.9450002448610635e-06,2.468813124195743e-06,8.009948766332968e-10,3.5096274505534345e-06,5.824917321976481e-09
3.743057614750071e-12,0.11302162890393913,0.0,2.8061650926607906,0.031070148358600443,0.31937031357894763,0.3504591598903046,0.20698935985153263,0.09198557319183448,0.0,5.984005148585527e-20,2.205042934465877e-06,1.4268796330868766e-17,0.0,1.1121821240079387e-30,6.946645171377862e-11,3.153768873524618e-22,8.360108583894072e-21,3.3860517467750023e-29,1.1804211889362193e-11,1.0165919954049406e-12,2.303321982387075e-46,5.147743034962745e-09,1.6159330531452487e-30,3.964035825851574e-21,1.2494859688038433e-37,2.2055392148942356e-06,5.35803755655129e-33,3.261546416445651e-05,2.2074624700236506e-05,3.0106205540041953e-05,1.9880308937609404e-05,1.4048954501698926e-05,1.1528701216599841e-05,4.591764429568533e-06,5.602523183596599e-07,5.191810505628445e-09,5.759173857305898e-08,1.4985781763382456e-06,4.157257876622556e-06,5.538315504523383e-15,8.684950293389952e-06,8.965829369354896e-12,8.738870553739204e-10,1.358837837342124e-09,1.2416678691664372e-07,2.7087789388178252e-14,2.5617990935417503e-12,5.992798285151753e-06,2.4822634063149916e-06,8.150034447248105e-10,3.5400488064639104e-06,6.033552917884349e-09
3.775391886903075e-12,0.11302162890393913,0.0,2.806163889065568,0.03107010970979256,0.319369987778635,0.3504589569496694,0.20698919349466754,0.09198549847374092,0.0,6.20594897178757e-20,2.2240833488804977e-06,1.4641669221474227e-17,0.0,1.1710116958041369e-30,7.158431111544864e-11,3.2636298690144966e-22,8.505162369723365e-21,3.4745603825953583e-29,1.2008028567646276e-11,1.025373328989417e-12,2.4045391191328284e-46,5.192181567961745e-09,1.6581721950991853e-30,4.102504088006517e-21,1.315581886853849e-37,2.2245858162656525e-06,5.545218018441847e-33,3.2690211601653693e-05,2.2222256376589393e-05,3.04400419472681e-05,2.003356508114691e-05,1.4139202774635619e-05,1.1644361422699009e-05,4.613962691858544e-06,5.703744877361351e-07,5.237000575179073e-09,5.91132985444195e-08,1.5245913713009624e-06,4.217801010769468e-06,5.753665529575427e-15,8.758876039972585e-06,9.042149728940609e-12,8.813533244410038e-10,1.3572717783681404e-09,1.2634340314411896e-07,2.7616462444787653e-14,2.6014718484669977e-12,6.040507557753252e-06,2.4956184348841483e-06,8.291332498545946e-10,3.5704645477447785e-06,6.247759105436529e-09
3.807726159056079e-12,0.11302162890393913,0.0,2.8061626867469185,0.031070071116550534,0.3193696621844495,0.35045875430229123,0.2069890275745399,0.0919854251859402,0.0,6.434097271599265e-20,2.243123631037845e-06,1.502098053838586e-17,0.0,1.2324106077922211e-30,7.374910797159826e-11,3.376332441658881e-22,8.65146368229552e-21,3.564598057365652e-29,1.221357255035908e-11,1.0341546555243553e-12,2.509283656760094e-46,5.236619778970662e-09,1.7011410420548063e-30,4.244563710488144e-21,1.3845647141385231e-37,2.2436322907234195e-06,5.737253934355578e-33,3.2763530440702746e-05,2.236926797566833e-05,3.077491120479696e-05,2.0186528022510338e-05,1.4229014437251428e-05,1.1760200057489335e-05,4.636004426004276e-06,5.805900041452769e-07,5.282196481704108e-09,6.06615278597358e-08,1.5508238261098768e-06,4.278635563469891e-06,5.9755522233194354e-15,8.8327831611788e-06,9.118450880693983e-12,8.888177310454173e-10,1.3557207446064997e-09,1.2853850247787413e-07,2.8151581055866417e-14,2.641416530671946e-12,6.088127720951226e-06,2.508879094744862e-06,8.433842868734587e-10,3.600874576355562e-06,6.467633978970434e-09
3.840060431209083e-12,0.11302162890393913,0.0,2.8061614856778703,0.031070032578573357,0.3193693367955314,0.35045855194760955,0.20698886208903777,0.0919853533011179,0.0,6.668565376606855e-20,2.262163780958996e-06,1.540678534744846e-17,0.0,1.2964677791092138e-30,7.596150395326098e-11,3.491925003777267e-22,8.799012520640223e-21,3.6561778645829346e-29,1.2420843402313567e-11,1.0429359750282391e-12,2.617646997420051e-46,5.281057672232736e-09,1.744845842607939e-30,4.390276047338349e-21,1.4565343713236075e-37,2.26267863786183e-06,5.934228275356241e-33,3.283544799778238e-05,2.2515662128647657e-05,3.1110808978757476e-05,2.0339198322517235e-05,1.4318391601276675e-05,1.1876215021225962e-05,4.657891923398867e-06,5.908988474241969e-07,5.327398225181395e-09,6.223665776794297e-08,1.5772753237288666e-06,4.339759491235283e-06,6.2041198165692135e-15,8.90667166190148e-06,9.19473282972732e-12,8.962802756914623e-10,1.3541846037594594e-09,1.307520803764338e-07,2.8693188887285e-14,2.681633988533155e-12,6.135658437565036e-06,2.52204626375441e-06,8.577565506325545e-10,3.631278793447957e-06,6.693276440009372e-09
3.8723947033620874e-12,0.11302162890393913,0.0,2.8061602858319623,0.031069994095563307,0.31936901161102504,0.3504583498850643,0.2069886970360594,0.09198528279248193,0.0,6.909469619153729e-20,2.281203798664998e-06,1.5799138713654152e-17,0.0,1.3632744131216596e-30,7.822216488392958e-11,3.610456370921695e-22,8.94780888379712e-21,3.7493128977160415e-29,1.2629840688436989e-11,1.0517172875194621e-12,2.7297221086658606e-46,5.325495251973347e-09,1.7892928453404586e-30,4.53970296502427e-21,1.531593346398491e-37,2.2817248572813466e-06,6.136224706035893e-33,3.29059910667173e-05,2.266144145571371e-05,3.144773097305974e-05,2.0491576540910832e-05,1.440733636822683e-05,1.199240422540234e-05,4.67962744357437e-06,6.013009946619123e-07,5.3726058055885485e-09,6.383891935425769e-08,1.6039456444027307e-06,4.401170780453835e-06,6.439514563883274e-15,8.98054154703e-06,9.270995581148822e-12,9.037409588838324e-10,1.352663224988677e-09,1.3298413229808714e-07,2.924132974037169e-14,2.7221251045479168e-12,6.183099374913542e-06,2.5351208128362902e-06,8.722500359833743e-10,3.6616770993687897e-06,6.924786194311028e-09
3.9047289755150915e-12,0.11302162890393913,0.0,2.8061590871832256,0.031069955667226,0.3193686866300782,0.35045814811409676,0.20698853241351317,0.09198521363375257,0.0,7.156927332732057e-20,2.3002436841768678e-06,1.6198095701151678e-17,0.0,1.432924036043317e-30,8.05317607328592e-11,3.7319757617346285e-22,9.097852770815503e-21,3.844016250205689e-29,1.2840563973770828e-11,1.0604985930163295e-12,2.8456035367418435e-46,5.369932522400163e-09,1.8344882988203332e-30,4.692906842257352e-21,1.6098467380961979e-37,2.3007709485885114e-06,6.34332758428065e-33,3.297518592896829e-05,2.2806608566110416e-05,3.178567292894774e-05,2.0643663236362073e-05,1.4495850829451927e-05,1.2108765592698934e-05,4.701213214622628e-06,6.117964202154356e-07,5.41781922290295e-09,6.546854353583288e-08,1.6308345656815024e-06,4.462867446976146e-06,6.681884756185402e-15,9.054392821450256e-06,9.347239140062882e-12,9.111997811275988e-10,1.3511564789028915e-09,1.3523465370089982e-07,2.979604754785324e-14,2.7628907949918586e-12,6.230450204781128e-06,2.5481036060304584e-06,8.868647377777492e-10,3.6920693936630354e-06,7.1622637488650565e-09
3.9370632476680955e-12,0.11302162890393913,0.0,2.80615788970618,0.031069917293270313,0.3193683618518425,0.3504579466341494,0.20698836821931768,0.0919851457991527,0.0,7.411056849408332e-20,2.3192834375155914e-06,1.6603711373255635e-17,0.0,1.5055125358708258e-30,8.289096560839414e-11,3.8565327978068615e-22,9.24914418075402e-21,3.940301015464564e-29,1.3053012823470683e-11,1.0692798915370572e-12,2.965387419872607e-46,5.41436948770329e-09,1.8804384516016726e-30,4.849950569812461e-21,1.6914022996713055e-37,2.3198169113958624e-06,6.555621961036528e-33,3.30430583634311e-05,2.2951166058184836e-05,3.212463062455772e-05,2.0795458966471718e-05,1.4583937066185776e-05,1.2225297056932225e-05,4.722651433610737e-06,6.223850957258519e-07,5.463038477101752e-09,6.712576105744347e-08,1.6579418624446094e-06,4.524847535706312e-06,6.93138073336447e-15,9.128225490044695e-06,9.423463511569917e-12,9.186567429281993e-10,1.349664237545234e-09,1.3750364004272527e-07,3.0357386369858773e-14,2.8039320095826326e-12,6.2777106033839936e-06,2.5609955005432085e-06,9.016006508678454e-10,3.722455575076878e-06,7.405810408840026e-09
3.9693975198210995e-12,0.11302162890393913,0.0,2.806156693375822,0.031069878973408373,0.31936803727547286,0.3504577454446654,0.20698820445140168,0.09198507926339809,0.0,7.671977497283714e-20,2.338323058702123e-06,1.701604079245571e-17,0.0,1.5811382016372018e-30,8.530045775131842e-11,3.984177503535483e-22,9.401683112680403e-21,4.0381802868774205e-29,1.3267186802806221e-11,1.0780611830997736e-12,3.089171501552115e-46,5.458806152055431e-09,1.9271495522247656e-30,5.010897550347058e-21,1.7763704830356318e-37,2.33886274532185e-06,6.773193580075373e-33,3.310963365604809e-05,2.3095116519432444e-05,3.2464599874482186e-05,2.094696428777246e-05,1.4671597149594906e-05,1.2341996563003837e-05,4.743944266991158e-06,6.330669901343827e-07,5.508263568161881e-09,6.881080248720283e-08,1.685267306924879e-06,4.587109120198405e-06,7.188154896853596e-15,9.20203955769236e-06,9.499668700766332e-12,9.261118447914262e-10,1.3481863743802886e-09,1.3979108678121735e-07,3.092539038998616e-14,2.845249731149562e-12,6.324880251336656e-06,2.5737973467967e-06,9.16457770106164e-10,3.7528355415608277e-06,7.65552827448005e-09
4.0017317919741036e-12,0.11302162890393913,0.0,2.8061554981676156,0.031069840707355526,0.3193677129001281,0.3504575445450894,0.20698804110770358,0.09198501400168807,0.0,7.939809597989882e-20,2.357362547757388e-06,1.7435139020425795e-17,0.0,1.6599017629830285e-30,8.776091952823088e-11,4.114960305981864e-22,9.555469565671199e-21,4.137667157801169e-29,1.3483085477161072e-11,1.0868424677225187e-12,3.2170551438327016e-46,5.5032425196120256e-09,1.97462784921613e-30,5.175811698220419e-21,1.8648644832515532e-37,2.3579084499907545e-06,6.996128877760856e-33,3.317493660923574e-05,2.3238462526542203e-05,3.2805576529339536e-05,2.109817975573093e-05,1.4758833140827288e-05,1.2458862066849981e-05,4.765093851006531e-06,6.438420696984405e-07,5.55349449606004e-09,7.052389821231024e-08,1.7128106687323918e-06,4.649650302258237e-06,7.45236172218872e-15,9.2758350292689e-06,9.575854712744834e-12,9.335650872234135e-10,1.3467227642808216e-09,1.420969893738423e-07,3.150010391142977e-14,2.8868449753091154e-12,6.371958833618694e-06,2.5865099884781356e-06,9.314360903455371e-10,3.7832091902728837e-06,7.911520237951383e-09
4.034066064127108e-12,0.11302162890393913,0.0,2.8061543040574843,0.03106980249483032,0.31936738872497084,0.35045734393486677,0.20698787818617215,0.09198494998969621,0.0,8.214674464221268e-20,2.37640190470228e-06,1.7861061118033125e-17,0.0,1.7419064300451914e-30,9.027303742494388e-11,4.248932034729704e-22,9.710503538811489e-21,4.23877472156497e-29,1.3700708412032772e-11,1.0956237454232467e-12,3.349139340614046e-46,5.5476785945114e-09,2.022879591088553e-30,5.344757439312899e-21,1.9570002833827876e-37,2.376954025032602e-06,7.22451498281455e-33,3.3238991551132186e-05,2.338120664544149e-05,3.3147556475348724e-05,2.1249105924749826e-05,1.4845647091060815e-05,1.2575891535391054e-05,4.786102292089273e-06,6.547102980076663e-07,5.5987312607727095e-09,7.226527843482882e-08,1.7405717148781815e-06,4.712469211550371e-06,7.724157771546636e-15,9.349611909646618e-06,9.652021552594312e-12,9.410164707306244e-10,1.3452732835143934e-09,1.444213432778918e-07,3.208157135316868e-14,2.9287187901460762e-12,6.418946039541724e-06,2.5991342625885937e-06,9.46535606439127e-10,3.813576417581743e-06,8.173889980139288e-09
