Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2X(216),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(655),CH2OX(623),CHOX(653)
4.665901752706041e-11,0.07782336798655136,0.0,1.931326391950429,0.031075110263184432,0.3190453241884975,0.3502742401298128,0.20684044601835724,0.09197065931422932,0.0,1.1491502031208877e-22,4.859024037812846e-08,1.6774641912837241e-22,0.0,3.456470643067413e-33,1.4025067046855062e-08,5.544692504837012e-25,4.8948541039661585e-26,3.197794166614963e-37,3.536294978296454e-13,1.157909121381696e-17,9.326832121763305e-60,1.6966403513210888e-13,2.5814859457489494e-40,3.0920758994280626e-23,8.042949564404923e-43,4.832435531134367e-08,1.483096823827267e-39,4.7654124995551156e-05,0.000249771157467971,0.00022414686332483005,0.00021050341948728268,8.071444920622044e-05,9.652441761882277e-05,1.052277580377166e-06,8.448578660410114e-06,8.43226357310673e-12,1.560157165686838e-06,7.956312964961128e-06,8.443672864100187e-06,1.2009775477846365e-11,9.096259293483083e-05,8.307262955086785e-14,5.4405983298287007e-11,2.9101771756374986e-12,9.7055548177901e-08,7.239481769893108e-14,6.343098454200932e-12
4.671363949848752e-11,0.07782336798655136,0.0,1.9313252898766828,0.031075110263184432,0.3190449153641431,0.35027401440399747,0.20684031095492794,0.0919706598108375,0.0,1.156383035751133e-22,4.864710654376937e-08,1.6837178169884867e-22,0.0,3.480798973523265e-33,1.407912846889653e-08,5.570665256455816e-25,4.9063175756554994e-26,3.209035734131479e-37,3.544573958034867e-13,1.159264163979507e-17,9.381543799110906e-60,1.6991034096232518e-13,2.590560934419815e-40,3.1065597341976447e-23,8.099559146330173e-43,4.8380600182008785e-08,1.490051438897303e-39,4.765411563031218e-05,0.00025002265298704196,0.00022445677736159482,0.00021072908843643008,8.074300354026705e-05,9.663904191175302e-05,1.0536614145127046e-06,8.467957066879136e-06,8.451816509897118e-12,1.5655399763215035e-06,7.97402901469009e-06,8.465128588454794e-06,1.2069391860878323e-11,9.106887467257561e-05,8.316967144539401e-14,5.4469610315383994e-11,2.910161664201558e-12,9.728280423878592e-08,7.272737233976359e-14,6.3796444223611846e-12
4.676826146991464e-11,0.07782336798655136,0.0,1.9313241878193144,0.031075110263184432,0.31904450657754446,0.3502737887239655,0.20684017596030738,0.09197066030876087,0.0,1.1636525763487514e-22,4.870397267276794e-08,1.6899878268851607e-22,0.0,3.505269783229195e-33,1.413333931741468e-08,5.596729063555972e-25,4.917794447428273e-26,3.220303612505479e-37,3.5528626053595633e-13,1.1606192056927084e-17,9.436511911031812e-60,1.701567705368072e-13,2.5996571630726538e-40,3.121094345086876e-23,8.156500259165627e-43,4.843684429424607e-08,1.497030479078264e-39,4.765410629204325e-05,0.0002502740629254643,0.000224766799225647,0.0002109547116022825,8.077148925742994e-05,9.675366337581627e-05,1.0550453538806607e-06,8.487356404355051e-06,8.47139198426993e-12,1.5709348845802557e-06,7.991762424171513e-06,8.486612588843934e-06,1.212923731098092e-11,9.117515595305534e-05,8.326675943786697e-14,5.4533237122340807e-11,2.9101463504627954e-12,9.751032562744533e-08,7.306105955316707e-14,6.416358018022452e-12
4.6822883441341754e-11,0.07782336798655136,0.0,1.9313230857781503,0.031075110263184432,0.3190440978286898,0.35027356308970753,0.20684004103433107,0.09197066080800145,0.0,1.170958966411474e-22,4.8760838765131615e-08,1.6962742466924064e-22,0.0,3.5298837387858185e-33,1.4187699850524306e-08,5.622884138235068e-25,4.9292847192602806e-26,3.231597832474022e-37,3.561160920228951e-13,1.1619742465217503e-17,9.491737358002673e-60,1.7040332389674522e-13,2.6087746565205794e-40,3.135679850362897e-23,8.21377445398614e-43,4.8493087648073955e-08,1.5040340014689845e-39,4.7654096980751556e-05,0.00025052538731620496,0.00022507692890240955,0.00021118028899409964,8.079990652198275e-05,9.686828199105141e-05,1.0564293981950773e-06,8.506776667587642e-06,8.490989995865432e-12,1.5763419027138423e-06,8.009513185100474e-06,8.508124867468862e-06,1.2189312458148029e-11,9.128143677630718e-05,8.336388519573479e-14,5.459686372756951e-11,2.9101312360707326e-12,9.773811234248228e-08,7.339588183178137e-14,6.453239811692894e-12
4.687750541276887e-11,0.07782336798655136,0.0,1.9313219837530187,0.031075110263184432,0.3190436891175676,0.3502733375012145,0.20683990617683515,0.09197066130856127,0.0,1.1783023477601699e-22,4.881770482086783e-08,1.7025771021439753e-22,0.0,3.55464150882239e-33,1.4242210326520465e-08,5.649130692803291e-25,4.940788391127336e-26,3.242918424774127e-37,3.569468902601444e-13,1.1633292864670824e-17,9.54722104233039e-60,1.7065000108332194e-13,2.61791343957667e-40,3.1503163684113783e-23,8.271383286586834e-43,4.854933024351089e-08,1.5110620632261597e-39,4.7654087696444183e-05,0.0002507766261922217,0.00022538716637729675,0.00021140582062113947,8.082825549785656e-05,9.698289773750963e-05,1.057813547170173e-06,8.52621785132389e-06,8.510610544323916e-12,1.5817610429687602e-06,8.027281289171492e-06,8.529665426525204e-06,1.2249617933309966e-11,9.138771714236831e-05,8.346091719873481e-14,5.4660490262892746e-11,2.910116318477246e-12,9.796616438250404e-08,7.373184167093632e-14,6.49029037497221e-12
4.6932127384195984e-11,0.07782336798655136,0.0,1.9313208817437477,0.031075110263184432,0.319043280444166,0.35027311195847693,0.20683977138765614,0.09197066181044235,0.0,1.1856828626679952e-22,4.887457083998399e-08,1.7088964189947269e-22,0.0,3.5795437648089685e-33,1.4296871003950354e-08,5.675468939868116e-25,4.952305463005264e-26,3.2542654201427448e-37,3.5777865524354546e-13,1.1646843255291523e-17,9.602963868883185e-60,1.7089680213770989e-13,2.627073537053953e-40,3.1650040177837287e-23,8.329328319372872e-43,4.860557208057533e-08,1.5181147215873978e-39,4.765407843912792e-05,0.00025102777958646013,0.00022569751163570946,0.00021163130649265774,8.085653634850504e-05,9.70975105952592e-05,1.0591978005204063e-06,8.545679950306856e-06,8.530253629285676e-12,1.5871923175855592e-06,8.045066728078261e-06,8.5512342682007e-06,1.2310154368708007e-11,9.149399705127576e-05,8.355791053167189e-14,5.472411667319059e-11,2.9101016018277893e-12,9.819448174611173e-08,7.40689415683335e-14,6.527510280987989e-12
4.69867493556231e-11,0.07782336798655136,0.0,1.9313197797501658,0.031075110263184432,0.31904287180847357,0.3502728864614857,0.20683963666663083,0.09197066231364669,0.0,1.1931006536869695e-22,4.893143682248756e-08,1.715232223012502e-22,0.0,3.604591179971904e-33,1.4351682141516114e-08,5.7018990922196535e-25,4.9638359348698947e-26,3.2656388493167925e-37,3.586113869689401e-13,1.1660393637084072e-17,9.658966744107705e-60,1.7114372710107508e-13,2.636254973765425e-40,3.1797429171331753e-23,8.387611118835988e-43,4.8661813159285696e-08,1.525192033840016e-39,4.765406920880951e-05,0.0002512788475318575,0.0002260079646630407,0.00021185674661790868,8.088474923708953e-05,9.721212054437886e-05,1.0605821579603872e-06,8.5651629592772e-06,8.549919250391036e-12,1.5926357388011348e-06,8.06286949351401e-06,8.572831394678263e-06,1.2370922397389739e-11,9.160027650306645e-05,8.365506957091679e-14,5.4787742753891875e-11,2.9100870797732684e-12,9.842306443191723e-08,7.44071840231375e-14,6.564900103808354e-12
4.7041371327050215e-11,0.07782336798655136,0.0,1.9313186777721028,0.031075110263184432,0.31904246321047836,0.35027266101023147,0.20683950201359644,0.09197066281817635,0.0,1.2005558638121039e-22,4.898830276838594e-08,1.721584539985779e-22,0.0,3.6297844303245756e-33,1.440664399816629e-08,5.728421362938457e-25,4.975379806697073e-26,3.2770387430331237e-37,3.594450854321706e-13,1.1673944010052927e-17,9.715230576958332e-60,1.7139077601457353e-13,2.6454577745240327e-40,3.194533185274874e-23,8.446233257952822e-43,4.871805347966043e-08,1.5322940573503872e-39,4.765406000549545e-05,0.0002515298300613392,0.00022631852544467137,0.00021208214100614434,8.09128943263072e-05,9.732672756496407e-05,1.061966619204961e-06,8.584666872971759e-06,8.569607407280326e-12,1.598091318846568e-06,8.080689577171171e-06,8.5944568081331e-06,1.2431922653685666e-11,9.170655549777715e-05,8.375225493702415e-14,5.485136864460348e-11,2.910072761466698e-12,9.865191243851678e-08,7.47465715369848e-14,6.6024604189966724e-12
4.709599329847733e-11,0.07782336798655136,0.0,1.931317575809387,0.031075110263184432,0.31904205465016894,0.3502724356047051,0.20683936742839057,0.09197066332403332,0.0,1.2080486363212254e-22,4.904516867768656e-08,1.7279533957161696e-22,0.0,3.655124193665757e-33,1.4461756833006104e-08,5.755035965289663e-25,4.98693707846265e-26,3.2884651320285536e-37,3.602797506290793e-13,1.1687494374202542e-17,9.771756277989455e-60,1.7163794891935456e-13,2.654681964142692e-40,3.2093749411268857e-23,8.505196313854312e-43,4.877429304171797e-08,1.539420849535127e-39,4.765405082919211e-05,0.0002517807272078228,0.0002266291939659744,0.00021230748966661537,8.094097177856114e-05,9.744133163712082e-05,1.0633511839691259e-06,8.604191686124951e-06,8.589318099593898e-12,1.6035590699492455e-06,8.098526970741711e-06,8.616110510735542e-06,1.249315577274246e-11,9.181283403544468e-05,8.384916445490954e-14,5.491499464815126e-11,2.9100586324984393e-12,9.888102576452982e-08,7.508710661492988e-14,6.640191803069065e-12
4.7150615269904445e-11,0.07782336798655136,0.0,1.9313164738618493,0.031075110263184432,0.31904164612753333,0.35027221024489735,0.20683923291085127,0.09197066383121968,0.0,1.2155791149173306e-22,4.9102034550396844e-08,1.7343388160250604e-22,0.0,3.680611150473274e-33,1.4517020905376797e-08,5.781743112816525e-25,4.9985077501424895e-26,3.299918047039839e-37,3.6111538255550895e-13,1.170104472953735e-17,9.828544760161464e-60,1.7188524585655813e-13,2.6639275674342716e-40,3.2242683037623187e-23,8.564501869905054e-43,4.8830531845476744e-08,1.546572467886551e-39,4.765404167990571e-05,0.0002520315390042136,0.0002269399702123101,0.00021253279260857017,8.096898175581152e-05,9.755593274097111e-05,1.0647358519681052e-06,8.623737393467534e-06,8.609051326972108e-12,1.6090390043309838e-06,8.11638166591684e-06,8.63779250464856e-06,1.2554622390936715e-11,9.191911211610558e-05,8.394624518124476e-14,5.4978620316767115e-11,2.9100447091356915e-12,9.911040440854676e-08,7.542879176361892e-14,6.678094833975564e-12
4.720523724133156e-11,0.07782336798655136,0.0,1.931315371929319,0.031075110263184432,0.3190412376425602,0.3502719849307988,0.20683909846081677,0.09197066433973743,0.0,1.2231474437052746e-22,4.915890038652421e-08,1.740740826752503e-22,0.0,3.706245983760837e-33,1.457243647484225e-08,5.808543019324619e-25,5.010091821712465e-26,3.3113975188036825e-37,3.61951981207303e-13,1.1714595076061779e-17,9.885596938708187e-60,1.7213266686731466e-13,2.673194609211595e-40,3.2392133924005336e-23,8.624151515370198e-43,4.888676989095518e-08,1.5537489699683812e-39,4.765403255764228e-05,0.0002522822654834063,0.00022725085416902793,0.00021275804984125508,8.099692441960205e-05,9.767053085665202e-05,1.0661206229173355e-06,8.643303989726842e-06,8.628807089055347e-12,1.6145311342083473e-06,8.134253654387085e-06,8.65950279202819e-06,1.2616323145806373e-11,9.202538973979643e-05,8.404348404543323e-14,5.504224566364671e-11,2.910030982299756e-12,9.934004836918273e-08,7.577162949148046e-14,6.716170091020744e-12
4.7254397015615965e-11,0.07782336798655136,0.0,1.9313143802027337,0.031075110263184432,0.31904087003827597,0.3502717821871839,0.2068389775133693,0.09197066479854342,0.0,1.2299914209022654e-22,4.921007960776657e-08,1.7465168425844255e-22,0.0,3.729444334336538e-33,1.4622440232056494e-08,5.832742420997518e-25,5.020528943011576e-26,3.321751774818424e-37,3.6270574654066853e-13,1.1726790380404547e-17,9.937170117774601e-60,1.7235545189387165e-13,2.6815532972242657e-40,3.252708296540425e-23,8.678131710257728e-43,4.893738348357133e-08,1.560229145055948e-39,4.7654024370714724e-05,0.00025250784639565524,0.00022753074181033482,0.00021296074227688673,8.102201539724236e-05,9.777366658947328e-05,1.0673670045590617e-06,8.660931782023848e-06,8.646606541805842e-12,1.6194844883401898e-06,8.150353222909399e-06,8.679066243361105e-06,1.2672054539753434e-11,9.212103921043879e-05,8.41307222597621e-14,5.50995086134481e-11,2.910018795668141e-12,9.954695477831221e-08,7.60811709775541e-14,6.750585555417725e-12
4.730355678990037e-11,0.07782336798655136,0.0,1.9313133884880438,0.031075110263184432,0.31904050246448024,0.3502715794805794,0.20683885662035292,0.09197066525843094,0.0,1.236866279293612e-22,4.92612587993882e-08,1.7523063364584908e-22,0.0,3.7527635208380835e-33,1.4672567101806918e-08,5.857017286987267e-25,5.030976918184587e-26,3.3321275891064174e-37,3.634602949151823e-13,1.1738985677617702e-17,9.988958303755662e-60,1.725783374832893e-13,2.6899293885972427e-40,3.266245282497278e-23,8.732393074662696e-43,4.8987996462008755e-08,1.5667295646905343e-39,4.7654016205684725e-05,0.0002527333582515773,0.00022781071667448276,0.00021316339770223613,8.104705209881304e-05,9.787679987133661e-05,1.0686134691529547e-06,8.67857648622227e-06,8.66442424711399e-12,1.624447739614855e-06,8.166466786211188e-06,8.698652615707027e-06,1.272797656777432e-11,9.221668831099139e-05,8.421801715532581e-14,5.5156771374308323e-11,2.910006769646365e-12,9.975407609175662e-08,7.639164991991586e-14,6.785141417099948e-12
4.7352716564184774e-11,0.07782336798655136,0.0,1.9313123967851276,0.031075110263184432,0.3190401349211647,0.3502713768109785,0.2068387357816506,0.0919706657194015,0.0,1.24377212468399e-22,4.9312437961394494e-08,1.7581093272469393e-22,0.0,3.776204045941951e-33,1.4722817273731009e-08,5.881367773647302e-25,5.04143574721393e-26,3.3425249840746146e-37,3.6421562632781495e-13,1.1751180967704445e-17,1.004096216811011e-59,1.7280132366553463e-13,2.6983229014189882e-40,3.2798244374547223e-23,8.786936778233848e-43,4.9038608826280905e-08,1.5732502709692556e-39,4.76540080625564e-05,0.0002529588010751321,0.00022809077875077022,0.00021336601612404027,8.10720346413068e-05,9.79799306877899e-05,1.0698600164919679e-06,8.696238098471946e-06,8.682260204717655e-12,1.6294208969284159e-06,8.182594338233584e-06,8.718261910624773e-06,1.2784089696803576e-11,9.231233704148056e-05,8.430550306098909e-14,5.521403381173644e-11,2.909994903594284e-12,9.996141230850105e-08,7.670306815230591e-14,6.8198381009128365e-12
4.740187633846918e-11,0.07782336798655136,0.0,1.9313114050938613,0.031075110263184432,0.3190397674083205,0.3502711741783743,0.20683861499714565,0.09197066618145655,0.0,1.2507090631353153e-22,4.936361709379086e-08,1.7639258338339123e-22,0.0,3.7997664139540325e-33,1.4773190937608101e-08,5.905794037498057e-25,5.0519054300820435e-26,3.3529439821299348e-37,3.6497174077553663e-13,1.1763376250667977e-17,1.00931823837508e-59,1.7302441047056896e-13,2.7067338537779423e-40,3.2934458486894876e-23,8.841763994411282e-43,4.90892205764012e-08,1.5797913060346886e-39,4.765399994133376e-05,0.0002531841748902717,0.00022837092802848903,0.0002135685975490347,8.109696314145363e-05,9.80830590243906e-05,1.0711066463691903e-06,8.713916614920517e-06,8.700114414354724e-12,1.6344039691735965e-06,8.198735872917277e-06,8.737894129668764e-06,1.2840394394517364e-11,9.240798540193268e-05,8.439289597223659e-14,5.5271296210220617e-11,2.9099831975002843e-12,1.0016896342752935e-07,7.701542751004422e-14,6.854676032566891e-12
4.745103611275358e-11,0.07782336798655136,0.0,1.9313104134141237,0.031075110263184432,0.3190393999259395,0.35027097158276027,0.2068384942667215,0.09197066664459763,0.0,1.257677200956141e-22,4.94147961965827e-08,1.7697558751149546e-22,0.0,3.823451130743369e-33,1.4823688283353426e-08,5.930296235219941e-25,5.062385966771374e-26,3.36338460567926e-37,3.657286382553183e-13,1.1775571526511495e-17,1.014561962498458e-59,1.7324759792834779e-13,2.715162263762515e-40,3.307109603567492e-23,8.896875900272253e-43,4.9139831712383075e-08,1.5863527120729613e-39,4.765399184202068e-05,0.00025340947972094175,0.00022865116449692397,0.00021377114198395364,8.11218377157321e-05,9.818618486670541e-05,1.0723533585778411e-06,8.731612031713544e-06,8.717986875763083e-12,1.6393969652399132e-06,8.214891384202548e-06,8.757549274389196e-06,1.2896891129302473e-11,9.250363339237398e-05,8.448013701103421e-14,5.532855862881058e-11,2.9099716510730016e-12,1.0037672944782617e-07,7.732872983043736e-14,6.889655638602317e-12
