Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),HNOH(93),H2NX(201),H3NX(202)
2.0130140063683964e-09,0.07782336798655136,0.0,0.0019072365073033839,0.031076964068518967,0.3193986712197366,0.3504813795776594,0.2070082681740591,0.09202463636422932,0.0,1.2607623056220218e-18,2.0969678446485115e-06,1.14348483074442e-17,0.0,2.1514912623741542e-26,1.7538262716981607e-06,1.8579013160728704e-21,7.835670244326616e-20,2.5692438958293366e-32,6.442665902159221e-13,4.997129704577469e-16,1.3950444623751758e-51,5.8662144131701876e-12,2.07400105546779e-35,1.026887653911603e-19,5.006469795794151e-36,2.032815087674748e-06,5.057748885686461e-36,4.9010307270391554e-08,1.4126230045486697e-06,8.536691295656892e-06,1.3153854315629907e-06,9.156935268142812e-08,4.5563736479662013e-07,1.72737402860995e-08,4.594628834943322e-07,1.5440440164646813e-08,6.1761141168919e-06,4.930371060840085e-07,2.165240392282207e-06,2.0860403404531122e-10,3.784612237461857e-06,1.245899838350566e-11,7.581146246391393e-08,5.9297720640518615e-08,1.5562665346344581e-09,8.368238167151879e-08
2.0232974342602777e-09,0.07782336798655136,0.0,0.0019071767919792708,0.031076974068785998,0.3193986231528762,0.35048136887984427,0.2070082486866597,0.09202468596650079,0.0,1.2705996675870983e-18,2.1076801108946496e-06,1.1611574416978208e-17,0.0,2.217776492635887e-26,1.7685997296341057e-06,1.8957306303300243e-21,7.915926076016325e-20,2.6088167978566027e-32,6.507633741701952e-13,5.022653139084534e-16,1.4310406104899764e-51,5.896582633862309e-12,2.1059461655891023e-35,1.0477451658865325e-19,5.160710370344762e-36,2.0428770692038496e-06,5.161298658357623e-36,4.900762670844608e-08,1.412825544390415e-06,8.541184871255177e-06,1.3153699146897356e-06,9.156646950189665e-08,4.555524936605878e-07,1.726818856052324e-08,4.5936943128851214e-07,1.5595984316835286e-08,6.21162596667168e-06,4.948661308393767e-07,2.163635592709137e-06,2.0966968436942138e-10,3.8028674578140216e-06,1.2592677668305289e-11,7.704638449886126e-08,5.98458654831823e-08,1.5554202921764557e-09,8.368104124073903e-08
2.033580862152159e-09,0.07782336798655136,0.0,0.0019071171434376438,0.03107698406919051,0.3193985750943756,0.35048135818298504,0.20700822920090994,0.0920247355754124,0.0,1.280433455339676e-18,2.118392376812016e-06,1.1790118132981141e-17,0.0,2.2857491343466271e-26,1.7833886662699324e-06,1.9341298038712996e-21,7.996590767744558e-20,2.6487939426401723e-32,6.572914076412597e-13,5.048176530193283e-16,1.4677759735377434e-51,5.926956129927505e-12,2.1382176098119242e-35,1.0689155636519442e-19,5.318877290760272e-36,2.0529358402828534e-06,5.2664227388850683e-36,4.900493160488925e-08,1.4130245521980445e-06,8.545638427142217e-06,1.315353442381946e-06,9.15635897602738e-08,4.554679720569781e-07,1.7262563098754744e-08,4.592766817687168e-07,1.575229253447091e-08,6.247127852498719e-06,4.966959120740281e-07,2.1620183962091215e-06,2.1073533473340423e-10,3.8211080255460545e-06,1.2727024842793031e-11,7.829430539594945e-08,6.039642154742724e-08,1.554582421266791e-09,8.36797072443798e-08
2.0438642900440402e-09,0.07782336798655136,0.0,0.0019070575596980906,0.03107699406973418,0.3193985270441098,0.3504813474870443,0.20700820971680825,0.09202478519052236,0.0,1.2902636281025944e-18,2.1291046424006303e-06,1.1970488913249403e-17,0.0,2.3554431672985836e-26,1.7981929534003602e-06,1.9731043983392244e-21,8.077664318700599e-20,2.689177383711152e-32,6.638506654855106e-13,5.073699877903478e-16,1.5052618782108744e-51,5.957334942557063e-12,2.1708170462035872e-35,1.0904018741559728e-19,5.481049618819086e-36,2.0629914019382487e-06,5.373136784265916e-36,4.9002222512524544e-08,1.4132201368180202e-06,8.550053295274079e-06,1.3153360518861472e-06,9.156071335420262e-08,4.5538378670076636e-07,1.7256866507577202e-08,4.5918462031549705e-07,1.590936458979485e-08,6.282619804590037e-06,4.985264630551213e-07,2.1603892851899434e-06,2.1180098513733556e-10,3.839333881497637e-06,1.2862038994576318e-11,7.95552859838079e-08,6.094938808219087e-08,1.5537526533055063e-09,8.367837960127261e-08
2.0541477179359215e-09,0.07782336798655136,0.0,0.00190699803884283,0.0310770040704187,0.3193984790019581,0.3504813367919863,0.20700819023435305,0.0920248348114037,0.0,1.30009014921311e-18,2.1398169076605123e-06,1.2152696219230461e-17,0.0,2.4268930751900554e-26,1.813012467152464e-06,2.0126599994553664e-21,8.159146728073727e-20,2.7299691745901614e-32,6.704411224580954e-13,5.099223182214872e-16,1.5435097663030456e-51,5.987719113057458e-12,2.2037461328290435e-35,1.112207137040459e-19,5.647307588652753e-36,2.0730437551962015e-06,5.4814565237281393e-36,4.899949996600744e-08,1.4134124038503392e-06,8.554430766279219e-06,1.315317779012568e-06,9.155784018455901e-08,4.552999247850991e-07,1.7251101308544542e-08,4.5909323237320763e-07,1.6067200255121243e-08,6.318101851934358e-06,5.003577970811032e-07,2.1587487262292902e-06,2.1286663558129134e-10,3.857544966584894e-06,1.2997719206008905e-11,8.082938696909561e-08,6.150476433502877e-08,1.5529307285665058e-09,8.367705823347947e-08
2.0644311458278028e-09,0.07782336798655136,0.0,0.0019069385790147538,0.03107701407124574,0.31939843096780335,0.35048132609777644,0.20700817075354294,0.09202488443764355,0.0,1.309912985984951e-18,2.1505291725916783e-06,1.2336749516051312e-17,0.0,2.5001338504023372e-26,1.8278470878556766e-06,2.052802216970901e-21,8.241037995053227e-20,2.7711713687873307e-32,6.770627532130457e-13,5.124746443127226e-16,1.5825311952908293e-51,6.018108682847473e-12,2.2370065277509072e-35,1.134334404610182e-19,5.817732617857559e-36,2.0830929010825514e-06,5.591397758631713e-36,4.8996764482397065e-08,1.413601455743146e-06,8.558772090750187e-06,1.3152986581902243e-06,9.155497015535137e-08,4.5521637396339626e-07,1.724526994062057e-08,4.5900250346628025e-07,1.6225799302837163e-08,6.35357402233258e-06,5.021899274653304e-07,2.1570971705616427e-06,2.1393228606534726e-10,3.8757412218022956e-06,1.3134064554245007e-11,8.211666893601861e-08,6.206254955217336e-08,1.5521163958936783e-09,8.367574306617346e-08
2.074714573719684e-09,0.07782336798655136,0.0,0.001906879178415532,0.031077024072216967,0.31939838294153206,0.35048131540438193,0.20700815127437638,0.09202493406884311,0.0,1.3197321095746336e-18,2.161241437194145e-06,1.2522658272546915e-17,0.0,2.575200998795521e-26,1.8426966999156982e-06,2.0935366846170666e-21,8.323338118828376e-20,2.8127860198023023e-32,6.83715532303413e-13,5.150269660640292e-16,1.622337838915314e-51,6.048503693455393e-12,2.2705998890294985e-35,1.1567867418020386e-19,5.992407318650068e-36,2.093138840622811e-06,5.702976362369334e-36,4.899401656169301e-08,1.4137873918847041e-06,8.563078480495644e-06,1.3152787225198796e-06,9.155210317362294e-08,4.5513312233212323e-07,1.723937476274124e-08,4.5891241921411893e-07,1.6385161505402605e-08,6.389036342437067e-06,5.040228675207244e-07,2.155435054550877e-06,2.1499793658957904e-10,3.893922588224509e-06,1.3271074111291441e-11,8.341719234585012e-08,6.26227429785906e-08,1.5513094124084711e-09,8.367443402752306e-08
2.0849980016115653e-09,0.07782336798655136,0.0,0.0019068198353037775,0.03107703407333405,0.31939833492303443,0.35048130471177075,0.2070081317968521,0.09202498370461676,0.0,1.3295474948518533e-18,2.171953701467929e-06,1.2710431961288629e-17,0.0,2.652130544522721e-26,1.8575611916921339e-06,2.134869060055517e-21,8.406047098588457e-20,2.854815181124227e-32,6.903994341814082e-13,5.175792834753831e-16,1.6629414877637115e-51,6.078904186516324e-12,2.3045278747228855e-35,1.1795672261541669e-19,6.171415509065471e-36,2.1031815748421683e-06,5.8162082802667994e-36,4.899125668735767e-08,1.4139703086928236e-06,8.567351109754567e-06,1.3152580038249952e-06,9.154923914935707e-08,4.5505015841419655e-07,1.7233418056301476e-08,4.588229653447289e-07,1.6545286635350436e-08,6.424488837789812e-06,5.058566305454071e-07,2.1537628001492508e-06,2.1606358715406248e-10,3.9120890070082076e-06,1.3408746944058621e-11,8.47310175364536e-08,6.318534385803435e-08,1.55050954322717e-09,8.367313104858092e-08
2.0952814295034466e-09,0.07782336798655136,0.0,0.001906760547993261,0.03107704407459866,0.319398286912204,0.35048129401991224,0.2070081123209686,0.09202503334459197,0.0,1.3393591202739317e-18,2.182665965413044e-06,1.2900080058612658e-17,0.0,2.7309590348630826e-26,1.8724404553798487e-06,2.176805024828562e-21,8.48916493352275e-20,2.897260906231769e-32,6.97114433198543e-13,5.201315965467599e-16,1.7043540498509732e-51,6.1093102037695764e-12,2.3387921428869305e-35,1.2026789477750198e-19,6.354842224199609e-36,2.1132211047654872e-06,5.931109529482956e-36,4.898848532682338e-08,1.414150299701765e-06,8.571591116372654e-06,1.315236532700699e-06,9.154637799538558e-08,4.5496747114301864e-07,1.7227402027567364e-08,4.5873412770711435e-07,1.6706174465286368e-08,6.459931532859448e-06,5.076912298092889e-07,2.1520808153427647e-06,2.1712923775887317e-10,3.930240419393834e-06,1.3547082114412283e-11,8.60582047218091e-08,6.375035143309888e-08,1.5497165611881737e-09,8.367183406317651e-08
2.105564857395328e-09,0.07782336798655136,0.0,0.0019067013148511864,0.03107705407601244,0.3193982389089376,0.3504812833287771,0.20700809284672467,0.09202508298840865,0.0,1.3491669677641432e-18,2.1933782290295044e-06,1.3091612044648496e-17,0.0,2.8117235450732377e-26,1.887334386893873e-06,2.2193502843093026e-21,8.572691622820537e-20,2.940125248593098e-32,7.038605036057746e-13,5.226839052781355e-16,1.746587551201395e-51,6.139721787056165e-12,2.3733943515753273e-35,1.22612500931238e-19,6.54277372749386e-36,2.1232574314173034e-06,6.047696198909275e-36,4.898570293198575e-08,1.4143274556467142e-06,8.57579960294278e-06,1.3152143385608843e-06,9.154351962729985e-08,4.5488504984710744e-07,1.722132881001874e-08,4.586458922825472e-07,1.686782476788892e-08,6.495364451077173e-06,5.095266785415479e-07,2.1503894945834985e-06,2.1819488840408673e-10,3.948376766707324e-06,1.3686078679223397e-11,8.739881399154226e-08,6.431776494526934e-08,1.5489302465895265e-09,8.367054300781243e-08
2.115848285287209e-09,0.07782336798655136,0.0,0.0019066421342965136,0.031077064077577043,0.31939819091313537,0.350481272638337,0.20700807337411892,0.09202513263571897,0.0,1.3589710225937961e-18,2.2040904923173214e-06,1.3285037403347362e-17,0.0,2.8944616832570953e-26,1.9022428857577449e-06,2.262510567651656e-21,8.656627165671102e-20,2.983410261665902e-32,7.106376195536543e-13,5.252362096694855e-16,1.789654136430224e-51,6.1701389783163755e-12,2.408336158839648e-35,1.249908525922328e-19,6.735297522062642e-36,2.13329055582183e-06,6.165984449069048e-36,4.898290993968326e-08,1.4145018645459034e-06,8.579977637910548e-06,1.3151914496835149e-06,9.154066396336435e-08,4.54802884235297e-07,1.721520046662203e-08,4.585582451947837e-07,1.7030237315909415e-08,6.5307876148715795e-06,5.113629899189545e-07,2.148689219209293e-06,2.192605390897789e-10,3.966497990361791e-06,1.3825735690416233e-11,8.875290531045654e-08,6.488758363497016e-08,1.5481503869353392e-09,8.366925782156444e-08
2.1261317131790904e-09,0.07782336798655136,0.0,0.0019065830047983378,0.031077074079294133,0.31939814292470076,0.35048126194856477,0.2070080539031501,0.09202518228618685,0.0,1.3687712732679625e-18,2.2148027552765083e-06,1.3480365622510661e-17,0.0,2.9792115952538815e-26,1.91716585499519e-06,2.3062916277402806e-21,8.740971561263731e-20,3.0271179988973756e-32,7.174457550924779e-13,5.277885097207858e-16,1.8335660693252593e-51,6.200561819587425e-12,2.443619222729385e-35,1.2740326252381533e-19,6.93250236206336e-36,2.143320479002952e-06,6.285990512016192e-36,4.898010677216364e-08,1.414673611780441e-06,8.584126256646056e-06,1.315167893254214e-06,9.1537810924433e-08,4.547209643824889e-07,1.7209018992035288e-08,4.584711727192945e-07,1.7193411882171906e-08,6.5662010457024675e-06,5.132001770549974e-07,2.146980357851152e-06,2.203261898160254e-10,3.984604031859167e-06,1.3966052195017693e-11,9.01205385180683e-08,6.545980674161194e-08,1.54737677669072e-09,8.366797844598507e-08
2.1364151410709716e-09,0.07782336798655136,0.0,0.0019065239248743121,0.031077084081165343,0.31939809494353993,0.35048125125943436,0.20700803443381707,0.09202523193948749,0.0,1.3785677114147605e-18,2.225515017907077e-06,1.3677606193818421e-17,0.0,3.066011969544413e-26,1.932103201025052e-06,2.35069924114039e-21,8.825724808787714e-20,3.0712505137242215e-32,7.242848841724388e-13,5.303408054320119e-16,1.8783357334284546e-51,6.2309903530012016e-12,2.4792452012919927e-35,1.298500447339218e-19,7.13447826410871e-36,2.153347201984231e-06,6.407730691233682e-36,4.8977293837536503e-08,1.4148427801718979e-06,8.588246462482679e-06,1.3151436954081864e-06,9.153496043386811e-08,4.546392807159366e-07,1.7202786314748758e-08,4.5838466129156486e-07,1.7357348239573174e-08,6.601604764093592e-06,5.150382529897822e-07,2.1452632668286176e-06,2.2139184058290192e-10,4.002694832791812e-06,1.4107027235205023e-11,9.150177332814523e-08,6.603443350363637e-08,1.5466092170459018e-09,8.36667048250106e-08
2.146698568962853e-09,0.07782336798655136,0.0,0.001906464893089123,0.031077094083192335,0.31939804696956237,0.3504812405709206,0.20700801496611854,0.09202528159530725,0.0,1.3883603316781014e-18,2.236227280209036e-06,1.3876768612857736e-17,0.0,3.154902042175561e-26,1.9470548335593983e-06,2.3957392080474688e-21,8.910886907432337e-20,3.115809859572656e-32,7.311549806437851e-13,5.328930968031397e-16,1.923975632617513e-51,6.261424620782077e-12,2.5152157525729305e-35,1.323315144719764e-19,7.341316518721257e-36,2.1633707257889014e-06,6.531221361531585e-36,4.897447153021331e-08,1.415009450057712e-06,8.592339227723762e-06,1.315118881270541e-06,9.153211241746173e-08,4.5455782400204517e-07,1.7196504299161485e-08,4.5829869751451937e-07,1.7522046161082715e-08,6.636998789664432e-06,5.16877230680662e-07,2.1435382905334403e-06,2.224574913904843e-10,4.0207703348440724e-06,1.4248659848350871e-11,9.289666932824765e-08,6.661146315855951e-08,1.5458475156885728e-09,8.36654369048712e-08
2.156981996854734e-09,0.07782336798655136,0.0,0.0019064059080530118,0.031077104085376738,0.31939799900268007,0.35048122988299923,0.20700799550005336,0.09202533125334306,0.0,1.3981491316138015e-18,2.2469395421823972e-06,1.407786237915124e-17,0.0,3.2459216017028555e-26,1.9620206655047003e-06,2.4414173522368744e-21,8.996457856386894e-20,3.1607980898584025e-32,7.38056018256977e-13,5.354453838341452e-16,1.9704983916874843e-51,6.2918646652448075e-12,2.5515325346157047e-35,1.3484798822576726e-19,7.553109701830216e-36,2.1733910514398753e-06,6.656478968944726e-36,4.897164023133508e-08,1.4151736993644535e-06,8.596405494618134e-06,1.3150934749950689e-06,9.15292668033592e-08,4.544765853336694e-07,1.719017474759462e-08,4.5821326816512703e-07,1.768750541974266e-08,6.672383141160944e-06,5.187171229935709e-07,2.141805761801849e-06,2.2352314223884841e-10,4.038830479793815e-06,1.4390949067070147e-11,9.430528597927272e-08,6.719089494301349e-08,1.545091486583678e-09,8.366417463400449e-08
2.1672654247466154e-09,0.07782336798655136,0.0,0.0019063469684203404,0.0310771140877202,0.3193979510428082,0.3504812191956472,0.2070079760356204,0.09202538091330227,0.0,1.4079341115889557e-18,2.257651803827167e-06,1.428089699618553e-17,0.0,3.339110994151125e-26,1.9770006128660027e-06,2.487739521013345e-21,9.082437654840682e-20,3.2062172579866983e-32,7.449879706628501e-13,5.37997666525004e-16,2.017916756932355e-51,6.3223105287924945e-12,2.588197205461916e-35,1.3739978371831722e-19,7.769951686310097e-36,2.183408179959737e-06,6.783520030629982e-36,4.896880030918723e-08,1.4153356036790245e-06,8.600446176305443e-06,1.3150674998015395e-06,9.152642352198556e-08,4.543955561178877e-07,1.7183799402244855e-08,4.5812836020024157e-07,1.7853725788667792e-08,6.707757836485374e-06,5.205579426950156e-07,2.1400660022757416e-06,2.245887931280702e-10,4.056875209513926e-06,1.4533893919265818e-11,9.57276826150023e-08,6.777272809278658e-08,1.5443409497613457e-09,8.366291796297229e-08
2.1775488526384967e-09,0.07782336798655136,0.0,0.001906288072888202,0.03107712409022436,0.31939790308986427,0.350481208508842,0.20700795657281856,0.09202543057490213,0.0,1.4177152746844762e-18,2.268364065143356e-06,1.4485881971439677e-17,0.0,3.4345111279931093e-26,1.9919945946539884e-06,2.534711585160397e-21,9.168826301983001e-20,3.2520694173522883e-32,7.519508114127774e-13,5.40549944875692e-16,2.0662435967266385e-51,6.352762253914623e-12,2.625211423151293e-35,1.3998721990474903e-19,7.991937653561161e-36,2.193422112370746e-06,6.912361134763167e-36,4.8965952119602476e-08,1.415495236317839e-06,8.604462157732192e-06,1.3150409780115807e-06,9.152358250597344e-08,4.5431472806423855e-07,1.7177379947079516e-08,4.580439607617288e-07,1.802070704104549e-08,6.743122892725128e-06,5.223997024446984e-07,2.138319322753124e-06,2.2565444405822568e-10,4.074904465973767e-06,1.4677493428170927e-11,9.716391844165334e-08,6.835696184286182e-08,1.5435957311123668e-09,8.366166684437993e-08
