Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675)
1.562227466429963e-12,0.09466578726852673,0.0,0.0023504906910377234,0.031075110263184432,0.3194096675147105,0.35048471573650797,0.2070122102816873,0.09201817397409678,0.0,5.712185735514265e-25,6.76625084377102e-08,3.284884250744181e-22,0.0,2.1308091064307653e-39,1.1122237048020173e-15,9.50227272448483e-30,1.0538122266767283e-24,5.346603139597228e-35,5.4115120165920685e-17,1.2302647616155066e-15,3.531644205908335e-56,7.93908548154162e-12,3.724777615644606e-37,4.524802316112771e-28,1.9700432090769213e-47,6.766205523010888e-08,3.81648964628536e-42,2.1565216024634985e-08,1.0364351369478502e-08,7.002642415814024e-09,8.34587170837738e-09,6.532500724476582e-09,3.5264506875138085e-09,2.959176681160705e-11,3.3687923086875676e-11,4.0303182785106535e-10,4.56481672666432e-13,3.366629146027585e-11,6.378616748998811e-12,3.946515732249951e-10,3.366025785056778e-09,2.464410430840878e-21,7.398552267519422e-21
1.592654733842111e-12,0.09466578726852673,0.0,0.002350489661317099,0.031075110263184432,0.31940966723710457,0.3504847142507901,0.20701221009797854,0.09201817370028946,0.0,6.05249516403899e-25,6.8980360705474e-08,3.4805842948098074e-22,0.0,2.3673407567741737e-39,1.1791699796351972e-15,1.0263905154404255e-29,1.0952619733561632e-24,5.665132237485406e-35,5.624361374995398e-17,1.2542264411811034e-15,3.8892313753456036e-56,8.093713422023543e-12,3.946684865440583e-37,4.8410679699896035e-28,2.1887246312775954e-47,6.897988964852315e-08,4.1226213048845425e-42,2.183900504025402e-08,1.056051114631856e-08,7.143541229389915e-09,8.506050697369278e-09,6.650651510822929e-09,3.5973413700606394e-09,3.063449294905467e-11,3.502340475164916e-11,4.10890376159354e-10,4.837852332280483e-13,3.500048153391251e-11,6.733547010796648e-12,4.023381411126093e-10,3.4315837129988213e-09,2.6523013532441e-21,8.115385343312101e-21
1.623082001254259e-12,0.09466578726852673,0.0,0.0023504886360694614,0.031075110263184432,0.31940966695957773,0.3504847127651621,0.20701220991459984,0.09201817343065749,0.0,6.406059310863261e-25,7.029821296765236e-08,3.6839066225808637e-22,0.0,2.6251300288323418e-39,1.2487945921459226e-15,1.1070430375730903e-29,1.1375112503734212e-24,5.996067682111711e-35,5.84131628161111e-17,1.2781881207246515e-15,4.275214443121061e-56,8.248341346522867e-12,4.1772351498812115e-37,5.173288636979378e-28,2.4270589665883824e-47,7.0297723716653e-08,4.4468105521153966e-42,2.2108619055584298e-08,1.0756457177717204e-08,7.2846139881565154e-09,8.66613994932704e-09,6.768472319266589e-09,3.6683125675198063e-09,3.169220661286346e-11,3.638522882605366e-11,4.187492591250336e-10,5.12160482295035e-13,3.636096349716115e-11,7.100856754288551e-12,4.100247089641789e-10,3.4971415834856264e-09,2.8506451136814305e-21,8.886337561008058e-21
1.653509268666407e-12,0.09466578726852673,0.0,0.0023504876152299777,0.031075110263184432,0.3194096666821301,0.3504847112796237,0.20701220973155027,0.0920181731651372,0.0,6.773131409823035e-25,7.161606522424558e-08,3.894996855240072e-22,0.0,2.905659409397117e-39,1.3211534761478602e-15,1.1923578724864101e-29,1.1805600579571159e-24,6.339646493587163e-35,6.062376732848833e-17,1.3021498002461886e-15,4.691251985644266e-56,8.402969255050386e-12,4.416593591907436e-37,5.521977547545985e-28,2.68641675057468e-47,7.16155574345007e-08,4.7897538999953727e-42,2.2374121732266357e-08,1.095218969883016e-08,7.425860760897397e-09,8.826139514794733e-09,6.885964071478718e-09,3.739364070677029e-09,3.2764772065494895e-11,3.777341575521606e-11,4.266084767480186e-10,5.416283494606854e-13,3.774775681858079e-11,7.480721868771052e-12,4.177112767797081e-10,3.5626993967641918e-09,3.0598189006173783e-21,9.714391368665169e-21
1.683936536078555e-12,0.09466578726852673,0.0,0.0023504865987347954,0.031075110263184432,0.3194096664047614,0.3504847097941749,0.20701220954882885,0.09201817290366592,0.0,7.153964695265482e-25,7.293391747525403e-08,4.1140006139470203e-22,0.0,3.210486419024594e-39,1.3963027615891255e-15,1.282511325856716e-29,1.2244083963359005e-24,6.696105692022141e-35,6.287542725133545e-17,1.3261114797457528e-15,5.139065941336263e-56,8.557597147616897e-12,4.6649253144580386e-37,5.887655746489234e-28,2.968237883748903e-47,7.293339080206848e-08,5.1521610409010754e-42,2.263557576121222e-08,1.1147708944556272e-08,7.567281614878554e-09,8.986049444283618e-09,7.003127686553112e-09,3.810495670627509e-09,3.38520550837025e-11,3.9187985897476065e-11,4.344680290282232e-10,5.722097801092754e-13,3.916088087958007e-11,7.873316653759744e-12,4.253978445592005e-10,3.628257153077926e-09,3.280206583785418e-21,1.0602635867855879e-20
1.714363803490703e-12,0.09466578726852673,0.0,0.002350485586521018,0.031075110263184432,0.3194096661274716,0.35048470830881573,0.20701220936643472,0.09201817264618188,0.0,7.548812402073603e-25,7.4251769720678e-08,4.34106351983817e-22,0.0,3.541246053274571e-39,1.4742987748636903e-15,1.3776829753925394e-29,1.2690562657384625e-24,7.065682297526401e-35,6.516814254905365e-17,1.3500731592233823e-15,5.620442798451183e-56,8.712225024233201e-12,4.922395440469645e-37,6.270852092932389e-28,3.2740338882643635e-47,7.425122381935854e-08,5.5347548475542885e-42,2.2893042877407356e-08,1.1343015149537876e-08,7.708876615866173e-09,9.145869788272246e-09,7.1199640810134566e-09,3.881707158775566e-09,3.4953922940882225e-11,4.062895952453422e-11,4.4232791596556196e-10,6.039257353470561e-13,4.0600354974568706e-11,8.278813836739797e-12,4.3308441230265996e-10,3.6938148526667e-09,3.5121987198523926e-21,1.1554268686985255e-20
1.744791070902851e-12,0.09466578726852673,0.0,0.002350484578526698,0.031075110263184432,0.31940966585026076,0.3504847068235461,0.20701220918436694,0.09201817239262432,0.0,7.957927765691479e-25,7.556962196051789e-08,4.576331194026879e-22,0.0,3.8996532620300844e-39,1.5551980391206347e-15,1.4780556708304288e-29,1.3145036663935287e-24,7.448613330209069e-35,6.750191318619316e-17,1.3740348386791142e-15,6.137234782897866e-56,8.866852884910106e-12,5.1891690928767184e-37,6.672103260309777e-28,3.605390199808233e-47,7.556905648637305e-08,5.938271373008058e-42,2.314658387448691e-08,1.1538108548161192e-08,7.850645828144211e-09,9.305600597206513e-09,7.236474168820562e-09,3.952998326834272e-09,3.607024438963027e-11,4.209635682159973e-11,4.501881375599492e-10,6.367971919333623e-13,4.206619831110879e-11,8.697384590709182e-12,4.407709800100905e-10,3.7593724957669e-09,3.7561925580517884e-21,1.2572597856190303e-20
1.775218338314999e-12,0.09466578726852673,0.0,0.0023504835746908158,0.031075110263184432,0.31940966557312855,0.35048470533836595,0.20701220900262465,0.09201817214293331,0.0,8.381564022150182e-25,7.6887474194774e-08,4.819949257603435e-22,0.0,4.2875054668969495e-39,1.6390572745712795e-15,1.5838155339307836e-29,1.3607505985298578e-24,7.845135810178636e-35,6.987673912745124e-17,1.3979965181129868e-15,6.691361046061402e-56,9.021480729658422e-12,5.4654113946115686e-37,7.091953736354401e-28,3.9639684946935535e-47,7.68868888031142e-08,6.363459850632842e-42,2.3396258619089657e-08,1.1732989374556674e-08,7.992589314531726e-09,9.465241921499782e-09,7.352658861379576e-09,4.024368966825089e-09,3.720088964450548e-11,4.359019788753821e-11,4.5804869381129913e-10,6.708451422118368e-13,4.3558430010065904e-11,9.129198551517055e-12,4.484575476814958e-10,3.824930082611481e-09,4.01259204578591e-21,1.3661043683811735e-20
1.805645605727147e-12,0.09466578726852673,0.0,0.002350482574953274,0.031075110263184432,0.3194096652960751,0.35048470385327524,0.20701220882120688,0.09201817189705,0.0,8.819974408094337e-25,7.820532642344666e-08,5.072063331635059e-22,0.0,4.706685116683239e-39,1.7259333987942186e-15,1.6951519584737063e-29,1.4077970623762453e-24,8.255486757542983e-35,7.229262033766993e-17,1.4219581975250375e-15,7.284808852624711e-56,9.176108558488962e-12,5.751287468604351e-37,7.530955823085603e-28,4.3515090521502065e-47,7.820472076958418e-08,6.811082694102746e-42,2.3642126064993084e-08,1.1927657862599399e-08,8.13470713640003e-09,9.624793811532945e-09,7.468519067547166e-09,4.095818871077507e-09,3.834573036499446e-11,4.51105027350192e-11,4.659095847195262e-10,7.060905940417702e-13,4.507706910576011e-11,9.574423834999728e-12,4.561441153168797e-10,3.890487613430016e-09,4.281807834196991e-21,1.482314063442961e-20
1.836072873139295e-12,0.09466578726852673,0.0,0.002350481579254872,0.031075110263184432,0.3194096650191002,0.350484702368274,0.20701220864011274,0.09201817165491623,0.0,9.273412160809295e-25,7.95231786465362e-08,5.332819037165929e-22,0.0,5.159162280958622e-39,1.815883527038274e-15,1.8122576102548717e-29,1.45564305816152e-24,8.679903192409353e-35,7.474955678183402e-17,1.4459198769153033e-15,7.91963476839006e-56,9.33073637141254e-12,6.046962437783056e-37,7.989669636796749e-28,4.769833151814797e-47,7.95225523857851e-08,7.28191549738179e-42,2.3884244267032976e-08,1.2122114245909422e-08,8.27699935368967e-09,9.7842563176545e-09,7.5840556936387e-09,4.1673478322286816e-09,3.9504639638676564e-11,4.6657291290663497e-11,4.737708102845451e-10,7.425545707295573e-13,4.6622134546116725e-11,1.0033227053916589e-11,4.63830682916246e-10,3.9560450884487514e-09,4.564257283707257e-21,1.606253920845409e-20
1.8665001405514433e-12,0.09466578726852673,0.0,0.002350480587537304,0.031075110263184432,0.31940966474220384,0.35048470088336203,0.20701220845934132,0.09201817141647489,0.0,9.742130518249008e-25,8.0841030864043e-08,5.602361995217215e-22,0.0,5.646997281693504e-39,1.9089649725234036e-15,1.9353284270814035e-29,1.5042885861145435e-24,9.118622134884371e-35,7.72475484250689e-17,1.4698815562838217e-15,8.597965848100573e-56,9.485364168439976e-12,6.3526014250735355e-37,8.46866310804296e-28,5.220845506419373e-47,8.084038365171911e-08,7.77674703471025e-42,2.41226703948107e-08,1.2316358757852166e-08,8.41946602492714e-09,9.943629490180655e-09,7.69926964343538e-09,4.238955643223062e-09,4.0677491964586584e-11,4.8230583395190486e-11,4.816323705062695e-10,7.802581109602676e-13,4.8193645192816926e-11,1.0505773334688346e-11,4.715172504795985e-10,4.0216025078906515e-09,4.860364469528012e-21,1.73830078232627e-20
1.8969274079635915e-12,0.09466578726852673,0.0,0.0023504795997431357,0.031075110263184432,0.3194096644653858,0.3504846993985393,0.20701220827889177,0.09201817118166969,0.0,1.0226382719064502e-24,8.215888307596735e-08,5.880837826787079e-22,0.0,6.17234336297789e-39,2.00523524673958e-15,2.0645636187677796e-29,1.5537336464642104e-24,9.571880605074041e-35,7.978659523263868e-17,1.4938432356306302e-15,9.322000823261725e-56,9.6399919495821e-12,6.668369553399481e-37,8.968511981628862e-28,5.706536729678901e-47,8.215821456738832e-08,8.296379260591092e-42,2.4357460746191473e-08,1.2510391631538754e-08,8.56210720724145e-09,1.0102913379395376e-08,7.814161818191386e-09,4.31064209731204e-09,4.1864163236772783e-11,4.9830398803565105e-11,4.894942653846144e-10,8.192222687293326e-13,4.97916198214483e-11,1.0992226333939946e-11,4.792038180069412e-10,4.087159871975453e-09,5.1705601871377425e-21,1.8788434695875348e-20
1.9273546753757397e-12,0.09466578726852673,0.0,0.0023504786158157986,0.031075110263184432,0.31940966418864625,0.35048469791380593,0.20701220809876314,0.09201817095044514,0.0,1.0726422002633042e-24,8.34767352823096e-08,6.1683921528507125e-22,0.0,6.737449398819897e-39,2.1047520597436665e-15,2.2001656671317414e-29,1.6039782394394461e-24,1.0039915623083745e-34,8.2366697169944e-17,1.5178049149557656e-15,1.0094011289962798e-55,9.794619714849734e-12,6.994431945682433e-37,9.48979981659637e-28,6.228985839377498e-47,8.347604513279481e-08,8.841627309776409e-42,2.4588670760596888e-08,1.2704213099826409e-08,8.704922956380503e-09,1.0262108035550503e-08,7.928733116640968e-09,4.3824069880535795e-09,4.306453072804797e-11,5.1456757185144804e-11,4.973564949194936e-10,8.594681132743498e-13,5.1416077121655074e-11,1.1492748254850395e-11,4.868903854982777e-10,4.152717180919707e-09,5.495281957729324e-21,2.0282829727158608e-20
1.957781942787888e-12,0.09466578726852673,0.0,0.0023504776356995717,0.031075110263184432,0.31940966391198483,0.3504846964291617,0.20701220791895455,0.09201817072274668,0.0,1.1242501609087908e-24,8.479458748307011e-08,6.465170594360344e-22,0.0,7.344662639023854e-39,2.2075733204543096e-15,2.3423403259902227e-29,1.6550223652692078e-24,1.0522964209018257e-34,8.49878542025201e-17,1.5417665942592652e-15,1.0916342896698325e-55,9.949247464253709e-12,7.330953724841783e-37,1.0033117986212525e-27,6.790362795653248e-47,8.47938753479407e-08,9.413319497253968e-42,2.4816355032094627e-08,1.2897823395318784e-08,8.84791332672724e-09,1.0421213508865791e-08,8.042984435005545e-09,4.454250109311851e-09,4.4278473073931334e-11,5.3109678123826275e-11,5.05219059110822e-10,9.010167290069983e-13,5.306703569728826e-11,1.2007499863311848e-11,4.945769529536121e-10,4.218274434936834e-09,5.834974033626368e-21,2.18703263875505e-20
1.988209210200036e-12,0.09466578726852673,0.0,0.0023504766593395727,0.031075110263184432,0.3194096636354015,0.3504846949446066,0.20701220773946505,0.09201817049852057,0.0,1.1774874779348871e-24,8.611243967824918e-08,6.771318772245266e-22,0.0,7.996431493147914e-39,2.3137571369448846e-15,2.491296621155293e-29,1.7068660241824823e-24,1.102126338298171e-34,8.765006629603503e-17,1.5657282735411657e-15,1.179141653218953e-55,1.0103875197804862e-11,7.678100013794778e-37,1.059906567795731e-27,7.392931074481646e-47,8.6111705212828e-08,1.0012297318233784e-41,2.504056732228872e-08,1.3091222750366344e-08,8.991078371315634e-09,1.0580229849529017e-08,8.156916667000746e-09,4.526171255256874e-09,4.55058702567787e-11,5.478918111819203e-11,5.130819579585136e-10,9.438892154450743e-13,5.474451406655564e-11,1.2536640503900168e-11,5.022635203729479e-10,4.283831634237167e-09,6.190087403668749e-21,2.355518360429719e-20
2.0186364776121842e-12,0.09466578726852673,0.0,0.0023504756866817404,0.031075110263184432,0.31940966335889637,0.3504846934601406,0.20701220756029387,0.09201817027771382,0.0,1.2323794755153242e-24,8.743029186784715e-08,7.086982307411859e-22,0.0,8.695308352541116e-39,2.42336181673449e-15,2.647246850430114e-29,1.759509216408288e-24,1.1535050165077648e-34,9.035333341628745e-17,1.5896899528015038e-15,1.2721729513205704e-55,1.0258502915514025e-11,8.036035935456515e-37,1.1188249893511546e-27,8.039050276357546e-47,8.742953472745881e-08,1.0639415448134774e-41,2.5261360573013086e-08,1.3284411397066709e-08,9.134418141846475e-09,1.073915710769604e-08,8.270530703843499e-09,4.598170220364148e-09,4.6746603590099085e-11,5.649528558165687e-11,5.209451914624828e-10,9.881066871446393e-13,5.644853066217159e-11,1.3080328115659168e-11,5.09950087756289e-10,4.349388779027997e-09,6.561079798567401e-21,2.534178765019305e-20
2.0490637450243324e-12,0.09466578726852673,0.0,0.0023504747176728265,0.031075110263184432,0.3194096630824691,0.35048469197576365,0.20701220738144002,0.09201817006027435,0.0,1.2889514779087658e-24,8.874814405186438e-08,7.412306820743603e-22,0.0,9.443952450459821e-39,2.5364458670770463e-15,2.8104065836049157e-29,1.8129519421756686e-24,1.2064561575408984e-34,9.309765552920501e-17,1.613651632040317e-15,1.3709856772385604e-55,1.0413130617392046e-11,8.404926612739946e-37,1.1801285448744804e-27,8.731178770175551e-47,8.874736389183517e-08,1.129554174257144e-41,2.5478786918831676e-08,1.3477389567265026e-08,9.277932688702986e-09,1.0897995333490877e-08,8.38382743425901e-09,4.670246799414294e-09,4.800055570305531e-11,5.822801084261407e-11,5.288087596226439e-10,1.0336902736322845e-12,5.817910383150662e-11,1.3638719247700732e-11,5.176366551036393e-10,4.414945869513621e-09,6.948415696228384e-21,2.7234654033815446e-20
2.0794910124364806e-12,0.09466578726852673,0.0,0.002350473752260381,0.031075110263184432,0.3194096628061198,0.3504846904914757,0.20701220720290264,0.09201816984615077,0.0,1.347228809462046e-24,9.006599623030116e-08,7.747437933101106e-22,0.0,1.0245132760263437e-38,2.65306799524849e-15,2.9809946624529723e-29,1.8671942017136995e-24,1.261003463407802e-34,9.588303260084236e-17,1.6376133112576407e-15,1.4758452046058799e-55,1.0567758303449764e-11,8.784937168555879e-37,1.243879497370333e-27,9.471876372308803e-47,9.006519270595911e-08,1.1981557237340637e-41,2.5692897699347896e-08,1.3670157492554307e-08,9.42162206096624e-09,1.1056744577005776e-08,8.496807744487796e-09,4.742400787492688e-09,4.926761052514655e-11,5.998737614458153e-11,5.366726624389115e-10,1.0806611193375095e-12,5.993625183673696e-11,1.4211969074623034e-11,5.253232224150024e-10,4.480502905895384e-09,7.352566327046323e-21,2.923842939124569e-20
2.1099182798486288e-12,0.09466578726852673,0.0,0.0023504727903927423,0.031075110263184432,0.31940966252984837,0.35048468900727664,0.20701220702468084,0.09201816963529255,0.0,1.4072367946134726e-24,9.138384840315785e-08,8.092521265322119e-22,0.0,1.1101730931689397e-38,2.773287108832112e-15,3.159233200726615e-29,1.9222359952514835e-24,1.317170636118645e-34,9.870946459737925e-17,1.6615749904535124e-15,1.5870249062067016e-55,1.0722385973698025e-11,9.176232725812974e-37,1.3101408912598005e-27,1.0263807060886102e-46,9.138302116983261e-08,1.2698356148408372e-41,2.5903743471326433e-08,1.38627154042758e-08,9.565486306430412e-09,1.121540488830131e-08,8.609472518292665e-09,4.814631979989096e-09,5.054765327107048e-11,6.177340064634778e-11,5.445368999111995e-10,1.1290403835252176e-12,6.171999285499372e-11,1.4800231411748913e-11,5.330097896903821e-10,4.54605988837173e-09,7.774009679167251e-21,3.135789337926758e-20
