Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),HNOH(93),H2NX(201),H3NX(202),HNO2(94),HONO(92),H2X(216),HNO(87),N2O2(378),NO3(95),H3NO3(626),HNO(549)
2.568487368947211e-10,0.12990822726252158,0.0,0.003217206322917887,0.031075101399109847,0.31813511743117395,0.3484674016938359,0.2070115469722965,0.09202181586750177,5.3002346306366274e-30,2.5758147249851686e-13,0.0007624558186881506,4.876627467353648e-09,2.6834947010116766e-21,1.4442848691748708e-19,2.4759666677773125e-07,6.572923968052453e-16,3.913062692137306e-13,8.803425479923368e-21,6.248714395421432e-10,3.033830899515544e-09,4.371439355294168e-32,1.5037743860332573e-05,1.859381125448916e-21,2.1622833502437436e-14,7.372815498361328e-26,0.0007617037954605732,1.1842035346431267e-24,3.608542739068821e-08,3.28416006238598e-08,4.935374499708479e-06,4.995277219484078e-08,2.6331843813269678e-08,3.805576764335586e-08,1.763500495355138e-08,3.835607153912333e-08,0.001264089008376169,1.204760016106234e-06,1.1135950786199876e-07,1.2700106691206596e-06,0.0012483501975208305,6.411858819714553e-07,2.4789970451850456e-12,2.0285981554428514e-09,8.815294670518535e-06,4.139033011182831e-09,6.839162024331663e-09,2.560180110572583e-06,3.088059368281624e-07,1.6754015949838173e-12,1.6895773613733942e-07,5.736051259701273e-25,1.581397603148515e-06,2.083202436258318e-06,5.971132209975769e-08
2.5806910700865955e-10,0.12990822726252158,0.0,0.0032171739153647747,0.03107510199413339,0.318129060034877,0.3484578496396817,0.20701154393036544,0.09202185112796457,5.532870668900564e-30,2.613150888932506e-13,0.0007660546116136738,4.9661144100148946e-09,2.7747964341284233e-21,1.4802825722437672e-19,2.5069425794610193e-07,6.698389393150759e-16,3.9509079079491866e-13,8.929497986213183e-21,6.307944380148722e-10,3.0482436322985344e-09,4.47626336265357e-32,1.5108824716302271e-05,1.8860026281169007e-21,2.195623618928202e-14,7.556759399075375e-26,0.0007652950897168675,1.2078954938183794e-24,3.608523959457456e-08,3.286380808118095e-08,4.953105350753508e-06,4.995089234293993e-08,2.633157573879081e-08,3.803842521426431e-08,1.767676928540152e-08,3.833751512208837e-08,0.001270081140553367,1.2105769166891774e-06,1.1125510047057821e-07,1.2759315668882357e-06,0.0012542409296976307,6.441790958659607e-07,2.501356928574174e-12,2.0572211301605602e-09,8.871037581151861e-06,4.129036073242987e-09,6.844844301168302e-09,2.5837789019196886e-06,3.1258830400744167e-07,1.7047215515057716e-12,1.7139059913994734e-07,3.858689439450137e-24,1.5961862779714987e-06,2.103550785601931e-06,6.043341972452033e-08
2.59289477122598e-10,0.12990822726252158,0.0,0.003217141580111777,0.03107510259158615,0.3181230026241306,0.34844829789965326,0.20701154088879653,0.0920218865616321,5.7745365642068236e-30,2.65084964127096e-13,0.0007696531783911386,5.056822815997037e-09,2.8687442361910107e-21,1.5170062403668731e-19,2.5381329930029e-07,6.825638781377404e-16,3.9889406489808253e-13,9.056768343268132e-21,6.367450169473858e-10,3.062656345894472e-09,4.583088489920166e-32,1.5179901963733712e-05,1.912876939841191e-21,2.2293252571680067e-14,7.744418296542183e-26,0.0007688861177504475,1.2319503059762635e-24,3.60850534791804e-08,3.288591470874949e-08,4.970773702781375e-06,4.9949013698312603e-08,2.6331308260083185e-08,3.802115556548542e-08,1.7718644517141395e-08,3.831903513109357e-08,0.0012760731314562686,1.2163879534744877e-06,1.1115175265910872e-07,1.281847658792814e-06,0.0012601312714944526,6.47171660481794e-07,2.5238052593048768e-12,2.0861030552533097e-09,8.926909581914329e-06,4.119122385014508e-09,6.850479431860406e-09,2.607478696891403e-06,3.164002012974966e-07,1.7343997733488223e-12,1.7384641780588277e-07,4.4087984033376504e-24,1.6110431028125341e-06,2.1240027311825824e-06,6.116038535155067e-08
2.6050984723653647e-10,0.12990822726252158,0.0,0.0032171093170383137,0.031075103191448142,0.31811694519893263,0.34843874647378026,0.2070115378475902,0.09202192216856049,6.025537135883884e-30,2.688912799682283e-13,0.0007732515190162073,5.148763577650773e-09,2.965401429867385e-21,1.5544671260059156e-19,2.569537917217641e-07,6.954688869282681e-16,4.027160991969223e-13,9.185242213157307e-21,6.427231703232632e-10,3.077069040294667e-09,4.6919432471858777e-32,1.525097560086677e-05,1.9400052535984574e-21,2.2633905927952022e-14,7.935849907551828e-26,0.0007724768795157474,1.2563718711031172e-24,3.608486904158196e-08,3.2907920857767006e-08,4.988379645118427e-06,4.994713625904361e-08,2.6331041376175484e-08,3.800395844598425e-08,1.7760629458160515e-08,3.8300631337732886e-08,0.0012820649809764416,1.222193162165943e-06,1.1104945858627397e-07,1.2877589485105742e-06,0.0012660212228214006,6.501635742216679e-07,2.5463419394959256e-12,2.115244958615369e-09,8.982910661231689e-06,4.1092910447104305e-09,6.856067927769448e-09,2.6312793993288068e-06,3.202417316143886e-07,1.7644385971243039e-12,1.7632529043292559e-07,2.094071929285012e-25,1.6259680683071314e-06,2.144558339585447e-06,6.189222318398057e-08
2.6173021735047493e-10,0.12990822726252158,0.0,0.0032170771260233446,0.031075103793699627,0.31811088775928076,0.3484291953620925,0.20701153480674708,0.09202195794880585,6.286185952268627e-30,2.727342182769173e-13,0.0007768496334845469,5.24194763086174e-09,3.0648325305778557e-21,1.5926766048250072e-19,2.601157354455037e-07,7.08555646961765e-16,4.0655690136516423e-13,9.314925257925523e-21,6.487288921113322e-10,3.0914817154904296e-09,4.8028564139167037e-32,1.5322045625941806e-05,1.967388762337911e-21,2.297821959214033e-14,8.131112583530334e-26,0.0007760673749672117,1.2811641140598039e-24,3.6084686278836345e-08,3.292982687860773e-08,5.005923267772938e-06,4.994526002321067e-08,2.6330775086092634e-08,3.798683360530543e-08,1.7802722923611603e-08,3.828230351227055e-08,0.0012880566890058466,1.2279925782884873e-06,1.1094821233808716e-07,1.2936654397262351e-06,0.0012719107835886404,6.531548354955953e-07,2.5689668719211093e-12,2.144647866869254e-09,9.039040807501607e-06,4.099541163444429e-09,6.8616102929024805e-09,2.655180913157247e-06,3.241129977860443e-07,1.794840357507395e-12,1.788273151309173e-07,3.96470556795048e-24,1.6409611650884972e-06,2.1652176773839627e-06,6.262893736482087e-08
2.629505874644134e-10,0.12990822726252158,0.0,0.0032170450069453813,0.031075104398321042,0.3181048303051724,0.3484196445646195,0.20701153176626777,0.09202199390242419,6.556805537436986e-30,2.7661396100550686e-13,0.0007804475217918287,5.336385954961591e-09,3.167103262746865e-21,1.6316461764994592e-19,2.6329913006483985e-07,7.218258471303796e-16,4.104164790765621e-13,9.445823139593272e-21,6.547621762657365e-10,3.105894371473072e-09,4.915857040216507e-32,1.5393112037199647e-05,1.9950286589812456e-21,2.3326216953972086e-14,8.330265314747497e-26,0.0007796576040592955,1.3063309846418432e-24,3.608450518798153e-08,3.295163312081911e-08,5.023404661430185e-06,4.994338498888454e-08,2.6330509388855804e-08,3.796978079357257e-08,1.784492373441861e-08,3.826405142375617e-08,0.0012940482554368393,1.2337862371857483e-06,1.1084800793351e-07,1.2995671361334712e-06,0.0012777999537064003,6.561454427208635e-07,2.591679960001611e-12,2.174312805372373e-09,9.09530000909372e-06,4.089871864999434e-09,6.867107024044438e-09,2.679183142386264e-06,3.2801410255232836e-07,1.825607387159663e-12,1.8135258982149172e-07,5.759919192968791e-24,1.6560223837875364e-06,2.1859808111398154e-06,6.337053197768737e-08
2.6417095757835184e-10,0.12990822726252158,0.0,0.0032170129596824784,0.031075105005293053,0.31809877283660515,0.3484100940813907,0.20701152872615272,0.09202203002947147,6.837727581758255e-30,2.805306901983969e-13,0.000784045183933728,5.432089572638823e-09,3.2722805761866775e-21,1.6713874655265959e-19,2.6650397453629036e-07,7.352811839402617e-16,4.142948400048989e-13,9.57794152015671e-21,6.608230167260029e-10,3.120307008233905e-09,5.030974448090759e-32,1.546417483288164e-05,2.022926136422587e-21,2.3677921458821683e-14,8.53336773453555e-26,0.0007832475667464641,1.3318764576395265e-24,3.608432576603642e-08,3.297333993312243e-08,5.040823917447627e-06,4.9941511154128945e-08,2.6330244283482416e-08,3.795279976148757e-08,1.78872307172837e-08,3.8245874840132954e-08,0.0013000396801621658,1.2395741740177467e-06,1.107488393298358e-07,1.3054640414353257e-06,0.0012836887330849715,6.59135394322006e-07,2.6144811077984906e-12,2.204240798223605e-09,9.151688254349701e-06,4.080282285601131e-09,6.872558610887635e-09,2.703285991109516e-06,3.3194514856511813e-07,1.8567420166522734e-12,1.839012122378154e-07,-1.9001012251551222e-25,1.6711517150328527e-06,2.2068478074029464e-06,6.41170110475179e-08
2.653913276922903e-10,0.12990822726252158,0.0,0.0032169809841122443,0.031075105614596518,0.3180927153535763,0.3484005439124357,0.20701152568640258,0.09202206633000365,7.129293156323645e-30,2.844845879920233e-13,0.0007876426199059239,5.529069549849685e-09,3.3804326626132474e-21,1.711912222038551e-19,2.6973026718439096e-07,7.489233615085203e-16,4.181919918239875e-13,9.71128606158763e-21,6.669114074171072e-10,3.1347196257642413e-09,5.148238232710243e-32,1.5535234011229624e-05,2.0510823875284423e-21,2.403335660767341e-14,8.740480123518607e-26,0.0007868372629831929,1.357804532898031e-24,3.6084148010000966e-08,3.2994947663413554e-08,5.058181127850121e-06,4.9939638517000714e-08,2.6329979768986142e-08,3.793589026032987e-08,1.7929642704693452e-08,3.8227773528339276e-08,0.0013060309630749647,1.2453564237587782e-06,1.1065070042784592e-07,1.3113561593446244e-06,0.0012895771216347056,6.621246887307756e-07,2.6373702200052587e-12,2.234432868269817e-09,9.208205531583314e-06,4.070771573696332e-09,6.877965536158518e-09,2.727489363504707e-06,3.359062383883774e-07,1.8882465743898604e-12,1.8647327992433663e-07,3.7893088320452484e-24,1.6863491494507515e-06,2.227818732711542e-06,6.486837854128073e-08
2.6661169780622876e-10,0.12990822726252158,0.0,0.0032169490801118366,0.031075106226212523,0.31808665785608287,0.3483909940577839,0.20701152264701791,0.09202210280407654,7.431852931299988e-30,2.8847583661483876e-13,0.0007912398297040999,5.627336995728966e-09,3.491628972294437e-21,1.753232322617057e-19,2.7297800570652105e-07,7.627540915601748e-16,4.221079422076722e-13,9.845862425833431e-21,6.730273422495422e-10,3.1491322240553913e-09,5.267678263674714e-32,1.5606289570485916e-05,2.0794986051376454e-21,2.4392545957083985e-14,8.951663413852888e-26,0.0007904266927239678,1.3841192353775167e-24,3.608397191685612e-08,3.301645665876371e-08,5.075476385325206e-06,4.993776707554971e-08,2.6329715844376946e-08,3.791905204195567e-08,1.79721585349241e-08,3.8209747254404034e-08,0.0013120221040687644,1.2511330211954692e-06,1.1055358507674771e-07,1.3172434935843803e-06,0.0012954651192660185,6.651133243861185e-07,2.660347201940549e-12,2.2648900371123176e-09,9.264851829080481e-06,4.061338889736004e-09,6.883328275741755e-09,2.7517931638335134e-06,3.3989747449823014e-07,1.9201233865350555e-12,1.890688902365443e-07,7.527186567656357e-24,1.7016146776652384e-06,2.248893653592037e-06,6.562463836867443e-08
2.678320679201672e-10,0.12990822726252158,0.0,0.0032169172475579634,0.031075106840122334,0.31808060034412217,0.34838144451746483,0.2070115196079992,0.09202213945174599,7.745767398259858e-30,2.9250461838729454e-13,0.0007948368133239442,5.726903062500509e-09,3.605940230830821e-21,1.7953597711102162e-19,2.762471871777237e-07,7.767750934251022e-16,4.260426988298303e-13,9.981676274817101e-21,6.791708151193823e-10,3.1635448030986673e-09,5.38932468627649e-32,1.5677341508893338e-05,2.1081759820613064e-21,2.475551311914518e-14,9.166979193477742e-26,0.0007940158559232854,1.4108246152132185e-24,3.608379748356398e-08,3.303786726542054e-08,5.092709783218431e-06,4.993589682781889e-08,2.632945250866107e-08,3.790228485879709e-08,1.8014777052046073e-08,3.819179578353633e-08,0.001318013103037485,1.2569040009249895e-06,1.1045748707890172e-07,1.3231260478882043e-06,0.0013013527258893872,6.681012997341467e-07,2.68341195954092e-12,2.2956133251132546e-09,9.321627135099339e-06,4.051983405962917e-09,6.888647298801703e-09,2.776197296441512e-06,3.4391895928303427e-07,1.9523747769336825e-12,1.9168814034073543e-07,-5.503012561137488e-25,1.7169482902980244e-06,2.2700726365591044e-06,6.638579438281924e-08
2.690524380341057e-10,0.12990822726252158,0.0,0.0032168854863268877,0.031075107456307417,0.31807454281769093,0.3483718952915077,0.20701151656934694,0.09202217627306769,8.071407096539916e-30,2.9657111572182053e-13,0.0007984335707611481,5.827778945387786e-09,3.72343845606927e-21,1.8383066994512583e-19,2.7953780805552107e-07,7.909880940349832e-16,4.2999626936437295e-13,1.0118733270437182e-20,6.853418199083502e-10,3.177957362885381e-09,5.513207922764056e-32,1.5748389824695218e-05,2.1371157110827567e-21,2.5122281761446333e-14,9.38648971037744e-26,0.000797604752535652,1.437924747775529e-24,3.608362470706778e-08,3.3059179828808966e-08,5.1098814155287425e-06,4.993402777184436e-08,2.6329189760841046e-08,3.788558846386124e-08,1.805749710592775e-08,3.817391888020955e-08,0.0013240039598754337,1.2626693973534241e-06,1.1036240019434664e-07,1.3290038260007041e-06,0.00130723994141535,6.710886132281102e-07,2.7065643993537133e-12,2.3266037514019423e-09,9.378531437870306e-06,4.042704306203735e-09,6.893923067901352e-09,2.8007016657581023e-06,3.4797079504345537e-07,1.9850030670406043e-12,1.943311272137917e-07,3.1752504049997577e-24,1.7323499779685238e-06,2.29135574811566e-06,6.715185038094001e-08
2.7027280814804414e-10,0.12990822726252158,0.0,0.0032168537962944267,0.031075108074749436,0.3180684852767859,0.34836234637994173,0.20701151353106179,0.09202221326809737,8.409152843679392e-30,3.0067551112280706e-13,0.0008020301020114077,5.92997588252449e-09,3.844196975149513e-21,1.8820853684792797e-19,2.8284986418472333e-07,8.053948279202396e-16,4.3396866148524654e-13,1.0257039074567748e-20,6.915403504838831e-10,3.1923699034068436e-09,5.639358673605547e-32,1.5819434516135365e-05,2.1663189849575e-21,2.5492875607036876e-14,9.610257876853702e-26,0.0008011933825155848,1.4654237337300665e-24,3.608345358429195e-08,3.308039469353239e-08,5.126991376903896e-06,4.993215990565535e-08,2.6328927599915724e-08,3.7868962610729364e-08,1.8100317552238458e-08,3.8156116308240324e-08,0.0013299946744773077,1.2684292446942951e-06,1.1026831814512889e-07,1.334876831677886e-06,0.001313126765754508,6.740752633283716e-07,2.7298044285300277e-12,2.3578623338811407e-09,9.43556472559612e-06,4.033500785665498e-09,6.899156039118746e-09,2.825306176296439e-06,3.5205308399254055e-07,2.018010575846233e-12,1.9699794764296473e-07,9.781545619503476e-24,1.747819731293858e-06,2.3127430547528543e-06,6.7922810105041e-08
