Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30)
3.0587396529635224e-20,0.05820194281292722,0.0,0.0014451542400445042,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.0920181955407055,0.0,8.87064423025386e-61,1.647344677670171e-20,1.7741286882821884e-60,0.0,5.528089915285253e-130,5.077545043490075e-63,3.73698378362288e-100,7.908014369123679e-53,6.481503114528571e-78,1.379527372771667e-67,1.0450770824386657e-33,1.489988975923929e-126,3.559365912737724e-45,1.721660002251685e-82,5.504438032400883e-99,2.930166308320307e-136,1.6473446776702757e-20,7.181190096739886e-101,4.786695575494324e-16
6.118807460357338e-20,0.05820194281292722,0.0,0.0014451542400440254,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070502,0.0,7.100110701822386e-60,3.295404659151749e-20,1.4200220140856655e-59,0.0,7.047289144393132e-128,2.0317661927185317e-62,6.287309419380618e-99,3.1642358142221795e-52,5.18782947808994e-77,1.1041810277394838e-66,2.0906079543182515e-33,4.771538776597236e-125,7.120277359957713e-45,1.3780257994336127e-81,1.754249439292245e-97,1.876755112082164e-134,3.295404659151958e-20,1.1496141040696797e-99,9.575469573580071e-16
1.2238943075144968e-19,0.05820194281292722,0.0,0.0014451542400430676,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070406,0.0,5.681527039767491e-59,6.591524622114905e-20,1.136305306904865e-58,0.0,9.002160163393317e-126,8.12908224621521e-62,1.1038336676244196e-97,1.2659003683512256e-51,4.151314633714877e-76,8.835685286272978e-66,4.181669698077423e-33,1.5274633389595627e-123,1.424210025439758e-44,1.1026998267744957e-80,5.6021148818827064e-96,1.2015874212550731e-132,6.591524622115324e-20,1.83988165957349e-98,1.9153017454640887e-15
2.4479214304720227e-19,0.05820194281292722,0.0,0.001445154240041152,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070215,0.0,4.545797093391688e-58,1.3183764548041216e-19,9.091593378291962e-58,0.0,1.1511000647203662e-123,3.2524531614121116e-61,2.078707660084294e-96,5.0640135880773624e-51,3.321472178801377e-75,7.069443164017241e-65,8.363793185595766e-33,4.888796252344614e-122,2.8485746043276897e-44,8.822715499458671e-80,1.7908386177760823e-94,7.691649789725047e-131,1.3183764548042054e-19,2.944209986645855e-97,3.8308112756319835e-15
4.8959756763870755e-19,0.05820194281292722,0.0,0.0014451542400373211,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554069832,0.0,3.6368678733953495e-57,2.636824439989384e-19,7.273735099956626e-57,0.0,1.4726549204299527e-121,1.3014787182463936e-60,4.32569509408555e-95,2.0256878611001644e-50,2.6573459420394604e-74,5.6559125270647724e-64,1.672804016063245e-32,1.56456098603045e-120,5.697303762103382e-44,7.058619180942764e-79,5.727741895601449e-93,4.9231388046175636e-129,2.6368244399895516e-19,4.711055466451906e-96,7.661830151790706e-15
9.79208416821718e-19,0.05820194281292722,0.0,0.001445154240029659,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554069066,0.0,2.9095863809992775e-56,5.2737204103599085e-19,5.81917224451492e-56,0.0,1.884516196356608e-119,5.209576975929514e-60,1.0119974563655564e-93,8.102916299073446e-50,2.1259440352842383e-73,4.5248732243625204e-63,3.345653411070582e-32,5.006829064121636e-119,1.1394762077654085e-43,5.647074062758724e-78,1.8324066855668807e-91,3.1509710534596315e-127,5.273720410360244e-19,7.537944345693423e-95,1.5323867167399956e-14
1.9584301151877386e-18,0.05820194281292722,0.0,0.001445154240014335,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554067533,0.0,2.3277059382746634e-55,1.0547512351100958e-18,4.655411462555867e-55,0.0,2.411872161274772e-117,2.0866969661062765e-59,2.642801607660374e-92,3.2411994908570676e-49,1.7007821412991242e-72,3.6199558614483607e-62,6.691352201085256e-32,1.6022227269290275e-117,2.278967870875277e-43,4.517730738499622e-77,5.8629481985549095e-90,2.0166832023413943e-125,1.0547512351101629e-18,1.2060915436293913e-93,3.064793825178623e-14
3.91687351191978e-18,0.05820194281292722,0.0,0.0014451542399836867,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554064469,0.0,1.8621794841222356e-54,2.1095096232583056e-18,3.7243586370470824e-54,0.0,3.086998873619553e-115,8.369590255740516e-59,7.50399650390844e-91,1.296486390617435e-48,1.3606364783501259e-71,2.895987602116839e-61,1.3382749781114603e-31,5.127172609228461e-116,4.557951197093923e-43,3.614213186334922e-76,1.8760229089665763e-88,1.290709568268837e-123,2.1095096232584397e-18,1.9297628286227165e-92,6.129606863323447e-14
7.833760305383865e-18,0.05820194281292722,0.0,0.0014451542399223905,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.0920181955405834,0.0,1.4897494807212719e-53,4.219026399554725e-18,2.979498696483585e-53,0.0,3.9512321602819007e-113,3.3660526123045644e-58,2.2488019598396964e-89,5.1859587510460816e-48,1.0885134888208577e-70,2.3167992469116942e-60,2.6765544941173295e-31,1.6407048163059597e-114,9.11591784952685e-43,2.8913819873256593e-75,6.003080482715721e-87,8.260805496382787e-122,4.219026399554993e-18,3.0876336129561863e-91,1.2259228224686983e-13
1.5667533892312034e-17,0.05820194281292722,0.0,0.0014451542397997982,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.0920181955404608,0.0,1.1918019419509074e-52,8.438059952147564e-18,2.3836036719342285e-52,0.0,5.057496269655548e-111,1.3609891723065284e-57,6.95220164613777e-88,2.0743861381348592e-47,8.708125135162744e-70,1.8534430636236368e-59,5.353113526129068e-31,5.250270742394807e-113,1.8231851154375256e-42,2.3131101651723437e-74,1.9209549020995106e-85,5.2872059547485654e-120,8.4380599521481e-18,4.940224250638015e-90,2.4518452087738636e-13
