Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),HNOH(93)
8.059394215128656e-09,0.06210963536780779,0.0,0.0014672784126054808,0.031075110263184432,0.31937700856861834,0.3504734320611116,0.2069987464432145,0.09203360248250399,0.0,4.097446009200296e-23,3.007875209140352e-08,2.994072877563813e-22,0.0,1.081730039462161e-30,7.052383247698099e-06,3.8176943155048403e-25,3.229855002881365e-24,1.7397730425077185e-40,8.53567806496088e-15,1.4862640202301567e-20,1.1775184967637434e-64,3.723058632662557e-15,1.0364504340985833e-44,7.040852126942175e-23,8.371000365030514e-43,2.6395242910894186e-08,9.522521499228197e-43,6.637905073790428e-08,1.403952040162841e-05,1.7186369435236462e-05,1.1329999662575613e-05,2.5169434221134867e-07,1.4820911522068688e-06,2.584358699480578e-09,1.4998765692713028e-06,7.325728514678645e-10,1.2022972619115267e-05,3.6247762073723165e-06,1.7552712812417953e-07,1.3586308217318142e-14,1.2616903778858217e-05,2.7266684362762848e-11,6.051116044693701e-07,3.3382167520970636e-09
8.085635127771552e-09,0.06210963536780779,0.0,0.0014671491029827274,0.031075110263184432,0.3193769396606567,0.35047342651062036,0.20699870509828835,0.0920336634056079,0.0,4.102495499063476e-23,3.0176685840147034e-08,3.042896016851262e-22,0.0,1.1024719475410203e-30,7.094203919230064e-06,3.8656968284851223e-25,3.250919390744925e-24,1.7568200919318275e-40,8.589090989389976e-15,1.491102000768199e-20,1.1968111244149924e-64,3.762784779750946e-15,1.0466057933131627e-44,7.128684582164339e-23,8.531506685615812e-43,2.647018121320227e-08,9.645266579361411e-43,6.637238486530012e-08,1.4047926334229071e-05,1.720035048971583e-05,1.133545221995763e-05,2.516720025685618e-07,1.4819054180409573e-06,2.582100220353316e-09,1.4999924664481518e-06,7.371541669464143e-10,1.2067481244131254e-05,3.640815131192857e-06,1.7518349284510118e-07,1.3630601744095266e-14,1.2652076626335699e-05,2.744922504693608e-11,6.113058401684588e-07,3.3579525809372013e-09
8.111876040414447e-09,0.06210963536780779,0.0,0.0014670200247170855,0.031075110263184432,0.31937687083997846,0.35047342101961043,0.20699866376093,0.09203372431964944,0.0,4.107540427912963e-23,3.0274619587346435e-08,3.0923976828334413e-22,0.0,1.1235404216054254e-30,7.136092416555307e-06,3.9141372485789933e-25,3.2720522301081982e-24,1.7739781215522988e-40,8.642652507718731e-15,1.4959399734927682e-20,1.2163557875549019e-64,3.80283237674094e-15,1.0568272637348155e-44,7.217307145833461e-23,8.694539933561975e-43,2.6545054365497795e-08,9.769179812679374e-43,6.636573445731797e-08,1.4056257297538932e-05,1.7214252073746894e-05,1.1340845296110195e-05,2.5164970361890256e-07,1.481718234573953e-06,2.579852598776078e-09,1.5001040515853612e-06,7.41748537892962e-10,1.2111978399984631e-05,3.6568589068911704e-06,1.7484234147001976e-07,1.3674896124479307e-14,1.268720168808794e-05,2.763226361420282e-11,6.175402526589618e-07,3.3777398737268875e-09
8.138116953057342e-09,0.06210963536780779,0.0,0.0014668911757725511,0.031075110263184432,0.31937680210594976,0.35047341558752054,0.2069986224311257,0.09203378522455527,0.0,4.112580954676162e-23,3.037255333301827e-08,3.142585448794125e-22,0.0,1.1449394754406579e-30,7.178048409454096e-06,3.9630180141311127e-25,3.2932535208387868e-24,1.7912474912714352e-40,8.696362417753583e-15,1.5007779384040502e-20,1.2361549472909979e-64,3.8432028916187056e-15,1.0671150597414406e-44,7.306724075112643e-23,8.860131164621634e-43,2.6619862424516828e-08,9.89426832475567e-43,6.635909935737137e-08,1.4064513967133032e-05,1.7228075048716094e-05,1.1346179452246372e-05,2.516274450039278e-07,1.481529610577608e-06,2.5776157005367942e-09,1.5002113817837123e-06,7.46355953445948e-10,1.2156464023148978e-05,3.6729074905061423e-06,1.7450364010502076e-07,1.3719191365530563e-14,1.2722278880383037e-05,2.7815798625746574e-11,6.238149396602604e-07,3.39757858337257e-09
8.164357865700237e-09,0.06210963536780779,0.0,0.0014667625541320223,0.031075110263184432,0.3193767334579425,0.35047341021379463,0.20699858110886205,0.09203384612025277,0.0,4.117617236320803e-23,3.047048707717892e-08,3.19346694797448e-22,0.0,1.1666731580440433e-30,7.220071570957721e-06,4.0123415674774578e-25,3.314523262804314e-24,1.8086285609897982e-40,8.750220516947565e-15,1.5056158955022305e-20,1.25621108069619e-64,3.883897792048452e-15,1.0774693957098781e-44,7.396939632731847e-23,9.02831170695402e-43,2.669460544694583e-08,1.0020539258976211e-42,6.635247941046646e-08,1.4072697012620988e-05,1.724182026773908e-05,1.1351455244294993e-05,2.5160522636851196e-07,1.4813395547408565e-06,2.5753893930357455e-09,1.500314513152891e-06,7.509764027532613e-10,1.2200938050226627e-05,3.6889608392286075e-06,1.7416735538150593e-07,1.3763487474341246e-14,1.2757308119755028e-05,2.7999828639537387e-11,6.301299985081739e-07,3.4174686628292042e-09
8.190598778343133e-09,0.06210963536780779,0.0,0.0014666341577971385,0.031075110263184432,0.319376664895334,0.35047340489788215,0.20699853979412558,0.09203390700667007,0.0,4.122649427890945e-23,3.05684208198446e-08,3.245049873816265e-22,0.0,1.188745553803551e-30,7.262161577326875e-06,4.062110354921147e-25,3.3358614558724235e-24,1.826121690606209e-40,8.804226602401405e-15,1.510453844787494e-20,1.2765266808603372e-64,3.924918545366114e-15,1.0878904860159099e-44,7.487958086939335e-23,9.199113162506174e-43,2.6769283489421666e-08,1.0147999776496342e-42,6.634587446352148e-08,1.408080709769896e-05,1.7255488575724467e-05,1.1356673222950434e-05,2.515830473608196e-07,1.4811480756720841e-06,2.5731735452661446e-09,1.5004135008301394e-06,7.556098749722284e-10,1.2245400417948175e-05,3.705018911380412e-06,1.7383345444698177e-07,1.380778445803549e-14,1.2792289323005673e-05,2.818435221029291e-11,6.36485526154324e-07,3.4374100651001346e-09
8.216839690986028e-09,0.06210963536780779,0.0,0.001466505984788125,0.031075110263184432,0.3193765964175077,0.3504733996392377,0.20699849848690302,0.09203396788373601,0.0,4.127677682542218e-23,3.0666354561031404e-08,3.2973419802048817e-22,0.0,1.2111607826765183e-30,7.304318108030005e-06,4.112326826708282e-25,3.35726809991077e-24,1.84372724001775e-40,8.858380470864695e-15,1.5152917862600252e-20,1.2971042569418059e-64,3.966266618573238e-15,1.0983785450342606e-44,7.579783711453165e-23,9.372567408395078e-43,2.6843896608531712e-08,1.0276657056197862e-42,6.633928436519518e-08,1.4088844880201213e-05,1.7269080809437284e-05,1.136183393372185e-05,2.5156090763227824e-07,1.4809551819013293e-06,2.570968027796137e-09,1.5005083989985716e-06,7.602563592696075e-10,1.2289851063172156e-05,3.721081666393792e-06,1.7350190495601235e-07,1.385208232376933e-14,1.2827222407206133e-05,2.836936788951028e-11,6.428816191655099e-07,3.4574027432369834e-09
8.243080603628923e-09,0.06210963536780779,0.0,0.0014663780331436403,0.031075110263184432,0.31937652802385236,0.35047339443732056,0.20699845718718118,0.09203402875138024,0.0,4.132702151576323e-23,3.076428830075524e-08,3.350351081712273e-22,0.0,1.2339230003684843e-30,7.346540845721626e-06,4.1629934370038105e-25,3.378743194787035e-24,1.8614455691197607e-40,8.912681918736993e-15,1.520129719920009e-20,1.3179463342190323e-64,4.007943478331012e-15,1.1089337871385978e-44,7.672420785412746e-23,9.548706598290663e-43,2.6918444860813822e-08,1.0406518294646003e-42,6.63327089656546e-08,1.4096811012151127e-05,1.7282597797562287e-05,1.1366937916981998e-05,2.5153880683755136e-07,1.4807608818824113e-06,2.5687727127503365e-09,1.5005992609051554e-06,7.649158448215791e-10,1.2334289922884776e-05,3.7371490647910333e-06,1.7317267506133855e-07,1.3896381078730705e-14,1.2862107289698664e-05,2.855487422556352e-11,6.493183737230852e-07,3.477446650339543e-09
8.269321516271818e-09,0.06210963536780779,0.0,0.001466250300920619,0.031075110263184432,0.31937645971376233,0.35047338929159577,0.20699841589494708,0.09203408960953297,0.0,4.137722984474802e-23,3.0862222039031874e-08,3.404085053839671e-22,0.0,1.257036398512143e-30,7.3888294762206174e-06,4.2141126438674105e-25,3.400286740368909e-24,1.8792770378058433e-40,8.967130742069005e-15,1.5249676457676288e-20,1.3390554541420828e-64,4.049950590954494e-15,1.1195564267015331e-44,7.765873593330453e-23,9.727563163799691e-43,2.699292830275645e-08,1.0537590706046313e-42,6.632614811679064e-08,1.4104706139811855e-05,1.7296040360767075e-05,1.1371985708015582e-05,2.515167446345117e-07,1.4805651839949934e-06,2.5665874737921214e-09,1.500686138878367e-06,7.695883208137378e-10,1.2378716934199798e-05,3.75322106816445e-06,1.7284573340520134e-07,1.3940680730139448e-14,1.2896943888098329e-05,2.8740869763644925e-11,6.557958856223438e-07,3.4975417395556586e-09
8.295562428914714e-09,0.06210963536780779,0.0,0.001466122786194123,0.031075110263184432,0.3193763914866376,0.35047338420153296,0.2069983746101876,0.09203415045812519,0.0,4.142740328932087e-23,3.0960155775876946e-08,3.458551833260202e-22,0.0,1.2805052048464043e-30,7.431183688488493e-06,4.265686909229382e-25,3.421898736524107e-24,1.897222005967858e-40,9.021726736563729e-15,1.529805563803069e-20,1.360434174384213e-64,4.092289422406995e-15,1.1302466780946225e-44,7.860146425043303e-23,9.909169815850514e-43,2.706734699079864e-08,1.0669881522201522e-42,6.631960167226343e-08,1.4112530903736451e-05,1.730940931176504e-05,1.1376977837067146e-05,2.5149472068421427e-07,1.480368096546573e-06,2.564412186105941e-09,1.5007690843455246e-06,7.74273776441084e-10,1.2423132034358518e-05,3.7692976391566406e-06,1.7252104911085317e-07,1.398498128524728e-14,1.2931732120294646e-05,2.8927353045766156e-11,6.623142502719085e-07,3.5176879640811248e-09
8.321803341557609e-09,0.06210963536780779,0.0,0.0014659954870571846,0.031075110263184432,0.3193763233418834,0.35047337916660687,0.20699833333289003,0.09203421129708855,0.0,4.147754330887865e-23,3.105808951130593e-08,3.5137594180613425e-22,0.0,1.3043336833955684e-30,7.473603174607645e-06,4.317718698866574e-25,3.44357918312036e-24,1.915280833495926e-40,9.076469697577619e-15,1.5346434740265132e-20,1.3820850688934272e-64,4.134961438294629e-15,1.1410047556883676e-44,7.955243575664685e-23,1.009355954607867e-42,2.7141700981330107e-08,1.0803397992468287e-42,6.631306948725374e-08,1.41202859388176e-05,1.7322705455378092e-05,1.138191482938853e-05,2.514727346508703e-07,1.4801696277744107e-06,2.5622467263799036e-09,1.5008481478497982e-06,7.789722009080171e-10,1.2467535160729875e-05,3.7853787414410357e-06,1.7219859177425137e-07,1.4029282751337803e-14,1.2966471904453246e-05,2.911432261091432e-11,6.688735626931287e-07,3.5378852771595823e-09
8.348044254200504e-09,0.06210963536780779,0.0,0.0014658684016206594,0.031075110263184432,0.31937625527891045,0.3504733741862972,0.20699829206304157,0.09203427212635543,0.0,4.152765134558765e-23,3.1156023245334155e-08,3.569715867987223e-22,0.0,1.3285261346486037e-30,7.516087629759597e-06,4.370210482378328e-25,3.4653280800254136e-24,1.933453880278429e-40,9.131359420121755e-15,1.5394813764381445e-20,1.4040107279440371e-64,4.1779681038610315e-15,1.151830873852216e-44,8.05116934553616e-23,1.0280765628213288e-42,2.721599033069126e-08,1.0938147383713928e-42,6.63065514185042e-08,1.4127971874336864e-05,1.7335929588599218e-05,1.1386797205285856e-05,2.5145078620182057e-07,1.4799697858473995e-06,2.5600909727886603e-09,1.5009233790669153e-06,7.836835834283243e-10,1.2511926250810614e-05,3.8014643397027183e-06,1.7187833145591483e-07,1.4073585135726502e-14,1.3001163159017506e-05,2.930177699498185e-11,6.754739175194806e-07,3.5581336320824105e-09
8.3742851668434e-09,0.06210963536780779,0.0,0.0014657415280130723,0.031075110263184432,0.319376187297135,0.35047336926008854,0.2069982508006296,0.09203433294585879,0.0,4.1577728824693985e-23,3.1253956977976805e-08,3.6264293046807904e-22,0.0,1.3530868957385278e-30,7.558636752203223e-06,4.42316473316243e-25,3.4871454271070306e-24,1.951741506202007e-40,9.186395698863025e-15,1.5443192710381458e-20,1.4262137581882212e-64,4.221310883982245e-15,1.1627252469545612e-44,8.147928040179306e-23,1.0470821619464292e-42,2.729021509517325e-08,1.1074136980273058e-42,6.630004732446656e-08,1.4135589334013549e-05,1.7349082500654772e-05,1.139162548016609e-05,2.5142887500750907e-07,1.4797685788678667e-06,2.5579448049764325e-09,1.500994826821554e-06,7.88407913225176e-10,1.2556305242225625e-05,3.817554399619538e-06,1.7156023867294383e-07,1.411788844576072e-14,1.3035805802710183e-05,2.9489714730701435e-11,6.82115408995977e-07,3.5784329821886277e-09
8.400526079486294e-09,0.06210963536780779,0.0,0.001465614864380471,0.031075110263184432,0.31937611939597843,0.3504733643874703,0.20699820954564163,0.09203439375553227,0.0,4.1627777154827497e-23,3.135189070924892e-08,3.683907911925831e-22,0.0,1.3780203406218925e-30,7.601250243253e-06,4.476583928391089e-25,3.509031224232992e-24,1.9701440711515618e-40,9.241578328125307e-15,1.5491571578266992e-20,1.4486967827075808e-64,4.264991243161747e-15,1.1736880893627457e-44,8.245523970247644e-23,1.0663761361910381e-42,2.7364375331018034e-08,1.121137408390417e-42,6.629355706515186e-08,1.4143138936053087e-05,1.73621649730665e-05,1.1396400164583167e-05,2.5140700074145735e-07,1.4795660148733246e-06,2.555808104040256e-09,1.5010625391034408e-06,7.931451795311151e-10,1.2600672072728273e-05,3.833648887843495e-06,1.7124428439120205e-07,1.416219268881968e-14,1.3070399754535028e-05,2.967813434788262e-11,6.887981309785791e-07,3.5987832808647904e-09
8.42676699212919e-09,0.06210963536780779,0.0,0.0014654884088862764,0.031075110263184432,0.31937605157486726,0.35047335956793685,0.2069981682980651,0.0920344545553101,0.0,4.167779772829931e-23,3.1449824439165405e-08,3.7421599358888403e-22,0.0,1.4033308802583653e-30,7.643927807257224e-06,4.530470548986947e-25,3.530985471271101e-24,1.9886619350102544e-40,9.296907101890662e-15,1.5539950368039877e-20,1.4714624410646977e-64,4.309010645525646e-15,1.1847196154430586e-44,8.3439614514786e-23,1.0859618983887787e-42,2.7438471094418394e-08,1.1349866013746176e-42,6.628708050203799e-08,1.4150621293195014e-05,1.7375177779713408e-05,1.1401121764283692e-05,2.5138516308023817e-07,1.4793621018381563e-06,2.553680752513447e-09,1.5011265630831482e-06,7.97895371588049e-10,1.2645026680200928e-05,3.8497477719823926e-06,1.7093044001766158e-07,1.4206497872314439e-14,1.3104944933778368e-05,2.9867034373357685e-11,6.955221769336191e-07,3.619184481544896e-09
8.453007904772085e-09,0.06210963536780779,0.0,0.0014653621597111356,0.031075110263184432,0.31937598383323357,0.35047335480098707,0.2069981270578878,0.0920345153451273,0.0,4.1727791921393433e-23,3.154775816774103e-08,3.801193685360751e-22,0.0,1.4290229627904083e-30,7.686669151576265e-06,4.584827079599093e-25,3.5530081680891675e-24,2.0072954576595066e-40,9.352381813800518e-15,1.558832907970193e-20,1.4945133893546922e-64,4.35337055481802e-15,1.195820039560739e-44,8.443244804645555e-23,1.1058428901379738e-42,2.7512502441517988e-08,1.1489620106274844e-42,6.62806174982013e-08,1.4158037012760514e-05,1.7388121686893296e-05,1.1405790780252171e-05,2.513633617034498e-07,1.4791568476752557e-06,2.5515626343493473e-09,1.5011869451276003e-06,8.026584786472435e-10,1.268936900265549e-05,3.865851020581772e-06,1.7061867739290316e-07,1.4250804003687924e-14,1.3139441260010689e-05,3.005641333079432e-11,7.022876399372249e-07,3.6396365377102867e-09
8.47924881741498e-09,0.06210963536780779,0.0,0.0014652361150527752,0.031075110263184432,0.31937591617051436,0.35047335008612485,0.2069980858250975,0.09203457612491932,0.0,4.177776109465222e-23,3.1645691894990386e-08,3.8610175319985275e-22,0.0,1.4551010737230488e-30,7.729473986560796e-06,4.639656008579101e-25,3.575099314555024e-24,2.026044998979001e-40,9.408002257156904e-15,1.5636707713254977e-20,1.517852300256777e-64,4.398072434396427e-15,1.206989576079975e-44,8.543378355509932e-23,1.126022581940666e-42,2.758646942841142e-08,1.1630643715259221e-42,6.627416791828896e-08,1.4165386696699563e-05,1.740099745338411e-05,1.1410407708755877e-05,2.5134159629369114e-07,1.4789502602376098e-06,2.549453634905172e-09,1.5012437308152956e-06,8.074344899693116e-10,1.2733698978234035e-05,3.8819586031070964e-06,1.7030896878376886e-07,1.4295111090414882e-14,1.3173888653088206e-05,3.02462697410282e-11,7.090946126747531e-07,3.6601394028895523e-09
8.505489730057875e-09,0.06210963536780779,0.0,0.0014651102731258548,0.031075110263184432,0.3193758485861519,0.3504733454228584,0.20699804459968205,0.09203463689462237,0.0,4.182770659315617e-23,3.174362562092799e-08,3.9216399105666078e-22,0.0,1.4815697361037445e-30,7.772342025530078e-06,4.694959827957096e-25,3.597258910536518e-24,2.044910918846679e-40,9.463768224923637e-15,1.568508626870082e-20,1.541481863085816e-64,4.443117747227537e-15,1.2182284393639054e-44,8.644366434773361e-23,1.1465044733417082e-42,2.7660372111144256e-08,1.1772944211717948e-42,6.626773162838107e-08,1.4172670941637625e-05,1.7413805830504976e-05,1.1414973041389234e-05,2.513198665365355e-07,1.4787423473198266e-06,2.547353640926113e-09,1.501296964951247e-06,8.122233948242081e-10,1.2778016545209559e-05,3.898070489926212e-06,1.700012868761613e-07,1.4339419140001918e-14,1.3208287033154404e-05,3.043660212208679e-11,7.159431874402273e-07,3.6806930306584383e-09
