Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29)
4.383864976468582e-09,0.05435919745378708,0.0,0.0013004826996562426,0.031075110263184432,0.31938309012959126,0.35046941524970404,0.20701165082173137,0.09201810472665752,0.0,4.875151559325875e-30,2.6029858972310454e-10,1.567557035927919e-28,0.0,6.910248329119625e-58,1.4673215377129083e-07,2.2040618814606506e-50,5.5667947974012316e-33,1.5521732313687027e-48,2.8968995810888087e-37,1.6485040670265977e-24,1.4280513073697867e-77,3.54180427779772e-19,1.6953663869556573e-53,1.0017703283891038e-47,8.069427239760716e-72,2.601920198191869e-10,7.825540335585556e-62,9.08141404750209e-08,1.967065818733975e-05,6.627624178875316e-06,1.537662953804223e-05,5.693584838826278e-07,6.921088578750619e-06,1.4281142193644924e-14
4.3896692901452055e-09,0.05435919745378708,0.0,0.0013004291107359277,0.031075110263184432,0.3193830594578841,0.35046939800829646,0.20701165084554637,0.09201810473040199,0.0,4.8945413558744666e-30,2.606432224331686e-10,1.5776576988680853e-28,0.0,6.974543067538554e-58,1.4724008762420247e-07,2.2186941674105995e-50,5.581549998020198e-33,1.5583467106878946e-48,2.9084202306797335e-37,1.650686715011853e-24,1.4375301996164458e-77,3.557318516531092e-19,1.7021093931757313e-53,1.0084188864332297e-47,8.1445072438478e-72,2.605363733860247e-10,7.867214686642392e-62,9.081039630262535e-08,1.969461031715e-05,6.63332788827089e-06,1.5393870600967616e-05,5.693346688580148e-07,6.927808156144585e-06,1.4267718829780615e-14
4.395473603821829e-09,0.05435919745378708,0.0,0.0013003755507153894,0.031075110263184432,0.31938302879789804,0.35046938077424983,0.2070116508693486,0.09201810473414443,0.0,4.913982496182355e-30,2.6098785512628195e-10,1.587814827209696e-28,0.0,7.039349867856599e-58,1.4774889493525786e-07,2.2334040696062975e-50,5.5963247480278565e-33,1.5645365375849964e-48,2.9199713808961547e-37,1.652869362997337e-24,1.4470593591721292e-77,3.5728901433985984e-19,1.7088702551187298e-53,1.0151026957105191e-47,8.22018520701836e-72,2.6088072657823285e-10,7.909055655889967e-62,9.080665414935006e-08,1.9718558811196247e-05,6.63902176527636e-06,1.5411104302917894e-05,5.69310866640295e-07,6.934519648064826e-06,1.4254564811248485e-14
4.401277917498452e-09,0.05435919745378708,0.0,0.0013003220195797606,0.031075110263184432,0.31938299814962956,0.35046936354756103,0.20701165089313803,0.09201810473788488,0.0,4.9334750481357454e-30,2.6133248780245196e-10,1.5980286925299806e-28,0.0,7.104672123927098e-58,1.4825857494629655e-07,2.2481918964767845e-50,5.611119047538379e-33,1.570742733675867e-48,2.9315530720429133e-37,1.6550520109830495e-24,1.45663898570089e-77,3.5885193214497484e-19,1.715648996394782e-53,1.0218218961972269e-47,8.296465092443023e-72,2.6122507939584283e-10,7.951063689411851e-62,9.080291401416065e-08,1.9742503667016685e-05,6.644705817693372e-06,1.5428330647142172e-05,5.692870772237585e-07,6.941223060796943e-06,1.4241396431595017e-14
4.407082231175075e-09,0.05435919745378708,0.0,0.0013002685173141221,0.031075110263184432,0.3193829675130746,0.3504693463282266,0.20701165091691465,0.09201810474162328,0.0,4.9530190796208345e-30,2.616771204616857e-10,1.608299567480104e-28,0.0,7.170513247609906e-58,1.4876912689649258e-07,2.2630579572680195e-50,5.62593289666608e-33,1.5769653205763648e-48,2.9431653444247865e-37,1.6572346589689902e-24,1.4662692793951604e-77,3.604206213944495e-19,1.722445640614017e-53,1.0285766282398049e-47,8.373350884319593e-72,2.615694318388868e-10,7.993239233901548e-62,9.079917589601922e-08,1.9766444882121424e-05,6.6503800533666935e-06,1.5445549636888058e-05,5.692633006026697e-07,6.9479184006640305e-06,1.4228238975095905e-14
4.412886544851698e-09,0.05435919745378708,0.0,0.0013002150439035045,0.031075110263184432,0.3193829368882294,0.35046932911624346,0.20701165094067847,0.09201810474535968,0.0,4.972614658523807e-30,2.6202175310399047e-10,1.618627725785122e-28,0.0,7.236876668770717e-58,1.492805500223545e-07,2.278002562042868e-50,5.640766295525407e-33,1.5832043199023488e-48,2.954808238346488e-37,1.6594173069551594e-24,1.4759504409757374e-77,3.6199509843532366e-19,1.7292602113865647e-53,1.0353670325548945e-47,8.450846587872249e-72,2.6191378390739614e-10,8.035582736662513e-62,9.079543979388431e-08,1.9790382453992428e-05,6.656044480183754e-06,1.5462761275401715e-05,5.692395367712659e-07,6.954605674026673e-06,1.4214953118162943e-14
4.418690858528321e-09,0.05435919745378708,0.0,0.0013001615993328876,0.031075110263184432,0.3193829062750901,0.3504693119116083,0.2070116509644295,0.09201810474909407,0.0,4.9922618527308394e-30,2.623663857293735e-10,1.6290134422493195e-28,0.0,7.30376583541018e-58,1.4979284355775657e-07,2.293026021683056e-50,5.655619244230952e-33,1.5894597532696775e-48,2.9664817941126666e-37,1.661599954941556e-24,1.4856826716930518e-77,3.635753796355946e-19,1.736092732322555e-53,1.0421932502302117e-47,8.528956229502349e-72,2.622581356014029e-10,8.078094645608253e-62,9.07917057067109e-08,1.9814316380083902e-05,6.661699106074775e-06,1.5479965565927803e-05,5.69215785723759e-07,6.96128488728254e-06,1.4201846127622311e-14
4.424495172204944e-09,0.05435919745378708,0.0,0.0013001081835872026,0.031075110263184432,0.31938287567365276,0.3504692947143179,0.2070116509881678,0.09201810475282644,0.0,5.0119607301281044e-30,2.6271101833784204e-10,1.6394569927569104e-28,0.0,7.371184213681332e-58,1.50306006733943e-07,2.3081286478894344e-50,5.6704917428974414e-33,1.5957316422942102e-48,2.9781860520279074e-37,1.663782602928181e-24,1.4954661733273287e-77,3.6516148138420484e-19,1.7429432270321176e-53,1.0490554227246611e-47,8.607683856808771e-72,2.626024869209386e-10,8.120775409262326e-62,9.078797363345047e-08,1.9838246657822275e-05,6.6673439390117474e-06,1.5497162511709548e-05,5.691920474543344e-07,6.9679560468663225e-06,1.4188696852538368e-14
4.430299485881567e-09,0.05435919745378708,0.0,0.0013000547966513292,0.031075110263184432,0.3193828450839135,0.35046927752436896,0.20701165101189328,0.09201810475655678,0.0,5.031711358601759e-30,2.630556509294033e-10,1.6499586542775414e-28,0.0,7.439135288023049e-58,1.508200387795602e-07,2.3233107531839935e-50,5.68538379163974e-33,1.602020008591805e-48,2.9899210523967287e-37,1.665965250915033e-24,1.5053011481898933e-77,3.667534200909514e-19,1.7498117191253841e-53,1.055953691869249e-47,8.687033538743752e-72,2.629468378660351e-10,8.163625476758457e-62,9.078424357305092e-08,1.9862173284606598e-05,6.6729789870089595e-06,1.5514352115988667e-05,5.691683219571518e-07,6.974619159249321e-06,1.4175797954697618e-14
4.43610379955819e-09,0.05435919745378708,0.0,0.0013000014385101003,0.031075110263184432,0.3193828145058686,0.35046926034175835,0.207011651035606,0.09201810476028512,0.0,5.051513806037954e-30,2.634002835040644e-10,1.6605187048668915e-28,0.0,7.507622561175279e-58,1.5133493892066048e-07,2.338572650910078e-50,5.70029539057285e-33,1.6083248737783212e-48,3.0016868355235877e-37,1.6681478989021134e-24,1.5151877991233093e-77,3.6835121218647585e-19,1.7566982322124857e-53,1.0628881998671787e-47,8.767009365630677e-72,2.6329118843672393e-10,8.206645297840527e-62,9.078051552445689e-08,1.9886096257808506e-05,6.678604258121759e-06,1.553153438200542e-05,5.691446092263452e-07,6.981274230939394e-06,1.4162727494078759e-14
