Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),HNOH(93),H2NX(201),H3NX(202),HNO2(94),HONO(92),H2X(216),HNO(87),N2O2(378),NO3(95),H3NO3(626),HNO(549),NO(1009),S(567),H2NOX(203),H2N2X(602),CX(33),SX(1186)
2.3353891425867286e-09,0.13613829752637924,0.0,0.0033470311692929645,0.03107622791766927,0.2837504106631889,0.30569638286949247,0.20700672563061362,0.09277172649135906,1.8725920337607457e-19,9.051233860288521e-10,0.009962685103071623,0.0002383922913297178,2.723741383803337e-13,1.2683928576116746e-13,2.9516344616587613e-05,1.5751886096705925e-11,2.0504022604960148e-10,4.5948852350037064e-17,8.925573206881736e-08,8.47953472049287e-08,8.720648420971414e-26,0.00038216757794406727,1.5577178434849934e-17,1.6548553627014243e-10,1.0779710805228063e-19,0.009706554295599154,4.413806581040992e-19,3.6804392024655696e-08,2.369848177457175e-08,8.746945421651323e-06,3.5545626225898895e-08,2.4739046530041913e-08,1.8792176880300206e-08,8.206339673752439e-08,1.885323021283253e-08,0.03433839413324259,7.822443076307793e-06,1.3438994821050171e-07,8.716665044207027e-06,0.032627987722344265,4.3186425302735446e-06,9.436166270487751e-11,7.023616910389455e-08,0.0005651414562739829,2.6763956680619468e-09,6.15489539234412e-09,0.0001907300133862423,0.00029966921003641943,1.81164905757193e-09,0.00044780922141087804,6.595381708198778e-15,0.0003578019658319743,0.0013466179387409498,5.9695196240006995e-05,3.555812794205255e-07,1.207789191053014e-13,2.3158016991616167e-06,7.363696355466094e-13,1.7622701448176758e-09,9.046377394477685e-07
2.349531729893368e-09,0.13613829752637924,0.0,0.0033469040319548385,0.0310762357690824,0.28355183762002606,0.30545412958292417,0.20700669540523528,0.09278210250826208,1.9608706127218978e-19,9.224885115528122e-10,0.010015738914710103,0.00024302248704712617,2.818527151711539e-13,1.3083390142288007e-13,2.9815830925234633e-05,1.6113936297066023e-11,2.0808902501915619e-10,4.6787107172514116e-17,9.019266696214455e-08,8.530698512094624e-08,8.985739070897383e-26,0.0003841246185123372,1.5857098496072265e-17,1.6872156857772306e-10,1.1125650535099205e-19,0.009755481530740979,4.539922176339015e-19,3.681230756090651e-08,2.367275937220871e-08,8.744085318779141e-06,3.551610124765557e-08,2.4738102905586276e-08,1.8755056978539176e-08,8.246075544165281e-08,1.88161774116926e-08,0.034520616299160714,7.862369747619907e-06,1.3478476103644937e-07,8.766320057491114e-06,0.03278750573772329,4.332274302079852e-06,9.503047667570295e-11,7.085984670507042e-08,0.0005703336159605032,2.67633664144294e-09,6.153420071965365e-09,0.0001922699703143601,0.0003042654860516983,1.8374145323630795e-09,0.00045366319740345153,6.8540692297435964e-15,0.0003615495265254406,0.0013663655834611993,6.0338266362380764e-05,3.636020604392045e-07,1.237781452904047e-13,2.3267523986867305e-06,7.404811334326838e-13,1.793787728918224e-09,9.191212019222538e-07
2.3636743172000075e-09,0.13613829752637924,0.0,0.003346777021738506,0.03107624361309694,0.2833534256969385,0.3052121957519168,0.20700666519973862,0.0927925585119712,2.052676580844916e-19,9.40077505520242e-10,0.010068707651177934,0.0002477094238716523,2.9159360671870403e-13,1.3492800587582744e-13,3.011668232295562e-05,1.6481880803116355e-11,2.1116609620454543e-10,4.763547015943599e-17,9.113250228180538e-08,8.581859384841397e-08,9.2572015548048e-26,0.00038607691579078463,1.6140274054114688e-17,1.7199933163454727e-10,1.1480454350039605e-19,0.009804283766535854,4.6688481294104e-19,3.6820274525100754e-08,2.3647067838803428e-08,8.74122433348333e-06,3.548661691363788e-08,2.47371602231915e-08,1.871798450498041e-08,8.285766641549848e-08,1.8779170081021263e-08,0.03470257112519056,7.902227600855536e-06,1.351788519826831e-07,8.81595906405588e-06,0.03294657009363982,4.345759089091082e-06,9.569674830744367e-11,7.148335374591335e-08,0.000575540375314244,2.6762777337299685e-09,6.151944408375714e-09,0.0001938097990656918,0.000308900811031286,1.8633688849145277e-09,0.0004595503425187577,7.120994782354503e-15,0.00036530923829646185,0.001386280896098677,6.098343217478204e-05,3.717469807677695e-07,1.2683034413507878e-13,2.3376852776924765e-06,7.445889165659236e-13,1.8256626450100806e-09,9.337286350853819e-07
2.377816904506647e-09,0.13613829752637924,0.0,0.0033466501387200533,0.031076251449710008,0.28315517419964786,0.304970580881106,0.20700663501390038,0.09280309460421306,2.1481252879216928e-19,9.578917826075446e-10,0.01012159137708811,0.0002524533552010478,3.016021741490689e-13,1.3912340192026098e-13,3.041890025326608e-05,1.6855773892663438e-11,2.1427155155139647e-10,4.849400118198574e-17,9.207520583217795e-08,8.633017327185803e-08,9.535148617224412e-26,0.0003880244651572123,1.6426721783227427e-17,1.7531905100330652e-10,1.184429091420907e-19,0.009852960962007261,4.800629255184359e-19,3.682829280769747e-08,2.3621407475032032e-08,8.738362307274985e-06,3.545717315960491e-08,2.4736218483392482e-08,1.868096096675412e-08,8.325412500057976e-08,1.8742209748264734e-08,0.03488425930699976,7.942016751470331e-06,1.355722069347203e-07,8.865581729233575e-06,0.03310518104487237,4.35909731880689e-06,9.636044233487293e-11,7.210665717641364e-08,0.0005807616193653568,2.676218958815091e-09,6.150468343477771e-09,0.00019534946214665186,0.0003135752143767038,1.889512274513331e-09,0.00046547053812775693,7.396358395621058e-15,0.0003690809854157217,0.0014063641744810943,6.163067346677556e-05,3.8001700640141635e-07,1.2993605017889158e-13,2.348600398035698e-06,7.486929847149053e-13,1.8578963194183697e-09,9.484598983507055e-07
2.3919594918132863e-09,0.13613829752637924,0.0,0.003346523382975245,0.03107625927891837,0.28295708243798723,0.30472928447582753,0.2070066048474978,0.09281371088505593,2.2473349998912424e-19,9.759327545801977e-10,0.01017439015745248,0.0002572545326214537,3.118838478961273e-13,1.4342191174702904e-13,3.072248612596078e-05,1.723566987704009e-11,2.1740550286846236e-10,4.9362760095863035e-17,9.302074551298176e-08,8.684172327595946e-08,9.819694276559545e-26,0.00038996726206374,1.6716458313548982e-17,1.7868095051398055e-10,1.221733092101147e-19,0.009901513077723993,4.935310789132806e-19,3.6836362297152495e-08,2.359577857625719e-08,8.73549908076288e-06,3.542776992141071e-08,2.473527768672287e-08,1.8643987853739616e-08,8.365012651851599e-08,1.870529792382681e-08,0.03506568153758371,7.981737317589142e-06,1.359648119505355e-07,8.915187717983465e-06,0.03326333884962367,4.372289425210431e-06,9.702152421668338e-11,7.272972435379136e-08,0.0005859972333292915,2.6761603309976133e-09,6.148991819358182e-09,0.000196888922670516,0.00031828872440738294,1.9158448608303036e-09,0.00047142366570310104,7.680363362265393e-15,0.0003728646524063377,0.0014266157121515673,6.227997010566316e-05,3.8841310060555226e-07,1.3309579858137102e-13,2.3594978211757857e-06,7.527933381668292e-13,1.890490160943944e-09,9.633148434720598e-07
2.4061020791199257e-09,0.13613829752637924,0.0,0.0033463967545791246,0.031076267100718463,0.2827591497258888,0.30448830604211163,0.207006574700309,0.09282440745291576,2.3504269498321723e-19,9.94201830243678e-10,0.010227104057679964,0.00026211320591356204,3.22444128019908e-13,1.4782537695996803e-13,3.102744131719244e-05,1.7621623098207593e-11,2.205680618271998e-10,5.024180674122555e-17,9.396908932069512e-08,8.735324374555439e-08,1.0110953830938918e-25,0.0003919053020366398,1.7009500231015955e-17,1.8208525224884295e-10,1.2599747100380683e-19,0.00994994007579416,5.07293838805651e-19,3.684448287995341e-08,2.3570181432703453e-08,8.732634493974935e-06,3.53984071349992e-08,2.4734337833712037e-08,1.860706663842287e-08,8.404566627393704e-08,1.8668436100911845e-08,0.03524683850726579,8.021389419974948e-06,1.3635665326089818e-07,8.964776694994005e-06,0.033421043769506754,4.385335848672481e-06,9.767996013117625e-11,7.335252304274571e-08,0.0005912471026081362,2.6761018649171072e-09,6.147514778339941e-09,0.00019842814434804746,0.0003230413683719504,1.942366803867901e-09,0.00047740960682375903,7.973216261898318e-15,0.0003766601240453947,0.00144703579838664,6.293130203632199e-05,3.9693622385232517e-07,1.3631012509594815e-13,2.3703776081808677e-06,7.568899777089662e-13,1.923445560699589e-09,9.782933146314005e-07
2.420244666426565e-09,0.13613829752637924,0.0,0.003346270253605661,0.03107627491510643,0.2825613753813723,0.3042476450866774,0.20700654457211273,0.09283518440456252,2.4575253893972586e-19,1.0127004153948074e-09,0.010279733143574782,0.0002670296230588034,3.33288584521873e-13,1.523356585964569e-13,3.1333767169558294e-05,1.8013687925875302e-11,2.2375933996135068e-10,5.1131200942630373e-17,9.49202053499512e-08,8.786473456563455e-08,1.0409043864043788e-25,0.00039383858067616837,1.7305864077274524e-17,1.8553217652775074e-10,1.2991714225923699e-19,0.0099982419198592,5.213558130854755e-19,3.685265444065457e-08,2.354461632961876e-08,8.729768386655487e-06,3.5369084736399556e-08,2.473339892488229e-08,1.85701987757704e-08,8.444073955726822e-08,1.8631625755380737e-08,0.035427730903697774,8.06097318199735e-06,1.367477172696813e-07,9.014348324781264e-06,0.033578296069531104,4.398237035855431e-06,9.833571697186908e-11,7.397502141561135e-08,0.0005965111127919457,2.67604357549153e-09,6.146037163030953e-09,0.0001999670914782689,0.00032783317245937233,1.9690782639087288e-09,0.0004834282431794664,8.275126984604063e-15,0.0003804672853654618,0.0014676247182142772,6.358464928104277e-05,4.0558733375784507e-07,1.3957956604413755e-13,2.3812398197336384e-06,7.609829046108737e-13,1.956763891948647e-09,9.933951485267798e-07
2.4343872537332045e-09,0.13613829752637924,0.0,0.003346143880127397,0.03107628272207805,0.282363758726532,0.3040073011169268,0.20700651446268845,0.09284604183512611,2.5687576406878887e-19,1.0314299127735129e-09,0.010332277481334681,0.0002720040302455625,3.4442285765712317e-13,1.5695463714613604e-13,3.1641464992193964e-05,1.8411918754637855e-11,2.2697944866652714e-10,5.203100250897592e-17,9.587406179491268e-08,8.837619562134767e-08,1.0714082250909466e-25,0.00039576709365639877,1.760556634959339e-17,1.8902194189371805e-10,1.339340912192062e-19,0.010046418575087866,5.357216519278542e-19,3.686087686191182e-08,2.3519083547423696e-08,8.726900598540056e-06,3.533980266172188e-08,2.4732460960746386e-08,1.853338570311535e-08,8.483534164739799e-08,1.8594868345620488e-08,0.03560835941186038,8.10048872960055e-06,1.3713799055413886e-07,9.063902271783764e-06,0.03373509601808868,4.410993439617164e-06,9.898876234301604e-11,7.459718805242248e-08,0.0006017891496600618,2.6759854778600553e-09,6.14455891636908e-09,0.00020150572893937876,0.0003326641618099571,1.995979401464669e-09,0.0004894794565750083,8.586308754351969e-15,0.00038428602165609577,0.001488382752431824,6.423999193936755e-05,4.143673850200936e-07,1.429046582899544e-13,2.3920845161368505e-06,7.650721206073424e-13,1.9904465099474214e-09,1.0086201744604385e-06
2.448529841039844e-09,0.13613829752637924,0.0,0.003346017634215147,0.03107629052162882,0.28216629908752494,0.3037672736409391,0.20700648437181643,0.09285697983810261,2.684254148566177e-19,1.0503917220150134e-09,0.010384737137549139,0.0002770366718754162,3.558526582435276e-13,1.6168421256779307e-13,3.195053606087419e-05,1.881637000113011e-11,2.302284991997994e-10,5.294127123344388e-17,9.683062695062565e-08,8.888762679799793e-08,1.1026188163701104e-25,0.0003976908367250506,1.790862350077843e-17,1.925547650987723e-10,1.3805010670180914e-19,0.010094470008170249,5.50396047866743e-19,3.686915002451684e-08,2.3493583361847612e-08,8.724030969608915e-06,3.531056084715307e-08,2.4731523941805104e-08,1.8496628840052794e-08,8.522946781423243e-08,1.855816531242644e-08,0.03578872471406422,8.13993619127096e-06,1.3752745986515223e-07,9.113438200453913e-06,0.03389144388694009,4.423605518914883e-06,9.963906455505411e-11,7.521899194088707e-08,0.0006070810991824255,2.6759275873303235e-09,6.1430799816638574e-09,0.00020304402217980898,0.0003375343605262205,2.0230703772266307e-09,0.0004955631289343398,8.906978152233186e-15,0.00038811621846532627,0.0015093101776239453,6.489731018792779e-05,4.2327732935751986e-07,1.462859392145661e-13,2.4029117573184896e-06,7.691576278820415e-13,2.024494751788532e-09,1.02396821442699e-06
2.4626724283464833e-09,0.13613829752637924,0.0,0.003345891515937708,0.031076298313753865,0.281968995794558,0.30352756216746524,0.20700645429927744,0.09286799850536032,2.8041485334024e-19,1.0695872396024176e-09,0.010437112179197587,0.00028212779056939393,3.6758376796777263e-13,1.6652630430441893e-13,3.226098161811971e-05,1.9227096101199704e-11,2.3350660267928754e-10,5.3862066893441515e-17,9.778986921435199e-08,8.939902798104626e-08,1.134548207746381e-25,0.00039960980570331975,1.821505193908882e-17,1.961308610900938e-10,1.422669981675555e-19,0.010142396187311789,5.653837358670034e-19,3.687747380743142e-08,2.3468116044052942e-08,8.721159340321014e-06,3.5281359228953074e-08,2.47305878685451e-08,1.8459929588346976e-08,8.562311332114161e-08,1.852151807889597e-08,0.035968827489950755,8.179315698004401e-06,1.3791611212744483e-07,9.1629557753461e-06,0.03404733995120073,4.436073738708889e-06,1.0028659261996514e-10,7.584040247627197e-08,0.0006123868475208765,2.6758699193298346e-09,6.141600302635138e-09,0.00020458193720942252,0.0003424437916836143,2.0503513520149355e-09,0.0005016791423045516,9.237355139520732e-15,0.0003919577616011287,0.0015304072661805254,6.555658428028169e-05,4.3231811544831997e-07,1.497239466911756e-13,2.41372160283666e-06,7.732394290518296e-13,2.0589099362452543e-09,1.0394390832016935e-06
