Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),HNOH(93),H2NX(201),H3NX(202),HNO2(94),HONO(92),H2X(216),HNO(87),N2O2(378),NO3(95),H3NO3(626)
2.0267430512515742e-10,0.1547348997255798,0.0,0.003835890326527467,0.031074924373134336,0.2597189890019759,0.28864037592861036,0.20701152874619494,0.09203586395723204,2.9928441845411105e-22,9.98158426070877e-12,0.002658144821545889,3.8461804064818176e-05,1.88656391328776e-15,1.3570470386218705e-16,3.0006932738092853e-06,5.476849132159141e-14,2.7819141855061952e-11,2.9291898711215464e-18,5.00614659029186e-09,1.1451216851586736e-07,2.1414978390481525e-27,0.000588546245562155,4.011817025127065e-18,8.142291433842397e-12,2.9437563003605945e-22,0.0026596797434204128,1.3693291769380287e-20,3.7438218371500396e-08,1.0035346386210532e-08,4.027070783155658e-06,2.0909329120492744e-08,2.2283941760368127e-08,8.791102977582643e-09,1.0192396999482703e-08,8.8878079370859e-09,0.059133311722967166,7.19257768568603e-07,7.705603387325106e-08,6.796985078238731e-07,0.058861074771537236,5.483210024751963e-07,1.938728971039389e-12,1.2728056467131583e-09,0.00038850252130229976,3.465950742892577e-09,2.530911067966752e-09,1.1181295012717805e-05,7.845999262952498e-06,1.981305105300353e-11,0.00012985890747327312,1.855508156143007e-16,6.965569480906477e-05,0.00023640650312789364
2.0382662522647858e-10,0.1547348997255798,0.0,0.003835860862545933,0.03107492370924977,0.25944211311050724,0.2883517827904521,0.2070115249764154,0.09203609141429653,3.1334122026005253e-22,1.015061590515553e-11,0.002671760529211557,3.919960455524631e-05,1.953154474832606e-15,1.3945229120375e-16,3.040333627487914e-06,5.6000087923051855e-14,2.8183631018292736e-11,2.979432194164155e-18,5.062781692327004e-09,1.1516302796852318e-07,2.2030101593980917e-27,0.0005915298190962733,4.080492935804394e-18,8.275731035134062e-12,3.02646864322017e-22,0.002673297725340648,1.4056667793300085e-20,3.7438048924809554e-08,1.002873963083777e-08,4.045619602061389e-06,2.0888192779668066e-08,2.2283768882136446e-08,8.780888276313091e-09,1.0218452380901056e-08,8.877335679776354e-09,0.05940567526337851,7.232682725165615e-07,7.692719883255103e-08,6.836949475800148e-07,0.05913203585216434,5.513621863755313e-07,1.9588241879256942e-12,1.2935603904449652e-09,0.0003905093460589161,3.4592533597450097e-09,2.53505112359713e-09,1.1288716135226951e-05,7.96565184419285e-06,2.0182601786087143e-11,0.00013162485226413348,1.9273849639970258e-16,7.030470577341773e-05,0.00023954538254766135
2.0497894532779974e-10,0.1547348997255798,0.0,0.003835831465171617,0.031074923047974937,0.25916581891384377,0.2880637739472671,0.2070115212071445,0.09203632051894979,3.2796613586080114e-22,1.0321510739944362e-11,0.002685361124514097,3.9946661091561234e-05,2.021658432958833e-15,1.4328056524811522e-16,3.080273693108079e-06,5.725206225588332e-14,2.8550934271322867e-11,3.0302457038648276e-18,5.119729331054399e-09,1.1581388458262945e-07,2.2659269953071852e-27,0.0005945096776478842,4.149946021682104e-18,8.41055506753239e-12,3.1110089214684454e-22,0.002686900393949346,1.4427569967259198e-20,3.743788094387375e-08,1.002213298883275e-08,4.064108602002295e-06,2.086709973333915e-08,2.228359639220535e-08,8.770700637787778e-09,1.0244605083829109e-08,8.86689135182836e-09,0.05967743796606542,7.27271803501858e-07,7.679906182257177e-08,6.876914883917526e-07,0.05940240073748902,5.544023336764158e-07,1.9790059931854747e-12,1.314528640129561e-09,0.00039251408310465847,3.4525951075317094e-09,2.5391583187944518e-09,1.1396453389760743e-05,8.086409883953598e-06,2.055693809259975e-11,0.00013340278969908626,2.0015553618298952e-16,7.09557490562039e-05,0.00024270780625117283
2.061312654291209e-10,0.1547348997255798,0.0,0.003835802134333593,0.031074922389289217,0.2588901046709447,0.28777634761418,0.20701151743838378,0.09203655127373932,3.4317837684072313e-22,1.0494278092834105e-11,0.0026989466342466125,4.070302284627311e-05,2.0921179582848513e-15,1.4719076939128373e-16,3.120513973667179e-06,5.8524630129331e-14,2.892105894864026e-11,3.081633626962657e-18,5.1769893933191126e-09,1.1646473835079257e-07,2.3302722276700838e-27,0.0005974858270387766,4.220180600251544e-18,8.5467693331072e-12,3.197406589568218e-22,0.0027004877744033905,1.4806110359849342e-20,3.743771442910803e-08,1.0015526483876451e-08,4.082537825879487e-06,2.0846049848522732e-08,2.228342429018459e-08,8.76053997124164e-09,1.0270854479785123e-08,8.856474859903296e-09,0.05994860153782979,7.312683906957668e-07,7.667162332174006e-08,6.916881308582637e-07,0.05967217116459617,5.574414421693617e-07,1.99927419633284e-12,1.3357112846917596e-09,0.00039451673544107894,3.445975704284014e-09,2.5432329156245226e-09,1.1504504430942126e-05,8.208276513682053e-06,2.0936094539662197e-11,0.00013519270189255746,2.0780761930924174e-16,7.160881339042677e-05,0.0002458938056588847
2.0728358553044206e-10,0.1547348997255798,0.0,0.003835772869959895,0.031074921733172146,0.2586149686476041,0.28748950201340323,0.20701151367013454,0.0920367836811932,3.589976756262305e-22,1.0668927274729498e-11,0.002712517085127396,4.146873874602513e-05,2.1645758564254272e-15,1.5118415839710878e-16,3.1610549676379635e-06,5.981800832059672e-14,2.929401237005055e-11,3.133599190161082e-18,5.234561765756161e-09,1.1711558926563383e-07,2.396070005454301e-27,0.0006004582730773922,4.291200987904234e-18,8.684379615720331e-12,3.285691398913072e-22,0.0027140598917945167,1.5192402047493734e-20,3.743754938090614e-08,1.000892013974201e-08,4.100907317830786e-06,2.0825042992759185e-08,2.2283252575677528e-08,8.75040618620308e-09,1.0297199942052858e-08,8.84608611094491e-09,0.060219167679116115,7.352580632918507e-07,7.654488359291207e-08,6.956848755661609e-07,0.05994134886391694,5.604795096604557e-07,2.0196286079435107e-12,1.3571092106022854e-09,0.0003965173060626999,3.4393948704410763e-09,2.5472751737389284e-09,1.1612866925993029e-05,8.331254842871901e-06,2.132010573222588e-11,0.00013699457073354813,2.1570055602076995e-16,7.226388755872259e-05,0.0002491034117918064
2.0843590563176321e-10,0.1547348997255798,0.0,0.003835743671977518,0.031074921079603447,0.25834040911641953,0.28720323537420384,0.20701150990239828,0.09203701774382009,3.754442959980304e-22,1.0845467579655964e-11,0.0027260725038002103,4.224385747132067e-05,2.2390755726560435e-15,1.552619984236007e-16,3.201897168992541e-06,6.11324145722602e-14,2.96698018407356e-11,3.186145620127761e-18,5.292446334791962e-09,1.1776643731978904e-07,2.463344747168307e-27,0.0006034270215588707,4.363011499928858e-18,8.823391681087371e-12,3.375893398960925e-22,0.0027276167711495517,1.5586559117206025e-20,3.743738579964065e-08,1.0002313980290863e-08,4.119217123215918e-06,2.0804079034110137e-08,2.2283081248281263e-08,8.74029919249368e-09,1.0323640845691073e-08,8.835725012180407e-09,0.060489138084039495,7.392408504973727e-07,7.641884269356471e-08,6.996817230897432e-07,0.06020993555925931,5.635165339703152e-07,2.040069039645483e-12,1.3787233018890584e-09,0.0003985157979570316,3.4328523288279306e-09,2.5512853503998198e-09,1.1721538554670495e-05,8.455347959177989e-06,2.170900631247306e-11,0.0001388083778904002,2.238402795034973e-16,7.292096039311447e-05,0.00025233665527424077
2.0958822573308437e-10,0.1547348997255798,0.0,0.0038357145403124415,0.031074920428562983,0.25806642435675925,0.2869175459328696,0.20701150613517638,0.09203725346410939,3.92539043737514e-22,1.1023908284734826e-11,0.0027396129168345737,4.3028427456278065e-05,2.315661196561003e-15,1.5942556704895637e-16,3.2430410672262693e-06,6.246806758970432e-14,3.004843465131169e-11,3.2392761434944372e-18,5.3506429866457685e-09,1.1841728250590891e-07,2.5321211423290594e-27,0.0006063920782650933,4.435616450508293e-18,8.963811276839122e-12,3.4680429383629837e-22,0.0027411584374306477,1.5988696669330774e-20,3.743722368566312e-08,9.99570802946904e-09,4.137467288602112e-06,2.0783157841156046e-08,2.2282910307586707e-08,8.730218900227966e-09,1.0350176567542874e-08,8.825391471121396e-09,0.06075851444041338,7.432167815251159e-07,7.629350048556783e-08,7.036786739912439e-07,0.0604779329678387,5.665525129340423e-07,2.060595304109704e-12,1.4005544401484117e-09,0.00040051221410459056,3.4263478046336768e-09,2.555263700504502e-09,1.183051700920316e-05,8.580558928530463e-06,2.210283095922064e-11,0.00014063410481548352,2.322327728908145e-16,7.358002077476783e-05,0.00025559356633650843
2.1074054583440553e-10,0.1547348997255798,0.0,0.0038356854748896347,0.031074919780030782,0.2577930126547302,0.286632431932677,0.20701150236847016,0.09203749084453133,4.103032774078056e-22,1.1204258650159032e-11,0.0027531383507260394,4.382249688841253e-05,2.3943774666650567e-15,1.6367615329731383e-16,3.2844871473815694e-06,6.382518703854408e-14,3.0429918077887006e-11,3.292993986856804e-18,5.4091516073311e-09,1.1906812481665859e-07,2.6024241529290032e-27,0.000609353448964728,4.5090201527166495e-18,9.105644132582776e-12,3.5621706660881497e-22,0.0027546849155355127,1.6398930820265517e-20,3.74370630393043e-08,9.989102311303501e-09,4.155657861750001e-06,2.0762279282993817e-08,2.2282739753178637e-08,8.72016521981307e-09,1.0376806486244951e-08,8.8150853955647e-09,0.06102729842977724,7.471858855855858e-07,7.616885664455298e-08,7.076757288210748e-07,0.06074534280030829,5.695874444011787e-07,2.0812072150408668e-12,1.4226035045562412e-09,0.0004025065574789176,3.4198810253897943e-09,2.5592104766098333e-09,1.1939799994228042e-05,8.706890795248333e-06,2.2501614387327488e-11,0.00014247173274980536,2.4088414352779546e-16,7.424105763374741e-05,0.0002588741748176503
2.118928659357267e-10,0.1547348997255798,0.0,0.003835656475633072,0.031074919133987036,0.257520172303146,0.2863478916238568,0.20701149860228107,0.09203772988753713,4.287589192699865e-22,1.1386527919169277e-11,0.002766648831896473,4.462611370844465e-05,2.4752697750483403e-15,1.6801505766423539e-16,3.3262358900716276e-06,6.520399354205986e-14,3.081425938211899e-11,3.3473023767743782e-18,5.46797208265718e-09,1.1971896424471787e-07,2.674279014902503e-27,0.0006123111394132734,4.5832269185163364e-18,9.248895959962867e-12,3.658307532542892e-22,0.002768196230297651,1.6817378705164524e-20,3.7436903860874245e-08,9.98249684989862e-09,4.173788891599865e-06,2.0741443229234458e-08,2.2282569584635785e-08,8.710138061948417e-09,1.0403529982236699e-08,8.804806693593074e-09,0.0612954917274242,7.511481918795877e-07,7.604491066889579e-08,7.116728881180726e-07,0.061012166760789334,5.726213262356612e-07,2.101904587168298e-12,1.4448713718790898e-09,0.0004044988310465956,3.413451720948578e-09,2.5631259289564077e-09,1.2049385226727651e-05,8.834346582152379e-06,2.2905391347105164e-11,0.0001443212427275445,2.4980064273701663e-16,7.490405994877552e-05,0.0002621785101681142
2.1304518603704785e-10,0.1547348997255798,0.0,0.003835627542465741,0.03107491849041209,0.25724790160149563,0.2860639232635625,0.20701149483661038,0.09203797059555888,4.479284663349986e-22,1.1570725318030657e-11,0.002780144386694336,4.543932561013464e-05,2.5583841719444084e-15,1.7244359214191914e-16,3.3682877715040018e-06,6.660470867863394e-14,3.1201465811271104e-11,3.4022045397703625e-18,5.5271042982303585e-09,1.2036980078278105e-07,2.7477112395917345e-27,0.0006152651553531027,4.658241058755134e-18,9.393572452721941e-12,3.756484790686591e-22,0.002781692406486589,1.724415848062446e-20,3.743674615066247e-08,9.975891669432794e-09,4.191860428258172e-06,2.0720649550000705e-08,2.2282399801530925e-08,8.700137337625355e-09,1.0430346437769195e-08,8.79455527357576e-09,0.06156309600242836,7.551037295911595e-07,7.592166188832677e-08,7.156701524097382e-07,0.0612784065469011,5.756541563157749e-07,2.1226872362368933e-12,1.4673589164851697e-09,0.00040648903776726924,3.407059623461709e-09,2.5670103054925495e-09,1.215927043596745e-05,8.962929290677456e-06,2.3314196623732168e-11,0.00014618261558050973,2.5898856263023345e-16,7.55690167469917e-05,0.00026550660145242106
2.14197506138369e-10,0.1547348997255798,0.0,0.003835598675309659,0.031074917849286433,0.2569761988559113,0.2857805251158364,0.20701149107145952,0.09203821297100995,4.678350015517235e-22,1.1756860056009695e-11,0.0027936250413949566,4.6262180040142075e-05,2.643767370321149e-15,1.7696308024414166e-16,3.410643263504139e-06,6.802755497919161e-14,3.1591544598269187e-11,3.4577037023315177e-18,5.58654813945553e-09,1.2102063442355682e-07,2.8227466152120157e-27,0.000618215502513507,4.734066883163295e-18,9.539679286760967e-12,3.856733997142389e-22,0.0027951734688081075,1.7679389327351874e-20,3.743658990893812e-08,9.969286794155078e-09,4.209872522984428e-06,2.069989811592465e-08,2.2282230403430938e-08,8.690162958126792e-09,1.045725523691406e-08,8.784331044169009e-09,0.061830112917672216,7.590525278808451e-07,7.579910947218558e-08,7.196675222124769e-07,0.06154406384979093,5.786859325341075e-07,2.1435549789981142e-12,1.490067010355315e-09,0.0004084771805936615,3.4007044673589665e-09,2.5708638518980846e-09,1.2269453363433602e-05,9.092641900984245e-06,2.372806503667158e-11,0.00014805583194252566,2.68454311658868e-16,7.623591710371403e-05,0.0002688584773518136
2.1534982623969016e-10,0.1547348997255798,0.0,0.0038355698740858792,0.031074917210590722,0.2567050623791371,0.28549769545157827,0.20701148730682972,0.09203845701628485,4.885022051317223e-22,1.194494132535188e-11,0.00280709082220081,4.7094724197910394e-05,2.731466750444397e-15,1.8157485703093362e-16,3.45330283353879e-06,6.947275592464574e-14,3.198450296175748e-11,3.51380309090803e-18,5.6463034915375524e-09,1.2167146515976828e-07,2.8994112083165823e-27,0.0006211621866107401,4.810708700350667e-18,9.68722212019952e-12,3.9590870133035513e-22,0.002808639441904475,1.812319145281276e-20,3.743643513595016e-08,9.962682248381974e-09,4.227825228178308e-06,2.0679188798145428e-08,2.2282061389896856e-08,8.680214835026774e-09,1.0484255765572224e-08,8.774133914316484e-09,0.06209654412987387,7.629946158792954e-07,7.567725243733315e-08,7.236649980318361e-07,0.06180914035416391,5.817166527975045e-07,2.1645076332010946e-12,1.5129965230938719e-09,0.000410463262471594,3.3943859893270617e-09,2.5746868116079134e-09,1.2379931762771046e-05,9.223487372070322e-06,2.414703143909217e-11,0.00014994087225374573,2.782044687643459e-16,7.69047501422015e-05,0.0002722341661668869
2.1650214634101132e-10,0.1547348997255798,0.0,0.003835541138714507,0.03107491657430577,0.2564344904904983,0.28521543254851234,0.20701148354272245,0.09203870273375937,5.099543660111171e-22,1.2134978301259596e-11,0.002820541755241789,4.7937005035575654e-05,2.821530364424031e-15,1.8628026913298945e-16,3.496266944739327e-06,7.094053594334544e-14,3.238034810615413e-11,3.57050593191338e-18,5.706370239482665e-09,1.2232229298415292e-07,2.977731365260816e-27,0.0006241052133480602,4.888170817803831e-18,9.836206593435664e-12,4.063576006435368e-22,0.0028220903503546734,1.8575686093864246e-20,3.743628183192742e-08,9.956078056494274e-09,4.24571859736704e-06,2.0658521468306877e-08,2.2281892760483987e-08,8.670292880190076e-09,1.051134741148254e-08,8.763963793249564e-09,0.062362391289614044,7.66930022681184e-07,7.555608965573507e-08,7.276625803627399e-07,0.06207363773831263,5.847463150270217e-07,2.1855450175838206e-12,1.5361483219395252e-09,0.00041244728634000404,3.3881039282886293e-09,2.578479425835367e-09,1.2490703399721921e-05,9.35546864188066e-06,2.4571130717292875e-11,0.00015183771676489433,2.8824564663222583e-16,7.757550503341773e-05,0.0002756336958202002
