Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),HNOH(93),H2NX(201),H3NX(202),HNO2(94),HONO(92),H2X(216),HNO(87),N2O2(378),NO3(95)
1.2297724646710089e-09,0.1496765275186108,0.0,0.0036964877273461057,0.031074864719230818,0.19508089144157995,0.2150260110228583,0.20700876149327066,0.09265959248179852,2.9397220223656056e-18,6.753440518710213e-10,0.01016469068002775,0.0010708104045753786,1.2606072741036144e-12,1.8634479965637674e-13,7.191123116157515e-05,2.098016830967842e-11,7.403361108802129e-10,2.196376098012488e-16,1.0658141841697849e-07,3.559137438393983e-07,2.1943824964380273e-24,0.0014229565854195078,2.058176673477192e-16,4.368495317048192e-10,3.831687176927531e-19,0.010063155009863736,4.939797377233999e-18,3.725406303577182e-08,9.878374457696368e-09,8.466675493957514e-06,1.7401368959692538e-08,2.2747506655148242e-08,8.305437393985521e-09,4.511512866291004e-08,8.335296970757303e-09,0.12142631370880205,3.6342308570904787e-06,7.219826433983118e-08,4.67757811084675e-06,0.12474608443931025,2.788662305005946e-06,4.530415759997221e-11,1.835383128763305e-07,0.0008203182543578896,2.3318112009565566e-09,3.6422367279373277e-09,0.00012581636737115645,0.0004034493175314057,2.511068656789092e-09,0.0010136213707351302,1.40928862303056e-13,1.29562262498131e-05
1.2345866979757329e-09,0.1496765275186108,0.0,0.0036964475077442536,0.031074864269840935,0.19479925455676206,0.21469720755267735,0.20700874901879784,0.09266505829564511,3.0205978436716726e-18,6.822057423124264e-10,0.010193562752127844,0.001081791328286892,1.2859341872742733e-12,1.896548556345898e-13,7.251385844227395e-05,2.1286358369408625e-11,7.474108077381803e-10,2.2222391835548206e-16,1.0735751980604574e-07,3.573028203390917e-07,2.2373726743282587e-24,0.0014268132828062984,2.0821104039687885e-16,4.4145212968045763e-10,3.9031901440279127e-19,0.010090965604866107,5.02706941777128e-18,3.7256481913468114e-08,9.864341031911089e-09,8.466649395314668e-06,1.7374538437926784e-08,2.2747257574518408e-08,8.294507089922016e-09,4.526200317331803e-08,8.324278346673913e-09,0.12168781263257952,3.645338878660544e-06,7.225788225859578e-08,4.6962450637936035e-06,0.12504163786785297,2.797067937104405e-06,4.559279489670658e-11,1.8542994936149186e-07,0.0008226435836950672,2.3306256328224346e-09,3.64096658899226e-09,0.00012636767691365906,0.0004071905679888089,2.5408437702149794e-09,0.0010205016462345926,1.4383410856384405e-13,1.298241524277418e-05
1.2394009312804569e-09,0.1496765275186108,0.0,0.003696407327434754,0.031074863817457797,0.19451861740267756,0.21436936325543304,0.20700873655008387,0.09267054683807822,3.103317731754412e-18,6.891064160509204e-10,0.010222367855859412,0.0010928297730755704,1.3116495502418525e-12,1.930091987562204e-13,7.311890522412599e-05,2.159569876170421e-11,7.545258634393073e-10,2.2483041745370103e-16,1.0813593759693325e-07,3.5869185594175484e-07,2.2810311161580386e-24,0.001430659446220961,2.1062258370100522e-16,4.4608302087496294e-10,3.9757262634916943e-19,0.010118704012546602,5.115519930645601e-18,3.725891183323341e-08,9.850352943229346e-09,8.466600880053932e-06,1.734778650891667e-08,2.2747008739575457e-08,8.283618585795632e-09,4.5408791471930325e-08,8.313302135093037e-09,0.12194824936364067,3.6564348723678034e-06,7.231773210112334e-08,4.7149146788443754e-06,0.12533628204574315,2.805454074281439e-06,4.5881992215076136e-11,1.873329737386307e-07,0.0008249637722559331,2.3294480467571938e-09,3.6396983666107665e-09,0.0001269183255049954,0.00041094931576824524,2.5708403378195565e-09,0.0010273923634184692,1.4678444791735475e-13,1.3008468517353425e-05
1.2442151645851809e-09,0.1496765275186108,0.0,0.0036963671858130033,0.031074863362086095,0.19423897555500075,0.2140424737809373,0.20700872408711096,0.09267605808093368,3.1879147643810525e-18,6.960460933806852e-10,0.010251106151573312,0.0011039256735060335,1.3377573642177438e-12,1.9640821891209216e-13,7.372636869179696e-05,2.1908207611723115e-11,7.616813504044638e-10,2.2745718500780634e-16,1.0891666628679401e-07,3.6008085057404147e-07,2.3253655115429114e-24,0.0014344951033141951,2.1305236083407373e-16,4.5074223920428026e-10,4.0493060284911086e-19,0.010146370406282265,5.2051598184034e-18,3.726135277808988e-08,9.836410106012286e-09,8.466530510444475e-06,1.7321112812924564e-08,2.274676014652503e-08,8.272771644683766e-09,4.555549440881587e-08,8.302368092765945e-09,0.12220762848771113,3.667518890983054e-06,7.237781144032693e-08,4.7335869242629185e-06,0.12563002117782784,2.813820724879733e-06,4.617174712703248e-11,1.89247400974542e-07,0.0008272788339721922,2.328278331883552e-09,3.6384321185381917e-09,0.00012746831206357498,0.00041472554618693185,2.6010589259246558e-09,0.0010342934126060784,1.4978033085886303e-13,1.3034386558202673e-05
1.2490293978899048e-09,0.1496765275186108,0.0,0.003696327082287875,0.03107486290373064,0.1939603246143912,0.21371653480556,0.2070087116298613,0.092681591995858,3.2744224418891036e-18,7.030247940536739e-10,0.01027977779904692,0.0011150789632135129,1.3642616485242084e-12,1.9985230742645785e-13,7.433624601423466e-05,2.2223903050856912e-11,7.688773408358482e-10,2.301042989215589e-16,1.0969970037553232e-07,3.614698041628282e-07,2.3703836074104632e-24,0.0014383202816661328,2.155004353091801e-16,4.5542981816513434e-10,4.1239399913395163e-19,0.01017396495897905,5.296000035506562e-18,3.726380473109225e-08,9.822512432487771e-09,8.466438836211468e-06,1.7294516992475375e-08,2.2746511791657174e-08,8.261966032106786e-09,4.5702112818235194e-08,8.291475978993787e-09,0.12246595456596636,3.67859098681315e-06,7.24381178838048e-08,4.7522617679191605e-06,0.12592285944305381,2.8221678972923244e-06,4.646205721396295e-11,1.9117324589542212e-07,0.0008295887827145017,2.3271163795757206e-09,3.6371679007538423e-09,0.0001280176355715941,0.0004185192444204084,2.6315000975986276e-09,0.0010412046846683583,1.5282220935136607e-13,1.3060169848176532e-05
1.2538436311946288e-09,0.1496765275186108,0.0,0.0036962870162814293,0.03107486244239639,0.19368266020631553,0.21339154203203092,0.20700869917831718,0.09268714855431096,3.3628746901064403e-18,7.100425372830158e-10,0.01030838295748718,0.0011262895749152542,1.391166440502051e-12,2.033418570503104e-13,7.494853434481399e-05,2.2542803216401305e-11,7.761139067177939e-10,2.3277183709056467e-16,1.1048503436581679e-07,3.628587166352143e-07,2.4160932081898125e-24,0.0014421350087865212,2.1796687057856414e-16,4.601457908363845e-10,4.1996387635039514e-19,0.010201487843073526,5.38805158829801e-18,3.7266267675325446e-08,9.808659832820359e-09,8.46632639479694e-06,1.7267998692338356e-08,2.2746263671344555e-08,8.251201515987664e-09,4.584864751873146e-08,8.28062555558512e-09,0.1227232321351997,3.689651211708695e-06,7.249864907304435e-08,4.77093917729718e-06,0.12621480099466173,2.8304955999632942e-06,4.675292007052573e-11,1.9311052318730083e-07,0.0008318936322929401,2.325962083409861e-09,3.6359057675127797e-09,0.0001285662950739302,0.00042233039550455267,2.662164412658341e-09,0.0010481260710252993,1.5591053680669665e-13,1.3085818868341359e-05
1.2586578644993528e-09,0.1496765275186108,0.0,0.003696246987228655,0.031074861978088418,0.1934059779808714,0.21306749118924342,0.20700868673246106,0.09269272772756762,3.453305863266492e-18,7.170993417463978e-10,0.010336921785533647,0.0011375574404218097,1.4184757954177076e-12,2.068772619546667e-13,7.556323082148162e-05,2.286492625122821e-11,7.833911198175698e-10,2.3545987740225945e-16,1.1127266276309391e-07,3.642475879185204e-07,2.4625021760008415e-24,0.0014459393121149175,2.2045173003363404e-16,4.6489018988037655e-10,4.276413015616559e-19,0.010228939230534572,5.481325534966759e-18,3.7268741593902036e-08,9.794852215179651e-09,8.466193711615543e-06,1.7241557559509057e-08,2.274601578204081e-08,8.240477866612444e-09,4.5995099313267384e-08,8.269816586814236e-09,0.12297946570798982,3.70069961707157e-06,7.255940268264634e-08,4.789619119503189e-06,0.12650584996037795,2.8388038413884443e-06,4.704433329917335e-11,1.9505924739648058e-07,0.0008341933964574673,2.3248153391156696e-09,3.634645771386644e-09,0.00012911428967705122,0.0004261589843375724,2.693052427671248e-09,0.0010550574636433827,1.5904576806661022e-13,1.3111334097984191e-05
1.2634720978040768e-09,0.1496765275186108,0.0,0.003696206994577193,0.03107486151081195,0.19313027361261256,0.21274437803206006,0.2070086742922754,0.09269832948672085,3.545750746918384e-18,7.24195225589427e-10,0.010365394441261517,0.001148882490648221,1.446193786369752e-12,2.1045891772382681e-13,7.618033256690051e-05,2.3190290303459556e-11,7.907090516861764e-10,2.38168497735893e-16,1.1206258007560148e-07,3.6563641794028763e-07,2.5096184308431673e-24,0.001449733219020875,2.2295507700499213e-16,4.696630475442875e-10,4.354273477484911e-19,0.010256319292865065,5.575832985512422e-18,3.727122646996021e-08,9.781089485806976e-09,8.466041300305386e-06,1.7215193243191468e-08,2.2745768120278847e-08,8.229794856591473e-09,4.614146898930572e-08,8.259048839380349e-09,0.12323465977286623,3.711736253862298e-06,7.262037641956925e-08,4.808301561273448e-06,0.12679601044260608,2.8470926301159626e-06,4.7336294517572513e-11,1.9701943292996333e-07,0.0008364880888983833,2.3236760445290373e-09,3.6333879633035704e-09,0.00012966161854794089,0.00043000499568197166,2.7241646959575142e-09,0.00106199875503304,1.622283593838471e-13,1.3136716014621574e-05
1.2682863311088008e-09,0.1496765275186108,0.0,0.0036961670377870775,0.03107486104057232,0.1928555428003757,0.21242219834111942,0.20700866185774286,0.09270395380268343,3.640244560831818e-18,7.313302064289711e-10,0.010393801082184606,0.0011602646556250944,1.474324504194832e-12,2.1408722134860716e-13,7.67998366885945e-05,2.351891352614264e-11,7.980677736591316e-10,2.408977759625148e-16,1.1285478081438232e-07,3.670252066282773e-07,2.5574499507848416e-24,0.001453516756804132,2.254769747624601e-16,4.74464395661467e-10,4.433230938101221e-19,0.01028362820110355,5.671585101709183e-18,3.7273722286661186e-08,9.767371549080436e-09,8.465869662973928e-06,1.7188905394780393e-08,2.2745520682669205e-08,8.219152260821414e-09,4.628775731897555e-08,8.248322082367574e-09,0.12348881879447364,3.722761172607267e-06,7.268156802239294e-08,4.826986468982047e-06,0.1270852865186149,2.8553619747470845e-06,4.7628801348088485e-11,1.9899109405589375e-07,0.0008387777232467803,2.3225440995457866e-09,3.632132392587175e-09,0.00013020828091303885,0.0004338684141664947,2.75550176759223e-09,0.0010689498382461082,1.6545876840317116e-13,1.3161965094008382e-05
1.2731005644135248e-09,0.1496765275186108,0.0,0.0036961271163304817,0.031074860567374973,0.19258178126710868,0.21210094792264542,0.20700864942884595,0.09270960064619026,3.7368229618965595e-18,7.385043013564811e-10,0.01042214186525834,0.0011717038645095664,1.5028720573730481e-12,2.1776257121954925e-13,7.742174027909259e-05,2.3850814076927217e-11,8.054673568572538e-10,2.436477899449579e-16,1.1364925949329833e-07,3.684139539104698e-07,2.6060047721507966e-24,0.0014572899526947988,2.280174865151056e-16,4.792942656527743e-10,4.513296245650461e-19,0.010310866125825907,5.768593097069246e-18,3.727622902718747e-08,9.753698307578394e-09,8.465679290439155e-06,1.716269366784394e-08,2.2745273465898492e-08,8.208549856447958e-09,4.6433965059124954e-08,8.237636087205697e-09,0.12374194721373481,3.7337744234057904e-06,7.274297526060105e-08,4.845673808648675e-06,0.12737368224072623,2.8636118839367346e-06,4.7921851432326597e-11,2.0097424490397743e-07,0.00084106231307499,2.321419406076419e-09,3.630879106994677e-09,0.00013075427605719613,0.0004377492242880461,2.7870641894076753e-09,0.0010759106068733077,1.6873745414238723e-13,1.318708181014648e-05
1.2779147977182488e-09,0.1496765275186108,0.0,0.003696087229691468,0.03107486009122548,0.19230898475970043,0.21178062260825725,0.20700863700556751,0.09271526998780077,3.835522047016326e-18,7.457175269412898e-10,0.010450416946882715,0.0011832000455961693,1.5318405719327822e-12,2.2148536712010374e-13,7.804604041607322e-05,2.418601011774418e-11,8.129078721874391e-10,2.4641861753782427e-16,1.1444601062904433e-07,3.6980265971506347e-07,2.6552909897110207e-24,0.0014610528338535453,2.3057667541126903e-16,4.841526885279078e-10,4.594480307517363e-19,0.010338033237147024,5.866868236805754e-18,3.7278746674740104e-08,9.74006966214143e-09,8.465470662465923e-06,1.7136557718106192e-08,2.2745026466727748e-08,8.197987422829382e-09,4.658009295153962e-08,8.226990627631758e-09,0.12399404944801211,3.7447760559370295e-06,7.280459593388198e-08,4.8643635459461694e-06,0.12766120163650052,2.8718423663941692e-06,4.821544241051957e-11,2.0296889946593292e-07,0.0008433418718970283,2.320301868001923e-09,3.629628152754126e-09,0.00013129960332264527,0.00044164741041358656,2.81885250499567e-09,0.0010828809550417204,1.7206487697334135e-13,1.3212066635293415e-05
1.2827290310229728e-09,0.1496765275186108,0.0,0.0036960473773657325,0.03107485961212954,0.19203714904881186,0.2114612182547819,0.2070086245878904,0.09272096179790094,3.936378355996922e-18,7.529698992338951e-10,0.010478626482905241,0.0011947531263275866,1.5612341913549876e-12,2.252560102197904e-13,7.867273416250838e-05,2.4524519814485895e-11,8.2038939034343e-10,2.492103365874701e-16,1.1524502874116265e-07,3.7119132397047467e-07,2.7053167568684767e-24,0.0014648054273717875,2.331546045385913e-16,4.890396948867333e-10,4.676794090292347e-19,0.010365129704722423,5.966421837795205e-18,3.728127521253768e-08,9.726485511932768e-09,8.46524424799784e-06,1.7110497203430118e-08,2.2744779681990958e-08,8.187464741500713e-09,4.6726141722932846e-08,8.21638547965234e-09,0.12424512989126757,3.755766119466769e-06,7.286642787144782e-08,4.883055646208188e-06,0.12794784870892054,2.8800534308835956e-06,4.850957195045163e-11,2.0497507159589442e-07,0.0008456164131690323,2.31919139113051e-09,3.6283795746008334e-09,0.00013184426210798502,0.000445562956782007,2.850867254709983e-09,0.0010898607774122865,1.7544149860290256e-13,1.3236920039970953e-05
1.2875432643276968e-09,0.1496765275186108,0.0,0.0036960075588603745,0.03107485913009293,0.19176626992870852,0.21114273074406797,0.20700861217579744,0.09272667604670555,4.039428874428442e-18,7.602614337692178e-10,0.010506770628623839,0.0012063630333053073,1.5910570764769498e-12,2.2907490306733455e-13,7.930181856680728e-05,2.486636133668812e-11,8.279119818065805e-10,2.520230249319899e-16,1.1604630835205736e-07,3.725799466053362e-07,2.756090285846755e-24,0.0014685477602718695,2.357513369240414e-16,4.939553149206049e-10,4.760248619776348e-19,0.010392155697749917,6.067265268539336e-18,3.728381462381279e-08,9.712945754497215e-09,8.465000505384318e-06,1.7084511783800575e-08,2.2744533108593524e-08,8.176981596138703e-09,4.687211208526556e-08,8.205820421506654e-09,0.12449519291422177,3.7667446628540547e-06,7.29284689313703e-08,4.901750074436473e-06,0.12823362743657407,2.8882450862247932e-06,4.8804237706285425e-11,2.0699277501088295e-07,0.000847885950289696,2.318087883155398e-09,3.6271334158128953e-09,0.00013238825186717972,0.00044949584750597946,2.883108975668809e-09,0.001096849969177303,1.7886778205393012e-13,1.3261642492973612e-05
