Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),HNOH(93),H2NX(201),H3NX(202),HNO2(94)
5.501384977659892e-11,0.10054149576763871,0.0,0.002494766909640038,0.031075094027429473,0.31940908293000037,0.3504782891376205,0.20701205634039055,0.09201816534713307,0.0,3.9014111307033796e-19,6.229207160910045e-06,2.689907823643469e-16,0.0,5.039909873285884e-29,3.825543583151835e-10,1.7974002994286174e-22,4.2241176310878774e-18,1.215001182383135e-28,2.5044197723964383e-13,3.6360183331445957e-13,1.4677080062973918e-45,2.1118423231885422e-09,1.6331441142091924e-30,3.782305482373087e-21,1.1777621365152753e-36,6.225809287572973e-06,2.926696373392796e-34,3.818067737045514e-08,1.2139443468704337e-07,6.887445086535896e-07,1.5618880107525596e-07,4.176487431404819e-08,1.387239879256701e-07,1.0485575572281698e-08,5.343914870849174e-08,1.2097950401181673e-07,4.783031691057913e-08,8.274099621272246e-08,1.391040697566546e-07,1.1552154510011187e-07,1.220721868032901e-07,1.6531380229007054e-14,2.1329851749224864e-12,1.231517837797268e-08,2.0255521640968362e-08,1.7503021280294883e-08,2.0844113246374387e-09
5.533039884273635e-11,0.10054149576763871,0.0,0.002494757170485369,0.031075094208535853,0.3194090796805249,0.3504782522448797,0.20701205563533792,0.09201816545052305,0.0,3.9736914271401757e-19,6.265037569926675e-06,2.736602089135118e-16,0.0,5.213036635301729e-29,3.9050455504410374e-10,1.8391155935410806e-22,4.272868399454664e-18,1.2360952757862273e-28,2.533316378636333e-13,3.656939689806345e-13,1.5104222955855573e-45,2.12399136977962e-09,1.6614976021987446e-30,3.867972820995396e-21,1.2182212332713911e-36,6.261600486654649e-06,2.9946353502598276e-34,3.818103695310155e-08,1.215402826973206e-07,6.938408487560738e-07,1.5656239041836557e-07,4.176801849586837e-08,1.3914124571411127e-07,1.0522334645645748e-08,5.3894260547883545e-08,1.2169630087047817e-07,4.8530592133735076e-08,8.329920045385114e-08,1.4041042209565908e-07,1.161862339776412e-07,1.2277404117607721e-07,1.6806450349555906e-14,2.1817706435270777e-12,1.2446044018650847e-08,2.015526105045274e-08,1.7547291380880992e-08,2.1084649075773474e-09
5.564694790887379e-11,0.10054149576763871,0.0,0.0024947474264733695,0.03107509439118568,0.31940907643172006,0.3504782153554634,0.20701205493040525,0.09201816555467827,0.0,4.046916003596969e-19,6.300867837373485e-06,2.7838335569567507e-16,0.0,5.391088927066516e-29,3.9857243293587474e-10,1.8815527067272771e-22,4.321898872179796e-18,1.2574321139500673e-28,2.56237864889968e-13,3.6778610435972505e-13,1.5541253242019334e-45,2.1361403898874053e-09,1.6901773707434197e-30,3.955086056525109e-21,1.2598314763084863e-36,6.297391319378922e-06,3.0637502796905124e-34,3.818139573386945e-08,1.2168470931972884e-07,6.98944214626933e-07,1.5693265914261184e-07,4.177104902734813e-08,1.3955408351363434e-07,1.0558902202913397e-08,5.4349157444488195e-08,1.224133343326986e-07,4.9236066785004645e-08,8.385569630143507e-08,1.4172120144486649e-07,1.1685092261809795e-07,1.234758884520228e-07,1.7084339940580166e-14,2.2313671055468962e-12,1.2577421588303776e-08,2.005529837450586e-08,1.759086627549247e-08,2.1326564495611836e-09
5.5963496975011225e-11,0.10054149576763871,0.0,0.002494737677615893,0.03107509457535213,0.31940907318357714,0.35047817846934204,0.2070120542255886,0.09201816565959989,0.0,4.121092295686548e-19,6.33669796325136e-06,2.831605297975009e-16,0.0,5.574178162679217e-29,4.06759019913957e-10,1.9247199144982391e-22,4.371209049237553e-18,1.2790130855842408e-28,2.5916065815092103e-13,3.698782394517309e-13,1.598834158848758e-45,2.148289383531686e-09,1.7191852863955577e-30,4.043661348589584e-21,1.3026189066575814e-36,6.333181785749149e-06,3.134054651674666e-34,3.818175368873701e-08,1.2182774254379265e-07,7.040545488622912e-07,1.572996366969531e-07,4.177396981056272e-08,1.3996253167888652e-07,1.0595278675056181e-08,5.480381709651743e-08,1.231306043975465e-07,4.994673096381397e-08,8.441047237906234e-08,1.4303638150419442e-07,1.1751561102148844e-07,1.2417772861444213e-07,1.7365058858723086e-14,2.281782893209654e-12,1.2709308421341242e-08,1.9955650279512837e-08,1.7633752631377318e-08,2.156985950042005e-09
5.628004604114866e-11,0.10054149576763871,0.0,0.002494727923925477,0.031075094761008785,0.31940906993608775,0.35047814158648655,0.20701205352088423,0.09201816576528897,0.0,4.1962277604770564e-19,6.372527947561184e-06,2.8799203830287053e-16,0.0,5.762417634404811e-29,4.150653461199126e-10,1.9686255394517034e-22,4.4207989306022145e-18,1.3008395793977644e-28,2.621000174783712e-13,3.719703742566519e-13,1.6445660614973535e-45,2.1604383507320895e-09,1.7485232157061504e-30,4.133714946353238e-21,1.3466100044081451e-36,6.368971885768682e-06,3.205562033087255e-34,3.818211079415056e-08,1.21969409803553e-07,7.09171794278224e-07,1.5766335226915727e-07,4.177678461352442e-08,1.4036662060768873e-07,1.063146450852613e-08,5.525821748285917e-08,1.2384811106408714e-07,5.0662574594889e-08,8.496351771563997e-08,1.4435593601573767e-07,1.1818029918781897e-07,1.248795616466225e-07,1.764861689897218e-14,2.3330263686782897e-12,1.2841701870536139e-08,1.985633273515139e-08,1.767595724824153e-08,2.181453408472871e-09
5.65965951072861e-11,0.10054149576763871,0.0,0.0024947181654153346,0.03107509494812958,0.3194090666892436,0.35047810470686797,0.20701205281628846,0.09201816587174667,0.0,4.2723298763747393e-19,6.408357790303831e-06,2.9287818829288416e-16,0.0,5.955922533637805e-29,4.234924438844421e-10,2.0132779512706429e-22,4.470668516248067e-18,1.3229129840990848e-28,2.650559427038027e-13,3.740625087744877e-13,1.691338490498794e-45,2.1725872915080797e-09,1.778193025224837e-30,4.225263188513847e-21,1.3918316936103715e-36,6.404761619440877e-06,3.2782860676874185e-34,3.818246702702138e-08,1.2210973798799845e-07,7.142958939079876e-07,1.5802383478811926e-07,4.177949707478911e-08,1.4076638073363102e-07,1.0667460164811432e-08,5.571233686178945e-08,1.2456585433138248e-07,5.1383587431753395e-08,8.551482173573132e-08,1.4567983876581986e-07,1.188449871170957e-07,1.2558138753182337e-07,1.7935023794603548e-14,2.385105923878248e-12,1.2974599307048302e-08,1.9757361030104466e-08,1.7717487049741397e-08,2.206058824306842e-09
5.691314417342353e-11,0.10054149576763871,0.0,0.00249470840209934,0.031075095136688834,0.31940906344303666,0.35047806783045754,0.2070120521117978,0.09201816597897405,0.0,4.349406143005782e-19,6.444187491480179e-06,2.9781928684586e-16,0.0,6.15480997198163e-29,4.3204134769841307e-10,2.0586855667217946e-22,4.5208178061494044e-18,1.3452346883960789e-28,2.680284336583039e-13,3.7615464300523773e-13,1.7391691016945776e-45,2.184736205878958e-09,1.808196581499907e-30,4.318322503298849e-21,1.438311347204585e-36,6.440550986769083e-06,3.3522404761174915e-34,3.8182822364722284e-08,1.2224875345130935e-07,7.194267909995294e-07,1.583811129261575e-07,4.178211070790466e-08,1.411618425188697e-07,1.0703266120001138e-08,5.6166153769652266e-08,1.2528383419849132e-07,5.210975906017158e-08,8.60643742500811e-08,1.4700806358698963e-07,1.1950967480932476e-07,1.2628320625327738e-07,1.8224289217124164e-14,2.4380299803245203e-12,1.3107998120443916e-08,1.9658749787719313e-08,1.775834907513243e-08,2.2308021969969796e-09
5.722969323956097e-11,0.10054149576763871,0.0,0.002494698633992029,0.03107509532666125,0.31940906019745874,0.35047803095722696,0.20701205140740894,0.09201816608697222,0.0,4.427464081097299e-19,6.4800170510911e-06,3.0281564103733617e-16,0.0,6.359199002443899e-29,4.407130941838868e-10,2.1048568496541872e-22,4.571246800280522e-18,1.3678060809960533e-28,2.71017490172567e-13,3.7824677694890183e-13,1.788075749527289e-45,2.1968850938638646e-09,1.838535751078304e-30,4.4129094084616284e-21,1.4860767919777657e-36,6.476339987756651e-06,3.4274390559020174e-34,3.818317678508431e-08,1.223864820229195e-07,7.24564429013269e-07,1.587352151012897e-07,4.178462890570635e-08,1.4155303644712288e-07,1.0738882864358715e-08,5.661964701950872e-08,1.2600205066446915e-07,5.284107890153794e-08,8.661216544632817e-08,1.4834058435996255e-07,1.2017436226451226e-07,1.2698501779419083e-07,1.8516422776212584e-14,2.4918069889484606e-12,1.324189571871064e-08,1.956051298159886e-08,1.7798550471079556e-08,2.2556835259963482e-09
5.7546242305698405e-11,0.10054149576763871,0.0,0.0024946888611085782,0.031075095518021907,0.31940905695250227,0.350477994087148,0.2070120507031185,0.09201816619574223,0.0,4.506511232357455e-19,6.515846469137461e-06,3.0786755794007065e-16,0.0,6.569210640747554e-29,4.495087220651475e-10,2.151800310997663e-22,4.621955498615721e-18,1.3906285506057444e-28,2.7402311207688763e-13,3.803389106054795e-13,1.8380764881512648e-45,2.2090339554817795e-09,1.869212400505618e-30,4.509040511277806e-21,1.5351563135472055e-36,6.512128622406929e-06,3.5038956814467693e-34,3.818353026639317e-08,1.2252294901739755e-07,7.297087516201305e-07,1.5908616947948955e-07,4.178705494446481e-08,1.419399930168577e-07,1.0774310901904277e-08,5.707279569975666e-08,1.2672050372836825e-07,5.3577536216212806e-08,8.715818587990503e-08,1.4967737501550992e-07,1.2083904948266413e-07,1.2768682213774438e-07,1.881143401965846e-14,2.5464454299243727e-12,1.3376289528268528e-08,1.946266395111228e-08,1.7838098483632813e-08,2.2807028107580135e-09
5.786279137183584e-11,0.10054149576763871,0.0,0.0024946790834648068,0.031075095710746268,0.31940905370815936,0.35047795722019287,0.20701204999892342,0.0920181663052851,0.0,4.58655515935481e-19,6.551675745620131e-06,3.129753446240422e-16,0.0,6.784967886757847e-29,4.5842927213974206e-10,2.1995245087614043e-22,4.672943901129307e-18,1.4137034859313198e-28,2.770452992011638e-13,3.8243104397497037e-13,1.8891895725432612e-45,2.221182790751519e-09,1.9002283963260933e-30,4.606732508541523e-21,1.5855786613712786e-36,6.5479168907232676e-06,3.58162430403776e-34,3.818388278738571e-08,1.2265817924415187e-07,7.348597026998167e-07,1.5943400397692207e-07,4.17893919878914e-08,1.423227427346687e-07,1.0809550750005304e-08,5.752557917272177e-08,1.2743919338923776e-07,5.4319120106806093e-08,8.770242646512273e-08,1.5101840953629564e-07,1.215037364637863e-07,1.2838861926709354e-07,1.9109332433301338e-14,2.6019538124958552e-12,1.3511176993976929e-08,1.9365215416812338e-08,1.787700045037245e-08,2.305860050735044e-09
5.817934043797328e-11,0.10054149576763871,0.0,0.0024946693010771573,0.03107509590481016,0.3194090504644228,0.3504779203563337,0.2070120492948206,0.09201816641560191,0.0,4.667603445396844e-19,6.587504880539974e-06,3.181393081564508e-16,0.0,7.006595746025195e-29,4.674757872495328e-10,2.2480380480324506e-22,4.7242120077955914e-18,1.4370322756783763e-28,2.800840513748954e-13,3.8452317705737385e-13,1.9414334596131123e-45,2.2333315996917444e-09,1.9315856050826257e-30,4.706002186561706e-21,1.637373053787339e-36,6.583704792709014e-06,3.660638951840247e-34,3.8184234327246323e-08,1.2279219701696152e-07,7.400172263393107e-07,1.5977874626215998e-07,4.179164309100591e-08,1.427013161088403e-07,1.08446029389758e-08,5.7977977073221625e-08,1.2815811964612373e-07,5.506581952140925e-08,8.824487846644122e-08,1.5236366195866185e-07,1.2216842320788458e-07,1.290904091653695e-07,1.9410127440969007e-14,2.6583406748019118e-12,1.3646555579137407e-08,1.926817949574726e-08,1.7915263792726846e-08,2.3311552453805067e-09
5.849588950411071e-11,0.10054149576763871,0.0,0.0024946595139626916,0.031075096100189804,0.31940904722128505,0.3504778834955432,0.2070120485908071,0.09201816652669367,0.0,4.749663694407751e-19,6.623333873897849e-06,3.2335975560171843e-16,0.0,7.234221251443863e-29,4.766493122517721e-10,2.29734958097422e-22,4.7757598185888916e-18,1.460616308551941e-28,2.8313936842718437e-13,3.866153098526894e-13,1.994826809314394e-45,2.2454803823209534e-09,1.963285893316765e-30,4.806866421158348e-21,1.690569183076735e-36,6.619492328367514e-06,3.7409537298977457e-34,3.8184584865603225e-08,1.229250261633364e-07,7.451812668315915e-07,1.601204237583803e-07,4.1793811203871446e-08,1.4307574364309094e-07,1.0879468011683583e-08,5.842996930710347e-08,1.2887728249806894e-07,5.581762325677649e-08,8.878553348992248e-08,1.537131063743649e-07,1.2283310971496484e-07,1.297921918156796e-07,1.9713828404415867e-14,2.7156145837028203e-12,1.3782422765492839e-08,1.917156771665614e-08,1.795289600846628e-08,2.3565883941474738e-09
5.881243857024816e-11,0.10054149576763871,0.0,0.0024946497221390775,0.031075096296861778,0.3194090439787388,0.3504778466377941,0.20701204788688013,0.0920181666385614,0.0,4.832743530805481e-19,6.659162725694614e-06,3.286369940214892e-16,0.0,7.46797348502648e-29,4.859508939902013e-10,2.3474678068250236e-22,4.827587333483526e-18,1.4844569732564702e-28,2.8621125018673306e-13,3.8870744236091667e-13,2.049388485755082e-45,2.2576291386574884e-09,1.9953311275687113e-30,4.909342177658776e-21,1.7451972205569366e-36,6.655279497702116e-06,3.822582820131023e-34,3.818493438252474e-08,1.230566900337101e-07,7.503517686745525e-07,1.6045906364554118e-07,4.179589917520099e-08,1.434460558304945e-07,1.0914146523165714e-08,5.8881536049757027e-08,1.2959668194411311e-07,5.6574519961455793e-08,8.932438347486644e-08,1.5506671693226196e-07,1.2349779598503268e-07,1.3049396720110795e-07,2.002044462326159e-14,2.773784134605763e-12,1.3918776053222803e-08,1.9075391035036984e-08,1.7989904664375153e-08,2.382159496489018e-09
5.91289876363856e-11,0.10054149576763871,0.0,0.002494639925624582,0.031075096494803053,0.3194090407367772,0.3504778097830595,0.20701204718303687,0.09201816675120608,0.0,4.916850599378084e-19,6.694991435931127e-06,3.3397133047463063e-16,0.0,7.707983599794407e-29,4.953815812661818e-10,2.3984014718965865e-22,4.87969455245382e-18,1.508555658495852e-28,2.8929969648184406e-13,3.9079957458205495e-13,2.1051375583082127e-45,2.269777868719531e-09,2.0277231743773223e-30,5.013446510893899e-21,1.801287821700792e-36,6.6910663007161625e-06,3.905540481337106e-34,3.8185282858515476e-08,1.2318721151046732e-07,7.555286765701098e-07,1.607946928625395e-07,4.1797909755839927e-08,1.4381228314757562e-07,1.0948639040251778e-08,5.933265774460342e-08,1.303163179832929e-07,5.733649813887078e-08,8.986142068562733e-08,1.5642446783994945e-07,1.2416248201809384e-07,1.3119573530471618e-07,2.0329985334930448e-14,2.832857951290216e-12,1.4055612960935311e-08,1.8979659848077497e-08,1.802629738910498e-08,2.4078685518582123e-09
5.944553670252304e-11,0.10054149576763871,0.0,0.0024946301244380574,0.031075096693990962,0.3194090374953932,0.3504777729313128,0.20701204647927468,0.09201816686462871,0.0,5.001992565159384e-19,6.730820004608239e-06,3.393630720172336e-16,0.0,7.954384841783889e-29,5.04942424809862e-10,2.450159369572551e-22,4.932081475474105e-18,1.5329137529734026e-28,2.924047071404202e-13,3.928917065161037e-13,2.1620933027225357e-45,2.281926572525108e-09,2.0604639002801054e-30,5.119196565194477e-21,1.858872131282882e-36,6.726852737413001e-06,3.989841049188268e-34,3.818563027451252e-08,1.2331661301680952e-07,7.60711935423488e-07,1.611273381093495e-07,4.1799845602129025e-08,1.4417445604857452e-07,1.0982946141194965e-08,5.978331510156108e-08,1.3103619061464198e-07,5.810354615035392e-08,9.039663770360906e-08,1.5778633336535509e-07,1.2482716781415386e-07,1.3189749610954373e-07,2.0642459714591693e-14,2.8928446857331106e-12,1.4192931025655046e-08,1.888438400943899e-08,1.8062081866209978e-08,2.4337155597081337e-09
5.976208576866048e-11,0.10054149576763871,0.0,0.002494620318598931,0.031075096894403204,0.31940903425457984,0.35047773608252747,0.20701204577559107,0.09201816697883024,0.0,5.088177113303974e-19,6.766648431726799e-06,3.4481252570261323e-16,0.0,8.207312572168055e-29,5.146344772513856e-10,2.502750340306999e-22,4.984748102518716e-18,1.5575326453918696e-28,2.955262819899635e-13,3.9498383816306215e-13,2.220275202233175e-45,2.2940752500920856e-09,2.0935551718132276e-30,5.226609574387363e-21,1.9179817885530056e-36,6.762638807795974e-06,4.075498936231039e-34,3.818597661188149e-08,1.234449165254617e-07,7.659014903426746e-07,1.6145702584914238e-07,4.180170927915182e-08,1.445326049598788e-07,1.1017068415310788e-08,6.023348909548979e-08,1.3175629983719083e-07,5.887565221813221e-08,9.093002741943823e-08,1.591522878382829e-07,1.254918533732183e-07,1.325992495986088e-07,2.0957876875101215e-14,2.9537530179337463e-12,1.4330727802808178e-08,1.878957284388464e-08,1.8097265827366895e-08,2.4597005194918583e-09
