Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231)
3.0145160715718927e-10,0.07540679193649383,0.0,0.0018671665210043835,0.031075110263184432,0.31940763780929476,0.3504836454932636,0.20701211529256253,0.09201817979311075,0.0,4.0846160744301705e-22,1.5677261593928019e-07,5.047607112183154e-21,0.0,3.4042268404245955e-46,3.670876465005955e-09,2.54089841090992e-39,3.3921953784838664e-25,5.007042586807039e-36,1.1329167364802622e-28,1.7088143089063958e-17,1.0280463853362699e-57,2.2440986699023446e-13,2.842320650102072e-39,1.6526184083805733e-37,3.995917015159849e-56,1.5659681592248879e-07,1.60084573658549e-45,4.982738917651199e-08,1.0189102150463198e-06,1.6860157987778204e-06,9.898659646040493e-07,1.0488765265401329e-07,4.851268432171073e-07,5.340056696126553e-09,1.9631025084094857e-07,1.7842276320361303e-10,2.01680890431495e-07,1.4186043869917183e-07,3.042972786180753e-07,7.695874388258869e-12
3.0329450059134044e-10,0.07540679193649383,0.0,0.0018671333892444147,0.031075110263184432,0.31940762695772357,0.35048364066829907,0.20701211529434072,0.09201818046048017,0.0,4.202999990802197e-22,1.5773102783371006e-07,5.140819516501717e-21,0.0,3.5525740287253036e-46,3.760102192369686e-09,2.6195006030105374e-39,3.433797856716789e-25,5.099435241393684e-36,1.153815985761355e-28,1.7192609689455867e-17,1.0598572372737999e-57,2.257866013719245e-13,2.8947686887387878e-39,1.7037380931909912e-37,4.169691130325754e-56,1.5755307264570225e-07,1.6403825742346077e-45,4.982902009567318e-08,1.0222315764118947e-06,1.7009707194764707e-06,9.9373247025952e-07,1.0488587445766128e-07,4.867820096882482e-07,5.3663318658959635e-09,1.9805526197981487e-07,1.8056146276600052e-10,2.0477331714705028e-07,1.4289590552232886e-07,3.077320518258517e-07,7.742922268380107e-12
3.051373940254916e-10,0.07540679193649383,0.0,0.0018671002535404803,0.031075110263184432,0.3194076161209774,0.3504836358630231,0.2070121152961245,0.0920181811363871,0.0,4.32399788253572e-22,1.586894397149703e-07,5.235173588996565e-21,0.0,3.706427748669461e-46,3.850912158610116e-09,2.7000358458930073e-39,3.475653893659365e-25,5.1929575479219294e-36,1.1749706174413405e-28,1.729707628981612e-17,1.0924507196223794e-57,2.2716340954076185e-13,2.947857991042659e-39,1.7561148202577374e-37,4.349902420519378e-56,1.585093162362552e-07,1.680647645330409e-45,4.983065484978707e-08,1.0255350081598198e-06,1.7159522160523084e-06,9.975792872847023e-07,1.0488409065795048e-07,4.884204593684778e-07,5.392518684726486e-09,1.9979965730072372e-07,1.8271288760425404e-10,2.078895562198998e-07,1.439279844676128e-07,3.11178809618478e-07,7.789970148140458e-12
3.069802874596428e-10,0.07540679193649383,0.0,0.0018670671144071734,0.031075110263184432,0.3194076052989997,0.3504836310773364,0.20701211529791355,0.09201818182087677,0.0,4.447647534390257e-22,1.5964785158311454e-07,5.3306763093162874e-21,0.0,3.865957269726115e-46,3.9433231266483776e-09,2.7825395672720193e-39,3.51776348935588e-25,5.2876163704394046e-36,1.1963821806417344e-28,1.7401542890144676e-17,1.125841185444476e-57,2.2854029165036763e-13,3.0015924535026494e-39,1.809771623749943e-37,4.536748360126717e-56,1.5946554669439176e-07,1.72164984900605e-45,4.983229338326366e-08,1.0288206980893443e-06,1.7309597682461888e-06,1.0014065151172125e-06,1.0488230162079724e-07,4.9004226321258e-07,5.418617752779471e-09,2.0154334011960612e-07,1.8487703754285082e-10,2.110295452316574e-07,1.4495663245270158e-07,3.146374007450855e-07,7.837018027544862e-12
3.0882318089379396e-10,0.07540679193649383,0.0,0.0018670339723580167,0.031075110263184432,0.3194075944917343,0.35048362631113994,0.2070121152997075,0.09201818251399413,0.0,4.57398691225206e-22,1.6060626343819622e-07,5.427334657724694e-21,0.0,4.031335997851381e-46,4.037351876891129e-09,2.8670476248194464e-39,3.560126643851418e-25,5.383418572993727e-36,1.218052224452137e-28,1.7506009490441502e-17,1.1600431622251079e-57,2.2991724785168313e-13,3.055975972607995e-39,1.864731817284996e-37,4.7304312394866815e-56,1.6042176402035563e-07,1.7633981387128678e-45,4.983393564228869e-08,1.0320888316190022e-06,1.745992857776916e-06,1.005214252694809e-06,1.0488050768926406e-07,4.916474931928002e-07,5.444629672572356e-09,2.0328621477056394e-07,1.8705391240627255e-10,2.1419322052160254e-07,1.459818074943526e-07,3.1810767405435184e-07,7.884065906598244e-12
3.1066607432794513e-10,0.07540679193649383,0.0,0.001867000827905412,0.031075110263184432,0.31940758369912575,0.3504836215643352,0.20701211530150598,0.09201818321578392,0.0,4.703054159192945e-22,1.6156467528026853e-07,5.52515561510122e-21,0.0,4.202741550813454e-46,4.133015205632289e-09,2.9535963087507817e-39,3.6027433571918634e-25,5.480371019632514e-36,1.239982297930231e-28,1.7610476090706555e-17,1.1950713529252859e-57,2.3129427829298215e-13,3.111012444848197e-39,1.9210189956078044e-37,4.9311582524119195e-56,1.6137796821439052e-07,1.8059015222253168e-45,4.983558157479308e-08,1.0353395918080478e-06,1.7610509683650134e-06,1.0090025984579118e-06,1.04878709185105e-07,4.932362222736484e-07,5.470555048713327e-09,2.050281866057098e-07,1.8924351201900574e-10,2.173805172084496e-07,1.4700346869888666e-07,3.215894785067972e-07,7.931113785305508e-12
3.125089677620963e-10,0.07540679193649383,0.0,0.0018669676815605974,0.031075110263184432,0.31940757292111877,0.35048361683682444,0.20701211530330876,0.09201818392629058,0.0,4.834887591500625e-22,1.6252308710938428e-07,5.624146162941292e-21,0.0,4.380355834425649e-46,4.230329923458457e-09,3.0422223444114503e-39,3.645613629423911e-25,5.578480574403369e-36,1.2621739501017862e-28,1.771494269093979e-17,1.2309406370354506e-57,2.3267138311988383e-13,3.166705766713029e-39,1.9786570362699576e-37,5.139141584762602e-56,1.623341592767396e-07,1.849169061645909e-45,4.9837231130422145e-08,1.03857315937788e-06,1.7761335857559204e-06,1.0127716503521115e-06,1.0487690641020615e-07,4.94808524386901e-07,5.496394487641738e-09,2.0676916199485594e-07,1.9144583620554143e-10,2.2059136921199708e-07,1.480215762526378e-07,3.2508266318690044e-07,7.978161663671539e-12
3.143518611962475e-10,0.07540679193649383,0.0,0.0018669345338335978,0.031075110263184432,0.3194075621576588,0.35048361212851015,0.20701211530511554,0.09201818464555832,0.0,4.969525694681647e-22,1.6348149892559614e-07,5.724313283356664e-21,0.0,4.564365119692928e-46,4.329312853658259e-09,3.132962894863006e-39,3.688737460595074e-25,5.677754101353891e-36,1.2846287299606577e-28,1.7819409291141165e-17,1.267666071628913e-57,2.340485624753653e-13,3.2230598346925404e-39,2.0376701013087873e-37,5.354598504079413e-56,1.63290337207646e-07,1.893209873410153e-45,4.9838884260504794e-08,1.0417897127334504e-06,1.7912401977426096e-06,1.0165215058306586e-06,1.0487509964792829e-07,4.963644744068071e-07,5.522148597374221e-09,2.0850904832505527e-07,1.936608847903752e-10,2.2382570927465487e-07,1.4903609141237087e-07,3.2858707731503886e-07,8.0252095417012e-12
3.1619475463039865e-10,0.07540679193649383,0.0,0.0018669013852331824,0.031075110263184432,0.3194075514086916,0.3504836074392952,0.207012115306926,0.09201818537363111,0.0,5.107007119437969e-22,1.644399107289564e-07,5.8256639590757535e-21,0.0,4.754960120877287e-46,4.4299808306359205e-09,3.225855563469191e-39,3.7321148507536868e-25,5.7781984645316736e-36,1.3073481864687866e-28,1.7923875891310643e-17,1.3052628924152933e-57,2.354258164997745e-13,3.2800785452770535e-39,2.0980826389263228e-37,5.577751450282016e-56,1.6424650200735248e-07,1.9380331282914942e-45,4.984054091802248e-08,1.0449894279846436e-06,1.8063702941876438e-06,1.02025226185695e-06,1.0487328916435837e-07,4.979041481254955e-07,5.547817987256419e-09,2.10247753999996e-07,1.9588865759800738e-10,2.2708346898284814e-07,1.5004697649566866e-07,3.321025702592523e-07,8.072257419399331e-12
3.180376480645498e-10,0.07540679193649383,0.0,0.0018668682362668163,0.031075110263184432,0.3194075406741633,0.35048360276908325,0.20701211530873997,0.09201818611055274,0.0,5.247370677618241e-22,1.653983225195172e-07,5.928205173443901e-21,0.0,4.952336074487472e-46,4.532350698329336e-09,3.320938396481888e-39,3.775745799948917e-25,5.879820527984302e-36,1.3303338685562013e-28,1.8028342491448178e-17,1.3437465147939617e-57,2.3680314533084273e-13,3.337765794957174e-39,2.1599193851681516e-37,5.808828127439289e-56,1.6520265367610155e-07,1.9836480514062513e-45,4.984220105757814e-08,1.0481724789676463e-06,1.8215233670446696e-06,1.0239640149069925e-06,1.048714752094758e-07,4.99427622228589e-07,5.573403267720277e-09,2.119851884392528e-07,1.9812915445294276e-10,2.3036457878829652e-07,1.5105419487129047e-07,3.3562899154683276e-07,8.119305296770748e-12
