Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204)
4.1468609873777306e-18,0.0945796191447709,0.0,0.0023484119431944916,0.031075110263184432,0.31940968187631785,0.3504847921393402,0.20701222018019635,0.09201819554062325,0.0,1.7587801411903753e-41,1.7690462843238245e-13,3.5173349796154234e-41,0.0,2.237255987459069e-89,8.403060305652872e-33,1.0321556366234334e-66,4.40698636167271e-36,1.6107347005188584e-51,4.891486816344085e-46,3.158540237178049e-21,1.8552607903953357e-83,7.103929108226651e-29,1.1110217563392458e-53,2.3693747032544768e-67,2.9362208900751506e-91,1.7690463159092267e-13,7.481216686397656e-66,8.272603462042862e-14,2.8276284826254588e-14,9.048413781485009e-15,2.2463779875567297e-14,1.86065285639542e-14,9.048413781485057e-15
8.293725490096056e-18,0.0945796191447709,0.0,0.002348411943024322,0.031075110263184432,0.31940968187628055,0.3504847921391408,0.20701222018017776,0.09201819554054053,0.0,1.4070255044933682e-40,3.5380940682866943e-13,2.8138707684177596e-40,0.0,1.6005002590410088e-87,6.722457315212199e-32,1.653406371097325e-65,1.7627956654230228e-35,1.2885890348238544e-50,3.9131933232047246e-45,6.317083151885716e-21,5.936843196727991e-82,2.4146439934048694e-28,8.888182841080885e-53,4.259809117901062e-66,1.8791843561031168e-89,3.5380941314575255e-13,1.1969959382798504e-64,1.654519086233501e-13,5.655258805847926e-14,1.8096838727053326e-14,4.492757652124195e-14,3.721306347223193e-14,1.8096838727053528e-14
1.2440589992814382e-17,0.0945796191447709,0.0,0.0023484119428541527,0.031075110263184432,0.31940968187624325,0.3504847921389414,0.20701222018015916,0.0920181955404578,0.0,4.1771081405770925e-40,5.307141852248557e-13,8.353681194888486e-40,0.0,9.439920792365029e-87,1.9957304851808437e-31,6.259088793447756e-65,3.7459414894937695e-35,3.8254997724160196e-50,1.1617295943685705e-44,9.475626066593091e-21,2.84029331278367e-81,4.864288846606339e-28,2.6386800226328367e-52,1.705425417244689e-65,1.0669455430974155e-88,5.307141947004818e-13,4.5284799462284247e-64,2.4817760956769087e-13,8.482888711758754e-14,2.7145266292853302e-14,6.739137146239784e-14,5.5819591309030504e-14,2.7145266292853738e-14
1.6587454495532706e-17,0.0945796191447709,0.0,0.002348411942683984,0.031075110263184432,0.31940968187620594,0.350484792138742,0.20701222018014057,0.09201819554037508,0.0,9.101700189383469e-40,7.076189636209414e-13,1.820223446088334e-39,0.0,3.801688691758379e-86,4.3485933021203425e-31,1.6305598035084453e-64,6.390136108378261e-35,8.335563943117684e-50,2.5313480315158584e-44,1.2634168981300178e-20,9.40039318115873e-81,8.0593276862734035e-28,5.749545775083098e-52,4.756200287806237e-65,4.1032570456818215e-88,7.076189762551105e-13,1.1787609374377335e-63,3.309031374538145e-13,1.1310518200358003e-13,3.619369647888456e-14,8.985516469903511e-14,7.442611207435257e-14,3.6193696478885307e-14
2.4881183500969357e-17,0.0945796191447709,0.0,0.0023484119423436466,0.031075110263184432,0.3194096818761313,0.35048479213834327,0.20701222018010335,0.09201819554020962,0.0,2.6419432077391415e-39,1.0614285204128766e-12,5.283547989697726e-39,0.0,3.370450205496957e-85,1.2622632545885415e-30,5.9973321400888327e-64,1.322996639519507e-34,2.419557454540052e-49,7.347723611123096e-44,1.8951254810713666e-20,5.484830780468011e-80,1.6198800085039762e-27,1.6689160367847736e-51,2.0668509231669642e-64,3.1229023599699505e-87,1.0614285393641317e-12,4.3258870351671597e-63,4.963537870701464e-13,1.6965776198151967e-13,5.429056300046827e-14,1.347827471719092e-13,1.1163913700868262e-13,5.4290563000469796e-14
3.317491250640601e-17,0.0945796191447709,0.0,0.0023484119420033095,0.031075110263184432,0.3194096818760566,0.35048479213794453,0.20701222018006613,0.09201819554004417,0.0,5.777632326925548e-39,1.4152380772044416e-12,1.1554524562661491e-38,0.0,1.380490880104846e-84,2.7604286627922847e-30,1.557805681847089e-63,2.250070886817567e-34,5.2912997241057e-49,1.606864422391621e-43,2.526834064012609e-20,1.8248697359094687e-79,2.7079353815040086e-27,3.649731461602876e-51,5.995348159801843e-64,1.179207121714463e-86,1.4152381024727826e-12,1.121734997888333e-62,6.618038002926985e-13,2.2621032661342938e-13,7.23874391575737e-14,1.7971032337666147e-13,1.4885213593869378e-13,7.238743915757626e-14
4.146864151184266e-17,0.0945796191447709,0.0,0.002348411941662974,0.031075110263184432,0.31940968187598195,0.3504847921375458,0.2070122201800289,0.09201819553987872,0.0,1.0839625154617002e-38,1.7690476339956106e-12,2.1677861812524738e-38,0.0,4.578998295769453e-84,5.178942156221413e-30,3.4122361865543117e-63,3.4376000112037486e-34,9.927198953587899e-49,3.014696510168804e-43,3.158542646953736e-20,4.9205156663648187e-79,4.089678184268449e-27,6.847393312728301e-51,1.457820564485922e-63,3.606956285406807e-86,1.7690476655810374e-12,2.4526476811247324e-62,8.272531316671924e-13,2.827628748031683e-13,9.048432563844978e-14,2.246378928655698e-13,1.8606510700695272e-13,9.048432563845369e-14
5.805609952271597e-17,0.0945796191447709,0.0,0.0023484119409823033,0.031075110263184432,0.31940968187583263,0.3504847921367483,0.2070122201799545,0.09201819553954782,0.0,2.9659191366656206e-38,2.4766667475767335e-12,5.9314583658088e-38,0.0,5.4811417123357565e-83,1.4170544246252032e-29,1.3191400995007847e-62,6.610383152952767e-34,2.7162626871317653e-48,8.248759475734749e-43,4.421959812835641e-20,2.9008226026550085e-78,7.75267479438796e-27,1.8735716939298589e-50,7.199644158315318e-63,3.1919618923893654e-85,2.476666791796332e-12,9.433976972020663e-62,1.158149706058672e-12,3.9586792082336023e-13,1.266781302199756e-13,3.1449301127401037e-13,2.6049096380822237e-13,1.266781302199831e-13
9.123101554446257e-17,0.0945796191447709,0.0,0.0023484119396209716,0.031075110263184432,0.31940968187553404,0.3504847921351534,0.20701222017980564,0.09201819553888604,0.0,1.1779097897756063e-37,3.891904974734152e-12,2.355668708693296e-37,0.0,1.5052368593817854e-81,5.6278194504804e-29,8.791866139409634e-62,1.6127333077410295e-33,1.0787591513309496e-47,3.275980932815388e-42,6.948794144598057e-20,3.1958054168601683e-77,1.8654711533866823e-26,7.440858426800155e-50,6.775502005720607e-62,6.0494942785175815e-84,3.8919050442220934e-12,6.227246025677315e-61,1.819934552595727e-12,6.220778126587748e-13,1.9906586508846017e-13,4.9420316631664e-13,4.0934233815814626e-13,1.9906586508847855e-13
1.2440593156620918e-16,0.0945796191447709,0.0,0.0023484119382596517,0.031075110263184432,0.31940968187523544,0.35048479213355843,0.2070122201796568,0.09201819553822425,0.0,2.949060572467589e-37,5.307143201885128e-12,5.897743437083011e-37,0.0,9.236554740923526e-81,1.4090051052370898e-28,2.919198405984144e-61,2.9876430136818336e-33,2.700823193764085e-47,8.201872748655581e-42,9.475628476358613e-20,1.361910358306307e-76,3.432891338354246e-26,1.862922135656407e-49,2.7207529004103553e-61,3.207911627324338e-83,5.307143296641412e-12,2.05327711461857e-60,2.4817083200811117e-12,8.482874373249367e-13,2.7145376770815867e-13,6.739132122332358e-13,5.581932597832807e-13,2.7145376770819265e-13
